INEGI. IX Censo Ejidal 2007,,,,,,,
"Total de ejidos y comunidades segun cuenten con sociedades de produccion rural, tipo de participantes",,,,,,,cuadro 34
y finalidad de las sociedades por entidad federativa y municipio,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
entidad_federativa_y_municipio,ejidos_y_comunidades,con_sociedades_de_produccion_rural_total,con_sociedades_de_produccion_rural_ejidatarios_participantes,con_sociedades_de_produccion_rural_mujeres,con_participantes_no_ejidatarios_,solo_para_actividades_agropecuarias_o_forestales,sin_sociedades_de_produccion_rural
Mapastepec,56,14,421,55,5,11,42
Las Margaritas,145,2,55,8,2,2,143
Mazapa de Madero,4,1,5,0,0,0,3
Mazatan,18,0,0,0,0,0,18
Metapa,C,C,0,0,0,0,C
Mitontic,C,C,0,0,0,0,C
Motozintla,43,0,0,0,0,0,43
Ocosingo,159,4,101,28,0,2,155
Ocotepec,C,C,0,0,0,0,C
Ocozocoautla de Espinosa,74,1,16,0,0,1,73
Ostuacan,29,3,72,4,1,3,26
Osumacinta,3,0,0,0,0,0,3
Oxchuc,3,0,0,0,0,0,3
Palenque,163,1,26,0,0,0,162
Pantelho,9,0,0,0,0,0,9
Pantepec,6,0,0,0,0,0,6
Pichucalco,9,0,0,0,0,0,9
Pijijiapan,70,3,95,15,2,2,67
El Porvenir,5,0,0,0,0,0,5
Villa Comaltitlan,19,2,160,43,1,1,17
Pueblo Nuevo Solistahuacan,21,0,0,0,0,0,21
Rayon,4,0,0,0,0,0,4
Reforma,7,0,0,0,0,0,7
Las Rosas,17,0,0,0,0,0,17
Sabanilla,19,1,17,0,0,1,18
Salto de Agua,86,1,90,0,0,0,85
San Cristobal de las Casas,16,0,0,0,0,0,16
San Fernando,18,0,0,0,0,0,18
Siltepec,18,0,0,0,0,0,18
Simojovel,53,1,76,1,1,1,52
Sitala,7,0,0,0,0,0,7
Socoltenango,33,0,0,0,0,0,33
Solosuchiapa,11,1,20,1,1,0,10
Soyalo,4,0,0,0,0,0,4
Suchiapa,9,1,30,3,1,1,8
Suchiate,17,0,0,0,0,0,17
Sunuapa,C,C,0,0,0,0,C
Tapachula,52,1,120,30,0,1,51
Tapalapa,C,C,0,0,0,0,C
Tapilula,4,0,0,0,0,0,4
Tecpatan,59,6,399,70,3,5,53
Tenejapa,7,1,1700,300,0,1,6
Teopisca,16,0,0,0,0,0,16
Tila,29,0,0,0,0,0,29
Tonala,54,2,54,11,0,1,52
Totolapa,8,0,0,0,0,0,8
La Trinitaria,85,12,852,48,7,10,73
Tumbala,24,4,172,6,3,3,20
Tuxtla Gutierrez,6,0,0,0,0,0,6
Tuxtla Chico,7,0,0,0,0,0,7
Tuzantan,16,2,202,45,0,1,14
