INEGI. IX Censo Ejidal 2007,,,,,,,,,,
Ejidos y comunidades segun tipo de organizacion o asociacion,,,,,,,,,,cuadro 32
por entidad federativa y municipio,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
entidad_federativa_y_municipio,ejidos_y_comunidades, ejidos_y_comunidades_segun_tipo_de_organizacion_o_asociacion_total, ejidos_y_comunidades_segun_tipo_de_organizacion_o_asociacion_asociacion_rural_de_interes_colectivo, ejidos_y_comunidades_segun_tipo_de_organizacion_o_asociacion_union_de_ejidos_y_comunidades_agrarias, ejidos_y_comunidades_segun_tipo_de_organizacion_o_asociacion_grupos_para_la_produccion, ejidos_y_comunidades_segun_tipo_de_organizacion_o_asociacion_sociedades_de_produccion_rural, ejidos_y_comunidades_segun_tipo_de_organizacion_o_asociacion_sociedades_de_solidaridad_social, ejidos_y_comunidades_segun_tipo_de_organizacion_o_asociacion_sociedades_mercantiles, ejidos_y_comunidades_segun_tipo_de_organizacion_o_asociacion_otras_formas_de_asociacion,sin_formas_de_organizacion_o_asociacion
Cuetzala del Progreso,12,1,0,0,1,1,1,0,0,11
Cutzamala de Pinzon,33,7,1,1,6,0,1,0,0,26
Chilapa de alvarez,45,17,1,15,2,0,4,0,0,28
Chilpancingo de los Bravo,31,8,1,3,3,0,1,0,0,23
Florencio Villarreal,C,C,0,0,0,0,0,0,0,C
General Canuto A. Neri,5,0,0,0,0,0,0,0,0,5
General Heliodoro Castillo,7,3,0,1,2,0,0,0,0,4
Huamuxtitlan,8,1,0,0,1,0,0,0,0,7
Huitzuco de los Figueroa,21,3,0,1,2,2,0,0,0,18
Iguala de la Independencia,15,5,0,1,3,3,0,0,0,10
Igualapa,7,3,0,3,0,0,0,1,0,4
Ixcateopan de Cuauhtemoc,C,C,0,2,0,0,0,0,0,C
Jose Azueta,18,10,0,8,3,1,0,0,0,8
Juan R. Escudero,11,4,1,1,3,1,0,0,0,7
Leonardo Bravo,16,1,1,0,0,0,0,0,0,15
Malinaltepec,9,5,2,3,1,0,0,0,0,4
Martir de Cuilapan,11,1,0,0,0,0,0,0,1,10
Metlatonoc,9,1,1,1,0,0,0,0,0,8
Mochitlan,26,4,1,3,0,0,0,0,0,22
Olinala ,7,2,1,0,0,1,0,0,1,5
Ometepec,26,7,1,2,4,2,0,0,1,19
Petatlan,27,9,0,5,3,1,1,0,1,18
Pilcaya,6,0,0,0,0,0,0,0,0,6
Pungarabato,10,2,0,0,1,0,0,0,1,8
Quechultenango,26,3,1,0,1,0,1,0,1,23
San Luis Acatlan,23,10,5,4,5,1,0,0,1,13
San Marcos,33,14,0,6,4,5,1,0,0,19
San Miguel Totolapan,8,3,1,2,0,0,0,0,0,5
Taxco de Alarcon,23,1,1,0,0,0,0,0,0,22
Tecoanapa,39,12,2,8,5,0,0,0,3,27
Tecpan de Galeana,25,9,1,7,0,3,0,0,0,16
Teloloapan,27,4,2,3,1,1,0,0,0,23
Tepecoacuilco de Trujano,25,3,1,1,2,1,0,0,0,22
Tetipac,5,0,0,0,0,0,0,0,0,5
Tixtla de Guerrero,10,0,0,0,0,0,0,0,0,10
Tlacoachistlahuaca,15,0,0,0,0,0,0,0,0,15
Tlacoapa,C,C,1,2,2,0,0,0,1,C
Tlalchapa,16,2,2,1,0,0,0,0,0,14
Tlalixtaquilla de Maldonado,5,1,0,0,1,0,0,0,0,4
Tlapa de Comonfort,30,9,1,5,1,1,3,0,0,21
Tlapehuala,12,0,0,0,0,0,0,0,0,12
La Union de Isidoro Montes de Oca,31,12,2,9,1,1,0,0,1,19
Xalpatlahuac,8,1,0,1,0,0,0,0,1,7
Xochihuehuetlan,7,0,0,0,0,0,0,0,0,7
Xochistlahuaca,7,0,0,0,0,0,0,0,0,7
Zapotitlan Tablas,C,C,0,0,0,0,0,0,1,C
Zirandaro,28,6,3,5,1,0,0,0,0,22
Zitlala,11,0,0,0,0,0,0,0,0,11
Eduardo Neri,16,5,2,2,2,1,0,0,0,11
Acatepec,C,C,1,1,1,1,1,0,0,C
Marquelia,3,3,1,0,3,1,0,0,0,0
Cochoapa el Grande,C,C,0,0,0,0,0,0,0,C
Jose Joaquin de Herrera,C,C,0,0,0,0,0,0,0,C
Juchitan,C,C,0,0,0,0,0,0,0,C
Iliatenco,4,4,2,4,1,0,0,1,1,0
Hidalgo,1189,265,20,128,98,48,19,11,16,924
Acatlan,17,5,0,1,2,2,0,0,0,12
Acaxochitlan,13,1,0,0,0,0,1,0,0,12
Actopan,11,1,0,0,0,0,0,0,1,10
Agua Blanca de Iturbide,10,1,0,1,1,0,0,0,0,9
Ajacuba,8,3,0,1,1,2,0,1,0,5
Alfajayucan,28,6,0,4,2,0,0,0,0,22
Almoloya,13,9,0,7,1,5,0,0,0,4
Apan,15,10,0,9,4,3,2,0,0,5
El Arenal,8,3,0,0,3,1,0,0,0,5
Atitalaquia,5,2,0,2,0,0,0,0,0,3
Atlapexco,9,4,1,1,2,1,1,0,0,5
Atotonilco el Grande,24,5,0,1,2,2,0,0,1,19
Atotonilco de Tula,7,2,0,0,0,0,0,2,0,5
Calnali,C,C,0,0,2,0,0,0,0,C
Cardonal,20,3,0,0,3,1,0,0,1,17
Cuautepec de Hinojosa,24,4,0,2,1,0,0,0,2,20
Chapantongo,14,1,0,0,0,0,0,0,1,13
Chapulhuacan,22,1,0,0,1,0,0,0,0,21
Chilcuautla,6,1,0,1,0,0,0,0,0,5
Eloxochitlan,8,1,0,1,0,0,0,0,0,7
Emiliano Zapata,4,2,1,1,0,1,0,0,0,2
Epazoyucan,12,1,0,0,1,0,0,1,0,11
Francisco I. Madero,C,C,0,0,0,0,0,0,0,C
Huasca de Ocampo,27,3,0,0,2,0,1,1,0,24
Huautla,42,7,0,1,7,0,0,0,0,35
Huazalingo,12,2,1,0,1,0,0,0,0,10
Huehuetla,6,2,0,0,1,0,1,0,1,4
Huejutla de Reyes,47,7,0,2,3,1,1,0,0,40
Huichapan,35,5,0,1,3,2,1,0,0,30
Ixmiquilpan,24,1,0,0,1,0,0,0,0,23
Jacala de Ledezma,13,4,0,3,1,0,0,0,0,9
Jaltocan,16,5,0,3,2,0,1,0,0,11
Juarez Hidalgo,4,1,0,0,1,0,0,0,0,3
Lolotla,10,1,1,0,0,0,0,0,0,9
Metepec,11,7,0,6,2,1,0,1,0,4
San Agustin Metzquititlan,7,5,1,4,0,0,0,0,0,2
Metztitlan,27,11,0,10,2,0,0,0,0,16
Mineral del Chico,6,1,0,0,0,0,1,0,0,5
Mineral del Monte,C,C,0,1,0,0,0,0,0,C
Mixquiahuala de Juarez,7,2,0,1,1,2,0,0,0,5
Molango de Escamilla,13,1,0,0,0,0,1,0,0,12
Nicolas Flores,4,2,1,1,1,0,0,0,1,2
Nopala de Villagran,9,1,0,0,0,0,1,0,0,8
Omitlan de Juarez,4,1,0,0,0,1,0,0,0,3
San Felipe Orizatlan,80,10,0,8,1,2,0,0,0,70
Pacula,C,C,0,0,0,0,0,0,0,C
Pachuca de Soto,7,6,1,6,1,0,0,1,1,1
Pisaflores,6,1,0,0,1,0,0,1,0,5
Progreso de Obregon,C,C,0,0,0,0,0,0,0,C
Mineral de la Reforma,7,6,0,6,1,0,0,0,1,1
San Agustin Tlaxiaca,10,2,0,1,2,1,0,0,0,8
San Bartolo Tutotepec,7,1,0,1,0,0,0,0,0,6
San Salvador,18,8,1,5,1,1,1,0,0,10
Santiago de Anaya,13,6,0,0,2,4,0,0,2,7
Santiago Tulantepec de Lugo Guerrero,6,0,0,0,0,0,0,0,0,6
Singuilucan,15,3,2,1,2,0,0,0,0,12
Tasquillo,17,4,1,0,1,1,0,0,1,13
Tecozautla,32,9,2,5,4,0,0,0,0,23
Tenango de Doria,5,0,0,0,0,0,0,0,0,5
Tepeapulco,9,2,0,0,2,2,0,1,0,7
Tepehuacan de Guerrero,31,6,1,0,5,1,0,0,0,25
Tepeji del Rio de Ocampo,16,6,0,4,0,0,1,1,0,10
Tepetitlan,12,3,0,0,0,3,0,0,0,9
Tetepango,C,C,0,0,0,1,0,0,0,C
Villa de Tezontepec,C,C,0,1,0,0,0,0,0,C
Tezontepec de Aldama,5,0,0,0,0,0,0,0,0,5
Tianguistengo,24,3,1,3,1,0,0,0,0,21
Tizayuca,3,2,0,2,1,0,0,0,0,1
Tlahuelilpan,C,C,0,0,0,0,0,0,0,C
Tlahuiltepa,15,0,0,0,0,0,0,0,0,15
Tlanalapa,3,0,0,0,0,0,0,0,0,3
Tlanchinol,34,8,0,1,7,0,1,0,0,26
Tlaxcoapan,4,0,0,0,0,0,0,0,0,4
Tolcayuca,3,3,0,3,0,0,0,0,0,0
Tula de Allende,25,9,0,4,1,3,0,1,3,16
Tulancingo de Bravo,14,3,0,1,0,1,1,0,0,11
Xochiatipan,25,3,0,0,3,0,0,0,0,22
Xochicoatlan,15,0,0,0,0,0,0,0,0,15
Yahualica,20,3,0,0,2,0,1,0,0,17
Zacualtipan de angeles,19,8,4,5,3,2,1,0,0,11
Zapotlan de Juarez,3,3,0,3,0,1,0,0,0,0
Zempoala,24,6,1,3,2,0,1,0,0,18
Zimapan,46,1,0,0,1,0,0,0,0,45
Jalisco,1429,534,41,379,129,67,27,9,42,895
Acatic,C,C,0,1,0,0,0,0,0,C
Acatlan de Juarez,7,3,0,2,1,0,0,0,0,4
Ahualulco de Mercado,8,7,0,7,2,2,0,0,0,1
Amacueca,C,C,0,0,0,0,0,0,0,C
Amatitan,5,5,0,5,1,0,0,0,1,0
Ameca,44,31,1,30,3,3,2,0,0,13
San Juanito de Escobedo,5,3,0,3,1,1,0,0,0,2
Arandas,C,C,0,1,0,0,0,0,0,C
El Arenal,C,C,0,3,2,0,0,0,0,C
Atemajac de Brizuela,9,2,0,2,1,0,1,0,0,7
Atengo,12,0,0,0,0,0,0,0,0,12
Atenguillo,5,3,1,3,1,0,0,0,0,2
Atotonilco el Alto,19,1,0,1,0,0,0,0,0,18
Atoyac,11,1,1,0,0,0,0,0,0,10
Autlan de Navarro,27,11,0,7,4,0,2,1,1,16
Ayotlan,15,2,0,1,1,1,0,0,1,13
Ayutla,27,8,2,4,5,0,1,1,0,19
La Barca,28,11,0,5,1,4,0,0,1,17
Bolaños,C,C,0,1,1,0,0,0,0,C
Cabo Corrientes,20,8,0,2,3,2,0,1,1,12
Casimiro Castillo,16,4,2,0,2,1,0,0,1,12
Cihuatlan,15,12,0,11,2,1,0,0,0,3
Zapotlan el Grande,5,3,0,3,0,1,0,0,0,2
Cocula,19,4,0,2,1,1,0,0,0,15
Colotlan,7,0,0,0,0,0,0,0,0,7
Concepcion de Buenos Aires,11,1,0,1,0,0,0,0,1,10
Cuautitlan de Garcia Barragan,12,4,0,0,2,2,1,1,1,8
Cuautla,4,2,1,0,1,0,0,1,0,2
Cuquio,13,3,0,2,1,0,0,0,0,10
Chapala,6,0,0,0,0,0,0,0,0,6
Chimaltitan,C,C,0,2,0,0,1,0,0,C
Chiquilistlan,6,1,0,1,0,0,0,0,0,5
Degollado,23,15,0,14,0,2,0,0,0,8
Ejutla,3,3,0,3,0,0,0,0,0,0
Encarnacion de Diaz,12,5,2,0,3,0,0,0,0,7
Etzatlan,10,5,1,3,1,1,0,0,1,5
El Grullo,8,5,0,5,0,0,0,0,0,3
Guachinango,13,1,0,0,1,0,0,0,0,12
Guadalajara,C,C,0,0,0,0,0,0,0,C
Hostotipaquillo,17,13,3,11,1,0,0,0,1,4
Huejucar,5,0,0,0,0,0,0,0,0,5
Huejuquilla el Alto,3,0,0,0,0,0,0,0,0,3
La Huerta,32,7,1,3,2,1,0,0,2,25
Ixtlahuacan de los Membrillos,10,1,0,1,0,0,0,0,0,9
Ixtlahuacan del Rio,12,1,1,1,0,0,0,0,0,11
Jalostotitlan,C,C,0,0,0,0,0,0,0,C
Jamay,4,2,0,0,0,1,0,0,1,2
Jesus Maria,C,C,0,0,0,0,0,0,0,C
Jilotlan de los Dolores,26,3,1,3,1,0,0,0,0,23
Jocotepec,15,5,1,2,2,3,1,0,1,10
Juanacatlan,6,4,0,3,2,0,0,0,1,2
Juchitlan,7,0,0,0,0,0,0,0,0,7
Lagos de Moreno,44,31,4,23,7,0,1,0,1,13
El Limon,6,3,0,1,2,0,0,0,0,3
Magdalena,10,6,1,5,0,1,2,0,1,4
Santa Maria del Oro,4,0,0,0,0,0,0,0,0,4
La Manzanilla de la Paz,9,1,0,0,0,0,0,0,1,8
Mascota,16,10,0,9,1,0,0,0,0,6
Mazamitla,19,16,0,15,0,1,0,1,0,3
Mexticacan,3,0,0,0,0,0,0,0,0,3
Mezquitic,8,2,1,1,1,0,0,0,1,6
Mixtlan,5,0,0,0,0,0,0,0,0,5
Ocotlan,16,3,0,0,1,2,0,0,0,13
Ojuelos de Jalisco,20,9,0,1,3,1,0,0,5,11
Pihuamo,18,6,0,4,0,1,0,0,2,12
Poncitlan,17,3,1,2,0,1,0,0,0,14
Puerto Vallarta,15,11,1,10,2,0,0,0,1,4
Villa Purificacion,13,5,0,3,3,1,0,0,0,8
Quitupan,25,4,0,4,0,0,0,0,0,21
El Salto,4,1,1,0,0,0,0,0,0,3
San Cristobal de la Barranca,C,C,0,0,1,0,0,0,0,C
San Diego de Alejandria,C,C,0,0,0,0,1,0,0,C
San Juan de los Lagos,7,0,0,0,0,0,0,0,0,7
San Marcos,4,1,0,1,0,0,0,0,0,3
San Martin Hidalgo,18,2,1,2,0,0,0,0,0,16
San Miguel el Alto,C,C,0,0,0,0,0,0,0,C
Gomez Farias,5,2,0,2,0,0,0,0,0,3
San Sebastian del Oeste,18,4,0,4,2,1,0,0,0,14
Santa Maria de los angeles,10,1,1,1,0,0,0,0,0,9
Sayula,5,1,0,1,0,0,0,0,0,4
Tala,13,7,0,6,4,1,1,0,1,6
Talpa de Allende,17,5,0,1,2,0,3,0,1,12
Tamazula de Gordiano,35,22,2,18,3,1,1,1,5,13
Tapalpa,8,2,0,2,2,1,1,0,1,6
Tecalitlan,17,13,0,13,0,0,0,0,0,4
Tecolotlan,20,6,0,4,1,1,1,0,1,14
Techaluta de Montenegro,C,C,0,0,0,0,0,0,0,C
Tenamaxtlan,12,0,0,0,0,0,0,0,0,12
Teocaltiche,11,3,0,3,0,0,0,0,0,8
Teocuitatlan de Corona,27,7,0,1,4,2,0,0,0,20
Tepatitlan de Morelos,C,C,0,0,0,0,0,0,0,C
Tequila,15,10,0,9,1,0,0,0,1,5
Teuchitlan,6,3,0,3,0,0,0,0,0,3
Tizapan el Alto,14,1,0,0,1,1,0,0,0,13
Tlajomulco de Zuñiga,25,11,1,7,1,5,0,0,0,14
Tlaquepaque,7,5,0,5,1,0,1,0,0,2
Toliman,12,6,0,3,1,1,0,0,1,6
Tomatlan,40,23,0,10,16,7,2,0,3,17
Tonala,8,5,1,3,1,1,0,0,0,3
Tonaya,C,C,0,0,0,0,0,0,0,C
Tonila,8,5,3,3,4,2,0,0,0,3
Tototlan,22,2,0,2,0,0,0,0,0,20
Tuxcacuesco,8,1,0,0,0,0,0,0,1,7
Tuxcueca,5,2,0,2,0,0,0,0,0,3
Tuxpan,14,5,0,2,3,2,0,0,0,9
Union de San Antonio,17,6,1,2,1,1,4,1,0,11
Union de Tula,14,4,0,3,1,0,0,0,0,10
Valle de Guadalupe,C,C,0,0,0,0,0,0,0,C
Valle de Juarez,9,2,0,2,0,0,0,0,0,7
San Gabriel,22,5,2,4,1,1,0,0,0,17
Villa Corona,5,2,0,0,2,0,0,0,0,3
Villa Guerrero,C,C,1,0,0,0,0,0,0,C
Villa Hidalgo,4,2,0,2,0,0,0,0,0,2
Cañadas de Obregon,C,C,0,0,0,0,0,0,0,C
Yahualica de Gonzalez Gallo,3,0,0,0,0,0,0,0,0,3
Zacoalco de Torres,16,1,0,0,1,1,0,0,0,15
Zapopan,32,22,1,21,1,2,0,1,0,10
Zapotiltic,18,9,0,9,2,1,0,0,0,9
Zapotitlan de Vadillo,4,2,0,1,1,0,0,0,0,2
Zapotlan del Rey,22,2,0,0,2,0,0,0,0,20
Zapotlanejo,11,0,0,0,0,0,0,0,0,11
Mexico,1233,558,29,454,130,45,20,8,37,675
Acambay,32,9,0,9,1,1,0,0,0,23
Acolman,13,10,1,9,3,1,0,0,1,3
Aculco,26,22,1,22,1,0,0,0,1,4
Almoloya de Alquisiras,12,1,0,1,0,0,0,0,1,11
Almoloya de Juarez,36,22,0,21,4,0,0,0,1,14
Almoloya del Rio,4,1,0,1,1,0,0,0,0,3
Amanalco,19,14,3,11,4,3,1,0,0,5
Amatepec,17,11,0,11,1,1,0,0,0,6
Amecameca,11,3,0,1,2,0,0,0,1,8
Apaxco,C,C,1,0,1,0,1,1,1,C
Atenco,5,2,0,0,1,1,1,0,0,3
Atizapan,C,C,0,0,0,1,0,0,0,C
Atizapan de Zaragoza,C,C,0,0,0,0,0,0,0,C
Atlacomulco,29,7,0,5,4,0,0,1,0,22
Atlautla,C,C,0,0,1,0,0,0,0,C
Axapusco,16,12,2,10,6,2,1,0,0,4
Ayapango,5,1,0,1,1,0,0,0,1,4
Calimaya,9,2,1,1,1,1,0,0,0,7
Capulhuac,4,1,0,1,0,0,1,0,0,3
Coacalco de Berriozabal,C,C,0,0,0,0,0,0,0,C
Coatepec Harinas,11,9,0,9,2,0,0,0,1,2
Cocotitlan,C,C,0,0,0,0,0,0,0,C
Coyotepec,C,C,0,1,1,0,0,0,0,C
Cuautitlan,C,C,0,0,0,0,0,0,0,C
Chalco,14,3,1,1,1,0,0,0,1,11
Chapa de Mota,15,7,1,7,0,0,0,0,0,8
Chapultepec,C,C,0,0,0,0,0,0,0,C
Chiautla,5,2,0,0,1,0,0,0,2,3
Chicoloapan,C,C,0,0,0,0,0,0,0,C
Chiconcuac,C,C,0,0,0,0,0,0,0,C
Chimalhuacan,C,C,0,0,1,1,0,0,1,C
Donato Guerra,17,4,0,2,1,0,0,0,1,13
Ecatepec de Morelos,8,1,0,1,0,0,0,0,0,7
Ecatzingo,C,C,1,0,0,0,0,0,0,C
Huehuetoca,3,3,0,3,1,0,0,0,0,0
Hueypoxtla,11,7,0,3,6,0,0,1,1,4
Huixquilucan,7,4,1,3,0,0,0,0,0,3
Isidro Fabela,4,3,0,2,1,1,0,0,0,1
Ixtapaluca,9,6,0,5,1,1,0,0,0,3
Ixtapan de la Sal,C,C,0,2,0,0,0,0,0,C
Ixtapan del Oro,8,6,0,4,3,0,0,0,0,2
Ixtlahuaca,36,6,0,2,3,3,0,0,1,30
Jaltenco,C,C,0,0,0,0,0,0,0,C
Jilotepec,33,14,0,12,2,2,1,1,0,19
Jilotzingo,7,0,0,0,0,0,0,0,0,7
Jiquipilco,15,5,1,3,0,1,0,0,0,10
Jocotitlan,15,8,0,6,4,1,0,0,0,7
Joquicingo,3,2,1,1,1,0,0,1,0,1
Juchitepec,C,C,0,0,1,0,0,0,0,C
Lerma,20,3,1,0,0,2,0,1,0,17
Malinalco,13,6,0,3,3,0,0,0,1,7
Melchor Ocampo,3,1,0,1,0,0,0,0,0,2
Metepec,5,2,0,1,1,0,1,0,0,3
Mexicaltzingo,C,C,0,0,0,0,0,0,0,C
Morelos,14,3,0,3,1,0,0,0,0,11
Naucalpan de Juarez,8,2,0,2,0,0,0,0,0,6
Nextlalpan,3,2,0,2,0,0,0,0,0,1
Nicolas Romero,9,2,0,2,1,1,0,0,0,7
Nopaltepec,4,4,0,4,2,0,0,0,0,0
Ocoyoacac,8,3,0,1,2,1,1,0,0,5
Ocuilan,5,2,0,1,1,0,0,0,1,3
El Oro,12,4,0,4,1,0,0,0,0,8
Otumba,12,5,1,5,2,2,0,0,0,7
Otzoloapan,C,C,0,0,0,0,0,0,0,C
Otzolotepec,10,9,0,9,0,1,0,0,0,1
Ozumba,5,1,0,1,0,0,0,0,0,4
Papalotla,C,C,1,0,0,0,0,0,0,C
La Paz,C,C,0,0,0,0,0,0,0,C
Polotitlan,10,3,0,2,0,1,0,0,0,7
Rayon,4,0,0,0,0,0,0,0,0,4
San Antonio la Isla,C,C,0,0,0,0,0,0,0,C
San Felipe del Progreso,47,10,2,7,1,0,1,0,1,37
San Martin de las Piramides,8,5,0,4,1,0,0,0,0,3
San Mateo Atenco,C,C,0,0,0,0,0,0,0,C
San Simon de Guerrero,C,C,0,0,0,0,0,0,0,C
Santo Tomas,6,3,0,3,0,0,0,0,0,3
Soyaniquilpan de Juarez,7,7,0,7,4,0,0,0,0,0
Sultepec,9,0,0,0,0,0,0,0,0,9
Tecamac,10,4,0,1,1,0,0,1,1,6
Tejupilco,14,9,0,9,0,1,1,0,0,5
Temamatla,C,C,0,0,0,1,0,0,0,C
Temascalapa,11,7,0,6,3,0,0,0,0,4
Temascalcingo,27,10,0,10,0,0,0,0,0,17
Temascaltepec,36,23,0,19,7,3,2,0,0,13
Temoaya,9,5,0,4,1,0,0,0,0,4
Tenancingo,22,19,1,19,3,0,0,0,0,3
Tenango del Aire,4,0,0,0,0,0,0,0,0,4
Tenango del Valle,13,6,0,4,3,0,0,1,1,7
Teoloyucan,7,4,0,4,0,1,1,0,0,3
Teotihuacan,8,5,0,5,0,0,0,0,0,3
Tepetlaoxtoc,10,3,0,3,0,0,0,0,0,7
Tepetlixpa,4,0,0,0,0,0,0,0,0,4
Tepotzotlan,5,5,0,5,0,0,0,0,0,0
Tequixquiac,3,1,0,0,0,0,0,0,1,2
Texcaltitlan,8,2,0,2,0,0,0,0,0,6
Texcalyacac,C,C,0,0,0,0,0,0,0,C
Texcoco,31,16,3,7,7,4,2,0,2,15
Tezoyuca,C,C,0,0,2,0,0,0,0,C
Tianguistenco,3,3,0,1,0,0,0,0,2,0
Timilpan,7,3,0,3,1,0,0,0,1,4
Tlalmanalco,6,0,0,0,0,0,0,0,0,6
Tlalnepantla de Baz,5,1,0,1,0,0,0,0,0,4
Tlatlaya,23,17,1,14,4,0,1,0,2,6
Toluca,22,7,0,6,0,0,0,0,1,15
Tonatico,5,5,0,5,0,0,0,0,0,0
Tultepec,C,C,0,1,1,0,0,0,0,C
Tultitlan,4,0,0,0,0,0,0,0,0,4
Valle de Bravo,20,18,0,18,0,1,2,0,2,2
Villa de Allende,32,11,0,10,2,1,0,0,2,21
Villa del Carbon,11,11,0,11,2,2,0,0,0,0
Villa Guerrero,12,11,0,11,0,0,0,0,0,1
Villa Victoria,28,7,0,5,3,1,0,0,0,21
Xonacatlan,3,2,0,2,1,0,0,0,1,1
Zacazonapan,C,C,0,1,0,0,0,0,0,C
Zacualpan,12,9,0,8,1,0,0,0,0,3
Zinacantepec,18,14,0,14,0,0,1,0,0,4
Zumpahuacan,C,C,0,1,1,0,1,0,1,C
Zumpango,9,3,2,0,1,0,0,0,0,6
Cuautitlan Izcalli,9,1,0,1,0,0,0,0,0,8
Valle de Chalco Solidaridad,C,C,0,0,0,0,0,0,0,C
Luvianos,3,3,0,3,1,1,0,0,1,0
San Jose del Rincon,50,10,2,7,3,0,0,0,1,40
Michoacan de Ocampo,1910,493,61,355,102,53,24,8,25,1417
Acuitzio,8,2,0,2,1,0,0,0,0,6
Aguililla,16,0,0,0,0,0,0,0,0,16
alvaro Obregon,23,7,0,2,4,1,0,0,0,16
Angamacutiro,24,2,0,0,1,1,0,0,1,22
Angangueo,6,5,1,4,0,1,1,1,0,1
Apatzingan,51,19,3,16,2,1,1,1,0,32
Aporo,C,C,0,2,0,0,0,0,0,C
Aquila,7,7,2,6,2,0,0,0,0,0
Ario,40,11,0,6,4,3,0,0,0,29
Arteaga,20,12,1,9,3,0,0,0,0,8
Briseñas,4,0,0,0,0,0,0,0,0,4
Buenavista,47,11,2,8,2,1,0,0,2,36
Caracuaro,12,1,0,1,0,0,0,0,0,11
Coahuayana,12,11,1,11,1,0,0,0,2,1
Coalcoman de Vazquez Pallares,10,8,0,8,0,0,0,0,0,2
Coeneo,35,15,1,15,1,1,0,0,0,20
Contepec,30,25,0,25,2,1,0,0,1,5
Copandaro,5,0,0,0,0,0,0,0,0,5
Cotija,19,3,0,3,0,0,1,0,0,16
Cuitzeo,9,0,0,0,0,0,0,0,0,9
Charapan,4,0,0,0,0,0,0,0,0,4
Charo,17,1,0,1,1,0,0,0,0,16
Chavinda,12,2,0,0,0,1,1,0,0,10
Cheran,C,C,0,1,1,0,0,0,0,C
Chilchota,13,1,1,0,0,0,0,0,0,12
Chinicuila,8,3,1,2,2,2,1,1,0,5
Chucandiro,14,0,0,0,0,0,0,0,0,14
Churintzio,16,2,0,2,0,0,0,0,0,14
Churumuco,25,3,0,0,2,1,0,0,0,22
Ecuandureo,17,0,0,0,0,0,0,0,0,17
Epitacio Huerta,15,4,1,0,3,1,0,0,0,11
Erongaricuaro,12,12,0,11,1,0,2,0,0,0
Gabriel Zamora,7,4,0,1,2,2,0,1,0,3
Hidalgo,31,13,7,4,0,2,0,0,0,18
La Huacana,68,17,3,7,6,2,3,0,3,51
Huandacareo,5,1,1,0,1,0,0,0,0,4
Huaniqueo,20,1,0,0,0,1,0,0,0,19
Huetamo,54,16,1,16,1,0,0,0,0,38
Huiramba,5,1,0,1,0,0,0,0,0,4
Indaparapeo,12,4,0,2,0,1,0,1,1,8
Irimbo,6,0,0,0,0,0,0,0,0,6
Ixtlan,13,3,0,3,0,0,0,0,0,10
Jacona,4,1,1,1,1,0,0,0,0,3
Jimenez,20,2,1,1,1,0,0,0,0,18
Jiquilpan,10,1,0,1,0,0,0,0,0,9
Juarez,9,1,0,0,1,0,0,0,0,8
Jungapeo,17,3,0,3,0,0,0,0,0,14
Lagunillas,5,0,0,0,0,0,0,0,0,5
Madero,15,3,1,0,0,0,0,0,2,12
Maravatio,34,10,2,7,2,2,0,0,0,24
Marcos Castellanos,8,2,0,2,0,0,0,0,0,6
Lazaro Cardenas,22,18,3,17,1,2,1,0,1,4
Morelia,83,10,2,5,3,0,1,0,0,73
Morelos,8,0,0,0,0,0,0,0,0,8
Mugica,5,4,3,1,2,3,0,0,0,1
Nahuatzen,8,2,0,1,0,1,0,0,0,6
Nocupetaro,13,11,0,11,1,0,0,0,0,2
Nuevo Parangaricutiro,4,2,1,1,1,1,1,1,0,2
Nuevo Urecho,12,7,0,7,1,0,0,0,0,5
Numaran,8,3,0,2,0,0,0,0,1,5
Ocampo,9,4,0,3,1,1,0,0,1,5
Pajacuaran,10,0,0,0,0,0,0,0,0,10
Panindicuaro,18,1,0,1,0,0,0,0,0,17
Paracuaro,21,0,0,0,0,0,0,0,0,21
Paracho,8,3,0,3,2,0,0,0,1,5
Patzcuaro,32,4,0,2,1,0,0,0,1,28
Penjamillo,22,3,0,2,0,1,0,0,0,19
Periban,8,1,0,0,1,0,0,0,0,7
La Piedad,26,2,1,2,0,0,0,0,0,24
Purepero,3,0,0,0,0,0,0,0,0,3
Puruandiro,40,2,1,1,0,0,0,0,0,38
Querendaro,10,0,0,0,0,0,0,0,0,10
Quiroga,4,1,0,0,1,0,0,0,0,3
Cojumatlan de Regules,10,4,0,4,0,0,0,0,0,6
Los Reyes,18,2,0,1,1,1,0,0,0,16
Sahuayo,5,0,0,0,0,0,0,0,0,5
San Lucas,26,2,1,1,1,0,0,0,0,24
Santa Ana Maya,8,1,0,1,0,0,0,0,0,7
Salvador Escalante,37,16,0,16,1,0,0,0,0,21
Senguio,15,3,0,2,0,0,0,0,1,12
Susupuato,13,0,0,0,0,0,0,0,0,13
Tacambaro,20,8,1,6,3,0,0,0,1,12
Tancitaro,12,0,0,0,0,0,0,0,0,12
Tangamandapio,10,4,1,2,2,1,0,0,0,6
Tangancicuaro,21,2,0,1,1,0,0,0,0,19
Tanhuato,12,0,0,0,0,0,0,0,0,12
Taretan,14,8,0,7,2,0,1,1,0,6
Tarimbaro,29,5,0,3,2,0,0,0,0,24
Tepalcatepec,34,25,0,25,1,0,0,0,1,9
Tingambato,4,2,0,2,1,1,0,0,1,2
