INEGI. IX Censo Ejidal 2007,,,,,
Superficie parcelada segun uso agricola y riego,,,,cuadro 3,
por entidad federativa y municipio,,,,,
entidad_federativa_y_municipio,ejidos_y_comunidades_con_superficie_parcelada,superficie_parcelada_(ha)_total,superficie_parcelada_(ha)_con_uso_agricola,superficie_parcelada_(ha)_con_riego,unidad_de_medida
Cuauhtemoc,11,22341.7700,16513.3800,1230.6300,Hectarea
Ixtlahuacan,11,21357.0000,5172.0000,1269.0000,Hectarea
Manzanillo,38,83543.1400,38969.0400,6436.5600,Hectarea
Minatitlan,10,16536.7000,6845.4200,359.8200,Hectarea
Tecoman,22,25904.0900,13058.9800,10712.2600,Hectarea
Villa de alvarez,7,5784.6200,5023.5600,287.0000,Hectarea
Chiapas,2494,2468356.9100,1543041.4900,44175.5100,Hectarea
Acacoyagua,18,12077.0000,8834.0000,263.0000,Hectarea
Acala,27,19327.2500,16988.2500,255.0000,Hectarea
Acapetahua,22,12421.0000,7093.5000,0.0000,Hectarea
Altamirano,17,10170.3800,6853.9500,150.0000,Hectarea
Amatan,19,13241.2500,8832.5000,0.0000,Hectarea
Amatenango de la Frontera,13,18221.0000,15462.0000,210.0000,Hectarea
Amatenango del Valle,2,695.0000,695.0000,30.0000,Hectarea
Angel Albino Corzo,9,19998.8400,3853.0000,0.0000,Hectarea
Arriaga,23,26551.5000,3870.0000,0.0000,Hectarea
Bejucal de Ocampo,3,3940.0000,1570.0000,600.0000,Hectarea
Bella Vista,9,16950.0000,14192.0000,0.0000,Hectarea
Berriozabal,15,10441.0000,3978.0000,50.0000,Hectarea
Bochil,35,22048.4600,15392.5500,16.0000,Hectarea
El Bosque,8,2921.2500,2168.0000,0.0000,Hectarea
Cacahoatan,21,11355.9000,11355.9000,0.0000,Hectarea
Catazaja,27,17758.6000,5976.8500,0.0000,Hectarea
Cintalapa,67,63306.5700,27514.1000,889.5000,Hectarea
Coapilla,7,8077.6200,7584.0300,0.0000,Hectarea
Comitan de Dominguez,24,12131.7100,9381.5900,602.0000,Hectarea
La Concordia,36,66235.2700,28338.9600,2376.0000,Hectarea
Copainala,14,17621.3700,8502.1400,200.0000,Hectarea
Chalchihuitan,1,17560.0000,17560.0000,0.0000,Hectarea
Chamula,4,2563.0000,2213.0000,20.0000,Hectarea
Chanal,1,1510.0000,1007.0000,0.0000,Hectarea
Chapultenango,9,12501.7500,4686.0000,0.0000,Hectarea
Chenalho,10,22724.7300,6245.0800,0.0000,Hectarea
Chiapa de Corzo,43,26157.0500,20803.1100,961.0000,Hectarea
Chiapilla,2,3417.0000,3417.0000,125.0000,Hectarea
Chicomuselo,31,46126.5000,46126.5000,0.0000,Hectarea
Chilon,23,102024.0000,94898.0000,0.0000,Hectarea
Escuintla,35,27741.0000,24981.8000,0.0000,Hectarea
Francisco Leon,5,7068.5000,339.0000,0.0000,Hectarea
Frontera Comalapa,38,61988.5000,45442.0000,2545.5000,Hectarea
Frontera Hidalgo,2,1633.0000,1255.0000,360.0000,Hectarea
La Grandeza,3,4171.0000,3830.0000,2.0000,Hectarea
Huehuetan,19,11358.7900,11358.5900,755.0000,Hectarea
