INEGI. IX Censo Ejidal 2007,,,,,,,
"Total de ejidatarios, comuneros y posesionarios",,,,,,,cuadro 13
por entidad federativa y municipio,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
entidad_federativa_y_municipio,total,ejidatarios_y_comuneros_total,ejidatarios_y_comuneros_hombres,ejidatarios_y_comuneros_mujeres,con_parcela_individual_total,con_parcela_individual_hombres,con_parcela_individual_mujeres
Tezontepec de Aldama,5,4251,3563,688,4251,3563,688
Tianguistengo,24,1901,1614,287,1325,1157,168
Tizayuca,3,829,651,178,801,651,150
Tlahuelilpan,C,576,561,15,576,561,15
Tlahuiltepa,15,1250,962,288,507,489,18
Tlanalapa,3,683,559,124,681,557,124
Tlanchinol,34,7167,6047,1120,5278,4791,487
Tlaxcoapan,4,2047,1835,212,2047,1835,212
Tolcayuca,3,590,469,121,590,469,121
Tula de Allende,25,3656,3034,622,3546,2943,603
Tulancingo de Bravo,14,2002,1350,652,2002,1350,652
Xochiatipan,25,3035,2854,181,2679,2507,172
Xochicoatlan,15,1075,1009,66,424,402,22
Yahualica,20,3499,3303,196,1797,1725,72
Zacualtipan de angeles,19,1276,985,291,807,691,116
Zapotlan de Juarez,3,1302,1052,250,1055,828,227
Zempoala,24,3724,3207,517,3695,3180,515
Zimapan,46,5783,4204,1579,5358,3895,1463
Jalisco,1429,137503,113179,24324,113807,95210,18597
Acatic,C,69,60,9,69,60,9
Acatlan de Juarez,7,616,511,105,616,511,105
Ahualulco de Mercado,8,1968,1570,398,1967,1569,398
Amacueca,C,28,24,4,28,24,4
Amatitan,5,624,549,75,624,549,75
Ameca,44,4808,3894,914,4754,3842,912
San Juanito de Escobedo,5,1278,1078,200,1278,1078,200
Arandas,C,79,75,4,79,75,4
El Arenal,C,720,601,119,720,601,119
Atemajac de Brizuela,9,421,337,84,354,278,76
Atengo,12,753,644,109,493,413,80
Atenguillo,5,242,209,33,106,87,19
Atotonilco el Alto,19,1171,975,196,1163,968,195
Atoyac,11,683,528,155,655,509,146
Autlan de Navarro,27,1810,1474,336,1520,1227,293
Ayotlan,15,1225,1010,215,1225,1010,215
Ayutla,27,1253,1043,210,707,579,128
La Barca,28,4158,3645,513,3937,3462,475
Bolaños,C,60,30,30,0,0,0
Cabo Corrientes,20,4570,3325,1245,334,282,52
Casimiro Castillo,16,1688,1385,303,1551,1269,282
Cihuatlan,15,1620,1347,273,1579,1321,258
Zapotlan el Grande,5,651,416,235,639,416,223
Cocula,19,2282,1873,409,2169,1775,394
Colotlan,7,390,305,85,390,305,85
Concepcion de Buenos Aires,11,700,429,271,700,429,271
Cuautitlan de Garcia Barragan,12,3017,2613,404,945,788,157
Cuautla,4,210,184,26,210,184,26
Cuquio,13,1106,993,113,1098,993,105
Chapala,6,921,830,91,535,490,45
Chimaltitan,C,373,263,110,373,263,110
Chiquilistlan,6,473,398,75,301,258,43
Degollado,23,1083,931,152,1083,931,152
Ejutla,3,143,134,9,143,134,9
Encarnacion de Diaz,12,911,801,110,859,759,100
Etzatlan,10,1188,928,260,1064,816,248
El Grullo,8,508,386,122,508,386,122
Guachinango,13,679,595,84,375,318,57
Guadalajara,C,42,29,13,0,0,0
Hostotipaquillo,17,1216,1104,112,799,717,82
Huejucar,5,404,325,79,322,268,54
Huejuquilla el Alto,3,736,649,87,198,171,27
La Huerta,32,2947,2559,388,2499,2144,355
Ixtlahuacan de Los Membrillos,10,712,614,98,702,614,88
Ixtlahuacan del Rio,12,843,733,110,815,723,92
Jalostotitlan,C,28,28,0,23,23,0
Jamay,4,1452,1156,296,1352,1086,266
Jesus Maria,C,180,156,24,131,124,7
Jilotlan de Los Dolores,26,1843,1437,406,1592,1227,365
Jocotepec,15,1917,1626,291,1711,1481,230
Juanacatlan,6,783,679,104,783,679,104
Juchitlan,7,387,333,54,355,331,24
Lagos de Moreno,44,3044,2690,354,2987,2638,349
El Limon,6,672,507,165,672,507,165
Magdalena,10,1067,837,230,1067,837,230
Santa Maria del Oro,4,210,175,35,195,160,35
La Manzanilla de la Paz,9,401,290,111,297,214,83
Mascota,16,894,746,148,541,486,55
Mazamitla,19,668,528,140,649,515,134
Mexticacan,3,24,23,1,23,23,0
Mezquitic,8,6340,5168,1172,3963,3944,19
Mixtlan,5,256,221,35,145,140,5
Ocotlan,16,1438,1272,166,1438,1272,166
Ojuelos de Jalisco,20,2293,1912,381,2248,1871,377
Pihuamo,18,1438,1220,218,1316,1114,202
Poncitlan,17,1812,1653,159,1266,1117,149
Puerto Vallarta,15,2114,1786,328,1628,1353,275
Villa Purificacion,13,2213,1683,530,477,390,87
Quitupan,25,1393,1103,290,1323,1057,266
El Salto,4,182,140,42,182,140,42
San Cristobal de la Barranca,C,87,79,8,18,17,1
San Diego de Alejandria,C,48,42,6,48,42,6
San Juan de Los Lagos,7,256,184,72,250,178,72
San Marcos,4,476,416,60,476,416,60
San Martin Hidalgo,18,2657,2393,264,2484,2244,240
San Miguel el Alto,C,23,21,2,23,21,2
Gomez Farias,5,514,410,104,514,410,104
San Sebastian del Oeste,18,1420,1240,180,805,733,72
Santa Maria de Los angeles,10,777,688,89,777,688,89
Sayula,5,669,424,245,471,416,55
Tala,13,3287,2470,817,3237,2470,767
Talpa de Allende,17,1745,1378,367,325,248,77
Tamazula de Gordiano,35,2104,1612,492,2044,1580,464
Tapalpa,8,880,668,212,870,659,211
Tecalitlan,17,645,508,137,532,417,115
Tecolotlan,20,1184,1050,134,1075,973,102
Techaluta de Montenegro,C,175,153,22,165,143,22
Tenamaxtlan,12,845,726,119,793,676,117
Teocaltiche,11,1306,1106,200,1260,1084,176
Teocuitatlan de Corona,27,1984,1658,326,1810,1610,200
Tepatitlan de Morelos,C,39,35,4,39,35,4
Tequila,15,890,760,130,845,730,115
Teuchitlan,6,884,718,166,851,698,153
Tizapan el Alto,14,1418,970,448,1409,970,439
Tlajomulco de Zuñiga,25,2798,2389,409,2396,2069,327
Tlaquepaque,7,725,655,70,580,524,56
Toliman,12,897,768,129,570,485,85
Tomatlan,40,4699,3955,744,3977,3348,629
Tonala,8,430,352,78,417,342,75
Tonaya,C,349,294,55,349,294,55
Tonila,8,739,599,140,722,593,129
Tototlan,22,1118,980,138,1111,978,133
Tuxcacuesco,8,611,516,95,498,415,83
Tuxcueca,5,668,597,71,668,597,71
Tuxpan,14,858,655,203,848,645,203
Union de San Antonio,17,679,595,84,647,571,76
Union de Tula,14,1374,1219,155,1335,1188,147
Valle de Guadalupe,C,8,8,0,8,8,0
Valle de Juarez,9,456,337,119,451,334,117
San Gabriel,22,1736,1377,359,1541,1221,320
Villa Corona,5,1417,1203,214,1417,1203,214
Villa Guerrero,C,72,42,30,72,42,30
Villa Hidalgo,4,259,217,42,259,217,42
Cañadas de Obregon,C,59,55,4,59,55,4
Yahualica de Gonzalez Gallo,3,93,80,13,86,80,6
Zacoalco de Torres,16,1639,1292,347,1577,1230,347
Zapopan,32,3271,2510,761,2639,2139,500
Zapotiltic,18,1532,1074,458,1532,1074,458
Zapotitlan de Vadillo,4,312,233,79,227,181,46
Zapotlan del Rey,22,1405,1240,165,1292,1141,151
Zapotlanejo,11,558,453,105,558,453,105
Mexico,1233,323941,264010,59931,272086,227284,44802
Acambay,32,18106,14118,3988,16347,13133,3214
Acolman,13,1856,1584,272,1856,1584,272
Aculco,26,4628,3337,1291,3835,3101,734
Almoloya de Alquisiras,12,1899,1461,438,1602,1228,374
Almoloya de Juarez,36,5272,4273,999,4736,3880,856
Almoloya del Rio,4,1758,1562,196,1478,1292,186
Amanalco,19,2389,1907,482,1837,1442,395
Amatepec,17,1289,931,358,1228,926,302
Amecameca,11,1741,1512,229,936,749,187
Apaxco,C,647,586,61,557,522,35
Atenco,5,1760,1547,213,1760,1547,213
Atizapan,C,77,62,15,77,62,15
Atizapan de Zaragoza,C,53,43,10,53,43,10
Atlacomulco,29,13892,10337,3555,8753,7394,1359
Atlautla,C,1032,851,181,266,230,36
Axapusco,16,2838,2436,402,2835,2436,399
Ayapango,5,412,337,75,409,334,75
Calimaya,9,3464,3037,427,2908,2581,327
Capulhuac,4,2353,1468,885,1633,1468,165
Coacalco de Berriozabal,C,158,109,49,58,42,16
Coatepec Harinas,11,2500,1788,712,1958,1421,537
Cocotitlan,C,301,266,35,301,266,35
Coyotepec,C,626,533,93,626,533,93
Cuautitlan,C,362,311,51,362,311,51
Chalco,14,3043,2255,788,2401,1873,528
Chapa de Mota,15,3194,2733,461,1897,1538,359
Chapultepec,C,402,202,200,402,202,200
Chiautla,5,628,539,89,628,539,89
Chicoloapan,C,659,472,187,614,439,175
Chiconcuac,C,356,251,105,356,251,105
Chimalhuacan,C,1814,907,907,1814,907,907
Donato Guerra,17,4020,3341,679,2305,1990,315
Ecatepec de Morelos,8,1298,1081,217,824,652,172
Ecatzingo,C,880,787,93,710,675,35
Huehuetoca,3,1051,785,266,811,785,26
Hueypoxtla,11,4891,4388,503,3442,3019,423
Huixquilucan,7,2527,2108,419,1720,1552,168
Isidro Fabela,4,1166,1074,92,755,672,83
Ixtapaluca,9,4289,3666,623,1742,1349,393
Ixtapan de la Sal,C,123,96,27,123,96,27
Ixtapan del Oro,8,876,741,135,360,270,90
Ixtlahuaca,36,10543,7385,3158,8548,6052,2496
Jaltenco,C,29,25,4,29,25,4
Jilotepec,33,7900,7261,639,5731,5290,441
Jilotzingo,7,2011,1922,89,785,748,37
Jiquipilco,15,8520,7432,1088,8470,7407,1063
Jocotitlan,15,8040,5445,2595,7735,5165,2570
Joquicingo,3,1081,1056,25,1081,1056,25
Juchitepec,C,1251,952,299,1191,952,239
Lerma,20,8245,6563,1682,7719,6450,1269
Malinalco,13,1388,1159,229,1082,879,203
Melchor Ocampo,3,377,321,56,377,321,56
Metepec,5,1772,1561,211,1772,1561,211
Mexicaltzingo,C,381,331,50,381,331,50
Morelos,14,7016,6598,418,6891,6478,413
Naucalpan de Juarez,8,1516,1152,364,882,808,74
Nextlalpan,3,262,216,46,262,216,46
Nicolas Romero,9,2498,2079,419,1648,1402,246
Nopaltepec,4,919,891,28,919,891,28
Ocoyoacac,8,2439,2020,419,1718,1384,334
Ocuilan,5,10853,8515,2338,8840,8502,338
El Oro,12,7204,6034,1170,7204,6034,1170
Otumba,12,1414,1257,157,1414,1257,157
Otzoloapan,C,101,81,20,101,81,20
Otzolotepec,10,2932,2515,417,2932,2515,417
Ozumba,5,796,680,116,709,598,111
Papalotla,C,74,64,10,38,29,9
La Paz,C,177,107,70,177,107,70
Polotitlan,10,1047,860,187,901,754,147
Rayon,4,590,521,69,590,521,69
San Antonio la Isla,C,525,438,87,525,438,87
San Felipe del Progreso,47,5742,4636,1106,5723,4629,1094
San Martin de las Piramides,8,917,816,101,917,816,101
San Mateo Atenco,C,230,190,40,0,0,0
San Simon de Guerrero,C,1519,1005,514,503,330,173
Santo Tomas,6,247,205,42,209,175,34
Soyaniquilpan de Juarez,7,935,783,152,935,783,152
Sultepec,9,3221,2927,294,2941,2657,284
Tecamac,10,1864,1503,361,1864,1503,361
Tejupilco,14,3553,2382,1171,3481,2315,1166
Temamatla,C,167,127,40,167,127,40
Temascalapa,11,2333,2115,218,2126,1930,196
Temascalcingo,27,8384,6698,1686,7694,6178,1516
Temascaltepec,36,5595,4690,905,2742,2417,325
Temoaya,9,2802,2412,390,2802,2412,390
Tenancingo,22,3614,3258,356,3546,3205,341
Tenango del Aire,4,584,429,155,469,429,40
Tenango del Valle,13,3977,3468,509,3170,2761,409
Teoloyucan,7,1244,1054,190,667,562,105
Teotihuacan,8,1560,1357,203,1460,1357,103
Tepetlaoxtoc,10,969,829,140,936,796,140
Tepetlixpa,4,1534,1362,172,984,942,42
Tepotzotlan,5,730,680,50,647,627,20
Tequixquiac,3,1712,1262,450,1712,1262,450
Texcaltitlan,8,2020,1432,588,2020,1432,588
Texcalyacac,C,720,588,132,720,588,132
Texcoco,31,4133,3071,1062,3344,2678,666
Tezoyuca,C,939,619,320,939,619,320
Tianguistenco,3,2300,1988,312,2200,1908,292
Timilpan,7,10988,10749,239,10737,10618,119
Tlalmanalco,6,544,351,193,539,350,189
Tlalnepantla de Baz,5,472,310,162,356,237,119
Tlatlaya,23,3826,3140,686,3776,3091,685
Toluca,22,12792,10852,1940,9080,7825,1255
Tonatico,5,472,380,92,472,380,92
Tultepec,C,478,372,106,478,372,106
Tultitlan,4,473,361,112,473,361,112
Valle de Bravo,20,1193,859,334,1193,859,334
Villa de Allende,32,6249,4361,1888,6157,4298,1859
Villa del Carbon,11,3418,3182,236,3300,3072,228
Villa Guerrero,12,1905,1745,160,1733,1604,129
Villa Victoria,28,4986,4213,773,4931,4176,755
Xonacatlan,3,2272,1657,615,1997,1447,550
Zacazonapan,C,46,41,5,46,41,5
Zacualpan,12,1994,1207,787,1051,819,232
Zinacantepec,18,4817,4220,597,3824,3377,447
Zumpahuacan,C,88,81,7,88,81,7
Zumpango,9,2462,2042,420,1645,1442,203
Cuautitlan Izcalli,9,1018,810,208,676,561,115
Valle de Chalco Solidaridad,C,146,117,29,81,61,20
Luvianos,3,1787,1092,695,1787,1092,695
San Jose del Rincon,50,5439,4719,720,4781,4096,685
Michoacan de Ocampo,1910,214832,164720,50112,169048,138447,30601
Acuitzio,8,420,298,122,321,235,86
Aguililla,16,1199,923,276,1151,923,228
alvaro Obregon,23,1461,1213,248,1246,1079,167
Angamacutiro,24,1532,1257,275,1385,1144,241
Angangueo,6,579,434,145,552,412,140
Apatzingan,51,3337,2585,752,3040,2359,681
Aporo,C,61,36,25,23,16,7
Aquila,7,3197,2686,511,768,739,29
Ario,40,1727,1267,460,1706,1254,452
Arteaga,20,978,826,152,664,594,70
Briseñas,4,1371,1013,358,1371,1013,358
Buenavista,47,3650,3042,608,3530,2958,572
Caracuaro,12,670,557,113,665,552,113
Coahuayana,12,906,688,218,755,574,181
Coalcoman de Vazquez Pallares,10,677,550,127,613,516,97
Coeneo,35,2034,1646,388,2015,1635,380
Contepec,30,2612,2250,362,2533,2236,297
Copandaro,5,237,186,51,237,186,51
Cotija,19,769,615,154,694,544,150
Cuitzeo,9,452,382,70,442,382,60
Charapan,4,1253,1023,230,1253,1023,230
Charo,17,1282,1048,234,1129,920,209
Chavinda,12,807,689,118,792,685,107
Cheran,C,3055,2455,600,1755,1655,100
Chilchota,13,7811,4982,2829,6718,4929,1789
Chinicuila,8,1582,904,678,482,448,34
Chucandiro,14,696,599,97,655,559,96
Churintzio,16,1301,1192,109,914,838,76
Churumuco,25,2295,1925,370,1456,1200,256
Ecuandureo,17,1479,1107,372,1459,1090,369
Epitacio Huerta,15,1157,1031,126,1157,1031,126
Erongaricuaro,12,1418,864,554,1170,836,334
Gabriel Zamora,7,1097,887,210,1097,887,210
Hidalgo,31,2341,1799,542,1521,1211,310
La Huacana,68,3662,2788,874,3224,2468,756
Huandacareo,5,313,282,31,313,282,31
Huaniqueo,20,908,707,201,763,603,160
Huetamo,54,4460,3405,1055,3718,2859,859
Huiramba,5,314,270,44,309,270,39
Indaparapeo,12,1366,1139,227,1355,1130,225
Irimbo,6,321,255,66,321,255,66
Ixtlan,13,1164,980,184,1164,980,184
Jacona,4,353,283,70,348,283,65
Jimenez,20,1511,1147,364,1496,1134,362
Jiquilpan,10,971,770,201,943,750,193
Juarez,9,712,618,94,684,599,85
Jungapeo,17,1305,1170,135,1188,1074,114
Lagunillas,5,253,206,47,252,206,46
Madero,15,1055,842,213,862,697,165
Maravatio,34,2852,2334,518,2640,2147,493
Marcos Castellanos,8,325,240,85,325,240,85
Lazaro Cardenas,22,1858,1392,466,1311,1011,300
Morelia,83,4131,3331,800,3611,2933,678
Morelos,8,415,307,108,310,255,55
Mugica,5,1705,1158,547,1705,1158,547
Nahuatzen,8,4290,3616,674,4140,3474,666
Nocupetaro,13,1147,938,209,1105,905,200
Nuevo Parangaricutiro,4,1466,1425,41,1415,1405,10
Nuevo Urecho,12,1189,1037,152,1090,974,116
Numaran,8,926,783,143,894,754,140
Ocampo,9,1050,794,256,1025,794,231
Pajacuaran,10,1976,1460,516,1976,1460,516
Panindicuaro,18,1302,1167,135,1244,1140,104
Paracuaro,21,2173,1831,342,2173,1831,342
Paracho,8,5360,4471,889,3660,3446,214
Patzcuaro,32,2155,1774,381,1704,1367,337
Penjamillo,22,2496,2156,340,2313,1986,327
Periban,8,689,604,85,688,604,84
La Piedad,26,3601,2867,734,1531,1321,210
Purepero,3,202,186,16,202,186,16
Puruandiro,40,5291,4443,848,4139,3570,569
Querendaro,10,707,553,154,637,518,119
Quiroga,4,8231,3683,4548,3421,2765,656
Cojumatlan de Regules,10,464,353,111,464,353,111
Los Reyes,18,3471,2042,1429,3467,2042,1425
Sahuayo,5,839,723,116,839,723,116
San Lucas,26,2523,2148,375,2523,2148,375
Santa Ana Maya,8,282,196,86,263,177,86
Salvador Escalante,37,3351,2336,1015,2855,2331,524
Senguio,15,1139,883,256,1011,792,219
Susupuato,13,1179,953,226,1157,949,208
Tacambaro,20,1643,1225,418,1536,1211,325
Tancitaro,12,509,403,106,261,226,35
Tangamandapio,10,1410,1198,212,1406,1198,208
Tangancicuaro,21,2710,2289,421,2116,1785,331
Tanhuato,12,1534,1257,277,1276,1074,202
Taretan,14,1039,877,162,995,839,156
Tarimbaro,29,1473,1245,228,1390,1193,197
Tepalcatepec,34,2790,2278,512,2790,2278,512
Tingambato,4,1449,1078,371,457,405,52
Tingüindin,7,1121,931,190,638,521,117
Tiquicheo de Nicolas Romero,18,1296,1022,274,1285,1011,274
Tlalpujahua,11,1124,907,217,1040,861,179
Tlazazalca,10,767,627,140,699,609,90
Tocumbo,9,1442,1085,357,1050,883,167
Tumbiscatio,12,698,574,124,608,517,91
Turicato,21,3133,2661,472,3132,2660,472
Tuxpan,16,767,564,203,734,537,197
Tuzantla,28,1663,1356,307,1584,1307,277
Tzintzuntzan,8,10027,5118,4909,1087,628,459
Tzitzio,4,131,106,25,130,105,25
Uruapan,31,7306,6032,1274,3004,2833,171
Venustiano Carranza,8,2692,2402,290,2692,2402,290
Villamar,20,2370,2026,344,2115,1837,278
Vista Hermosa,6,2753,1869,884,896,743,153
Yurecuaro,13,1476,1306,170,1476,1306,170
Zacapu,24,2658,1596,1062,2264,1429,835
Zamora,26,2315,1734,581,1938,1504,434
Zinaparo,7,383,338,45,344,327,17
Zinapecuaro,31,2167,1633,534,1758,1338,420
Ziracuaretiro,10,938,792,146,938,792,146
Zitacuaro,31,7695,6228,1467,7021,6118,903
Jose Sixto Verduzco,18,2457,1958,499,2341,1958,383
Morelos,234,64157,51113,13044,54682,45318,9364
Amacuzac,4,1109,968,141,1106,965,141
Atlatlahucan,C,422,342,80,422,342,80
Axochiapan,7,2390,1860,530,1999,1629,370
Ayala,16,4106,3180,926,4106,3180,926
Coatlan del Rio,5,904,768,136,904,768,136
Cuautla,9,2173,1742,431,2173,1742,431
Cuernavaca,11,4136,2773,1363,3639,2384,1255
Emiliano Zapata,6,1630,1290,340,897,656,241
Huitzilac,C,1841,1809,32,1841,1809,32
Jantetelco,7,1599,1398,201,1599,1398,201
Jiutepec,7,927,570,357,753,527,226
Jojutla,9,1797,1421,376,1781,1405,376
Jonacatepec,4,1170,1080,90,1158,1069,89
Mazatepec,C,777,536,241,777,536,241
Miacatlan,6,2067,1839,228,1649,1487,162
Ocuituco,9,2747,2499,248,2580,2347,233
Puente de Ixtla,9,2137,1702,435,1901,1518,383
Temixco,8,1336,1096,240,1260,1046,214
Tepalcingo,10,2147,1894,253,2147,1894,253
Tepoztlan,C,2705,2585,120,2705,2585,120
Tetecala,3,349,304,45,349,304,45
Tetela del Volcan,7,7297,4500,2797,2684,2392,292
Tlalnepantla,3,299,248,51,299,248,51
Tlaltizapan,17,3492,2460,1032,2184,1566,618
Tlaquiltenango,19,2788,2375,413,2694,2284,410
Tlayacapan,7,1288,1114,174,1288,1114,174
Totolapan,6,1169,808,361,956,655,301
Xochitepec,6,1722,1408,314,1319,1014,305
Yautepec,10,2903,2608,295,2902,2607,295
Yecapixtla,11,2151,1945,206,2031,1856,175
Zacatepec de Hidalgo,3,555,280,275,555,280,275
Zacualpan de Amilpas,C,417,376,41,417,376,41
Temoac,4,1607,1335,272,1607,1335,272
Nayarit,404,68724,55830,12894,55888,45627,10261
Acaponeta,24,4042,3402,640,3620,3030,590
Ahuacatlan,8,1260,999,261,1260,999,261
Amatlan de Cañas,17,1276,1007,269,1198,937,261
Compostela,31,6209,5184,1025,5910,5077,833
Huajicori,10,1777,1635,142,787,722,65
Ixtlan del Rio,10,517,450,67,445,416,29
Jala,10,1644,1361,283,1644,1361,283
Xalisco,16,2245,1802,443,2245,1802,443
Del Nayar,24,7078,5996,1082,44,39,5
Rosamorada,32,5529,4413,1116,4981,3940,1041
Ruiz,7,1385,992,393,1065,691,374
San Blas,33,4735,4097,638,4732,4097,635
San Pedro Lagunillas,9,1989,1638,351,1975,1638,337
Santa Maria del Oro,17,2782,2303,479,2679,2216,463
Santiago Ixcuintla,58,9431,7556,1875,9179,7365,1814
Tecuala,25,5714,4595,1119,4940,3995,945
Tepic,51,5153,4343,810,4674,3923,751
Tuxpan,6,2127,1443,684,2127,1443,684
La Yesca,4,1561,878,683,356,328,28
Bahia de Banderas,12,2270,1736,534,2027,1608,419
Nuevo Leon,607,37289,33509,3780,32594,29362,3232
Abasolo,C,27,18,9,27,18,9
Agualeguas,6,428,360,68,321,275,46
Los Aldamas,C,417,404,13,404,399,5
Allende,C,26,24,2,26,24,2
Anahuac,13,596,506,90,544,454,90
Apodaca,C,18,16,2,1,1,0
Aramberri,43,2652,2309,343,2466,2145,321
Bustamante,C,235,194,41,235,194,41
Cadereyta Jimenez,32,1344,1176,168,1154,1022,132
Carmen,C,29,26,3,29,26,3
Cerralvo,C,1361,1313,48,130,130,0
Cienega de Flores,C,60,51,9,60,51,9
China,4,267,251,16,240,227,13
Dr. Arroyo,106,7708,7241,467,7099,6664,435
Dr. Gonzalez,3,115,103,12,47,45,2
Galeana,110,8536,7684,852,7787,7033,754
Garcia,11,510,460,50,507,457,50
Gral. Bravo,C,53,45,8,53,45,8
Gral. Escobedo,C,231,141,90,80,70,10
Gral. Teran,16,649,575,74,614,542,72
Gral. Zaragoza,15,896,820,76,895,820,75
Gral. Zuazua,C,24,23,1,24,23,1
Guadalupe,C,2,2,0,2,2,0
Hualahuises,5,156,138,18,140,122,18
Iturbide,12,470,416,54,339,296,43
Juarez,4,97,87,10,97,87,10
Lampazos de Naranjo,7,276,242,34,276,242,34
Linares,68,2831,2498,333,2665,2352,313
Marin,C,42,34,8,42,34,8
Mier y Noriega,14,1271,1180,91,1072,993,79
Mina,23,1213,1033,180,1164,1001,163
Montemorelos,26,735,644,91,683,601,82
Monterrey,C,42,40,2,0,0,0
Paras,3,103,91,12,103,91,12
Pesqueria,8,413,350,63,413,350,63
Los Ramones,4,166,156,10,159,150,9
Rayones,8,502,445,57,326,295,31
Sabinas Hidalgo,9,541,461,80,504,425,79
Salinas Victoria,7,382,322,60,323,277,46
Hidalgo,C,164,132,32,0,0,0
Santa Catarina,5,319,274,45,319,274,45
Santiago,9,543,491,52,401,372,29
Vallecillo,11,455,386,69,439,386,53
Villaldama,5,384,347,37,384,347,37
Oaxaca,1632,566401,412697,153704,468965,348429,120536
Abejones,C,520,520,0,300,300,0
Acatlan de Perez Figueroa,38,3231,2567,664,2934,2390,544
Asuncion Cacalotepec,C,900,700,200,900,700,200
Asuncion Cuyotepeji,C,284,178,106,284,178,106
Asuncion Ixtaltepec,11,2114,1905,209,2114,1905,209
Asuncion Nochixtlan,11,1800,1311,489,1576,1174,402
Asuncion Tlacolulita,C,333,297,36,86,86,0
Ayotzintepec,6,788,708,80,693,621,72
El Barrio de la Soledad,C,2774,2461,313,150,121,29
Calihuala,4,252,196,56,221,165,56
Candelaria Loxicha,C,2015,1573,442,2015,1573,442
Cienega de Zimatlan,C,630,550,80,630,550,80
Ciudad Ixtepec,C,861,841,20,861,841,20
Coatecas Altas,C,215,188,27,215,188,27
Coicoyan de las Flores,C,1760,1310,450,1760,1310,450
La Compañia,C,603,465,138,603,465,138
Concepcion Buenavista,4,697,584,113,697,584,113
Concepcion Papalo,C,1681,921,760,1681,921,760
Constancia del Rosario,C,264,234,30,264,234,30
Cosolapa,8,622,521,101,622,521,101
Cosoltepec,3,545,360,185,545,360,185
Cuilapam de Guerrero,4,1018,784,234,883,764,119
Cuyamecalco Villa de Zaragoza,C,464,426,38,464,426,38
Chahuites,C,706,606,100,706,606,100
Chalcatongo de Hidalgo,C,7720,6120,1600,2830,2300,530
Chiquihuitlan de Benito Juarez,C,358,343,15,358,343,15
Heroica Ciudad de Ejutla de Crespo,13,1826,1384,442,1801,1384,417
Tamazulapam del Espiritu Santo,C,3000,1400,1600,3000,1400,1600
Fresnillo de Trujano,C,98,88,10,93,88,5
Guadalupe Etla,C,139,109,30,139,109,30
Guadalupe de Ramirez,C,280,210,70,280,210,70
Guelatao de Juarez,C,21,15,6,21,15,6
Guevea de Humboldt,C,1195,1150,45,1195,1150,45
Mesones Hidalgo,3,375,269,106,375,269,106
Villa Hidalgo,C,1,1,0,0,0,0
Heroica Ciudad de Huajuapan de Leon,8,523,431,92,523,431,92
Huautepec,C,3800,1800,2000,1800,1800,0
Ixtlan de Juarez,10,2054,1864,190,1979,1799,180
Heroica Ciudad de Juchitan de Zaragoza,5,1044,901,143,980,839,141
Loma Bonita,37,2149,1614,535,1960,1477,483
Magdalena Apasco,4,602,394,208,602,394,208
Magdalena Jaltepec,C,2047,1207,840,2047,1207,840
Santa Magdalena Jicotlan,C,34,25,9,30,23,7
Magdalena Mixtepec,C,370,283,87,370,283,87
Magdalena Ocotlan,C,131,110,21,131,110,21
Magdalena Peñasco,C,310,220,90,310,220,90
Magdalena Teitipac,C,250,180,70,250,180,70
Magdalena Tequisistlan,3,1000,857,143,444,422,22
Magdalena Tlacotepec,C,300,280,20,300,280,20
Magdalena Zahuatlan,C,200,175,25,200,175,25
Mariscala de Juarez,3,356,297,59,356,297,59
Martires de Tacubaya,C,171,128,43,171,128,43
Matias Romero Avendaño,24,3015,2470,545,2873,2378,495
Miahuatlan de Porfirio Diaz,9,1707,1511,196,1331,1165,166
Mixistlan de la Reforma,C,787,672,115,787,672,115
Monjas,C,38,26,12,38,26,12
Nazareno Etla,C,180,137,43,180,137,43
Nejapa de Madero,9,1273,1105,168,737,622,115
Ixpantepec Nieves,3,674,574,100,671,574,97
Santiago Niltepec,4,1625,1589,36,1325,1299,26
Oaxaca de Juarez,9,880,538,342,239,151,88
Ocotlan de Morelos,10,967,737,230,738,575,163
"La ""Pe""",C,336,228,108,336,228,108
Pinotepa de Don Luis,C,841,721,120,300,180,120
San Jose del Progreso,C,804,759,45,804,759,45
Putla Villa de Guerrero,15,3183,2204,979,2881,2124,757
Santa Catarina Quioquitani,C,158,128,30,158,128,30
Reforma de Pineda,C,173,143,30,160,132,28
La Reforma,4,784,705,79,784,705,79
Reyes Etla,C,199,140,59,199,140,59
Rojas de Cuauhtemoc,C,266,186,80,266,186,80
Salina Cruz,3,452,376,76,295,219,76
San Agustin Amatengo,C,480,354,126,470,354,116
San Agustin Atenango,C,580,382,198,580,382,198
San Agustin Chayuco,5,1115,968,147,1115,968,147
San Agustin de las Juntas,C,426,360,66,406,360,46
San Agustin Etla,C,100,100,0,100,100,0
San Agustin Loxicha,C,6800,3800,3000,6800,3800,3000
San Agustin Tlacotepec,C,958,548,410,958,548,410
San Agustin Yatareni,C,300,275,25,300,275,25
San Andres Cabecera Nueva,C,1028,528,500,1028,528,500
San Andres Dinicuiti,3,550,432,118,550,432,118
San Andres Huaxpaltepec,C,450,250,200,450,250,200
San Andres Huayapam,C,362,337,25,362,337,25
San Andres Ixtlahuaca,C,60,37,23,40,22,18
