INEGI. IX Censo Ejidal 2007,,,,,,,
"Total de ejidatarios, comuneros y posesionarios",,,,,,,cuadro 13
por entidad federativa y municipio,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
entidad_federativa_y_municipio,total,ejidatarios_y_comuneros_total,ejidatarios_y_comuneros_hombres,ejidatarios_y_comuneros_mujeres,con_parcela_individual_total,con_parcela_individual_hombres,con_parcela_individual_mujeres
Huitiupan,50,3163,2966,197,2555,2451,104
Huixtla,20,2606,1999,607,2332,1837,495
La Independencia,32,2778,2647,131,2064,1953,111
Ixhuatan,6,921,853,68,892,853,39
Ixtacomitan,12,787,668,119,787,668,119
Ixtapa,32,2887,2623,264,2795,2533,262
Ixtapangajoya,4,186,169,17,184,169,15
Jiquipilas,64,4960,4285,675,4638,4062,576
Jitotol,22,1482,1311,171,1423,1262,161
Juarez,6,465,371,94,465,371,94
Larrainzar,3,1912,1861,51,41,40,1
La Libertad,4,273,215,58,273,215,58
Mapastepec,56,3705,2950,755,3353,2642,711
Las Margaritas,145,13252,12201,1051,11666,10874,792
Mazapa de Madero,4,699,609,90,699,609,90
Mazatan,18,2328,1815,513,2302,1789,513
Metapa,C,152,118,34,152,118,34
Mitontic,C,3000,2850,150,2990,2850,140
Motozintla,43,3511,3139,372,3059,2709,350
Ocosingo,159,13231,12247,984,6352,5791,561
Ocotepec,C,593,548,45,0,0,0
Ocozocoautla de Espinosa,74,5356,4878,478,5068,4631,437
Ostuacan,29,1735,1414,321,1661,1377,284
Osumacinta,3,228,201,27,126,106,20
Oxchuc,3,10191,9683,508,10191,9683,508
Palenque,163,8892,7656,1236,8242,7194,1048
Pantelho,9,1120,1072,48,1021,975,46
Pantepec,6,1106,867,239,906,675,231
Pichucalco,9,879,747,132,741,629,112
Pijijiapan,70,4922,3844,1078,3769,2954,815
El Porvenir,5,476,445,31,476,445,31
Villa Comaltitlan,19,2511,1802,709,2491,1782,709
Pueblo Nuevo Solistahuacan,21,2217,2078,139,2027,1898,129
Rayon,4,538,458,80,538,458,80
Reforma,7,552,414,138,552,414,138
Las Rosas,17,4817,4377,440,4076,3674,402
Sabanilla,19,4458,4224,234,3644,3437,207
Salto de Agua,86,5718,5426,292,5573,5298,275
San Cristobal de las Casas,16,4012,2607,1405,2925,2580,345
San Fernando,18,2001,1857,144,1120,988,132
Siltepec,18,2828,2570,258,2828,2570,258
Simojovel,53,3605,3379,226,2135,2006,129
Sitala,7,285,263,22,285,263,22
Socoltenango,33,2610,2049,561,2606,2049,557
Solosuchiapa,11,671,605,66,611,555,56
Soyalo,4,1067,1030,37,41,36,5
Suchiapa,9,1236,1096,140,1230,1092,138
Suchiate,17,1091,802,289,1077,788,289
Sunuapa,C,44,36,8,44,36,8
Tapachula,52,3849,3036,813,3815,3014,801
Tapalapa,C,492,386,106,492,386,106
Tapilula,4,982,895,87,982,895,87
Tecpatan,59,4116,3376,740,3971,3254,717
Tenejapa,7,3850,3331,519,3792,3274,518
Teopisca,16,1936,1855,81,1936,1855,81
Tila,29,7238,6943,295,3304,3194,110
Tonala,54,4092,3236,856,3704,2955,749
Totolapa,8,495,464,31,495,464,31
La Trinitaria,85,7909,6960,949,6780,5930,850
Tumbala,24,2812,2699,113,2329,2248,81
Tuxtla Gutierrez,6,810,718,92,800,711,89
Tuxtla Chico,7,669,502,167,669,502,167
Tuzantan,16,1649,1194,455,1649,1194,455
Tzimol,18,1826,1528,298,1582,1347,235
Union Juarez,12,873,640,233,873,640,233
Venustiano Carranza,41,21053,14406,6647,10090,8667,1423
Villa Corzo,71,4823,4180,643,4572,3988,584
Villaflores,67,6128,5237,891,5801,4977,824
Yajalon,8,593,570,23,333,326,7
San Lucas,C,646,565,81,646,565,81
Zinacantan,6,6459,6295,164,6407,6247,160
San Juan Cancuc,C,6500,6490,10,6500,6490,10
Aldama,C,1007,972,35,0,0,0
Benemerito de las Americas,14,2927,2210,717,2861,2182,679
Maravilla Tenejapa,33,1566,1445,121,1534,1413,121
Marques de Comillas,23,2211,1552,659,2131,1494,637
Montecristo de Guerrero,5,623,571,52,331,293,38
San Andres Duraznal,5,901,713,188,854,668,186
Santiago el Pinar,C,600,500,100,0,0,0
Chihuahua,987,107187,89552,17635,81385,70622,10763
Ahumada,24,1552,1318,234,1269,1085,184
Aldama,24,2281,2077,204,1824,1653,171
Allende,21,1070,922,148,1021,882,139
Aquiles Serdan,C,230,189,41,230,189,41
Ascension,21,1756,1436,320,837,709,128
Bachiniva,11,1171,1022,149,1148,1010,138
Balleza,20,3221,2600,621,1446,1265,181
Batopilas,12,3240,2940,300,1885,1731,154
Bocoyna,26,3887,2889,998,3731,2811,920
Buenaventura,9,1225,1010,215,966,819,147
Camargo,24,921,799,122,679,610,69
Carichi,23,2360,2093,267,2181,1936,245
Casas Grandes,13,1636,1437,199,1569,1374,195
Coronado,6,355,329,26,355,329,26
Coyame del Sotol,12,458,425,33,238,216,22
La Cruz,5,373,337,36,326,291,35
Cuauhtemoc,26,2419,2124,295,2418,2123,295
Cusihuiriachi,21,1071,915,156,901,764,137
Chihuahua,47,3407,2983,424,2708,2408,300
Chinipas,16,1500,1284,216,365,343,22
Delicias,4,283,220,63,205,161,44
Dr. Belisario Dominguez,9,1205,1100,105,1189,1084,105
Galeana,4,482,429,53,403,356,47
Santa Isabel,8,951,819,132,907,782,125
Gomez Farias,7,1523,1212,311,1519,1212,307
Gran Morelos,10,1032,915,117,1031,914,117
Guachochi,26,8421,7407,1014,4667,4389,278
Guadalupe,7,917,768,149,842,703,139
Guadalupe y Calvo,45,8241,6419,1822,5520,4775,745
Guazapares,11,1733,1355,378,731,651,80
Guerrero,50,5245,4398,847,4474,4143,331
Hidalgo del Parral,12,391,340,51,383,333,50
Huejotitan,8,471,396,75,436,365,71
Ignacio Zaragoza,4,1899,1656,243,1652,1632,20
Janos,14,1893,1750,143,1701,1584,117
Jimenez,53,2422,2024,398,1712,1488,224
Juarez,10,881,666,215,801,596,205
Julimes,6,673,552,121,666,552,114
Lopez,12,817,705,112,776,695,81
Madera,20,3440,2396,1044,1434,1104,330
Maguarichi,5,250,211,39,199,169,30
Manuel Benavides,14,652,604,48,549,521,28
Matachi,5,427,361,66,420,357,63
Matamoros,8,604,517,87,604,517,87
Meoqui,4,1128,971,157,1124,971,153
Morelos,17,1156,986,170,166,165,1
Moris,10,801,728,73,748,701,47
Namiquipa,12,3308,2699,609,3308,2699,609
Nonoava,C,712,586,126,686,568,118
Nuevo Casas Grandes,C,187,170,17,185,170,15
Ocampo,17,1708,1308,400,1366,1104,262
Ojinaga,33,2030,1834,196,1712,1556,156
Praxedis G. Guerrero,5,906,795,111,906,795,111
Riva Palacio,9,553,505,48,547,505,42
Rosales,11,2891,2190,701,2431,2094,337
Rosario,7,547,485,62,424,372,52
San Francisco de Borja,9,434,373,61,392,336,56
San Francisco de Conchos,7,384,332,52,341,307,34
San Francisco del Oro,4,244,204,40,242,204,38
Santa Barbara,9,436,376,60,436,376,60
Satevo,20,1505,1335,170,1309,1245,64
Saucillo,13,944,784,160,813,684,129
Temosachi,13,1332,1062,270,1011,852,159
El Tule,4,364,293,71,364,293,71
Urique,29,3652,3038,614,1210,1053,157
Uruachi,19,2233,1549,684,2070,1401,669
