INEGI. IX Censo Ejidal 2007,,,,
Ejidos y comunidades con vehiculos para uso agropecuario o forestal de su propiedad,,,,cuadro 29
segun cantidad y funcionamiento por entidad federativa y municipio,,,,
,,,,
,,,,
,,,,
entidad_federativa_y_municipio,ejidos_y_comunidades_con_vehiculos,cantidad_de_vehiculos,con_vehiculos_en_funcionamiento_ejidos_y_comunidades,con_vehiculos_en_funcionamiento_cantidad
Tepetongo,1,1,1,1
Teul de Gonzalez Ortega,2,2,2,2
Valparaiso,1,1,1,1
Villa Gonzalez Ortega,1,1,0,0
Villanueva,2,2,2,2
Zacatecas,1,1,1,1
NOTAS: La Informacion presentada corresponde a los datos captados en el cuestionario por medio de la pregunta:  33,,,,
"Los datos sobre construcciones, maquinaria, tractores y vehiculos se refieren exclusivamente a aquellos que son considerados propiedad del ejido o de la comunidad. Quedan fuera todos aquellos que pudieran estar disponibles para los sujetos de derecho pero que no se consideran propiedad del nucleo agrario. Los criterios de que se valen los informantes para asignar la titularidad de los activos mencionados no son siempre consistentes entre censos, lo que limita la comparabilidad con eventos anteriores.",,,,
,,,,
,,,,
http://www3.inegi.org.mx/sistemas/tabuladosbasicos/default.aspx?c=17351&s=est,,,,
