INEGI. IX Censo Ejidal 2007,,,,
Ejidos y comunidades con vehiculos para uso agropecuario o forestal de su propiedad,,,,cuadro 29
segun cantidad y funcionamiento por entidad federativa y municipio,,,,
,,,,
,,,,
,,,,
entidad_federativa_y_municipio,ejidos_y_comunidades_con_vehiculos,cantidad_de_vehiculos,con_vehiculos_en_funcionamiento_ejidos_y_comunidades,con_vehiculos_en_funcionamiento_cantidad
Pachuca de Soto,1,1,1,1
San Agustin Tlaxiaca,3,3,2,2
Santiago de Anaya,1,1,1,1
Singuilucan,4,5,4,5
Tasquillo,1,1,1,1
Tecozautla,3,5,3,4
Tepeapulco,1,2,1,1
Tepeji del Rio de Ocampo,2,7,2,7
Tezontepec de Aldama,1,1,1,1
Tizayuca,1,2,1,2
Tlaxcoapan,1,1,1,1
Tolcayuca,1,1,1,1
Tula de Allende,3,3,3,3
Tulancingo de Bravo,1,1,1,1
Zacualtipan de angeles,1,3,1,3
Zempoala,3,4,3,4
Zimapan,1,2,1,2
Jalisco,94,201,92,191
Acatic,1,3,1,3
Acatlan de Juarez,3,5,3,5
Ahualulco de Mercado,4,9,4,9
Ameca,3,3,2,2
San Juanito de Escobedo,2,2,2,2
El Arenal,1,2,1,2
Atenguillo,2,2,2,2
Autlan de Navarro,1,1,1,1
Ayotlan,1,2,1,2
Ayutla,1,1,1,1
La Barca,1,1,1,1
Casimiro Castillo,2,3,2,3
Zapotlan el Grande,1,3,1,3
Concepcion de Buenos Aires,1,1,1,1
Cuautitlan de Garcia Barragan,2,3,2,2
Cuautla,1,2,1,1
Chapala,1,2,1,2
Chimaltitan,1,2,1,2
El Grullo,1,1,1,1
Hostotipaquillo,2,8,2,8
La Huerta,1,1,1,1
Ixtlahuacan del Rio,1,1,1,1
Jamay,1,2,1,2
Jocotepec,1,1,1,1
Magdalena,1,4,1,3
Mascota,3,3,3,3
Mezquitic,4,11,4,11
Pihuamo,1,1,1,1
Puerto Vallarta,4,12,4,12
Villa Purificacion,1,1,1,1
San Marcos,1,2,1,2
San Martin Hidalgo,1,2,1,2
Tala,3,8,3,6
Talpa de Allende,3,12,3,12
Tamazula de Gordiano,4,10,4,10
Tapalpa,1,2,1,2
Tecolotlan,1,1,1,1
Techaluta de Montenegro,1,1,1,1
Tenamaxtlan,1,1,1,1
Tequila,1,1,1,1
Teuchitlan,3,4,3,3
Tizapan el Alto,1,1,1,1
Tlajomulco de Zuñiga,8,15,7,14
Tomatlan,1,1,1,1
Tonila,4,20,4,20
Tuxpan,1,1,1,1
Zacoalco de Torres,1,4,1,2
Zapopan,3,8,3,8
Zapotiltic,5,14,5,14
Mexico,89,157,85,146
Acolman,3,8,3,8
Amanalco,3,4,3,4
Amecameca,1,2,1,2
Apaxco,2,5,2,5
Atizapan de Zaragoza,1,1,1,1
Atlacomulco,2,3,1,2
Capulhuac,1,1,0,0
Coatepec Harinas,1,2,1,2
Coyotepec,1,1,1,1
Chalco,6,8,6,8
Ecatepec de Morelos,2,2,2,2
Ecatzingo,2,3,2,2
Huehuetoca,1,1,1,1
Hueypoxtla,1,1,1,1
Huixquilucan,1,2,1,2
Ixtapaluca,7,14,7,13
Ixtlahuaca,2,2,2,2
Jilotzingo,1,1,1,1
Jiquipilco,1,7,1,7
Juchitepec,1,1,1,1
Malinalco,1,1,1,1
Naucalpan de Juarez,2,3,2,3
Nicolas Romero,1,1,1,1
Ocoyoacac,3,4,3,4
Ocuilan,1,2,1,2
Otumba,2,2,2,2
Ozumba,1,2,0,0
Polotitlan,1,1,1,1
Tecamac,1,2,1,2
Temascaltepec,5,8,5,8
Tenango del Valle,1,1,1,1
Teotihuacan,1,1,1,1
Tepetlaoxtoc,4,10,4,8
Tepotzotlan,1,1,1,1
Tequixquiac,2,3,2,3
Texcalyacac,1,1,1,1
Texcoco,8,20,8,19
Tezoyuca,2,3,2,2
Timilpan,1,2,1,2
Tlalmanalco,1,3,1,3
Villa de Allende,2,2,2,2
Villa del Carbon,3,10,3,10
Villa Guerrero,1,1,1,1
Zinacantepec,3,4,2,3
Michoacan de Ocampo,87,175,81,159
Acuitzio,1,4,1,4
alvaro Obregon,1,1,0,0
Ario,1,1,1,1
Buenavista,1,10,1,10
Coalcoman de Vazquez Pallares,1,15,1,15
Coeneo,1,1,1,1
Contepec,1,5,1,5
Charapan,1,2,1,2
Cheran,1,2,1,2
Chilchota,1,2,1,1
Chinicuila,2,2,2,2
Ecuandureo,2,3,2,3
Erongaricuaro,5,8,4,4
Hidalgo,2,3,2,3
Huandacareo,2,2,1,1
Huetamo,1,4,1,4
Indaparapeo,1,1,1,1
Irimbo,2,4,1,2
Ixtlan,1,4,1,2
Jacona,1,2,1,2
Jiquilpan,2,2,2,2
Morelia,3,3,3,3
Mugica,1,3,1,2
Nahuatzen,1,1,1,1
Nuevo Parangaricutiro,1,2,1,2
Ocampo,1,1,1,1
Pajacuaran,3,3,2,2
Paracuaro,1,1,1,1
Paracho,1,2,1,2
Patzcuaro,1,1,1,1
Periban,1,1,1,1
Querendaro,3,7,3,7
Quiroga,2,2,2,2
Sahuayo,1,2,1,2
San Lucas,1,1,1,1
Salvador Escalante,4,13,4,13
Senguio,2,2,2,2
Tacambaro,4,10,4,9
Tangancicuaro,2,3,2,3
Taretan,4,4,4,4
Tingambato,2,5,2,5
Tlalpujahua,1,1,1,1
Tuxpan,1,1,1,1
Tzintzuntzan,1,1,1,1
Uruapan,4,8,4,8
Venustiano Carranza,1,1,0,0
Villamar,1,1,1,1
Zacapu,1,1,1,1
Zamora,2,6,2,6
Zinapecuaro,2,3,2,3
Ziracuaretiro,1,1,1,1
Zitacuaro,1,1,1,1
Jose Sixto Verduzco,1,5,1,4
Morelos,60,91,53,81
Atlatlahucan,1,1,1,1
Axochiapan,3,3,3,3
Ayala,4,5,4,5
Cuautla,5,7,5,7
Cuernavaca,3,5,3,5
Emiliano Zapata,4,5,3,4
Huitzilac,1,3,1,3
Jantetelco,3,3,2,2
Jiutepec,4,7,3,6
Jojutla,4,6,4,6
Puente de Ixtla,2,4,2,4
Temixco,5,9,4,7
Tepalcingo,1,1,1,1
Tepoztlan,1,3,1,3
Tetecala,1,1,0,0
Tetela del Volcan,2,2,2,2
Tlaltizapan,8,12,6,9
Tlaquiltenango,2,5,2,5
Totolapan,1,1,1,1
Xochitepec,1,2,1,1
Yautepec,3,5,3,5
Zacatepec de Hidalgo,1,1,1,1
Nayarit,76,139,71,124
Acaponeta,1,2,0,0
Ahuacatlan,1,1,1,1
Compostela,12,30,12,30
Huajicori,3,6,2,5
Jala,4,6,4,6
Xalisco,3,7,3,7
Del Nayar,4,10,4,5
Rosamorada,8,10,8,10
Ruiz,1,2,1,2
San Blas,4,4,4,4
San Pedro Lagunillas,2,2,2,2
Santa Maria del Oro,3,4,3,4
Santiago Ixcuintla,12,21,10,16
Tecuala,1,1,1,1
Tepic,8,17,8,17
Tuxpan,3,5,2,3
La Yesca,1,1,1,1
Bahia de Banderas,5,10,5,10
Nuevo Leon,12,18,9,13
Aramberri,1,1,1,1
Galeana,4,6,3,3
Gral. Zaragoza,2,4,2,4
Linares,2,2,0,0
Mina,2,3,2,3
Montemorelos,1,2,1,2
Oaxaca,250,535,246,524
Abejones,1,2,1,2
Acatlan de Perez Figueroa,9,14,9,14
Asuncion Ixtaltepec,2,3,2,3
Asuncion Nochixtlan,2,4,2,4
El Barrio de la Soledad,2,6,2,6
Ciudad Ixtepec,1,2,1,2
Concepcion Buenavista,1,1,1,1
Concepcion Papalo,2,4,2,4
Cosoltepec,1,4,1,4
Heroica Ciudad de Ejutla de Crespo,2,8,2,8
Guadalupe Etla,1,1,1,1
Mesones Hidalgo,1,1,1,1
Heroica Ciudad de Huajuapan de Leon,3,6,3,6
Ixtlan de Juarez,1,2,1,2
Loma Bonita,1,1,1,1
Magdalena Apasco,2,2,2,2
Magdalena Peñasco,1,1,1,1
Magdalena Teitipac,1,1,1,1
Magdalena Tlacotepec,1,3,1,3
Matias Romero Avendaño,2,2,1,1
Ixpantepec Nieves,1,1,1,1
San Jose del Progreso,1,1,1,1
Putla Villa de Guerrero,1,1,1,1
Reforma de Pineda,1,1,1,1
La Reforma,2,2,2,2
Salina Cruz,2,5,2,5
San Agustin Amatengo,1,5,1,5
San Agustin de las Juntas,1,1,1,1
San Agustin Etla,1,3,1,3
San Agustin Loxicha,1,1,1,1
San Andres Cabecera Nueva,1,3,1,3
San Andres Huayapam,1,3,1,3
San Andres Lagunas,1,1,1,1
San Andres Sinaxtla,1,3,1,3
San Andres Zautla,1,1,1,1
San Antonino el Alto,1,6,1,6
San Antonio Acutla,1,1,1,1
San Antonio de la Cal,1,1,1,1
San Antonio Huitepec,2,4,2,4
San Antonio Tepetlapa,1,1,1,1
San Bartolo Coyotepec,1,1,1,1
San Bartolome Loxicha,1,2,1,2
San Bartolome Yucuañe,1,2,1,2
San Bartolome Zoogocho,1,2,1,2
San Bartolo Soyaltepec,1,1,1,1
San Bartolo Yautepec,1,2,1,2
San Bernardo Mixtepec,2,3,2,3
San Carlos Yautepec,3,5,3,5
San Cristobal Amatlan,1,1,1,1
San Cristobal Amoltepec,1,1,1,1
San Dionisio del Mar,1,1,1,1
San Esteban Atatlahuca,1,1,1,1
San Felipe Tejalapam,2,3,2,3
San Francisco Cahuacua,1,4,1,4
San Francisco Cajonos,1,1,1,1
San Francisco Ixhuatan,1,2,1,2
San Francisco Lachigolo,1,1,1,1
San Francisco Sola,1,4,1,4
San Francisco Telixtlahuaca,1,2,1,2
San Ildefonso Sola,1,3,1,3
San Ines Silacayoapilla,1,1,1,1
San Ines Sosola,2,4,2,4
San Jose Chiltepec,1,3,1,3
San Juan Atepec,1,7,1,7
Animas Trujano,1,1,1,1
San Juan Bautista Atatlahuca,1,3,1,3
San Juan Bautista Cuicatlan,2,2,2,2
San Juan Bautista Guelache,1,1,1,1
San Juan Bautista Jayacatlan,1,5,1,5
San Juan Bautista Tuxtepec,4,12,4,12
San Juan Colorado,1,6,1,6
San Juan Comaltepec,1,2,1,2
San Juan Cotzocon,2,5,2,3
San Juan del Estado,1,5,1,5
San Juan del Rio,1,1,1,1
San Juan Diuxi,1,1,1,1
San Juan Guichicovi,1,1,1,1
San Juan de los Cues,1,1,1,1
San Juan Mazatlan,2,2,2,2
San Juan Mixtepec -Dto. 08-,1,1,1,1
San Juan Mixtepec -Dto. 26-,1,4,1,4
San Juan Ñumi,1,1,0,0
San Juan Quiahije,1,2,1,2
San Juan Quiotepec,1,3,1,3
San Juan Tepeuxila,2,2,2,2
San Lorenzo Albarradas,1,2,1,2
San Lorenzo Cacaotepec,1,2,1,2
San Lucas Quiavini,1,1,1,1
San Martin Toxpalan,2,2,2,2
Capulalpam de Mendez,1,5,1,5
San Mateo del Mar,1,1,1,1
San Mateo Etlatongo,1,1,1,1
San Mateo Peñasco,1,1,1,1
San Miguel Aloapam,1,5,1,5
San Miguel Coatlan,1,1,1,1
San Miguel Chimalapa,1,1,1,1
San Miguel del Puerto,3,3,3,3
San Miguel Mixtepec,1,3,1,3
San Miguel Peras,1,4,1,4
Villa Sola de Vega,2,4,2,4
San Miguel Soyaltepec,1,1,1,1
San Pablo Coatlan,2,3,2,3
San Pablo Cuatro Venados,1,1,1,1
San Pablo Etla,1,1,1,1
San Pablo Macuiltianguis,1,3,1,3
San Pablo Tijaltepec,1,1,1,1
San Pablo Villa de Mitla,2,3,2,3
San Pedro Cajonos,1,1,0,0
San Pedro Ixtlahuaca,1,2,1,2
San Pedro Juchatengo,1,2,1,2
San Pedro Ocotepec,1,3,1,3
San Pedro Pochutla,1,1,1,1
San Pedro Totolapa,1,1,1,1
San Pedro Yaneri,1,1,1,1
San Pedro Yolox,2,10,2,10
San Pedro y San Pablo Teposcolula,1,1,1,1
San Pedro y San Pablo Tequixtepec,1,1,1,1
San Sebastian Abasolo,1,3,1,3
San Sebastian Coatlan,1,1,1,1
Santa Ana,1,1,1,1
Santa Ana del Valle,1,1,1,1
Santa Ana Tlapacoyan,1,1,1,1
Santa Ana Yareni,1,1,1,1
Santa Catarina Ixtepeji,2,9,2,9
Santa Catarina Lachatao,1,9,1,9
Santa Catarina Mechoacan,1,1,1,1
Santa Catarina Yosonotu,1,1,1,1
Santa Cruz Itundujia,2,6,2,6
Santa Cruz Zenzontepec,1,7,1,7
Santa Ines del Monte,1,1,1,1
Santa Lucia Monteverde,1,1,1,1
Santa Maria Apazco,1,1,1,1
Santa Maria Atzompa,1,1,1,1
Santa Maria Coyotepec,1,2,1,2
Villa de Chilapa de Diaz,1,1,1,1
Santa Maria Chimalapa,1,5,1,2
Santa Maria del Tule,2,2,2,2
Santa Maria Ecatepec,1,1,1,1
Santa Maria Guienagati,1,1,1,1
Santa Maria Huatulco,1,5,1,5
Santa Maria Ipalapa,2,3,2,3
Santa Maria Ixcatlan,1,1,1,1
Santa Maria Jalapa del Marques,1,4,1,4
Santa Maria Jaltianguis,1,4,1,4
Santa Maria Mixtequilla,1,5,1,5
Santa Maria Nativitas,1,1,1,1
Santa Maria Nduayaco,1,3,1,3
Santa Maria Papalo,1,2,1,2
Santa Maria Tataltepec,1,3,1,3
Santa Maria Texcatitlan,1,3,1,3
Santa Maria Tonameca,2,4,2,4
Santa Maria Yalina,1,2,1,2
Santa Maria Yucuhiti,1,1,1,1
Santa Maria Zaniza,1,1,1,1
Santiago Choapam,1,1,0,0
Santiago Ixtayutla,2,2,2,2
Santiago Jamiltepec,1,1,1,1
Santiago Juxtlahuaca,3,6,3,6
Santiago Laxopa,1,4,1,4
Santiago Matatlan,1,1,1,1
Santiago Nacaltepec,2,2,2,2
Santiago Nundiche,1,1,1,1
Santiago Nuyoo,1,1,1,1
Santiago Suchilquitongo,1,3,1,3
Santiago Textitlan,1,18,1,18
Santiago Tilantongo,1,1,1,1
Santiago Tlazoyaltepec,1,4,1,4
Santiago Xiacui,3,10,3,9
Santiago Yaveo,1,2,1,2
Santiago Yosondua,1,2,1,2
Santiago Zacatepec,1,2,1,2
Nuevo Zoquiapam,1,3,1,3
Santo Domingo Albarradas,1,1,1,1
Santo Domingo Chihuitan,1,2,1,2
Santo Domingo Tehuantepec,2,9,2,8
Santo Domingo Teojomulco,1,3,1,3
Santo Tomas Mazaltepec,1,1,1,1
San Vicente Coatlan,1,2,1,2
San Vicente Lachixio,2,5,2,5
Silacayoapam,1,1,1,1
Soledad Etla,1,1,1,1
Teococuilco de Marcos Perez,1,5,1,5
Tepelmeme Villa de Morelos,1,2,1,2
San Ines Tlacochahuaya,1,1,1,1
Tlacolula de Matamoros,2,2,2,2
Tlacotepec Plumas,1,1,1,1
Tlalixtac de Cabrera,1,3,1,3
Totontepec Villa de Morelos,2,5,2,5
Villa Diaz Ordaz,1,1,1,1
Yaxe,1,1,1,1
Yogana,1,1,1,1
Yutanduchi de Guerrero,1,4,1,4
Villa de Zaachila,1,1,1,1
Zimatlan de alvarez,3,17,3,17
Puebla,63,112,61,103
Atlixco,2,2,1,1
Caltepec,2,2,2,2
Coxcatlan,1,1,1,1
Chiautla,1,2,1,2
Chietla,2,5,2,5
Chignahuapan,5,7,5,6
Chignautla,2,3,2,3
Chilchotla,1,1,1,1
Ixtacamaxtitlan,1,1,1,1
Izucar de Matamoros,4,11,4,10
Jolalpan,1,1,1,1
Lafragua,1,1,1,1
Cañada Morelos,2,2,2,2
Nopalucan,1,1,1,1
Ocoyucan,1,2,1,2
Palmar de Bravo,1,4,1,3
San Nicolas de los Ranchos,1,2,1,2
San Salvador el Verde,1,6,1,4
Santiago Miahuatlan,2,2,2,2
Tecamachalco,2,2,2,2
Tehuacan,1,1,1,1
Tepeyahualco,3,3,3,3
Tianguismanalco,1,2,1,2
Tilapa,4,5,4,5
Tlahuapan,10,18,10,18
Tlatlauquitepec,3,17,3,16
Tochimilco,2,3,2,2
Vicente Guerrero,1,1,0,0
Yehualtepec,2,2,2,2
Zaragoza,1,1,1,1
Zoquiapan,1,1,1,1
Queretaro,12,25,12,24
Landa de Matamoros,1,5,1,5
Queretaro,1,1,1,1
San Juan del Rio,7,13,7,12
Tequisquiapan,3,6,3,6
Quintana Roo,21,58,20,57
Felipe Carrillo Puerto,4,22,3,21
Isla Mujeres,1,1,1,1
Othon P. Blanco,10,23,10,23
Benito Juarez,1,2,1,2
Lazaro Cardenas,2,3,2,3
Solidaridad,3,7,3,7
San Luis Potosi,71,218,67,210
Ahualulco,1,1,1,1
Alaquines,1,1,0,0
Aquismon,2,3,2,3
Cerritos,1,1,1,1
Tancanhuitz,2,6,2,6
Ciudad Valles,25,82,25,80
ebano,1,1,1,1
Moctezuma,1,1,1,1
Rioverde,1,2,1,2
Salinas,2,4,2,4
San Martin Chalchicuautla,2,2,2,2
Soledad de Graciano Sanchez,1,5,1,5
Tamasopo,14,77,13,76
Tamuin,4,6,3,4
Tanlajas,3,13,3,13
Venado,2,2,1,1
Villa de Ramos,1,1,1,1
Villa de Reyes,1,1,1,1
Villa Juarez,1,2,1,1
Axtla de Terrazas,1,2,1,2
Xilitla,1,1,1,1
Villa de Arista,1,1,1,1
El Naranjo,2,3,2,3
Sinaloa,50,63,45,58
Ahome,6,7,6,7
Angostura,2,2,2,2
Badiraguato,3,7,3,7
Concordia,11,16,10,15
Culiacan,4,6,4,6
Elota,7,7,4,4
Escuinapa,1,1,1,1
El Fuerte,2,2,2,2
Guasave,4,5,4,5
Mazatlan,2,2,2,2
Rosario,1,1,1,1
Salvador Alvarado,2,2,2,2
Sinaloa,3,3,2,2
Navolato,2,2,2,2
Sonora,81,148,79,135
Agua Prieta,1,1,1,1
alamos,2,3,1,2
Altar,1,3,1,3
Bacum,12,22,11,21
Baviacora,1,1,1,1
Caborca,7,18,7,18
Cajeme,9,15,9,15
Etchojoa,13,30,13,24
Guaymas,1,1,1,1
Huatabampo,3,4,3,4
Imuris,1,5,1,5
Nacori Chico,1,5,1,3
Navojoa,7,9,7,8
Nogales,2,5,2,4
Rosario,1,1,1,1
San Luis Rio Colorado,1,1,1,1
San Miguel de Horcasitas,1,1,1,1
Suaqui Grande,2,4,2,4
Villa Hidalgo,1,1,1,1
Villa Pesqueira,1,1,1,1
Yecora,1,2,1,1
General Plutarco Elias Calles,2,2,2,2
Benito Juarez,3,4,3,4
San Ignacio Rio Muerto,7,9,7,9
Tabasco,8,38,8,38
Cardenas,7,37,7,37
Cunduacan,1,1,1,1
Tamaulipas,16,38,13,35
Altamira,1,10,1,10
Camargo,1,2,1,2
Gonzalez,1,2,1,2
Güemez,1,1,1,1
Guerrero,1,4,1,4
Hidalgo,1,1,1,1
Jaumave,1,1,0,0
El Mante,1,1,1,1
Matamoros,1,3,1,3
Reynosa,3,6,2,5
Rio Bravo,1,1,1,1
San Fernando,1,1,1,1
Xicotencatl,2,5,1,4
Tlaxcala,15,23,14,21
Atlangatepec,1,1,1,1
Altzayanca,2,2,2,2
Calpulalpan,4,7,4,7
Españita,1,1,1,1
Sanctorum de Lazaro Cardenas,1,1,1,1
Nanacamilpa de Mariano Arista,1,5,1,5
Tlaxco,2,2,2,2
Zitlaltepec de Trinidad Sanchez Santos,1,1,1,1
Zacatelco,1,2,0,0
Benito Juarez,1,1,1,1
Veracruz de Ignacio de la Llave,89,184,87,176
Acultzingo,1,1,1,1
Amatlan de los Reyes,4,9,4,9
angel R. Cabada,3,6,3,6
La Antigua,1,2,1,2
Atoyac,2,3,2,3
Atzalan,1,4,1,4
Tlaltetela,1,1,1,1
Coatepec,1,1,1,1
Cordoba,1,5,1,5
Cosamaloapan de Carpio,3,3,3,3
Cuitlahuac,2,3,2,3
Chicontepec,1,1,1,1
Fortin,1,2,1,2
Huayacocotla,7,26,7,23
Hueyapan de Ocampo,2,3,2,3
Ixhuacan de los Reyes,1,1,1,1
Jalacingo,2,6,1,5
Xalapa,1,3,0,0
Lerdo de Tejada,2,2,2,2
Manlio Fabio Altamirano,1,1,1,1
Minatitlan,1,1,1,1
Otatitlan,1,3,1,3
Ozuluama de Mascareñas,1,1,1,1
Panuco,2,4,2,4
Papantla,1,1,1,1
Paso del Macho,2,3,2,3
Paso de Ovejas,3,4,3,4
Perote,4,7,4,7
Las Vigas de Ramirez,1,3,1,3
Puente Nacional,3,4,3,4
Saltabarranca,1,3,1,3
Temapache,1,1,1,1
Teocelo,1,1,1,1
Tezonapa,1,1,1,1
Tlacojalpan,1,1,1,1
ursulo Galvan,10,16,10,16
Villa Aldama,1,1,1,1
Yanga,5,18,5,18
Zacualpan,3,11,3,10
Zongolica,1,1,1,1
Tres Valles,6,15,6,15
Tatahuicapan de Juarez,1,1,1,1
Yucatan,6,13,5,12
Cenotillo,1,4,1,4
Kaua,1,1,1,1
Muna,1,1,0,0
Opichen,1,2,1,2
Sinanche,1,3,1,3
Tekax,1,2,1,2
Zacatecas,27,67,24,63
Benito Juarez,1,8,1,8
Cañitas de Felipe Pescador,2,2,2,2
Cuauhtemoc,2,2,1,1
Fresnillo,1,3,1,2
General Francisco R. Murguia,1,1,1,1
Guadalupe,2,31,2,31
Jerez,2,2,2,2
Juan Aldama,2,2,2,2
Mazapil,1,1,1,1
Noria de angeles,2,2,2,2
Pinos,1,1,1,1
Rio Grande,1,3,1,3
Tabasco,1,1,0,0
