INEGI. IX Censo Ejidal 2007,,,,,,,,,,,,,,,
Total de ejidos y comunidades segun tematica de la capacitacion recibida en ultimos cinco años,,,,,,,,,,,,,,,cuadro 36
y ejidatarios participantes por entidad federativa y municipio,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
entidad_federativa_y_municipio,ejidos_y_comunidades,total,recibieron_capacitacion_tematica_organizacion_agraria_total,recibieron_capacitacion_tematica_organizacion_agraria_ejidatarios_participantes,recibieron_capacitacion_tematica_administracion_agraria_total,recibieron_capacitacion_tematica_administracion_agraria_ejidatarios_participantes,recibieron_capacitacion_tematica_manejo_o_cuidado_de_los_cultivos_o_del_bosque_total,recibieron_capacitacion_tematica_manejo_o_cuidado_de_los_cultivos_o_del_bosque_ejidatarios_participantes,recibieron_capacitacion_tematica_manejo_o_cuidado_de_los_animales_total,recibieron_capacitacion_tematica_manejo_o_cuidado_de_los_animales_ejidatarios_participantes,recibieron_capacitacion_tematica_comercializacion_total,recibieron_capacitacion_tematica_comercializacion_ejidatarios_participantes,recibieron_capacitacion_tematica_derechos_agrarios_total,recibieron_capacitacion_tematica_derechos_agrarios_ejidatarios_participantes,no recibieroncapacitacion sobre estas tematicas
San Francisco de Borja,9,1,0,0,0,0,0,0,0,0,0,0,1,15,8
San Francisco de Conchos,7,1,1,30,0,0,0,0,0,0,0,0,0,0,6
San Francisco del Oro,4,0,0,0,0,0,0,0,0,0,0,0,0,0,4
Santa Barbara,9,2,0,0,0,0,1,4,0,0,1,20,0,0,7
Satevo,20,0,0,0,0,0,0,0,0,0,0,0,0,0,20
Saucillo,13,1,0,0,0,0,0,0,1,18,0,0,0,0,12
Temosachi,13,4,2,201,2,201,4,229,2,201,3,210,1,74,9
El Tule,4,0,0,0,0,0,0,0,0,0,0,0,0,0,4
Urique,29,4,1,27,1,27,1,1,1,20,0,0,2,30,25
Uruachi,19,1,1,758,1,20,1,30,0,0,0,0,0,0,18
Valle de Zaragoza,15,3,0,0,0,0,0,0,2,25,0,0,1,90,12
Distrito Federal,37,20,10,475,4,81,18,2605,6,148,4,150,6,616,17
Cuajimalpa de Morelos,C,C,3,190,0,0,3,135,0,0,1,70,2,130,C
La Magdalena Contreras,3,3,1,20,2,30,3,125,2,50,2,50,1,25,0
Milpa Alta,8,5,3,68,0,0,4,2076,0,0,0,0,0,0,3
alvaro Obregon,C,C,0,0,0,0,0,0,0,0,0,0,0,0,C
Tlahuac,7,4,2,171,1,30,3,124,2,80,1,30,2,435,3
Tlalpan,10,4,1,26,1,21,4,123,2,18,0,0,1,26,6
Xochimilco,4,1,0,0,0,0,1,22,0,0,0,0,0,0,3
Durango,1124,411,114,4662,57,1564,253,8494,212,5398,65,2642,84,3613,713
Canatlan,40,14,4,140,4,170,6,251,11,650,4,160,1,26,26
Canelas,C,C,0,0,0,0,0,0,0,0,0,0,0,0,C
Coneto de Comonfort,8,3,1,20,0,0,1,40,3,54,0,0,0,0,5
Cuencame,28,12,4,560,0,0,4,241,5,95,4,229,0,0,16
Durango,122,56,14,465,9,293,37,1211,30,869,7,230,23,790,66
General Simon Bolivar,21,13,5,167,0,0,3,37,7,119,0,0,2,95,8
Gomez Palacio,98,7,2,40,0,0,1,35,6,56,1,14,2,65,91
Guadalupe Victoria,10,5,2,496,0,0,2,205,2,202,2,205,0,0,5
Guanacevi,40,23,7,210,4,77,20,337,4,47,0,0,1,4,17
Hidalgo,18,8,2,31,1,10,6,132,3,32,1,4,2,38,10
Inde,12,3,0,0,0,0,3,118,1,37,0,0,0,0,9
Lerdo,31,11,5,130,2,72,2,76,7,141,3,72,3,292,20
Mapimi,78,11,4,183,2,174,6,510,7,302,3,220,3,236,67
Mezquital,22,11,4,152,1,36,8,151,8,157,1,36,4,156,11
Nazas,24,9,5,97,2,25,7,131,7,114,3,44,3,60,15
Nombre de Dios,19,8,3,58,0,0,6,266,4,91,0,0,1,50,11
Ocampo,24,11,4,326,2,62,5,343,8,139,1,30,2,278,13
El Oro,25,6,0,0,0,0,1,20,3,105,0,0,2,101,19
Otaez,14,10,1,12,0,0,8,168,2,50,0,0,2,190,4
Panuco de Coronado,17,11,1,38,0,0,3,91,9,171,1,42,0,0,6
Peñon Blanco,5,2,1,50,1,50,2,88,2,100,1,50,1,50,3
Poanas,20,7,2,98,0,0,2,167,7,217,2,4,1,2,13
Pueblo Nuevo,24,22,5,123,3,25,20,1483,7,137,5,651,3,82,2
Rodeo,29,8,3,68,3,68,4,59,5,157,1,4,2,114,21
San Bernardo,24,1,0,0,0,0,0,0,1,20,0,0,0,0,23
San Dimas,49,30,8,412,6,216,27,689,6,146,5,168,6,221,19
San Juan de Guadalupe,21,10,1,30,2,59,3,130,8,145,2,100,2,50,11
San Juan del Rio,22,1,0,0,0,0,1,15,0,0,0,0,0,0,21
San Luis del Cordero,C,C,0,0,0,0,1,40,1,40,0,0,0,0,C
San Pedro del Gallo,11,6,0,0,0,0,3,31,4,65,0,0,0,0,5
Santa Clara,6,0,0,0,0,0,0,0,0,0,0,0,0,0,6
Santiago Papasquiaro,62,29,7,172,2,20,24,526,13,362,5,55,3,51,33
Suchil,10,2,0,0,0,0,2,20,0,0,0,0,1,37,8
Tamazula,49,8,0,0,2,15,4,105,4,57,1,5,1,2,41
Tepehuanes,26,17,6,92,6,45,16,241,12,190,3,25,5,226,9
Tlahualilo,57,8,4,161,4,135,1,60,3,130,6,176,4,257,49
Topia,15,6,3,125,0,0,5,160,1,50,2,90,3,125,9
Vicente Guerrero,9,4,1,35,0,0,0,0,4,52,0,0,0,0,5
Nuevo Ideal,29,17,5,171,1,12,9,317,7,99,1,28,1,15,12
Guanajuato,1543,263,89,4060,40,2233,116,4384,94,3807,30,674,72,3111,1280
Abasolo,47,5,0,0,1,1,3,41,3,15,0,0,1,40,42
Acambaro,69,14,3,275,2,157,10,451,5,369,4,168,6,620,55
San Miguel de Allende,61,13,3,73,0,0,5,84,2,32,0,0,8,222,48
Apaseo el Alto,28,5,2,38,0,0,2,21,2,22,0,0,0,0,23
Apaseo el Grande,39,3,1,52,1,30,1,10,0,0,0,0,2,45,36
Atarjea,12,2,1,100,1,100,0,0,1,10,0,0,0,0,10
Celaya,40,4,2,64,0,0,1,20,1,3,0,0,1,50,36
Manuel Doblado,33,4,3,130,2,112,1,18,1,30,0,0,2,125,29
Comonfort,32,2,0,0,1,14,1,7,0,0,0,0,0,0,30
Coroneo,C,C,0,0,0,0,0,0,0,0,0,0,0,0,C
Cortazar,23,3,1,10,1,15,0,0,2,20,1,20,1,12,20
Cueramaro,15,0,0,0,0,0,0,0,0,0,0,0,0,0,15
Doctor Mora,5,0,0,0,0,0,0,0,0,0,0,0,0,0,5
Dolores Hidalgo Cuna de la Independencia Nal.,60,16,5,220,1,6,11,175,7,179,3,54,7,209,44
Guanajuato,29,8,3,39,1,29,3,112,0,0,0,0,2,94,21
Huanimaro,20,7,2,45,0,0,5,124,1,5,0,0,1,30,13
Irapuato,80,12,3,19,1,23,3,90,5,176,1,15,1,20,68
Jaral del Progreso,15,8,4,66,2,8,5,96,2,9,2,9,2,9,7
Jerecuaro,42,6,1,29,0,0,2,25,3,25,3,74,0,0,36
Leon,50,9,1,55,0,0,3,48,5,148,0,0,0,0,41
Moroleon,8,1,0,0,0,0,1,5,0,0,0,0,0,0,7
Ocampo,16,6,3,212,2,301,2,113,5,369,0,0,0,0,10
Penjamo,151,18,8,322,4,142,8,201,4,89,1,15,4,114,133
Pueblo Nuevo,6,0,0,0,0,0,0,0,0,0,0,0,0,0,6
Purisima del Rincon,11,3,0,0,1,5,2,52,0,0,0,0,1,50,8
Romita,47,2,2,29,0,0,0,0,0,0,0,0,1,21,45
Salamanca,54,2,2,37,1,25,1,25,1,25,1,25,1,25,52
Salvatierra,58,12,2,41,2,26,5,162,3,30,3,49,4,98,46
San Diego de la Union,34,8,1,10,0,0,4,377,4,110,0,0,3,158,26
San Felipe,81,20,6,415,3,311,11,954,9,1008,3,44,4,176,61
San Francisco del Rincon,26,5,3,81,1,1,0,0,1,8,1,1,1,62,21
San Jose Iturbide,3,0,0,0,0,0,0,0,0,0,0,0,0,0,3
San Luis de la Paz,24,13,10,702,5,277,5,276,8,378,2,102,5,350,11
Santa Catarina,C,C,0,0,0,0,0,0,0,0,0,0,0,0,C
Santa Cruz de Juventino Rosas,26,3,1,4,0,0,1,10,2,66,0,0,1,44,23
Santiago Maravatio,9,2,0,0,0,0,2,21,1,15,0,0,0,0,7
Silao,64,5,2,22,1,7,0,0,1,15,1,30,1,40,59
Tarandacuao,3,0,0,0,0,0,0,0,0,0,0,0,0,0,3
Tarimoro,14,2,0,0,0,0,2,7,1,4,0,0,0,0,12
Tierra Blanca,3,1,0,0,0,0,1,90,0,0,0,0,0,0,2
Uriangato,9,3,0,0,0,0,0,0,1,4,1,6,1,37,6
Valle de Santiago,98,17,7,292,0,0,8,241,4,154,1,50,3,145,81
Victoria,15,7,3,168,2,136,3,85,2,30,0,0,4,196,8
Villagran,11,1,1,4,0,0,0,0,0,0,1,4,1,4,10
Xichu,14,6,3,506,3,492,2,338,3,353,0,0,1,10,8
Yuriria,53,5,0,0,1,15,2,105,4,106,1,8,2,105,48
Guerrero,1259,543,135,23436,53,17485,404,33103,127,6936,35,6627,113,27829,716
Acapulco de Juarez,45,10,1,12,2,7,7,255,1,25,1,20,2,7,35
Ahuacuotzingo,28,7,2,103,0,0,7,416,2,9,0,0,0,0,21
Ajuchitlan del Progreso,39,14,5,286,0,0,8,299,5,157,0,0,1,10,25
Alcozauca de Guerrero,14,4,1,45,0,0,3,104,1,24,0,0,1,100,10
Alpoyeca,5,5,1,40,1,40,4,77,0,0,2,146,1,35,0
Apaxtla,4,1,0,0,0,0,1,11,0,0,0,0,0,0,3
Arcelia,23,22,2,73,1,25,21,743,0,0,0,0,1,20,1
Atenango del Rio,14,5,2,142,0,0,3,27,2,108,0,0,0,0,9
Atlamajalcingo del Monte,7,2,1,200,1,200,0,0,0,0,0,0,2,370,5
Atlixtac,5,4,0,0,0,0,2,92,1,100,0,0,2,512,1
Atoyac de alvarez,36,22,1,3,0,0,19,323,5,73,3,95,3,68,14
Ayutla de los Libres,28,11,2,1178,2,85,9,1155,3,65,1,50,2,908,17
Azoyu,11,7,2,140,1,60,2,25,1,16,0,0,4,180,4
Benito Juarez,6,2,0,0,0,0,1,3,2,34,0,0,0,0,4
Buenavista de Cuellar,7,1,0,0,1,11,0,0,0,0,0,0,0,0,6
Coahuayutla de Jose Maria Izazaga,35,9,1,60,1,60,5,150,4,235,0,0,5,350,26
Cocula,16,7,2,28,0,0,5,68,1,4,1,50,0,0,9
Copala,6,1,1,30,0,0,0,0,0,0,0,0,0,0,5
Copalillo,9,2,1,16,0,0,2,50,0,0,0,0,1,56,7
Copanatoyac,8,3,1,20,0,0,3,29,0,0,0,0,0,0,5
Coyuca de Benitez,32,20,4,134,4,248,14,493,6,174,3,72,3,239,12
Coyuca de Catalan,56,21,1,30,1,28,21,659,1,75,0,0,0,0,35
Cuajinicuilapa,11,9,8,519,2,15,5,65,7,266,0,0,5,346,2
Cualac,C,C,0,0,0,0,0,0,0,0,0,0,0,0,C
Cuautepec,5,0,0,0,0,0,0,0,0,0,0,0,0,0,5
Cuetzala del Progreso,12,4,3,242,2,169,3,138,0,0,0,0,1,15,8
Cutzamala de Pinzon,33,9,2,180,1,93,5,86,3,96,1,31,1,100,24
Chilapa de alvarez,45,14,3,205,0,0,7,403,0,0,0,0,6,486,31
Chilpancingo de los Bravo,31,16,1,40,0,0,15,710,2,23,0,0,2,102,15
Florencio Villarreal,C,C,0,0,0,0,0,0,0,0,0,0,0,0,C
General Canuto A. Neri,5,1,0,0,0,0,0,0,1,70,0,0,0,0,4
General Heliodoro Castillo,7,4,2,7847,0,0,4,7863,2,2015,0,0,2,1155,3
Huamuxtitlan,8,2,1,20,1,20,1,40,0,0,0,0,1,20,6
Huitzuco de los Figueroa,21,11,2,71,1,9,11,305,1,15,0,0,0,0,10
Iguala de la Independencia,15,13,5,152,0,0,12,470,3,60,4,142,0,0,2
Igualapa,7,3,2,120,2,120,0,0,1,48,2,98,0,0,4
Ixcateopan de Cuauhtemoc,C,C,0,0,0,0,0,0,0,0,0,0,0,0,C
Jose Azueta,18,1,0,0,0,0,1,30,0,0,0,0,0,0,17
Juan R. Escudero,11,8,4,276,1,30,1,15,3,115,1,25,7,562,3
Leonardo Bravo,16,11,0,0,1,128,11,538,2,19,0,0,0,0,5
Malinaltepec,9,8,3,43,0,0,7,822,0,0,0,0,5,1154,1
Martir de Cuilapan,11,2,0,0,0,0,2,49,0,0,0,0,0,0,9
Metlatonoc,9,3,0,0,0,0,2,48,0,0,0,0,1,300,6
Mochitlan,26,4,1,10,0,0,4,63,0,0,0,0,0,0,22
Olinala ,7,2,0,0,0,0,2,23,0,0,0,0,0,0,5
Ometepec,26,10,3,160,2,166,5,62,4,88,2,60,3,206,16
Petatlan,27,12,4,166,0,0,10,273,3,125,2,135,0,0,15
Pilcaya,6,4,1,44,0,0,3,51,0,0,0,0,0,0,2
Pungarabato,10,7,2,92,1,8,5,72,4,68,0,0,2,140,3
Quechultenango,26,16,4,131,3,108,15,465,2,50,0,0,4,200,10
San Luis Acatlan,23,15,2,220,0,0,13,1451,7,1318,0,0,1,400,8
San Marcos,33,16,7,323,7,581,5,267,5,115,1,90,9,567,17
San Miguel Totolapan,8,5,2,29,0,0,3,34,0,0,0,0,1,20,3
Taxco de Alarcon,23,12,1,8,0,0,9,399,3,113,0,0,3,450,11
Tecoanapa,39,10,3,145,2,100,8,280,1,40,3,70,1,25,29
Tecpan de Galeana,25,21,8,480,2,56,14,553,9,291,1,60,3,57,4
Teloloapan,27,8,6,273,3,189,4,193,1,136,1,136,3,183,19
Tepecoacuilco de Trujano,25,8,1,50,0,0,7,116,2,30,1,20,0,0,17
Tetipac,5,2,0,0,0,0,2,23,0,0,0,0,0,0,3
Tixtla de Guerrero,10,7,0,0,0,0,6,75,1,7,1,232,0,0,3
Tlacoachistlahuaca,15,8,3,81,1,9,6,134,2,13,0,0,2,95,7
Tlacoapa,C,C,0,0,0,0,2,3550,1,15,0,0,0,0,C
Tlalchapa,16,8,1,50,2,130,5,111,4,95,0,0,1,150,8
Tlalixtaquilla de Maldonado,5,2,0,0,0,0,2,50,2,40,0,0,0,0,3
Tlapa de Comonfort,30,15,7,628,2,412,10,365,3,299,1,79,6,807,15
Tlapehuala,12,11,4,183,0,0,10,272,2,23,1,6,1,28,1
La Union de Isidoro Montes de Oca,31,9,2,34,1,20,5,121,7,158,1,10,4,68,22
Xalpatlahuac,8,3,0,0,0,0,3,37,0,0,0,0,1,40,5
Xochihuehuetlan,7,0,0,0,0,0,0,0,0,0,0,0,0,0,7
Xochistlahuaca,7,6,1,148,0,0,6,110,1,7,0,0,0,0,1
Zapotitlan Tablas,C,C,0,0,0,0,0,0,0,0,0,0,0,0,C
Zirandaro,28,4,1,48,0,0,1,30,2,54,0,0,0,0,24
Zitlala,11,3,1,40,0,0,2,220,0,0,0,0,1,5,8
Eduardo Neri,16,9,2,338,0,0,8,860,1,25,0,0,4,581,7
Acatepec,C,C,1,7500,1,14358,1,5000,0,0,1,5000,1,14358,C
Marquelia,3,0,0,0,0,0,0,0,0,0,0,0,0,0,3
Cochoapa el Grande,C,C,0,0,0,0,1,200,0,0,0,0,1,500,C
Jose Joaquin de Herrera,C,C,0,0,0,0,1,400,0,0,0,0,1,400,C
Juchitan,C,C,0,0,0,0,0,0,0,0,0,0,0,0,C
Iliatenco,4,2,0,0,0,0,2,682,0,0,0,0,1,1454,2
Hidalgo,1189,315,91,7051,36,2152,143,7372,119,5231,30,1058,114,9735,874
Acatlan,17,3,0,0,1,2,1,1,2,60,0,0,0,0,14
Acaxochitlan,13,0,0,0,0,0,0,0,0,0,0,0,0,0,13
Actopan,11,1,0,0,0,0,1,8,0,0,0,0,0,0,10
Agua Blanca de Iturbide,10,4,1,60,1,60,3,158,2,32,1,10,3,75,6
Ajacuba,8,3,1,20,0,0,2,45,1,15,0,0,0,0,5
Alfajayucan,28,6,1,30,1,32,2,38,2,55,0,0,2,94,22
Almoloya,13,10,4,74,0,0,4,300,8,366,4,205,4,174,3
Apan,15,8,0,0,0,0,5,205,5,150,1,20,1,70,7
El Arenal,8,5,5,362,2,122,1,116,1,50,2,53,5,340,3
Atitalaquia,5,3,1,759,0,0,1,10,2,35,0,0,0,0,2
Atlapexco,9,2,0,0,0,0,0,0,0,0,0,0,2,617,7
Atotonilco el Grande,24,4,3,125,0,0,3,194,2,150,1,4,1,4,20
Atotonilco de Tula,7,4,2,30,3,42,0,0,1,20,2,32,2,30,3
Calnali,C,C,0,0,0,0,0,0,0,0,0,0,0,0,C
Cardonal,20,5,1,75,0,0,4,42,0,0,0,0,2,113,15
Cuautepec de Hinojosa,24,10,1,2,0,0,9,323,2,40,0,0,0,0,14
Chapantongo,14,4,0,0,0,0,2,22,2,30,0,0,2,81,10
Chapulhuacan,22,1,0,0,0,0,1,70,0,0,0,0,1,70,21
Chilcuautla,6,0,0,0,0,0,0,0,0,0,0,0,0,0,6
Eloxochitlan,8,1,0,0,0,0,1,58,1,58,0,0,1,58,7
Emiliano Zapata,4,1,0,0,0,0,0,0,1,120,0,0,0,0,3
Epazoyucan,12,3,1,22,1,22,3,156,0,0,2,173,1,22,9
Francisco I. Madero,C,C,0,0,0,0,1,10,0,0,0,0,0,0,C
Huasca de Ocampo,27,14,4,143,2,93,6,261,2,70,0,0,8,372,13
Huautla,42,13,2,204,2,81,6,623,10,437,0,0,3,267,29
Huazalingo,12,4,3,304,0,0,0,0,1,26,0,0,1,100,8
Huehuetla,6,1,1,1196,0,0,0,0,0,0,0,0,0,0,5
Huejutla de Reyes,47,12,5,433,2,411,6,462,5,673,0,0,8,1027,35
Huichapan,35,11,1,34,0,0,5,140,8,325,1,35,0,0,24
Ixmiquilpan,24,0,0,0,0,0,0,0,0,0,0,0,0,0,24
Jacala de Ledezma,13,0,0,0,0,0,0,0,0,0,0,0,0,0,13
Jaltocan,16,4,3,83,3,83,1,40,0,0,0,0,3,83,12
Juarez Hidalgo,4,2,1,150,0,0,0,0,2,167,0,0,1,150,2
Lolotla,10,3,0,0,0,0,0,0,2,144,0,0,1,43,7
Metepec,11,3,0,0,0,0,2,16,1,3,1,11,0,0,8
San Agustin Metzquititlan,7,0,0,0,0,0,0,0,0,0,0,0,0,0,7
Metztitlan,27,1,0,0,0,0,1,10,0,0,0,0,0,0,26
Mineral del Chico,6,4,3,61,3,22,2,50,1,14,0,0,4,102,2
Mineral del Monte,C,C,0,0,0,0,1,20,0,0,1,20,0,0,C
Mixquiahuala de Juarez,7,3,1,117,0,0,0,0,1,115,0,0,2,138,4
Molango de Escamilla,13,1,0,0,0,0,0,0,0,0,0,0,1,60,12
Nicolas Flores,4,2,0,0,0,0,2,36,0,0,0,0,0,0,2
Nopala de Villagran,9,2,0,0,0,0,0,0,2,115,0,0,0,0,7
Omitlan de Juarez,4,0,0,0,0,0,0,0,0,0,0,0,0,0,4
San Felipe Orizatlan,80,33,15,647,6,225,10,559,11,420,0,0,17,984,47
Pacula,C,C,0,0,0,0,0,0,0,0,0,0,0,0,C
Pachuca de Soto,7,3,0,0,0,0,3,88,0,0,1,18,0,0,4
Pisaflores,6,0,0,0,0,0,0,0,0,0,0,0,0,0,6
Progreso de Obregon,C,C,0,0,0,0,0,0,0,0,0,0,0,0,C
Mineral de la Reforma,7,2,1,30,0,0,2,80,2,27,1,60,1,45,5
San Agustin Tlaxiaca,10,3,1,12,2,22,0,0,0,0,0,0,3,846,7
San Bartolo Tutotepec,7,0,0,0,0,0,0,0,0,0,0,0,0,0,7
San Salvador,18,1,1,20,0,0,1,6,0,0,0,0,1,6,17
Santiago de Anaya,13,3,0,0,0,0,1,10,0,0,0,0,2,110,10
Santiago Tulantepec de Lugo Guerrero,6,5,0,0,0,0,4,51,2,49,0,0,1,15,1
Singuilucan,15,6,4,114,2,59,5,152,1,20,1,53,1,46,9
Tasquillo,17,4,2,29,0,0,0,0,1,15,2,52,1,17,13
Tecozautla,32,4,0,0,0,0,3,106,0,0,0,0,2,157,28
Tenango de Doria,5,0,0,0,0,0,0,0,0,0,0,0,0,0,5
Tepeapulco,9,2,1,20,0,0,2,90,1,15,1,50,1,3,7
Tepehuacan de Guerrero,31,12,0,0,0,0,4,20,8,426,0,0,2,67,19
Tepeji del Rio de Ocampo,16,2,2,580,0,0,0,0,0,0,0,0,0,0,14
Tepetitlan,12,4,2,12,1,5,0,0,1,30,0,0,1,5,8
Tetepango,C,C,0,0,0,0,1,30,0,0,0,0,1,100,C
Villa de Tezontepec,C,C,0,0,0,0,0,0,0,0,0,0,0,0,C
Tezontepec de Aldama,5,1,0,0,0,0,0,0,1,10,0,0,0,0,4
Tianguistengo,24,4,1,22,0,0,1,125,2,70,1,40,2,57,20
Tizayuca,3,1,0,0,0,0,1,20,0,0,0,0,1,6,2
Tlahuelilpan,C,C,0,0,0,0,0,0,0,0,0,0,0,0,C
Tlahuiltepa,15,1,1,33,0,0,0,0,0,0,0,0,1,33,14
Tlanalapa,3,2,1,6,0,0,0,0,1,30,1,6,1,6,1
Tlanchinol,34,10,2,130,0,0,4,90,5,375,1,38,0,0,24
Tlaxcoapan,4,1,1,686,0,0,0,0,0,0,0,0,0,0,3
Tolcayuca,3,1,1,38,0,0,1,32,0,0,1,17,1,38,2
Tula de Allende,25,3,3,26,0,0,1,10,2,30,0,0,0,0,22
Tulancingo de Bravo,14,4,0,0,0,0,1,11,2,15,0,0,1,250,10
Xochiatipan,25,7,1,118,0,0,3,228,3,52,0,0,2,234,18
Xochicoatlan,15,0,0,0,0,0,0,0,0,0,0,0,0,0,15
Yahualica,20,8,0,0,0,0,5,1025,3,270,0,0,2,630,12
Zacualtipan de angeles,19,11,3,173,1,23,8,316,2,22,2,111,3,145,8
Zapotlan de Juarez,3,1,0,0,0,0,0,0,1,30,1,30,0,0,2
Zempoala,24,8,2,70,0,0,5,109,2,25,1,20,1,40,16
Zimapan,46,7,1,1,3,848,1,800,1,30,0,0,6,1805,39
Jalisco,1429,271,88,3160,41,1065,162,4533,67,1924,47,1772,82,4348,1158
Acatic,C,C,1,21,1,21,0,0,1,21,0,0,1,21,C
Acatlan de Juarez,7,0,0,0,0,0,0,0,0,0,0,0,0,0,7
Ahualulco de Mercado,8,3,0,0,1,15,2,62,0,0,0,0,0,0,5
Amacueca,C,C,0,0,0,0,0,0,0,0,0,0,0,0,C
Amatitan,5,1,0,0,0,0,0,0,0,0,0,0,1,35,4
Ameca,44,15,6,176,1,40,9,105,4,59,7,297,8,655,29
San Juanito de Escobedo,5,0,0,0,0,0,0,0,0,0,0,0,0,0,5
Arandas,C,C,0,0,0,0,0,0,0,0,0,0,0,0,C
El Arenal,C,C,0,0,0,0,1,20,1,30,0,0,0,0,C
Atemajac de Brizuela,9,3,2,29,1,9,2,40,0,0,0,0,1,9,6
Atengo,12,1,0,0,0,0,1,30,0,0,0,0,0,0,11
Atenguillo,5,1,1,12,0,0,0,0,0,0,0,0,0,0,4
Atotonilco el Alto,19,2,1,37,1,20,1,37,0,0,0,0,0,0,17
Atoyac,11,3,1,16,1,16,2,31,0,0,0,0,0,0,8
Autlan de Navarro,27,10,2,45,0,0,8,412,2,29,2,20,1,241,17
Ayotlan,15,2,0,0,0,0,2,82,0,0,0,0,0,0,13
Ayutla,27,5,1,65,0,0,5,121,1,15,1,23,1,31,22
La Barca,28,3,0,0,0,0,3,170,0,0,1,84,1,84,25
Bolaños,C,C,1,15,0,0,1,15,1,15,0,0,1,15,C
Cabo Corrientes,20,10,3,97,1,3,7,135,3,94,0,0,2,75,10
Casimiro Castillo,16,2,0,0,0,0,2,70,1,25,0,0,0,0,14
Cihuatlan,15,3,0,0,0,0,2,35,0,0,0,0,1,30,12
Zapotlan el Grande,5,1,1,37,1,37,0,0,0,0,0,0,1,37,4
Cocula,19,3,2,100,0,0,1,30,0,0,0,0,0,0,16
Colotlan,7,0,0,0,0,0,0,0,0,0,0,0,0,0,7
Concepcion de Buenos Aires,11,4,2,53,2,37,1,20,0,0,2,38,2,62,7
Cuautitlan de Garcia Barragan,12,2,0,0,0,0,0,0,1,42,1,120,0,0,10
Cuautla,4,2,1,51,0,0,2,115,0,0,0,0,0,0,2
Cuquio,13,0,0,0,0,0,0,0,0,0,0,0,0,0,13
Chapala,6,0,0,0,0,0,0,0,0,0,0,0,0,0,6
Chimaltitan,C,C,1,150,0,0,2,162,0,0,0,0,1,150,C
Chiquilistlan,6,3,0,0,0,0,2,88,1,18,0,0,0,0,3
Degollado,23,4,2,63,2,63,3,95,2,63,0,0,2,63,19
Ejutla,3,0,0,0,0,0,0,0,0,0,0,0,0,0,3
Encarnacion de Diaz,12,1,0,0,0,0,1,35,0,0,0,0,0,0,11
Etzatlan,10,2,0,0,0,0,1,14,0,0,1,40,0,0,8
El Grullo,8,3,0,0,0,0,3,104,0,0,0,0,0,0,5
Guachinango,13,6,2,32,2,32,3,62,2,50,2,50,5,103,7
Guadalajara,C,C,0,0,0,0,0,0,0,0,0,0,0,0,C
Hostotipaquillo,17,2,0,0,0,0,1,10,0,0,0,0,1,2,15
Huejucar,5,0,0,0,0,0,0,0,0,0,0,0,0,0,5
Huejuquilla el Alto,3,1,0,0,0,0,0,0,1,40,1,40,0,0,2
La Huerta,32,2,1,15,0,0,2,45,1,15,0,0,1,60,30
Ixtlahuacan de los Membrillos,10,0,0,0,0,0,0,0,0,0,0,0,0,0,10
Ixtlahuacan del Rio,12,1,0,0,0,0,0,0,0,0,1,20,0,0,11
Jalostotitlan,C,C,0,0,0,0,0,0,0,0,0,0,0,0,C
Jamay,4,1,1,100,0,0,0,0,1,20,0,0,0,0,3
Jesus Maria,C,C,0,0,0,0,0,0,0,0,0,0,0,0,C
Jilotlan de los Dolores,26,3,1,15,1,50,0,0,0,0,0,0,1,79,23
Jocotepec,15,5,2,60,2,16,3,105,2,30,2,18,1,80,10
Juanacatlan,6,0,0,0,0,0,0,0,0,0,0,0,0,0,6
Juchitlan,7,1,0,0,0,0,1,1,0,0,0,0,0,0,6
Lagos de Moreno,44,4,0,0,0,0,2,32,2,52,1,22,2,198,40
El Limon,6,2,1,3,0,0,1,22,1,22,0,0,0,0,4
Magdalena,10,2,0,0,0,0,0,0,2,45,0,0,0,0,8
Santa Maria del Oro,4,0,0,0,0,0,0,0,0,0,0,0,0,0,4
La Manzanilla de la Paz,9,0,0,0,0,0,0,0,0,0,0,0,0,0,9
Mascota,16,4,0,0,1,1,3,38,1,3,1,5,0,0,12
Mazamitla,19,5,3,23,3,20,4,53,0,0,3,62,4,120,14
Mexticacan,3,1,1,15,0,0,0,0,0,0,0,0,1,15,2
Mezquitic,8,4,3,97,0,0,2,54,2,100,0,0,3,102,4
Mixtlan,5,3,2,8,1,3,2,55,0,0,1,5,1,30,2
Ocotlan,16,5,2,34,1,30,3,70,2,36,1,30,1,46,11
Ojuelos de Jalisco,20,1,1,30,1,30,1,100,0,0,1,20,1,232,19
Pihuamo,18,4,2,16,0,0,2,16,2,4,2,128,1,6,14
Poncitlan,17,4,1,20,1,5,2,46,0,0,1,12,1,10,13
Puerto Vallarta,15,1,0,0,0,0,1,50,0,0,0,0,0,0,14
Villa Purificacion,13,2,0,0,0,0,0,0,2,60,0,0,0,0,11
Quitupan,25,0,0,0,0,0,0,0,0,0,0,0,0,0,25
El Salto,4,0,0,0,0,0,0,0,0,0,0,0,0,0,4
San Cristobal de la Barranca,C,C,0,0,0,0,1,13,0,0,0,0,0,0,C
San Diego de Alejandria,C,C,1,32,1,32,0,0,0,0,0,0,1,32,C
