INEGI. IX Censo Ejidal 2007,,,,,
Total de ejidos y comunidades segun sexo del presidente del comisariado,,,,,cuadro 40
y si es hablante de lengua indigena por entidad federativa y municipio,,,,,
,,,,,
,,,,,
entidad_federativa_y_municipio,ejidos_y_comunidades,sexo_del_presidente_del_comisariado_hombres,sexo_del_presidente_del_comisariado_mujeres,hablantes_de_lengua_indigena_hombres,hablantes_de_lengua_indigena_mujeres
Tapachula,52,50,2,5,0
Tapalapa,C,2,0,2,0
Tapilula,4,4,0,2,0
Tecpatan,59,57,2,17,0
Tenejapa,7,7,0,7,0
Teopisca,16,16,0,9,0
Tila,29,29,0,29,0
Tonala,54,49,5,0,0
Totolapa,8,8,0,1,0
La Trinitaria,85,83,2,7,0
Tumbala,24,24,0,24,0
Tuxtla Gutierrez,6,6,0,0,0
Tuxtla Chico,7,6,1,0,0
Tuzantan,16,16,0,0,0
Tzimol,18,17,1,0,0
Union Juarez,12,11,1,0,0
Venustiano Carranza,41,41,0,8,0
Villa Corzo,71,69,2,6,0
Villaflores,67,67,0,7,0
Yajalon,8,8,0,8,0
San Lucas,C,2,0,0,0
Zinacantan,6,6,0,6,0
San Juan Cancuc,C,1,0,1,0
Aldama,C,1,0,1,0
Benemerito de las Americas,14,14,0,6,0
Maravilla Tenejapa,33,32,1,12,0
Marques de Comillas,23,22,1,10,0
Montecristo de Guerrero,5,5,0,0,0
San Andres Duraznal,5,5,0,5,0
Santiago el Pinar,C,1,0,1,0
Chihuahua,987,955,32,75,4
Ahumada,24,24,0,0,0
Aldama,24,23,1,0,0
Allende,21,21,0,0,0
Aquiles Serdan,C,2,0,0,0
Ascension,21,21,0,0,0
Bachiniva,11,11,0,0,0
Balleza,20,19,1,6,0
Batopilas,12,12,0,2,0
Bocoyna,26,24,2,7,1
Buenaventura,9,9,0,0,0
Camargo,24,22,2,0,0
Carichi,23,22,1,5,1
Casas Grandes,13,13,0,0,0
Coronado,6,6,0,0,0
Coyame del Sotol,12,12,0,1,0
La Cruz,5,5,0,0,0
Cuauhtemoc,26,26,0,0,0
Cusihuiriachi,21,20,1,0,0
Chihuahua,47,43,4,0,0
Chinipas,16,15,1,0,0
Delicias,4,4,0,0,0
Dr. Belisario Dominguez,9,9,0,0,0
Galeana,4,4,0,0,0
Santa Isabel,8,7,1,0,0
Gomez Farias,7,7,0,0,0
Gran Morelos,10,10,0,0,0
Guachochi,26,25,1,18,1
Guadalupe,7,7,0,0,0
Guadalupe y Calvo,45,44,1,9,0
Guazapares,11,11,0,2,0
Guerrero,50,49,1,1,1
Hidalgo del Parral,12,11,1,0,0
Huejotitan,8,8,0,0,0
Ignacio Zaragoza,4,4,0,0,0
Janos,14,12,2,0,0
Jimenez,53,52,1,1,0
Juarez,10,9,1,0,0
Julimes,6,6,0,0,0
Lopez,12,12,0,0,0
Madera,20,20,0,1,0
Maguarichi,5,5,0,1,0
Manuel Benavides,14,14,0,0,0
Matachi,5,5,0,0,0
Matamoros,8,8,0,0,0
Meoqui,4,4,0,0,0
Morelos,17,17,0,5,0
Moris,10,9,1,1,0
Namiquipa,12,11,1,0,0
Nonoava,C,3,0,0,0
Nuevo Casas Grandes,C,2,0,0,0
Ocampo,17,17,0,0,0
Ojinaga,33,30,3,0,0
Praxedis G. Guerrero,5,5,0,0,0
Riva Palacio,9,9,0,0,0
Rosales,11,10,1,0,0
Rosario,7,7,0,0,0
San Francisco de Borja,9,9,0,0,0
San Francisco de Conchos,7,7,0,0,0
San Francisco del Oro,4,3,1,0,0
Santa Barbara,9,9,0,0,0
Satevo,20,19,1,0,0
Saucillo,13,13,0,0,0
Temosachi,13,12,1,0,0
El Tule,4,4,0,0,0
Urique,29,29,0,13,0
Uruachi,19,18,1,2,0
Valle de Zaragoza,15,15,0,0,0
Distrito Federal,37,36,1,4,0
Cuajimalpa de Morelos,C,3,0,0,0
La Magdalena Contreras,3,3,0,0,0
Milpa Alta,8,8,0,2,0
alvaro Obregon,C,2,0,0,0
Tlahuac,7,7,0,2,0
Tlalpan,10,9,1,0,0
Xochimilco,4,4,0,0,0
Durango,1124,1091,33,8,0
Canatlan,40,40,0,0,0
Canelas,C,3,0,0,0
Coneto de Comonfort,8,8,0,0,0
Cuencame,28,26,2,0,0
Durango,122,118,4,0,0
General Simon Bolivar,21,20,1,0,0
Gomez Palacio,98,95,3,0,0
Guadalupe Victoria,10,10,0,0,0
Guanacevi,40,39,1,0,0
Hidalgo,18,17,1,0,0
Inde,12,12,0,0,0
Lerdo,31,27,4,0,0
Mapimi,78,72,6,0,0
Mezquital,22,22,0,5,0
Nazas,24,22,2,0,0
Nombre de Dios,19,19,0,0,0
Ocampo,24,23,1,0,0
El Oro,25,25,0,0,0
Otaez,14,13,1,0,0
Panuco de Coronado,17,17,0,0,0
Peñon Blanco,5,5,0,0,0
Poanas,20,20,0,0,0
Pueblo Nuevo,24,24,0,2,0
Rodeo,29,27,2,0,0
San Bernardo,24,24,0,0,0
San Dimas,49,48,1,1,0
San Juan de Guadalupe,21,21,0,0,0
San Juan del Rio,22,22,0,0,0
San Luis del Cordero,C,2,0,0,0
San Pedro del Gallo,11,10,1,0,0
Santa Clara,6,6,0,0,0
Santiago Papasquiaro,62,62,0,0,0
Suchil,10,10,0,0,0
Tamazula,49,49,0,0,0
Tepehuanes,26,26,0,0,0
Tlahualilo,57,54,3,0,0
Topia,15,15,0,0,0
Vicente Guerrero,9,9,0,0,0
Nuevo Ideal,29,29,0,0,0
Guanajuato,1543,1488,55,1,1
Abasolo,47,47,0,0,0
Acambaro,69,68,1,0,0
San Miguel de Allende,61,57,4,0,0
Apaseo el Alto,28,28,0,0,0
Apaseo el Grande,39,38,1,0,0
Atarjea,12,12,0,0,0
Celaya,40,39,1,0,0
Manuel Doblado,33,32,1,0,0
Comonfort,32,29,3,0,0
Coroneo,C,3,0,0,0
Cortazar,23,23,0,0,0
Cueramaro,15,15,0,0,0
Doctor Mora,5,5,0,0,0
Dolores Hidalgo Cuna de la Independencia Nal.,60,51,9,0,0
Guanajuato,29,29,0,0,0
Huanimaro,20,20,0,0,0
Irapuato,80,79,1,0,0
Jaral del Progreso,15,15,0,0,0
Jerecuaro,42,41,1,0,0
Leon,50,49,1,0,0
Moroleon,8,8,0,0,0
Ocampo,16,15,1,0,0
Penjamo,151,146,5,0,0
Pueblo Nuevo,6,5,1,0,0
Purisima del Rincon,11,11,0,0,0
Romita,47,45,2,0,0
Salamanca,54,53,1,0,0
Salvatierra,58,57,1,0,0
San Diego de la Union,34,30,4,0,0
San Felipe,81,77,4,0,0
San Francisco del Rincon,26,26,0,0,0
San Jose Iturbide,3,3,0,0,0
San Luis de la Paz,24,22,2,1,1
Santa Catarina,C,2,0,0,0
Santa Cruz de Juventino Rosas,26,26,0,0,0
Santiago Maravatio,9,7,2,0,0
Silao,64,63,1,0,0
Tarandacuao,3,3,0,0,0
Tarimoro,14,14,0,0,0
Tierra Blanca,3,3,0,0,0
Uriangato,9,8,1,0,0
Valle de Santiago,98,94,4,0,0
Victoria,15,14,1,0,0
Villagran,11,11,0,0,0
Xichu,14,14,0,0,0
Yuriria,53,51,2,0,0
Guerrero,1259,1248,11,201,1
Acapulco de Juarez,45,44,1,0,0
Ahuacuotzingo,28,28,0,4,0
Ajuchitlan del Progreso,39,39,0,0,0
Alcozauca de Guerrero,14,14,0,13,0
Alpoyeca,5,5,0,1,0
Apaxtla,4,4,0,0,0
Arcelia,23,21,2,0,0
Atenango del Rio,14,14,0,1,0
Atlamajalcingo del Monte,7,7,0,7,0
Atlixtac,5,5,0,5,0
Atoyac de alvarez,36,36,0,0,0
Ayutla de los Libres,28,28,0,6,0
Azoyu,11,11,0,2,0
Benito Juarez,6,6,0,0,0
Buenavista de Cuellar,7,7,0,0,0
Coahuayutla de Jose Maria Izazaga,35,35,0,0,0
Cocula,16,14,2,1,0
Copala,6,6,0,0,0
Copalillo,9,9,0,7,0
Copanatoyac,8,8,0,8,0
Coyuca de Benitez,32,31,1,0,0
Coyuca de Catalan,56,56,0,0,0
Cuajinicuilapa,11,11,0,0,0
Cualac,C,1,0,0,0
Cuautepec,5,5,0,0,0
Cuetzala del Progreso,12,12,0,0,0
Cutzamala de Pinzon,33,32,1,0,0
Chilapa de alvarez,45,45,0,10,0
Chilpancingo de los Bravo,31,31,0,0,0
Florencio Villarreal,C,1,0,0,0
General Canuto A. Neri,5,5,0,0,0
General Heliodoro Castillo,7,7,0,0,0
Huamuxtitlan,8,8,0,1,0
Huitzuco de los Figueroa,21,21,0,4,0
Iguala de la Independencia,15,15,0,0,0
Igualapa,7,7,0,3,0
Ixcateopan de Cuauhtemoc,C,2,0,0,0
Jose Azueta,18,18,0,0,0
Juan R. Escudero,11,11,0,0,0
Leonardo Bravo,16,16,0,0,0
Malinaltepec,9,9,0,8,0
Martir de Cuilapan,11,11,0,7,0
Metlatonoc,9,9,0,9,0
Mochitlan,26,26,0,0,0
Olinala ,7,7,0,1,0
Ometepec,26,26,0,6,0
Petatlan,27,27,0,0,0
Pilcaya,6,6,0,0,0
Pungarabato,10,9,1,0,0
Quechultenango,26,26,0,2,0
San Luis Acatlan,23,23,0,11,0
San Marcos,33,33,0,0,0
San Miguel Totolapan,8,8,0,0,0
Taxco de Alarcon,23,23,0,0,0
Tecoanapa,39,39,0,0,0
Tecpan de Galeana,25,25,0,0,0
Teloloapan,27,26,1,1,0
Tepecoacuilco de Trujano,25,25,0,7,0
Tetipac,5,5,0,0,0
Tixtla de Guerrero,10,10,0,4,0
Tlacoachistlahuaca,15,15,0,14,0
Tlacoapa,C,3,0,2,0
Tlalchapa,16,16,0,0,0
Tlalixtaquilla de Maldonado,5,5,0,0,0
Tlapa de Comonfort,30,30,0,23,0
Tlapehuala,12,11,1,0,0
La Union de Isidoro Montes de Oca,31,31,0,0,0
Xalpatlahuac,8,8,0,8,0
Xochihuehuetlan,7,7,0,0,0
