INEGI. IX Censo Ejidal 2007,,,,,,,,,
Superficie total de ejidos y comunidades Agrarias segun distribucion interna de la tierra ,,,,,,,,cuadro 1,
por entidad federativa y municipio,,,,,,,,,
entidad_federativa_y_municipio,ejidos_y_comunidades,superficie_total_(ha),distribucion_interna_de_la_tierra_(ha)_superficie_parcelada,distribucion_interna_de_la_tierra_(ha)_superficie_no_parcelada_total,distribucion_interna_de_la_tierra_(ha)_superficie_no_parcelada_uso_comun,distribucion_interna_de_la_tierra_(ha)_superficie_no_parcelada_asentamiento_humano_total,distribucion_interna_de_la_tierra_(ha)_superficie_no_parcelada_asentamiento_humano_reserva_de_crecimiento,otras_superficies_(ha),unidad_de_medida
Jimenez,19,101654.5700,14626.1900,86261.8200,85232.9600,1028.8600,146.0000,766.5600,Hectarea
Juarez,4,14907.0000,4873.0000,10002.0000,9944.0000,58.0000,29.0000,32.0000,Hectarea
Lamadrid,     C,7654.0000,553.0000,7048.0000,7048.0000,0.0000,0.0000,53.0000,Hectarea
Matamoros,64,53172.1000,34376.3700,17519.2800,15819.0600,1700.2200,100.3400,1276.4400,Hectarea
Monclova,8,16537.0000,9417.0000,6904.0000,6450.0000,454.0000,31.0000,216.0000,Hectarea
Morelos,     C,6665.0000,2829.0000,3773.0000,3631.0000,142.0000,0.0000,63.0000,Hectarea
Muzquiz,15,125579.5000,79404.7000,45505.9400,45161.1700,344.7700,0.0000,668.8700,Hectarea
Nadadores,9,26098.9500,6259.0000,19730.9500,19486.4500,244.5000,13.5000,109.0000,Hectarea
Nava,5,10676.1600,8817.2500,1598.7100,1444.2100,154.5000,16.0000,260.2000,Hectarea
Ocampo,44,1101186.6800,289676.0600,808718.3200,805617.8000,3100.5200,168.7700,2792.3000,Hectarea
Parras,75,739717.6600,128277.9000,608569.2300,605528.6800,3040.5500,226.3600,2870.5300,Hectarea
Piedras Negras,5,17665.1300,12119.7100,5063.8100,4276.9400,786.8700,30.0000,481.6100,Hectarea
Progreso,8,36788.0000,8849.1000,27754.1700,27372.0000,382.1700,0.0000,184.7300,Hectarea
Ramos Arizpe,53,304466.5500,18897.5000,283494.0700,282327.4300,1166.6400,79.1800,2074.9800,Hectarea
Sabinas,7,51781.2300,18585.5300,32150.8100,31345.5900,805.2200,177.0000,1044.8900,Hectarea
Sacramento,     C,12149.0000,12.0000,11934.0000,11854.0000,80.0000,0.0000,203.0000,Hectarea
Saltillo,84,357956.2600,54827.1600,296897.6800,293338.5300,3559.1500,299.0000,6231.4300,Hectarea
San Buenaventura,14,84705.3400,16637.0000,67587.0100,67016.3900,570.6200,126.5000,481.3300,Hectarea
San Juan de Sabinas,8,33678.0000,6248.0000,27026.0000,26684.0000,342.0000,0.0000,404.0000,Hectarea
San Pedro,111,543804.4400,68901.2000,469014.7300,466485.3800,2529.3500,246.7800,5888.5100,Hectarea
Sierra Mojada,25,428186.2600,162865.4100,262868.0100,262083.7000,784.3100,131.1000,2452.8400,Hectarea
Torreon,30,89816.7800,20766.3900,68404.0200,67375.0000,1029.0200,105.0000,646.3700,Hectarea
Viesca,41,353781.7500,25118.2300,327230.6600,326284.0600,946.6000,70.0000,1432.8600,Hectarea
Villa Union,11,32609.5000,15068.0000,17379.2500,17151.5000,227.7500,0.0000,162.2500,Hectarea
Zaragoza,13,219521.4200,46099.6700,173176.8000,172201.0400,975.7600,160.1900,244.9500,Hectarea
Colima,165,339904.9400,258363.0300,72802.3600,68543.1300,4259.2300,295.1300,8739.5500,Hectarea
Armeria,9,27475.9700,23995.6800,2567.1900,2034.5800,532.6100,0.0000,913.1000,Hectarea
Colima,21,36166.4600,32476.7500,2964.3500,2568.8600,395.4900,21.0000,725.3600,Hectarea
Comala,13,17132.5300,8451.0800,8127.8700,7866.5700,261.3000,4.0000,553.5800,Hectarea
Coquimatlan,14,35538.3000,17972.2000,16870.7000,16739.0000,131.7000,2.0000,695.4000,Hectarea
Cuauhtemoc,11,25819.3300,22341.7700,1865.7500,1684.3200,181.4300,0.0000,1611.8100,Hectarea
Ixtlahuacan,12,24430.0000,21357.0000,2432.0000,2270.0000,162.0000,13.0000,641.0000,Hectarea
Manzanillo,42,108669.8700,83543.1400,22975.1500,20922.7500,2052.4000,251.0000,2151.5800,Hectarea
Minatitlan,11,19872.5400,16536.7000,2804.3900,2629.3700,175.0200,0.1300,531.4500,Hectarea
Tecoman,25,37702.2300,25904.0900,11101.0400,10842.4500,258.5900,0.0000,697.1000,Hectarea
Villa de alvarez,7,7097.7100,5784.6200,1093.9200,985.2300,108.6900,4.0000,219.1700,Hectarea
Chiapas,2823,4440837.3100,2468356.9100,1787298.3000,1641374.4800,145923.8300,32171.5100,185182.1000,Hectarea
Acacoyagua,18,17362.0000,12077.0000,4604.5000,4344.0000,260.5000,16.0000,680.5000,Hectarea
Acala,28,20801.1800,19327.2500,1329.7500,1035.0000,294.7500,42.0000,144.1800,Hectarea
Acapetahua,22,13667.5000,12421.0000,1080.0000,608.0000,472.0000,9.0000,166.5000,Hectarea
Altamirano,26,44364.6300,10170.3800,34041.9400,33205.3600,836.5800,86.0400,152.3200,Hectarea
Amatan,22,19735.9100,13241.2500,6279.5200,6089.4100,190.1100,23.8600,215.1400,Hectarea
Amatenango de la Frontera,13,24112.0000,18221.0000,5671.0000,5166.0000,505.0000,319.0000,220.0000,Hectarea
Amatenango del Valle,     C,4540.0000,695.0000,3737.0000,3613.0000,124.0000,44.0000,108.0000,Hectarea
Angel Albino Corzo,15,47515.1300,19998.8400,27107.1400,26541.2500,565.8900,14.0000,409.1500,Hectarea
Arriaga,24,32237.0000,26551.5000,5186.0000,4463.0000,723.0000,30.0000,499.5000,Hectarea
Bejucal de Ocampo,     C,7131.0000,3940.0000,3094.0000,2542.0000,552.0000,448.0000,97.0000,Hectarea
Bella Vista,9,19371.0000,16950.0000,2183.0000,1929.0000,254.0000,77.0000,238.0000,Hectarea
Berriozabal,16,12269.2400,10441.0000,1550.2400,972.5000,577.7400,368.0000,278.0000,Hectarea
Bochil,38,27738.1100,22048.4600,4599.3000,4137.4500,461.8500,24.3600,1090.3500,Hectarea
El Bosque,13,9743.7500,2921.2500,6735.7500,6478.2500,257.5000,1.0000,86.7500,Hectarea
Cacahoatan,21,15690.0000,11355.9000,4172.0000,3773.0000,399.0000,38.0000,162.1000,Hectarea
Catazaja,28,21934.7800,17758.6000,2512.7200,1881.8000,630.9200,29.5000,1663.4600,Hectarea
Cintalapa,81,112495.4900,63306.5700,47582.6100,45703.1000,1879.5100,62.0000,1606.3100,Hectarea
Coapilla,9,17005.3100,8077.6200,8884.0300,8699.7500,184.2800,17.7300,43.6600,Hectarea
Comitan de Dominguez,34,52656.4500,12131.7100,39693.6100,37715.3600,1978.2500,263.0000,831.1300,Hectarea
La Concordia,43,101360.7200,66235.2700,32260.0500,31274.3300,985.7200,87.2100,2865.4000,Hectarea
Copainala,15,19927.3300,17621.3700,1939.3600,1433.6800,505.6800,0.0000,366.6000,Hectarea
Chalchihuitan,     C,17948.0000,17560.0000,98.0000,0.0000,98.0000,0.0000,290.0000,Hectarea
Chamula,5,34264.5500,2563.0000,31697.5500,31541.8400,155.7100,0.0000,4.0000,Hectarea
Chanal,     C,42587.0000,1510.0000,41041.0000,41021.0000,20.0000,5.0000,36.0000,Hectarea
Chapultenango,9,15708.7500,12501.7500,3195.0000,3158.0000,37.0000,2.0000,12.0000,Hectarea
Chenalho,10,27197.6000,22724.7300,3864.1300,3431.6300,432.5000,35.5000,608.7500,Hectarea
Chiapa de Corzo,44,33782.4000,26157.0500,6325.8300,4443.5600,1882.2700,13.3800,1299.5200,Hectarea
Chiapilla,     C,3726.0000,3417.0000,156.5000,4.5000,152.0000,0.0000,152.5000,Hectarea
Chicoasen,     C,4371.0000,0.0000,4341.0000,4337.0000,4.0000,4.0000,30.0000,Hectarea
Chicomuselo,32,62962.0000,46126.5000,16517.2500,15866.0000,651.2500,0.0000,318.2500,Hectarea
Chilon,25,142501.0000,102024.0000,38615.0000,38190.0000,425.0000,1.0000,1862.0000,Hectarea
Escuintla,35,31795.0000,27741.0000,3825.0000,3219.0000,606.0000,16.0000,229.0000,Hectarea
Francisco Leon,6,17764.5000,7068.5000,10444.0000,10337.0000,107.0000,0.0000,252.0000,Hectarea
Frontera Comalapa,38,67455.0000,61988.5000,5007.0000,4373.0000,634.0000,27.0000,459.5000,Hectarea
Frontera Hidalgo,     C,1761.0000,1633.0000,122.0000,0.0000,122.0000,6.0000,6.0000,Hectarea
La Grandeza,3,4913.0000,4171.0000,710.0000,562.0000,148.0000,17.0000,32.0000,Hectarea
Huehuetan,19,12757.2700,11358.7900,1051.7000,807.8000,243.9000,0.0000,346.7800,Hectarea
Huixtan,19,45410.6900,22820.8500,20014.8400,19317.8400,697.0000,182.0000,2575.0000,Hectarea
Huitiupan,50,26352.2700,18412.1500,7603.6300,7219.0000,384.6300,2.0000,336.4900,Hectarea
Huixtla,20,27795.8100,17120.5700,10435.5600,10023.8500,411.7100,28.2500,239.6800,Hectarea
