INEGI. IX Censo Ejidal 2007,,,,,,,,,
Superficie total de ejidos y comunidades Agrarias segun distribucion interna de la tierra ,,,,,,,,cuadro 1,
por entidad federativa y municipio,,,,,,,,,
entidad_federativa_y_municipio,ejidos_y_comunidades,superficie_total_(ha),distribucion_interna_de_la_tierra_(ha)_superficie_parcelada,distribucion_interna_de_la_tierra_(ha)_superficie_no_parcelada_total,distribucion_interna_de_la_tierra_(ha)_superficie_no_parcelada_uso_comun,distribucion_interna_de_la_tierra_(ha)_superficie_no_parcelada_asentamiento_humano_total,distribucion_interna_de_la_tierra_(ha)_superficie_no_parcelada_asentamiento_humano_reserva_de_crecimiento,otras_superficies_(ha),unidad_de_medida
Ojuelos de Jalisco,20,63476.5400,21993.9600,40750.5700,39647.7500,1102.8200,146.8100,732.0100,Hectarea
Pihuamo,18,57406.2400,43212.8100,13824.6400,13483.2900,341.3500,12.0000,368.7900,Hectarea
Poncitlan,17,16773.5100,7737.5300,8556.5400,8271.1700,285.3700,53.0000,479.4400,Hectarea
Puerto Vallarta,15,61625.3900,17616.3800,43077.8100,42013.3500,1064.4600,103.0000,931.2000,Hectarea
Villa Purificacion,13,111657.0000,14023.0000,96929.0000,96165.0000,764.0000,10.0000,705.0000,Hectarea
Quitupan,25,29457.0000,19497.7500,9827.0000,9465.0000,362.0000,37.0000,132.2500,Hectarea
El Salto,4,3295.8400,1906.9200,1182.5100,125.0000,1057.5100,123.6900,206.4100,Hectarea
San Cristobal de la Barranca,     C,4953.0000,312.0000,4624.0000,4534.0000,90.0000,50.0000,17.0000,Hectarea
San Diego de Alejandria,     C,792.0000,352.0000,408.0000,403.0000,5.0000,0.0000,32.0000,Hectarea
San Juan de los Lagos,7,6291.0000,6038.6000,195.0000,170.0000,25.0000,9.0000,57.4000,Hectarea
San Marcos,4,12932.0000,3371.0000,9468.0000,9446.0000,22.0000,0.0000,93.0000,Hectarea
San Martin Hidalgo,18,21795.0400,16634.3100,4851.3200,4594.8200,256.5000,10.0000,309.4100,Hectarea
San Miguel el Alto,     C,410.0000,259.5000,146.7500,146.7500,0.0000,0.0000,3.7500,Hectarea
Gomez Farias,5,8443.0000,4236.0000,4127.0000,4022.0000,105.0000,10.0000,80.0000,Hectarea
San Sebastian del Oeste,18,89747.0100,13852.1200,75702.9700,75458.8500,244.1200,34.5000,191.9200,Hectarea
Santa Maria de los angeles,10,19261.0000,15069.0000,4125.0000,3995.0000,130.0000,21.0000,67.0000,Hectarea
Sayula,5,8377.0000,4420.5000,3751.5000,3652.5000,99.0000,34.0000,205.0000,Hectarea
Tala,13,34322.3500,24361.2600,9015.8400,8505.5600,510.2800,0.0000,945.2500,Hectarea
Talpa de Allende,17,88506.2000,4599.0000,82056.2000,81155.0000,901.2000,3.0000,1851.0000,Hectarea
Tamazula de Gordiano,35,54193.6000,31825.5000,21726.3500,21224.5000,501.8500,64.5000,641.7500,Hectarea
Tapalpa,8,19630.4200,9025.3000,10389.2300,10235.2200,154.0100,20.0000,215.8900,Hectarea
Tecalitlan,17,20037.2800,8117.6800,11721.3600,11621.1100,100.2500,18.7900,198.2400,Hectarea
Tecolotlan,20,38053.5500,11958.9400,25588.5300,25270.9100,317.6200,75.1700,506.0800,Hectarea
Techaluta de Montenegro,     C,2772.4400,1030.2900,1656.7000,1640.2200,16.4800,0.0000,85.4500,Hectarea
Tenamaxtlan,12,16857.5500,8181.8000,8410.0700,8140.3500,269.7200,26.0000,265.6800,Hectarea
Teocaltiche,11,28748.6900,15306.5900,13203.7700,12955.7600,248.0100,5.0000,238.3300,Hectarea
Teocuitatlan de Corona,27,26785.8900,17575.3200,8539.2500,8208.3200,330.9300,0.0000,671.3200,Hectarea
Tepatitlan de Morelos,     C,485.5000,382.5000,103.0000,103.0000,0.0000,0.0000,0.0000,Hectarea
Tequila,15,18175.7500,5180.4500,12849.3000,12643.8300,205.4700,12.0000,146.0000,Hectarea
Teuchitlan,6,11241.0700,8326.2400,2751.5100,2564.1700,187.3400,6.5000,163.3200,Hectarea
Tizapan el Alto,14,15032.0000,12670.5000,2161.0000,1951.0000,210.0000,0.0000,200.5000,Hectarea
Tlajomulco de Zuñiga,25,28805.5400,15065.0900,12563.0400,11569.6700,993.3700,3.0000,1177.4100,Hectarea
Tlaquepaque,7,4265.9900,2623.0300,570.7600,256.5000,314.2600,0.0000,1072.2000,Hectarea
Toliman,12,30054.0000,6920.0000,19860.0000,19734.5000,125.5000,0.0000,3274.0000,Hectarea
Tomatlan,40,185801.4100,95021.6700,86060.6200,84061.3600,1999.2600,438.0600,4719.1200,Hectarea
Tonala,8,3793.5000,2587.2500,1069.5000,676.7500,392.7500,0.0000,136.7500,Hectarea
Tonaya,     C,9957.0000,8480.0000,1384.0000,1356.0000,28.0000,0.0000,93.0000,Hectarea
Tonila,8,12061.0000,5781.0000,6052.5000,6018.0000,34.5000,3.5000,227.5000,Hectarea
Tototlan,22,9829.6400,9053.6200,312.7700,210.2700,102.5000,2.0000,463.2500,Hectarea
Tuxcacuesco,8,22013.0000,6935.0000,14957.0000,14881.0000,76.0000,1.0000,121.0000,Hectarea
Tuxcueca,5,8590.0000,6759.0000,1343.0000,1166.0000,177.0000,0.0000,488.0000,Hectarea
Tuxpan,14,19120.0000,12640.2500,6396.0000,6244.0000,152.0000,45.0000,83.7500,Hectarea
Union de San Antonio,17,8585.4500,4708.3300,3663.9500,3485.4600,178.4900,5.0000,213.1700,Hectarea
Union de Tula,14,23810.0000,12567.0000,10747.0000,10432.0000,315.0000,0.0000,496.0000,Hectarea
Valle de Guadalupe,     C,705.0000,537.5000,163.0000,148.0000,15.0000,0.0000,4.5000,Hectarea
Valle de Juarez,9,6275.0000,4975.0000,1035.0000,981.0000,54.0000,0.0000,265.0000,Hectarea
San Gabriel,22,44565.0000,19523.9100,24483.0200,24233.8000,249.2200,3.0000,558.0700,Hectarea
Villa Corona,5,13610.2000,8169.7000,5253.3800,5101.9700,151.4100,12.6500,187.1200,Hectarea
Villa Guerrero,     C,11265.0000,125.0000,11140.0000,11110.5000,29.5000,13.0000,0.0000,Hectarea
Villa Hidalgo,4,3643.3000,2462.0400,1170.2600,1116.1500,54.1100,0.0000,11.0000,Hectarea
Cañadas de Obregon,     C,1633.0000,1366.0000,232.5000,182.5000,50.0000,0.0000,34.5000,Hectarea
Yahualica de Gonzalez Gallo,3,1558.6300,1540.0000,18.0000,18.0000,0.0000,0.0000,0.6300,Hectarea
Zacoalco de Torres,16,24340.9200,12320.9900,11309.5900,11114.6200,194.9700,11.0000,710.3500,Hectarea
Zapopan,32,41914.7600,21782.4400,18720.1800,15911.2100,2808.9700,25.0000,1412.1400,Hectarea
Zapotiltic,18,25794.2500,16468.0000,9092.7500,8711.7500,381.0000,56.5000,233.5000,Hectarea
Zapotitlan de Vadillo,4,10992.0000,2838.0000,8142.5000,8016.0000,126.5000,2.0000,11.5000,Hectarea
Zapotlan del Rey,22,19656.3300,10616.7600,8355.6600,8183.6900,171.9700,0.0000,683.9100,Hectarea
Zapotlanejo,11,10094.7000,6030.1000,3733.2700,3185.0700,548.2000,265.0000,331.3300,Hectarea
Mexico,1233,1444331.1700,791404.4400,596087.1200,535674.4400,60412.6800,10764.9400,56839.6200,Hectarea
Acambay,32,31419.4900,17690.5400,12835.5200,11302.5200,1533.0000,148.9800,893.4300,Hectarea
Acolman,13,4663.6700,3329.0000,1184.1200,836.0000,348.1200,32.5000,150.5500,Hectarea
Aculco,26,18805.3200,12306.0900,5647.2200,5108.7000,538.5300,252.5000,852.0100,Hectarea
Almoloya de Alquisiras,12,13367.1400,4816.1500,8398.9300,8380.9500,17.9800,10.0000,152.0600,Hectarea
Almoloya de Juarez,36,29221.5400,23008.3200,4134.3100,3497.2800,637.0300,4.5000,2078.9000,Hectarea
Almoloya del Rio,4,2216.0000,2135.0000,64.0000,64.0000,0.0000,0.0000,17.0000,Hectarea
Amanalco,19,20434.0000,7188.7500,13017.7500,12165.0000,852.7500,2.0000,227.5000,Hectarea
Amatepec,17,18036.2200,15325.4800,2315.4400,1177.4400,1138.0000,48.0000,395.3000,Hectarea
Amecameca,11,9501.2300,1610.9600,7631.6500,7367.7700,263.8800,21.0000,258.6200,Hectarea
Apaxco,     C,8838.0000,4735.0000,3870.0000,3634.0000,236.0000,0.0000,233.0000,Hectarea
Atenco,5,4132.3100,3450.0000,557.5300,373.0000,184.5300,14.9500,124.7800,Hectarea
Atizapan,     C,206.0000,191.0000,3.5000,0.7500,2.7500,2.7500,11.5000,Hectarea
Atizapan de Zaragoza,     C,200.7600,14.7600,176.0000,160.0000,16.0000,0.0000,10.0000,Hectarea
Atlacomulco,29,18356.4300,8516.1500,9152.9300,5864.1800,3288.7500,501.0000,687.3500,Hectarea
Atlautla,     C,11326.0000,1091.0000,10102.5000,9946.5000,156.0000,3.0000,132.5000,Hectarea
Axapusco,16,17108.3900,12829.1300,3959.6300,3597.8000,361.8300,26.0300,319.6300,Hectarea
Ayapango,5,1565.8500,1226.0000,327.0000,327.0000,0.0000,0.0000,12.8500,Hectarea
Calimaya,9,7035.2400,1851.9000,5062.2800,4963.7900,98.4900,0.0000,121.0600,Hectarea
Capulhuac,4,1287.0000,830.0000,362.2000,245.0000,117.2000,44.2000,94.8000,Hectarea
Coacalco de Berriozabal,     C,745.5800,121.3300,597.2500,517.7500,79.5000,30.0000,27.0000,Hectarea
Coatepec Harinas,11,15260.5400,4248.0400,10563.5000,10495.5000,68.0000,25.0000,449.0000,Hectarea
Cocotitlan,     C,1550.0600,1362.4600,170.6000,156.0000,14.6000,0.0000,17.0000,Hectarea
Coyotepec,     C,3485.0000,1016.0000,2253.0000,2116.0000,137.0000,0.0000,216.0000,Hectarea
Cuautitlan,     C,540.1900,419.2900,72.2600,0.0000,72.2600,0.0000,48.6400,Hectarea
Chalco,14,14240.9000,5023.6500,8742.5300,7505.5800,1236.9500,290.2000,474.7200,Hectarea
Chapa de Mota,15,10409.0000,3849.0000,6287.0000,4528.0000,1759.0000,317.0000,273.0000,Hectarea
Chapultepec,     C,517.7100,384.7000,123.0000,40.0000,83.0000,0.0000,10.0100,Hectarea
Chiautla,5,999.0000,615.1400,370.7500,315.0000,55.7500,10.0000,13.1100,Hectarea
Chicoloapan,     C,1869.1900,719.4200,1089.9500,1059.7300,30.2200,5.7500,59.8200,Hectarea
Chiconcuac,     C,372.0000,260.0000,94.5000,0.0000,94.5000,0.0000,17.5000,Hectarea
Chimalhuacan,     C,1500.0000,1255.0000,195.0000,112.0000,83.0000,0.0000,50.0000,Hectarea
Donato Guerra,17,15960.0000,3757.0000,11881.9500,10077.2000,1804.7500,587.5000,321.0500,Hectarea
Ecatepec de Morelos,8,2184.8600,402.8100,1713.0400,1376.7100,336.3300,0.0000,69.0100,Hectarea
Ecatzingo,     C,8590.0000,1859.0000,6726.0000,6506.0000,220.0000,156.0000,5.0000,Hectarea
Huehuetoca,3,4164.0000,2738.0000,1051.0000,678.0000,373.0000,27.0000,375.0000,Hectarea
Hueypoxtla,11,24983.2300,13524.6900,10987.4700,10062.2500,925.2200,304.0000,471.0700,Hectarea
Huixquilucan,7,6338.2200,3193.4800,2828.2000,1810.9900,1017.2100,325.0000,316.5500,Hectarea
Isidro Fabela,4,4862.5400,1028.6400,3607.2000,3489.4000,117.8000,0.0000,226.7000,Hectarea
Ixtapaluca,9,16740.2000,5176.5800,11352.0000,10068.0000,1284.0000,188.0000,211.6200,Hectarea
Ixtapan de la Sal,     C,805.0000,609.0000,48.0000,23.0000,25.0000,7.0000,148.0000,Hectarea
Ixtapan del Oro,8,9658.7000,2579.6400,7049.9200,6803.5100,246.4100,107.0000,29.1400,Hectarea
Ixtlahuaca,36,25183.0100,21159.4300,3127.6100,1954.3300,1173.2800,254.4600,895.9700,Hectarea
Jaltenco,     C,160.0000,157.0000,0.0000,0.0000,0.0000,0.0000,3.0000,Hectarea
Jilotepec,33,33334.0000,24620.0000,7339.0000,6758.0000,581.0000,182.0000,1375.0000,Hectarea
Jilotzingo,7,6173.0000,1113.0000,4714.0000,4349.0000,365.0000,0.0000,346.0000,Hectarea
Jiquipilco,15,14350.9000,8688.1700,4998.9200,3863.3800,1135.5400,49.0000,663.8100,Hectarea
Jocotitlan,15,17488.3300,10919.0400,4964.4100,3993.8600,970.5500,140.0000,1604.8800,Hectarea
Joquicingo,3,5830.3400,3211.3400,2469.0000,2115.0000,354.0000,50.0000,150.0000,Hectarea
Juchitepec,     C,17645.0000,8987.0000,8330.0000,8330.0000,0.0000,0.0000,328.0000,Hectarea
Lerma,20,17235.5800,6045.3200,10450.0500,8231.3600,2218.6900,297.0000,740.2100,Hectarea
Malinalco,13,16212.6700,3914.3700,12047.5900,11652.9400,394.6500,0.0000,250.7100,Hectarea
Melchor Ocampo,3,885.2900,860.2900,15.0000,5.0000,10.0000,0.0000,10.0000,Hectarea
Metepec,5,1199.0000,844.6000,325.5600,79.0000,246.5600,8.0000,28.8400,Hectarea
Mexicaltzingo,     C,186.3100,150.2000,19.3100,19.3100,0.0000,0.0000,16.8000,Hectarea
Morelos,14,18302.0800,8513.7800,8921.1100,7888.8200,1032.2900,16.0000,867.1900,Hectarea
Naucalpan de Juarez,8,7332.6200,2680.5300,4497.4100,3234.7600,1262.6500,801.0000,154.6800,Hectarea
Nextlalpan,3,1673.5000,1558.5000,96.0000,96.0000,0.0000,0.0000,19.0000,Hectarea
Nicolas Romero,9,13844.8900,8937.8500,4563.1400,3513.9000,1049.2400,81.2400,343.9000,Hectarea
Nopaltepec,4,5230.0000,4782.4300,299.6100,153.0200,146.5900,14.1300,147.9600,Hectarea
Ocoyoacac,8,11100.1000,2878.9000,7779.9000,7403.3000,376.6000,31.1000,441.3000,Hectarea
Ocuilan,5,60712.5300,17601.8000,40626.0100,37035.3600,3590.6500,238.0000,2484.7200,Hectarea
El Oro,12,18543.1500,9083.9000,8501.0000,7487.0000,1014.0000,899.0000,958.2500,Hectarea
Otumba,12,10508.2900,6223.1500,4123.4100,4075.9100,47.5000,0.0000,161.7300,Hectarea
Otzoloapan,     C,966.5100,948.1900,0.0000,0.0000,0.0000,0.0000,18.3200,Hectarea
Otzolotepec,10,6527.4600,2474.2000,3770.6000,3757.0800,13.5200,0.0000,282.6600,Hectarea
Ozumba,5,2819.5000,1037.0000,1679.5000,1469.5000,210.0000,0.0000,103.0000,Hectarea
Papalotla,     C,111.0000,70.0000,30.5000,16.0000,14.5000,4.5000,10.5000,Hectarea
La Paz,     C,491.0000,355.3800,111.5200,111.5200,0.0000,0.0000,24.1000,Hectarea
Polotitlan,10,6052.5800,4917.7200,609.7700,491.3700,118.4000,118.4000,525.0900,Hectarea
Rayon,4,891.2300,804.0600,35.5800,2.2500,33.3300,7.6500,51.5900,Hectarea
San Antonio La Isla,     C,450.1200,412.0400,23.7000,11.0700,12.6300,12.6300,14.3800,Hectarea
San Felipe del Progreso,47,23205.8800,18059.8300,4486.4200,3143.4600,1342.9600,67.2500,659.6300,Hectarea
San Martin de las Piramides,8,3770.1100,1947.6100,1692.1600,1468.3600,223.8000,0.0000,130.3500,Hectarea
San Mateo Atenco,     C,1980.0000,0.0000,1899.0000,1868.0000,31.0000,23.0000,81.0000,Hectarea
San Simon de Guerrero,     C,11658.0000,801.2500,10836.7500,10756.7500,80.0000,16.0000,20.0000,Hectarea
Santo Tomas,6,4753.0000,3461.5000,1216.0000,974.0000,242.0000,67.0000,75.5000,Hectarea
Soyaniquilpan de Juarez,7,6944.2400,5466.1200,847.8200,812.3700,35.4500,0.0000,630.3000,Hectarea
Sultepec,9,22320.0000,8589.0000,13226.0000,12798.0000,428.0000,22.0000,505.0000,Hectarea
Tecamac,10,4476.9200,4025.2500,251.8400,146.8400,105.0000,6.0000,199.8300,Hectarea
Tejupilco,14,32261.2800,25161.8700,6854.3500,6449.2200,405.1300,0.0000,245.0600,Hectarea
Temamatla,     C,1133.3200,316.6000,814.5200,812.7000,1.8200,0.0200,2.2000,Hectarea
Temascalapa,11,8962.3300,6984.2600,1449.4000,1353.9000,95.5000,46.0000,528.6700,Hectarea
Temascalcingo,27,137196.5000,99585.4400,22102.4200,19281.4200,2821.0000,460.5000,15508.6400,Hectarea
Temascaltepec,36,42668.5000,10178.0000,31751.5000,31174.0000,577.5000,162.0000,739.0000,Hectarea
Temoaya,9,13047.9700,11732.1800,650.9800,506.9600,144.0200,13.0000,664.8100,Hectarea
Tenancingo,22,10054.0900,5591.5800,4000.2200,3049.6100,950.6100,36.0000,462.2900,Hectarea
Tenango del Aire,4,2046.0000,1684.0700,260.2100,259.7100,0.5000,0.0000,101.7200,Hectarea
Tenango del Valle,13,16429.3100,8569.4900,7465.8800,6840.6100,625.2700,0.0000,393.9400,Hectarea
Teoloyucan,7,2192.0000,687.5000,1503.5000,1454.0000,49.5000,0.0000,1.0000,Hectarea
Teotihuacan,8,2323.4000,1937.1800,221.7000,82.2100,139.4900,0.0000,164.5200,Hectarea
Tepetlaoxtoc,10,8722.0000,2641.0000,5957.0000,5922.0000,35.0000,7.0000,124.0000,Hectarea
Tepetlixpa,4,2670.0000,2293.0000,177.0000,120.0000,57.0000,0.0000,200.0000,Hectarea
Tepotzotlan,5,5877.0000,3113.5000,2133.0000,1630.0000,503.0000,0.0000,630.5000,Hectarea
Tequixquiac,3,6929.0000,6465.0000,396.0000,128.0000,268.0000,4.0000,68.0000,Hectarea
Texcaltitlan,8,11488.2700,5379.5000,5953.3600,4785.5900,1167.7700,57.5200,155.4100,Hectarea
Texcalyacac,     C,1442.5000,192.0000,1050.5000,1000.0000,50.5000,0.0000,200.0000,Hectarea
Texcoco,31,18843.3500,6339.0500,11782.7700,10950.3900,832.3800,37.5000,721.5300,Hectarea
Tezoyuca,     C,947.0000,664.0000,263.0000,16.0000,247.0000,247.0000,20.0000,Hectarea
Tianguistenco,3,23750.2000,16372.2000,5705.0000,5595.0000,110.0000,75.0000,1673.0000,Hectarea
Timilpan,7,10218.0000,7523.5000,2571.0000,2157.5000,413.5000,2.0000,123.5000,Hectarea
Tlalmanalco,6,12491.0000,1254.4900,11177.4600,11114.8800,62.5800,3.0000,59.0500,Hectarea
Tlalnepantla de Baz,5,1128.5800,308.7000,799.7100,480.0400,319.6700,139.0000,20.1700,Hectarea
Tlatlaya,23,47567.0000,40515.0000,6022.6000,4635.0000,1387.6000,509.5000,1029.4000,Hectarea
Toluca,22,20237.2600,11787.8900,7691.5000,4622.2000,3069.3000,1009.2700,757.8700,Hectarea
Tonatico,5,3704.0000,2221.0000,1103.0000,977.0000,126.0000,31.0000,380.0000,Hectarea
Tultepec,     C,960.0000,874.0000,51.0000,0.0000,51.0000,0.0000,35.0000,Hectarea
Tultitlan,4,1938.8700,314.8100,1571.5600,912.0000,659.5600,2.0000,52.5000,Hectarea
Valle de Bravo,20,10839.0000,4443.5000,5871.0000,3753.0000,2118.0000,713.0000,524.5000,Hectarea
Villa de Allende,32,24099.8200,13779.5200,9352.5300,9143.2700,209.2600,18.4000,967.7600,Hectarea
Villa del Carbon,11,51619.8900,16814.9900,32842.7100,32350.9000,491.8100,103.0000,1962.1900,Hectarea
Villa Guerrero,12,11930.0000,4105.0000,7551.0000,6298.5000,1252.5000,0.0000,274.0000,Hectarea
Villa Victoria,28,27736.1400,20936.8400,6149.0700,5980.3200,168.7500,38.0000,650.2300,Hectarea
Xonacatlan,3,3415.0000,1808.0000,1518.0000,1396.0000,122.0000,0.0000,89.0000,Hectarea
Zacazonapan,     C,352.0000,336.0000,9.0000,6.0000,3.0000,0.0000,7.0000,Hectarea
Zacualpan,12,15890.3300,6368.0700,9406.4000,9373.1500,33.2500,0.0000,115.8600,Hectarea
Zinacantepec,18,21028.0000,9448.0000,11317.0000,10739.0000,578.0000,0.0000,263.0000,Hectarea
Zumpahuacan,     C,709.5400,199.4400,499.6800,494.6800,5.0000,0.0000,10.4200,Hectarea
Zumpango,9,7477.5600,5829.1700,1443.3900,1209.9800,233.4100,25.5000,205.0000,Hectarea
Cuautitlan Izcalli,9,2308.9500,1499.5000,735.1200,300.5000,434.6200,10.0000,74.3300,Hectarea
Valle de Chalco Solidaridad,     C,366.0000,204.5000,146.0000,120.0000,26.0000,0.0000,15.5000,Hectarea
Luvianos,3,22227.0000,19192.7500,2774.2500,2389.2500,385.0000,100.0000,260.0000,Hectarea
San Jose del Rincon,50,33058.5600,23164.5000,9460.0000,8991.8300,468.1700,19.5000,434.0600,Hectarea
Michoacan de Ocampo,1910,3046481.1800,1474569.7300,1516159.1100,1454773.3900,61385.7300,7356.9100,55752.4800,Hectarea
Acuitzio,8,4811.8000,1495.8500,3201.9500,2952.9500,249.0000,66.0000,114.0000,Hectarea
Aguililla,16,57339.4700,44036.2200,12563.8600,11921.5400,642.3200,69.3600,739.3900,Hectarea
alvaro Obregon,23,9312.5900,6521.4300,2349.9700,1897.6500,452.3200,99.2600,441.1900,Hectarea
Angamacutiro,24,12478.2200,7194.0100,4988.2100,4418.2100,570.0000,45.0000,296.0000,Hectarea
Angangueo,6,8467.0000,2407.0000,5946.0000,5851.0000,95.0000,50.0000,114.0000,Hectarea
Apatzingan,51,79725.5400,48811.6100,29930.6800,27805.0200,2125.6600,213.6700,983.2500,Hectarea
Aporo,     C,942.0000,60.0000,879.0000,874.5000,4.5000,0.0000,3.0000,Hectarea
Aquila,7,178094.0000,6689.0000,171217.0000,171100.0000,117.0000,50.0000,188.0000,Hectarea
Ario,40,38321.6400,19499.9800,18400.3900,17648.4700,751.9200,5.3400,421.2700,Hectarea
Arteaga,20,81128.9700,30367.5800,49565.6100,46990.5000,2575.1100,1766.0000,1195.7800,Hectarea
Briseñas,4,6957.5000,6303.9500,423.5200,206.7900,216.7300,0.0000,230.0300,Hectarea
Buenavista,47,54150.4000,37986.5200,15245.7900,14237.9600,1007.8300,115.7000,918.0800,Hectarea
Caracuaro,12,24698.0000,19354.0000,5125.0000,4758.0000,367.0000,43.0000,219.0000,Hectarea
Coahuayana,12,23563.0000,16101.0000,6968.0000,6715.0000,253.0000,75.0000,494.0000,Hectarea
Coalcoman de Vazquez Pallares,10,26148.5500,16165.2800,9731.2400,9492.8700,238.3700,26.0000,252.0400,Hectarea
Coeneo,35,23982.7100,8901.3800,14402.4700,13323.2500,1079.2200,217.0000,678.8600,Hectarea
Contepec,30,32986.0000,19650.0000,11794.5000,10735.5000,1059.0000,75.5000,1541.5000,Hectarea
Copandaro,5,3167.9700,1155.5700,1571.5900,1497.5000,74.0900,0.0000,440.8100,Hectarea
Cotija,19,17853.0000,9824.5000,7891.5000,7626.0000,265.5000,58.5000,137.0000,Hectarea
Cuitzeo,9,4474.6200,3458.8800,866.4500,793.5900,72.8600,0.0000,149.2900,Hectarea
Charapan,4,29077.0000,7837.0000,21190.0000,21170.0000,20.0000,0.0000,50.0000,Hectarea
Charo,17,22355.8400,9221.8900,12911.6600,12564.9200,346.7400,7.0000,222.2900,Hectarea
Chavinda,12,10055.2500,4786.2500,4975.0000,4769.0000,206.0000,0.0000,294.0000,Hectarea
Cheran,     C,28000.0000,18389.0000,9561.0000,9100.0000,461.0000,0.0000,50.0000,Hectarea
Chilchota,13,42248.8400,10999.2400,30913.9000,30043.7000,870.2000,180.0000,335.7000,Hectarea
Chinicuila,8,40635.0000,17863.0000,22570.0000,22460.0000,110.0000,11.0000,202.0000,Hectarea
Chucandiro,14,7392.5500,3288.0400,3994.3400,3750.6800,243.6600,0.3300,110.1700,Hectarea
Churintzio,16,11473.6600,5379.6000,5653.6900,5284.6100,369.0800,30.0300,440.3600,Hectarea
Churumuco,25,95336.6700,29898.7500,64353.5900,63379.3800,974.2100,47.0000,1084.3300,Hectarea
Ecuandureo,17,15861.6100,7995.0700,7565.0700,7230.8300,334.2500,0.0000,301.4700,Hectarea
Epitacio Huerta,15,19202.1000,10173.5000,7815.0000,6988.1000,826.9000,0.0000,1213.6000,Hectarea
Erongaricuaro,12,8162.2000,4663.9000,3496.3000,3496.3000,0.0000,0.0000,2.0000,Hectarea
Gabriel Zamora,7,32595.6700,12781.3300,18830.4200,17974.0100,856.4100,0.0000,983.9200,Hectarea
Hidalgo,31,28280.2100,5539.6500,22504.4000,22130.1000,374.3000,28.0000,236.1600,Hectarea
La Huacana,68,155275.5000,60526.8400,92303.1900,89955.5400,2347.6500,173.2500,2445.4700,Hectarea
Huandacareo,5,3804.4500,2004.8000,1651.0400,1568.8900,82.1500,0.0000,148.6100,Hectarea
Huaniqueo,20,12070.0000,4404.0000,7408.0000,6342.0000,1066.0000,2.0000,258.0000,Hectarea
Huetamo,54,112946.9600,58661.4900,52732.8600,50485.9000,2246.9600,8.2600,1552.6100,Hectarea
Huiramba,5,5956.0000,2998.5000,2895.5000,2872.0000,23.5000,0.0000,62.0000,Hectarea
Indaparapeo,12,9341.3600,6502.5600,2590.9900,2412.5900,178.4000,7.0000,247.8100,Hectarea
Irimbo,6,3702.0600,2058.0300,1526.1900,1413.7000,112.4900,0.0000,117.8400,Hectarea
Ixtlan,13,13887.6300,6099.8300,7407.6900,7237.8100,169.8800,7.0000,380.1100,Hectarea
Jacona,4,3645.9300,1836.0300,1708.8100,1624.1400,84.6700,22.3800,101.0900,Hectarea
Jimenez,20,16922.9300,8726.0400,7796.3000,7419.0600,377.2500,0.4900,400.6000,Hectarea
Jiquilpan,10,7042.0000,5400.7500,1354.0000,1118.5000,235.5000,5.0000,287.2500,Hectarea
Juarez,9,11878.0000,6337.0000,5386.0000,5158.0000,228.0000,29.0000,155.0000,Hectarea
Jungapeo,17,22986.0000,9838.0000,12562.0000,12263.0000,299.0000,29.0000,586.0000,Hectarea
Lagunillas,5,4145.0000,1205.2700,2842.7300,2696.7300,146.0000,25.0000,97.0000,Hectarea
Madero,15,33686.4200,10214.7700,21069.2600,20896.8400,172.4200,0.0000,2402.3900,Hectarea
Maravatio,34,43958.6200,21662.1000,21030.1100,19816.5400,1213.5700,152.5000,1266.4100,Hectarea
Marcos Castellanos,8,3605.8200,3359.6300,129.1900,32.0000,97.1900,0.0000,117.0000,Hectarea
Lazaro Cardenas,22,46894.8100,40379.3700,4976.7300,3724.8800,1251.8500,58.9900,1538.7100,Hectarea
Morelia,83,55136.2500,21109.5300,32693.7000,29489.2100,3204.4900,539.0000,1333.0200,Hectarea
Morelos,8,5199.8000,2220.0300,2926.9300,2866.9500,59.9800,15.0000,52.8400,Hectarea
Mugica,5,34554.8600,18362.3400,14900.0700,13744.2500,1155.8200,338.0000,1292.4500,Hectarea
Nahuatzen,8,30780.2500,17274.0000,12999.2500,12505.7500,493.5000,184.0000,507.0000,Hectarea
Nocupetaro,13,54795.0000,30811.0000,23490.0000,22979.0000,511.0000,39.0000,494.0000,Hectarea
Nuevo Parangaricutiro,4,20077.6400,18364.5600,1098.5900,1047.3900,51.2000,0.0000,614.4900,Hectarea
Nuevo Urecho,12,25488.2900,15235.8500,9802.0900,9198.8800,603.2100,50.0000,450.3500,Hectarea
Numaran,8,6911.2300,5472.7800,1339.3200,1187.0000,152.3200,5.0000,99.1300,Hectarea
Ocampo,9,10958.0000,4289.5000,6500.5000,6441.5000,59.0000,3.0000,168.0000,Hectarea
Pajacuaran,10,12201.0200,8402.8800,3346.4100,3116.8800,229.5300,2.0000,451.7300,Hectarea
Panindicuaro,18,23027.5700,10603.4100,11345.0700,10852.9100,492.1600,29.0000,1079.0900,Hectarea
Paracuaro,21,49531.1300,35087.5900,12920.6700,11803.8100,1116.8600,210.3900,1522.8700,Hectarea
Paracho,8,24223.2500,9149.5000,14872.7500,13783.2500,1089.5000,160.0000,201.0000,Hectarea
Patzcuaro,32,24364.6400,12043.1000,12000.7900,10832.8500,1167.9400,1.0000,320.7500,Hectarea
Penjamillo,22,24021.0200,14821.1500,8851.1600,8226.0000,625.1600,77.0000,348.7100,Hectarea
