INEGI. IX Censo Ejidal 2007,,,,
"Ejidos y comunidades con tractores de su propiedad, segun cantidad y funcionamiento",,,,cuadro 26
por entidad federativa y municipio,,,,
,,,,
entidad_federativa_y_municipio,ejidos_y_comunidades_con_tractores,cantidad_de_tractores,ejidos_y_comunidades_con tractores_en_funcionamiento,cantidad_de_tractores_en_funcionamiento
La Union de Isidoro Montes de Oca,9,10,9,10
Eduardo Neri,3,7,3,7
Hidalgo,129,221,118,200
Acatlan,5,6,4,5
Alfajayucan,6,10,5,7
Atitalaquia,2,2,2,2
Atlapexco,2,3,2,2
Atotonilco el Grande,4,11,4,11
Atotonilco de Tula,5,13,5,13
Cardonal,1,1,1,1
Cuautepec de Hinojosa,3,6,3,6
Chapantongo,3,6,3,6
Eloxochitlan,2,3,2,3
Epazoyucan,1,3,1,3
Huasca de Ocampo,1,1,1,1
Huautla,11,21,11,21
Huejutla de Reyes,7,12,5,9
Huichapan,11,15,11,15
Ixmiquilpan,1,2,1,2
Jacala de Ledezma,1,1,1,1
Jaltocan,1,1,1,1
Metepec,1,1,1,1
San Agustin Metzquititlan,1,1,0,0
Metztitlan,2,2,2,2
Mixquiahuala de Juarez,1,1,1,1
Nopala de Villagran,5,14,5,14
San Agustin Tlaxiaca,1,3,1,1
Santiago de Anaya,3,4,3,4
Santiago Tulantepec de Lugo Guerrero,1,1,1,1
Singuilucan,5,11,5,11
Tecozautla,5,9,5,9
Tepeji del Rio de Ocampo,3,10,2,6
Tepetitlan,2,2,1,1
Tula de Allende,7,12,7,12
Tulancingo de Bravo,2,3,1,2
Xochiatipan,1,1,1,1
Yahualica,1,1,1,1
Zapotlan de Juarez,1,1,1,1
Zempoala,6,12,6,12
Zimapan,14,15,11,11
Jalisco,55,97,51,88
Acatic,1,5,1,5
Atenguillo,1,1,1,1
Atotonilco el Alto,1,1,1,1
Autlan de Navarro,1,2,1,2
Ayotlan,2,4,1,2
Ayutla,1,1,1,1
La Barca,1,1,1,1
Zapotlan el Grande,1,2,1,2
Cuautla,1,1,1,1
Cuquio,1,2,1,2
Degollado,2,3,2,3
Guachinango,1,1,1,1
Jamay,1,1,0,0
Jesus Maria,1,2,1,2
Jilotlan de los Dolores,1,4,1,1
Lagos de Moreno,6,10,6,10
El Limon,1,3,1,3
Magdalena,1,2,1,2
Mascota,2,4,2,4
Mezquitic,2,4,2,4
Mixtlan,1,3,1,3
Ojuelos de Jalisco,1,1,1,1
Poncitlan,2,3,1,1
Puerto Vallarta,1,1,1,1
El Salto,1,2,1,2
Sayula,1,3,1,3
Tamazula de Gordiano,1,1,1,1
Teuchitlan,1,1,1,1
Tlajomulco de Zuñiga,3,6,3,6
Tlaquepaque,1,2,1,2
Tonila,3,6,2,5
Union de San Antonio,2,3,2,3
Zapopan,2,2,2,2
Zapotiltic,3,5,3,5
Mexico,101,203,89,180
Acolman,7,12,7,11
Almoloya de Juarez,1,2,1,1
Amecameca,1,1,1,1
Apaxco,1,5,1,4
Atenco,2,4,2,4
Atlacomulco,5,12,4,9
Axapusco,1,2,1,2
Capulhuac,1,1,1,1
Coyotepec,1,1,1,1
Chalco,7,10,6,9
Chiautla,4,5,4,5
Chicoloapan,1,5,1,5
Chimalhuacan,1,2,1,1
Ecatzingo,2,2,2,2
Ixtapaluca,3,7,3,6
Ixtapan del Oro,1,1,1,1
Jaltenco,1,1,0,0
Jilotepec,1,2,0,0
Jilotzingo,1,1,1,1
Jiquipilco,8,36,8,36
Lerma,4,5,3,4
Morelos,1,1,1,1
Naucalpan de Juarez,2,6,1,5
Nextlalpan,1,1,1,1
Ocoyoacac,1,2,1,1
Ozumba,1,2,1,2
Papalotla,1,2,1,2
Polotitlan,2,4,2,4
Soyaniquilpan de Juarez,2,9,2,9
Tecamac,4,7,4,6
Temamatla,1,1,1,1
Temascaltepec,3,3,2,2
Tenancingo,1,1,0,0
Teotihuacan,2,3,2,3
Tepetlaoxtoc,4,6,4,6
Tepotzotlan,2,2,1,1
Texcoco,8,15,8,15
Timilpan,1,5,1,5
Tlalmanalco,2,4,1,3
Tlalnepantla de Baz,1,1,1,1
Toluca,1,2,0,0
Villa del Carbon,1,1,1,1
Zinacantepec,1,1,1,1
Valle de Chalco Solidaridad,1,3,1,3
Michoacan de Ocampo,123,219,116,203
Acuitzio,1,2,1,2
alvaro Obregon,4,6,4,6
Apatzingan,1,1,1,1
Ario,3,5,3,4
Arteaga,1,4,1,4
Buenavista,3,9,3,9
Coahuayana,1,3,1,3
Coeneo,6,13,5,9
Contepec,3,10,3,10
Cotija,1,2,1,2
Cuitzeo,1,1,1,1
Charapan,1,3,1,3
Charo,1,2,1,2
Chinicuila,1,1,1,1
Chucandiro,1,1,0,0
Churumuco,1,1,1,1
Ecuandureo,1,1,1,1
Huaniqueo,1,1,1,1
Indaparapeo,2,3,2,3
