INEGI. IX Censo Ejidal 2007,,,,,
Ejidos y comunidades con avecindados segun sexo de los avencindados,,,,,cuadro 15
por entidad federativa y municipio,,,,,
,,,,,
,,,,,
entidad_federativa_y_municipio,ejidos_y_comunidades_con_avecindados, avecindados_total, avecindados_hombres, avecindados_mujeres,ejidos_y_comunidades_sin_avecindados
Sitala,0,0,0,0,7
Socoltenango,23,448,374,74,10
Solosuchiapa,6,152,145,7,5
Soyalo,1,200,200,0,3
Suchiapa,2,5128,2578,2550,7
Suchiate,17,24526,12387,12139,0
Sunuapa,1,50,25,25,0
Tapachula,44,5976,3772,2204,8
Tapalapa,1,1,0,1,1
Tapilula,4,97,93,4,0
Tecpatan,51,2806,1961,845,8
Tenejapa,1,27,27,0,6
Teopisca,3,30,27,3,13
Tila,7,216,216,0,22
Tonala,38,13765,6741,7024,16
Totolapa,1,12,12,0,7
La Trinitaria,52,2430,2220,210,33
Tumbala,8,619,541,78,16
Tuxtla Gutierrez,4,12050,9018,3032,2
Tuxtla Chico,6,648,388,260,1
Tuzantan,16,928,531,397,0
Tzimol,12,2699,1351,1348,6
Union Juarez,12,1382,1164,218,0
Venustiano Carranza,23,1256,867,389,18
Villa Corzo,32,2403,1824,579,39
Villaflores,44,5278,3979,1299,23
Yajalon,1,10,10,0,7
San Lucas,0,0,0,0,2
Zinacantan,1,34,34,0,5
San Juan Cancuc,0,0,0,0,1
Aldama,1,25,10,15,0
Benemerito de las Americas,11,3355,2331,1024,3
Maravilla Tenejapa,17,362,335,27,16
Marques de Comillas,17,516,363,153,6
Montecristo de Guerrero,1,300,230,70,4
San Andres Duraznal,1,100,100,0,4
Santiago el Pinar,1,1500,1300,200,0
Chihuahua,500,54209,35193,19016,487
Ahumada,7,515,301,214,17
Aldama,5,453,306,147,19
Allende,11,76,76,0,10
Aquiles Serdan,1,1,1,0,1
Ascension,7,730,727,3,14
Bachiniva,8,1009,751,258,3
Balleza,18,1662,972,690,2
Batopilas,1,2,2,0,11
Bocoyna,24,1348,844,504,2
Buenaventura,3,24,23,1,6
Camargo,12,2425,1254,1171,12
Carichi,20,734,397,337,3
Casas Grandes,9,143,78,65,4
Coronado,6,123,90,33,0
Coyame del Sotol,3,36,35,1,9
La Cruz,1,774,774,0,4
Cuauhtemoc,15,1319,857,462,11
Cusihuiriachi,10,152,131,21,11
Chihuahua,29,1263,1007,256,18
Chinipas,7,94,68,26,9
Delicias,1,15,12,3,3
Dr. Belisario Dominguez,5,277,175,102,4
Galeana,0,0,0,0,4
Santa Isabel,5,154,116,38,3
Gomez Farias,6,166,102,64,1
Gran Morelos,7,102,74,28,3
Guachochi,16,556,308,248,10
Guadalupe,0,0,0,0,7
Guadalupe y Calvo,19,2509,2046,463,26
Guazapares,9,198,107,91,2
Guerrero,23,4075,3585,490,27
Hidalgo del Parral,1,8,8,0,11
Huejotitan,5,127,89,38,3
Ignacio Zaragoza,0,0,0,0,4
Janos,11,441,255,186,3
Jimenez,18,1217,646,571,35
Juarez,7,7057,4379,2678,3
Julimes,2,24,24,0,4
Lopez,6,378,263,115,6
Madera,13,4630,2458,2172,7
Maguarichi,4,34,25,9,1
Manuel Benavides,2,13,13,0,12
Matachi,2,16,13,3,3
Matamoros,7,138,6,132,1
Meoqui,1,5000,4000,1000,3
Morelos,6,105,93,12,11
Moris,3,43,25,18,7
Namiquipa,9,2200,473,1727,3
Nonoava,0,0,0,0,3
Nuevo Casas Grandes,0,0,0,0,2
Ocampo,6,157,118,39,11
Ojinaga,15,647,423,224,18
Praxedis G. Guerrero,0,0,0,0,5
Riva Palacio,7,75,74,1,2
Rosales,6,1763,1437,326,5
Rosario,5,659,355,304,2
San Francisco de Borja,7,521,493,28,2
San Francisco de Conchos,3,86,44,42,4
San Francisco del Oro,3,37,31,6,1
Santa Barbara,8,232,182,50,1
Satevo,2,170,170,0,18
Saucillo,6,2894,1577,1317,7
Temosachi,10,754,362,392,3
El Tule,4,215,146,69,0
Urique,12,1174,622,552,17
Uruachi,11,226,131,95,8
Valle de Zaragoza,10,2233,1039,1194,5
Distrito Federal,12,2618,1784,834,25
Cuajimalpa de Morelos,2,1001,501,500,1
La Magdalena Contreras,0,0,0,0,3
Milpa Alta,1,15,12,3,7
alvaro Obregon,1,50,30,20,1
Tlahuac,4,607,557,50,3
Tlalpan,3,180,148,32,7
Xochimilco,1,765,536,229,3
Durango,608,67330,35968,31362,516
Canatlan,17,653,379,274,23
Canelas,0,0,0,0,3
Coneto de Comonfort,4,17,14,3,4
Cuencame,19,1514,901,613,9
Durango,84,5389,3190,2199,38
General Simon Bolivar,5,214,195,19,16
Gomez Palacio,67,5267,2546,2721,31
Guadalupe Victoria,3,25,21,4,7
Guanacevi,26,375,350,25,14
Hidalgo,13,221,194,27,5
Inde,8,228,180,48,4
Lerdo,21,12444,6102,6342,10
Mapimi,20,225,190,35,58
Mezquital,4,79,48,31,18
Nazas,8,95,74,21,16
Nombre de Dios,15,3639,1350,2289,4
Ocampo,12,4915,2522,2393,12
El Oro,12,350,250,100,13
Otaez,5,390,185,205,9
Panuco de Coronado,7,129,108,21,10
Peñon Blanco,3,46,29,17,2
Poanas,7,696,524,172,13
Pueblo Nuevo,19,14392,7339,7053,5
Rodeo,23,3599,1948,1651,6
San Bernardo,9,152,111,41,15
San Dimas,39,1992,1091,901,10
San Juan de Guadalupe,8,129,52,77,13
San Juan del Rio,10,239,177,62,12
San Luis del Cordero,2,251,251,0,0
San Pedro del Gallo,9,51,50,1,2
Santa Clara,3,270,250,20,3
Santiago Papasquiaro,35,4468,2461,2007,27
Suchil,6,16,16,0,4
Tamazula,27,2262,1333,929,22
Tepehuanes,18,726,459,267,8
Tlahualilo,18,1244,622,622,39
Topia,7,113,66,47,8
Vicente Guerrero,7,329,216,113,2
Nuevo Ideal,8,186,174,12,21
Guanajuato,794,98531,51902,46629,749
Abasolo,27,1669,1224,445,20
Acambaro,28,1123,1005,118,41
San Miguel de Allende,38,6222,3650,2572,23
Apaseo el Alto,15,724,482,242,13
Apaseo el Grande,16,1803,791,1012,23
Atarjea,8,99,71,28,4
Celaya,13,6316,2649,3667,27
Manuel Doblado,28,4566,2182,2384,5
Comonfort,9,1058,588,470,23
Coroneo,3,75,55,20,0
Cortazar,11,3103,1537,1566,12
Cueramaro,11,857,630,227,4
Doctor Mora,3,79,39,40,2
Dolores Hidalgo Cuna de la Independencia Nal.,51,2932,1742,1190,9
Guanajuato,27,6613,3837,2776,2
Huanimaro,9,501,176,325,11
Irapuato,42,7287,3107,4180,38
Jaral del Progreso,2,55,42,13,13
Jerecuaro,17,866,662,204,25
Leon,24,748,601,147,26
Moroleon,1,4,4,0,7
Ocampo,11,730,395,335,5
Penjamo,57,2657,2186,471,94
Pueblo Nuevo,6,45,39,6,0
Purisima del Rincon,4,1085,575,510,7
Romita,47,7513,3238,4275,0
Salamanca,20,347,241,106,34
Salvatierra,23,10904,4523,6381,35
San Diego de la Union,20,1087,393,694,14
San Felipe,56,4693,3000,1693,25
San Francisco del Rincon,15,1979,985,994,11
San Jose Iturbide,3,107,86,21,0
San Luis de la Paz,12,807,454,353,12
Santa Catarina,1,4,3,1,1
Santa Cruz de Juventino Rosas,15,2413,1334,1079,11
Santiago Maravatio,5,34,30,4,4
Silao,37,10812,5300,5512,27
Tarandacuao,3,109,71,38,0
Tarimoro,6,2456,949,1507,8
Tierra Blanca,2,95,89,6,1
Uriangato,4,116,86,30,5
Valle de Santiago,34,1100,736,364,64
Victoria,9,1051,754,297,6
Villagran,1,3,1,2,10
Xichu,7,128,107,21,7
Yuriria,13,1556,1253,303,40
Guerrero,436,99176,49279,49897,823
Acapulco de Juarez,33,57139,24634,32505,12
Ahuacuotzingo,9,257,202,55,19
Ajuchitlan del Progreso,11,197,171,26,28
Alcozauca de Guerrero,0,0,0,0,14
Alpoyeca,3,110,80,30,2
Apaxtla,0,0,0,0,4
Arcelia,9,257,214,43,14
Atenango del Rio,4,128,112,16,10
Atlamajalcingo del Monte,0,0,0,0,7
Atlixtac,3,565,295,270,2
Atoyac de alvarez,18,364,261,103,18
Ayutla de los Libres,17,889,451,438,11
Azoyu,8,1149,806,343,3
Benito Juarez,6,236,148,88,0
Buenavista de Cuellar,0,0,0,0,7
Coahuayutla de Jose Maria Izazaga,12,213,134,79,23
Cocula,3,212,114,98,13
Copala,1,6,5,1,5
Copalillo,1,1,1,0,8
Copanatoyac,1,200,200,0,7
Coyuca de Benitez,13,1473,886,587,19
Coyuca de Catalan,3,150,128,22,53
Cuajinicuilapa,0,0,0,0,11
Cualac,1,2,2,0,0
Cuautepec,0,0,0,0,5
