INEGI. IX Censo Ejidal 2007,,,,,
Ejidos y comunidades con avecindados segun sexo de los avencindados,,,,,cuadro 15
por entidad federativa y municipio,,,,,
,,,,,
,,,,,
entidad_federativa_y_municipio,ejidos_y_comunidades_con_avecindados, avecindados_total, avecindados_hombres, avecindados_mujeres,ejidos_y_comunidades_sin_avecindados
Morelos,8,2655,2615,40,6
Naucalpan de Juarez,0,0,0,0,8
Nextlalpan,1,4,2,2,2
Nicolas Romero,7,748,402,346,2
Nopaltepec,2,22,18,4,2
Ocoyoacac,3,210,43,167,5
Ocuilan,4,1765,1314,451,1
El Oro,10,782,654,128,2
Otumba,6,193,171,22,6
Otzoloapan,2,40,35,5,0
Otzolotepec,5,2345,1208,1137,5
Ozumba,3,36,32,4,2
Papalotla,1,20,16,4,0
La Paz,0,0,0,0,1
Polotitlan,8,164,127,37,2
Rayon,3,16,16,0,1
San Antonio la Isla,0,0,0,0,2
San Felipe del Progreso,32,1364,1036,328,15
San Martin de las Piramides,4,38,34,4,4
San Mateo Atenco,1,8,0,8,0
San Simon de Guerrero,0,0,0,0,2
Santo Tomas,2,50,25,25,4
Soyaniquilpan de Juarez,5,166,126,40,2
Sultepec,4,43,35,8,5
Tecamac,3,94,73,21,7
Tejupilco,9,942,590,352,5
Temamatla,0,0,0,0,2
Temascalapa,4,16,14,2,7
Temascalcingo,8,377,294,83,19
Temascaltepec,15,909,766,143,21
Temoaya,4,161,133,28,5
Tenancingo,13,2621,1670,951,9
Tenango del Aire,1,3,3,0,3
Tenango del Valle,6,442,331,111,7
Teoloyucan,2,258,220,38,5
Teotihuacan,3,46,39,7,5
Tepetlaoxtoc,2,9,5,4,8
Tepetlixpa,1,30,30,0,3
Tepotzotlan,5,2172,2172,0,0
Tequixquiac,2,23,23,0,1
Texcaltitlan,6,39,33,6,2
Texcalyacac,1,428,296,132,0
Texcoco,18,2948,1339,1609,13
Tezoyuca,2,120,86,34,0
Tianguistenco,0,0,0,0,3
Timilpan,3,273,206,67,4
Tlalmanalco,2,307,183,124,4
Tlalnepantla de Baz,2,249,177,72,3
Tlatlaya,14,883,486,397,9
Toluca,19,6130,4131,1999,3
Tonatico,4,69,51,18,1
Tultepec,2,240,166,74,0
Tultitlan,0,0,0,0,4
Valle de Bravo,15,5601,3363,2238,5
Villa de Allende,13,331,260,71,19
Villa del Carbon,6,573,428,145,5
Villa Guerrero,4,422,241,181,8
Villa Victoria,18,10488,10346,142,10
Xonacatlan,1,40,30,10,2
Zacazonapan,2,56,55,1,0
Zacualpan,5,581,275,306,7
Zinacantepec,12,1957,1376,581,6
Zumpahuacan,1,47,40,7,1
Zumpango,3,322,312,10,6
Cuautitlan Izcalli,3,1312,1079,233,6
Valle de Chalco Solidaridad,0,0,0,0,2
Luvianos,2,4386,2555,1831,1
San Jose del Rincon,23,2757,1650,1107,27
Michoacan de Ocampo,778,114198,64202,49996,1132
Acuitzio,1,2,2,0,7
Aguililla,3,34,21,13,13
alvaro Obregon,5,37,36,1,18
Angamacutiro,3,33,31,2,21
Angangueo,1,250,180,70,5
Apatzingan,31,4079,1850,2229,20
Aporo,0,0,0,0,3
Aquila,3,2700,1200,1500,4
Ario,27,595,321,274,13
Arteaga,11,1025,507,518,9
Briseñas,0,0,0,0,4
Buenavista,35,4671,2571,2100,12
Caracuaro,7,86,76,10,5
Coahuayana,7,471,249,222,5
Coalcoman de Vazquez Pallares,9,65,46,19,1
Coeneo,1,1,1,0,34
Contepec,20,957,756,201,10
Copandaro,1,2,2,0,4
Cotija,10,973,451,522,9
Cuitzeo,2,2,2,0,7
Charapan,0,0,0,0,4
Charo,5,318,241,77,12
Chavinda,3,556,401,155,9
Cheran,0,0,0,0,2
Chilchota,7,8739,4267,4472,6
Chinicuila,6,332,174,158,2
Chucandiro,0,0,0,0,14
Churintzio,9,812,779,33,7
Churumuco,11,355,168,187,14
Ecuandureo,4,150,122,28,13
Epitacio Huerta,11,1069,734,335,4
Erongaricuaro,1,10,4,6,11
Gabriel Zamora,6,902,495,407,1
Hidalgo,12,2364,1157,1207,19
La Huacana,38,3182,1601,1581,30
Huandacareo,2,725,434,291,3
Huaniqueo,1,3,3,0,19
Huetamo,14,173,125,48,40
Huiramba,2,510,210,300,3
Indaparapeo,1,10,10,0,11
Irimbo,5,698,352,346,1
Ixtlan,1,10,10,0,12
Jacona,1,5,5,0,3
Jimenez,6,916,472,444,14
Jiquilpan,0,0,0,0,10
Juarez,8,1324,600,724,1
Jungapeo,4,90,88,2,13
Lagunillas,0,0,0,0,5
Madero,5,992,562,430,10
Maravatio,23,2792,2182,610,11
Marcos Castellanos,3,44,34,10,5
Lazaro Cardenas,10,454,238,216,12
Morelia,33,7876,5115,2761,50
Morelos,1,4,4,0,7
Mugica,4,12100,5460,6640,1
Nahuatzen,5,80,50,30,3
Nocupetaro,4,140,93,47,9
Nuevo Parangaricutiro,1,5,5,0,3
Nuevo Urecho,11,881,731,150,1
Numaran,2,4,4,0,6
Ocampo,3,209,117,92,6
Pajacuaran,0,0,0,0,10
Panindicuaro,8,353,281,72,10
Paracuaro,4,139,60,79,17
Paracho,3,8371,3791,4580,5
Patzcuaro,13,370,353,17,19
Penjamillo,10,192,125,67,12
Periban,1,10,10,0,7
La Piedad,1,12,11,1,25
Purepero,1,28,27,1,2
Puruandiro,15,1441,893,548,25
Querendaro,4,216,136,80,6
Quiroga,1,50,42,8,3
Cojumatlan de Regules,6,228,153,75,4
Los Reyes,3,282,132,150,15
Sahuayo,0,0,0,0,5
San Lucas,1,6,6,0,25
Santa Ana Maya,1,10,10,0,7
Salvador Escalante,6,63,63,0,31
Senguio,11,694,361,333,4
Susupuato,11,943,764,179,2
Tacambaro,9,431,345,86,11
Tancitaro,1,8,8,0,11
Tangamandapio,0,0,0,0,10
Tangancicuaro,5,3109,1445,1664,16
Tanhuato,9,72,55,17,3
Taretan,6,889,358,531,8
Tarimbaro,16,5100,2401,2699,13
Tepalcatepec,15,3561,1923,1638,19
Tingambato,2,142,96,46,2
Tingüindin,3,246,170,76,4
Tiquicheo de Nicolas Romero,8,1374,947,427,10
Tlalpujahua,7,897,722,175,4
Tlazazalca,3,107,79,28,7
Tocumbo,4,360,204,156,5
Tumbiscatio,10,745,509,236,2
Turicato,18,321,276,45,3
Tuxpan,8,757,434,323,8
Tuzantla,13,996,876,120,15
Tzintzuntzan,0,0,0,0,8
Tzitzio,4,388,271,117,0
Uruapan,16,1638,805,833,15
Venustiano Carranza,1,10,8,2,7
Villamar,3,1208,663,545,17
Vista Hermosa,6,831,682,149,0
Yurecuaro,1,300,285,15,12
Zacapu,7,161,113,48,17
Zamora,6,734,576,158,20
Zinaparo,1,9,8,1,6
Zinapecuaro,19,2497,1910,587,12
Ziracuaretiro,7,2437,1233,1204,3
Zitacuaro,23,6616,4207,2409,8
Jose Sixto Verduzco,7,29,26,3,11
Morelos,126,8693,5703,2990,108
Amacuzac,3,110,97,13,1
Atlatlahucan,1,3,3,0,1
Axochiapan,5,192,139,53,2
Ayala,15,325,283,42,1
Coatlan del Rio,4,322,187,135,1
Cuautla,2,11,10,1,7
Cuernavaca,3,2201,1100,1101,8
Emiliano Zapata,2,8,6,2,4
Huitzilac,0,0,0,0,2
Jantetelco,3,615,409,206,4
Jiutepec,4,1514,1061,453,3
Jojutla,2,515,262,253,7
Jonacatepec,4,182,111,71,0
Mazatepec,1,15,11,4,2
Miacatlan,5,527,393,134,1
Ocuituco,2,8,6,2,7
Puente de Ixtla,6,795,612,183,3
Temixco,5,145,91,54,3
Tepalcingo,7,242,168,74,3
Tepoztlan,1,30,15,15,1
Tetecala,3,88,71,17,0
Tetela del Volcan,3,37,20,17,4
Tlalnepantla,1,150,120,30,2
Tlaltizapan,15,340,296,44,2
Tlaquiltenango,6,39,34,5,13
Tlayacapan,3,51,50,1,4
Totolapan,3,15,14,1,3
Xochitepec,5,29,25,4,1
Yautepec,6,80,36,44,4
Yecapixtla,3,75,57,18,8
Zacatepec de Hidalgo,3,29,16,13,0
Zacualpan de Amilpas,0,0,0,0,2
Temoac,0,0,0,0,4
Nayarit,324,42988,25258,17730,80
Acaponeta,18,729,490,239,6
Ahuacatlan,5,283,158,125,3
Amatlan de Cañas,3,117,70,47,14
Compostela,29,4909,2511,2398,2
Huajicori,6,284,284,0,4
Ixtlan del Rio,6,58,53,5,4
Jala,4,59,50,9,6
Xalisco,15,517,330,187,1
Del Nayar,18,2849,2380,469,6
Rosamorada,29,2568,1451,1117,3
Ruiz,6,161,141,20,1
San Blas,31,5360,3116,2244,2
San Pedro Lagunillas,4,40,38,2,5
Santa Maria del Oro,16,1150,637,513,1
Santiago Ixcuintla,55,4991,3034,1957,3
Tecuala,19,3924,682,3242,6
Tepic,41,9287,4734,4553,10
Tuxpan,5,1750,1365,385,1
La Yesca,3,260,240,20,1
Bahia de Banderas,11,3692,3494,198,1
Nuevo Leon,365,8808,6795,2013,242
Abasolo,0,0,0,0,1
Agualeguas,0,0,0,0,6
Los Aldamas,1,30,30,0,2
Allende,1,15,15,0,0
Anahuac,4,12,7,5,9
Apodaca,0,0,0,0,1
Aramberri,26,335,292,43,17
Bustamante,1,277,137,140,1
Cadereyta Jimenez,26,869,777,92,6
Carmen,0,0,0,0,1
Cerralvo,0,0,0,0,1
Cienega de Flores,0,0,0,0,2
China,3,17,6,11,1
Dr. Arroyo,61,653,554,99,45
Dr. Gonzalez,2,154,84,70,1
Galeana,70,1756,1303,453,40
Garcia,10,1541,1026,515,1
Gral. Bravo,1,4,4,0,0
Gral. Escobedo,2,60,35,25,0
Gral. Teran,13,140,137,3,3
Gral. Zaragoza,9,98,95,3,6
Gral. Zuazua,1,75,45,30,0
Guadalupe,0,0,0,0,1
Hualahuises,3,171,160,11,2
Iturbide,6,51,51,0,6
Juarez,1,2,2,0,3
Lampazos de Naranjo,2,5,5,0,5
Linares,51,801,752,49,17
Marin,0,0,0,0,1
Mier y Noriega,8,107,93,14,6
Mina,11,46,43,3,12
Montemorelos,20,255,241,14,6
Monterrey,0,0,0,0,1
Paras,0,0,0,0,3
Pesqueria,6,420,230,190,2
Los Ramones,3,33,33,0,1
Rayones,4,51,51,0,4
Sabinas Hidalgo,4,150,85,65,5
Salinas Victoria,5,238,182,56,2
Hidalgo,0,0,0,0,1
Santa Catarina,3,26,24,2,2
Santiago,5,395,275,120,4
Vallecillo,1,6,6,0,10
Villaldama,1,15,15,0,4
Oaxaca,908,164889,91885,73004,724
Abejones,1,20,17,3,0
Acatlan de Perez Figueroa,32,6256,4523,1733,6
Asuncion Cacalotepec,0,0,0,0,1
Asuncion Cuyotepeji,0,0,0,0,1
Asuncion Ixtaltepec,9,1034,511,523,2
Asuncion Nochixtlan,3,212,112,100,8
Asuncion Tlacolulita,1,2,2,0,1
Ayotzintepec,5,379,349,30,1
El Barrio de la Soledad,2,950,445,505,0
Calihuala,1,5,5,0,3
Candelaria Loxicha,0,0,0,0,1
Cienega de Zimatlan,0,0,0,0,1
Ciudad Ixtepec,0,0,0,0,1
Coatecas Altas,1,10,9,1,1
Coicoyan de las Flores,0,0,0,0,2
La Compañia,1,15,15,0,2
Concepcion Buenavista,1,4,3,1,3
Concepcion Papalo,0,0,0,0,2
Constancia del Rosario,2,36,18,18,0
Cosolapa,8,1483,915,568,0
Cosoltepec,0,0,0,0,3
Cuilapam de Guerrero,1,10,5,5,3
Cuyamecalco Villa de Zaragoza,1,190,90,100,1
Chahuites,0,0,0,0,1
Chalcatongo de Hidalgo,2,240,170,70,0
Chiquihuitlan de Benito Juarez,1,10,9,1,0
Heroica Ciudad de Ejutla de Crespo,5,39,30,9,8
Tamazulapam del Espiritu Santo,1,5,5,0,0
Fresnillo de Trujano,1,48,28,20,1
Guadalupe Etla,0,0,0,0,1
Guadalupe de Ramirez,0,0,0,0,2
Guelatao de Juarez,1,75,50,25,0
Guevea de Humboldt,0,0,0,0,1
Mesones Hidalgo,1,100,100,0,2
Villa Hidalgo,0,0,0,0,1
Heroica Ciudad de Huajuapan de Leon,4,2425,1060,1365,4
Huautepec,0,0,0,0,1
Ixtlan de Juarez,8,60,44,16,2
Heroica Ciudad de Juchitan de Zaragoza,4,613,337,276,1
Loma Bonita,13,402,212,190,24
Magdalena Apasco,4,159,111,48,0
Magdalena Jaltepec,1,15,10,5,1
Santa Magdalena Jicotlan,0,0,0,0,1
Magdalena Mixtepec,1,2,2,0,1
Magdalena Ocotlan,0,0,0,0,1
Magdalena Peñasco,1,20,10,10,0
Magdalena Teitipac,0,0,0,0,1
Magdalena Tequisistlan,2,8,8,0,1
Magdalena Tlacotepec,0,0,0,0,1
Magdalena Zahuatlan,1,15,3,12,0
Mariscala de Juarez,3,28,27,1,0
Martires de Tacubaya,2,60,55,5,0
Matias Romero Avendaño,23,4632,3000,1632,1
Miahuatlan de Porfirio Diaz,4,84,56,28,5
Mixistlan de la Reforma,0,0,0,0,2
Monjas,1,400,100,300,0
Nazareno Etla,1,50,40,10,0
Nejapa de Madero,3,390,337,53,6
Ixpantepec Nieves,1,1,1,0,2
Santiago Niltepec,1,70,50,20,3
Oaxaca de Juarez,8,10130,1890,8240,1
Ocotlan de Morelos,1,2,2,0,9
"La ""Pe""",0,0,0,0,2
Pinotepa de Don Luis,1,100,70,30,0
San Jose del Progreso,1,2,2,0,1
Putla Villa de Guerrero,10,629,412,217,5
Santa Catarina Quioquitani,1,3,3,0,0
Reforma de Pineda,1,10,10,0,0
La Reforma,2,30,26,4,2
Reyes Etla,2,14,8,6,0
Rojas de Cuauhtemoc,0,0,0,0,1
Salina Cruz,3,148,100,48,0
San Agustin Amatengo,0,0,0,0,2
San Agustin Atenango,1,40,20,20,1
San Agustin Chayuco,4,47,26,21,1
San Agustin de las Juntas,1,30,20,10,1
San Agustin Etla,0,0,0,0,1
San Agustin Loxicha,1,150,110,40,0
San Agustin Tlacotepec,0,0,0,0,1
San Agustin Yatareni,0,0,0,0,1
San Andres Cabecera Nueva,1,200,100,100,0
San Andres Dinicuiti,1,10,8,2,2
San Andres Huaxpaltepec,1,10,6,4,0
San Andres Huayapam,1,74,48,26,0
San Andres Ixtlahuaca,1,20,10,10,1
San Andres Lagunas,1,6,6,0,0
San Andres Nuxiño,0,0,0,0,1
San Andres Sinaxtla,1,130,85,45,1
San Andres Solaga,2,28,14,14,1
San Andres Teotilalpam,2,35,25,10,0
San Andres Yaa,0,0,0,0,1
San Andres Zabache,0,0,0,0,1
San Andres Zautla,1,50,40,10,2
San Antonino Castillo Velasco,0,0,0,0,1
San Antonino el Alto,1,26,26,0,1
San Antonino Monte Verde,0,0,0,0,1
San Antonio Acutla,1,77,42,35,0
San Antonio de la Cal,1,3000,0,3000,0
San Antonio Huitepec,1,25,25,0,1
San Antonio Nanahuatipam,0,0,0,0,3
San Antonio Sinicahua,0,0,0,0,1
San Antonio Tepetlapa,1,15,5,10,2
San Baltazar Chichicapam,0,0,0,0,2
San Baltazar Loxicha,2,20,18,2,0
San Baltazar Yatzachi el Bajo,2,19,5,14,2
San Bartolo Coyotepec,3,129,89,40,1
San Bartolome Ayautla,1,1531,731,800,1
San Bartolome Loxicha,0,0,0,0,1
San Bartolome Quialana,0,0,0,0,1
San Bartolome Yucuañe,0,0,0,0,1
San Bartolome Zoogocho,1,10,4,6,0
San Bartolo Soyaltepec,1,185,95,90,1
San Bartolo Yautepec,0,0,0,0,1
San Bernardo Mixtepec,2,120,62,58,1
San Blas Atempa,1,1000,500,500,0
San Carlos Yautepec,6,68,49,19,12
San Cristobal Amatlan,1,4,4,0,3
San Cristobal Amoltepec,1,8,4,4,0
San Cristobal Suchixtlahuaca,1,60,20,40,0
San Dionisio del Mar,1,20,20,0,0
San Dionisio Ocotepec,3,40,37,3,2
San Dionisio Ocotlan,0,0,0,0,2
San Esteban Atatlahuca,2,51,36,15,0
San Felipe Jalapa de Diaz,9,471,234,237,3
San Felipe Tejalapam,0,0,0,0,2
San Felipe Usila,2,10,6,4,6
San Francisco Cahuacua,1,18,10,8,1
San Francisco Cajonos,2,19,7,12,0
San Francisco Chapulapa,0,0,0,0,2
San Francisco Chindua,0,0,0,0,2
San Francisco del Mar,0,0,0,0,1
San Francisco Huehuetlan,1,50,24,26,0
San Francisco Ixhuatan,2,103,92,11,1
San Francisco Jaltepetongo,0,0,0,0,1
San Francisco Lachigolo,0,0,0,0,1
San Francisco Nuxaño,0,0,0,0,1
San Francisco Ozolotepec,1,94,88,6,2
San Francisco Sola,0,0,0,0,1
San Francisco Telixtlahuaca,1,1,1,0,1
San Francisco Teopan,1,1,1,0,0
San Francisco Tlapancingo,0,0,0,0,1
San Gabriel Mixtepec,0,0,0,0,1
San Ildefonso Amatlan,0,0,0,0,1
San Ildefonso Sola,1,15,10,5,0
San Ildefonso Villa Alta,3,17,14,3,2
San Jacinto Amilpas,1,300,180,120,0
San Jacinto Tlacotepec,0,0,0,0,1
San Jeronimo Coatlan,0,0,0,0,2
San Jeronimo Silacayoapilla,1,50,25,25,0
San Jeronimo Sosola,1,20,10,10,5
San Jeronimo Taviche,0,0,0,0,2
San Jeronimo Tecoatl,1,30,13,17,0
San Jorge Nuchita,2,7,2,5,1
San Jose Ayuquila,0,0,0,0,1
San Jose Chiltepec,10,703,410,293,1
San Jose del Peñasco,0,0,0,0,1
San Jose Estancia Grande,1,196,108,88,0
San Jose Tenango,0,0,0,0,1
San Juan Achiutla,1,5,5,0,0
San Juan Atepec,1,20,15,5,0
Animas Trujano,1,100,50,50,0
San Juan Bautista Atatlahuca,1,25,20,5,2
San Juan Bautista Coixtlahuaca,1,5,5,0,2
San Juan Bautista Cuicatlan,6,324,184,140,10
San Juan Bautista Guelache,0,0,0,0,3
San Juan Bautista Jayacatlan,0,0,0,0,1
San Juan Bautista lo de Soto,1,200,120,80,0
San Juan Bautista Suchitepec,2,53,29,24,0
San Juan Bautista Tlacoatzintepec,1,200,175,25,0
San Juan Bautista Tlachichilco,0,0,0,0,2
San Juan Bautista Tuxtepec,63,12694,7260,5434,5
San Juan Cacahuatepec,1,96,49,47,5
San Juan Cieneguilla,0,0,0,0,1
San Juan Coatzospam,0,0,0,0,1
San Juan Colorado,4,290,197,93,2
San Juan Comaltepec,1,10,10,0,2
San Juan Cotzocon,15,910,554,356,3
San Juan Chicomezuchil,1,9,8,1,0
San Juan Chilateca,0,0,0,0,1
San Juan del Estado,0,0,0,0,1
San Juan del Rio,0,0,0,0,1
San Juan Diuxi,0,0,0,0,1
San Juan Evangelista Analco,1,8,3,5,0
San Juan Guelavia,0,0,0,0,1
San Juan Guichicovi,26,2203,1743,460,5
San Juan Ihualtepec,0,0,0,0,1
San Juan Juquila Mixes,1,100,70,30,0
San Juan Juquila Vijanos,1,32,17,15,0
San Juan Lachao,0,0,0,0,1
San Juan Lachigalla,1,2,2,0,3
San Juan Lajarcia,1,10,10,0,1
San Juan Lalana,4,2325,1155,1170,0
San Juan de los Cues,1,5,2,3,0
San Juan Mazatlan,12,491,402,89,8
San Juan Mixtepec -Dto. 08-,1,4000,1980,2020,0
San Juan Mixtepec -Dto. 26-,1,15,15,0,0
San Juan Ñumi,0,0,0,0,3
San Juan Ozolotepec,1,10,5,5,3
San Juan Petlapa,1,5,4,1,5
San Juan Quiahije,1,200,160,40,0
San Juan Quiotepec,2,12,9,3,2
San Juan Sayultepec,1,115,85,30,2
San Juan Tabaa,0,0,0,0,1
San Juan Tamazola,2,87,57,30,0
San Juan Teita,0,0,0,0,1
San Juan Teitipac,0,0,0,0,1
San Juan Tepeuxila,1,2,2,0,4
San Juan Teposcolula,1,80,50,30,1
San Juan Yaee,1,6,4,2,2
San Juan Yatzona,1,20,20,0,0
San Juan Yucuita,0,0,0,0,2
San Lorenzo,3,300,200,100,0
San Lorenzo Albarradas,1,3,3,0,2
San Lorenzo Cacaotepec,2,28,17,11,1
San Lorenzo Texmelucan,0,0,0,0,1
San Lorenzo Victoria,2,7,7,0,0
San Lucas Camotlan,0,0,0,0,2
San Lucas Ojitlan,20,214,162,52,11
San Lucas Quiavini,1,60,50,10,1
San Luis Amatlan,1,3,3,0,1
San Marcos Arteaga,2,30,24,6,1
San Martin de los Cansecos,0,0,0,0,1
San Martin Huamelulpam,0,0,0,0,1
San Martin Itunyoso,1,2840,1190,1650,1
San Martin Lachila,1,12,5,7,0
San Martin Peras,0,0,0,0,2
San Martin Tilcajete,1,20,20,0,0
San Martin Toxpalan,0,0,0,0,2
San Mateo Cajonos,1,35,18,17,0
Capulalpam de Mendez,1,250,125,125,0
San Mateo del Mar,1,5,5,0,0
San Mateo Etlatongo,0,0,0,0,2
San Mateo Nejapam,1,25,25,0,0
San Mateo Peñasco,2,5,3,2,0
San Mateo Rio Hondo,0,0,0,0,1
San Mateo Sindihui,1,4,2,2,0
San Mateo Tlapiltepec,1,10,7,3,0
San Melchor Betaza,2,19,8,11,0
San Miguel Achiutla,0,0,0,0,2
San Miguel Aloapam,0,0,0,0,1
San Miguel Amatitlan,2,6,6,0,7
San Miguel Coatlan,1,5,2,3,0
San Miguel Chicahua,0,0,0,0,1
San Miguel Chimalapa,0,0,0,0,2
San Miguel del Puerto,3,2100,1530,570,0
San Miguel Ejutla,1,40,20,20,0
San Miguel el Grande,0,0,0,0,1
San Miguel Huautla,0,0,0,0,1
San Miguel Mixtepec,1,10,0,10,0
San Miguel Panixtlahuaca,1,20,15,5,0
San Miguel Peras,1,200,150,50,0
San Miguel Piedras,1,3,3,0,0
San Miguel Quetzaltepec,0,0,0,0,1
San Miguel Santa Flor,1,8,6,2,0
Villa Sola de Vega,1,200,100,100,5
San Miguel Soyaltepec,35,5012,4028,984,0
San Miguel Suchixtepec,0,0,0,0,1
Villa Talea de Castro,2,87,32,55,1
San Miguel Tecomatlan,0,0,0,0,1
San Miguel Tenango,1,15,15,0,0
San Miguel Tequixtepec,0,0,0,0,2
San Miguel Tilquiapam,0,0,0,0,2
San Miguel Tlacamama,4,97,71,26,0
San Miguel Tlacotepec,1,800,0,800,0
San Miguel Tulancingo,0,0,0,0,1
San Miguel Yotao,1,5,2,3,0
San Nicolas Hidalgo,0,0,0,0,2
San Pablo Coatlan,2,64,60,4,1
San Pablo Cuatro Venados,1,5,2,3,0
San Pablo Etla,3,378,264,114,0
San Pablo Huitzo,2,154,94,60,0
San Pablo Huixtepec,1,39,20,19,1
San Pablo Macuiltianguis,2,30,22,8,0
San Pablo Tijaltepec,0,0,0,0,1
San Pablo Villa de Mitla,1,230,50,180,5
San Pablo Yaganiza,1,8,8,0,0
San Pedro Amuzgos,1,362,362,0,0
San Pedro Apostol,0,0,0,0,1
San Pedro Atoyac,2,306,266,40,1
San Pedro Cajonos,1,19,4,15,0
San Pedro Coxcaltepec Cantaros,0,0,0,0,2
San Pedro Comitancillo,1,181,131,50,0
San Pedro el Alto,1,70,40,30,0
San Pedro Huamelula,2,410,290,120,2
San Pedro Huilotepec,1,15,14,1,0
San Pedro Ixcatlan,7,219,161,58,1
San Pedro Ixtlahuaca,1,100,50,50,0
San Pedro Jaltepetongo,0,0,0,0,1
San Pedro Jicayan,1,50,40,10,0
San Pedro Jocotipac,0,0,0,0,1
San Pedro Juchatengo,0,0,0,0,1
San Pedro Martir,1,37,30,7,0
San Pedro Martir Quiechapa,0,0,0,0,1
San Pedro Martir Yucuxaco,1,323,196,127,0
San Pedro Mixtepec -Dto. 22-,0,0,0,0,1
San Pedro Mixtepec -Dto. 26-,0,0,0,0,1
San Pedro Molinos,1,20,15,5,0
San Pedro Nopala,0,0,0,0,1
San Pedro Ocopetatillo,1,25,10,15,0
San Pedro Ocotepec,1,30,20,10,0
San Pedro Pochutla,2,10550,8400,2150,0
San Pedro Quiatoni,0,0,0,0,1
San Pedro Sochiapam,0,0,0,0,5
San Pedro Tapanatepec,3,305,264,41,5
San Pedro Taviche,0,0,0,0,2
San Pedro Teozacoalco,0,0,0,0,1
San Pedro Teutila,3,90,71,19,0
San Pedro Tidaa,0,0,0,0,1
San Pedro Topiltepec,1,120,70,50,1
San Pedro Totolapa,1,5,5,0,2
Villa de Tututepec de Melchor Ocampo,4,11950,9300,2650,2
San Pedro Yaneri,1,4,2,2,1
San Pedro Yolox,4,23,9,14,2
San Pedro y San Pablo Ayutla,0,0,0,0,1
Villa de Etla,2,3,1,2,0
San Pedro y San Pablo Teposcolula,3,168,87,81,4
San Pedro y San Pablo Tequixtepec,2,13,10,3,6
San Pedro Yucunama,1,1,1,0,0
San Raymundo Jalpan,0,0,0,0,1
San Sebastian Abasolo,1,4,2,2,1
San Sebastian Coatlan,1,18,13,5,0
San Sebastian Ixcapa,5,125,116,9,2
San Sebastian Nicananduta,0,0,0,0,1
San Sebastian Rio Hondo,4,66,58,8,0
San Sebastian Tecomaxtlahuaca,1,300,0,300,2
San Sebastian Teitipac,1,2,2,0,1
San Sebastian Tutla,2,1501,651,850,0
San Simon Almolongas,1,5,3,2,1
San Simon Zahuatlan,0,0,0,0,1
Santa Ana,1,28,14,14,0
Santa Ana Cuauhtemoc,1,20,18,2,0
Santa Ana del Valle,1,6,0,6,0
Santa Ana Tavela,0,0,0,0,1
Santa Ana Tlapacoyan,0,0,0,0,1
Santa Ana Yareni,0,0,0,0,1
Santa Ana Zegache,0,0,0,0,2
Santa Catalina Quieri,0,0,0,0,1
Santa Catarina Cuixtla,0,0,0,0,1
Santa Catarina Ixtepeji,2,36,36,0,0
Santa Catarina Juquila,4,575,308,267,2
Santa Catarina Lachatao,1,200,100,100,0
Santa Catarina Loxicha,1,18,6,12,0
Santa Catarina Mechoacan,0,0,0,0,1
Santa Catarina Minas,0,0,0,0,1
Santa Catarina Quiane,0,0,0,0,2
Santa Catarina Tayata,0,0,0,0,1
Santa Catarina Ticua,1,2,2,0,0
Santa Catarina Yosonotu,0,0,0,0,1
Santa Catarina Zapoquila,2,2,1,1,1
Santa Cruz Amilpas,1,1000,300,700,1
Santa Cruz Itundujia,1,85,54,31,1
Santa Cruz Mixtepec,3,103,63,40,1
Santa Cruz Nundaco,1,30,18,12,0
Santa Cruz Papalutla,1,50,25,25,0
Santa Cruz Tacache de Mina,0,0,0,0,2
Santa Cruz Tacahua,1,10,5,5,0
Santa Cruz Tayata,1,23,16,7,0
Santa Cruz Xitla,0,0,0,0,2
Santa Cruz Xoxocotlan,3,1202,602,600,2
Santa Cruz Zenzontepec,0,0,0,0,1
Santa Gertrudis,2,4,1,3,3
Santa Ines del Monte,0,0,0,0,1
Santa Lucia del Camino,0,0,0,0,2
Santa Lucia Miahuatlan,0,0,0,0,1
Santa Lucia Monteverde,0,0,0,0,4
Santa Lucia Ocotlan,0,0,0,0,1
Santa Maria Alotepec,2,105,105,0,1
Santa Maria Apazco,0,0,0,0,1
Heroica Ciudad de Tlaxiaco,5,4201,2805,1396,3
Ayoquezco de Aldama,1,400,200,200,0
Santa Maria Atzompa,1,700,350,350,0
Santa Maria Camotlan,1,35,23,12,0
Santa Maria Colotepec,1,306,156,150,0
Santa Maria Cortijo,1,176,65,111,0
Santa Maria Coyotepec,2,84,84,0,0
Santa Maria Chachoapam,1,1,1,0,1
Villa de Chilapa de Diaz,2,108,44,64,2
Santa Maria Chilchotla,0,0,0,0,5
Santa Maria Chimalapa,2,57,41,16,1
Santa Maria del Rosario,1,15,10,5,0
Santa Maria del Tule,1,420,292,128,2
Santa Maria Ecatepec,2,13,9,4,7
Santa Maria Guelace,0,0,0,0,1
Santa Maria Guienagati,0,0,0,0,1
Santa Maria Huatulco,1,6251,2451,3800,0
Santa Maria Huazolotitlan,5,159,112,47,1
Santa Maria Ipalapa,3,58,54,4,0
Santa Maria Ixcatlan,0,0,0,0,1
Santa Maria Jacatepec,13,489,296,193,2
Santa Maria Jalapa del Marques,0,0,0,0,1
Santa Maria Jaltianguis,1,20,15,5,0
Santa Maria Mixtequilla,1,400,200,200,0
