INEGI. IX Censo Ejidal 2007,,,,,,
Superficie de uso comun segun uso agricola,,,,,Cuadro 5,
por entidad federativa y municipio,,,,,,
entidad_federativa_y_municipio,ejidos_y_comunidades_con_superficie_de_uso_comun,superficie_de_uso_comun_(ha),ejidos_y_comunidades_con_superficie_de_uso_comun_utilizada_para_la_agricultura_total,ejidos_y_comunidades_con_superficie_de_uso_comun_utilizada_para_la_agricultura_sembrada_en_2007,ejidos_y_comunidades_con_superficie_de_uso_comun_utilizada_para_la_agricultura_para_sembrarse_solo_por_uno_o_dos_años,unidad_de_medida
San Buenaventura,13,67016.3900,610.0000,215.0000,0.0000,Hectarea
San Juan de Sabinas,6,26684.0000,10140.7900,0.0000,0.0000,Hectarea
San Pedro,98,466485.3800,154.1800,60.6900,0.0000,Hectarea
Sierra Mojada,22,262083.7000,2301.6200,51.9500,3.0000,Hectarea
Torreon,18,67375.0000,634.9100,346.8200,13.0000,Hectarea
Viesca,41,326284.0600,1303.0800,687.4800,70.0000,Hectarea
Villa Union,10,17151.5000,101.0000,0.0000,0.0000,Hectarea
Zaragoza,8,172201.0400,0.0000,0.0000,0.0000,Hectarea
Colima,105,68543.1300,2623.5300,740.2000,17.3700,Hectarea
Armeria,7,2034.5800,4.3800,2.0000,0.0000,Hectarea
Colima,9,2568.8600,89.6400,23.5600,6.0000,Hectarea
Comala,9,7866.5700,241.9400,0.0000,0.0000,Hectarea
Coquimatlan,12,16739.0000,96.7600,48.9100,2.0000,Hectarea
Cuauhtemoc,5,1684.3200,145.7000,125.0000,1.0000,Hectarea
Ixtlahuacan,6,2270.0000,242.5000,241.0000,0.0000,Hectarea
Manzanillo,28,20922.7500,1685.3700,258.3600,0.0000,Hectarea
Minatitlan,6,2629.3700,15.4000,1.0000,0.0000,Hectarea
Tecoman,20,10842.4500,90.0700,40.3700,8.3700,Hectarea
Villa de alvarez,3,985.2300,11.7700,0.0000,0.0000,Hectarea
Chiapas,1726,1641374.4800,329396.6500,183820.6000,16016.0900,Hectarea
Acacoyagua,13,4344.0000,110.7300,7.0000,7.0000,Hectarea
Acala,11,1035.0000,259.0400,37.6600,0.0000,Hectarea
Acapetahua,3,608.0000,202.0000,2.0000,0.0000,Hectarea
Altamirano,26,33205.3600,6198.9400,3453.2200,843.8700,Hectarea
Amatan,14,6089.4100,2422.8200,1313.0000,35.0000,Hectarea
Amatenango de la Frontera,12,5166.0000,0.0000,0.0000,0.0000,Hectarea
Amatenango del Valle,2,3613.0000,3452.6900,2200.0000,0.0000,Hectarea
Angel Albino Corzo,13,26541.2500,10988.4600,5293.5300,3.0000,Hectarea
Arriaga,13,4463.0000,15.0000,10.0000,0.0000,Hectarea
Bejucal de Ocampo,3,2542.0000,0.0000,0.0000,0.0000,Hectarea
Bella Vista,9,1929.0000,0.0000,0.0000,0.0000,Hectarea
Berriozabal,8,972.5000,69.0100,60.0000,0.0000,Hectarea
Bochil,24,4137.4500,725.2800,561.0300,65.0000,Hectarea
El Bosque,8,6478.2500,5140.7800,4346.0000,280.0000,Hectarea
Cacahoatan,7,3773.0000,25.0000,5.0000,5.0000,Hectarea
Catazaja,13,1881.8000,31.5800,31.4600,0.0000,Hectarea
Cintalapa,48,45703.1000,1718.5700,864.4100,10.1500,Hectarea
Coapilla,5,8699.7500,3409.0800,2435.7400,5.0000,Hectarea
Comitan de Dominguez,28,37715.3600,5272.1600,5219.1600,10.0000,Hectarea
La Concordia,32,31274.3300,2525.7600,1788.5900,15.0000,Hectarea
Copainala,11,1433.6800,346.6600,145.2500,28.0000,Hectarea
Chamula,3,31541.8400,25687.6000,25687.6000,0.0000,Hectarea
Chanal,1,41021.0000,318.6800,256.0000,104.0000,Hectarea
Chapultenango,6,3158.0000,199.4000,100.0000,100.0000,Hectarea
Chenalho,7,3431.6300,29.1500,29.1500,9.0000,Hectarea
Chiapa de Corzo,27,4443.5600,150.5300,102.9000,9.9000,Hectarea
Chiapilla,1,4.5000,0.0000,0.0000,0.0000,Hectarea
Chicoasen,1,4337.0000,1000.8500,30.0000,0.0000,Hectarea
Chicomuselo,29,15866.0000,933.7800,305.4800,30.0000,Hectarea
Chilon,7,38190.0000,23139.5800,13460.5200,670.0000,Hectarea
Escuintla,10,3219.0000,1.2500,1.2500,0.0000,Hectarea
Francisco Leon,4,10337.0000,1129.8300,2.8800,0.0000,Hectarea
Frontera Comalapa,29,4373.0000,4.2900,3.0000,3.0000,Hectarea
La Grandeza,3,562.0000,0.0000,0.0000,0.0000,Hectarea
Huehuetan,5,807.8000,300.0000,300.0000,0.0000,Hectarea
Huixtan,16,19317.8400,8057.1500,1663.0000,32.0000,Hectarea
Huitiupan,19,7219.0000,2667.0400,1701.0900,126.0000,Hectarea
Huixtla,8,10023.8500,446.9000,157.4000,148.6500,Hectarea
