INEGI. IX Censo Ejidal 2007,,,,,,,
Ejidos y comunidades con superficie de uso comun segun uso agricola,,,,,,cuadro 4,
por entidad federativa y municipio,,,,,,,
entidad_federativa_y_municipio,ejidos_y_comunidades_con_superficie_de_uso_comun,superficie_de_uso_comun_(ha),ejidos_y_comunidades_con_superficie_de_uso_comun_utilizada_para_la_agricultura_total,,ejidos_y_comunidades_con_superficie_de_uso_comun_utilizada_para_la_agricultura_sembrada_en_2007,ejidos_y_comunidades_con_superficie_de_uso_comun_utilizada_para_la_agricultura_para_sembrarse_solo_por_uno_o_dos_años,unidad_de_medida
Igualapa,3,3100.3800,0,0,0,0,Hectarea
Ixcateopan de Cuauhtemoc,2,7748.0000,2,2,2,0,Hectarea
Jose Azueta,9,10206.7000,1,1,1,0,Hectarea
Juan R. Escudero,11,8711.1000,4,3,3,2,Hectarea
Leonardo Bravo,16,55629.0700,2,1,1,0,Hectarea
Malinaltepec,9,44373.3900,8,7,7,2,Hectarea
Martir de Cuilapan,11,30772.6200,9,8,8,2,Hectarea
Metlatonoc,9,40994.6300,5,5,5,0,Hectarea
Mochitlan,26,35668.7800,2,2,2,1,Hectarea
Olinala ,4,4858.0000,3,3,3,0,Hectarea
Ometepec,8,933.3700,1,1,1,0,Hectarea
Petatlan,10,20134.0000,3,1,1,1,Hectarea
Pilcaya,6,4139.5400,1,1,1,0,Hectarea
Pungarabato,5,1253.0000,0,0,0,0,Hectarea
Quechultenango,26,38060.1900,9,9,9,3,Hectarea
San Luis Acatlan,16,63490.0600,7,7,7,2,Hectarea
San Marcos,18,18922.7600,3,3,3,2,Hectarea
San Miguel Totolapan,8,177408.6900,6,6,6,3,Hectarea
Taxco de Alarcon,19,38787.9500,8,7,7,1,Hectarea
Tecoanapa,28,25902.6700,11,9,9,2,Hectarea
Tecpan de Galeana,16,58528.3400,6,5,5,4,Hectarea
Teloloapan,17,19791.9400,11,8,8,2,Hectarea
Tepecoacuilco de Trujano,22,65078.1300,6,6,6,3,Hectarea
Tetipac,4,2505.4300,2,1,1,0,Hectarea
Tixtla de Guerrero,10,16861.5700,3,3,3,0,Hectarea
Tlacoachistlahuaca,11,25676.5000,5,5,5,2,Hectarea
Tlacoapa,3,26339.5000,3,3,3,0,Hectarea
Tlalchapa,11,21017.9500,3,3,3,1,Hectarea
Tlalixtaquilla de Maldonado,5,5563.3600,4,4,4,0,Hectarea
Tlapa de Comonfort,30,47493.8400,17,17,17,2,Hectarea
Tlapehuala,11,8148.1000,7,6,6,2,Hectarea
La Union de Isidoro Montes de Oca,23,16634.1600,8,6,6,5,Hectarea
Xalpatlahuac,7,5992.0900,6,6,6,2,Hectarea
Xochihuehuetlan,7,12923.1900,3,3,3,0,Hectarea
Xochistlahuaca,6,10015.6400,4,4,4,0,Hectarea
Zapotitlan Tablas,1,12615.6600,1,1,1,0,Hectarea
Zirandaro,25,42025.0000,2,1,1,1,Hectarea
Zitlala,11,23340.9700,5,5,5,2,Hectarea
Eduardo Neri,16,94632.8300,8,8,8,1,Hectarea
Acatepec,1,35954.6400,0,0,0,0,Hectarea
Marquelia,2,2164.0000,0,0,0,0,Hectarea
Cochoapa el Grande,1,50000.0000,0,0,0,0,Hectarea
Jose Joaquin de Herrera,1,26743.1900,1,1,1,0,Hectarea
Juchitan,1,10615.1000,0,0,0,0,Hectarea
Iliatenco,4,21289.4500,3,2,2,0,Hectarea
Hidalgo,1025,499562.0900,253,222,222,62,Hectarea
Acatlan,14,5595.1900,5,4,4,0,Hectarea
Acaxochitlan,11,1383.7100,1,1,1,0,Hectarea
Actopan,10,5343.8500,2,2,2,1,Hectarea
Agua Blanca de Iturbide,8,2404.9000,1,0,0,0,Hectarea
Ajacuba,6,6942.2500,0,0,0,0,Hectarea
Alfajayucan,27,12677.2300,1,0,0,0,Hectarea
Almoloya,13,3047.0000,0,0,0,0,Hectarea
Apan,14,3813.9900,4,3,3,0,Hectarea
El Arenal,8,3484.3100,0,0,0,0,Hectarea
Atitalaquia,5,1271.7100,0,0,0,0,Hectarea
Atlapexco,7,1586.0000,2,2,2,2,Hectarea
Atotonilco el Grande,24,18453.3700,0,0,0,0,Hectarea
Atotonilco de Tula,7,2621.8900,0,0,0,0,Hectarea
Calnali,2,6.8100,0,0,0,0,Hectarea
Cardonal,20,21025.5000,4,3,3,0,Hectarea
Cuautepec de Hinojosa,23,11662.9700,3,3,3,0,Hectarea
Chapantongo,14,7625.1200,0,0,0,0,Hectarea
Chapulhuacan,20,3960.2300,19,17,17,3,Hectarea
Chilcuautla,6,6515.5000,0,0,0,0,Hectarea
Eloxochitlan,8,14495.0000,3,3,3,1,Hectarea
Emiliano Zapata,4,921.2000,1,1,1,0,Hectarea
Epazoyucan,11,3630.7800,0,0,0,0,Hectarea
Francisco I. Madero,2,477.0000,0,0,0,0,Hectarea
Huasca de Ocampo,26,7652.3000,1,1,1,0,Hectarea
Huautla,40,7431.6500,18,18,18,12,Hectarea
Huazalingo,11,1101.0000,5,5,5,4,Hectarea
Huehuetla,6,2094.6700,2,2,2,1,Hectarea
Huejutla de Reyes,24,1139.5000,7,6,6,0,Hectarea
Huichapan,35,28016.9200,3,2,2,0,Hectarea
Ixmiquilpan,20,14709.8900,3,3,3,0,Hectarea
Jacala de Ledezma,13,30400.5000,1,1,1,0,Hectarea
Jaltocan,12,151.1400,8,5,5,1,Hectarea
Juarez Hidalgo,4,3673.0000,3,3,3,2,Hectarea
Lolotla,8,1716.5700,5,5,5,2,Hectarea
Metepec,11,3185.4200,1,1,1,0,Hectarea
San Agustin Metzquititlan,7,2074.7700,1,1,1,0,Hectarea
Metztitlan,19,19055.1200,4,2,2,0,Hectarea
Mineral Del Chico,6,2733.2800,1,1,1,0,Hectarea
Mineral Del Monte,2,974.8300,1,1,1,0,Hectarea
Mixquiahuala de Juarez,5,6659.6000,1,0,0,1,Hectarea
Molango de Escamilla,12,3526.8400,5,5,5,2,Hectarea
Nicolas Flores,4,2420.6800,1,1,1,0,Hectarea
Nopala de Villagran,9,7843.8200,0,0,0,0,Hectarea
Omitlan de Juarez,4,2101.2000,0,0,0,0,Hectarea
San Felipe Orizatlan,39,757.8500,10,5,5,3,Hectarea
Pacula,2,3200.0000,0,0,0,0,Hectarea
Pachuca de Soto,6,3175.0000,2,2,2,0,Hectarea
Pisaflores,6,1196.5000,5,4,4,1,Hectarea
Mineral de la Reforma,5,322.3000,0,0,0,0,Hectarea
San Agustin Tlaxiaca,9,7494.2500,1,1,1,0,Hectarea
San Bartolo Tutotepec,7,878.3500,3,3,3,0,Hectarea
San Salvador,8,6236.5000,3,3,3,0,Hectarea
Santiago de Anaya,10,11016.6600,1,1,1,0,Hectarea
Santiago Tulantepec de Lugo Guerrero,6,2442.4600,2,2,2,0,Hectarea
Singuilucan,14,4547.6700,1,1,1,0,Hectarea
Tasquillo,16,2004.7200,1,1,1,0,Hectarea
Tecozautla,32,16331.8400,1,1,1,0,Hectarea
Tenango de Doria,3,724.0000,1,1,1,0,Hectarea
Tepeapulco,9,5482.8300,1,1,1,0,Hectarea
Tepehuacan de Guerrero,31,11234.8800,26,25,25,2,Hectarea
Tepeji Del Rio de Ocampo,15,8436.4000,6,5,5,0,Hectarea
Tepetitlan,11,3972.7500,0,0,0,0,Hectarea
Tetepango,2,2572.0000,1,0,0,0,Hectarea
Villa de Tezontepec,1,61.2500,0,0,0,0,Hectarea
Tezontepec de Aldama,3,1677.6300,1,1,1,0,Hectarea
Tianguistengo,24,6758.8900,12,12,12,2,Hectarea
Tizayuca,3,287.0600,1,1,1,0,Hectarea
Tlahuelilpan,1,49.7200,0,0,0,0,Hectarea
Tlahuiltepa,15,16557.5000,4,3,3,2,Hectarea
Tlanalapa,3,1086.4300,0,0,0,0,Hectarea
Tlanchinol,27,8018.1900,10,8,8,1,Hectarea
Tlaxcoapan,2,471.6800,0,0,0,0,Hectarea
Tolcayuca,2,2866.8100,0,0,0,0,Hectarea
Tula de Allende,21,8586.8000,5,4,4,0,Hectarea
Tulancingo de Bravo,8,2172.4000,0,0,0,0,Hectarea
Xochiatipan,22,1726.5000,7,6,6,5,Hectarea
Xochicoatlan,15,5348.9600,6,6,6,0,Hectarea
Yahualica,20,9897.5800,13,13,13,12,Hectarea
Zacualtipan de angeles,19,7583.5000,3,3,3,1,Hectarea
Zapotlan de Juarez,3,1722.0000,1,1,1,1,Hectarea
Zempoala,19,8403.3800,3,1,1,0,Hectarea
Zimapan,44,36650.6500,5,5,5,0,Hectarea
Jalisco,1127,1991055.0200,439,382,382,103,Hectarea
Acatic,2,293.4900,0,0,0,0,Hectarea
Acatlan de Juarez,5,1273.2700,4,3,3,0,Hectarea
Ahualulco de Mercado,5,6961.1000,3,2,2,0,Hectarea
Amacueca,1,2.0000,0,0,0,0,Hectarea
Amatitan,5,2514.0000,3,3,3,1,Hectarea
Ameca,30,21723.9700,2,2,2,0,Hectarea
San Juanito de Escobedo,5,7734.0000,4,4,4,0,Hectarea
Arandas,1,1300.0000,0,0,0,0,Hectarea
El Arenal,2,1785.0000,1,1,1,0,Hectarea
Atemajac de Brizuela,7,3960.9700,2,2,2,1,Hectarea
Atengo,11,15959.2100,9,8,8,1,Hectarea
Atenguillo,5,14045.0000,3,3,3,0,Hectarea
Atotonilco el Alto,14,2834.6000,5,4,4,0,Hectarea
Atoyac,10,4402.3600,6,6,6,3,Hectarea
Autlan de Navarro,24,34762.7900,14,14,14,2,Hectarea
Ayotlan,14,11520.3200,8,8,8,2,Hectarea
Ayutla,26,36227.0000,21,19,19,4,Hectarea
La Barca,8,2331.6500,4,3,3,0,Hectarea
Bolaños,1,4005.0000,1,1,1,0,Hectarea
Cabo Corrientes,20,133372.6300,8,7,7,0,Hectarea
Casimiro Castillo,15,25959.4700,3,2,2,0,Hectarea
Cihuatlan,12,9244.0000,2,1,1,0,Hectarea
Zapotlan el Grande,5,3939.8600,2,2,2,0,Hectarea
Cocula,13,10867.2000,4,3,3,1,Hectarea
Colotlan,5,5228.0000,0,0,0,0,Hectarea
Concepcion de Buenos Aires,7,2545.0000,0,0,0,0,Hectarea
Cuautitlan de Garcia Barragan,10,94324.0000,5,4,4,1,Hectarea
Cuautla,3,3208.0000,3,3,3,0,Hectarea
Cuquio,10,3532.0000,2,2,2,0,Hectarea
Chapala,5,2342.2100,1,1,1,1,Hectarea
Chimaltitan,2,38004.0000,1,1,1,0,Hectarea
Chiquilistlan,6,7877.5000,5,4,4,1,Hectarea
Degollado,14,6850.2600,4,1,1,2,Hectarea
Ejutla,3,1454.0000,0,0,0,0,Hectarea
Encarnacion de Diaz,10,3671.5000,2,2,2,0,Hectarea
Etzatlan,10,16414.0000,6,6,6,0,Hectarea
El Grullo,6,3607.0000,4,2,2,0,Hectarea
Guachinango,11,14739.1800,7,6,6,0,Hectarea
Guadalajara,1,26.5000,1,1,1,0,Hectarea
Hostotipaquillo,17,37381.6100,9,9,9,2,Hectarea
Huejucar,5,5008.0000,0,0,0,0,Hectarea
Huejuquilla el Alto,3,33519.0000,2,2,2,1,Hectarea
La Huerta,23,47481.7900,5,4,4,2,Hectarea
Ixtlahuacan de los Membrillos,3,1439.2500,0,0,0,0,Hectarea
Ixtlahuacan Del Rio,9,2415.0000,2,2,2,0,Hectarea
Jalostotitlan,1,35.0000,0,0,0,0,Hectarea
Jamay,4,2471.1100,1,1,1,0,Hectarea
Jesus Maria,2,2135.0000,1,0,0,0,Hectarea
Jilotlan de los Dolores,13,5759.0000,3,2,2,1,Hectarea
Jocotepec,15,12917.5000,9,9,9,5,Hectarea
Juanacatlan,5,2873.7500,2,2,2,2,Hectarea
Juchitlan,7,3240.5000,4,3,3,0,Hectarea
Lagos de Moreno,42,25367.9400,5,5,5,1,Hectarea
El Limon,6,4444.0000,4,3,3,1,Hectarea
Magdalena,10,13517.8500,4,4,4,0,Hectarea
La Manzanilla de la Paz,2,502.5000,0,0,0,0,Hectarea
Mascota,16,44218.6900,7,7,7,2,Hectarea
Mazamitla,15,4297.5000,7,5,5,3,Hectarea
Mexticacan,1,15.0000,0,0,0,0,Hectarea
Mezquitic,8,386689.8100,5,5,5,1,Hectarea
Mixtlan,5,12815.6500,2,2,2,1,Hectarea
Ocotlan,9,1749.3400,1,1,1,0,Hectarea
Ojuelos de Jalisco,20,39647.7500,5,4,4,0,Hectarea
Pihuamo,10,13483.2900,5,5,5,4,Hectarea
Poncitlan,14,8271.1700,4,4,4,1,Hectarea
Puerto Vallarta,14,42013.3500,4,4,4,1,Hectarea
Villa Purificacion,12,96165.0000,7,7,7,0,Hectarea
Quitupan,15,9465.0000,4,4,4,2,Hectarea
El Salto,2,125.0000,2,1,1,0,Hectarea
San Cristobal de la Barranca,2,4534.0000,1,1,1,0,Hectarea
San Diego de Alejandria,1,403.0000,0,0,0,0,Hectarea
San Juan de los Lagos,1,170.0000,1,1,1,0,Hectarea
San Marcos,4,9446.0000,4,4,4,0,Hectarea
San Martin Hidalgo,9,4594.8200,6,5,5,2,Hectarea
San Miguel el Alto,1,146.7500,0,0,0,0,Hectarea
Gomez Farias,4,4022.0000,2,1,1,1,Hectarea
San Sebastian Del Oeste,18,75458.8500,10,9,9,9,Hectarea
Santa Maria de los angeles,10,3995.0000,1,1,1,0,Hectarea
Sayula,5,3652.5000,4,3,3,0,Hectarea
Tala,11,8505.5600,3,3,3,0,Hectarea
Talpa de Allende,17,81155.0000,12,11,11,2,Hectarea
Tamazula de Gordiano,26,21224.5000,11,8,8,7,Hectarea
Tapalpa,7,10235.2200,2,1,1,0,Hectarea
Tecalitlan,15,11621.1100,8,6,6,7,Hectarea
Tecolotlan,20,25270.9100,11,11,11,6,Hectarea
Techaluta de Montenegro,2,1640.2200,1,1,1,0,Hectarea
Tenamaxtlan,11,8140.3500,6,5,5,1,Hectarea
Teocaltiche,7,12955.7600,0,0,0,0,Hectarea
Teocuitatlan de Corona,22,8208.3200,7,6,6,2,Hectarea
Tepatitlan de Morelos,1,103.0000,1,1,1,0,Hectarea
Tequila,14,12643.8300,8,4,4,0,Hectarea
Teuchitlan,5,2564.1700,3,2,2,0,Hectarea
Tizapan el Alto,4,1951.0000,2,2,2,2,Hectarea
Tlajomulco de Zuñiga,18,11569.6700,6,5,5,1,Hectarea
Tlaquepaque,3,256.5000,2,2,2,0,Hectarea
Toliman,9,19734.5000,4,3,3,0,Hectarea
Tomatlan,29,84061.3600,8,8,8,3,Hectarea
Tonala,5,676.7500,0,0,0,0,Hectarea
Tonaya,2,1356.0000,1,0,0,0,Hectarea
Tonila,7,6018.0000,4,3,3,1,Hectarea
Tototlan,6,210.2700,1,1,1,1,Hectarea
Tuxcacuesco,7,14881.0000,0,0,0,0,Hectarea
Tuxcueca,3,1166.0000,0,0,0,0,Hectarea
Tuxpan,14,6244.0000,7,3,3,1,Hectarea
Union de San Antonio,15,3485.4600,1,1,1,0,Hectarea
Union de Tula,13,10432.0000,8,8,8,1,Hectarea
Valle de Guadalupe,1,148.0000,1,1,1,0,Hectarea
Valle de Juarez,4,981.0000,2,2,2,0,Hectarea
San Gabriel,17,24233.8000,7,6,6,2,Hectarea
Villa Corona,5,5101.9700,2,2,2,0,Hectarea
Villa Guerrero,1,11110.5000,0,0,0,0,Hectarea
Villa Hidalgo,3,1116.1500,0,0,0,0,Hectarea
Cañadas de Obregon,1,182.5000,0,0,0,0,Hectarea
Yahualica de Gonzalez Gallo,1,18.0000,0,0,0,0,Hectarea
Zacoalco de Torres,14,11114.6200,3,3,3,0,Hectarea
Zapopan,30,15911.2100,7,7,7,0,Hectarea
Zapotiltic,14,8711.7500,6,6,6,2,Hectarea
Zapotitlan de Vadillo,4,8016.0000,2,1,1,0,Hectarea
Zapotlan Del Rey,22,8183.6900,5,5,5,1,Hectarea
Zapotlanejo,10,3185.0700,4,3,3,1,Hectarea
Mexico,1044,535674.4400,231,215,215,14,Hectarea
Acambay,27,11302.5200,4,4,4,0,Hectarea
Acolman,10,836.0000,0,0,0,0,Hectarea
Aculco,25,5108.7000,5,5,5,0,Hectarea
Almoloya de Alquisiras,12,8380.9500,3,3,3,0,Hectarea
Almoloya de Juarez,29,3497.2800,5,5,5,0,Hectarea
Almoloya Del Rio,1,64.0000,0,0,0,0,Hectarea
Amanalco,19,12165.0000,3,3,3,0,Hectarea
Amatepec,13,1177.4400,2,2,2,1,Hectarea
Amecameca,9,7367.7700,0,0,0,0,Hectarea
Apaxco,2,3634.0000,0,0,0,0,Hectarea
Atenco,3,373.0000,0,0,0,0,Hectarea
Atizapan,1,0.7500,0,0,0,0,Hectarea
Atizapan de Zaragoza,1,160.0000,0,0,0,0,Hectarea
Atlacomulco,28,5864.1800,8,7,7,1,Hectarea
Atlautla,2,9946.5000,1,1,1,0,Hectarea
Axapusco,16,3597.8000,0,0,0,0,Hectarea
Ayapango,3,327.0000,1,1,1,0,Hectarea
Calimaya,4,4963.7900,2,2,2,0,Hectarea
Capulhuac,3,245.0000,1,1,1,0,Hectarea
Coacalco de Berriozabal,1,517.7500,0,0,0,0,Hectarea
Coatepec Harinas,10,10495.5000,3,3,3,0,Hectarea
Cocotitlan,2,156.0000,0,0,0,0,Hectarea
Coyotepec,1,2116.0000,1,1,1,0,Hectarea
Chalco,13,7505.5800,4,4,4,0,Hectarea
Chapa de Mota,15,4528.0000,8,7,7,0,Hectarea
Chapultepec,1,40.0000,1,1,1,0,Hectarea
Chiautla,3,315.0000,0,0,0,0,Hectarea
Chicoloapan,1,1059.7300,1,1,1,0,Hectarea
Chimalhuacan,1,112.0000,0,0,0,0,Hectarea
Donato Guerra,16,10077.2000,5,4,4,0,Hectarea
Ecatepec de Morelos,8,1376.7100,2,2,2,0,Hectarea
Ecatzingo,2,6506.0000,0,0,0,0,Hectarea
Huehuetoca,3,678.0000,1,1,1,0,Hectarea
Hueypoxtla,10,10062.2500,0,0,0,0,Hectarea
Huixquilucan,6,1810.9900,1,1,1,0,Hectarea
Isidro Fabela,4,3489.4000,0,0,0,0,Hectarea
Ixtapaluca,8,10068.0000,3,3,3,2,Hectarea
Ixtapan de la Sal,1,23.0000,0,0,0,0,Hectarea
Ixtapan Del Oro,7,6803.5100,5,4,4,0,Hectarea
Ixtlahuaca,31,1954.3300,8,8,8,0,Hectarea
Jilotepec,30,6758.0000,5,4,4,0,Hectarea
Jilotzingo,6,4349.0000,1,0,0,0,Hectarea
Jiquipilco,15,3863.3800,4,4,4,0,Hectarea
Jocotitlan,10,3993.8600,0,0,0,0,Hectarea
Joquicingo,2,2115.0000,1,1,1,0,Hectarea
Juchitepec,2,8330.0000,1,1,1,0,Hectarea
Lerma,19,8231.3600,5,4,4,0,Hectarea
Malinalco,13,11652.9400,5,5,5,0,Hectarea
Melchor Ocampo,1,5.0000,0,0,0,0,Hectarea
Metepec,2,79.0000,0,0,0,0,Hectarea
Mexicaltzingo,1,19.3100,0,0,0,0,Hectarea
Morelos,13,7888.8200,3,3,3,0,Hectarea
Naucalpan de Juarez,7,3234.7600,3,3,3,0,Hectarea
Nextlalpan,1,96.0000,1,1,1,0,Hectarea
Nicolas Romero,8,3513.9000,2,2,2,1,Hectarea
Nopaltepec,3,153.0200,1,1,1,0,Hectarea
Ocoyoacac,8,7403.3000,3,3,3,0,Hectarea
Ocuilan,5,37035.3600,1,1,1,0,Hectarea
El Oro,12,7487.0000,2,1,1,0,Hectarea
Otumba,8,4075.9100,4,3,3,1,Hectarea
Otzolotepec,7,3757.0800,1,1,1,0,Hectarea
Ozumba,5,1469.5000,0,0,0,0,Hectarea
Papalotla,1,16.0000,1,1,1,0,Hectarea
La Paz,1,111.5200,0,0,0,0,Hectarea
Polotitlan,8,491.3700,2,0,0,1,Hectarea
Rayon,2,2.2500,1,1,1,0,Hectarea
San Antonio la Isla,1,11.0700,0,0,0,0,Hectarea
San Felipe Del Progreso,41,3143.4600,2,2,2,0,Hectarea
San Martin de las Piramides,7,1468.3600,2,1,1,0,Hectarea
San Mateo Atenco,1,1868.0000,1,1,1,0,Hectarea
San Simon de Guerrero,2,10756.7500,0,0,0,0,Hectarea
Santo Tomas,4,974.0000,2,1,1,0,Hectarea
Soyaniquilpan de Juarez,7,812.3700,2,2,2,0,Hectarea
Sultepec,9,12798.0000,3,3,3,0,Hectarea
Tecamac,7,146.8400,1,1,1,0,Hectarea
Tejupilco,10,6449.2200,1,1,1,0,Hectarea
Temamatla,2,812.7000,1,1,1,0,Hectarea
Temascalapa,10,1353.9000,2,2,2,1,Hectarea
Temascalcingo,23,19281.4200,1,1,1,0,Hectarea
Temascaltepec,35,31174.0000,16,16,16,0,Hectarea
Temoaya,6,506.9600,0,0,0,0,Hectarea
Tenancingo,18,3049.6100,7,7,7,0,Hectarea
Tenango Del Aire,4,259.7100,1,1,1,0,Hectarea
Tenango Del Valle,12,6840.6100,4,4,4,0,Hectarea
Teoloyucan,5,1454.0000,0,0,0,0,Hectarea
Teotihuacan,5,82.2100,1,1,1,0,Hectarea
Tepetlaoxtoc,10,5922.0000,2,2,2,0,Hectarea
Tepetlixpa,3,120.0000,0,0,0,0,Hectarea
Tepotzotlan,5,1630.0000,2,2,2,0,Hectarea
Tequixquiac,3,128.0000,0,0,0,0,Hectarea
Texcaltitlan,7,4785.5900,3,2,2,1,Hectarea
Texcalyacac,1,1000.0000,0,0,0,0,Hectarea
Texcoco,22,10950.3900,10,9,9,0,Hectarea
Tezoyuca,2,16.0000,0,0,0,0,Hectarea
Tianguistenco,3,5595.0000,1,1,1,0,Hectarea
Timilpan,7,2157.5000,4,4,4,0,Hectarea
Tlalmanalco,6,11114.8800,2,2,2,0,Hectarea
Tlalnepantla de Baz,4,480.0400,2,2,2,0,Hectarea
Tlatlaya,18,4635.0000,1,1,1,0,Hectarea
Toluca,11,4622.2000,2,1,1,0,Hectarea
Tonatico,3,977.0000,0,0,0,0,Hectarea
Tultitlan,3,912.0000,1,1,1,0,Hectarea
Valle de Bravo,18,3753.0000,8,8,8,3,Hectarea
Villa de Allende,31,9143.2700,1,1,1,0,Hectarea
Villa Del Carbon,11,32350.9000,3,3,3,0,Hectarea
Villa Guerrero,9,6298.5000,1,1,1,0,Hectarea
Villa Victoria,28,5980.3200,3,3,3,0,Hectarea
Xonacatlan,2,1396.0000,1,1,1,1,Hectarea
Zacazonapan,1,6.0000,0,0,0,0,Hectarea
Zacualpan,9,9373.1500,0,0,0,0,Hectarea
Zinacantepec,15,10739.0000,5,5,5,0,Hectarea
Zumpahuacan,2,494.6800,0,0,0,0,Hectarea
Zumpango,5,1209.9800,2,2,2,0,Hectarea
Cuautitlan Izcalli,6,300.5000,1,1,1,0,Hectarea
Valle de Chalco Solidaridad,2,120.0000,0,0,0,0,Hectarea
Luvianos,3,2389.2500,1,1,1,1,Hectarea
San Jose Del Rincon,43,8991.8300,3,3,3,0,Hectarea
Michoacan de Ocampo,1616,1454773.3900,438,388,388,72,Hectarea
Acuitzio,8,2952.9500,3,3,3,0,Hectarea
Aguililla,9,11921.5400,1,1,1,1,Hectarea
alvaro Obregon,15,1897.6500,0,0,0,0,Hectarea
Angamacutiro,22,4418.2100,0,0,0,0,Hectarea
Angangueo,6,5851.0000,0,0,0,0,Hectarea
Apatzingan,42,27805.0200,8,4,4,1,Hectarea
Aporo,3,874.5000,0,0,0,0,Hectarea
Aquila,6,171100.0000,4,3,3,3,Hectarea
Ario,36,17648.4700,10,5,5,5,Hectarea
Arteaga,18,46990.5000,9,3,3,6,Hectarea
Briseñas,4,206.7900,1,1,1,0,Hectarea
Buenavista,25,14237.9600,0,0,0,0,Hectarea
Caracuaro,11,4758.0000,4,4,4,3,Hectarea
Coahuayana,10,6715.0000,4,4,4,1,Hectarea
Coalcoman de Vazquez Pallares,3,9492.8700,1,1,1,1,Hectarea
Coeneo,29,13323.2500,0,0,0,0,Hectarea
Contepec,26,10735.5000,0,0,0,0,Hectarea
Copandaro,5,1497.5000,0,0,0,0,Hectarea
Cotija,13,7626.0000,7,5,5,2,Hectarea
Cuitzeo,6,793.5900,0,0,0,0,Hectarea
Charapan,4,21170.0000,1,1,1,0,Hectarea
Charo,14,12564.9200,3,3,3,1,Hectarea
Chavinda,12,4769.0000,6,6,6,0,Hectarea
Cheran,2,9100.0000,1,1,1,0,Hectarea
Chilchota,12,30043.7000,5,5,5,0,Hectarea
Chinicuila,4,22460.0000,2,2,2,1,Hectarea
Chucandiro,13,3750.6800,0,0,0,0,Hectarea
Churintzio,16,5284.6100,3,3,3,1,Hectarea
Churumuco,24,63379.3800,7,5,5,1,Hectarea
Ecuandureo,16,7230.8300,8,8,8,1,Hectarea
Epitacio Huerta,15,6988.1000,0,0,0,0,Hectarea
Erongaricuaro,11,3496.3000,1,1,1,0,Hectarea
Gabriel Zamora,5,17974.0100,3,3,3,0,Hectarea
Hidalgo,31,22130.1000,6,5,5,0,Hectarea
La Huacana,63,89955.5400,11,10,10,4,Hectarea
Huandacareo,4,1568.8900,0,0,0,0,Hectarea
Huaniqueo,19,6342.0000,6,6,6,1,Hectarea
Huetamo,50,50485.9000,11,11,11,3,Hectarea
Huiramba,4,2872.0000,0,0,0,0,Hectarea
Indaparapeo,8,2412.5900,1,1,1,0,Hectarea
Irimbo,6,1413.7000,0,0,0,0,Hectarea
Ixtlan,12,7237.8100,9,9,9,0,Hectarea
Jacona,3,1624.1400,2,2,2,0,Hectarea
Jimenez,19,7419.0600,6,6,6,1,Hectarea
Jiquilpan,8,1118.5000,0,0,0,0,Hectarea
Juarez,9,5158.0000,4,4,4,2,Hectarea
Jungapeo,16,12263.0000,8,8,8,0,Hectarea
Lagunillas,5,2696.7300,2,2,2,0,Hectarea
Madero,14,20896.8400,4,3,3,0,Hectarea
Maravatio,31,19816.5400,4,2,2,0,Hectarea
Marcos Castellanos,3,32.0000,1,1,1,0,Hectarea
Lazaro Cardenas,11,3724.8800,3,2,2,1,Hectarea
Morelia,75,29489.2100,11,9,9,1,Hectarea
Morelos,8,2866.9500,0,0,0,0,Hectarea
Mugica,3,13744.2500,1,1,1,0,Hectarea
Nahuatzen,7,12505.7500,3,3,3,0,Hectarea
Nocupetaro,13,22979.0000,3,3,3,1,Hectarea
Nuevo Parangaricutiro,4,1047.3900,3,3,3,0,Hectarea
Nuevo Urecho,12,9198.8800,7,6,6,0,Hectarea
Numaran,6,1187.0000,1,1,1,0,Hectarea
Ocampo,9,6441.5000,2,2,2,0,Hectarea
Pajacuaran,7,3116.8800,5,5,5,0,Hectarea
Panindicuaro,17,10852.9100,10,10,10,1,Hectarea
Paracuaro,15,11803.8100,3,3,3,1,Hectarea
Paracho,8,13783.2500,2,1,1,0,Hectarea
Patzcuaro,28,10832.8500,4,3,3,0,Hectarea
Penjamillo,21,8226.0000,6,6,6,0,Hectarea
Periban,6,4302.1400,2,2,2,0,Hectarea
La Piedad,24,5344.5900,4,4,4,0,Hectarea
Purepero,3,2500.2600,2,2,2,0,Hectarea
Puruandiro,40,31425.8500,21,19,19,1,Hectarea
Querendaro,10,7498.1700,2,2,2,0,Hectarea
Quiroga,4,8418.0000,4,4,4,0,Hectarea
Cojumatlan de Regules,5,2080.9300,1,1,1,0,Hectarea
Los Reyes,14,11610.6100,5,4,4,2,Hectarea
Sahuayo,3,410.0300,1,1,1,0,Hectarea
San Lucas,15,2925.4000,1,1,1,0,Hectarea
Santa Ana Maya,6,970.5600,2,2,2,0,Hectarea
Salvador Escalante,34,10121.3400,6,4,4,0,Hectarea
Senguio,14,5352.5500,4,4,4,1,Hectarea
Susupuato,11,5700.0000,6,6,6,1,Hectarea
Tacambaro,19,14053.7400,10,10,10,1,Hectarea
Tancitaro,10,3401.2500,5,3,3,0,Hectarea
Tangamandapio,8,16437.6000,2,2,2,0,Hectarea
Tangancicuaro,17,19163.9300,5,5,5,0,Hectarea
Tanhuato,5,3793.0000,2,2,2,0,Hectarea
