INEGI. IX Censo Ejidal 2007,,,,,,,
Ejidos y comunidades con superficie de uso comun segun uso agricola,,,,,,cuadro 4,
por entidad federativa y municipio,,,,,,,
entidad_federativa_y_municipio,ejidos_y_comunidades_con_superficie_de_uso_comun,superficie_de_uso_comun_(ha),ejidos_y_comunidades_con_superficie_de_uso_comun_utilizada_para_la_agricultura_total,,ejidos_y_comunidades_con_superficie_de_uso_comun_utilizada_para_la_agricultura_sembrada_en_2007,ejidos_y_comunidades_con_superficie_de_uso_comun_utilizada_para_la_agricultura_para_sembrarse_solo_por_uno_o_dos_años,unidad_de_medida
Bochil,24,4137.4500,9,6,6,2,Hectarea
El Bosque,8,6478.2500,6,6,6,2,Hectarea
Cacahoatan,7,3773.0000,1,1,1,1,Hectarea
Catazaja,13,1881.8000,3,3,3,0,Hectarea
Cintalapa,48,45703.1000,16,16,16,2,Hectarea
Coapilla,5,8699.7500,4,4,4,1,Hectarea
Comitan de Dominguez,28,37715.3600,17,16,16,1,Hectarea
La Concordia,32,31274.3300,13,13,13,2,Hectarea
Copainala,11,1433.6800,7,6,6,2,Hectarea
Chamula,3,31541.8400,1,1,1,0,Hectarea
Chanal,1,41021.0000,1,1,1,1,Hectarea
Chapultenango,6,3158.0000,1,1,1,1,Hectarea
Chenalho,7,3431.6300,2,2,2,1,Hectarea
Chiapa de Corzo,27,4443.5600,4,4,4,1,Hectarea
Chiapilla,1,4.5000,0,0,0,0,Hectarea
Chicoasen,1,4337.0000,1,1,1,0,Hectarea
Chicomuselo,29,15866.0000,5,5,5,1,Hectarea
Chilon,7,38190.0000,3,3,3,3,Hectarea
Escuintla,10,3219.0000,1,1,1,0,Hectarea
Francisco Leon,4,10337.0000,3,1,1,0,Hectarea
Frontera Comalapa,29,4373.0000,1,1,1,1,Hectarea
La Grandeza,3,562.0000,0,0,0,0,Hectarea
Huehuetan,5,807.8000,1,1,1,0,Hectarea
Huixtan,16,19317.8400,4,4,4,1,Hectarea
Huitiupan,19,7219.0000,12,12,12,3,Hectarea
Huixtla,8,10023.8500,5,3,3,2,Hectarea
La Independencia,29,17526.0800,12,12,12,0,Hectarea
Ixhuatan,1,70.0000,0,0,0,0,Hectarea
Ixtacomitan,2,28.5000,0,0,0,0,Hectarea
Ixtapa,25,8167.6900,6,6,6,2,Hectarea
Ixtapangajoya,2,289.5000,2,2,2,0,Hectarea
Jiquipilas,49,23335.0000,14,14,14,1,Hectarea
Jitotol,18,3965.0000,8,8,8,2,Hectarea
Juarez,4,339.0000,1,1,1,0,Hectarea
Larrainzar,2,14517.0000,2,2,2,0,Hectarea
La Libertad,2,78.6500,1,1,1,0,Hectarea
Mapastepec,28,22448.0000,14,12,12,6,Hectarea
Las Margaritas,127,116612.6000,39,36,36,15,Hectarea
Mazapa de Madero,3,566.0000,0,0,0,0,Hectarea
Mazatan,10,3121.0000,0,0,0,0,Hectarea
Mitontic,1,872.2500,1,1,1,0,Hectarea
Motozintla,30,12087.0000,4,4,4,2,Hectarea
Ocosingo,128,470547.3000,79,77,77,18,Hectarea
Ocotepec,1,7943.4800,1,1,1,1,Hectarea
Ocozocoautla de Espinosa,49,16847.5700,17,16,16,1,Hectarea
Ostuacan,7,2419.0000,2,2,2,2,Hectarea
Osumacinta,3,2478.5800,3,3,3,2,Hectarea
Oxchuc,3,21517.0000,2,2,2,0,Hectarea
Palenque,59,18271.0400,17,16,16,6,Hectarea
Pantelho,4,367.3200,2,2,2,1,Hectarea
Pantepec,4,2177.0000,2,2,2,0,Hectarea
Pichucalco,3,370.0000,0,0,0,0,Hectarea
Pijijiapan,26,37957.0000,5,5,5,1,Hectarea
El Porvenir,5,1482.0000,1,0,0,0,Hectarea
Villa Comaltitlan,5,202.2000,3,1,1,0,Hectarea
Pueblo Nuevo Solistahuacan,19,4993.5000,6,6,6,0,Hectarea
Rayon,4,1571.0000,3,3,3,0,Hectarea
Las Rosas,8,4535.0000,5,5,5,0,Hectarea
Sabanilla,12,8781.0000,8,7,7,5,Hectarea
Salto de Agua,37,7191.0000,10,9,9,7,Hectarea
San Cristobal de las Casas,11,5042.6000,5,5,5,1,Hectarea
San Fernando,13,3045.1500,8,8,8,0,Hectarea
Siltepec,17,21836.0000,1,1,1,0,Hectarea
Simojovel,36,10613.2300,23,22,22,2,Hectarea
Sitala,2,201.0000,0,0,0,0,Hectarea
Socoltenango,17,2344.5000,3,3,3,0,Hectarea
Solosuchiapa,6,1179.2500,2,1,1,1,Hectarea
Soyalo,4,10451.6500,2,2,2,0,Hectarea
Suchiapa,7,632.7600,3,3,3,0,Hectarea
Suchiate,6,875.0000,2,2,2,1,Hectarea
Tapachula,17,3307.4900,2,2,2,1,Hectarea
Tapalapa,2,7230.5100,1,1,1,0,Hectarea
Tapilula,4,166.0000,3,3,3,0,Hectarea
