INEGI. IX Censo Ejidal 2007,,,,,,,
"Total de ejidos y comunidades segun cuenten con sociedades mercantiles, tipo de participantes",,,,,,,cuadro 35
y finalidades de las sociedades por entidad federativa y municipio,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
entidad_federativa_y_municipio,_ejidos_y_comunidades,con_sociedades_mercantiles_total,con_sociedades_mercantiles_ejidatarios_participantes,con_sociedades_mercantiles_ejidatarios_participantes_mujeres,con_participantes_no_ejidatarios,solo_para_actividades_agropecuarias_o_forestales,sin_sociedades_mercantiles
Las Margaritas,145,0,0,0,0,0,145
Mazapa de Madero,4,0,0,0,0,0,4
Mazatan,18,0,0,0,0,0,18
Metapa,C,C,0,0,0,0,C
Mitontic,C,C,0,0,0,0,C
Motozintla,43,0,0,0,0,0,43
Ocosingo,159,3,252,22,0,2,156
Ocotepec,C,C,0,0,0,0,C
Ocozocoautla de Espinosa,74,0,0,0,0,0,74
Ostuacan,29,0,0,0,0,0,29
Osumacinta,3,0,0,0,0,0,3
Oxchuc,3,0,0,0,0,0,3
Palenque,163,1,80,31,1,0,162
Pantelho,9,0,0,0,0,0,9
Pantepec,6,0,0,0,0,0,6
Pichucalco,9,0,0,0,0,0,9
Pijijiapan,70,0,0,0,0,0,70
El Porvenir,5,0,0,0,0,0,5
Villa Comaltitlan,19,0,0,0,0,0,19
Pueblo Nuevo Solistahuacan,21,0,0,0,0,0,21
Rayon,4,0,0,0,0,0,4
Reforma,7,0,0,0,0,0,7
Las Rosas,17,0,0,0,0,0,17
Sabanilla,19,0,0,0,0,0,19
Salto de Agua,86,0,0,0,0,0,86
San Cristobal de las Casas,16,0,0,0,0,0,16
San Fernando,18,0,0,0,0,0,18
Siltepec,18,0,0,0,0,0,18
Simojovel,53,0,0,0,0,0,53
Sitala,7,0,0,0,0,0,7
Socoltenango,33,0,0,0,0,0,33
Solosuchiapa,11,0,0,0,0,0,11
Soyalo,4,0,0,0,0,0,4
Suchiapa,9,0,0,0,0,0,9
Suchiate,17,0,0,0,0,0,17
Sunuapa,C,C,0,0,0,0,C
Tapachula,52,1,38,8,0,0,51
Tapalapa,C,C,0,0,0,0,C
Tapilula,4,0,0,0,0,0,4
Tecpatan,59,0,0,0,0,0,59
Tenejapa,7,0,0,0,0,0,7
Teopisca,16,0,0,0,0,0,16
Tila,29,0,0,0,0,0,29
Tonala,54,8,376,30,4,5,46
Totolapa,8,0,0,0,0,0,8
La Trinitaria,85,0,0,0,0,0,85
Tumbala,24,0,0,0,0,0,24
Tuxtla Gutierrez,6,0,0,0,0,0,6
Tuxtla Chico,7,0,0,0,0,0,7
Tuzantan,16,0,0,0,0,0,16
Tzimol,18,1,30,5,0,0,17
Union Juarez,12,0,0,0,0,0,12
Venustiano Carranza,41,0,0,0,0,0,41
Villa Corzo,71,0,0,0,0,0,71
Villaflores,67,1,50,0,0,0,66
Yajalon,8,0,0,0,0,0,8
San Lucas,C,C,0,0,0,0,C
Zinacantan,6,0,0,0,0,0,6
San Juan Cancuc,C,C,0,0,0,0,C
Aldama,C,C,0,0,0,0,C
Benemerito de las Americas,14,1,20,8,1,1,13
Maravilla Tenejapa,33,0,0,0,0,0,33
Marques de Comillas,23,1,20,20,0,0,22
Montecristo de Guerrero,5,0,0,0,0,0,5
San Andres Duraznal,5,0,0,0,0,0,5
Santiago el Pinar,C,C,0,0,0,0,C
Chihuahua,987,4,1399,505,2,2,983
Ahumada,24,0,0,0,0,0,24
Aldama,24,0,0,0,0,0,24
Allende,21,0,0,0,0,0,21
Aquiles Serdan,C,C,0,0,0,0,C
Ascension,21,0,0,0,0,0,21
Bachiniva,11,0,0,0,0,0,11
Balleza,20,0,0,0,0,0,20
Batopilas,12,0,0,0,0,0,12
Bocoyna,26,0,0,0,0,0,26
Buenaventura,9,0,0,0,0,0,9
Camargo,24,0,0,0,0,0,24
Carichi,23,0,0,0,0,0,23
Casas Grandes,13,0,0,0,0,0,13
Coronado,6,0,0,0,0,0,6
Coyame del Sotol,12,0,0,0,0,0,12
La Cruz,5,0,0,0,0,0,5
Cuauhtemoc,26,0,0,0,0,0,26
Cusihuiriachi,21,0,0,0,0,0,21
Chihuahua,47,0,0,0,0,0,47
Chinipas,16,0,0,0,0,0,16
Delicias,4,0,0,0,0,0,4
Dr. Belisario Dominguez,9,0,0,0,0,0,9
Galeana,4,1,19,6,0,0,3
Santa Isabel,8,0,0,0,0,0,8
Gomez Farias,7,0,0,0,0,0,7
Gran Morelos,10,0,0,0,0,0,10
Guachochi,26,0,0,0,0,0,26
Guadalupe,7,0,0,0,0,0,7
