INEGI. IX Censo Ejidal 2007,,,,,,,
Ejidos y comunidades con superficie de uso comun sin vegetacion,,,,,,cuadro 10,
por entidad federativa y municipio,,,,,,,
,,,,,,,
entidad_federativa_y_municipio,total,con_arenales_o_pedregales,ensalitradas,erosionadas,cubiertas_con_agua,otras,erosionadas
Tecamac,6,4,2,0,1,2,0
Tejupilco,1,1,0,0,0,0,0
Temamatla,2,1,0,1,0,0,1
Temascalapa,4,2,0,1,0,3,1
Temascalcingo,14,9,1,8,2,4,8
Temascaltepec,17,14,1,3,1,9,3
Temoaya,3,2,0,0,0,2,0
Tenancingo,2,1,0,1,0,0,1
Tenango del Aire,3,1,0,1,0,2,1
Tenango del Valle,1,0,1,0,0,0,0
Teotihuacan,3,2,0,1,0,2,1
Tepetlaoxtoc,4,2,1,3,0,0,3
Tepetlixpa,3,3,0,0,0,1,0
Tepotzotlan,5,2,1,3,1,4,3
Texcaltitlan,5,5,2,1,1,3,1
Texcalyacac,1,0,0,0,0,1,0
Texcoco,9,8,1,1,0,3,1
Tezoyuca,1,0,1,0,0,1,0
Tianguistenco,1,1,0,0,0,0,0
Timilpan,5,0,0,1,1,4,1
Tlalnepantla de Baz,3,3,0,1,1,1,1
Tlatlaya,2,2,1,1,0,1,1
Toluca,4,4,0,3,0,0,3
Tonatico,1,1,0,0,0,0,0
Tultitlan,2,1,0,2,0,1,2
Valle de Bravo,9,9,7,5,8,6,5
Villa de Allende,4,1,0,1,2,2,1
Villa del Carbon,7,2,1,1,2,6,1
Villa Guerrero,3,3,0,0,0,1,0
Villa Victoria,6,3,0,1,1,4,1
Xonacatlan,1,1,0,0,0,0,0
Zacualpan,4,3,0,1,0,0,1
Zumpahuacan,2,1,0,0,1,1,0
Zumpango,4,2,0,0,1,2,0
Cuautitlan Izcalli,5,3,0,3,0,3,3
Valle de Chalco Solidaridad,1,1,1,1,0,0,1
Luvianos,1,1,0,0,0,0,0
San Jose del Rincon,13,6,0,2,3,7,2
Michoacan de Ocampo,487,379,47,88,53,208,88
Acuitzio,1,1,0,0,0,1,0
Aguililla,2,0,0,0,0,2,0
alvaro Obregon,6,4,2,1,2,3,1
Angamacutiro,4,4,0,0,0,2,0
Angangueo,2,2,0,0,0,0,0
Apatzingan,9,8,1,0,0,3,0
Aquila,4,2,0,0,1,3,0
Ario,8,6,2,1,0,6,1
Arteaga,7,5,0,0,2,5,0
Buenavista,5,4,0,0,1,1,0
Caracuaro,3,2,0,0,1,2,0
Coahuayana,4,2,2,1,1,2,1
Coalcoman de Vazquez Pallares,2,1,0,0,0,1,0
Coeneo,2,0,0,0,0,2,0
Contepec,21,20,0,5,1,3,5
Cotija,10,7,3,2,1,5,2
Cuitzeo,1,1,0,0,0,0,0
Charo,5,2,0,3,0,3,3
Chavinda,3,3,0,0,0,1,0
Cheran,1,1,0,1,0,1,1
Chilchota,6,2,1,6,0,2,6
Chinicuila,3,3,0,1,2,2,1
Churintzio,5,5,1,1,0,3,1
Churumuco,6,3,3,0,0,3,0
Ecuandureo,3,1,1,1,1,3,1
Epitacio Huerta,7,7,0,0,2,2,0
Erongaricuaro,3,0,0,2,1,1,2
Hidalgo,14,12,2,3,3,5,3
La Huacana,17,15,3,4,0,6,4
Huandacareo,3,2,0,1,0,0,1
Huaniqueo,3,2,0,0,0,2,0
Huetamo,10,9,0,0,0,4,0
Huiramba,2,1,0,1,0,0,1
Indaparapeo,4,4,1,1,0,3,1
Irimbo,2,1,0,0,1,1,0
Jacona,2,2,0,0,0,0,0
Jimenez,6,5,0,1,1,4,1
Jiquilpan,1,1,0,1,0,0,1
Juarez,7,5,1,2,2,5,2
Jungapeo,8,4,0,1,1,5,1
Lagunillas,1,0,0,0,0,1,0
Madero,1,1,0,0,0,0,0
Maravatio,21,14,1,6,2,7,6
Lazaro Cardenas,6,3,0,1,0,4,1
Morelia,18,14,1,2,5,10,2
Morelos,2,1,0,2,0,0,2
Nuevo Parangaricutiro,1,1,0,0,0,0,0
Nuevo Urecho,2,1,0,0,0,1,0
Numaran,2,2,0,0,0,0,0
Ocampo,1,1,0,0,0,0,0
Pajacuaran,2,1,1,0,0,0,0
Panindicuaro,11,8,1,3,3,8,3
Paracuaro,1,0,0,0,0,1,0
Paracho,4,4,0,0,0,2,0
Patzcuaro,2,1,0,0,0,1,0
Penjamillo,13,12,0,0,2,4,0
La Piedad,4,4,0,0,1,0,0
Purepero,1,0,0,0,0,1,0
Puruandiro,20,20,6,3,1,12,3
Querendaro,3,2,0,2,1,1,2
Quiroga,3,3,2,1,0,1,1
Los Reyes,3,3,0,1,0,1,1
Sahuayo,1,0,0,0,1,0,0
Santa Ana Maya,1,1,0,0,0,1,0
Salvador Escalante,7,7,0,0,1,1,0
Senguio,6,5,1,3,0,5,3
Susupuato,8,8,0,1,0,3,1
Tacambaro,2,1,1,0,0,0,0
Tancitaro,1,1,0,0,0,1,0
Tangamandapio,2,1,0,0,0,2,0
Tangancicuaro,6,6,0,1,0,3,1
Tanhuato,3,1,0,0,1,2,0
Taretan,6,6,0,0,0,3,0
Tarimbaro,8,6,1,2,0,5,2
Tepalcatepec,3,1,1,0,0,3,0
Tingüindin,3,3,0,0,0,0,0
Tiquicheo de Nicolas Romero,1,1,0,0,0,0,0
Tlalpujahua,3,2,0,0,1,3,0
Tlazazalca,2,0,0,0,0,2,0
Tocumbo,3,2,1,0,0,0,0
Tumbiscatio,3,3,0,1,0,1,1
Turicato,6,6,0,0,1,4,0
Tuxpan,4,3,0,0,1,2,0
Tuzantla,10,8,3,4,3,1,4
Tzintzuntzan,2,2,1,2,0,1,2
Tzitzio,1,1,0,1,0,0,1
Uruapan,4,3,0,1,0,2,1
Venustiano Carranza,1,0,1,0,0,0,0
Villamar,2,1,0,0,1,1,0
Yurecuaro,3,3,0,0,0,0,0
Zacapu,8,7,0,2,1,3,2
Zamora,17,15,0,2,0,2,2
Zinaparo,1,1,0,0,0,1,0
Zinapecuaro,8,6,1,4,1,1,4
Ziracuaretiro,5,4,1,0,1,1,0
Zitacuaro,11,9,0,2,1,2,2
Jose Sixto Verduzco,1,0,0,1,0,0,1
Morelos,53,38,4,7,8,12,7
Amacuzac,1,0,0,0,0,1,0
Atlatlahucan,1,1,0,0,0,0,0
Axochiapan,1,0,0,0,1,0,0
Ayala,4,4,0,0,2,0,0
Cuautla,1,1,0,0,0,0,0
Cuernavaca,3,3,1,0,0,1,0
Huitzilac,1,1,0,0,0,0,0
Jantetelco,3,1,0,2,0,2,2
Jiutepec,3,2,0,0,0,1,0
Jojutla,1,0,0,0,0,1,0
Mazatepec,1,0,0,0,0,1,0
Puente de Ixtla,2,2,0,0,0,0,0
Tepalcingo,5,4,0,0,3,2,0
Tepoztlan,1,1,0,0,0,0,0
Tlalnepantla,1,0,0,1,0,1,1
Tlaltizapan,9,7,2,1,1,1,1
Tlaquiltenango,6,5,0,1,0,1,1
Tlayacapan,1,1,0,0,0,0,0
Xochitepec,3,3,0,0,0,0,0
Yautepec,2,0,1,1,0,0,1
Yecapixtla,1,1,0,0,0,0,0
Zacualpan de Amilpas,1,0,0,1,0,0,1
Temoac,1,1,0,0,1,0,0
Nayarit,135,102,39,42,41,87,42
Acaponeta,4,4,1,3,1,3,3
Ahuacatlan,3,2,0,1,0,2,1
Amatlan de Cañas,12,12,0,1,0,8,1
Compostela,12,10,4,2,7,8,2
Huajicori,2,1,0,1,0,2,1
Ixtlan del Rio,7,5,0,0,1,6,0
Jala,8,7,1,0,1,7,0
Xalisco,3,3,0,0,0,1,0
Del Nayar,19,15,3,14,6,17,14
Rosamorada,6,5,2,2,2,1,2
Ruiz,1,1,0,0,0,1,0
San Blas,7,3,6,2,6,6,2
San Pedro Lagunillas,4,4,1,3,0,3,3
Santa Maria del Oro,3,2,0,1,0,1,1
Santiago Ixcuintla,9,3,8,1,6,4,1
Tecuala,11,3,7,0,8,5,0
Tepic,15,15,4,9,1,9,9
Tuxpan,2,0,1,0,2,0,0
La Yesca,3,3,1,1,0,2,1
Bahia de Banderas,4,4,0,1,0,1,1
Nuevo Leon,154,91,40,32,15,55,32
Agualeguas,3,0,0,0,3,0,0
Anahuac,1,0,0,0,1,1,0
Aramberri,6,3,1,1,1,2,1
Cadereyta Jimenez,7,0,2,0,3,5,0
China,1,0,0,0,0,1,0
Dr. Arroyo,16,13,5,2,0,6,2
Galeana,48,27,11,14,1,30,14
Garcia,6,6,3,0,0,0,0
Gral. Bravo,1,1,0,0,0,0,0
Gral. Escobedo,2,2,0,0,0,0,0
Gral. Teran,3,2,0,1,0,0,1
Gral. Zaragoza,3,0,0,3,0,0,3
Iturbide,4,4,0,1,0,0,1
Linares,16,8,11,3,0,2,3
Mier y Noriega,3,2,1,0,0,0,0
Mina,15,14,4,3,1,4,3
Montemorelos,6,2,1,2,1,3,2
Pesqueria,1,1,0,0,0,0,0
Los Ramones,2,0,0,1,1,0,1
Rayones,1,0,0,0,1,0,0
Salinas Victoria,4,2,1,1,2,0,1
Santa Catarina,2,2,0,0,0,0,0
Santiago,3,2,0,0,0,1,0
Oaxaca,580,453,86,306,85,373,306
Abejones,1,0,0,1,1,1,1
Acatlan de Perez Figueroa,3,1,0,0,2,0,0
Asuncion Cuyotepeji,1,1,0,1,0,1,1
Asuncion Ixtaltepec,3,2,0,0,1,1,0
Asuncion Nochixtlan,9,2,0,9,0,5,9
El Barrio de la Soledad,2,2,0,2,0,2,2
Calihuala,2,1,0,0,0,1,0
Ciudad Ixtepec,1,1,0,1,0,0,1
Concepcion Buenavista,4,4,2,3,0,2,3
Cosoltepec,3,1,0,2,0,1,2
Cuilapam de Guerrero,2,2,1,2,1,2,2
Cuyamecalco Villa de Zaragoza,1,1,0,0,0,1,0
Chalcatongo de Hidalgo,2,2,2,2,0,1,2
Chiquihuitlan de Benito Juarez,1,1,0,0,0,0,0
Guadalupe de Ramirez,1,1,0,1,0,1,1
Guevea de Humboldt,1,1,0,0,0,1,0
Heroica Ciudad de Huajuapan de Leon,1,1,0,0,0,1,0
Ixtlan de Juarez,2,1,0,2,0,2,2
Heroica Ciudad de Juchitan de Zaragoza,3,2,3,0,2,3,0
Loma Bonita,4,1,0,1,2,2,1
Magdalena Apasco,2,2,0,0,0,0,0
Magdalena Jaltepec,1,1,0,0,0,1,0
Santa Magdalena Jicotlan,1,1,0,1,0,0,1
Magdalena Mixtepec,1,0,1,0,0,1,0
Magdalena Peñasco,1,0,0,1,0,1,1
Magdalena Tequisistlan,1,1,1,1,0,1,1
Magdalena Tlacotepec,1,0,1,0,0,0,0
Magdalena Zahuatlan,1,0,0,1,0,1,1
Miahuatlan de Porfirio Diaz,2,2,0,0,0,1,0
Nejapa de Madero,2,1,1,1,0,1,1
Ixpantepec Nieves,3,3,1,1,1,2,1
Santiago Niltepec,1,1,0,1,1,1,1
Oaxaca de Juarez,4,1,0,1,0,3,1
Ocotlan de Morelos,2,2,1,1,0,1,1
San Jose del Progreso,1,1,0,1,0,1,1
Putla Villa de Guerrero,3,3,0,0,0,1,0
Santa Catarina Quioquitani,1,0,0,1,0,1,1
Reforma de Pineda,1,0,0,1,0,0,1
Reyes Etla,1,1,0,0,0,0,0
Salina Cruz,2,2,2,1,2,2,1
San Agustin Atenango,2,2,1,0,0,1,0
San Agustin Chayuco,1,0,0,0,0,1,0
San Agustin de las Juntas,1,1,0,1,0,1,1
San Agustin Tlacotepec,1,0,0,1,0,1,1
San Andres Cabecera Nueva,1,1,0,0,0,0,0
San Andres Dinicuiti,2,2,0,2,0,2,2
San Andres Huayapam,1,1,1,1,0,1,1
San Andres Ixtlahuaca,1,0,0,0,0,1,0
San Andres Lagunas,1,1,1,1,0,1,1
San Andres Nuxiño,1,1,0,1,0,1,1
San Andres Sinaxtla,2,0,0,2,0,1,2
San Andres Solaga,1,1,0,0,0,1,0
San Andres Teotilalpam,2,2,0,0,0,1,0
San Andres Yaa,1,1,0,0,0,1,0
San Andres Zautla,1,0,0,0,0,1,0
San Antonino el Alto,1,1,0,1,1,1,1
San Antonino Monte Verde,1,0,0,1,0,1,1
San Antonio Acutla,1,1,0,1,0,1,1
San Antonio Huitepec,1,1,0,1,0,1,1
San Antonio Sinicahua,1,1,1,1,0,1,1
San Baltazar Chichicapam,1,1,0,0,0,1,0
San Baltazar Yatzachi el Bajo,3,2,0,3,0,3,3
San Bartolo Coyotepec,3,2,1,1,1,2,1
San Bartolome Ayautla,1,1,0,1,0,1,1
San Bartolome Quialana,1,1,0,0,0,0,0
San Bartolome Yucuañe,1,1,0,0,0,1,0
San Bartolome Zoogocho,1,1,0,0,0,0,0
San Bartolo Soyaltepec,2,1,0,1,0,1,1
San Bernardo Mixtepec,1,1,0,0,1,1,0
San Carlos Yautepec,8,4,1,5,0,7,5
San Cristobal Amatlan,3,2,0,1,1,2,1
San Cristobal Amoltepec,1,1,0,0,0,1,0
San Cristobal Suchixtlahuaca,1,1,1,1,0,0,1
San Dionisio del Mar,1,1,0,0,1,1,0
San Dionisio Ocotepec,4,4,0,0,0,2,0
San Esteban Atatlahuca,1,1,0,1,0,1,1
San Felipe Tejalapam,1,1,0,0,0,1,0
San Felipe Usila,2,1,0,0,1,1,0
San Francisco Cahuacua,1,1,0,0,1,0,0
San Francisco Cajonos,1,1,0,1,0,1,1
San Francisco Chindua,1,1,0,0,0,1,0
San Francisco Ixhuatan,2,0,1,0,1,0,0
San Francisco Jaltepetongo,1,1,0,1,0,1,1
San Francisco Ozolotepec,1,1,0,1,1,1,1
San Francisco Sola,1,1,0,0,0,0,0
San Francisco Telixtlahuaca,2,2,0,2,0,1,2
San Francisco Teopan,1,1,1,1,0,1,1
San Francisco Tlapancingo,1,1,0,1,0,0,1
San Ildefonso Amatlan,1,1,0,0,0,0,0
San Ildefonso Sola,1,1,0,1,0,1,1
San Ildefonso Villa Alta,2,0,0,1,0,2,1
San Jeronimo Sosola,5,4,2,4,0,3,4
San Jeronimo Taviche,1,0,0,0,0,1,0
San Jorge Nuchita,1,1,1,0,0,0,0
San Juan Bautista Atatlahuca,3,3,0,0,0,0,0
San Juan Bautista Coixtlahuaca,3,2,1,2,0,3,2
San Juan Bautista Cuicatlan,2,2,0,1,0,1,1
San Juan Bautista Guelache,2,0,0,2,0,0,2
San Juan Bautista Jayacatlan,1,1,0,0,1,0,0
San Juan Bautista Suchitepec,1,1,0,1,0,0,1
San Juan Bautista Tlacoatzintepec,1,1,1,0,1,1,0
San Juan Bautista Tlachichilco,1,1,0,0,0,0,0
San Juan Cacahuatepec,1,0,0,1,0,1,1
San Juan del Rio,1,1,0,0,0,1,0
San Juan Diuxi,1,1,0,1,0,1,1
San Juan Evangelista Analco,1,1,0,1,0,1,1
San Juan Guelavia,1,1,1,1,0,1,1
San Juan Guichicovi,9,8,0,2,2,8,2
San Juan Ihualtepec,1,1,1,1,1,0,1
San Juan Juquila Vijanos,1,1,0,1,1,1,1
San Juan Lajarcia,1,0,0,0,0,1,0
San Juan Lalana,1,1,0,0,0,1,0
San Juan Mazatlan,2,1,0,0,1,0,0
San Juan Mixtepec -Dto. 08-,1,1,1,1,1,1,1
San Juan Mixtepec -Dto. 26-,1,0,0,1,1,0,1
San Juan Ñumi,2,2,0,1,0,1,1
San Juan Ozolotepec,4,4,1,4,2,3,4
San Juan Quiotepec,2,2,0,1,0,2,1
San Juan Sayultepec,1,0,0,1,0,1,1
San Juan Tamazola,2,2,1,2,0,2,2
San Juan Teita,1,1,1,1,0,1,1
San Juan Teitipac,1,1,1,1,0,1,1
San Juan Teposcolula,2,1,0,2,0,1,2
San Juan Yaee,1,0,0,0,1,1,0
San Juan Yucuita,2,1,0,2,0,1,2
San Lorenzo Albarradas,2,2,0,0,0,2,0
San Lorenzo Cacaotepec,2,2,1,1,0,1,1
San Lorenzo Texmelucan,1,1,0,1,0,0,1
San Lucas Camotlan,1,1,0,0,0,1,0
San Marcos Arteaga,2,2,0,0,0,1,0
San Martin Huamelulpam,1,1,0,1,1,1,1
San Martin Itunyoso,1,0,0,1,0,1,1
San Martin Tilcajete,1,1,0,0,0,1,0
San Mateo Cajonos,1,1,0,1,1,1,1
Capulalpam de Mendez,1,0,0,1,0,1,1
San Mateo del Mar,1,1,1,0,0,1,0
San Mateo Etlatongo,1,1,1,1,0,1,1
San Mateo Nejapam,1,1,0,0,0,1,0
San Mateo Peñasco,2,1,0,1,0,2,1
San Mateo Tlapiltepec,1,1,1,1,0,1,1
San Melchor Betaza,1,0,0,0,0,1,0
San Miguel Achiutla,1,0,0,1,0,1,1
San Miguel Amatitlan,6,6,1,5,0,2,5
San Miguel Coatlan,1,1,0,0,1,0,0
San Miguel Chicahua,1,0,0,1,0,1,1
San Miguel del Puerto,2,2,0,1,1,1,1
San Miguel el Grande,1,1,0,0,0,0,0
San Miguel Huautla,1,1,0,1,0,0,1
San Miguel Peras,1,1,0,1,0,1,1
San Miguel Piedras,1,1,0,1,0,1,1
San Miguel Quetzaltepec,1,1,1,0,0,1,0
San Miguel Santa Flor,1,1,0,0,0,1,0
Villa Sola de Vega,4,4,0,0,0,3,0
San Miguel Soyaltepec,2,0,0,0,2,0,0
Villa Talea de Castro,2,2,0,1,0,0,1
San Miguel Tenango,1,1,1,1,0,1,1
San Miguel Tequixtepec,2,2,0,2,0,1,2
San Miguel Tilquiapam,1,1,0,1,0,1,1
San Miguel Tlacotepec,1,1,0,0,0,1,0
San Miguel Tulancingo,1,1,1,1,0,0,1
San Nicolas Hidalgo,1,1,0,0,0,0,0
San Pablo Coatlan,2,1,0,1,0,2,1
San Pablo Cuatro Venados,1,1,0,1,0,1,1
San Pablo Etla,1,1,0,0,0,1,0
San Pablo Huitzo,1,1,0,1,0,0,1
San Pablo Huixtepec,1,1,0,0,0,0,0
San Pablo Villa de Mitla,2,2,0,0,0,2,0
San Pablo Yaganiza,1,1,0,1,0,1,1
San Pedro Amuzgos,1,1,0,1,0,0,1
San Pedro Apostol,1,1,0,0,0,0,0
San Pedro Cajonos,1,1,0,0,0,1,0
San Pedro Coxcaltepec Cantaros,2,2,0,2,0,2,2
San Pedro Huamelula,3,2,1,0,2,3,0
San Pedro Huilotepec,1,1,0,1,0,1,1
San Pedro Ixcatlan,1,0,0,0,1,0,0
San Pedro Jaltepetongo,1,0,0,1,0,1,1
San Pedro Martir Quiechapa,1,1,0,0,0,0,0
San Pedro Martir Yucuxaco,1,0,0,1,0,1,1
San Pedro Mixtepec -Dto. 26-,1,1,0,0,0,0,0
San Pedro Molinos,1,0,0,1,0,1,1
San Pedro Nopala,1,1,0,1,0,1,1
San Pedro Ocotepec,1,1,0,1,0,0,1
San Pedro Quiatoni,1,1,0,1,0,1,1
San Pedro Tapanatepec,2,2,0,0,1,1,0
San Pedro Taviche,1,1,1,1,0,0,1
San Pedro Teozacoalco,1,1,0,0,0,1,0
San Pedro Teutila,2,2,0,0,0,2,0
San Pedro Topiltepec,2,0,0,2,0,0,2
San Pedro Totolapa,3,3,0,1,2,3,1
Villa de Tututepec de Melchor Ocampo,3,3,0,0,1,3,0
San Pedro y San Pablo Ayutla,1,1,0,0,0,0,0
San Pedro y San Pablo Teposcolula,6,5,1,4,0,4,4
San Pedro y San Pablo Tequixtepec,6,4,2,4,0,2,4
San Pedro Yucunama,1,0,0,1,0,1,1
San Sebastian Abasolo,1,1,0,0,0,0,0
San Sebastian Ixcapa,1,1,0,0,0,1,0
San Sebastian Nicananduta,1,0,1,1,0,1,1
San Sebastian Rio Hondo,1,0,0,0,1,0,0
San Sebastian Tecomaxtlahuaca,2,1,0,2,0,2,2
San Sebastian Teitipac,2,2,1,2,0,2,2
San Sebastian Tutla,1,1,0,0,1,1,0
San Simon Zahuatlan,1,1,0,1,0,0,1
Santa Ana,1,1,0,0,0,1,0
Santa Ana Cuauhtemoc,1,1,0,0,0,1,0
Santa Ana del Valle,1,0,0,1,0,1,1
Santa Ana Tlapacoyan,1,0,0,1,0,0,1
Santa Ana Yareni,1,1,0,0,0,1,0
Santa Catarina Cuixtla,1,1,0,0,0,1,0
Santa Catarina Ixtepeji,1,1,0,1,0,1,1
Santa Catarina Juquila,2,2,0,0,0,0,0
Santa Catarina Loxicha,1,1,0,0,0,0,0
Santa Catarina Mechoacan,1,1,0,0,1,1,0
Santa Catarina Minas,1,1,0,0,0,1,0
Santa Catarina Tayata,1,1,1,1,1,1,1
Santa Catarina Yosonotu,1,1,0,1,0,0,1
Santa Catarina Zapoquila,3,3,0,3,0,1,3
Santa Cruz Itundujia,1,0,0,0,1,0,0
Santa Cruz Mixtepec,3,1,0,1,0,1,1
Santa Cruz Nundaco,1,0,0,1,0,1,1
Santa Cruz Papalutla,1,1,0,0,0,1,0
Santa Cruz Tacache de Mina,1,1,1,0,0,1,0
Santa Cruz Tacahua,1,1,1,0,0,1,0
Santa Cruz Xoxocotlan,1,1,0,1,0,0,1
Santa Cruz Zenzontepec,1,0,0,1,0,1,1
Santa Gertrudis,1,0,0,0,0,1,0
Santa Ines del Monte,1,1,0,0,0,1,0
Santa Lucia del Camino,1,0,0,1,0,0,1
Santa Lucia Monteverde,1,1,0,0,0,1,0
Santa Maria Alotepec,2,2,0,0,1,2,0
Santa Maria Apazco,1,1,0,1,0,1,1
Heroica Ciudad de Tlaxiaco,4,3,1,2,1,1,2
Ayoquezco de Aldama,1,1,0,1,0,0,1
Santa Maria Atzompa,1,1,0,1,0,1,1
Santa Maria Camotlan,1,1,0,1,0,1,1
Santa Maria Colotepec,1,1,0,0,0,1,0
Santa Maria Coyotepec,1,1,0,1,0,1,1
Santa Maria Chachoapam,1,0,0,1,0,0,1
Villa de Chilapa de Diaz,2,1,1,1,0,2,1
Santa Maria Chilchotla,1,1,0,0,0,1,0
Santa Maria Chimalapa,3,3,1,1,2,2,1
Santa Maria del Rosario,1,1,0,1,0,1,1
Santa Maria del Tule,1,1,0,0,0,1,0
Santa Maria Ecatepec,2,2,0,1,0,2,1
Santa Maria Guelace,1,1,0,0,0,0,0
Santa Maria Guienagati,1,0,0,0,0,1,0
Santa Maria Ipalapa,1,0,0,1,0,0,1
Santa Maria Jacatepec,1,0,0,0,1,0,0
Santa Maria Jaltianguis,1,1,0,1,1,0,1
Santa Maria Nativitas,1,1,0,1,0,1,1
Santa Maria Nduayaco,2,2,0,1,0,1,1
Santa Maria Peñoles,3,3,0,3,0,2,3
Santa Maria Petapa,1,1,0,1,0,1,1
Santa Maria Sola,1,1,0,0,0,0,0
Santa Maria Tataltepec,1,1,0,1,0,1,1
Santa Maria Temaxcalapa,1,0,0,1,0,1,1
Santa Maria Temaxcaltepec,1,1,0,0,1,1,0
Santa Maria Texcatitlan,1,1,0,1,0,1,1
Santa Maria Tlahuitoltepec,1,1,1,1,0,1,1
Santa Maria Tlalixtac,1,1,0,0,0,1,0
Santa Maria Tonameca,1,1,1,1,1,1,1
Santa Maria Yalina,1,1,0,1,0,0,1
Santa Maria Yolotepec,1,1,0,0,0,1,0
Santa Maria Yosoyua,1,0,1,0,0,1,0
Santa Maria Yucuhiti,1,1,0,0,0,1,0
Santa Maria Zacatepec,1,1,1,1,0,1,1
Santa Maria Zaniza,1,1,0,0,1,0,0
Santa Maria Zoquitlan,1,1,0,0,0,1,0
Santiago Amoltepec,1,1,0,0,0,1,0
Santiago Apoala,1,0,0,1,0,1,1
Santiago Astata,1,1,1,0,1,1,0
Santiago Ayuquililla,2,2,0,0,0,2,0
Santiago Cacaloxtepec,1,1,0,1,0,0,1
Santiago Camotlan,2,1,0,0,0,2,0
Santiago Chazumba,9,9,0,8,0,2,8
Santiago Huajolotitlan,4,3,0,2,0,1,2
Santiago Huauclilla,3,2,0,3,0,3,3
Santiago Ihuitlan Plumas,2,1,0,2,0,2,2
Santiago Jocotepec,1,1,0,0,0,1,0
Santiago Juxtlahuaca,6,6,0,4,2,3,4
Santiago Lachiguiri,1,1,0,0,0,1,0
Santiago Lalopa,1,0,0,1,0,0,1
Santiago Laollaga,1,1,0,0,1,1,0
Santiago Laxopa,3,3,0,2,0,2,2
Santiago Matatlan,3,3,0,1,0,3,1
Santiago Nacaltepec,5,5,0,3,0,0,3
Santiago Nejapilla,1,0,0,1,0,0,1
Santiago Nundiche,1,0,0,1,0,1,1
Santiago Nuyoo,1,0,0,0,1,1,0
Santiago Pinotepa Nacional,5,3,3,1,2,4,1
Santiago Suchilquitongo,4,4,0,3,0,3,3
Santiago Tamazola,2,2,0,0,0,1,0
Villa Tejupam de la Union,1,0,0,0,0,1,0
Santiago Tenango,1,1,0,1,0,0,1
Santiago Tepetlapa,1,1,0,1,0,0,1
Santiago Tetepec,2,1,0,0,1,2,0
Santiago Textitlan,1,1,0,1,0,0,1
Santiago Tilantongo,1,1,0,1,0,1,1
Santiago Tillo,2,2,0,1,0,2,1
Santiago Tlazoyaltepec,1,1,0,0,0,1,0
Santiago Xanica,2,2,1,2,0,2,2
Santiago Xiacui,2,0,1,2,1,1,2
Santiago Yosondua,2,2,1,1,0,0,1
Nuevo Zoquiapam,1,1,0,1,0,0,1
Santo Domingo Ingenio,1,1,0,1,0,0,1
Santo Domingo Chihuitan,1,1,0,1,0,1,1
Santo Domingo Ixcatlan,1,1,0,1,0,1,1
Santo Domingo Nuxaa,1,1,0,1,0,1,1
Santo Domingo Petapa,1,1,0,1,0,1,1
Santo Domingo Tehuantepec,10,9,3,6,1,7,6
Santo Domingo Tepuxtepec,1,1,0,1,0,0,1
Santo Domingo Tlatayapam,1,0,0,1,0,1,1
Santo Domingo Tonaltepec,1,0,0,1,0,1,1
Santo Domingo Xagacia,1,1,0,0,0,1,0
Santo Domingo Yanhuitlan,1,1,1,1,0,1,1
Santo Domingo Zanatepec,3,3,0,2,2,3,2
Santos Reyes Nopala,2,2,2,2,2,1,2
Santos Reyes Papalo,1,1,1,0,0,1,0
Santos Reyes Tepejillo,1,1,0,1,0,1,1
Santos Reyes Yucuna,1,1,0,0,0,0,0
Santo Tomas Jalieza,1,1,0,0,0,1,0
Santo Tomas Mazaltepec,1,1,1,0,0,1,0
Santo Tomas Ocotepec,1,1,0,1,0,1,1
San Vicente Lachixio,1,1,0,0,1,1,0
San Vicente Nuñu,1,1,0,0,0,1,0
Silacayoapam,7,7,2,6,2,1,6
Soledad Etla,1,1,1,0,0,1,0
Villa de Tamazulapam del Progreso,1,1,0,0,0,1,0
Tataltepec de Valdes,1,1,0,0,0,1,0
Teococuilco de Marcos Perez,1,1,0,0,0,1,0
Teotitlan del Valle,2,2,0,2,1,2,2
Teotongo,1,1,0,1,0,1,1
Tepelmeme Villa de Morelos,1,1,1,1,0,1,1
Tezoatlan de Segura y Luna,9,9,1,8,1,1,8
San Jeronimo Tlacochahuaya,3,3,0,1,0,2,1
Tlacolula de Matamoros,4,4,0,0,0,2,0
Tlacotepec Plumas,1,1,1,1,0,1,1
Tlalixtac de Cabrera,1,1,0,1,0,1,1
Totontepec Villa de Morelos,5,1,1,2,1,2,2
La Trinidad Vista Hermosa,1,1,0,1,0,0,1
Valerio Trujano,1,1,0,0,0,1,0
Villa Diaz Ordaz,3,3,2,1,2,0,1
Yaxe,1,1,0,0,0,1,0
Magdalena Yodocono de Porfirio Diaz,1,1,0,1,0,1,1
Yutanduchi de Guerrero,1,1,0,0,0,1,0
Zapotitlan del Rio,2,2,0,1,2,1,1
Zapotitlan Lagunas,1,0,0,0,0,1,0
Zapotitlan Palmas,1,1,0,0,0,0,0
Santa Ines de Zaragoza,1,1,0,1,0,1,1
Zimatlan de alvarez,4,3,0,1,0,4,1
Puebla,407,320,45,88,25,144,88
Acajete,4,3,0,1,0,4,1
Acatlan,4,3,0,2,1,3,2
Acatzingo,4,3,1,0,0,2,0
Acteopan,2,1,0,1,0,0,1
Ahuazotepec,1,0,0,0,1,0,0
Ajalpan,6,4,2,2,2,2,2
Albino Zertuche,1,1,1,0,0,0,0
