INEGI. IX Censo Ejidal 2007,,,,,,,
Ejidos y comunidades medidos por alguna institucion o empresa segun hayan optado,,,,,,cuadro 37,
por el dominio pleno de sus tierras por entidad federativa y municipio,,,,,,,
entidad_federativa_y_municipio,ejidos_y_comunidades_medidos,ejidos_y_comunidades_que_optaron_por_el_dominio_pleno_total,ejidos_y_comunidades_que_optaron_por_el_dominio_pleno_para_todo_el_ejido_o_comunidad_,ejidos_y_comunidades_que_optaron_por_el_dominio_pleno_solo_para_una_parte_del_ejido_total,ejidos_y_comunidades_que_optaron_por_el_dominio_pleno_solo_para_una_parte_del_ejido_ejidatarios,superficie_en_dominio_pleno_(ha),unidad_de_medida
Teloloapan,25,1,1,0,0,447.6900,Hectarea
Tepecoacuilco de Trujano,23,0,0,0,0,0.0000,Hectarea
Tetipac,5,1,0,1,100,20.0000,Hectarea
Tixtla de Guerrero,10,1,1,0,0,2.0000,Hectarea
Tlacoachistlahuaca,12,0,0,0,0,0.0000,Hectarea
Tlacoapa,2,0,0,0,0,0.0000,Hectarea
Tlalchapa,16,0,0,0,0,0.0000,Hectarea
Tlalixtaquilla de Maldonado,5,0,0,0,0,0.0000,Hectarea
Tlapa de Comonfort,25,8,7,1,325,12688.0000,Hectarea
Tlapehuala,11,0,0,0,0,0.0000,Hectarea
La Union de Isidoro Montes de Oca,28,5,0,5,127,1700.0000,Hectarea
Xalpatlahuac,6,3,2,1,15,769.6600,Hectarea
Xochihuehuetlan,5,2,2,0,0,4001.2700,Hectarea
Xochistlahuaca,6,0,0,0,0,0.0000,Hectarea
Zapotitlan Tablas,1,0,0,0,0,0.0000,Hectarea
Zirandaro,28,23,22,1,120,92829.0000,Hectarea
Zitlala,10,0,0,0,0,0.0000,Hectarea
Eduardo Neri,15,0,0,0,0,0.0000,Hectarea
Acatepec,1,0,0,0,0,0.0000,Hectarea
Marquelia,3,0,0,0,0,0.0000,Hectarea
Cochoapa el Grande,1,0,0,0,0,0.0000,Hectarea
Juchitan,1,0,0,0,0,0.0000,Hectarea
Iliatenco,4,1,1,0,0,680.3600,Hectarea
Hidalgo,1056,182,119,63,2323,22991.8000,Hectarea
Acatlan,15,3,3,0,0,32.0000,Hectarea
Acaxochitlan,13,0,0,0,0,0.0000,Hectarea
Actopan,11,1,1,0,0,0.0000,Hectarea
Agua Blanca de Iturbide,9,2,0,2,46,366.2400,Hectarea
Ajacuba,6,0,0,0,0,0.0000,Hectarea
Alfajayucan,26,0,0,0,0,0.0000,Hectarea
Almoloya,13,2,0,2,28,215.0000,Hectarea
Apan,15,5,4,1,1,909.0100,Hectarea
El Arenal,8,1,1,0,0,40.0000,Hectarea
Atitalaquia,5,0,0,0,0,0.0000,Hectarea
Atlapexco,4,0,0,0,0,0.0000,Hectarea
Atotonilco el Grande,21,4,1,3,311,1243.0000,Hectarea
Atotonilco de Tula,6,0,0,0,0,0.0000,Hectarea
Calnali,3,1,0,1,10,7.5000,Hectarea
Cardonal,16,2,0,2,4,12.5000,Hectarea
Cuautepec de Hinojosa,23,3,1,2,80,261.0000,Hectarea
Chapantongo,14,1,0,1,2,3.0000,Hectarea
Chapulhuacan,21,1,0,1,1,1.0000,Hectarea
Chilcuautla,3,0,0,0,0,0.0000,Hectarea
Eloxochitlan,5,1,1,0,0,0.0000,Hectarea
Emiliano Zapata,4,3,3,0,0,1152.6800,Hectarea
Epazoyucan,12,3,1,2,85,299.0000,Hectarea
Francisco I. Madero,2,1,0,1,30,155.0000,Hectarea
Huasca de Ocampo,27,2,1,1,25,75.0000,Hectarea
Huautla,41,0,0,0,0,0.0000,Hectarea
Huazalingo,10,0,0,0,0,0.0000,Hectarea
Huehuetla,3,2,2,0,0,184.0000,Hectarea
Huejutla de Reyes,39,4,4,0,0,0.0000,Hectarea
Huichapan,35,4,2,2,10,214.0000,Hectarea
Ixmiquilpan,20,13,12,1,2,3787.1000,Hectarea
Jacala de Ledezma,11,2,2,0,0,869.0000,Hectarea
Jaltocan,15,0,0,0,0,0.0000,Hectarea
Juarez Hidalgo,2,1,1,0,0,0.0000,Hectarea
Lolotla,10,0,0,0,0,0.0000,Hectarea
Metepec,11,1,0,1,35,140.0000,Hectarea
San Agustin Metzquititlan,7,4,4,0,0,0.0000,Hectarea
Metztitlan,21,0,0,0,0,0.0000,Hectarea
Mineral del Chico,6,0,0,0,0,0.0000,Hectarea
Mineral del Monte,2,2,0,2,34,48.0000,Hectarea
Mixquiahuala de Juarez,6,0,0,0,0,0.0000,Hectarea
Molango de Escamilla,11,0,0,0,0,0.0000,Hectarea
Nicolas Flores,4,2,2,0,0,82.0000,Hectarea
Nopala de Villagran,9,1,0,1,50,25.0000,Hectarea
Omitlan de Juarez,4,1,1,0,0,2.0000,Hectarea
San Felipe Orizatlan,78,24,23,1,45,435.0000,Hectarea
Pacula,2,0,0,0,0,0.0000,Hectarea
Pachuca de Soto,6,5,3,2,115,903.0000,Hectarea
Pisaflores,6,0,0,0,0,0.0000,Hectarea
Progreso de Obregon,1,0,0,0,0,0.0000,Hectarea
Mineral de la Reforma,7,3,0,3,64,492.1400,Hectarea
San Agustin Tlaxiaca,9,4,1,3,91,26.0000,Hectarea
San Bartolo Tutotepec,3,0,0,0,0,0.0000,Hectarea
San Salvador,16,2,1,1,3,7.0000,Hectarea
Santiago de Anaya,10,0,0,0,0,0.0000,Hectarea
Santiago Tulantepec de Lugo Guerrero,6,3,2,1,35,168.4400,Hectarea
Singuilucan,15,3,0,3,15,112.0000,Hectarea
Tasquillo,13,1,0,1,40,20.0000,Hectarea
Tecozautla,30,1,1,0,0,9.0000,Hectarea
Tenango de Doria,4,3,2,1,40,131.0000,Hectarea
Tepeapulco,9,1,1,0,0,40.0000,Hectarea
Tepehuacan de Guerrero,25,0,0,0,0,0.0000,Hectarea
Tepeji del Rio de Ocampo,16,3,1,2,21,61.0000,Hectarea
Tepetitlan,11,0,0,0,0,0.0000,Hectarea
Tetepango,2,0,0,0,0,0.0000,Hectarea
Villa de Tezontepec,1,1,1,0,0,624.6900,Hectarea
Tezontepec de Aldama,2,0,0,0,0,0.0000,Hectarea
Tianguistengo,21,9,8,1,70,452.0000,Hectarea
Tizayuca,3,2,0,2,527,1610.0000,Hectarea
Tlahuelilpan,1,0,0,0,0,0.0000,Hectarea
Tlahuiltepa,7,0,0,0,0,0.0000,Hectarea
Tlanalapa,3,2,2,0,0,167.0000,Hectarea
Tlanchinol,29,2,2,0,0,360.0000,Hectarea
Tlaxcoapan,4,0,0,0,0,0.0000,Hectarea
Tolcayuca,3,1,0,1,2,4.0000,Hectarea
Tula de Allende,21,9,4,5,121,405.0000,Hectarea
Tulancingo de Bravo,14,8,2,6,116,501.0000,Hectarea
Xochiatipan,21,0,0,0,0,0.0000,Hectarea
Xochicoatlan,12,3,3,0,0,196.0000,Hectarea
Yahualica,13,0,0,0,0,0.0000,Hectarea
Zacualtipan de angeles,16,6,5,1,32,1231.0000,Hectarea
Zapotlan de Juarez,3,3,2,1,200,1537.0000,Hectarea
Zempoala,24,3,1,2,32,547.5000,Hectarea
Zimapan,40,7,7,0,0,2829.0000,Hectarea
Jalisco,1331,277,183,94,1048,84906.7500,Hectarea
Acatic,2,0,0,0,0,0.0000,Hectarea
Acatlan de Juarez,7,2,1,1,34,192.0000,Hectarea
Ahualulco de Mercado,8,5,2,3,120,6083.6000,Hectarea
Amacueca,1,0,0,0,0,0.0000,Hectarea
Amatitan,5,0,0,0,0,0.0000,Hectarea
Ameca,44,4,3,1,3,56.0000,Hectarea
San Juanito de Escobedo,5,0,0,0,0,0.0000,Hectarea
Arandas,1,1,1,0,0,500.0000,Hectarea
El Arenal,3,1,1,0,0,300.0000,Hectarea
Atemajac de Brizuela,9,1,0,1,3,100.0000,Hectarea
Atengo,12,0,0,0,0,0.0000,Hectarea
Atenguillo,5,1,1,0,0,200.0000,Hectarea
Atotonilco el Alto,18,9,7,2,32,3079.3200,Hectarea
Atoyac,10,2,1,1,1,448.7000,Hectarea
Autlan de Navarro,23,16,13,3,15,4539.0000,Hectarea
Ayotlan,15,0,0,0,0,0.0000,Hectarea
Ayutla,26,0,0,0,0,0.0000,Hectarea
La Barca,27,2,0,2,12,187.0000,Hectarea
Cabo Corrientes,17,8,7,1,4,798.0000,Hectarea
Casimiro Castillo,13,2,2,0,0,250.0000,Hectarea
Cihuatlan,13,2,2,0,0,270.0000,Hectarea
Zapotlan el Grande,4,1,0,1,150,900.0000,Hectarea
Cocula,19,4,4,0,0,5579.0000,Hectarea
Colotlan,7,1,1,0,0,13.0000,Hectarea
Concepcion de Buenos Aires,11,0,0,0,0,0.0000,Hectarea
Cuautitlan de Garcia Barragan,8,0,0,0,0,0.0000,Hectarea
Cuautla,4,0,0,0,0,0.0000,Hectarea
Cuquio,13,2,1,1,1,1.0000,Hectarea
Chapala,4,4,1,3,49,125.0000,Hectarea
Chimaltitan,2,0,0,0,0,0.0000,Hectarea
Chiquilistlan,6,0,0,0,0,0.0000,Hectarea
Degollado,21,0,0,0,0,0.0000,Hectarea
Ejutla,3,3,3,0,0,2261.0000,Hectarea
Encarnacion de Diaz,11,6,5,1,12,4538.0000,Hectarea
Etzatlan,10,5,4,1,9,4821.0000,Hectarea
El Grullo,8,5,4,1,8,482.0500,Hectarea
Guachinango,11,2,1,1,6,20.0000,Hectarea
Guadalajara,1,0,0,0,0,0.0000,Hectarea
Hostotipaquillo,15,1,1,0,0,200.0000,Hectarea
Huejucar,5,1,0,1,30,2.0000,Hectarea
Huejuquilla el Alto,3,2,2,0,0,400.0000,Hectarea
La Huerta,29,5,2,3,58,4528.5000,Hectarea
Ixtlahuacan de los Membrillos,10,6,0,6,50,215.0000,Hectarea
Ixtlahuacan del Rio,11,4,2,2,15,85.0000,Hectarea
Jamay,4,1,0,1,5,3.0000,Hectarea
Jesus Maria,2,1,1,0,0,130.0000,Hectarea
Jilotlan de los Dolores,22,2,0,2,31,1000.0000,Hectarea
Jocotepec,14,4,0,4,29,156.0000,Hectarea
Juanacatlan,6,1,0,1,3,15.0000,Hectarea
Juchitlan,5,0,0,0,0,0.0000,Hectarea
Lagos de Moreno,43,29,28,1,30,3520.0000,Hectarea
El Limon,5,2,2,0,0,610.0000,Hectarea
Magdalena,10,1,1,0,0,250.0000,Hectarea
Santa Maria del Oro,4,0,0,0,0,0.0000,Hectarea
La Manzanilla de la Paz,9,0,0,0,0,0.0000,Hectarea
Mascota,14,0,0,0,0,0.0000,Hectarea
Mazamitla,18,3,0,3,11,24.5000,Hectarea
Mexticacan,3,1,1,0,0,0.0000,Hectarea
Mezquitic,6,4,3,1,20,3380.7700,Hectarea
Mixtlan,4,0,0,0,0,0.0000,Hectarea
Ocotlan,16,4,1,3,12,56.5000,Hectarea
Ojuelos de Jalisco,18,7,7,0,0,9266.8200,Hectarea
Pihuamo,16,1,1,0,0,50.0000,Hectarea
Poncitlan,15,5,5,0,0,665.0000,Hectarea
Puerto Vallarta,15,4,3,1,10,1600.0000,Hectarea
Villa Purificacion,10,0,0,0,0,0.0000,Hectarea
Quitupan,24,2,0,2,3,26.0000,Hectarea
El Salto,2,1,1,0,0,25.0000,Hectarea
San Cristobal de la Barranca,2,0,0,0,0,0.0000,Hectarea
San Diego de Alejandria,1,0,0,0,0,0.0000,Hectarea
San Juan de los Lagos,3,2,2,0,0,334.0000,Hectarea
San Marcos,4,0,0,0,0,0.0000,Hectarea
San Martin Hidalgo,18,0,0,0,0,0.0000,Hectarea
San Miguel el Alto,1,0,0,0,0,0.0000,Hectarea
Gomez Farias,5,2,2,0,0,188.0000,Hectarea
San Sebastian del Oeste,14,0,0,0,0,0.0000,Hectarea
Santa Maria de los angeles,10,1,1,0,0,872.0000,Hectarea
Sayula,5,2,1,1,35,267.0000,Hectarea
Tala,13,5,2,3,14,184.5300,Hectarea
Talpa de Allende,16,0,0,0,0,0.0000,Hectarea
Tamazula de Gordiano,33,3,1,2,2,1240.0000,Hectarea
Tapalpa,8,1,0,1,18,72.0000,Hectarea
Tecalitlan,17,0,0,0,0,0.0000,Hectarea
Tecolotlan,20,1,1,0,0,21.0000,Hectarea
Techaluta de Montenegro,2,0,0,0,0,0.0000,Hectarea
Tenamaxtlan,12,1,0,1,1,5.0000,Hectarea
Teocaltiche,11,3,2,1,10,1896.4000,Hectarea
Teocuitatlan de Corona,26,0,0,0,0,0.0000,Hectarea
Tepatitlan de Morelos,2,0,0,0,0,0.0000,Hectarea
Tequila,14,1,1,0,0,13.0000,Hectarea
Teuchitlan,6,0,0,0,0,0.0000,Hectarea
Tizapan el Alto,14,1,0,1,20,20.0000,Hectarea
Tlajomulco de Zuñiga,22,13,6,7,35,1559.2700,Hectarea
Tlaquepaque,7,3,0,3,25,77.0000,Hectarea
Toliman,11,0,0,0,0,0.0000,Hectarea
Tomatlan,31,6,3,3,28,3321.6300,Hectarea
Tonala,8,5,2,3,7,55.0000,Hectarea
Tonaya,2,0,0,0,0,0.0000,Hectarea
Tonila,8,2,1,1,6,88.0000,Hectarea
Tototlan,22,7,6,1,22,149.0000,Hectarea
Tuxcacuesco,8,0,0,0,0,0.0000,Hectarea
Tuxcueca,5,1,1,0,0,900.0000,Hectarea
Tuxpan,14,3,3,0,0,2527.0000,Hectarea
Union de San Antonio,16,3,2,1,1,34.0000,Hectarea
Union de Tula,14,3,2,1,3,1790.0000,Hectarea
Valle de Guadalupe,1,0,0,0,0,0.0000,Hectarea
Valle de Juarez,8,2,2,0,0,256.0000,Hectarea
San Gabriel,18,0,0,0,0,0.0000,Hectarea
Villa Corona,5,4,3,1,2,3111.0000,Hectarea
Villa Guerrero,1,1,1,0,0,0.0000,Hectarea
Villa Hidalgo,4,2,2,0,0,1638.1600,Hectarea
Cañadas de Obregon,1,1,1,0,0,0.0000,Hectarea
Yahualica de Gonzalez Gallo,2,0,0,0,0,0.0000,Hectarea
Zacoalco de Torres,16,2,1,1,4,22.0000,Hectarea
Zapopan,31,11,7,4,42,2227.0000,Hectarea
Zapotiltic,18,1,0,1,1,50.0000,Hectarea
Zapotitlan de Vadillo,4,0,0,0,0,0.0000,Hectarea
Zapotlan del Rey,21,2,1,1,1,25.0000,Hectarea
Zapotlanejo,11,1,0,1,5,11.0000,Hectarea
Mexico,1075,307,250,57,4801,75122.2500,Hectarea
Acambay,28,5,5,0,0,1484.0000,Hectarea
Acolman,13,4,3,1,108,775.0000,Hectarea
Aculco,20,0,0,0,0,0.0000,Hectarea
Almoloya de Alquisiras,9,1,1,0,0,7.0000,Hectarea
Almoloya de Juarez,36,6,4,2,44,506.0000,Hectarea
Amanalco,18,3,3,0,0,6.0000,Hectarea
Amatepec,17,2,2,0,0,0.0000,Hectarea
Amecameca,8,2,1,1,93,240.0000,Hectarea
Apaxco,1,0,0,0,0,0.0000,Hectarea
Atenco,5,3,2,1,227,756.4800,Hectarea
Atizapan,1,0,0,0,0,0.0000,Hectarea
Atizapan de Zaragoza,1,0,0,0,0,0.0000,Hectarea
Atlacomulco,22,15,15,0,0,4227.7500,Hectarea
Atlautla,2,0,0,0,0,0.0000,Hectarea
Axapusco,16,2,2,0,0,500.0000,Hectarea
Ayapango,4,1,1,0,0,207.0000,Hectarea
Calimaya,8,3,1,2,203,50.8200,Hectarea
Capulhuac,1,0,0,0,0,0.0000,Hectarea
Coacalco de Berriozabal,2,2,1,1,120,231.0400,Hectarea
Coatepec Harinas,10,0,0,0,0,0.0000,Hectarea
Cocotitlan,2,1,1,0,0,0.0000,Hectarea
Coyotepec,1,0,0,0,0,0.0000,Hectarea
Cuautitlan,2,1,0,1,49,73.0000,Hectarea
Chalco,11,7,7,0,0,1124.0000,Hectarea
Chapa de Mota,15,2,2,0,0,411.0000,Hectarea
Chapultepec,1,1,1,0,0,250.0000,Hectarea
Chiautla,5,0,0,0,0,0.0000,Hectarea
Chicoloapan,1,0,0,0,0,0.0000,Hectarea
Chiconcuac,1,0,0,0,0,0.0000,Hectarea
Chimalhuacan,1,0,0,0,0,0.0000,Hectarea
Donato Guerra,13,2,1,1,170,782.0000,Hectarea
Ecatepec de Morelos,6,4,3,1,156,397.5400,Hectarea
Ecatzingo,2,0,0,0,0,0.0000,Hectarea
Huehuetoca,3,3,0,3,126,32.0000,Hectarea
Hueypoxtla,11,2,2,0,0,1110.0000,Hectarea
Huixquilucan,4,0,0,0,0,0.0000,Hectarea
Isidro Fabela,4,1,1,0,0,0.0000,Hectarea
Ixtapaluca,5,3,3,0,0,30.1600,Hectarea
Ixtapan de la Sal,2,0,0,0,0,0.0000,Hectarea
Ixtapan del Oro,8,0,0,0,0,0.0000,Hectarea
Ixtlahuaca,32,7,6,1,10,713.6100,Hectarea
Jaltenco,1,0,0,0,0,0.0000,Hectarea
Jilotepec,30,14,6,8,139,4024.0000,Hectarea
Jilotzingo,4,3,3,0,0,0.0000,Hectarea
Jiquipilco,14,8,8,0,0,5157.0000,Hectarea
Jocotitlan,13,2,0,2,650,440.0000,Hectarea
Juchitepec,2,0,0,0,0,0.0000,Hectarea
Lerma,14,3,3,0,0,330.0000,Hectarea
Malinalco,13,0,0,0,0,0.0000,Hectarea
Melchor Ocampo,3,0,0,0,0,0.0000,Hectarea
Metepec,5,0,0,0,0,0.0000,Hectarea
Mexicaltzingo,1,0,0,0,0,0.0000,Hectarea
Morelos,11,3,3,0,0,4297.0000,Hectarea
Naucalpan de Juarez,6,2,1,1,38,34.0000,Hectarea
Nextlalpan,3,0,0,0,0,0.0000,Hectarea
Nicolas Romero,6,0,0,0,0,0.0000,Hectarea
Nopaltepec,4,2,1,1,40,146.0000,Hectarea
Ocoyoacac,4,1,1,0,0,0.0000,Hectarea
Ocuilan,3,1,1,0,0,106.3500,Hectarea
El Oro,11,9,8,1,290,4528.1500,Hectarea
Otumba,10,1,1,0,0,100.0000,Hectarea
Otzoloapan,2,1,1,0,0,55.0000,Hectarea
Otzolotepec,9,0,0,0,0,0.0000,Hectarea
Ozumba,4,1,1,0,0,0.0000,Hectarea
Papalotla,1,0,0,0,0,0.0000,Hectarea
La Paz,1,1,0,1,61,61.0000,Hectarea
Polotitlan,10,5,5,0,0,1410.5000,Hectarea
Rayon,4,2,2,0,0,240.1900,Hectarea
San Antonio la Isla,2,2,2,0,0,162.7200,Hectarea
San Felipe del Progreso,43,8,7,1,180,988.0000,Hectarea
San Martin de las Piramides,8,3,1,2,97,152.0000,Hectarea
San Simon de Guerrero,1,0,0,0,0,0.0000,Hectarea
Santo Tomas,6,1,1,0,0,110.0000,Hectarea
Soyaniquilpan de Juarez,7,7,6,1,58,6944.2400,Hectarea
Sultepec,6,3,3,0,0,908.0000,Hectarea
Tecamac,10,5,4,1,10,283.0000,Hectarea
Tejupilco,13,1,1,0,0,0.0000,Hectarea
Temamatla,2,1,1,0,0,0.0000,Hectarea
Temascalapa,11,0,0,0,0,0.0000,Hectarea
Temascalcingo,20,16,6,10,1519,7650.1900,Hectarea
Temascaltepec,32,16,14,2,16,2713.0000,Hectarea
Temoaya,7,5,5,0,0,1057.8100,Hectarea
Tenancingo,21,1,1,0,0,100.0000,Hectarea
Tenango del Aire,3,0,0,0,0,0.0000,Hectarea
Tenango del Valle,11,0,0,0,0,0.0000,Hectarea
Teoloyucan,3,3,3,0,0,532.0000,Hectarea
Teotihuacan,8,2,1,1,45,61.0000,Hectarea
Tepetlaoxtoc,8,1,1,0,0,748.0000,Hectarea
Tepetlixpa,4,2,2,0,0,1171.0000,Hectarea
Tepotzotlan,5,2,2,0,0,59.0000,Hectarea
Tequixquiac,2,0,0,0,0,0.0000,Hectarea
Texcaltitlan,4,4,4,0,0,1335.0000,Hectarea
Texcalyacac,1,0,0,0,0,0.0000,Hectarea
Texcoco,30,10,8,2,63,859.0000,Hectarea
Tezoyuca,2,0,0,0,0,0.0000,Hectarea
Tianguistenco,1,0,0,0,0,0.0000,Hectarea
Timilpan,6,1,1,0,0,1500.0000,Hectarea
Tlalmanalco,6,1,1,0,0,23.0000,Hectarea
Tlalnepantla de Baz,5,1,1,0,0,135.0000,Hectarea
Tlatlaya,21,1,1,0,0,0.0000,Hectarea
Toluca,18,5,4,1,8,951.5000,Hectarea
Tonatico,5,1,1,0,0,200.0000,Hectarea
Tultepec,2,0,0,0,0,0.0000,Hectarea
Tultitlan,4,4,4,0,0,208.5000,Hectarea
Valle de Bravo,19,8,7,1,112,808.0000,Hectarea
Villa de Allende,30,4,2,2,13,534.2800,Hectarea
Villa del Carbon,11,1,1,0,0,0.0000,Hectarea
Villa Guerrero,9,4,4,0,0,80.0000,Hectarea
Villa Victoria,23,12,12,0,0,4887.9200,Hectarea
Xonacatlan,3,1,1,0,0,1030.0000,Hectarea
Zacazonapan,2,2,2,0,0,336.0000,Hectarea
Zacualpan,12,5,3,2,28,183.5000,Hectarea
Zinacantepec,16,1,1,0,0,25.0000,Hectarea
Zumpahuacan,2,1,1,0,0,47.0000,Hectarea
Zumpango,8,1,0,1,10,10.0000,Hectarea
Cuautitlan Izcalli,7,6,6,0,0,1088.0000,Hectarea
Valle de Chalco Solidaridad,2,2,2,0,0,54.0000,Hectarea
Luvianos,3,1,1,0,0,2000.0000,Hectarea
San Jose del Rincon,49,9,8,1,118,343.0000,Hectarea
Michoacan de Ocampo,1693,456,350,106,2123,343001.7500,Hectarea
Acuitzio,3,2,2,0,0,602.0000,Hectarea
Aguililla,16,6,6,0,0,9067.7400,Hectarea
alvaro Obregon,22,4,1,3,17,63.5000,Hectarea
Angamacutiro,21,0,0,0,0,0.0000,Hectarea
Angangueo,5,0,0,0,0,0.0000,Hectarea
Apatzingan,50,10,4,6,127,4689.0000,Hectarea
Aporo,3,3,3,0,0,941.0000,Hectarea
Aquila,5,3,3,0,0,130016.0000,Hectarea
Ario,39,13,13,0,0,7283.8500,Hectarea
Arteaga,19,15,15,0,0,19519.0000,Hectarea
Briseñas,4,1,0,1,100,800.0000,Hectarea
Buenavista,43,10,10,0,0,2053.0000,Hectarea
Caracuaro,12,6,5,1,3,6230.0000,Hectarea
Coahuayana,12,5,5,0,0,7164.0000,Hectarea
Coalcoman de Vazquez Pallares,10,7,6,1,32,12508.0000,Hectarea
Coeneo,32,7,6,1,13,1182.0000,Hectarea
Contepec,28,2,0,2,4,8.0000,Hectarea
Copandaro,5,0,0,0,0,0.0000,Hectarea
Cotija,17,12,11,1,1,2984.0000,Hectarea
Cuitzeo,8,4,0,4,40,269.6100,Hectarea
Charapan,3,3,3,0,0,200.0000,Hectarea
Charo,13,3,0,3,39,88.0000,Hectarea
Chavinda,12,1,1,0,0,18.0000,Hectarea
Chilchota,3,1,1,0,0,0.0000,Hectarea
Chinicuila,7,6,6,0,0,11336.0000,Hectarea
Chucandiro,8,0,0,0,0,0.0000,Hectarea
Churintzio,15,3,0,3,7,27.0000,Hectarea
Churumuco,24,5,5,0,0,4542.7300,Hectarea
Ecuandureo,17,2,0,2,6,29.8000,Hectarea
Epitacio Huerta,15,0,0,0,0,0.0000,Hectarea
Erongaricuaro,9,9,9,0,0,2101.0000,Hectarea
Gabriel Zamora,7,1,1,0,0,1321.4900,Hectarea
Hidalgo,22,11,10,1,8,4786.9000,Hectarea
La Huacana,64,17,17,0,0,8860.4000,Hectarea
Huandacareo,5,0,0,0,0,0.0000,Hectarea
Huaniqueo,14,0,0,0,0,0.0000,Hectarea
Huetamo,52,3,2,1,10,6572.3300,Hectarea
Huiramba,4,0,0,0,0,0.0000,Hectarea
Indaparapeo,10,0,0,0,0,0.0000,Hectarea
Irimbo,6,0,0,0,0,0.0000,Hectarea
Ixtlan,13,10,10,0,0,4411.2600,Hectarea
Jacona,4,4,2,2,154,650.0000,Hectarea
Jimenez,19,2,0,2,4,12.0000,Hectarea
Jiquilpan,10,0,0,0,0,0.0000,Hectarea
Juarez,9,4,3,1,10,3210.0000,Hectarea
Jungapeo,14,1,0,1,12,12.0000,Hectarea
Lagunillas,1,0,0,0,0,0.0000,Hectarea
Madero,15,0,0,0,0,0.0000,Hectarea
Maravatio,33,3,3,0,0,516.0000,Hectarea
Marcos Castellanos,8,0,0,0,0,0.0000,Hectarea
Lazaro Cardenas,18,8,4,4,32,299.1500,Hectarea
Morelia,69,21,9,12,181,3044.0000,Hectarea
Morelos,5,0,0,0,0,0.0000,Hectarea
Mugica,5,0,0,0,0,0.0000,Hectarea
Nahuatzen,3,0,0,0,0,0.0000,Hectarea
Nocupetaro,11,2,2,0,0,700.0000,Hectarea
Nuevo Parangaricutiro,3,0,0,0,0,0.0000,Hectarea
Nuevo Urecho,11,0,0,0,0,0.0000,Hectarea
Numaran,8,1,1,0,0,251.0000,Hectarea
Ocampo,8,0,0,0,0,0.0000,Hectarea
Pajacuaran,9,4,4,0,0,1961.2500,Hectarea
Panindicuaro,17,5,3,2,32,906.2500,Hectarea
Paracuaro,20,0,0,0,0,0.0000,Hectarea
Paracho,4,2,2,0,0,5584.0000,Hectarea
Patzcuaro,28,8,8,0,0,2321.5000,Hectarea
Penjamillo,20,0,0,0,0,0.0000,Hectarea
Periban,8,0,0,0,0,0.0000,Hectarea
La Piedad,24,7,6,1,7,807.8100,Hectarea
Purepero,2,1,0,1,1,2.0000,Hectarea
Puruandiro,33,4,1,3,11,136.0000,Hectarea
Querendaro,7,0,0,0,0,0.0000,Hectarea
Quiroga,1,1,1,0,0,216.0000,Hectarea
Cojumatlan de Regules,10,0,0,0,0,0.0000,Hectarea
Los Reyes,18,15,15,0,0,6278.7000,Hectarea
Sahuayo,5,4,3,1,6,50.0000,Hectarea
San Lucas,26,0,0,0,0,0.0000,Hectarea
Santa Ana Maya,8,0,0,0,0,0.0000,Hectarea
Salvador Escalante,36,14,13,1,38,7709.8000,Hectarea
Senguio,15,5,3,2,13,172.0000,Hectarea
Susupuato,13,6,5,1,25,2072.0000,Hectarea
Tacambaro,18,4,4,0,0,209.0000,Hectarea
Tancitaro,10,0,0,0,0,0.0000,Hectarea
Tangamandapio,9,4,3,1,3,144.0000,Hectarea
Tangancicuaro,16,6,6,0,0,1571.5400,Hectarea
Tanhuato,11,5,5,0,0,2308.0000,Hectarea
Taretan,12,8,7,1,3,5678.0000,Hectarea
Tarimbaro,28,17,7,10,92,831.0000,Hectarea
Tepalcatepec,34,1,1,0,0,20.0000,Hectarea
Tingambato,2,1,1,0,0,6.0000,Hectarea
Tingüindin,6,4,3,1,220,2983.0000,Hectarea
Tiquicheo de Nicolas Romero,17,0,0,0,0,0.0000,Hectarea
Tlalpujahua,11,3,1,2,7,12.0000,Hectarea
Tlazazalca,6,0,0,0,0,0.0000,Hectarea
Tocumbo,9,5,5,0,0,0.0000,Hectarea
Tumbiscatio,12,3,3,0,0,12250.0000,Hectarea
Turicato,17,0,0,0,0,0.0000,Hectarea
Tuxpan,16,16,14,2,93,5620.5000,Hectarea
Tuzantla,24,0,0,0,0,0.0000,Hectarea
Tzintzuntzan,4,2,2,0,0,851.0000,Hectarea
Tzitzio,4,1,1,0,0,713.0000,Hectarea
Uruapan,25,8,3,5,60,4832.5000,Hectarea
Venustiano Carranza,8,3,1,2,4,30.5000,Hectarea
Villamar,16,3,3,0,0,1295.0000,Hectarea
Vista Hermosa,3,1,1,0,0,305.0000,Hectarea
Yurecuaro,12,7,7,0,0,1829.0000,Hectarea
Zacapu,19,9,1,8,283,761.5000,Hectarea
Zamora,26,6,2,4,39,509.0000,Hectarea
Zinaparo,7,0,0,0,0,0.0000,Hectarea
Zinapecuaro,27,2,0,2,15,60.0000,Hectarea
Ziracuaretiro,8,6,4,2,306,1846.1400,Hectarea
Zitacuaro,26,19,18,1,63,11643.0000,Hectarea
Jose Sixto Verduzco,15,5,4,1,2,106.0000,Hectarea
Morelos,212,37,20,17,247,1592.4000,Hectarea
Amacuzac,4,1,0,1,1,7.0000,Hectarea
Atlatlahucan,2,2,0,2,33,84.0000,Hectarea
