INEGI. IX Censo Ejidal 2007,,,,,,,
Ejidos y comunidades medidos por alguna institucion o empresa segun hayan optado,,,,,,cuadro 37,
por el dominio pleno de sus tierras por entidad federativa y municipio,,,,,,,
entidad_federativa_y_municipio,ejidos_y_comunidades_medidos,ejidos_y_comunidades_que_optaron_por_el_dominio_pleno_total,ejidos_y_comunidades_que_optaron_por_el_dominio_pleno_para_todo_el_ejido_o_comunidad_,ejidos_y_comunidades_que_optaron_por_el_dominio_pleno_solo_para_una_parte_del_ejido_total,ejidos_y_comunidades_que_optaron_por_el_dominio_pleno_solo_para_una_parte_del_ejido_ejidatarios,superficie_en_dominio_pleno_(ha),unidad_de_medida
Bochil,34,2,2,0,0,0.0000,Hectarea
El Bosque,8,0,0,0,0,0.0000,Hectarea
Cacahoatan,19,0,0,0,0,0.0000,Hectarea
Catazaja,27,0,0,0,0,0.0000,Hectarea
Cintalapa,63,1,1,0,0,34.0000,Hectarea
Coapilla,8,1,1,0,0,446.2600,Hectarea
Comitan de Dominguez,25,7,7,0,0,3198.7800,Hectarea
La Concordia,38,26,26,0,0,29825.9400,Hectarea
Copainala,14,1,1,0,0,101.7400,Hectarea
Chamula,3,0,0,0,0,0.0000,Hectarea
Chapultenango,9,2,2,0,0,6435.0000,Hectarea
Chenalho,4,1,0,1,40,80.3300,Hectarea
Chiapa de Corzo,42,3,3,0,0,4472.9300,Hectarea
Chiapilla,2,0,0,0,0,0.0000,Hectarea
Chicomuselo,22,10,9,1,338,19424.0000,Hectarea
Chilon,14,4,4,0,0,414.0000,Hectarea
Escuintla,29,0,0,0,0,0.0000,Hectarea
Francisco Leon,5,0,0,0,0,0.0000,Hectarea
Frontera Comalapa,20,17,15,2,57,12496.0000,Hectarea
Frontera Hidalgo,2,1,1,0,0,0.5000,Hectarea
La Grandeza,2,1,1,0,0,2084.0000,Hectarea
Huehuetan,18,1,0,1,2,5.0000,Hectarea
Huixtan,11,5,1,4,217,3386.0000,Hectarea
Huitiupan,26,0,0,0,0,0.0000,Hectarea
Huixtla,20,0,0,0,0,0.0000,Hectarea
La Independencia,14,8,4,4,303,3720.0000,Hectarea
Ixhuatan,6,1,1,0,0,584.0000,Hectarea
Ixtacomitan,11,2,2,0,0,500.0000,Hectarea
Ixtapa,29,1,1,0,0,1000.0000,Hectarea
Ixtapangajoya,3,0,0,0,0,0.0000,Hectarea
Jiquipilas,64,0,0,0,0,0.0000,Hectarea
Jitotol,18,13,12,1,200,10335.0000,Hectarea
Juarez,6,0,0,0,0,0.0000,Hectarea
Larrainzar,3,0,0,0,0,0.0000,Hectarea
La Libertad,4,0,0,0,0,0.0000,Hectarea
Mapastepec,55,1,1,0,0,1500.0000,Hectarea
Las Margaritas,59,10,9,1,32,1941.5000,Hectarea
Mazatan,15,1,0,1,4,34.0000,Hectarea
Metapa,1,0,0,0,0,0.0000,Hectarea
Mitontic,1,0,0,0,0,0.0000,Hectarea
Motozintla,24,23,21,2,138,11606.0000,Hectarea
Ocosingo,63,15,14,1,49,11541.7500,Hectarea
Ocotepec,1,0,0,0,0,0.0000,Hectarea
Ocozocoautla de Espinosa,65,19,16,3,455,10981.2900,Hectarea
Ostuacan,28,3,3,0,0,51.5000,Hectarea
Osumacinta,3,0,0,0,0,0.0000,Hectarea
Oxchuc,2,0,0,0,0,0.0000,Hectarea
Palenque,118,0,0,0,0,0.0000,Hectarea
Pantelho,5,0,0,0,0,0.0000,Hectarea
Pantepec,6,0,0,0,0,0.0000,Hectarea
Pichucalco,7,1,1,0,0,4000.0000,Hectarea
Pijijiapan,67,1,1,0,0,0.0000,Hectarea
El Porvenir,2,1,1,0,0,1778.0000,Hectarea
Villa Comaltitlan,18,0,0,0,0,0.0000,Hectarea
Pueblo Nuevo Solistahuacan,15,4,3,1,12,132.0000,Hectarea
Rayon,2,2,2,0,0,320.0000,Hectarea
Reforma,7,0,0,0,0,0.0000,Hectarea
Las Rosas,15,4,4,0,0,2471.0000,Hectarea
Sabanilla,15,0,0,0,0,0.0000,Hectarea
