INEGI. IX Censo Ejidal 2007,,,,,,,,,,
Ejidos y comunidades con bodegas y naves propias segun cantidad y capacidad,,,,,,,,,,cuadro 24
por entidad federativa y municipio,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
entidad_federativa_y_municipio,ejidos_y_comunidades_con_bodegas,cantidad_con_bodegas,superficie,unidad_de_medida,ejidos_y_comunidades_con_naves_para_aves,cantidad_con_naves_para_aves,capacidad_en_numero_de_cabezas,ejidos_y_comunidades_con_naves_para_cerdos,cantidad_con_naves_para_cerdos,capacidad_en_numero_de_cabezas
Chiapa de Corzo,6,11,4670,Metros,0,0,0,0,0,0
Chiapilla,1,1,200,Metros,0,0,0,0,0,0
Chicomuselo,2,5,86,Metros,0,0,0,0,0,0
Chilon,1,1,320,Metros,0,0,0,0,0,0
Escuintla,2,3,600,Metros,0,0,0,0,0,0
Frontera Comalapa,6,18,2410,Metros,0,0,0,0,0,0
Frontera Hidalgo,1,1,8750,Metros,0,0,0,0,0,0
La Grandeza,1,1,450,Metros,0,0,0,0,0,0
Huehuetan,1,1,660,Metros,0,0,0,0,0,0
Huixtla,1,1,91,Metros,0,0,0,0,0,0
La Independencia,4,5,1058,Metros,0,0,0,1,1,40
Ixhuatan,1,2,600,Metros,0,0,0,0,0,0
Ixtapa,1,1,1000,Metros,0,0,0,0,0,0
Ixtapangajoya,0,0,0,Metros,1,1,200,1,1,50
Jiquipilas,8,20,12530,Metros,0,0,0,0,0,0
Juarez,1,1,222,Metros,0,0,0,0,0,0
Mapastepec,2,2,2072,Metros,0,0,0,0,0,0
Las Margaritas,3,3,1208,Metros,2,2,350,3,3,250
Metapa,1,1,5600,Metros,0,0,0,0,0,0
Motozintla,1,1,800,Metros,0,0,0,0,0,0
Ocosingo,3,5,3100,Metros,0,0,0,0,0,0
Ocozocoautla de Espinosa,5,8,3466,Metros,0,0,0,0,0,0
Palenque,1,1,168,Metros,0,0,0,0,0,0
Pichucalco,1,1,800,Metros,0,0,0,0,0,0
Pijijiapan,4,5,927,Metros,0,0,0,0,0,0
El Porvenir,1,2,900,Metros,0,0,0,0,0,0
Villa Comaltitlan,1,1,5000,Metros,0,0,0,0,0,0
Las Rosas,0,0,0,Metros,0,0,0,1,1,30
Salto de Agua,1,1,144,Metros,0,0,0,0,0,0
Siltepec,5,5,1150,Metros,0,0,0,0,0,0
Soyalo,1,1,300,Metros,0,0,0,0,0,0
Suchiapa,2,4,12460,Metros,0,0,0,0,0,0
Suchiate,1,1,4900,Metros,0,0,0,0,0,0
Tapachula,1,1,60,Metros,0,0,0,1,2,140
