INEGI. IX Censo Ejidal 2007,,,,,,,,,,
Ejidos y comunidades con bodegas y naves propias segun cantidad y capacidad,,,,,,,,,,cuadro 24
por entidad federativa y municipio,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
entidad_federativa_y_municipio,ejidos_y_comunidades_con_bodegas,cantidad_con_bodegas,superficie,unidad_de_medida,ejidos_y_comunidades_con_naves_para_aves,cantidad_con_naves_para_aves,capacidad_en_numero_de_cabezas,ejidos_y_comunidades_con_naves_para_cerdos,cantidad_con_naves_para_cerdos,capacidad_en_numero_de_cabezas
Etzatlan,7,16,4710,Metros,0,0,0,0,0,0
El Grullo,3,4,696,Metros,0,0,0,0,0,0
Guachinango,6,10,1801,Metros,0,0,0,0,0,0
Hostotipaquillo,8,11,1216,Metros,0,0,0,0,0,0
Huejucar,1,1,288,Metros,0,0,0,0,0,0
Huejuquilla el Alto,2,4,318,Metros,0,0,0,0,0,0
La Huerta,4,4,1703,Metros,0,0,0,2,5,450
Ixtlahuacan de los Membrillos,6,13,3990,Metros,2,15,75000,2,13,3700
Ixtlahuacan del Rio,8,22,15992,Metros,0,0,0,0,0,0
Jalostotitlan,1,1,120,Metros,0,0,0,0,0,0
Jamay,3,3,4021,Metros,0,0,0,0,0,0
Jesus Maria,1,1,140,Metros,0,0,0,0,0,0
Jilotlan de los Dolores,1,10,8548,Metros,0,0,0,0,0,0
Jocotepec,9,12,4557,Metros,0,0,0,1,1,50
Juanacatlan,5,10,3976,Metros,1,1,6000,0,0,0
Juchitlan,4,5,804,Metros,0,0,0,0,0,0
Lagos de Moreno,15,17,2588,Metros,0,0,0,0,0,0
El Limon,2,6,2750,Metros,0,0,0,1,3,300
Magdalena,6,10,1918,Metros,0,0,0,0,0,0
Mascota,5,17,5927,Metros,0,0,0,0,0,0
Mazamitla,5,5,964,Metros,0,0,0,0,0,0
Mezquitic,3,4,694,Metros,1,10,1000,0,0,0
Mixtlan,1,2,160,Metros,0,0,0,1,3,300
Ocotlan,9,17,6054,Metros,0,0,0,0,0,0
Ojuelos de Jalisco,8,11,8584,Metros,0,0,0,0,0,0
Pihuamo,7,24,2481,Metros,0,0,0,0,0,0
Poncitlan,5,7,9738,Metros,0,0,0,0,0,0
Puerto Vallarta,5,5,3196,Metros,1,6,80,2,3,1060
Villa Purificacion,2,3,840,Metros,0,0,0,0,0,0
San Diego de Alejandria,1,2,190,Metros,0,0,0,0,0,0
San Juan de los Lagos,3,3,1800,Metros,1,4,800000,0,0,0
San Marcos,3,6,1236,Metros,0,0,0,0,0,0
San Martin Hidalgo,7,9,505,Metros,0,0,0,0,0,0
Gomez Farias,5,8,3368,Metros,0,0,0,0,0,0
San Sebastian del Oeste,1,1,35,Metros,0,0,0,0,0,0
Santa Maria de los angeles,5,5,1183,Metros,0,0,0,0,0,0
Sayula,2,2,400,Metros,0,0,0,0,0,0
Tala,8,30,27890,Metros,0,0,0,0,0,0
Talpa de Allende,4,15,3894,Metros,0,0,0,0,0,0
Tamazula de Gordiano,13,15,6153,Metros,0,0,0,5,11,2670
Tapalpa,3,5,669,Metros,0,0,0,0,0,0
Tecalitlan,5,6,1140,Metros,0,0,0,0,0,0
Tecolotlan,12,20,2107,Metros,1,1,15000,0,0,0
Techaluta de Montenegro,1,1,60,Metros,0,0,0,0,0,0
Tenamaxtlan,8,16,2658,Metros,0,0,0,0,0,0
Teocaltiche,2,5,1130,Metros,0,0,0,0,0,0
Teocuitatlan de Corona,7,8,5751,Metros,0,0,0,0,0,0
Tequila,3,3,394,Metros,0,0,0,0,0,0
Teuchitlan,6,12,2870,Metros,0,0,0,1,1,49
Tizapan el Alto,5,5,736,Metros,0,0,0,0,0,0
Tlajomulco de Zuñiga,20,28,23197,Metros,1,1,3000,0,0,0
Tlaquepaque,3,3,725,Metros,1,1,30000,1,3,6000
Toliman,4,11,1520,Metros,0,0,0,0,0,0
Tomatlan,20,27,9174,Metros,0,0,0,0,0,0
Tonala,3,7,5270,Metros,0,0,0,2,21,15050
Tonaya,1,2,500,Metros,0,0,0,0,0,0
Tonila,7,11,3652,Metros,0,0,0,1,1,50
Tototlan,1,1,105,Metros,0,0,0,0,0,0
Tuxcacuesco,3,3,516,Metros,0,0,0,0,0,0
Tuxcueca,1,1,80,Metros,0,0,0,0,0,0
Tuxpan,8,8,3649,Metros,0,0,0,0,0,0
Union de San Antonio,6,9,944,Metros,0,0,0,0,0,0
Union de Tula,8,10,12353,Metros,0,0,0,0,0,0
San Gabriel,10,23,9130,Metros,0,0,0,0,0,0
Villa Corona,5,8,4600,Metros,0,0,0,0,0,0
Villa Guerrero,1,1,192,Metros,0,0,0,0,0,0
Zacoalco de Torres,2,4,1644,Metros,0,0,0,0,0,0
Zapopan,11,32,25620,Metros,1,6,10000,0,0,0
Zapotiltic,11,12,4540,Metros,0,0,0,1,1,50
Zapotitlan de Vadillo,2,2,330,Metros,0,0,0,0,0,0
Zapotlan del Rey,4,6,1348,Metros,0,0,0,0,0,0
Zapotlanejo,5,5,1670,Metros,0,0,0,0,0,0
Mexico,209,342,229003,Metros,7,44,111100,17,37,4170
Acambay,5,8,1490,Metros,0,0,0,0,0,0
Acolman,3,7,2000,Metros,0,0,0,0,0,0
Aculco,6,7,4025,Metros,0,0,0,0,0,0
Almoloya de Alquisiras,1,4,1000,Metros,0,0,0,0,0,0
Almoloya de Juarez,9,18,23890,Metros,1,1,5000,1,5,500
Almoloya del Rio,1,1,500,Metros,0,0,0,0,0,0
Amanalco,5,6,6115,Metros,0,0,0,0,0,0
Amatepec,4,5,3340,Metros,0,0,0,0,0,0
Amecameca,1,1,90,Metros,0,0,0,0,0,0
Apaxco,1,1,1000,Metros,0,0,0,0,0,0
Atenco,1,1,16,Metros,0,0,0,0,0,0
Atlacomulco,4,6,1170,Metros,0,0,0,0,0,0
Atlautla,2,2,2375,Metros,0,0,0,0,0,0
Axapusco,1,1,800,Metros,0,0,0,0,0,0
Ayapango,1,2,160,Metros,0,0,0,0,0,0
Calimaya,0,0,0,Metros,0,0,0,1,1,240
Coatepec Harinas,2,3,3300,Metros,0,0,0,0,0,0
Cocotitlan,1,1,150,Metros,0,0,0,0,0,0
Chalco,2,5,1700,Metros,0,0,0,0,0,0
Chapa de Mota,2,3,4684,Metros,0,0,0,0,0,0
Chapultepec,1,1,300,Metros,0,0,0,0,0,0
Donato Guerra,3,7,2400,Metros,0,0,0,0,0,0
Ecatepec de Morelos,1,1,1100,Metros,0,0,0,0,0,0
Ecatzingo,1,1,7500,Metros,0,0,0,0,0,0
Huehuetoca,1,1,1800,Metros,0,0,0,0,0,0
Hueypoxtla,2,4,1828,Metros,0,0,0,0,0,0
Isidro Fabela,1,1,130,Metros,0,0,0,0,0,0
Ixtapaluca,3,4,10500,Metros,0,0,0,0,0,0
Ixtapan de la Sal,1,2,1600,Metros,0,0,0,0,0,0
Ixtapan del Oro,2,2,550,Metros,0,0,0,0,0,0
Ixtlahuaca,7,10,3714,Metros,0,0,0,1,1,100
Jilotepec,7,13,3650,Metros,1,6,60000,0,0,0
Jiquipilco,4,9,5030,Metros,0,0,0,0,0,0
Jocotitlan,5,11,2920,Metros,0,0,0,0,0,0
Joquicingo,1,2,400,Metros,0,0,0,0,0,0
Juchitepec,2,5,7680,Metros,0,0,0,0,0,0
Lerma,6,7,2090,Metros,0,0,0,0,0,0
Malinalco,2,3,1200,Metros,0,0,0,0,0,0
Melchor Ocampo,0,0,0,Metros,0,0,0,1,1,50
Mexicaltzingo,1,2,600,Metros,0,0,0,0,0,0
Morelos,3,6,2040,Metros,0,0,0,0,0,0
Naucalpan de Juarez,1,2,500,Metros,1,12,36000,0,0,0
Nicolas Romero,4,7,7900,Metros,0,0,0,1,1,50
Ocoyoacac,1,1,40,Metros,0,0,0,1,1,100
Ocuilan,2,3,700,Metros,0,0,0,0,0,0
El Oro,1,1,200,Metros,0,0,0,0,0,0
Otumba,1,1,120,Metros,0,0,0,0,0,0
Papalotla,0,0,0,Metros,0,0,0,1,1,200
Polotitlan,3,7,6575,Metros,0,0,0,0,0,0
Rayon,2,5,8950,Metros,0,0,0,0,0,0
San Felipe del Progreso,5,5,3960,Metros,0,0,0,0,0,0
San Martin de las Piramides,2,5,800,Metros,0,0,0,0,0,0
Soyaniquilpan de Juarez,4,7,905,Metros,0,0,0,0,0,0
Sultepec,1,1,150,Metros,0,0,0,0,0,0
Tecamac,1,5,5000,Metros,0,0,0,0,0,0
Tejupilco,3,4,1800,Metros,1,1,100,1,1,50
Temascalapa,2,2,212,Metros,0,0,0,0,0,0
Temascalcingo,2,2,1400,Metros,0,0,0,0,0,0
Temascaltepec,4,5,7300,Metros,0,0,0,0,0,0
Temoaya,3,6,3521,Metros,1,1,3000,0,0,0
Tenancingo,2,2,435,Metros,0,0,0,0,0,0
Tenango del Aire,2,2,690,Metros,0,0,0,0,0,0
Tenango del Valle,2,3,1200,Metros,1,3,6000,0,0,0
Teotihuacan,1,1,400,Metros,0,0,0,0,0,0
Tepetlixpa,1,2,5000,Metros,0,0,0,0,0,0
Tepotzotlan,1,1,200,Metros,0,0,0,0,0,0
Tequixquiac,1,4,3600,Metros,0,0,0,0,0,0
Texcaltitlan,1,1,1000,Metros,0,0,0,0,0,0
Texcalyacac,1,2,1000,Metros,0,0,0,0,0,0
Texcoco,5,7,2600,Metros,0,0,0,0,0,0
Tianguistenco,2,5,1900,Metros,0,0,0,1,1,500
Timilpan,2,3,3309,Metros,0,0,0,0,0,0
Tlalmanalco,1,1,144,Metros,0,0,0,0,0,0
Tlalnepantla de Baz,2,2,1030,Metros,0,0,0,0,0,0
Tlatlaya,8,9,5515,Metros,0,0,0,0,0,0
Toluca,2,2,1000,Metros,0,0,0,0,0,0
Tonatico,1,1,240,Metros,0,0,0,0,0,0
Valle de Bravo,0,0,0,Metros,0,0,0,1,1,100
Villa de Allende,4,7,3010,Metros,0,0,0,0,0,0
Villa del Carbon,2,6,8300,Metros,1,20,1000,1,1,100
Villa Guerrero,2,2,741,Metros,0,0,0,0,0,0
Villa Victoria,2,9,1250,Metros,0,0,0,0,0,0
Xonacatlan,1,1,8000,Metros,0,0,0,1,10,1000
Zacualpan,0,0,0,Metros,0,0,0,1,1,80
Zinacantepec,1,2,600,Metros,0,0,0,0,0,0
Zumpango,2,4,500,Metros,0,0,0,0,0,0
Cuautitlan Izcalli,1,2,2500,Metros,0,0,0,0,0,0
Valle de Chalco Solidaridad,1,1,300,Metros,0,0,0,0,0,0
Luvianos,3,6,4200,Metros,0,0,0,0,0,0
San Jose del Rincon,7,11,5470,Metros,0,0,0,4,11,1100
Michoacan de Ocampo,241,395,221766,Metros,10,38,87865,15,49,4660
Acuitzio,2,4,75,Metros,0,0,0,0,0,0
Aguililla,5,5,584,Metros,0,0,0,0,0,0
alvaro Obregon,5,7,1420,Metros,0,0,0,0,0,0
Angamacutiro,1,1,200,Metros,0,0,0,0,0,0
Angangueo,1,1,160,Metros,0,0,0,0,0,0
Apatzingan,9,9,3919,Metros,1,13,5000,2,2,110
Aquila,3,3,455,Metros,1,1,60,1,2,250
Ario,3,11,410,Metros,0,0,0,0,0,0
Arteaga,1,1,12,Metros,0,0,0,0,0,0
Briseñas,1,1,621,Metros,0,0,0,0,0,0
Buenavista,18,28,6167,Metros,0,0,0,2,2,100
Coahuayana,1,1,500,Metros,0,0,0,0,0,0
Coeneo,0,0,0,Metros,1,2,6000,0,0,0
Contepec,6,8,4600,Metros,0,0,0,0,0,0
Copandaro,3,4,2643,Metros,0,0,0,0,0,0
Cuitzeo,2,3,550,Metros,0,0,0,1,2,200
Charo,2,2,459,Metros,0,0,0,0,0,0
Chavinda,2,7,1270,Metros,0,0,0,0,0,0
Chucandiro,3,3,604,Metros,0,0,0,0,0,0
Ecuandureo,2,3,800,Metros,0,0,0,0,0,0
Epitacio Huerta,5,8,1910,Metros,0,0,0,0,0,0
Erongaricuaro,3,3,3596,Metros,0,0,0,0,0,0
Gabriel Zamora,1,4,2600,Metros,0,0,0,0,0,0
Hidalgo,2,4,5600,Metros,1,4,12000,0,0,0
La Huacana,6,6,2452,Metros,0,0,0,0,0,0
Huandacareo,1,1,565,Metros,0,0,0,0,0,0
Huaniqueo,0,0,0,Metros,0,0,0,1,1,100
Huetamo,1,1,300,Metros,0,0,0,0,0,0
Huiramba,1,4,500,Metros,0,0,0,0,0,0
Indaparapeo,5,7,10700,Metros,1,1,5000,0,0,0
Irimbo,2,6,2400,Metros,0,0,0,0,0,0
Jimenez,5,16,1085,Metros,0,0,0,0,0,0
Jiquilpan,1,4,400,Metros,0,0,0,0,0,0
Juarez,2,4,4467,Metros,0,0,0,0,0,0
Madero,2,2,410,Metros,0,0,0,0,0,0
Maravatio,4,8,2560,Metros,1,2,800,0,0,0
Lazaro Cardenas,2,4,10075,Metros,0,0,0,0,0,0
Morelia,15,22,9304,Metros,0,0,0,0,0,0
Morelos,4,4,2071,Metros,0,0,0,1,1,100
Mugica,5,6,6190,Metros,0,0,0,0,0,0
Nocupetaro,2,2,159,Metros,0,0,0,0,0,0
Nuevo Parangaricutiro,2,2,2400,Metros,0,0,0,0,0,0
Ocampo,3,3,422,Metros,0,0,0,0,0,0
Pajacuaran,4,9,1011,Metros,0,0,0,0,0,0
Paracuaro,3,4,3540,Metros,0,0,0,0,0,0
Paracho,1,1,800,Metros,0,0,0,0,0,0
Patzcuaro,1,1,900,Metros,0,0,0,0,0,0
Penjamillo,0,0,0,Metros,0,0,0,1,1,50
Puruandiro,5,11,7700,Metros,1,1,3000,1,20,2000
Querendaro,2,2,1300,Metros,0,0,0,0,0,0
Quiroga,1,2,140,Metros,0,0,0,0,0,0
Cojumatlan de Regules,1,1,120,Metros,0,0,0,0,0,0
Los Reyes,3,3,676,Metros,0,0,0,1,1,40
Sahuayo,1,1,3500,Metros,1,12,36000,1,2,200
San Lucas,1,1,62,Metros,0,0,0,0,0,0
Santa Ana Maya,1,2,1000,Metros,0,0,0,0,0,0
Salvador Escalante,3,7,779,Metros,0,0,0,0,0,0
Senguio,1,1,250,Metros,0,0,0,0,0,0
Tacambaro,1,1,450,Metros,0,0,0,0,0,0
Tangamandapio,1,1,600,Metros,0,0,0,0,0,0
Tangancicuaro,2,2,500,Metros,0,0,0,0,0,0
Tanhuato,1,1,325,Metros,0,0,0,0,0,0
Taretan,3,4,574,Metros,0,0,0,0,0,0
Tarimbaro,4,5,82,Metros,0,0,0,0,0,0
Tepalcatepec,8,10,8739,Metros,0,0,0,0,0,0
Tingambato,1,1,621,Metros,0,0,0,0,0,0
Tingüindin,1,1,41,Metros,0,0,0,0,0,0
Turicato,2,2,1854,Metros,0,0,0,0,0,0
Tzitzio,1,1,200,Metros,0,0,0,0,0,0
Uruapan,3,3,685,Metros,0,0,0,0,0,0
Venustiano Carranza,3,13,2550,Metros,0,0,0,0,0,0
Villamar,4,11,12700,Metros,0,0,0,0,0,0
Vista Hermosa,4,7,10367,Metros,0,0,0,0,0,0
Yurecuaro,2,3,1600,Metros,0,0,0,0,0,0
Zacapu,5,11,5632,Metros,0,0,0,0,0,0
Zamora,5,10,7480,Metros,0,0,0,0,0,0
Zinapecuaro,7,10,4668,Metros,0,0,0,1,1,50
Zitacuaro,7,14,16555,Metros,1,1,5,0,0,0
Jose Sixto Verduzco,4,15,28150,Metros,1,1,20000,2,14,1460
Morelos,86,114,65014,Metros,3,12,195000,4,6,1050
Amacuzac,2,2,740,Metros,0,0,0,0,0,0
Atlatlahucan,1,1,296,Metros,0,0,0,0,0,0
Axochiapan,2,2,500,Metros,0,0,0,1,1,200
Ayala,6,6,2030,Metros,2,9,185000,0,0,0
Cuautla,5,5,3450,Metros,0,0,0,0,0,0
Cuernavaca,1,1,200,Metros,0,0,0,0,0,0
Emiliano Zapata,1,1,1200,Metros,0,0,0,0,0,0
Jantetelco,4,4,1462,Metros,0,0,0,0,0,0
Jojutla,5,7,2338,Metros,0,0,0,0,0,0
Jonacatepec,3,4,850,Metros,0,0,0,1,1,500
Mazatepec,2,4,15300,Metros,0,0,0,0,0,0
Miacatlan,1,2,500,Metros,0,0,0,0,0,0
Ocuituco,5,7,1300,Metros,0,0,0,0,0,0
Puente de Ixtla,5,6,8050,Metros,0,0,0,0,0,0
Temixco,3,3,650,Metros,0,0,0,0,0,0
Tepalcingo,6,13,2459,Metros,0,0,0,1,3,300
Tetecala,2,2,125,Metros,0,0,0,1,1,50
Tetela del Volcan,1,1,120,Metros,0,0,0,0,0,0
Tlalnepantla,1,1,200,Metros,0,0,0,0,0,0
Tlaltizapan,8,10,3404,Metros,0,0,0,0,0,0
Tlaquiltenango,7,8,1630,Metros,1,3,10000,0,0,0
Tlayacapan,1,4,400,Metros,0,0,0,0,0,0
Totolapan,2,2,230,Metros,0,0,0,0,0,0
Xochitepec,3,8,760,Metros,0,0,0,0,0,0
Yautepec,3,3,1700,Metros,0,0,0,0,0,0
Yecapixtla,2,2,2050,Metros,0,0,0,0,0,0
Zacatepec de Hidalgo,1,1,70,Metros,0,0,0,0,0,0
Zacualpan de Amilpas,1,2,5000,Metros,0,0,0,0,0,0
Temoac,2,2,8000,Metros,0,0,0,0,0,0
Nayarit,108,188,147774,Metros,1,1,300,5,10,1250
Acaponeta,1,1,400,Metros,0,0,0,0,0,0
Ahuacatlan,5,13,5715,Metros,0,0,0,0,0,0
Amatlan de Cañas,5,14,5914,Metros,0,0,0,0,0,0
Compostela,8,18,20192,Metros,0,0,0,0,0,0
Ixtlan del Rio,2,4,616,Metros,0,0,0,0,0,0
Jala,6,9,8443,Metros,1,1,300,0,0,0
Xalisco,4,4,1441,Metros,0,0,0,0,0,0
Del Nayar,2,5,196,Metros,0,0,0,0,0,0
Rosamorada,5,9,3821,Metros,0,0,0,0,0,0
Ruiz,4,6,4000,Metros,0,0,0,0,0,0
San Blas,18,30,43782,Metros,0,0,0,1,5,500
San Pedro Lagunillas,2,7,120,Metros,0,0,0,3,4,700
Santa Maria del Oro,7,8,2820,Metros,0,0,0,0,0,0
Santiago Ixcuintla,8,16,18305,Metros,0,0,0,1,1,50
Tecuala,7,9,13982,Metros,0,0,0,0,0,0
Tepic,19,26,7741,Metros,0,0,0,0,0,0
Tuxpan,2,4,4800,Metros,0,0,0,0,0,0
Bahia de Banderas,3,5,5486,Metros,0,0,0,0,0,0
Nuevo Leon,88,120,55983,Metros,8,16,101050,3,17,2100
Los Aldamas,1,1,600,Metros,0,0,0,0,0,0
Anahuac,3,5,1020,Metros,0,0,0,0,0,0
Aramberri,6,9,2122,Metros,1,1,100,0,0,0
Bustamante,1,1,300,Metros,0,0,0,0,0,0
Cadereyta Jimenez,11,17,11825,Metros,0,0,0,0,0,0
China,2,2,2400,Metros,0,0,0,0,0,0
Dr. Arroyo,9,15,3452,Metros,1,2,6000,0,0,0
Galeana,24,37,26346,Metros,2,4,20000,1,10,1000
Garcia,1,2,140,Metros,0,0,0,0,0,0
Gral. Teran,7,7,1876,Metros,0,0,0,0,0,0
Hualahuises,0,0,0,Metros,1,1,450,1,1,100
Linares,11,11,3521,Metros,1,1,2000,1,6,1000
Mier y Noriega,1,1,90,Metros,0,0,0,0,0,0
Mina,2,2,179,Metros,1,6,72000,0,0,0
Montemorelos,5,6,912,Metros,0,0,0,0,0,0
Sabinas Hidalgo,1,1,200,Metros,0,0,0,0,0,0
Vallecillo,1,1,500,Metros,1,1,500,0,0,0
Villaldama,2,2,500,Metros,0,0,0,0,0,0
Oaxaca,195,245,131007,Metros,17,239,53390,12,17,1980
Abejones,1,1,621,Metros,0,0,0,0,0,0
Acatlan de Perez Figueroa,4,4,1875,Metros,0,0,0,0,0,0
Asuncion Cuyotepeji,0,0,0,Metros,1,1,500,0,0,0
Ayotzintepec,1,1,450,Metros,0,0,0,0,0,0
El Barrio de la Soledad,1,1,52,Metros,2,3,10000,1,4,800
Cienega de Zimatlan,1,1,60,Metros,0,0,0,0,0,0
Concepcion Papalo,1,1,25,Metros,0,0,0,0,0,0
Constancia del Rosario,1,1,40,Metros,0,0,0,0,0,0
Cosolapa,1,2,818,Metros,0,0,0,0,0,0
Cuilapam de Guerrero,0,0,0,Metros,1,4,150,1,1,200
Chahuites,1,1,2500,Metros,0,0,0,0,0,0
Guadalupe Etla,1,2,400,Metros,0,0,0,0,0,0
Heroica Ciudad de Huajuapan de Leon,2,2,1100,Metros,0,0,0,0,0,0
Ixtlan de Juarez,3,4,532,Metros,0,0,0,0,0,0
Heroica Ciudad de Juchitan de Zaragoza,2,2,106,Metros,0,0,0,0,0,0
Loma Bonita,2,2,220,Metros,2,2,3000,1,1,80
Magdalena Apasco,2,3,64,Metros,0,0,0,0,0,0
Magdalena Jaltepec,1,1,300,Metros,0,0,0,1,1,50
Santa Magdalena Jicotlan,1,1,200,Metros,0,0,0,0,0,0
Magdalena Zahuatlan,1,1,500,Metros,0,0,0,0,0,0
Mariscala de Juarez,1,2,3600,Metros,0,0,0,1,2,50
Miahuatlan de Porfirio Diaz,1,1,16,Metros,0,0,0,0,0,0
Nejapa de Madero,1,1,42,Metros,0,0,0,0,0,0
Ixpantepec Nieves,1,1,88,Metros,0,0,0,0,0,0
Santiago Niltepec,1,3,10000,Metros,0,0,0,0,0,0
Ocotlan de Morelos,1,1,45,Metros,0,0,0,0,0,0
Putla Villa de Guerrero,1,1,96,Metros,0,0,0,0,0,0
Reforma de Pineda,1,3,7500,Metros,0,0,0,0,0,0
Salina Cruz,2,2,1180,Metros,0,0,0,0,0,0
San Agustin Chayuco,3,3,720,Metros,0,0,0,0,0,0
San Agustin de las Juntas,1,1,150,Metros,0,0,0,0,0,0
San Andres Cabecera Nueva,1,1,300,Metros,0,0,0,0,0,0
San Andres Huaxpaltepec,1,1,1000,Metros,0,0,0,0,0,0
San Andres Ixtlahuaca,1,1,200,Metros,0,0,0,0,0,0
San Andres Sinaxtla,1,1,100,Metros,0,0,0,0,0,0
San Andres Teotilalpam,1,1,200,Metros,0,0,0,0,0,0
San Antonio Huitepec,1,1,200,Metros,0,0,0,0,0,0
San Baltazar Loxicha,2,2,280,Metros,1,200,3000,0,0,0
San Bartolo Coyotepec,1,2,2000,Metros,0,0,0,0,0,0
San Bartolome Ayautla,1,1,100,Metros,0,0,0,1,2,200
San Bartolome Loxicha,1,2,110,Metros,0,0,0,0,0,0
San Carlos Yautepec,1,2,32,Metros,0,0,0,0,0,0
San Cristobal Amatlan,2,2,8,Metros,0,0,0,0,0,0
San Cristobal Suchixtlahuaca,1,1,50,Metros,0,0,0,0,0,0
San Dionisio Ocotepec,1,1,100,Metros,0,0,0,0,0,0
San Esteban Atatlahuca,1,1,1000,Metros,0,0,0,0,0,0
San Felipe Usila,2,2,92,Metros,0,0,0,0,0,0
San Francisco Cahuacua,1,1,48,Metros,0,0,0,0,0,0
San Francisco del Mar,1,1,200,Metros,0,0,0,0,0,0
San Francisco Ixhuatan,2,3,2850,Metros,0,0,0,0,0,0
San Francisco Sola,1,1,120,Metros,0,0,0,0,0,0
San Ildefonso Amatlan,1,1,6,Metros,0,0,0,0,0,0
San Ildefonso Villa Alta,1,1,72,Metros,0,0,0,0,0,0
San Jeronimo Coatlan,2,2,25,Metros,0,0,0,0,0,0
San Jeronimo Silacayoapilla,1,1,50,Metros,0,0,0,0,0,0
San Jeronimo Sosola,1,1,75,Metros,0,0,0,0,0,0
San Juan Atepec,1,3,300,Metros,0,0,0,0,0,0
San Juan Bautista Cuicatlan,1,1,90,Metros,0,0,0,0,0,0
San Juan Bautista Tuxtepec,6,6,1586,Metros,0,0,0,0,0,0
San Juan Coatzospam,1,1,60,Metros,0,0,0,0,0,0
San Juan Colorado,1,1,240,Metros,0,0,0,0,0,0
San Juan Cotzocon,4,4,11460,Metros,0,0,0,0,0,0
San Juan Chilateca,1,1,16,Metros,0,0,0,0,0,0
San Juan del Estado,1,2,250,Metros,0,0,0,0,0,0
San Juan Guichicovi,2,2,385,Metros,0,0,0,0,0,0
San Juan Juquila Vijanos,1,2,720,Metros,0,0,0,0,0,0
San Juan Lalana,1,1,450,Metros,0,0,0,0,0,0
San Juan Mazatlan,1,1,8,Metros,0,0,0,0,0,0
San Juan Quiahije,1,2,20,Metros,0,0,0,0,0,0
San Juan Yaee,1,2,50,Metros,0,0,0,0,0,0
San Lorenzo,1,1,35,Metros,0,0,0,0,0,0
San Lucas Ojitlan,1,1,50,Metros,0,0,0,0,0,0
San Martin Toxpalan,1,1,400,Metros,0,0,0,0,0,0
Capulalpam de Mendez,1,4,150,Metros,0,0,0,0,0,0
San Mateo Etlatongo,1,1,40,Metros,0,0,0,0,0,0
San Mateo Sindihui,1,2,148,Metros,0,0,0,0,0,0
San Miguel Achiutla,1,1,24,Metros,0,0,0,0,0,0
San Miguel Coatlan,1,1,12,Metros,0,0,0,0,0,0
San Miguel Peras,1,1,600,Metros,0,0,0,0,0,0
Villa Sola de Vega,4,4,1648,Metros,1,1,100,0,0,0
San Miguel Soyaltepec,1,1,200,Metros,0,0,0,0,0,0
Villa Talea de Castro,2,2,28,Metros,0,0,0,0,0,0
San Miguel Tecomatlan,1,1,1000,Metros,0,0,0,0,0,0
San Miguel Tlacamama,1,1,4,Metros,0,0,0,0,0,0
San Pablo Coatlan,1,1,300,Metros,0,0,0,0,0,0
San Pablo Cuatro Venados,1,1,96,Metros,0,0,0,0,0,0
San Pablo Etla,1,1,2500,Metros,0,0,0,0,0,0
San Pablo Huitzo,2,2,300,Metros,0,0,0,0,0,0
San Pablo Villa de Mitla,2,3,9664,Metros,0,0,0,0,0,0
San Pablo Yaganiza,1,1,16,Metros,0,0,0,0,0,0
San Pedro Comitancillo,1,1,1200,Metros,0,0,0,0,0,0
San Pedro Huamelula,1,1,112,Metros,0,0,0,0,0,0
San Pedro Ixcatlan,1,1,200,Metros,0,0,0,0,0,0
San Pedro Ixtlahuaca,1,1,1600,Metros,0,0,0,0,0,0
San Pedro Jaltepetongo,1,1,98,Metros,0,0,0,0,0,0
San Pedro Mixtepec -Dto. 26-,1,1,4,Metros,0,0,0,0,0,0
San Pedro Nopala,1,1,150,Metros,0,0,0,0,0,0
San Pedro Quiatoni,1,1,20,Metros,0,0,0,0,0,0
San Pedro Tapanatepec,1,2,634,Metros,0,0,0,0,0,0
San Pedro Teutila,1,1,374,Metros,0,0,0,0,0,0
San Pedro y San Pablo Teposcolula,2,2,1050,Metros,0,0,0,0,0,0
San Pedro y San Pablo Tequixtepec,2,2,200,Metros,2,3,10500,1,1,100
San Sebastian Abasolo,1,1,200,Metros,0,0,0,0,0,0
San Sebastian Nicananduta,1,1,300,Metros,0,0,0,0,0,0
San Sebastian Rio Hondo,1,2,10,Metros,0,0,0,0,0,0
San Sebastian Tutla,1,1,450,Metros,0,0,0,0,0,0
Santa Ana del Valle,1,1,250,Metros,0,0,0,0,0,0
Santa Catarina Lachatao,1,2,5200,Metros,0,0,0,0,0,0
Santa Catarina Quiane,2,3,2300,Metros,0,0,0,0,0,0
Santa Catarina Ticua,0,0,0,Metros,1,2,3000,0,0,0
Santa Catarina Zapoquila,1,1,30,Metros,0,0,0,0,0,0
Santa Cruz Mixtepec,2,2,2800,Metros,0,0,0,0,0,0
Santa Cruz Tacache de Mina,1,3,60,Metros,0,0,0,0,0,0
Santa Cruz Xoxocotlan,0,0,0,Metros,0,0,0,1,1,50
Santa Lucia Monteverde,0,0,0,Metros,0,0,0,1,1,100
Heroica Ciudad de Tlaxiaco,1,1,40,Metros,0,0,0,0,0,0
Santa Maria Cortijo,1,2,45,Metros,0,0,0,0,0,0
Santa Maria del Tule,1,1,200,Metros,0,0,0,0,0,0
Santa Maria Huazolotitlan,1,1,360,Metros,0,0,0,0,0,0
Santa Maria Jaltianguis,1,1,450,Metros,0,0,0,0,0,0
Santa Maria Sola,1,1,48,Metros,0,0,0,0,0,0
