INEGI. IX Censo Ejidal 2007,,,,,
Ejidos y comunidades con superficie parcelada segun uso agricola,,,,cuadro 2,
y riego por entidad federativa y municipio,,,,,
entidad_federativa_y_municipio,ejidos_y_comunidades_con_superficie_parcelada,superficie_parcelada_(ha),ejidos_y_comunidades_con_superficie_parcelada_con_agricultura_total,ejidos_y_comunidades_con_superficie_parcelada_con_agricultura_de_riego,unidad_de_medida
Estados Unidos Mexicanos,28538,33628597.1500,27049,10470,Hectarea
Aguascalientes,182,130752.7200,181,139,Hectarea
Aguascalientes,40,30179.7300,39,24,Hectarea
Asientos,34,25235.6200,34,29,Hectarea
Calvillo,8,7639.5000,8,7,Hectarea
Cosio,8,5936.4100,8,8,Hectarea
Jesus Maria,12,6122.0000,12,11,Hectarea
Pabellon de Arteaga,9,3985.2400,9,8,Hectarea
Rincon de Romos,13,10816.7000,13,10,Hectarea
San Jose de Gracia,8,6414.0900,8,2,Hectarea
Tepezala ,15,11707.8400,15,15,Hectarea
El Llano,24,16010.3200,24,15,Hectarea
San Francisco de los Romo,11,6705.2600,11,10,Hectarea
Baja California,208,2499351.2500,150,130,Hectarea
Ensenada,81,2042042.5600,57,39,Hectarea
Mexicali,108,408627.0700,87,86,Hectarea
Tecate,11,35706.7100,2,2,Hectarea
Tijuana,4,1593.8000,1,1,Hectarea
Playas de Rosarito,4,11381.1100,3,2,Hectarea
Baja California Sur,88,319210.0200,58,56,Hectarea
Comondu,15,102884.8600,13,13,Hectarea
Mulege,26,137258.0000,10,9,Hectarea
La Paz,26,55162.8100,20,19,Hectarea
Los Cabos,19,21385.3500,14,14,Hectarea
Loreto,2,2519.0000,1,1,Hectarea
Campeche,343,824837.9000,299,66,Hectarea
Calkini,7,131.0000,6,2,Hectarea
Campeche,31,63569.7100,28,20,Hectarea
Carmen,46,114889.5100,33,6,Hectarea
Champoton,55,227671.5000,54,11,Hectarea
Hecelchakan,10,1464.8700,9,3,Hectarea
Hopelchen,25,16673.1500,24,9,Hectarea
Palizada,4,9523.4000,3,0,Hectarea
Tenabo,9,3898.2000,9,6,Hectarea
Escarcega,38,162270.8300,38,6,Hectarea
Calakmul,62,33138.3800,40,0,Hectarea
Candelaria,56,191607.3500,55,3,Hectarea
Coahuila de Zaragoza,845,1576047.9900,780,433,Hectarea
Abasolo,4,5547.7500,4,2,Hectarea
Acuña,13,311078.0600,5,3,Hectarea
Allende,4,4146.0000,4,4,Hectarea
Arteaga,26,14471.8100,26,12,Hectarea
Candela,5,13365.0000,5,2,Hectarea
Castaños,23,37572.0000,22,1,Hectarea
Cuatro Cienegas,28,54215.8800,25,16,Hectarea
Escobedo,4,5968.5000,4,2,Hectarea
Francisco I. Madero,46,36274.3300,40,40,Hectarea
Frontera,6,11651.5100,6,3,Hectarea
General Cepeda,45,23875.1700,45,20,Hectarea
Guerrero,4,2754.6100,4,4,Hectarea
Hidalgo,2,1023.0000,2,2,Hectarea
Jimenez,19,14626.1900,19,18,Hectarea
Juarez,4,4873.0000,3,1,Hectarea
Lamadrid,1,553.0000,1,1,Hectarea
Matamoros,62,34376.3700,60,56,Hectarea
Monclova,8,9417.0000,6,3,Hectarea
Morelos,2,2829.0000,2,2,Hectarea
Muzquiz,14,79404.7000,11,2,Hectarea
Nadadores,8,6259.0000,8,6,Hectarea
Nava,5,8817.2500,5,3,Hectarea
Ocampo,42,289676.0600,37,7,Hectarea
Parras,74,128277.9000,72,25,Hectarea
Piedras Negras,5,12119.7100,5,1,Hectarea
Progreso,8,8849.1000,8,2,Hectarea
Ramos Arizpe,53,18897.5000,51,19,Hectarea
Sabinas,7,18585.5300,7,2,Hectarea
Sacramento,1,12.0000,1,1,Hectarea
Saltillo,83,54827.1600,82,11,Hectarea
San Buenaventura,13,16637.0000,13,11,Hectarea
San Juan de Sabinas,8,6248.0000,8,7,Hectarea
San Pedro,108,68901.2000,98,87,Hectarea
Sierra Mojada,23,162865.4100,17,0,Hectarea
Torreon,30,20766.3900,20,17,Hectarea
Viesca,34,25118.2300,32,22,Hectarea
Villa Union,11,15068.0000,11,7,Hectarea
Zaragoza,12,46099.6700,11,11,Hectarea
Colima,154,258363.0300,150,115,Hectarea
Armeria,9,23995.6800,9,9,Hectarea
Colima,21,32476.7500,21,12,Hectarea
Comala,11,8451.0800,11,5,Hectarea
Coquimatlan,14,17972.2000,14,14,Hectarea
Cuauhtemoc,11,22341.7700,11,7,Hectarea
Ixtlahuacan,11,21357.0000,10,10,Hectarea
Manzanillo,38,83543.1400,36,26,Hectarea
Minatitlan,10,16536.7000,10,8,Hectarea
Tecoman,22,25904.0900,21,20,Hectarea
Villa de alvarez,7,5784.6200,7,4,Hectarea
Chiapas,2494,2468356.9100,2425,262,Hectarea
Acacoyagua,18,12077.0000,18,1,Hectarea
Acala,27,19327.2500,27,4,Hectarea
Acapetahua,22,12421.0000,21,0,Hectarea
Altamirano,17,10170.3800,15,1,Hectarea
Amatan,19,13241.2500,19,0,Hectarea
Amatenango de la Frontera,13,18221.0000,13,4,Hectarea
Amatenango del Valle,2,695.0000,2,1,Hectarea
Angel Albino Corzo,9,19998.8400,8,0,Hectarea
Arriaga,23,26551.5000,21,0,Hectarea
Bejucal de Ocampo,3,3940.0000,3,2,Hectarea
Bella Vista,9,16950.0000,9,0,Hectarea
Berriozabal,15,10441.0000,15,1,Hectarea
Bochil,35,22048.4600,35,2,Hectarea
El Bosque,8,2921.2500,8,0,Hectarea
Cacahoatan,21,11355.9000,21,0,Hectarea
Catazaja,27,17758.6000,27,0,Hectarea
Cintalapa,67,63306.5700,67,16,Hectarea
Coapilla,7,8077.6200,7,0,Hectarea
Comitan de Dominguez,24,12131.7100,24,5,Hectarea
La Concordia,36,66235.2700,36,7,Hectarea
Copainala,14,17621.3700,14,1,Hectarea
Chalchihuitan,1,17560.0000,1,0,Hectarea
Chamula,4,2563.0000,4,1,Hectarea
Chanal,1,1510.0000,1,0,Hectarea
Chapultenango,9,12501.7500,8,0,Hectarea
Chenalho,10,22724.7300,10,0,Hectarea
Chiapa de Corzo,43,26157.0500,43,13,Hectarea
Chiapilla,2,3417.0000,2,1,Hectarea
Chicomuselo,31,46126.5000,31,0,Hectarea
Chilon,23,102024.0000,23,0,Hectarea
Escuintla,35,27741.0000,35,0,Hectarea
Francisco Leon,5,7068.5000,5,0,Hectarea
Frontera Comalapa,38,61988.5000,37,11,Hectarea
Frontera Hidalgo,2,1633.0000,1,1,Hectarea
La Grandeza,3,4171.0000,3,1,Hectarea
Huehuetan,19,11358.7900,19,4,Hectarea
Huixtan,18,22820.8500,18,0,Hectarea
Huitiupan,43,18412.1500,43,1,Hectarea
Huixtla,17,17120.5700,17,0,Hectarea
La Independencia,23,18998.0000,22,4,Hectarea
Ixhuatan,6,6489.0000,6,0,Hectarea
Ixtacomitan,12,5862.0000,12,0,Hectarea
Ixtapa,31,18357.9600,31,13,Hectarea
Ixtapangajoya,4,3018.5000,4,0,Hectarea
Jiquipilas,58,52178.0000,58,17,Hectarea
Jitotol,21,13095.0000,21,1,Hectarea
Juarez,6,5648.0000,6,0,Hectarea
Larrainzar,1,621.0000,1,0,Hectarea
La Libertad,4,5672.4000,4,0,Hectarea
Mapastepec,48,42878.0000,40,0,Hectarea
Las Margaritas,134,82098.8200,132,14,Hectarea
Mazapa de Madero,4,9190.0000,4,0,Hectarea
Mazatan,18,17708.0000,17,4,Hectarea
Metapa,1,839.0000,1,1,Hectarea
Mitontic,1,2199.5000,1,0,Hectarea
Motozintla,42,24668.5000,41,5,Hectarea
Ocosingo,90,110571.8800,88,1,Hectarea
Ocozocoautla de Espinosa,69,56706.9400,67,1,Hectarea
Ostuacan,27,23523.5000,23,0,Hectarea
Osumacinta,1,2938.1700,1,0,Hectarea
Oxchuc,3,15267.0000,3,0,Hectarea
Palenque,152,138537.8600,145,0,Hectarea
Pantelho,9,5809.0000,9,0,Hectarea
Pantepec,5,6783.6400,5,1,Hectarea
Pichucalco,8,7457.0000,8,0,Hectarea
Pijijiapan,66,61573.5000,57,0,Hectarea
El Porvenir,5,7291.0000,5,3,Hectarea
Villa Comaltitlan,18,18977.6000,18,0,Hectarea
Pueblo Nuevo Solistahuacan,18,16233.0000,18,1,Hectarea
Rayon,4,1550.0000,4,0,Hectarea
Reforma,7,7780.0000,6,0,Hectarea
Las Rosas,14,8834.8000,14,5,Hectarea
Sabanilla,16,14458.2300,16,0,Hectarea
Salto de Agua,84,73293.5000,82,0,Hectarea
San Cristobal de las Casas,15,9051.1500,15,2,Hectarea
San Fernando,16,9395.8700,16,1,Hectarea
Siltepec,18,44537.0000,18,2,Hectarea
Simojovel,31,12950.2600,31,1,Hectarea
Sitala,7,1461.0000,7,0,Hectarea
