INEGI. IX Censo Ejidal 2007,,,,,,,,,,,,,,,
Total de ejidos y comunidades segun tipo de actividad agropecuaria o forestal,,,,,,,,,,,,,,,CUADRO 18
y forma de explotacion por entidad federativa y municipio,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
entidada_federativa_y _municipio,ejidos_y_comunidades,actividad_agropecuaria_o_forestal_a_total_de_ejidos_y_comunidades_con_actividad_agropecuaria_o_forestal,actividad_agropecuaria_o_forestal_a_agricola_total,actividad_agropecuaria_o_forestal_a_agricola_realizada_por_la_mayoria,actividad_agropecuaria_o_forestal_a_agricola_en_forma_colectiva,actividad_agropecuaria_o_forestal_a_ganadera_total,actividad_agropecuaria_o_forestal_a_ganadera_realizada_por_la_mayoria,actividad_agropecuaria_o_forestal_a_ganadera_en_forma_colectiva,actividad_agropecuaria_o_forestal_a_forestal_total,actividad_agropecuaria_o_forestal_a_forestal_realizada_por_la_mayoria,actividad_agropecuaria_o_forestal_a_forestal_en_forma_colectiva,actividad_agropecuaria_o_forestal_a_recoleccion_total,actividad_agropecuaria_o_forestal_a_realizada_por_la_mayoria,actividad_agropecuaria_o_forestal_a_en_forma_colectiva,sin actividades_de_este_tipo
Guanacevi,40,40,35,18,0,40,26,0,19,18,12,38,34,0,0
Hidalgo,18,18,15,14,1,18,18,0,2,2,0,1,0,0,0
Inde,12,12,12,10,0,12,7,0,0,0,0,0,0,0,0
Lerdo,31,28,26,20,5,27,10,1,0,0,0,12,10,2,3
Mapimi,78,78,65,37,10,71,23,5,0,0,0,15,10,3,0
Mezquital,22,22,19,15,2,22,13,1,10,7,7,12,5,3,0
Nazas,24,24,24,22,0,23,10,0,0,0,0,20,12,2,0
Nombre de Dios,19,19,18,17,0,18,10,0,0,0,0,3,2,0,0
Ocampo,24,24,22,17,1,24,14,3,4,3,3,3,0,1,0
El Oro,25,25,23,20,2,25,18,2,0,0,0,4,4,0,0
Otaez,14,14,13,11,2,14,8,0,10,8,6,5,4,0,0
Panuco de Coronado,17,17,17,17,10,17,14,9,0,0,0,1,0,0,0
Peñon Blanco,5,5,4,4,0,5,2,1,0,0,0,2,1,0,0
Poanas,20,20,19,19,0,18,1,0,1,0,0,1,1,0,0
Pueblo Nuevo,24,24,22,14,4,24,11,2,22,16,21,8,3,3,0
Rodeo,29,29,28,27,0,29,2,0,0,0,0,9,4,1,0
San Bernardo,24,24,21,21,0,24,24,0,2,2,1,0,0,0,0
San Dimas,49,49,46,32,5,45,22,1,38,31,30,3,2,1,0
San Juan de Guadalupe,21,21,21,17,4,21,11,3,0,0,0,14,9,1,0
San Juan del Rio,22,22,20,18,1,22,18,1,0,0,0,1,1,0,0
San Luis del Cordero,C,C,2,2,0,2,2,0,0,0,0,0,0,0,C
San Pedro del Gallo,11,11,10,8,0,11,10,0,0,0,0,0,0,0,0
Santa Clara,6,6,6,6,0,6,6,0,0,0,0,2,2,0,0
Santiago Papasquiaro,62,62,56,48,4,61,47,3,22,22,21,3,2,0,0
Suchil,10,10,8,6,1,10,5,0,0,0,0,1,1,0,0
Tamazula,49,49,47,42,2,48,20,1,9,4,5,3,2,1,0
Tepehuanes,26,26,22,21,1,26,25,1,20,20,18,21,19,1,0
Tlahualilo,57,56,38,24,8,47,3,3,1,1,1,13,6,2,1
Topia,15,15,14,10,4,15,9,2,10,7,10,14,11,3,0
Vicente Guerrero,9,9,9,9,1,8,0,0,0,0,0,0,0,0,0
Nuevo Ideal,29,29,27,26,5,29,15,4,3,2,3,0,0,0,0
Guanajuato,1543,1542,1517,1414,84,1272,751,29,45,35,14,253,192,26,1
Abasolo,47,47,47,47,4,45,20,2,0,0,0,8,3,0,0
Acambaro,69,69,67,63,3,58,40,0,2,1,0,9,5,0,0
San Miguel de Allende,61,61,61,58,3,47,30,1,5,3,0,4,4,0,0
Apaseo el Alto,28,28,28,28,1,17,8,1,0,0,0,2,2,0,0
Apaseo el Grande,39,39,38,36,3,36,26,1,0,0,0,3,2,1,0
Atarjea,12,12,11,11,0,12,9,0,9,8,0,7,6,0,0
Celaya,40,40,40,39,2,35,23,0,0,0,0,0,0,0,0
Manuel Doblado,33,33,33,33,0,28,16,2,0,0,0,12,10,1,0
Comonfort,32,32,32,28,1,23,14,0,1,1,1,4,4,0,0
Coroneo,C,C,3,3,0,3,3,0,0,0,0,0,0,0,C
Cortazar,23,23,22,21,1,15,11,1,0,0,0,1,1,0,0
Cueramaro,15,15,15,15,0,14,9,0,0,0,0,5,4,0,0
Doctor Mora,5,5,5,5,0,5,4,0,0,0,0,0,0,0,0
Dolores Hidalgo Cuna de la Independencia Nal.,60,60,59,56,6,42,26,2,2,2,2,17,13,3,0
Guanajuato,29,28,26,23,2,21,14,0,7,7,3,7,7,3,1
Huanimaro,20,20,20,19,3,20,12,3,0,0,0,2,2,0,0
Irapuato,80,80,80,78,4,64,38,1,0,0,0,5,0,1,0
Jaral del Progreso,15,15,15,15,0,13,7,0,0,0,0,3,1,0,0
Jerecuaro,42,42,42,39,3,40,25,3,1,0,0,8,4,0,0
Leon,50,50,49,49,5,44,27,1,1,0,0,25,22,0,0
Moroleon,8,8,8,6,1,6,5,1,2,1,1,2,1,0,0
Ocampo,16,16,16,16,2,14,10,2,0,0,0,2,2,0,0
Penjamo,151,151,149,119,6,112,47,1,1,0,1,3,1,1,0
Pueblo Nuevo,6,6,6,6,0,3,3,0,0,0,0,0,0,0,0
Purisima del Rincon,11,11,11,9,0,10,6,0,0,0,0,7,6,1,0
Romita,47,47,47,46,1,44,34,1,0,0,0,6,6,1,0
Salamanca,54,54,54,51,7,36,18,0,0,0,0,5,3,1,0
Salvatierra,58,58,56,53,1,47,29,0,0,0,0,2,2,0,0
San Diego de la Union,34,34,32,21,4,25,19,1,2,1,0,10,10,7,0
San Felipe,81,81,79,79,8,75,46,1,2,2,1,29,25,3,0
San Francisco del Rincon,26,26,26,25,0,22,13,0,0,0,0,12,8,0,0
San Jose Iturbide,3,3,3,3,0,3,3,0,1,0,0,2,2,0,0
San Luis de la Paz,24,24,22,19,6,24,17,3,2,2,2,4,4,3,0
Santa Catarina,C,C,1,1,0,2,2,0,0,0,0,0,0,0,C
Santa Cruz de Juventino Rosas,26,26,26,24,0,23,8,0,2,2,1,1,1,0,0
Santiago Maravatio,9,9,8,7,0,8,7,0,0,0,0,0,0,0,0
Silao,64,64,63,59,1,57,33,0,0,0,0,8,5,0,0
Tarandacuao,3,3,3,3,0,3,1,0,0,0,0,0,0,0,0
Tarimoro,14,14,14,14,0,11,5,0,0,0,0,1,0,0,0
Tierra Blanca,3,3,2,2,0,3,2,0,0,0,0,2,2,0,0
Uriangato,9,9,9,6,1,9,7,0,0,0,0,0,0,0,0
Valle de Santiago,98,98,98,95,4,64,28,0,0,0,0,5,2,0,0
Victoria,15,15,13,11,1,14,10,0,1,1,1,5,2,0,0
Villagran,11,11,11,10,0,9,2,0,0,0,0,3,3,0,0
Xichu,14,14,14,13,0,14,7,0,4,4,1,6,2,0,0
Yuriria,53,53,53,50,0,52,27,1,0,0,0,16,15,0,0
Guerrero,1259,1259,1212,1106,50,1153,432,24,198,153,87,245,157,29,0
Acapulco de Juarez,45,45,44,36,1,40,3,0,9,4,2,11,5,1,0
Ahuacuotzingo,28,28,27,27,0,25,0,0,0,0,0,4,4,2,0
Ajuchitlan del Progreso,39,39,38,38,0,39,26,0,9,8,1,1,1,0,0
Alcozauca de Guerrero,14,14,13,12,1,14,0,0,2,2,2,3,3,1,0
Alpoyeca,5,5,5,5,0,5,0,0,1,1,0,0,0,0,0
Apaxtla,4,4,4,3,0,4,0,0,0,0,0,0,0,0,0
Arcelia,23,23,20,20,0,23,15,0,0,0,0,1,0,0,0
Atenango del Rio,14,14,12,11,1,14,13,1,1,0,0,0,0,0,0
Atlamajalcingo del Monte,7,7,7,7,0,5,1,0,0,0,0,3,3,1,0
Atlixtac,5,5,5,5,0,5,4,0,4,4,1,0,0,0,0
Atoyac de alvarez,36,36,36,33,0,33,5,0,9,7,3,0,0,0,0
Ayutla de los Libres,28,28,26,25,4,22,5,0,9,9,8,5,3,1,0
Azoyu,11,11,11,11,0,10,4,0,0,0,0,1,0,0,0
Benito Juarez,6,6,6,4,0,6,4,1,0,0,0,0,0,0,0
Buenavista de Cuellar,7,7,7,7,1,7,1,0,0,0,0,3,3,0,0
Coahuayutla de Jose Maria Izazaga,35,35,31,23,0,35,26,0,8,7,3,0,0,0,0
Cocula,16,16,16,12,0,16,2,0,0,0,0,3,3,0,0
Copala,6,6,6,6,0,6,5,0,0,0,0,1,1,0,0
Copalillo,9,9,9,8,0,9,2,0,0,0,0,0,0,0,0
Copanatoyac,8,8,6,6,0,8,8,0,5,4,0,8,8,0,0
Coyuca de Benitez,32,32,32,30,0,31,2,0,2,1,1,5,0,0,0
Coyuca de Catalan,56,56,55,53,0,56,23,0,2,2,0,4,1,0,0
Cuajinicuilapa,11,11,11,11,0,11,10,0,0,0,0,1,0,0,0
Cualac,C,C,1,0,0,1,1,1,0,0,0,0,0,0,C
Cuautepec,5,5,3,2,0,5,0,1,0,0,0,0,0,0,0
Cuetzala del Progreso,12,12,12,11,3,8,2,1,2,2,2,2,1,0,0
Cutzamala de Pinzon,33,33,31,30,3,33,23,1,0,0,0,2,0,0,0
Chilapa de alvarez,45,45,42,39,3,32,0,0,5,3,4,9,5,1,0
Chilpancingo de los Bravo,31,31,29,29,1,25,10,2,24,21,13,7,5,0,0
Florencio Villarreal,C,C,1,0,0,1,1,1,0,0,0,0,0,0,C
General Canuto A. Neri,5,5,5,4,0,4,3,0,0,0,0,0,0,0,0
General Heliodoro Castillo,7,7,7,7,0,7,2,1,4,3,2,3,2,1,0
Huamuxtitlan,8,8,8,7,0,8,0,0,0,0,0,0,0,0,0
Huitzuco de los Figueroa,21,21,21,20,0,21,16,0,0,0,0,5,4,4,0
Iguala de la Independencia,15,15,15,14,1,15,2,0,0,0,0,4,1,0,0
Igualapa,7,7,7,7,0,6,3,1,0,0,0,0,0,0,0
Ixcateopan de Cuauhtemoc,C,C,2,1,0,0,0,0,2,1,0,2,2,0,C
Jose Azueta,18,18,17,8,0,18,12,0,2,0,0,3,2,0,0
Juan R. Escudero,11,11,11,10,1,11,3,0,1,1,0,4,2,1,0
Leonardo Bravo,16,16,16,16,3,15,1,0,13,13,5,10,3,1,0
Malinaltepec,9,9,9,9,0,6,0,0,2,0,2,4,3,0,0
Martir de Cuilapan,11,11,10,10,0,10,0,0,1,1,1,0,0,0,0
Metlatonoc,9,9,8,8,0,8,0,0,4,0,0,0,0,0,0
Mochitlan,26,26,23,22,5,24,3,1,2,0,1,5,4,0,0
Olinala ,7,7,7,7,0,5,1,1,0,0,0,2,2,0,0
Ometepec,26,26,26,22,0,26,10,1,0,0,0,3,0,0,0
Petatlan,27,27,27,24,1,27,21,1,3,2,1,8,4,1,0
Pilcaya,6,6,6,4,0,6,2,0,0,0,0,6,1,0,0
Pungarabato,10,10,10,8,0,10,4,0,0,0,0,1,1,0,0
Quechultenango,26,26,26,25,1,25,5,1,5,3,3,7,5,1,0
San Luis Acatlan,23,23,22,21,1,14,4,0,10,9,7,1,0,0,0
San Marcos,33,33,32,29,0,32,17,0,7,7,3,26,26,2,0
San Miguel Totolapan,8,8,8,7,0,7,5,1,2,1,1,0,0,0,0
Taxco de Alarcon,23,23,23,19,0,19,6,0,5,2,1,5,2,0,0
Tecoanapa,39,39,36,34,3,39,8,1,8,5,2,6,1,1,0
Tecpan de Galeana,25,25,25,23,0,25,17,0,7,7,2,1,0,1,0
Teloloapan,27,27,27,25,0,17,7,1,4,2,1,3,2,1,0
Tepecoacuilco de Trujano,25,25,24,21,0,25,2,0,0,0,0,3,2,0,0
Tetipac,5,5,5,5,0,5,2,0,0,0,0,0,0,0,0
Tixtla de Guerrero,10,10,10,9,1,9,1,0,2,2,2,1,1,0,0
Tlacoachistlahuaca,15,15,14,13,1,9,2,0,0,0,0,0,0,0,0
Tlacoapa,C,C,3,3,0,1,0,0,3,3,3,0,0,0,C
Tlalchapa,16,16,16,13,0,15,7,0,0,0,0,1,1,0,0
Tlalixtaquilla de Maldonado,5,5,5,5,0,5,1,0,1,1,1,4,2,0,0
Tlapa de Comonfort,30,30,29,25,7,29,9,1,5,4,3,7,4,2,0
Tlapehuala,12,12,12,11,0,11,3,0,0,0,0,4,0,0,0
La Union de Isidoro Montes de Oca,31,31,31,28,3,31,25,4,2,2,1,21,17,2,0
Xalpatlahuac,8,8,7,6,0,6,0,0,0,0,0,2,1,1,0
Xochihuehuetlan,7,7,7,5,0,6,0,0,0,0,0,0,0,0,0
Xochistlahuaca,7,7,7,7,0,4,0,0,0,0,0,7,7,0,0
Zapotitlan Tablas,C,C,1,1,0,1,0,0,0,0,0,0,0,0,C
Zirandaro,28,28,28,28,1,28,25,0,0,0,0,0,0,0,0
Zitlala,11,11,10,10,0,11,0,0,3,3,0,3,3,1,0
Eduardo Neri,16,16,12,10,1,16,3,0,4,3,2,3,2,1,0
Acatepec,C,C,1,1,0,1,0,0,1,1,1,1,0,0,C
Marquelia,3,3,3,3,0,2,2,0,0,0,0,2,1,1,0
Cochoapa el Grande,C,C,1,1,0,1,0,0,1,0,0,0,0,0,C
Jose Joaquin de Herrera,C,C,1,1,1,1,1,0,1,1,1,0,0,0,C
Juchitan,C,C,1,1,1,1,1,0,0,0,0,0,0,0,C
Iliatenco,4,4,4,4,0,1,0,0,1,1,1,3,3,0,0
Hidalgo,1189,1184,1132,996,72,838,323,41,139,104,76,237,158,12,5
Acatlan,17,17,17,17,1,17,1,0,0,0,0,0,0,0,0
Acaxochitlan,13,13,13,12,1,3,1,0,2,2,1,0,0,0,0
Actopan,11,11,11,11,0,3,1,0,0,0,0,0,0,0,0
Agua Blanca de Iturbide,10,10,9,8,0,9,8,0,6,5,5,0,0,0,0
Ajacuba,8,8,7,7,0,8,4,0,0,0,0,5,5,0,0
Alfajayucan,28,28,26,26,1,28,7,0,2,1,1,13,12,1,0
Almoloya,13,13,13,13,0,13,8,1,1,1,1,1,1,1,0
Apan,15,15,15,15,1,14,2,0,1,0,0,2,2,0,0
El Arenal,8,8,8,8,1,4,2,0,3,3,3,1,0,0,0
Atitalaquia,5,5,5,5,0,4,0,1,0,0,0,0,0,0,0
Atlapexco,9,9,9,9,1,7,4,1,0,0,0,6,6,0,0
Atotonilco el Grande,24,24,24,23,2,17,5,0,0,0,0,10,10,1,0
Atotonilco de Tula,7,7,7,7,0,3,0,0,0,0,0,0,0,0,0
Calnali,C,C,3,3,0,1,0,0,0,0,0,2,2,0,C
Cardonal,20,19,17,16,3,11,8,0,3,2,1,10,8,1,1
Cuautepec de Hinojosa,24,24,24,23,2,17,2,0,11,9,9,0,0,0,0
Chapantongo,14,14,14,14,0,13,4,0,0,0,0,0,0,0,0
Chapulhuacan,22,22,22,21,0,8,0,0,0,0,0,12,0,0,0
Chilcuautla,6,5,4,4,0,5,2,0,0,0,0,0,0,0,1
Eloxochitlan,8,8,5,5,2,4,4,2,1,0,0,1,0,0,0
Emiliano Zapata,4,4,4,2,0,4,1,0,0,0,0,2,1,0,0
Epazoyucan,12,12,12,12,0,9,1,0,3,2,3,0,0,0,0
Francisco I. Madero,C,C,2,2,0,2,0,0,0,0,0,1,1,0,C
Huasca de Ocampo,27,27,26,25,6,20,3,0,5,4,4,12,9,3,0
Huautla,42,42,40,36,7,27,18,10,5,5,0,8,5,0,0
Huazalingo,12,12,12,12,1,7,5,4,7,5,1,0,0,0,0
Huehuetla,6,6,6,6,0,4,1,0,1,0,0,0,0,0,0
Huejutla de Reyes,47,47,47,43,3,45,18,0,4,4,0,15,9,0,0
Huichapan,35,35,35,32,1,34,11,1,0,0,0,6,5,0,0
Ixmiquilpan,24,23,23,21,1,13,3,0,0,0,0,18,16,1,1
Jacala de Ledezma,13,13,11,11,2,4,3,1,1,0,0,0,0,0,0
Jaltocan,16,16,14,12,4,13,6,2,0,0,0,3,2,2,0
Juarez Hidalgo,4,4,4,3,0,4,2,1,0,0,0,2,0,0,0
Lolotla,10,10,10,7,1,2,1,0,0,0,0,0,0,0,0
Metepec,11,11,11,11,0,11,5,0,5,3,4,0,0,0,0
San Agustin Metzquititlan,7,7,6,6,1,3,2,0,2,2,2,1,0,0,0
Metztitlan,27,27,25,19,1,15,5,0,2,2,2,4,4,1,0
Mineral del Chico,6,6,6,5,0,1,0,0,2,1,2,1,1,0,0
Mineral del Monte,C,C,2,2,0,1,0,0,2,1,1,0,0,0,C
Mixquiahuala de Juarez,7,7,7,6,0,3,1,0,0,0,0,0,0,0,0
Molango de Escamilla,13,13,12,8,1,11,5,1,2,2,1,0,0,0,0
Nicolas Flores,4,4,3,3,1,1,0,0,0,0,0,1,1,0,0
Nopala de Villagran,9,9,9,9,0,7,3,0,0,0,0,0,0,0,0
Omitlan de Juarez,4,4,4,4,0,0,0,0,2,1,1,0,0,0,0
San Felipe Orizatlan,80,80,78,45,0,79,47,3,3,1,1,29,14,0,0
Pacula,C,C,1,1,0,1,1,0,0,0,0,0,0,0,C
Pachuca de Soto,7,7,7,5,2,6,0,0,1,1,1,2,0,0,0
Pisaflores,6,6,6,4,0,0,0,0,0,0,0,0,0,0,0
Progreso de Obregon,C,C,1,1,0,0,0,0,0,0,0,0,0,0,C
Mineral de la Reforma,7,7,7,7,2,6,1,2,0,0,0,0,0,0,0
San Agustin Tlaxiaca,10,10,10,9,0,7,2,0,0,0,0,4,4,0,0
San Bartolo Tutotepec,7,6,6,6,2,4,2,0,1,1,0,0,0,0,1
San Salvador,18,18,17,15,0,13,7,0,0,0,0,0,0,0,0
Santiago de Anaya,13,13,13,13,2,9,4,1,1,1,1,1,0,0,0
Santiago Tulantepec de Lugo Guerrero,6,6,6,5,0,5,0,0,3,1,2,1,0,0,0
Singuilucan,15,15,15,13,1,12,2,0,5,4,5,3,1,0,0
Tasquillo,17,17,15,14,1,7,2,0,0,0,0,3,2,0,0
Tecozautla,32,32,32,30,1,11,6,2,2,1,0,6,6,0,0
Tenango de Doria,5,5,5,4,0,2,0,0,0,0,0,1,0,0,0
Tepeapulco,9,9,9,9,0,7,5,1,0,0,0,0,0,0,0
Tepehuacan de Guerrero,31,31,30,28,0,26,8,1,2,0,0,1,0,0,0
Tepeji del Rio de Ocampo,16,16,16,16,2,8,4,0,0,0,0,1,1,0,0
Tepetitlan,12,12,10,10,0,12,4,0,0,0,0,5,1,0,0
Tetepango,C,C,2,2,0,2,1,0,0,0,0,2,2,0,C
Villa de Tezontepec,C,C,1,1,0,1,0,0,0,0,0,0,0,0,C
Tezontepec de Aldama,5,5,5,5,0,4,0,0,0,0,0,0,0,0,0
Tianguistengo,24,24,20,18,1,17,10,0,10,10,5,3,3,0,0
Tizayuca,3,3,3,3,0,1,0,0,0,0,0,1,1,0,0
Tlahuelilpan,C,C,1,1,0,1,1,0,0,0,0,0,0,0,C
Tlahuiltepa,15,14,13,5,3,7,5,0,1,1,0,1,0,0,1
Tlanalapa,3,3,3,3,0,3,3,0,0,0,0,1,1,0,0
Tlanchinol,34,34,33,28,0,30,4,0,3,2,1,3,3,0,0
Tlaxcoapan,4,4,4,4,0,3,0,0,0,0,0,0,0,0,0
Tolcayuca,3,3,3,2,0,2,1,0,0,0,0,1,1,0,0
Tula de Allende,25,25,23,19,0,14,6,1,0,0,0,7,3,1,0
Tulancingo de Bravo,14,14,14,11,0,14,6,0,2,0,0,2,0,0,0
Xochiatipan,25,25,25,24,3,12,6,2,7,7,3,0,0,0,0
Xochicoatlan,15,15,11,8,2,11,3,0,4,2,2,0,0,0,0
Yahualica,20,20,20,19,1,11,3,1,2,2,1,0,0,0,0
Zacualtipan de angeles,19,19,12,6,1,12,2,1,15,11,9,5,1,0,0
Zapotlan de Juarez,3,3,3,0,0,3,0,0,0,0,0,0,0,0,0
Zempoala,24,24,24,23,2,19,4,1,3,3,3,1,0,0,0
Zimapan,46,46,44,35,1,26,16,0,1,1,0,16,14,0,0
Jalisco,1429,1425,1363,1211,88,1338,723,51,192,143,107,238,148,38,4
Acatic,C,C,2,2,0,2,2,0,0,0,0,0,0,0,C
Acatlan de Juarez,7,7,7,7,0,7,2,1,0,0,0,1,1,0,0
Ahualulco de Mercado,8,8,7,7,0,6,0,0,1,1,1,1,0,0,0
Amacueca,C,C,1,0,0,1,0,0,0,0,0,1,1,0,C
Amatitan,5,5,5,5,0,5,1,0,0,0,0,1,0,0,0
Ameca,44,44,44,41,3,41,25,1,4,4,3,2,1,1,0
San Juanito de Escobedo,5,5,5,5,0,4,0,0,0,0,0,0,0,0,0
Arandas,C,C,1,1,0,1,0,0,0,0,0,0,0,0,C
El Arenal,C,C,3,3,1,3,0,0,1,1,1,0,0,0,C
Atemajac de Brizuela,9,9,9,9,1,8,2,0,5,5,2,1,0,0,0
Atengo,12,12,11,10,0,12,6,0,5,3,3,10,8,0,0
Atenguillo,5,5,5,2,1,5,3,0,4,3,1,0,0,0,0
Atotonilco el Alto,19,19,19,18,1,18,5,0,0,0,0,0,0,0,0
Atoyac,11,11,10,10,1,10,4,0,3,1,2,1,1,1,0
Autlan de Navarro,27,27,26,23,2,27,12,1,5,5,3,4,2,0,0
Ayotlan,15,15,15,15,0,14,2,1,0,0,0,9,5,1,0
Ayutla,27,27,27,26,1,27,24,1,7,6,6,1,1,1,0
La Barca,28,28,28,28,9,19,3,0,1,1,1,3,3,0,0
Bolaños,C,C,1,1,0,1,1,0,0,0,0,0,0,0,C
Cabo Corrientes,20,20,14,9,1,18,10,1,6,5,3,1,1,1,0
Casimiro Castillo,16,16,13,13,0,16,13,0,2,0,1,1,1,1,0
Cihuatlan,15,15,12,9,0,15,10,0,1,0,1,3,1,1,0
Zapotlan el Grande,5,5,5,3,0,5,2,0,2,1,2,0,0,0,0
Cocula,19,19,19,16,0,19,7,0,3,1,1,0,0,0,0
Colotlan,7,7,7,7,0,6,6,0,0,0,0,3,2,0,0
Concepcion de Buenos Aires,11,11,11,10,1,11,9,1,2,2,2,0,0,0,0
Cuautitlan de Garcia Barragan,12,11,11,10,0,11,8,0,0,0,0,3,1,0,1
Cuautla,4,4,4,4,0,4,4,0,2,2,1,0,0,0,0
Cuquio,13,13,13,13,1,13,8,0,0,0,0,0,0,0,0
Chapala,6,5,5,3,0,4,0,0,0,0,0,1,1,0,1
Chimaltitan,C,C,2,2,0,2,1,0,2,2,2,0,0,0,C
Chiquilistlan,6,6,5,5,1,6,3,0,3,1,0,6,1,0,0
Degollado,23,23,22,20,4,23,10,4,0,0,0,6,4,0,0
Ejutla,3,3,3,3,0,3,2,0,0,0,0,0,0,0,0
Encarnacion de Diaz,12,12,12,12,1,12,8,0,0,0,0,1,1,0,0
Etzatlan,10,10,10,10,0,10,3,0,1,0,0,0,0,0,0
El Grullo,8,8,8,8,0,7,6,0,1,1,0,0,0,0,0
Guachinango,13,13,11,10,2,13,9,3,1,1,1,2,1,1,0
Guadalajara,C,C,1,1,0,0,0,0,0,0,0,0,0,0,C
Hostotipaquillo,17,17,16,15,2,17,12,1,3,2,1,8,0,0,0
Huejucar,5,5,4,3,1,5,5,1,0,0,0,0,0,0,0
Huejuquilla el Alto,3,3,3,3,0,2,2,0,0,0,0,2,1,1,0
La Huerta,32,32,28,20,1,32,24,2,6,2,2,5,3,2,0
Ixtlahuacan de los Membrillos,10,10,10,10,0,10,6,0,0,0,0,5,4,0,0
Ixtlahuacan del Rio,12,12,12,10,0,12,2,0,0,0,0,1,0,0,0
Jalostotitlan,C,C,1,1,0,1,0,0,0,0,0,0,0,0,C
Jamay,4,4,4,4,0,4,1,0,0,0,0,1,1,0,0
Jesus Maria,C,C,2,2,0,1,1,0,0,0,0,0,0,0,C
Jilotlan de los Dolores,26,26,26,23,0,24,18,0,1,1,1,4,3,1,0
Jocotepec,15,15,15,12,0,10,4,0,2,1,1,5,5,3,0
Juanacatlan,6,6,6,6,1,6,3,0,0,0,0,3,2,0,0
Juchitlan,7,7,7,7,0,7,0,0,0,0,0,7,2,0,0
Lagos de Moreno,44,44,43,42,3,43,13,0,1,1,1,3,3,1,0
El Limon,6,6,6,6,0,6,6,0,1,1,1,0,0,0,0
Magdalena,10,10,10,9,0,7,2,0,2,2,0,0,0,0,0
Santa Maria del Oro,4,4,4,2,0,4,2,0,0,0,0,0,0,0,0
La Manzanilla de la Paz,9,9,6,6,0,9,7,0,0,0,0,0,0,0,0
Mascota,16,16,15,12,0,16,12,0,5,4,4,2,2,1,0
Mazamitla,19,19,19,17,2,19,12,1,7,7,5,0,0,0,0
Mexticacan,3,3,3,3,0,3,2,0,0,0,0,0,0,0,0
Mezquitic,8,8,8,7,0,8,6,0,4,3,2,3,2,1,0
Mixtlan,5,5,5,5,0,5,5,0,2,2,2,0,0,0,0
Ocotlan,16,16,16,16,1,15,7,0,2,2,1,6,6,0,0
Ojuelos de Jalisco,20,20,19,19,1,19,14,0,2,1,1,20,19,1,0
Pihuamo,18,18,18,12,0,18,8,0,2,1,1,2,1,0,0
Poncitlan,17,17,16,15,1,13,1,0,0,0,0,2,2,2,0
Puerto Vallarta,15,15,13,8,0,15,2,1,5,5,3,3,3,0,0
Villa Purificacion,13,13,12,11,0,13,12,0,2,2,1,0,0,0,0
Quitupan,25,25,24,20,0,25,19,1,4,3,1,0,0,0,0
El Salto,4,4,4,3,0,3,0,0,0,0,0,1,1,0,0
San Cristobal de la Barranca,C,C,2,2,1,2,2,0,1,1,1,0,0,0,C
San Diego de Alejandria,C,C,1,1,1,1,1,1,0,0,0,0,0,0,C
San Juan de los Lagos,7,7,7,7,1,7,6,1,0,0,0,4,4,3,0
San Marcos,4,4,4,3,0,4,0,0,0,0,0,1,0,0,0
San Martin Hidalgo,18,18,18,16,1,15,7,1,2,1,1,0,0,0,0
San Miguel el Alto,C,C,1,1,0,1,0,0,0,0,0,0,0,0,C
Gomez Farias,5,5,5,4,0,5,1,0,1,1,1,1,0,0,0
San Sebastian del Oeste,18,18,18,15,5,17,15,3,5,3,3,5,4,0,0
Santa Maria de los angeles,10,10,9,7,0,10,8,0,0,0,0,1,1,0,0
Sayula,5,5,5,4,0,5,1,0,1,0,0,0,0,0,0
Tala,13,13,13,13,0,9,1,0,1,0,0,1,0,0,0
Talpa de Allende,17,17,15,15,2,16,13,1,6,6,4,2,0,0,0
Tamazula de Gordiano,35,35,33,31,4,34,20,5,9,9,7,12,9,3,0
Tapalpa,8,8,8,7,0,8,4,0,7,4,2,3,2,1,0
Tecalitlan,17,17,15,12,0,16,11,0,5,3,1,1,1,0,0
Tecolotlan,20,20,19,19,1,20,15,2,3,3,0,3,1,0,0
Techaluta de Montenegro,C,C,2,2,0,2,0,0,0,0,0,1,1,0,C
Tenamaxtlan,12,12,11,11,0,11,3,0,1,1,0,4,1,0,0
Teocaltiche,11,11,11,8,0,4,2,0,0,0,0,0,0,0,0
Teocuitatlan de Corona,27,27,26,26,1,25,17,0,1,1,0,0,0,0,0
Tepatitlan de Morelos,C,C,2,2,0,2,2,0,0,0,0,0,0,0,C
Tequila,15,15,15,15,1,14,6,1,4,4,1,3,1,0,0
Teuchitlan,6,6,6,6,0,5,1,0,0,0,0,0,0,0,0
Tizapan el Alto,14,14,14,13,0,13,7,0,0,0,0,3,2,0,0
Tlajomulco de Zuñiga,25,25,24,22,9,23,7,5,0,0,0,3,1,2,0
Tlaquepaque,7,7,6,5,1,7,2,0,0,0,0,0,0,0,0
Toliman,12,11,11,11,0,11,7,0,4,4,4,3,3,0,1
Tomatlan,40,40,33,17,2,40,36,1,6,3,1,12,4,0,0
Tonala,8,8,8,7,0,7,1,1,0,0,0,2,1,1,0
Tonaya,C,C,2,2,0,2,2,0,0,0,0,0,0,0,C
Tonila,8,8,8,6,2,7,1,1,2,1,1,1,1,1,0
