INEGI. IX Censo Ejidal 2007,,,,,,,
Total de ejidos y comunidades segun disposicion y tipo de parcelas,,,,,,,cuadro 31
con destino especifico por entidad federativa y municipio,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
entidad_federativa_y_municipio,ejidos_y_comunidades,parcelas_de_destino_especifico_ejidos_y_comunidades_con_parcelas_de_destino_especifico,parcelas_de_destino_especifico_parcela_escolar,parcelas_de_destino_especifico_unidad_productiva_para_el_desarrollo_integral_de_la_juventud,unidad_agricola_industrial_para_la_mujer_total,unidad_agricola_industrial_para_la_mujer_mujeres_participantes,sin_parcelas_de_este_tipo
La Libertad,4,2,2,0,0,0,2
Mapastepec,56,41,39,0,20,433,15
Las Margaritas,145,61,60,0,2,50,84
Mazapa de Madero,4,4,4,0,0,0,0
Mazatan,18,14,14,0,1,7,4
Metapa,C,C,1,0,0,0,C
Mitontic,C,C,1,0,0,0,C
Motozintla,43,39,39,0,2,50,4
Ocosingo,159,94,94,0,7,211,65
Ocotepec,C,C,1,0,0,0,C
Ocozocoautla de Espinosa,74,36,35,0,5,163,38
Ostuacan,29,17,15,0,5,109,12
Osumacinta,3,1,1,0,0,0,2
Oxchuc,3,0,0,0,0,0,3
Palenque,163,100,100,1,17,381,63
Pantelho,9,2,2,0,0,0,7
Pantepec,6,6,6,0,0,0,0
Pichucalco,9,5,5,0,0,0,4
Pijijiapan,70,36,36,2,11,123,34
El Porvenir,5,5,5,0,0,0,0
Villa Comaltitlan,19,12,12,0,3,49,7
Pueblo Nuevo Solistahuacan,21,9,9,0,0,0,12
Rayon,4,0,0,0,0,0,4
Reforma,7,6,6,0,0,0,1
Las Rosas,17,5,5,0,0,0,12
Sabanilla,19,8,8,0,0,0,11
Salto de Agua,86,65,64,0,4,25,21
San Cristobal de las Casas,16,5,5,0,0,0,11
San Fernando,18,11,11,0,0,0,7
Siltepec,18,17,17,0,0,0,1
Simojovel,53,11,11,0,0,0,42
Sitala,7,6,6,0,0,0,1
Socoltenango,33,19,19,0,0,0,14
Solosuchiapa,11,6,6,0,0,0,5
Soyalo,4,1,1,0,0,0,3
Suchiapa,9,4,4,0,0,0,5
Suchiate,17,16,16,0,1,12,1
Sunuapa,C,C,1,0,1,20,C
Tapachula,52,37,37,0,6,57,15
Tapalapa,C,C,2,0,0,0,C
Tapilula,4,1,1,0,0,0,3
Tecpatan,59,43,42,0,6,83,16
Tenejapa,7,0,0,0,0,0,7
Teopisca,16,7,7,0,1,20,9
Tila,29,17,17,0,0,0,12
Tonala,54,27,26,0,6,63,27
Totolapa,8,5,5,1,1,27,3
La Trinitaria,85,44,44,0,3,185,41
Tumbala,24,18,18,0,1,0,6
Tuxtla Gutierrez,6,2,2,0,0,0,4
Tuxtla Chico,7,6,6,0,0,0,1
Tuzantan,16,13,13,0,0,0,3
Tzimol,18,8,8,0,0,0,10
Union Juarez,12,11,11,0,0,0,1
Venustiano Carranza,41,20,20,0,0,0,21
Villa Corzo,71,40,40,1,7,117,31
Villaflores,67,44,44,0,2,25,23
Yajalon,8,4,4,0,0,0,4
San Lucas,C,C,2,0,2,27,C
Zinacantan,6,1,1,0,0,0,5
San Juan Cancuc,C,C,0,0,0,0,C
Aldama,C,C,0,0,0,0,C
Benemerito de las Americas,14,14,14,1,11,294,0
Maravilla Tenejapa,33,32,32,0,0,0,1
Marques de Comillas,23,19,18,1,6,27,4
Montecristo de Guerrero,5,3,3,0,0,0,2
San Andres Duraznal,5,0,0,0,0,0,5
Santiago el Pinar,C,C,1,0,0,0,C
Chihuahua,987,760,755,22,138,1340,227
