INEGI. IX Censo Ejidal 2007,,,
"Total de ejidatarios, comuneros y posesionarios",,,cuadro 12
por entidad federativa y municipio,,,
,,,
entidad_federativa_y_municipio,total,ejidatarios_y_comuneros,posesionarios
Tarimbaro,2115,1473,642
Tepalcatepec,3757,2790,967
Tingambato,2542,1449,1093
Tingüindin,1318,1121,197
Tiquicheo de Nicolas Romero,1408,1296,112
Tlalpujahua,2268,1124,1144
Tlazazalca,1075,767,308
Tocumbo,1750,1442,308
Tumbiscatio,762,698,64
Turicato,3334,3133,201
Tuxpan,974,767,207
Tuzantla,2109,1663,446
Tzintzuntzan,12727,10027,2700
Tzitzio,193,131,62
Uruapan,10107,7306,2801
Venustiano Carranza,3225,2692,533
Villamar,2578,2370,208
Vista Hermosa,4247,2753,1494
Yurecuaro,1765,1476,289
Zacapu,3059,2658,401
Zamora,3198,2315,883
Zinaparo,417,383,34
Zinapecuaro,3287,2167,1120
Ziracuaretiro,1162,938,224
Zitacuaro,21433,7695,13738
Jose Sixto Verduzco,3730,2457,1273
Morelos,78204,64157,14047
Amacuzac,1283,1109,174
Atlatlahucan,451,422,29
Axochiapan,2780,2390,390
Ayala,4589,4106,483
Coatlan del Rio,1053,904,149
Cuautla,3205,2173,1032
Cuernavaca,4370,4136,234
Emiliano Zapata,1823,1630,193
Huitzilac,1991,1841,150
Jantetelco,1780,1599,181
Jiutepec,1507,927,580
Jojutla,2133,1797,336
Jonacatepec,1255,1170,85
Mazatepec,930,777,153
Miacatlan,3067,2067,1000
Ocuituco,2868,2747,121
Puente de Ixtla,4138,2137,2001
Temixco,1502,1336,166
Tepalcingo,2976,2147,829
Tepoztlan,5055,2705,2350
Tetecala,432,349,83
Tetela del Volcan,7607,7297,310
Tlalnepantla,424,299,125
Tlaltizapan,3940,3492,448
Tlaquiltenango,3036,2788,248
Tlayacapan,1590,1288,302
Totolapan,1314,1169,145
Xochitepec,1822,1722,100
Yautepec,3477,2903,574
Yecapixtla,2411,2151,260
Zacatepec de Hidalgo,620,555,65
Zacualpan de Amilpas,852,417,435
Temoac,1923,1607,316
Nayarit,86635,68724,17911
Acaponeta,5337,4042,1295
Ahuacatlan,1468,1260,208
Amatlan de Cañas,1438,1276,162
Compostela,7295,6209,1086
Huajicori,1869,1777,92
Ixtlan del Rio,561,517,44
Jala,1943,1644,299
Xalisco,3053,2245,808
Del Nayar,8738,7078,1660
Rosamorada,6061,5529,532
Ruiz,2060,1385,675
San Blas,5756,4735,1021
San Pedro Lagunillas,2521,1989,532
Santa Maria del Oro,3435,2782,653
Santiago Ixcuintla,11547,9431,2116
Tecuala,7150,5714,1436
Tepic,7383,5153,2230
Tuxpan,3063,2127,936
La Yesca,1622,1561,61
Bahia de Banderas,4335,2270,2065
Nuevo Leon,42010,37289,4721
Abasolo,27,27,0
Agualeguas,460,428,32
Los Aldamas,557,417,140
Allende,26,26,0
Anahuac,669,596,73
Apodaca,18,18,0
Aramberri,3106,2652,454
Bustamante,238,235,3
Cadereyta Jimenez,1436,1344,92
Carmen,29,29,0
Cerralvo,1361,1361,0
Cienega de Flores,60,60,0
China,293,267,26
Dr. Arroyo,8669,7708,961
Dr. Gonzalez,152,115,37
Galeana,8851,8536,315
Garcia,623,510,113
Gral. Bravo,55,53,2
Gral. Escobedo,231,231,0
Gral. Teran,649,649,0
Gral. Zaragoza,904,896,8
Gral. Zuazua,46,24,22
Guadalupe,2,2,0
Hualahuises,157,156,1
Iturbide,474,470,4
Juarez,97,97,0
Lampazos de Naranjo,276,276,0
Linares,3350,2831,519
Marin,54,42,12
Mier y Noriega,1462,1271,191
Mina,1281,1213,68
Montemorelos,740,735,5
Monterrey,42,42,0
Paras,103,103,0
Pesqueria,413,413,0
Los Ramones,172,166,6
Rayones,536,502,34
Sabinas Hidalgo,549,541,8
Salinas Victoria,392,382,10
Hidalgo,1664,164,1500
Santa Catarina,339,319,20
Santiago,582,543,39
Vallecillo,459,455,4
Villaldama,406,384,22
Oaxaca,790005,566401,223604
Abejones,720,520,200
Acatlan de Perez Figueroa,4097,3231,866
Asuncion Cacalotepec,900,900,0
Asuncion Cuyotepeji,564,284,280
Asuncion Ixtaltepec,3103,2114,989
Asuncion Nochixtlan,2150,1800,350
Asuncion Tlacolulita,333,333,0
Ayotzintepec,885,788,97
El Barrio de la Soledad,3744,2774,970
Calihuala,352,252,100
Candelaria Loxicha,2500,2015,485
Cienega de Zimatlan,630,630,0
Ciudad Ixtepec,1211,861,350
Coatecas Altas,285,215,70
Coicoyan de las Flores,1760,1760,0
La Compañia,603,603,0
Concepcion Buenavista,737,697,40
Concepcion Papalo,1681,1681,0
Constancia del Rosario,269,264,5
Cosolapa,728,622,106
Cosoltepec,579,545,34
Cuilapam de Guerrero,1172,1018,154
Cuyamecalco Villa de Zaragoza,574,464,110
Chahuites,706,706,0
Chalcatongo de Hidalgo,11850,7720,4130
Chiquihuitlan de Benito Juarez,408,358,50
Heroica Ciudad de Ejutla de Crespo,2281,1826,455
Tamazulapam del Espiritu Santo,5200,3000,2200
Fresnillo de Trujano,165,98,67
Guadalupe Etla,179,139,40
Guadalupe de Ramirez,316,280,36
Guelatao de Juarez,42,21,21
Guevea de Humboldt,1195,1195,0
Mesones Hidalgo,760,375,385
Villa Hidalgo,1,1,0
Heroica Ciudad de Huajuapan de Leon,552,523,29
Huautepec,3800,3800,0
Ixtlan de Juarez,3506,2054,1452
Heroica Ciudad de Juchitan de Zaragoza,1576,1044,532
Loma Bonita,2217,2149,68
Magdalena Apasco,693,602,91
Magdalena Jaltepec,2047,2047,0
Santa Magdalena Jicotlan,38,34,4
Magdalena Mixtepec,370,370,0
Magdalena Ocotlan,181,131,50
Magdalena Peñasco,360,310,50
Magdalena Teitipac,300,250,50
Magdalena Tequisistlan,1025,1000,25
Magdalena Tlacotepec,600,300,300
Magdalena Zahuatlan,200,200,0
Mariscala de Juarez,441,356,85
Martires de Tacubaya,246,171,75
Matias Romero Avendaño,3489,3015,474
Miahuatlan de Porfirio Diaz,2171,1707,464
Mixistlan de la Reforma,887,787,100
Monjas,654,38,616
Nazareno Etla,380,180,200
Nejapa de Madero,1322,1273,49
Ixpantepec Nieves,815,674,141
Santiago Niltepec,1683,1625,58
Oaxaca de Juarez,1286,880,406
Ocotlan de Morelos,5174,967,4207
"La ""Pe""",336,336,0
Pinotepa de Don Luis,1091,841,250
San Jose del Progreso,1874,804,1070
Putla Villa de Guerrero,5951,3183,2768
Santa Catarina Quioquitani,158,158,0
Reforma de Pineda,203,173,30
La Reforma,1160,784,376
Reyes Etla,381,199,182
Rojas de Cuauhtemoc,266,266,0
Salina Cruz,614,452,162
San Agustin Amatengo,480,480,0
San Agustin Atenango,1580,580,1000
San Agustin Chayuco,1577,1115,462
San Agustin de las Juntas,1035,426,609
San Agustin Etla,100,100,0
San Agustin Loxicha,6800,6800,0
San Agustin Tlacotepec,958,958,0
San Agustin Yatareni,305,300,5
San Andres Cabecera Nueva,2056,1028,1028
San Andres Dinicuiti,550,550,0
San Andres Huaxpaltepec,550,450,100
San Andres Huayapam,362,362,0
San Andres Ixtlahuaca,290,60,230
San Andres Lagunas,1600,900,700
San Andres Nuxiño,508,405,103
San Andres Sinaxtla,711,711,0
San Andres Solaga,723,723,0
San Andres Teotilalpam,1753,1533,220
San Andres Yaa,705,405,300
San Andres Zabache,100,100,0
San Andres Zautla,808,500,308
San Antonino Castillo Velasco,296,296,0
San Antonino el Alto,576,576,0
San Antonino Monte Verde,2780,2780,0
San Antonio Acutla,347,347,0
San Antonio de la Cal,320,280,40
San Antonio Huitepec,1115,1015,100
San Antonio Nanahuatipam,237,237,0
San Antonio Sinicahua,600,600,0
San Antonio Tepetlapa,753,738,15
San Baltazar Chichicapam,373,373,0
San Baltazar Loxicha,416,416,0
San Baltazar Yatzachi el Bajo,386,386,0
San Bartolo Coyotepec,693,693,0
San Bartolome Ayautla,3722,1873,1849
San Bartolome Loxicha,617,617,0
San Bartolome Quialana,500,250,250
San Bartolome Yucuañe,331,331,0
San Bartolome Zoogocho,120,120,0
San Bartolo Soyaltepec,934,907,27
San Bartolo Yautepec,280,280,0
San Bernardo Mixtepec,1135,1135,0
San Blas Atempa,5600,2800,2800
San Carlos Yautepec,2817,2353,464
San Cristobal Amatlan,1356,1024,332
San Cristobal Amoltepec,523,523,0
San Cristobal Suchixtlahuaca,250,125,125
San Dionisio del Mar,1628,1028,600
San Dionisio Ocotepec,3566,3340,226
San Dionisio Ocotlan,119,119,0
San Esteban Atatlahuca,2379,1379,1000
San Felipe Jalapa de Diaz,2466,2002,464
San Felipe Tejalapam,4773,4773,0
San Felipe Usila,2569,2563,6
San Francisco Cahuacua,800,800,0
San Francisco Cajonos,344,344,0
San Francisco Chapulapa,837,837,0
San Francisco Chindua,419,419,0
San Francisco del Mar,903,903,0
San Francisco Huehuetlan,1550,850,700
San Francisco Ixhuatan,263,250,13
San Francisco Jaltepetongo,465,465,0
San Francisco Lachigolo,271,156,115
San Francisco Nuxaño,200,200,0
San Francisco Ozolotepec,1006,503,503
San Francisco Sola,1200,1200,0
San Francisco Telixtlahuaca,989,985,4
San Francisco Teopan,138,128,10
San Francisco Tlapancingo,150,150,0
San Gabriel Mixtepec,225,190,35
San Ildefonso Amatlan,210,210,0
San Ildefonso Sola,850,800,50
San Ildefonso Villa Alta,943,795,148
San Jacinto Amilpas,283,83,200
San Jacinto Tlacotepec,501,450,51
San Jeronimo Coatlan,2200,2200,0
San Jeronimo Silacayoapilla,801,701,100
San Jeronimo Sosola,1140,1090,50
San Jeronimo Taviche,1048,1048,0
San Jeronimo Tecoatl,1804,1304,500
San Jorge Nuchita,497,417,80
San Jose Ayuquila,111,102,9
San Jose Chiltepec,1109,883,226
San Jose del Peñasco,1500,1500,0
San Jose Estancia Grande,220,148,72
San Jose Tenango,1852,1852,0
San Juan Achiutla,944,472,472
San Juan Atepec,1100,700,400
Animas Trujano,404,379,25
San Juan Bautista Atatlahuca,723,674,49
San Juan Bautista Coixtlahuaca,2058,2003,55
San Juan Bautista Cuicatlan,1993,1476,517
San Juan Bautista Guelache,553,451,102
San Juan Bautista Jayacatlan,1500,1500,0
San Juan Bautista lo de Soto,676,426,250
San Juan Bautista Suchitepec,138,88,50
San Juan Bautista Tlacoatzintepec,470,470,0
San Juan Bautista Tlachichilco,115,115,0
San Juan Bautista Tuxtepec,5307,4902,405
San Juan Cacahuatepec,1142,795,347
San Juan Cieneguilla,146,146,0
San Juan Coatzospam,3519,1519,2000
San Juan Colorado,1814,1724,90
San Juan Comaltepec,393,393,0
San Juan Cotzocon,7311,7289,22
San Juan Chicomezuchil,512,256,256
San Juan Chilateca,61,61,0
San Juan del Estado,600,550,50
San Juan del Rio,460,460,0
San Juan Diuxi,400,400,0
San Juan Evangelista Analco,148,148,0
San Juan Guelavia,603,503,100
San Juan Guichicovi,5107,4112,995
San Juan Ihualtepec,264,256,8
San Juan Juquila Mixes,2600,2000,600
San Juan Juquila Vijanos,693,693,0
San Juan Lachao,1020,220,800
San Juan Lachigalla,1062,716,346
San Juan Lajarcia,275,260,15
San Juan Lalana,3421,2781,640
San Juan de los Cues,600,600,0
San Juan Mazatlan,3889,3680,209
San Juan Mixtepec -Dto. 08-,9000,8000,1000
San Juan Mixtepec -Dto. 26-,250,250,0
San Juan Ñumi,4512,2256,2256
San Juan Ozolotepec,1335,860,475
San Juan Petlapa,711,711,0
San Juan Quiahije,3380,1780,1600
San Juan Quiotepec,2126,1511,615
San Juan Sayultepec,638,638,0
San Juan Tabaa,399,399,0
San Juan Tamazola,1907,1867,40
San Juan Teita,1122,1122,0
San Juan Teitipac,2860,360,2500
San Juan Tepeuxila,1984,1590,394
San Juan Teposcolula,891,811,80
San Juan Yaee,484,484,0
San Juan Yatzona,250,250,0
San Juan Yucuita,239,201,38
San Lorenzo,1234,598,636
San Lorenzo Albarradas,1135,1100,35
San Lorenzo Cacaotepec,1303,757,546
San Lorenzo Texmelucan,400,400,0
San Lorenzo Victoria,480,380,100
San Lucas Camotlan,3200,1750,1450
San Lucas Ojitlan,1803,1392,411
San Lucas Quiavini,724,664,60
San Luis Amatlan,517,512,5
San Marcos Arteaga,372,352,20
San Martin de los Cansecos,180,180,0
San Martin Huamelulpam,730,730,0
San Martin Itunyoso,2138,1520,618
San Martin Lachila,319,319,0
San Martin Peras,15200,15200,0
San Martin Tilcajete,583,283,300
San Martin Toxpalan,649,609,40
San Mateo Cajonos,460,280,180
Capulalpam de Mendez,397,347,50
San Mateo del Mar,3104,2054,1050
San Mateo Etlatongo,403,403,0
San Mateo Nejapam,190,190,0
San Mateo Peñasco,992,672,320
San Mateo Rio Hondo,100,100,0
San Mateo Sindihui,475,475,0
San Mateo Tlapiltepec,634,421,213
San Melchor Betaza,642,642,0
San Miguel Achiutla,424,424,0
San Miguel Aloapam,709,709,0
San Miguel Amatitlan,1512,1349,163
San Miguel Coatlan,2000,1000,1000
San Miguel Chicahua,1522,1522,0
San Miguel Chimalapa,1757,1730,27
San Miguel del Puerto,1981,1731,250
San Miguel Ejutla,159,150,9
San Miguel el Grande,850,850,0
San Miguel Huautla,500,500,0
San Miguel Mixtepec,477,477,0
San Miguel Panixtlahuaca,1200,1200,0
San Miguel Peras,1827,1027,800
San Miguel Piedras,445,295,150
San Miguel Quetzaltepec,6240,3120,3120
San Miguel Santa Flor,135,35,100
Villa Sola de Vega,4413,2813,1600
San Miguel Soyaltepec,3334,2892,442
San Miguel Suchixtepec,747,747,0
Villa Talea de Castro,1116,1113,3
San Miguel Tecomatlan,300,295,5
San Miguel Tenango,264,264,0
San Miguel Tequixtepec,664,664,0
San Miguel Tilquiapam,1441,616,825
San Miguel Tlacamama,697,693,4
San Miguel Tlacotepec,182,132,50
San Miguel Tulancingo,266,133,133
San Miguel Yotao,248,242,6
San Nicolas Hidalgo,176,176,0
San Pablo Coatlan,766,766,0
San Pablo Cuatro Venados,1749,749,1000
San Pablo Etla,375,258,117
San Pablo Huitzo,886,818,68
San Pablo Huixtepec,567,567,0
San Pablo Macuiltianguis,418,418,0
San Pablo Tijaltepec,9670,4835,4835
San Pablo Villa de Mitla,2079,992,1087
San Pablo Yaganiza,400,400,0
San Pedro Amuzgos,2009,392,1617
San Pedro Apostol,86,86,0
San Pedro Atoyac,865,696,169
San Pedro Cajonos,229,229,0
San Pedro Coxcaltepec Cantaros,599,599,0
San Pedro Comitancillo,494,466,28
San Pedro el Alto,1250,1250,0
San Pedro Huamelula,4081,1540,2541
San Pedro Huilotepec,523,305,218
San Pedro Ixcatlan,844,572,272
San Pedro Ixtlahuaca,345,330,15
San Pedro Jaltepetongo,250,250,0
San Pedro Jicayan,3093,2393,700
San Pedro Jocotipac,499,341,158
San Pedro Juchatengo,300,300,0
San Pedro Martir,351,320,31
San Pedro Martir Quiechapa,190,190,0
San Pedro Martir Yucuxaco,307,307,0
San Pedro Mixtepec -Dto. 22-,590,290,300
San Pedro Mixtepec -Dto. 26-,250,250,0
San Pedro Molinos,584,292,292
San Pedro Nopala,382,362,20
San Pedro Ocopetatillo,712,612,100
San Pedro Ocotepec,2280,2100,180
San Pedro Pochutla,44019,3469,40550
San Pedro Quiatoni,3114,3114,0
San Pedro Sochiapam,1283,1283,0
San Pedro Tapanatepec,1606,1192,414
San Pedro Taviche,277,276,1
San Pedro Teozacoalco,300,300,0
San Pedro Teutila,1490,674,816
San Pedro Tidaa,483,483,0
San Pedro Topiltepec,819,819,0
San Pedro Totolapa,719,719,0
Villa de Tututepec de Melchor Ocampo,12238,5688,6550
San Pedro Yaneri,361,321,40
San Pedro Yolox,1271,1226,45
San Pedro y San Pablo Ayutla,4974,4974,0
Villa de Etla,188,52,136
San Pedro y San Pablo Teposcolula,1747,1447,300
San Pedro y San Pablo Tequixtepec,1129,1066,63
San Pedro Yucunama,300,300,0
San Raymundo Jalpan,65,50,15
San Sebastian Abasolo,1740,1699,41
San Sebastian Coatlan,406,406,0
San Sebastian Ixcapa,1322,952,370
San Sebastian Nicananduta,812,812,0
San Sebastian Rio Hondo,505,448,57
San Sebastian Tecomaxtlahuaca,4221,4221,0
San Sebastian Teitipac,438,374,64
San Sebastian Tutla,2862,2719,143
San Simon Almolongas,455,425,30
San Simon Zahuatlan,200,200,0
Santa Ana,1212,606,606
Santa Ana Cuauhtemoc,208,138,70
Santa Ana del Valle,250,250,0
Santa Ana Tavela,474,237,237
Santa Ana Tlapacoyan,183,180,3
Santa Ana Yareni,150,150,0
Santa Ana Zegache,542,136,406
Santa Catalina Quieri,700,700,0
Santa Catarina Cuixtla,756,756,0
Santa Catarina Ixtepeji,881,725,156
Santa Catarina Juquila,7248,5111,2137
Santa Catarina Lachatao,1500,1500,0
Santa Catarina Loxicha,832,832,0
Santa Catarina Mechoacan,1433,633,800
Santa Catarina Minas,380,380,0
Santa Catarina Quiane,560,374,186
Santa Catarina Tayata,1344,830,514
Santa Catarina Ticua,1300,800,500
Santa Catarina Yosonotu,2000,2000,0
Santa Catarina Zapoquila,340,183,157
Santa Cruz Amilpas,216,161,55
Santa Cruz Itundujia,2573,2567,6
Santa Cruz Mixtepec,1243,1213,30
Santa Cruz Nundaco,4100,3100,1000
Santa Cruz Papalutla,920,320,600
Santa Cruz Tacache de Mina,254,204,50
Santa Cruz Tacahua,500,500,0
Santa Cruz Tayata,131,68,63
Santa Cruz Xitla,2542,1342,1200
Santa Cruz Xoxocotlan,1156,1152,4
Santa Cruz Zenzontepec,7000,7000,0
Santa Gertrudis,709,641,68
Santa Ines del Monte,812,812,0
Santa Lucia del Camino,163,163,0
Santa Lucia Miahuatlan,816,416,400
Santa Lucia Monteverde,4428,2758,1670
Santa Lucia Ocotlan,380,300,80
Santa Maria Alotepec,1288,1138,150
Santa Maria Apazco,600,600,0
Heroica Ciudad de Tlaxiaco,14528,8985,5543
Ayoquezco de Aldama,718,718,0
Santa Maria Atzompa,278,273,5
Santa Maria Camotlan,616,546,70
Santa Maria Colotepec,1848,1088,760
Santa Maria Cortijo,285,228,57
Santa Maria Coyotepec,470,370,100
Santa Maria Chachoapam,473,363,110
Villa de Chilapa de Diaz,1323,1323,0
Santa Maria Chilchotla,686,559,127
Santa Maria Chimalapa,3280,3239,41
Santa Maria del Rosario,706,353,353
Santa Maria del Tule,965,919,46
Santa Maria Ecatepec,1362,1255,107
Santa Maria Guelace,146,76,70
Santa Maria Guienagati,706,706,0
Santa Maria Huatulco,3749,1749,2000
Santa Maria Huazolotitlan,1994,1631,363
Santa Maria Ipalapa,1531,921,610
Santa Maria Ixcatlan,220,220,0
Santa Maria Jacatepec,1309,1156,153
Santa Maria Jalapa del Marques,1200,1200,0
Santa Maria Jaltianguis,558,394,164
Santa Maria Mixtequilla,1440,640,800
Santa Maria Nativitas,356,356,0
Santa Maria Nduayaco,734,734,0
Santa Maria Papalo,550,550,0
Santa Maria Peñoles,4430,2635,1795
Santa Maria Petapa,1120,620,500
Santa Maria Quiegolani,776,761,15
Santa Maria Sola,372,357,15
Santa Maria Tataltepec,675,675,0
Santa Maria Tecomavaca,641,641,0
Santa Maria Temaxcalapa,356,356,0
Santa Maria Temaxcaltepec,580,580,0
Santa Maria Teopoxco,2600,1900,700
Santa Maria Tepantlali,693,693,0
Santa Maria Texcatitlan,360,260,100
Santa Maria Tlahuitoltepec,7185,3685,3500
Santa Maria Tlalixtac,1000,900,100
Santa Maria Tonameca,6068,3268,2800
Santa Maria Totolapilla,297,257,40
Santa Maria Yalina,216,216,0
Santa Maria Yolotepec,209,209,0
Santa Maria Yosoyua,576,288,288
Santa Maria Yucuhiti,2679,1879,800
Santa Maria Zacatepec,17248,4312,12936
Santa Maria Zaniza,834,834,0
Santa Maria Zoquitlan,1300,1200,100
Santiago Amoltepec,1480,1480,0
Santiago Apoala,356,356,0
Santiago Astata,1569,927,642
Santiago Atitlan,1900,1000,900
Santiago Ayuquililla,267,267,0
Santiago Cacaloxtepec,444,444,0
Santiago Camotlan,784,774,10
Santiago Comaltepec,357,332,25
Santiago Chazumba,1985,1297,688
Santiago Choapam,1554,1374,180
Santiago del Rio,740,740,0
Santiago Huajolotitlan,1004,993,11
Santiago Huauclilla,710,710,0
Santiago Ihuitlan Plumas,360,300,60
Santiago Ixcuintepec,358,358,0
Santiago Ixtayutla,3573,2725,848
Santiago Jamiltepec,1323,841,482
Santiago Jocotepec,1884,1776,108
Santiago Juxtlahuaca,19756,11301,8455
Santiago Lachiguiri,2340,1620,720
Santiago Lalopa,141,141,0
Santiago Laollaga,518,410,108
Santiago Laxopa,906,810,96
Santiago Llano Grande,674,518,156
Santiago Matatlan,3056,2996,60
Santiago Minas,750,750,0
Santiago Nacaltepec,898,714,184
Santiago Nejapilla,64,64,0
Santiago Nundiche,772,386,386
Santiago Nuyoo,1215,1120,95
Santiago Pinotepa Nacional,5168,3983,1185
Santiago Suchilquitongo,1698,1373,325
Santiago Tamazola,592,533,59
Santiago Tapextla,778,621,157
Villa Tejupam de la Union,400,400,0
Santiago Tenango,347,347,0
Santiago Tepetlapa,400,170,230
Santiago Tetepec,1219,853,366
Santiago Texcalcingo,736,736,0
Santiago Textitlan,1950,1950,0
Santiago Tilantongo,1900,1900,0
Santiago Tillo,522,522,0
Santiago Tlazoyaltepec,2500,2500,0
Santiago Xanica,1540,770,770
Santiago Xiacui,757,556,201
Santiago Yaitepec,468,468,0
Santiago Yaveo,1801,1791,10
Santiago Yosondua,3368,3368,0
Santiago Yucuyachi,32,32,0
Santiago Zacatepec,3706,2906,800
Santiago Zoochila,250,250,0
Nuevo Zoquiapam,955,535,420
Santo Domingo Ingenio,2820,2020,800
Santo Domingo Albarradas,303,303,0
Santo Domingo Armenta,724,609,115
Santo Domingo Chihuitan,711,563,148
Santo Domingo de Morelos,1400,1400,0
Santo Domingo Ixcatlan,170,170,0
Santo Domingo Nuxaa,884,884,0
Santo Domingo Ozolotepec,700,350,350
Santo Domingo Petapa,7466,466,7000
Santo Domingo Roayaga,241,231,10
Santo Domingo Tehuantepec,3298,2082,1216
Santo Domingo Teojomulco,1200,1200,0
Santo Domingo Tepuxtepec,830,800,30
Santo Domingo Tlatayapam,61,61,0
Santo Domingo Tomaltepec,195,183,12
Santo Domingo Tonala,1058,858,200
Santo Domingo Tonaltepec,150,145,5
Santo Domingo Xagacia,260,260,0
Santo Domingo Yanhuitlan,1014,1014,0
Santo Domingo Zanatepec,1691,1645,46
Santos Reyes Nopala,13360,9860,3500
Santos Reyes Papalo,1040,520,520
Santos Reyes Tepejillo,867,690,177
Santos Reyes Yucuna,247,247,0
Santo Tomas Jalieza,885,730,155
Santo Tomas Mazaltepec,660,660,0
Santo Tomas Ocotepec,1560,1160,400
San Vicente Coatlan,648,648,0
San Vicente Lachixio,1028,1028,0
San Vicente Nuñu,1010,1010,0
Silacayoapam,2338,2276,62
Soledad Etla,548,248,300
Villa de Tamazulapam del Progreso,2572,2572,0
Tanetze de Zaragoza,1176,1176,0
Taniche,260,240,20
Tataltepec de Valdes,691,143,548
Teococuilco de Marcos Perez,90,90,0
Teotitlan de Flores Magon,715,115,600
Teotitlan del Valle,685,635,50
Teotongo,319,319,0
Tepelmeme Villa de Morelos,720,720,0
Tezoatlan de Segura y Luna,3276,3276,0
San Jeronimo Tlacochahuaya,1145,730,415
Tlacolula de Matamoros,1134,952,182
Tlacotepec Plumas,745,653,92
Tlalixtac de Cabrera,1035,556,479
Totontepec Villa de Morelos,1671,1491,180
Trinidad Zaachila,1587,1527,60
La Trinidad Vista Hermosa,405,405,0
Valerio Trujano,298,119,179
San Juan Bautista Valle Nacional,3291,3094,197
Villa Diaz Ordaz,2163,2163,0
Yaxe,465,315,150
Magdalena Yodocono de Porfirio Diaz,844,844,0
Yogana,604,604,0
Yutanduchi de Guerrero,406,406,0
Villa de Zaachila,1467,1357,110
Zapotitlan del Rio,1079,1079,0
Zapotitlan Lagunas,318,318,0
Zapotitlan Palmas,505,505,0
Santa Ines de Zaragoza,1094,964,130
Zimatlan de alvarez,3573,2548,1025
Puebla,308555,216675,91880
Acajete,5953,2348,3605
Acateno,209,182,27
Acatlan,2742,1954,788
Acatzingo,1633,1377,256
Acteopan,524,477,47
Ahuacatlan,1368,684,684
Ahuatlan,160,130,30
Ahuazotepec,705,588,117
Ahuehuetitla,272,272,0
Ajalpan,9077,2383,6694
Albino Zertuche,136,136,0
Aljojuca,1241,935,306
Altepexi,1438,1368,70
Amixtlan,90,90,0
Amozoc,2053,1115,938
Aquixtla,360,353,7
Atexcal,1300,951,349
Atlixco,6108,5011,1097
Atoyatempan,54,51,3
Atzala,127,117,10
Atzitzihuacan,1843,1728,115
Atzitzintla,681,524,157
Axutla,648,324,324
Ayotoxco de Guerrero,441,388,53
Calpan,1757,1101,656
Caltepec,3236,2986,250
Camocuautla,58,58,0
Caxhuacan,74,74,0
Coatzingo,549,549,0
Cohetzala,476,476,0
Cohuecan,355,212,143
Coronango,2924,798,2126
Coxcatlan,3895,1735,2160
Coyomeapan,4674,1674,3000
Coyotepec,1017,807,210
Cuapiaxtla de Madero,296,260,36
Cuautempan,72,72,0
Cuautinchan,522,436,86
Cuautlancingo,1626,936,690
Cuayuca de Andrade,303,276,27
Cuetzalan del Progreso,169,125,44
Cuyoaco,2497,1980,517
Chalchicomula de Sesma,7095,5370,1725
Chapulco,1268,1188,80
Chiautla,1088,972,116
Chiautzingo,1976,1894,82
Chiconcuautla,545,545,0
Chietla,3179,2228,951
Chignahuapan,5234,4028,1206
Chignautla,754,537,217
Chila,934,484,450
Chila de la Sal,88,88,0
Honey,35,27,8
Chilchotla,2519,901,1618
Chinantla,336,323,13
Domingo Arenas,696,646,50
Eloxochitlan,3518,1068,2450
Epatlan,622,570,52
Esperanza,1339,1043,296
Francisco Z. Mena,1368,1215,153
General Felipe angeles,2372,1903,469
Guadalupe,1602,1039,563
Guadalupe Victoria,2283,1825,458
Huaquechula,3622,3235,387
Huatlatlauca,2482,2456,26
Huauchinango,175,155,20
Huehuetlan el Chico,1329,925,404
Huejotzingo,3763,2990,773
Hueytamalco,752,647,105
Hueytlalpan,89,89,0
Huitzilan de Serdan,832,441,391
Ixcamilpa de Guerrero,815,508,307
Ixcaquixtla,929,636,293
Ixtacamaxtitlan,3925,2370,1555
Izucar de Matamoros,3830,3210,620
Jalpan,602,539,63
Jolalpan,3810,3381,429
Jonotla,201,175,26
Jopala,100,97,3
Juan C. Bonilla,946,475,471
Juan N. Mendez,4665,4641,24
Lafragua,2691,2003,688
Libres,2797,2435,362
La Magdalena Tlatlauquitepec,299,299,0
Mazapiltepec de Juarez,1155,1115,40
Mixtla,51,43,8
Molcaxac,1398,1327,71
Cañada Morelos,1603,1099,504
Nicolas Bravo,843,843,0
Nopalucan,1821,1819,2
Ocotepec,853,776,77
Ocoyucan,3570,2226,1344
Olintla,292,292,0
Oriental,2585,1789,796
Pahuatlan,79,79,0
Palmar de Bravo,3927,2659,1268
Pantepec,1405,1185,220
Petlalcingo,1302,855,447
Piaxtla,533,494,39
Puebla,8549,6361,2188
Quecholac,3055,2434,621
Rafael Lara Grajales,245,245,0
Los Reyes de Juarez,570,514,56
San Andres Cholula,807,638,169
San Antonio Cañada,668,368,300
San Diego la Mesa Tochimiltzingo,267,253,14
San Felipe Teotlalcingo,1099,1069,30
San Gabriel Chilac,788,642,146
San Jeronimo Tecuanipan,440,347,93
San Jeronimo Xayacatlan,638,638,0
San Jose Chiapa,692,688,4
San Jose Miahuatlan,2044,1985,59
San Juan Atenco,1389,1358,31
San Martin Texmelucan,6659,2855,3804
San Martin Totoltepec,425,76,349
San Matias Tlalancaleca,1876,1641,235
San Miguel Xoxtla,336,326,10
San Nicolas Buenos Aires,2081,1580,501
San Nicolas de los Ranchos,1206,789,417
San Pablo Anicano,549,514,35
San Pedro Cholula,470,266,204
