INEGI. IX Censo Ejidal 2007,,,
"Total de ejidatarios, comuneros y posesionarios",,,cuadro 12
por entidad federativa y municipio,,,
,,,
entidad_federativa_y_municipio,total,ejidatarios_y_comuneros,posesionarios
Aquiles Serdan,230,230,0
Ascension,2731,1756,975
Bachiniva,1734,1171,563
Balleza,5777,3221,2556
Batopilas,3316,3240,76
Bocoyna,4222,3887,335
Buenaventura,1384,1225,159
Camargo,933,921,12
Carichi,3249,2360,889
Casas Grandes,1661,1636,25
Coronado,361,355,6
Coyame del Sotol,467,458,9
La Cruz,545,373,172
Cuauhtemoc,2969,2419,550
Cusihuiriachi,1117,1071,46
Chihuahua,3797,3407,390
Chinipas,1773,1500,273
Delicias,336,283,53
Dr. Belisario Dominguez,1262,1205,57
Galeana,801,482,319
Santa Isabel,960,951,9
Gomez Farias,2197,1523,674
Gran Morelos,1074,1032,42
Guachochi,8622,8421,201
Guadalupe,972,917,55
Guadalupe y Calvo,10600,8241,2359
Guazapares,1757,1733,24
Guerrero,5475,5245,230
Hidalgo del Parral,391,391,0
Huejotitan,546,471,75
Ignacio Zaragoza,2879,1899,980
Janos,1993,1893,100
Jimenez,2564,2422,142
Juarez,1039,881,158
Julimes,673,673,0
Lopez,925,817,108
Madera,3539,3440,99
Maguarichi,406,250,156
Manuel Benavides,661,652,9
Matachi,432,427,5
Matamoros,623,604,19
Meoqui,1134,1128,6
Morelos,1237,1156,81
Moris,951,801,150
Namiquipa,5513,3308,2205
Nonoava,919,712,207
Nuevo Casas Grandes,205,187,18
Ocampo,2061,1708,353
Ojinaga,2092,2030,62
Praxedis G. Guerrero,929,906,23
Riva Palacio,649,553,96
Rosales,3036,2891,145
Rosario,654,547,107
San Francisco de Borja,559,434,125
San Francisco de Conchos,447,384,63
San Francisco del Oro,290,244,46
Santa Barbara,497,436,61
Satevo,1505,1505,0
Saucillo,996,944,52
Temosachi,1534,1332,202
El Tule,432,364,68
Urique,4517,3652,865
Uruachi,2433,2233,200
Valle de Zaragoza,986,746,240
Distrito Federal,32637,29007,3630
Cuajimalpa de Morelos,2937,2809,128
La Magdalena Contreras,2440,2240,200
Milpa Alta,13616,12951,665
alvaro Obregon,1297,997,300
Tlahuac,4898,3808,1090
Tlalpan,3769,2592,1177
Xochimilco,3680,3610,70
Durango,176738,149890,26848
