INEGI. IX Censo Ejidal 2007,,,,,,,,,,,,
Ejidos y comunidades segun tipo de construcciones agropecuarias y forestales de su propiedad,,,,,,,,,,,,cuadro 23
por entidad federativa y municipio,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
entidad_federativa_y_municipio,ejidos_y_comunidades,ejidos_y_comunidades_con_construcciones_agropecuarias_y_forestales_de_su_propiedad_a_total,ejidos_y_comunidades_con_construcciones_agropecuarias_y_forestales_de_su_propiedad_a_bodegas,ejidos_y_comunidades_con_construcciones_agropecuarias_y_forestales_de_su_propiedad_a_naves_para_aves,ejidos_y_comunidades_con_construcciones_agropecuarias_y_forestales_de_su_propiedad_a_naves_para_cerdos,ejidos_y_comunidades_con_construcciones_agropecuarias_y_forestales_de_su_propiedad_a_bordos_para_riego_o_abrevadero,ejidos_y_comunidades_con_construcciones_agropecuarias_y_forestales_de_su_propiedad_a_pozo_para_riego,ejidos_y_comunidades_con_construcciones_agropecuarias_y_forestales_de_su_propiedad_a_baño_garrapaticida,ejidos_y_comunidades_con_construcciones_agropecuarias_y_forestales_de_su_propiedad_a_sala_de_ordeña,ejidos_y_comunidades_con_construcciones_agropecuarias_y_forestales_de_su_propiedad_a_aserradero,ejidos_y_comunidades_con_construcciones_agropecuarias_y_forestales_de_su_propiedad_a_otras_cosntrucciones,ejidos_y_comunidades_sin_construcciones_agropecuarias_ni_forestales_de_su_propiedad
Guerrero,1259,325,91,7,7,150,50,27,0,10,63,934
Acapulco de Juarez,45,9,2,2,1,2,2,0,0,0,1,36
Ahuacuotzingo,28,8,1,0,0,6,0,0,0,0,2,20
Ajuchitlan del Progreso,39,8,2,0,0,3,1,0,0,2,1,31
Alcozauca de Guerrero,14,2,0,0,0,0,2,0,0,0,0,12
Alpoyeca,5,3,3,0,0,0,1,0,0,0,0,2
Apaxtla,4,1,1,0,0,0,0,0,0,0,1,3
Arcelia,23,3,2,0,0,0,0,0,0,0,2,20
Atenango del Rio,14,6,1,1,1,5,0,0,0,0,0,8
Atlamajalcingo del Monte,7,1,0,0,0,1,0,0,0,0,0,6
Atlixtac,5,2,1,0,0,1,1,0,0,0,0,3
Atoyac de alvarez,36,6,3,0,0,1,1,1,0,0,1,30
Ayutla de los Libres,28,3,0,0,0,1,0,2,0,1,1,25
Azoyu,11,2,0,0,0,0,1,1,0,0,1,9
Benito Juarez,6,2,0,0,0,0,1,0,0,0,1,4
Buenavista de Cuellar,7,5,0,0,0,3,2,0,0,0,0,2
Coahuayutla de Jose Maria Izazaga,35,8,3,0,0,5,0,3,0,0,0,27
Cocula,16,2,0,0,0,0,0,1,0,0,1,14
Copala,6,1,0,0,0,1,0,0,0,0,0,5
Copalillo,9,5,1,0,0,3,1,0,0,0,2,4
Copanatoyac,8,1,0,0,0,1,0,0,0,0,0,7
Coyuca de Benitez,32,4,2,0,0,1,1,0,0,0,0,28
Coyuca de Catalan,56,6,3,0,1,1,1,0,0,1,2,50
Cuajinicuilapa,11,5,4,0,0,0,1,1,0,0,0,6
Cualac,C,C,0,0,0,1,0,0,0,0,0,C
Cuautepec,5,0,0,0,0,0,0,0,0,0,0,5
Cuetzala del Progreso,12,4,1,0,0,3,0,0,0,0,0,8
Cutzamala de Pinzon,33,6,1,0,0,4,0,0,0,0,3,27
Chilapa de alvarez,45,9,2,0,0,4,4,3,0,0,0,36
Chilpancingo de los Bravo,31,8,5,0,0,0,0,1,0,2,1,23
Florencio Villarreal,C,C,1,0,0,0,0,0,0,0,1,C
General Canuto A. Neri,5,1,0,0,0,1,0,0,0,0,0,4
General Heliodoro Castillo,7,2,0,0,0,1,2,0,0,0,0,5
Huamuxtitlan,8,7,5,0,0,3,1,1,0,0,1,1
Huitzuco de los Figueroa,21,12,1,0,0,11,1,0,0,0,0,9
Iguala de la Independencia,15,13,2,0,1,8,0,0,0,0,7,2
Igualapa,7,0,0,0,0,0,0,0,0,0,0,7
Ixcateopan de Cuauhtemoc,C,C,0,0,0,0,0,0,0,0,0,C
Jose Azueta,18,4,3,0,0,0,1,0,0,0,0,14
Juan R. Escudero,11,2,1,2,0,0,0,1,0,0,0,9
Leonardo Bravo,16,3,2,0,0,1,0,0,0,1,1,13
Malinaltepec,9,2,2,0,0,0,0,0,0,0,1,7
Martir de Cuilapan,11,0,0,0,0,0,0,0,0,0,0,11
Metlatonoc,9,0,0,0,0,0,0,0,0,0,0,9
Mochitlan,26,4,0,0,0,2,3,0,0,0,0,22
Olinala ,7,5,0,0,0,4,1,0,0,0,0,2
Ometepec,26,3,2,0,1,1,0,0,0,0,0,23
Petatlan,27,11,1,0,0,2,3,0,0,1,8,16
Pilcaya,6,5,0,0,0,3,0,2,0,0,1,1
Pungarabato,10,3,0,0,0,2,0,0,0,0,1,7
Quechultenango,26,2,1,0,0,2,1,0,0,0,0,24
San Luis Acatlan,23,8,4,0,0,3,3,0,0,0,0,15
San Marcos,33,3,1,0,0,0,1,1,0,0,0,30
San Miguel Totolapan,8,2,1,0,0,0,0,0,0,1,0,6
Taxco de Alarcon,23,10,1,0,1,5,0,0,0,0,4,13
Tecoanapa,39,8,4,0,0,2,1,2,0,0,0,31
Tecpan de Galeana,25,5,0,0,0,0,3,1,0,1,1,20
Teloloapan,27,3,0,0,0,2,0,1,0,0,0,24
Tepecoacuilco de Trujano,25,14,2,1,0,12,0,1,0,0,0,11
Tetipac,5,1,0,0,0,1,0,0,0,0,0,4
Tixtla de Guerrero,10,2,1,0,0,0,1,0,0,0,0,8
Tlacoachistlahuaca,15,1,1,0,1,0,0,0,0,0,0,14
Tlacoapa,C,C,0,0,0,1,0,0,0,0,0,C
Tlalchapa,16,3,0,0,0,0,0,0,0,0,3,13
Tlalixtaquilla de Maldonado,5,3,1,0,0,3,0,0,0,0,0,2
Tlapa de Comonfort,30,9,1,0,0,6,0,0,0,0,4,21
Tlapehuala,12,6,1,0,0,2,0,1,0,0,4,6
La Union de Isidoro Montes de Oca,31,20,2,1,0,14,7,0,0,0,4,11
Xalpatlahuac,8,0,0,0,0,0,0,0,0,0,0,8
Xochihuehuetlan,7,2,1,0,0,1,0,0,0,0,0,5
Xochistlahuaca,7,0,0,0,0,0,0,0,0,0,0,7
Zapotitlan Tablas,C,C,0,0,0,0,0,0,0,0,0,C
Zirandaro,28,8,3,0,0,5,0,1,0,0,0,20
Zitlala,11,3,2,0,0,0,0,0,0,0,1,8
Eduardo Neri,16,6,2,0,0,5,0,1,0,0,0,10
Acatepec,C,C,1,0,0,0,0,0,0,0,0,C
Marquelia,3,1,1,0,0,0,0,1,0,0,0,2
Cochoapa el Grande,C,C,0,0,0,0,0,0,0,0,0,C
Jose Joaquin de Herrera,C,C,0,0,0,0,0,0,0,0,0,C
Juchitan,C,C,0,0,0,0,1,0,0,0,0,C
Iliatenco,4,3,2,0,0,0,0,0,0,0,1,1
Hidalgo,1189,428,109,17,11,303,75,37,1,6,67,761
Acatlan,17,14,7,0,0,11,5,0,0,0,0,3
Acaxochitlan,13,4,1,0,0,3,1,0,0,0,0,9
Actopan,11,3,0,0,0,1,2,0,0,0,0,8
Agua Blanca de Iturbide,10,6,2,0,0,4,0,1,0,1,0,4
Ajacuba,8,7,0,0,0,6,1,0,0,0,0,1
Alfajayucan,28,18,2,1,0,17,0,2,0,0,6,10
Almoloya,13,9,3,0,0,9,0,1,0,0,0,4
Apan,15,12,1,0,0,8,1,0,0,0,6,3
El Arenal,8,2,0,0,0,0,2,0,0,0,0,6
Atitalaquia,5,2,1,0,0,2,0,0,0,0,0,3
Atlapexco,9,1,1,0,0,0,0,0,0,0,0,8
Atotonilco el Grande,24,11,2,0,0,11,0,1,0,0,2,13
Atotonilco de Tula,7,5,0,0,0,3,1,0,0,0,3,2
Calnali,C,C,0,0,0,0,0,0,0,0,0,C
Cardonal,20,5,1,3,0,1,0,0,0,0,1,15
Cuautepec de Hinojosa,24,9,5,0,0,3,4,0,0,1,2,15
Chapantongo,14,14,0,0,0,14,4,0,0,0,1,0
Chapulhuacan,22,0,0,0,0,0,0,0,0,0,0,22
Chilcuautla,6,1,0,0,0,1,0,0,0,0,0,5
Eloxochitlan,8,2,0,0,0,1,1,1,0,0,1,6
Emiliano Zapata,4,3,1,0,0,3,0,0,0,0,0,1
Epazoyucan,12,6,3,0,0,4,0,0,0,0,0,6
Francisco I. Madero,C,C,1,0,0,0,0,0,0,0,0,C
Huasca de Ocampo,27,17,8,1,0,15,3,0,0,0,3,10
Huautla,42,7,1,0,0,4,0,3,0,0,0,35
Huazalingo,12,1,0,1,1,0,0,0,0,0,0,11
Huehuetla,6,1,0,0,0,0,0,0,0,0,1,5
Huejutla de Reyes,47,12,9,0,0,0,1,3,0,0,1,35
Huichapan,35,34,4,2,1,34,5,8,0,1,4,1
Ixmiquilpan,24,4,2,1,0,0,0,0,0,0,1,20
Jacala de Ledezma,13,10,2,1,0,9,0,4,0,0,0,3
Jaltocan,16,1,1,0,0,0,0,0,0,0,0,15
Juarez Hidalgo,4,1,0,0,0,0,0,1,0,0,0,3
Lolotla,10,0,0,0,0,0,0,0,0,0,0,10
Metepec,11,5,1,0,0,4,4,1,0,0,0,6
San Agustin Metzquititlan,7,1,0,0,0,1,0,0,0,0,0,6
Metztitlan,27,7,0,0,0,3,5,0,0,0,0,20
Mineral del Chico,6,0,0,0,0,0,0,0,0,0,0,6
Mineral del Monte,C,C,0,0,0,0,0,0,0,1,0,C
Mixquiahuala de Juarez,7,4,1,1,0,2,2,0,0,0,0,3
Molango de Escamilla,13,0,0,0,0,0,0,0,0,0,0,13
Nicolas Flores,4,0,0,0,0,0,0,0,0,0,0,4
Nopala de Villagran,9,9,1,0,0,9,0,0,0,0,1,0
Omitlan de Juarez,4,0,0,0,0,0,0,0,0,0,0,4
San Felipe Orizatlan,80,21,7,0,0,18,0,0,0,0,0,59
Pacula,C,C,0,0,0,0,0,0,0,0,0,C
Pachuca de Soto,7,2,0,0,0,1,1,0,0,0,1,5
Pisaflores,6,2,1,1,1,0,0,1,1,0,0,4
Progreso de Obregon,C,C,0,0,0,0,0,0,0,0,1,C
Mineral de la Reforma,7,0,0,0,0,0,0,0,0,0,0,7
San Agustin Tlaxiaca,10,7,0,0,0,6,0,0,0,0,3,3
San Bartolo Tutotepec,7,1,0,0,0,1,0,0,0,0,0,6
San Salvador,18,9,2,0,0,5,4,0,0,0,1,9
Santiago de Anaya,13,6,2,0,0,0,5,1,0,0,2,7
Santiago Tulantepec de Lugo Guerrero,6,4,3,0,1,3,0,0,0,1,0,2
Singuilucan,15,10,6,0,0,6,0,0,0,0,3,5
Tasquillo,17,3,1,1,0,1,0,0,0,0,0,14
Tecozautla,32,20,2,1,0,17,7,0,0,0,2,12
Tenango de Doria,5,0,0,0,0,0,0,0,0,0,0,5
Tepeapulco,9,4,0,0,0,4,0,0,0,0,0,5
Tepehuacan de Guerrero,31,3,0,0,3,0,0,0,0,0,1,28
Tepeji del Rio de Ocampo,16,10,1,0,0,6,2,4,0,0,7,6
Tepetitlan,12,9,0,0,0,9,2,0,0,0,0,3
Tetepango,C,C,0,0,0,1,0,0,0,0,0,C
Villa de Tezontepec,C,C,1,0,0,1,0,1,0,0,0,C
Tezontepec de Aldama,5,0,0,0,0,0,0,0,0,0,0,5
Tianguistengo,24,0,0,0,0,0,0,0,0,0,0,24
Tizayuca,3,1,1,0,0,1,1,1,0,0,0,2
Tlahuelilpan,C,C,0,0,0,0,0,0,0,0,0,C
Tlahuiltepa,15,1,0,0,0,1,0,0,0,0,0,14
Tlanalapa,3,2,0,0,0,2,0,0,0,0,0,1
Tlanchinol,34,3,1,0,0,0,0,1,0,0,1,31
Tlaxcoapan,4,0,0,0,0,0,0,0,0,0,0,4
Tolcayuca,3,2,1,0,0,2,0,0,0,0,0,1
Tula de Allende,25,10,1,1,0,7,4,0,0,0,3,15
Tulancingo de Bravo,14,12,4,0,0,9,7,0,0,0,3,2
Xochiatipan,25,3,0,0,3,0,0,0,0,0,0,22
Xochicoatlan,15,0,0,0,0,0,0,0,0,0,0,15
Yahualica,20,1,0,0,1,0,0,0,0,0,0,19
Zacualtipan de angeles,19,5,4,0,0,0,0,0,0,1,2,14
Zapotlan de Juarez,3,3,1,0,0,3,0,0,0,0,1,0
Zempoala,24,13,5,0,0,9,0,0,0,0,2,11
Zimapan,46,8,4,2,0,7,0,2,0,0,1,38
Jalisco,1429,1007,561,12,23,565,244,377,15,13,243,422
Acatic,C,C,2,0,0,1,0,0,1,0,0,C
Acatlan de Juarez,7,6,6,0,0,4,3,3,0,0,1,1
Ahualulco de Mercado,8,7,6,0,0,5,7,4,0,0,1,1
Amacueca,C,C,1,0,0,0,0,0,0,0,0,C
Amatitan,5,5,5,0,0,1,2,2,0,0,2,0
Ameca,44,41,28,0,0,27,7,23,0,1,0,3
San Juanito de Escobedo,5,5,5,0,0,2,2,2,0,0,2,0
Arandas,C,C,1,0,0,0,0,0,0,0,0,C
El Arenal,C,C,3,0,0,2,3,0,0,0,0,C
Atemajac de Brizuela,9,8,3,0,0,8,0,4,0,0,6,1
Atengo,12,9,6,0,0,5,0,4,0,0,0,3
Atenguillo,5,4,2,0,0,1,0,3,0,0,1,1
Atotonilco el Alto,19,12,6,0,0,9,1,0,0,0,0,7
Atoyac,11,9,3,0,0,5,1,1,0,0,5,2
Autlan de Navarro,27,23,5,0,1,17,4,11,0,1,13,4
Ayotlan,15,13,10,0,0,6,7,5,0,0,4,2
Ayutla,27,22,10,0,0,16,1,10,0,1,7,5
La Barca,28,18,8,0,0,1,13,0,0,0,0,10
Bolaños,C,C,0,0,0,0,0,1,0,0,0,C
Cabo Corrientes,20,12,5,1,0,5,3,7,0,0,0,8
Casimiro Castillo,16,14,9,0,0,3,5,10,0,0,8,2
Cihuatlan,15,13,2,0,0,6,4,7,0,0,7,2
Zapotlan el Grande,5,4,2,0,0,0,1,1,0,0,3,1
Cocula,19,16,7,0,0,11,11,4,0,0,0,3
Colotlan,7,5,1,0,0,4,1,3,0,0,0,2
Concepcion de Buenos Aires,11,6,4,0,0,4,0,1,1,0,1,5
Cuautitlan de Garcia Barragan,12,10,6,0,0,5,2,8,0,0,4,2
Cuautla,4,4,2,0,0,3,0,3,0,1,2,0
Cuquio,13,12,12,0,0,5,0,3,0,0,1,1
Chapala,6,3,2,0,1,3,1,3,0,0,0,3
Chimaltitan,C,C,1,0,0,2,0,2,0,0,0,C
Chiquilistlan,6,4,3,0,0,2,0,3,0,0,0,2
Degollado,23,17,8,1,1,13,0,4,0,0,3,6
Ejutla,3,2,1,0,0,2,0,0,0,0,0,1
Encarnacion de Diaz,12,9,4,0,0,8,5,0,3,0,0,3
Etzatlan,10,9,7,0,0,4,3,4,0,0,3,1
El Grullo,8,5,3,0,0,5,0,2,0,0,3,3
Guachinango,13,7,6,0,0,2,0,3,0,0,0,6
Guadalajara,C,C,0,0,0,0,0,0,0,0,1,C
Hostotipaquillo,17,16,8,0,0,11,0,8,0,0,6,1
Huejucar,5,5,1,0,0,4,2,4,0,0,1,0
Huejuquilla el Alto,3,3,2,0,0,2,0,2,0,0,0,0
La Huerta,32,22,4,0,2,12,8,14,1,0,10,10
Ixtlahuacan de los Membrillos,10,8,6,2,2,4,3,3,0,0,1,2
Ixtlahuacan del Rio,12,8,8,0,0,3,0,3,1,0,1,4
Jalostotitlan,C,C,1,0,0,0,0,0,0,0,0,C
Jamay,4,4,3,0,0,0,0,0,0,0,1,0
Jesus Maria,C,C,1,0,0,1,0,0,0,0,0,C
Jilotlan de los Dolores,26,10,1,0,0,7,5,1,0,0,1,16
Jocotepec,15,13,9,0,1,6,5,4,0,0,9,2
Juanacatlan,6,5,5,1,0,1,1,1,0,0,0,1
Juchitlan,7,5,4,0,0,4,0,0,0,0,0,2
Lagos de Moreno,44,29,15,0,0,22,10,0,1,0,0,15
El Limon,6,5,2,0,1,4,0,5,0,0,3,1
Magdalena,10,9,6,0,0,6,2,6,0,0,3,1
Santa Maria del Oro,4,0,0,0,0,0,0,0,0,0,0,4
La Manzanilla de la Paz,9,4,0,0,0,4,0,0,0,0,0,5
Mascota,16,10,5,0,0,2,0,8,0,0,0,6
Mazamitla,19,7,5,0,0,2,0,0,0,0,2,12
Mexticacan,3,1,0,0,0,1,0,0,0,0,0,2
Mezquitic,8,6,3,1,0,5,0,4,0,1,1,2
Mixtlan,5,2,1,0,1,0,0,2,0,1,0,3
Ocotlan,16,12,9,0,0,3,3,1,0,0,1,4
Ojuelos de Jalisco,20,20,8,0,0,20,3,3,0,0,0,0
Pihuamo,18,11,7,0,0,3,1,4,0,1,2,7
Poncitlan,17,10,5,0,0,5,4,2,0,0,0,7
Puerto Vallarta,15,10,5,1,2,4,3,9,1,0,1,5
Villa Purificacion,13,3,2,0,0,0,0,1,0,0,0,10
Quitupan,25,4,0,0,0,2,1,0,0,0,1,21
El Salto,4,1,0,0,0,1,0,0,0,0,0,3
San Cristobal de la Barranca,C,C,0,0,0,2,0,2,0,0,0,C
San Diego de Alejandria,C,C,1,0,0,1,0,0,0,0,0,C
San Juan de los Lagos,7,5,3,1,0,4,2,0,2,0,0,2
San Marcos,4,4,3,0,0,3,0,2,0,0,1,0
San Martin Hidalgo,18,14,7,0,0,9,10,3,0,0,1,4
San Miguel el Alto,C,C,0,0,0,0,0,0,0,0,0,C
Gomez Farias,5,5,5,0,0,2,2,0,0,0,3,0
San Sebastian del Oeste,18,11,1,0,0,7,1,7,0,0,0,7
Santa Maria de los angeles,10,8,5,0,0,8,1,6,0,0,0,2
Sayula,5,4,2,0,0,0,2,0,0,0,4,1
Tala,13,12,8,0,0,8,9,2,0,0,2,1
Talpa de Allende,17,10,4,0,0,0,0,7,0,2,1,7
Tamazula de Gordiano,35,22,13,0,5,9,9,4,0,0,9,13
Tapalpa,8,7,3,0,0,3,0,2,0,1,5,1
Tecalitlan,17,9,5,0,0,6,5,1,0,0,4,8
Tecolotlan,20,18,12,1,0,13,0,6,0,0,1,2
Techaluta de Montenegro,C,C,1,0,0,0,2,0,0,0,0,C
Tenamaxtlan,12,9,8,0,0,6,0,7,0,0,0,3
Teocaltiche,11,4,2,0,0,3,0,1,0,0,3,7
Teocuitatlan de Corona,27,21,7,0,0,16,4,4,0,0,8,6
Tepatitlan de Morelos,C,C,0,0,0,0,0,0,0,0,0,C
Tequila,15,9,3,0,0,3,0,5,0,0,0,6
Teuchitlan,6,6,6,0,1,1,4,3,0,0,2,0
Tizapan el Alto,14,9,5,0,0,6,2,2,0,0,4,5
Tlajomulco de Zuñiga,25,25,20,1,0,13,13,13,1,0,3,0
Tlaquepaque,7,3,3,1,1,1,1,1,1,0,1,4
Toliman,12,8,4,0,0,5,2,6,0,0,6,4
Tomatlan,40,27,20,0,0,5,3,17,0,2,11,13
Tonala,8,3,3,0,2,2,1,2,1,0,1,5
Tonaya,C,C,1,0,0,2,0,1,0,0,2,C
Tonila,8,7,7,0,1,5,1,2,1,0,0,1
Tototlan,22,1,1,0,0,1,0,0,0,0,0,21
Tuxcacuesco,8,5,3,0,0,2,0,2,0,0,1,3
Tuxcueca,5,5,1,0,0,3,1,2,0,0,1,0
Tuxpan,14,13,8,0,0,5,2,3,0,0,5,1
Union de San Antonio,17,14,6,0,0,12,4,4,0,0,4,3
Union de Tula,14,13,8,0,0,12,0,7,0,0,3,1
Valle de Guadalupe,C,C,0,0,0,0,0,0,0,0,0,C
Valle de Juarez,9,1,0,0,0,1,1,0,0,0,0,8
San Gabriel,22,20,10,0,0,20,1,6,0,1,7,2
Villa Corona,5,5,5,0,0,3,4,4,0,0,0,0
Villa Guerrero,C,C,1,0,0,1,0,1,0,0,0,C
Villa Hidalgo,4,0,0,0,0,0,0,0,0,0,0,4
Cañadas de Obregon,C,C,0,0,0,0,0,0,0,0,0,C
Yahualica de Gonzalez Gallo,3,1,0,0,0,0,1,0,0,0,0,2
Zacoalco de Torres,16,13,2,0,0,4,3,3,0,0,10,3
Zapopan,32,21,11,1,0,10,1,6,0,0,7,11
Zapotiltic,18,16,11,0,1,3,9,5,0,0,9,2
Zapotitlan de Vadillo,4,3,2,0,0,1,0,0,0,0,2,1
Zapotlan del Rey,22,12,4,0,0,8,5,1,0,0,0,10
Zapotlanejo,11,6,5,0,0,0,0,1,0,0,0,5
Mexico,1233,559,209,7,17,319,155,17,1,12,97,674
Acambay,32,16,5,0,0,6,8,1,0,0,1,16
Acolman,13,13,3,0,0,5,12,0,0,0,3,0
Aculco,26,13,6,0,0,10,1,0,0,0,2,13
Almoloya de Alquisiras,12,1,1,0,0,0,0,0,0,0,0,11
Almoloya de Juarez,36,33,9,1,1,32,13,0,0,0,1,3
Almoloya del Rio,4,1,1,0,0,1,0,0,0,0,0,3
Amanalco,19,8,5,0,0,0,0,0,0,1,5,11
Amatepec,17,8,4,0,0,6,1,3,0,0,1,9
Amecameca,11,4,1,0,0,0,0,0,0,0,3,7
Apaxco,C,C,1,0,0,1,0,0,0,0,2,C
Atenco,5,3,1,0,0,2,3,0,0,0,1,2
Atizapan,C,C,0,0,0,0,0,0,0,0,1,C
Atizapan de Zaragoza,C,C,0,0,0,0,0,0,0,0,0,C
Atlacomulco,29,12,4,0,0,9,5,0,0,0,2,17
Atlautla,C,C,2,0,0,0,0,0,0,0,1,C
Axapusco,16,15,1,0,0,14,2,0,0,0,2,1
Ayapango,5,1,1,0,0,0,0,0,0,0,0,4
Calimaya,9,1,0,0,1,0,0,0,0,0,0,8
Capulhuac,4,0,0,0,0,0,0,0,0,0,0,4
Coacalco de Berriozabal,C,C,0,0,0,1,0,0,0,0,0,C
Coatepec Harinas,11,2,2,0,0,2,0,0,0,0,0,9
Cocotitlan,C,C,1,0,0,0,0,0,0,0,1,C
Coyotepec,C,C,0,0,0,1,0,0,0,0,0,C
Cuautitlan,C,C,0,0,0,0,0,0,0,0,0,C
Chalco,14,9,2,0,0,0,2,0,0,1,7,5
Chapa de Mota,15,3,2,0,0,2,0,0,0,0,0,12
Chapultepec,C,C,1,0,0,0,0,0,0,0,0,C
Chiautla,5,5,0,0,0,0,5,0,0,0,0,0
Chicoloapan,C,C,0,0,0,0,1,0,0,0,1,C
Chiconcuac,C,C,0,0,0,0,1,0,0,0,1,C
Chimalhuacan,C,C,0,0,0,1,1,0,0,0,0,C
Donato Guerra,17,3,3,0,0,0,0,0,0,0,0,14
Ecatepec de Morelos,8,4,1,0,0,1,1,0,0,0,2,4
Ecatzingo,C,C,1,0,0,0,0,0,0,1,1,C
Huehuetoca,3,2,1,0,0,0,0,0,0,0,2,1
Hueypoxtla,11,9,2,0,0,8,0,0,0,0,2,2
Huixquilucan,7,0,0,0,0,0,0,0,0,0,0,7
Isidro Fabela,4,2,1,0,0,1,0,0,0,0,0,2
Ixtapaluca,9,4,3,0,0,1,3,0,0,0,1,5
Ixtapan de la Sal,C,C,1,0,0,1,0,0,0,0,0,C
Ixtapan del Oro,8,4,2,0,0,2,0,0,0,0,1,4
Ixtlahuaca,36,23,7,0,1,19,13,0,0,0,0,13
Jaltenco,C,C,0,0,0,0,0,0,0,0,0,C
Jilotepec,33,24,7,1,0,23,3,1,0,0,2,9
Jilotzingo,7,1,0,0,0,1,0,0,0,0,0,6
Jiquipilco,15,13,4,0,0,10,7,0,0,1,2,2
Jocotitlan,15,11,5,0,0,6,8,0,0,0,0,4
Joquicingo,3,2,1,0,0,1,0,0,0,1,0,1
Juchitepec,C,C,2,0,0,0,0,0,0,0,0,C
Lerma,20,8,6,0,0,0,1,0,0,0,2,12
Malinalco,13,5,2,0,0,4,1,0,0,0,1,8
Melchor Ocampo,3,1,0,0,1,0,0,0,0,0,0,2
Metepec,5,0,0,0,0,0,0,0,0,0,0,5
Mexicaltzingo,C,C,1,0,0,0,0,0,0,0,0,C
Morelos,14,6,3,0,0,5,0,0,0,0,0,8
Naucalpan de Juarez,8,2,1,1,0,1,1,0,1,0,0,6
Nextlalpan,3,1,0,0,0,0,0,0,0,0,1,2
Nicolas Romero,9,5,4,0,1,2,0,0,0,0,3,4
Nopaltepec,4,2,0,0,0,2,0,0,0,0,0,2
Ocoyoacac,8,2,1,0,1,0,0,0,0,0,0,6
Ocuilan,5,3,2,0,0,2,0,0,0,0,0,2
El Oro,12,3,1,0,0,1,1,0,0,0,1,9
Otumba,12,4,1,0,0,2,2,0,0,0,0,8
Otzoloapan,C,C,0,0,0,0,0,0,0,0,0,C
Otzolotepec,10,5,0,0,0,2,3,0,0,0,1,5
Ozumba,5,0,0,0,0,0,0,0,0,0,0,5
Papalotla,C,C,0,0,1,0,1,0,0,0,1,C
La Paz,C,C,0,0,0,0,0,0,0,0,0,C
Polotitlan,10,8,3,0,0,8,0,0,0,0,3,2
Rayon,4,3,2,0,0,1,2,0,0,0,0,1
San Antonio la Isla,C,C,0,0,0,0,0,0,0,0,0,C
San Felipe del Progreso,47,13,5,0,0,9,1,0,0,0,0,34
San Martin de las Piramides,8,5,2,0,0,1,3,0,0,0,0,3
San Mateo Atenco,C,C,0,0,0,0,0,0,0,0,0,C
San Simon de Guerrero,C,C,0,0,0,0,0,0,0,0,1,C
Santo Tomas,6,0,0,0,0,0,0,0,0,0,0,6
Soyaniquilpan de Juarez,7,4,4,0,0,3,0,0,0,0,0,3
Sultepec,9,3,1,0,0,2,0,0,0,0,0,6
Tecamac,10,3,1,0,0,1,2,0,0,0,1,7
Tejupilco,14,7,3,1,1,4,0,1,0,0,1,7
Temamatla,C,C,0,0,0,0,0,0,0,0,0,C
Temascalapa,11,3,2,0,0,1,0,0,0,0,1,8
Temascalcingo,27,3,2,0,0,1,0,0,0,0,0,24
Temascaltepec,36,9,4,0,0,4,1,0,0,0,2,27
Temoaya,9,5,3,1,0,3,4,0,0,0,0,4
Tenancingo,22,7,2,0,0,6,2,1,0,0,0,15
Tenango del Aire,4,2,2,0,0,0,0,0,0,0,0,2
Tenango del Valle,13,3,2,1,0,0,1,0,0,0,0,10
Teoloyucan,7,0,0,0,0,0,0,0,0,0,0,7
Teotihuacan,8,4,1,0,0,0,4,0,0,0,0,4
Tepetlaoxtoc,10,6,0,0,0,5,1,0,0,1,1,4
Tepetlixpa,4,2,1,0,0,1,0,0,0,0,0,2
Tepotzotlan,5,2,1,0,0,0,0,0,0,0,2,3
Tequixquiac,3,3,1,0,0,2,0,0,0,0,2,0
Texcaltitlan,8,1,1,0,0,0,0,0,0,0,0,7
Texcalyacac,C,C,1,0,0,0,0,0,0,0,0,C
Texcoco,31,20,5,0,0,5,16,0,0,2,4,11
Tezoyuca,C,C,0,0,0,2,2,0,0,1,0,C
Tianguistenco,3,3,2,0,1,1,0,0,0,0,0,0
Timilpan,7,2,2,0,0,0,0,0,0,0,0,5
Tlalmanalco,6,2,1,0,0,0,0,0,0,1,1,4
Tlalnepantla de Baz,5,3,2,0,0,1,0,0,0,0,0,2
Tlatlaya,23,14,8,0,0,12,0,7,0,0,0,9
Toluca,22,10,2,0,0,8,3,0,0,0,0,12
Tonatico,5,3,1,0,0,0,0,0,0,0,2,2
Tultepec,C,C,0,0,0,0,0,0,0,0,1,C
Tultitlan,4,0,0,0,0,0,0,0,0,0,0,4
Valle de Bravo,20,6,0,0,1,2,0,1,0,0,4,14
Villa de Allende,32,6,4,0,0,2,0,0,0,0,1,26
Villa del Carbon,11,6,2,1,1,4,0,1,0,0,1,5
Villa Guerrero,12,6,2,0,0,4,3,0,0,0,1,6
Villa Victoria,28,14,2,0,0,12,1,0,0,0,1,14
Xonacatlan,3,3,1,0,1,2,1,0,0,0,0,0
Zacazonapan,C,C,0,0,0,1,0,0,0,0,1,C
Zacualpan,12,7,0,0,1,7,0,0,0,0,1,5
Zinacantepec,18,7,1,0,0,4,2,0,0,0,2,11
Zumpahuacan,C,C,0,0,0,1,0,0,0,0,0,C
Zumpango,9,6,2,0,0,3,5,0,0,0,0,3
