INEGI. IX Censo Ejidal 2007,,,,,,,,
Total de ejidos y comunidades segun tipo de problematica interna,,,,,,,,cuadro 39
por entidad federativa y municipio,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
entidad_federativa_y_municipio,ejidos_y_comunidades,problematica_interna_de_linderos_al_interior_del_ejido,problematica_interna_de_linderos_con_sus_colindantes,problematica_interna_ invasion_de_terrenos,problematica_interna_ acceso_al_credito,problematica_interna_ erosion_o_salinidad_del_suelo,problematica_interna_ acceso_al_agua_para_riego,problematica_interna_otros_problemas
Xochiatipan,25,3,5,3,1,5,16,0
Xochicoatlan,15,0,0,0,12,0,1,0
Yahualica,20,3,9,6,3,8,9,0
Zacualtipan de angeles,19,3,5,2,2,0,1,2
Zapotlan de Juarez,3,1,1,1,0,2,0,1
Zempoala,24,5,3,4,12,5,14,3
Zimapan,46,5,15,11,9,2,3,0
Jalisco,1429,271,338,345,566,266,533,83
Acatic,C,0,0,0,0,0,0,0
Acatlan de Juarez,7,0,1,2,3,4,3,0
Ahualulco de Mercado,8,6,2,3,5,2,3,2
Amacueca,C,0,0,0,0,0,0,0
Amatitan,5,1,0,3,1,1,1,0
Ameca,44,16,8,6,20,15,15,4
San Juanito de Escobedo,5,1,3,1,2,0,2,0
Arandas,C,0,0,0,0,0,0,0
El Arenal,C,0,0,1,1,2,1,0
Atemajac de Brizuela,9,2,1,1,6,4,3,1
Atengo,12,2,4,3,5,1,6,0
Atenguillo,5,0,1,0,3,2,3,0
Atotonilco el Alto,19,2,1,3,10,0,4,1
Atoyac,11,2,0,0,2,0,3,0
Autlan de Navarro,27,7,11,10,8,13,14,2
Ayotlan,15,3,2,6,4,1,6,1
Ayutla,27,7,7,5,4,3,12,0
La Barca,28,4,2,2,17,7,10,0
Bolaños,C,0,1,1,1,1,1,1
Cabo Corrientes,20,6,11,11,15,3,9,3
Casimiro Castillo,16,6,6,7,15,0,11,1
Cihuatlan,15,5,9,6,8,4,3,0
Zapotlan el Grande,5,1,0,2,1,3,3,0
Cocula,19,4,3,3,14,7,12,1
Colotlan,7,1,2,1,2,3,1,5
Concepcion de Buenos Aires,11,1,2,2,1,1,3,1
Cuautitlan de Garcia Barragan,12,6,7,6,11,2,8,1
Cuautla,4,0,1,0,2,2,1,0
Cuquio,13,2,1,3,10,4,6,0
Chapala,6,0,3,2,2,0,0,2
Chimaltitan,C,2,2,2,2,0,1,2
Chiquilistlan,6,1,4,2,3,1,6,0
Degollado,23,6,8,6,4,3,6,0
Ejutla,3,0,0,0,1,0,1,0
Encarnacion de Diaz,12,0,0,0,1,1,2,0
Etzatlan,10,5,6,6,8,3,4,3
El Grullo,8,1,1,0,1,2,3,0
Guachinango,13,1,3,2,3,3,5,1
Guadalajara,C,0,0,1,0,1,0,0
Hostotipaquillo,17,4,8,6,9,2,10,2
Huejucar,5,2,2,1,1,0,3,0
Huejuquilla el Alto,3,2,2,2,0,1,2,0
La Huerta,32,8,11,10,24,7,24,6
Ixtlahuacan de los Membrillos,10,0,1,1,3,0,2,1
Ixtlahuacan del Rio,12,1,2,3,2,2,2,1
Jalostotitlan,C,0,0,0,0,0,0,0
Jamay,4,0,1,0,2,1,0,0
Jesus Maria,C,0,1,0,0,0,0,0
Jilotlan de los Dolores,26,0,1,1,12,5,11,1
Jocotepec,15,3,2,2,5,2,5,2
Juanacatlan,6,0,1,2,2,1,1,0
Juchitlan,7,1,3,4,3,0,5,0
Lagos de Moreno,44,9,11,8,12,7,11,1
El Limon,6,1,1,2,2,2,0,0
Magdalena,10,2,3,4,0,4,4,0
Santa Maria del Oro,4,0,0,1,3,0,2,0
La Manzanilla de la Paz,9,2,0,2,2,0,5,2
Mascota,16,0,3,2,6,3,3,2
Mazamitla,19,3,3,1,5,2,2,1
Mexticacan,3,0,0,0,0,0,3,0
Mezquitic,8,3,6,6,1,6,7,0
Mixtlan,5,0,4,4,1,1,2,0
Ocotlan,16,3,3,3,11,3,6,3
Ojuelos de Jalisco,20,3,3,3,6,4,2,1
Pihuamo,18,3,3,3,10,6,10,1
Poncitlan,17,5,5,6,6,2,4,1
Puerto Vallarta,15,1,4,5,6,2,2,1
Villa Purificacion,13,2,4,5,4,2,9,0
Quitupan,25,3,4,1,18,5,11,0
El Salto,4,0,0,0,0,0,0,0
San Cristobal de la Barranca,C,0,1,1,1,0,0,0
San Diego de Alejandria,C,0,0,0,0,0,1,0
San Juan de los Lagos,7,2,2,2,3,1,0,0
San Marcos,4,0,2,1,2,1,3,0
San Martin Hidalgo,18,3,2,4,14,3,10,4
San Miguel el Alto,C,0,1,0,0,0,0,0
Gomez Farias,5,1,1,2,0,2,1,1
San Sebastian del Oeste,18,2,9,9,6,4,11,3
Santa Maria de los angeles,10,2,3,2,1,0,6,0
Sayula,5,1,1,1,3,3,1,0
Tala,13,2,2,2,2,3,4,2
Talpa de Allende,17,2,11,8,8,6,8,0
Tamazula de Gordiano,35,11,7,8,20,4,19,0
Tapalpa,8,2,2,3,5,2,3,1
Tecalitlan,17,3,2,3,2,1,5,1
Tecolotlan,20,2,4,5,6,1,12,2
Techaluta de Montenegro,C,0,0,0,1,0,0,0
Tenamaxtlan,12,2,4,4,5,0,9,0
Teocaltiche,11,0,2,3,5,3,5,0
Teocuitatlan de Corona,27,3,2,1,7,5,5,0
Tepatitlan de Morelos,C,0,0,0,0,1,0,0
Tequila,15,1,2,4,5,2,4,0
Teuchitlan,6,2,3,3,1,1,1,0
Tizapan el Alto,14,2,1,1,2,1,0,2
Tlajomulco de Zuñiga,25,9,2,7,4,3,4,0
Tlaquepaque,7,1,2,1,1,2,2,0
Toliman,12,7,4,5,6,4,5,0
Tomatlan,40,4,15,15,18,8,21,2
Tonala,8,1,0,2,4,3,2,0
Tonaya,C,1,1,1,2,1,2,0
Tonila,8,4,2,3,5,2,5,0
Tototlan,22,3,0,1,1,0,4,0
Tuxcacuesco,8,1,1,3,4,2,7,0
Tuxcueca,5,1,0,1,1,0,1,0
Tuxpan,14,2,4,4,4,1,6,2
Union de San Antonio,17,3,3,3,5,3,3,1
Union de Tula,14,3,3,2,1,2,5,0
Valle de Guadalupe,C,0,0,0,0,0,1,0
Valle de Juarez,9,1,1,1,0,0,1,0
San Gabriel,22,6,6,6,9,2,6,1
Villa Corona,5,1,1,0,2,0,2,0
Villa Guerrero,C,0,1,1,1,0,0,1
Villa Hidalgo,4,2,2,2,4,2,4,0
Cañadas de Obregon,C,0,0,0,0,0,1,0
Yahualica de Gonzalez Gallo,3,0,0,0,0,0,0,0
Zacoalco de Torres,16,3,6,5,13,5,2,0
Zapopan,32,6,8,11,6,7,6,0
Zapotiltic,18,2,3,4,5,1,4,0
Zapotitlan de Vadillo,4,1,1,1,1,0,0,0
Zapotlan del Rey,22,4,3,0,12,4,8,2
Zapotlanejo,11,0,0,2,6,1,3,0
Mexico,1233,324,412,346,550,262,428,69
Acambay,32,6,7,5,18,5,11,2
Acolman,13,3,5,3,6,3,6,0
Aculco,26,3,4,3,13,18,11,6
Almoloya de Alquisiras,12,3,7,5,7,2,5,0
Almoloya de Juarez,36,13,12,11,20,11,8,4
Almoloya del Rio,4,1,2,2,2,0,0,1
Amanalco,19,6,8,5,5,3,5,0
Amatepec,17,3,5,4,9,1,5,0
Amecameca,11,3,3,3,5,3,1,1
Apaxco,C,0,1,1,1,1,1,0
Atenco,5,1,3,1,2,3,1,0
Atizapan,C,1,0,0,1,1,0,1
Atizapan de Zaragoza,C,0,0,0,0,0,0,0
Atlacomulco,29,5,11,11,14,11,9,4
Atlautla,C,0,0,0,1,1,1,1
Axapusco,16,11,11,5,8,6,4,0
Ayapango,5,1,1,0,2,1,0,0
Calimaya,9,0,1,2,5,4,0,2
Capulhuac,4,2,3,2,1,0,0,0
Coacalco de Berriozabal,C,1,2,2,1,0,0,1
Coatepec Harinas,11,6,8,6,7,2,4,0
Cocotitlan,C,1,1,1,0,0,0,0
Coyotepec,C,1,1,1,1,0,0,0
Cuautitlan,C,0,0,0,2,1,0,0
Chalco,14,4,5,5,6,5,6,2
Chapa de Mota,15,1,3,1,6,2,8,0
Chapultepec,C,1,1,1,1,0,0,0
Chiautla,5,1,1,2,1,0,3,0
Chicoloapan,C,0,1,0,0,0,0,0
Chiconcuac,C,1,1,0,0,0,1,0
Chimalhuacan,C,1,1,1,1,1,0,0
Donato Guerra,17,5,9,8,7,1,8,1
Ecatepec de Morelos,8,1,3,4,4,4,3,1
Ecatzingo,C,0,1,1,0,1,1,0
Huehuetoca,3,2,2,1,2,1,3,2
Hueypoxtla,11,7,4,4,5,1,9,0
Huixquilucan,7,2,5,3,5,1,0,0
Isidro Fabela,4,1,1,2,3,3,2,0
Ixtapaluca,9,2,2,4,5,1,1,0
Ixtapan de la Sal,C,0,0,0,0,0,0,0
Ixtapan del Oro,8,2,5,2,1,1,6,0
Ixtlahuaca,36,6,4,7,18,13,10,1
Jaltenco,C,0,0,0,1,1,1,0
Jilotepec,33,3,9,7,14,11,9,0
Jilotzingo,7,0,0,2,0,0,0,0
Jiquipilco,15,5,6,4,7,2,7,0
Jocotitlan,15,3,5,4,4,1,5,0
Joquicingo,3,2,2,1,3,1,3,0
Juchitepec,C,1,1,1,1,1,1,0
Lerma,20,7,11,10,10,7,5,4
Malinalco,13,4,7,8,5,0,5,3
Melchor Ocampo,3,0,1,0,0,1,1,0
Metepec,5,1,0,1,3,0,1,2
Mexicaltzingo,C,0,1,0,1,0,0,0
Morelos,14,3,4,4,4,3,6,0
Naucalpan de Juarez,8,2,5,4,1,2,2,0
Nextlalpan,3,0,0,0,1,2,2,0
Nicolas Romero,9,1,3,3,3,2,3,0
Nopaltepec,4,1,1,1,2,0,2,0
Ocoyoacac,8,4,5,6,3,0,3,0
Ocuilan,5,2,4,2,2,2,3,0
El Oro,12,3,5,3,5,3,0,0
Otumba,12,5,4,1,3,4,2,2
Otzoloapan,C,1,1,0,1,0,0,0
Otzolotepec,10,3,2,3,3,0,1,0
Ozumba,5,1,3,3,3,0,0,0
Papalotla,C,1,0,1,0,1,0,0
La Paz,C,1,1,1,0,0,1,0
Polotitlan,10,3,1,2,5,2,4,0
Rayon,4,1,0,0,3,3,1,1
San Antonio la Isla,C,1,0,0,1,1,1,0
San Felipe del Progreso,47,20,19,11,24,13,24,1
San Martin de las Piramides,8,4,6,3,6,2,4,0
San Mateo Atenco,C,0,1,1,0,0,0,0
San Simon de Guerrero,C,0,0,0,1,0,0,0
Santo Tomas,6,1,2,2,1,1,2,0
Soyaniquilpan de Juarez,7,2,3,3,3,1,3,0
Sultepec,9,1,3,3,6,2,6,0
Tecamac,10,0,2,0,1,1,2,1
Tejupilco,14,5,3,4,5,1,2,4
Temamatla,C,1,0,1,2,1,2,0
Temascalapa,11,3,2,0,1,0,2,0
Temascalcingo,27,3,3,4,18,3,10,0
Temascaltepec,36,15,16,17,10,1,13,0
Temoaya,9,1,2,1,2,1,1,0
Tenancingo,22,4,6,3,13,3,8,0
Tenango del Aire,4,1,2,1,2,1,0,0
Tenango del Valle,13,3,1,4,7,2,5,3
Teoloyucan,7,4,3,2,5,1,3,0
Teotihuacan,8,3,4,2,5,1,6,1
Tepetlaoxtoc,10,3,4,4,1,1,3,0
Tepetlixpa,4,2,1,1,3,0,0,0
Tepotzotlan,5,2,1,2,1,1,1,0
Tequixquiac,3,2,2,2,2,2,3,0
Texcaltitlan,8,0,1,0,1,0,4,0
Texcalyacac,C,0,1,1,1,0,0,0
Texcoco,31,12,11,8,5,7,10,3
Tezoyuca,C,1,1,1,1,1,0,0
Tianguistenco,3,1,1,2,3,1,1,0
Timilpan,7,1,1,1,2,1,2,0
Tlalmanalco,6,0,2,3,0,0,3,0
Tlalnepantla de Baz,5,0,0,1,1,3,1,1
Tlatlaya,23,6,8,6,17,4,19,3
Toluca,22,7,6,7,10,3,3,1
Tonatico,5,1,1,0,0,1,0,0
Tultepec,C,0,0,0,1,0,1,0
Tultitlan,4,1,1,2,3,1,3,1
Valle de Bravo,20,7,5,5,6,2,11,0
Villa de Allende,32,5,12,6,22,4,6,0
Villa del Carbon,11,4,4,4,5,4,6,1
Villa Guerrero,12,2,2,2,2,1,4,0
Villa Victoria,28,10,13,5,15,5,12,0
Xonacatlan,3,2,2,2,2,1,1,1
Zacazonapan,C,0,0,0,0,0,0,0
Zacualpan,12,1,4,1,4,1,3,1
Zinacantepec,18,6,7,10,8,2,2,0
Zumpahuacan,C,0,0,0,1,1,1,0
Zumpango,9,2,1,2,2,3,3,0
Cuautitlan Izcalli,9,1,3,3,3,4,3,0
Valle de Chalco Solidaridad,C,0,1,1,1,1,0,0
Luvianos,3,2,1,3,3,1,2,0
San Jose del Rincon,50,5,10,8,27,9,25,5
Michoacan de Ocampo,1910,277,394,351,740,304,622,35
Acuitzio,8,0,1,0,3,1,3,0
Aguililla,16,1,1,1,14,0,5,0
alvaro Obregon,23,3,2,1,14,11,7,0
Angamacutiro,24,3,6,2,13,2,3,0
Angangueo,6,1,1,1,1,0,2,1
Apatzingan,51,4,4,8,34,15,23,3
Aporo,C,1,2,0,1,0,1,0
Aquila,7,2,4,5,6,0,4,0
Ario,40,5,6,7,8,5,8,0
Arteaga,20,3,3,2,3,1,7,0
Briseñas,4,0,1,1,4,0,2,0
Buenavista,47,4,2,1,29,12,16,1
Caracuaro,12,2,4,5,2,1,12,0
Coahuayana,12,2,0,4,2,2,6,0
Coalcoman de Vazquez Pallares,10,1,1,2,2,2,3,1
Coeneo,35,3,6,2,3,1,3,0
Contepec,30,4,6,5,13,7,6,1
Copandaro,5,0,0,0,0,0,0,0
Cotija,19,4,2,1,3,1,2,1
Cuitzeo,9,2,0,2,1,1,0,1
Charapan,4,2,4,2,3,1,0,0
Charo,17,4,5,3,4,2,3,0
Chavinda,12,0,0,0,2,0,5,0
Cheran,C,1,2,1,2,1,1,0
Chilchota,13,3,10,6,4,2,2,0
Chinicuila,8,2,3,2,2,3,3,0
Chucandiro,14,0,1,1,0,1,0,0
Churintzio,16,1,3,2,8,3,10,1
Churumuco,25,3,11,8,13,2,17,0
Ecuandureo,17,6,4,4,13,5,13,1
Epitacio Huerta,15,1,3,2,5,3,3,0
Erongaricuaro,12,0,1,1,3,0,0,0
Gabriel Zamora,7,1,2,2,5,0,5,0
Hidalgo,31,4,6,8,4,2,6,2
La Huacana,68,13,22,11,29,10,43,3
Huandacareo,5,0,0,0,2,1,0,2
Huaniqueo,20,0,0,0,1,1,0,0
Huetamo,54,1,5,7,3,0,10,0
Huiramba,5,0,0,0,0,1,0,0
Indaparapeo,12,3,2,1,8,7,7,1
Irimbo,6,1,1,2,5,0,5,0
Ixtlan,13,0,1,0,0,3,0,0
Jacona,4,0,0,2,2,3,1,0
Jimenez,20,2,6,4,5,2,2,0
Jiquilpan,10,0,0,1,1,0,5,0
Juarez,9,4,4,2,2,2,3,0
Jungapeo,17,4,8,7,11,5,10,0
Lagunillas,5,1,0,0,2,0,0,0
Madero,15,3,2,3,5,2,2,1
Maravatio,34,2,0,5,16,11,7,0
Marcos Castellanos,8,1,4,3,0,1,1,0
Lazaro Cardenas,22,8,4,6,10,9,9,0
Morelia,83,10,19,14,18,11,20,1
Morelos,8,1,1,0,1,1,1,0
Mugica,5,1,1,0,5,0,3,0
Nahuatzen,8,3,6,5,6,5,5,2
Nocupetaro,13,3,3,5,5,2,9,0
Nuevo Parangaricutiro,4,2,1,0,0,1,2,0
Nuevo Urecho,12,2,2,2,3,1,7,0
Numaran,8,0,0,1,2,0,1,0
Ocampo,9,4,4,3,5,1,1,0
Pajacuaran,10,2,2,0,5,6,4,0
Panindicuaro,18,3,2,3,0,1,7,0
Paracuaro,21,3,5,7,19,2,11,0
Paracho,8,1,6,6,4,4,3,1
Patzcuaro,32,5,4,5,10,3,5,0
Penjamillo,22,2,5,7,6,1,5,0
Periban,8,1,1,0,8,0,7,0
La Piedad,26,3,5,5,14,1,9,1
Purepero,3,2,1,1,0,0,1,0
Puruandiro,40,8,12,9,8,7,11,0
Querendaro,10,4,6,6,7,5,6,0
Quiroga,4,0,0,2,3,0,3,0
Cojumatlan de Regules,10,1,1,1,1,1,1,0
Los Reyes,18,2,4,2,6,0,1,0
Sahuayo,5,1,0,0,3,0,3,0
San Lucas,26,4,8,8,2,0,6,0
Santa Ana Maya,8,1,2,2,3,0,0,0
Salvador Escalante,37,4,7,5,7,3,5,0
Senguio,15,4,2,1,5,4,4,0
Susupuato,13,1,8,6,6,0,8,0
Tacambaro,20,2,2,3,8,4,8,0
Tancitaro,12,0,1,0,3,1,2,0
Tangamandapio,10,1,2,1,5,3,1,0
Tangancicuaro,21,5,5,7,13,5,8,0
Tanhuato,12,0,0,0,11,3,3,0
Taretan,14,2,2,4,10,4,7,0
Tarimbaro,29,3,6,2,18,8,8,0
Tepalcatepec,34,1,0,2,25,6,6,0
Tingambato,4,1,2,2,2,3,4,1
Tingüindin,7,3,3,4,2,3,2,0
Tiquicheo de Nicolas Romero,18,0,2,2,3,2,13,1
Tlalpujahua,11,1,2,3,4,1,2,0
Tlazazalca,10,1,1,1,1,0,8,0
Tocumbo,9,1,2,2,1,1,1,0
Tumbiscatio,12,3,4,2,11,0,9,1
Turicato,21,8,10,9,12,0,13,0
Tuxpan,16,3,4,3,3,0,5,0
Tuzantla,28,8,7,3,17,4,17,0
Tzintzuntzan,8,2,2,2,5,3,1,0
Tzitzio,4,1,2,1,4,1,1,0
Uruapan,31,6,8,13,9,6,3,2
Venustiano Carranza,8,0,3,1,7,6,4,0
Villamar,20,4,3,4,6,3,10,1
Vista Hermosa,6,0,0,0,6,0,0,0
Yurecuaro,13,1,2,1,8,1,4,0
Zacapu,24,2,3,4,5,7,5,0
Zamora,26,3,2,1,11,5,7,0
Zinaparo,7,1,1,2,3,2,4,0
Zinapecuaro,31,1,8,7,12,6,6,0
Ziracuaretiro,10,0,1,0,2,0,2,0
Zitacuaro,31,16,18,11,20,11,19,4
Jose Sixto Verduzco,18,3,2,2,5,0,4,0
Morelos,234,80,91,63,126,49,98,9
Amacuzac,4,0,1,0,3,2,1,1
Atlatlahucan,C,1,1,1,1,0,1,1
Axochiapan,7,3,3,2,7,2,4,0
Ayala,16,9,5,5,15,3,9,0
Coatlan del Rio,5,1,2,0,2,1,0,0
Cuautla,9,2,2,1,5,0,5,0
Cuernavaca,11,0,6,5,5,4,4,0
Emiliano Zapata,6,0,2,2,0,0,0,0
Huitzilac,C,0,1,1,1,1,0,0
Jantetelco,7,1,0,0,5,2,3,0
Jiutepec,7,0,2,2,1,1,1,0
Jojutla,9,4,2,1,5,2,4,0
Jonacatepec,4,2,2,0,3,3,3,0
Mazatepec,C,1,0,0,1,2,1,0
Miacatlan,6,1,2,0,4,2,3,2
Ocuituco,9,2,1,1,3,1,0,0
Puente de Ixtla,9,4,4,5,3,2,5,3
Temixco,8,1,4,2,1,3,4,0
Tepalcingo,10,5,8,6,7,2,5,1
Tepoztlan,C,2,2,2,2,0,1,0
Tetecala,3,0,0,0,3,0,1,0
Tetela del Volcan,7,3,4,3,1,0,1,0
Tlalnepantla,3,1,1,1,3,0,2,0
Tlaltizapan,17,13,9,9,11,5,13,0
Tlaquiltenango,19,4,10,5,11,1,6,0
Tlayacapan,7,1,3,2,3,2,3,0
Totolapan,6,1,1,0,5,0,3,0
Xochitepec,6,1,2,0,1,0,1,0
Yautepec,10,6,5,5,4,2,4,0
Yecapixtla,11,5,3,2,4,3,4,1
Zacatepec de Hidalgo,3,1,1,0,1,0,0,0
Zacualpan de Amilpas,C,2,1,0,1,2,2,0
Temoac,4,3,1,0,4,1,4,0
Nayarit,404,152,182,137,235,147,184,18
Acaponeta,24,12,13,9,18,12,17,10
Ahuacatlan,8,4,5,2,8,2,2,0
Amatlan de Cañas,17,7,5,6,5,5,3,0
Compostela,31,7,12,10,23,15,21,2
Huajicori,10,2,5,2,1,1,2,0
Ixtlan del Rio,10,0,2,2,2,0,0,0
Jala,10,4,5,3,3,2,1,0
Xalisco,16,5,10,4,5,3,6,1
Del Nayar,24,15,20,19,18,11,11,0
Rosamorada,32,11,18,14,25,15,18,0
Ruiz,7,3,3,5,5,0,3,0
San Blas,33,16,19,13,22,20,18,0
San Pedro Lagunillas,9,0,1,1,7,1,1,0
Santa Maria del Oro,17,7,12,4,5,4,10,0
Santiago Ixcuintla,58,24,13,11,39,21,28,0
Tecuala,25,10,10,8,19,10,7,1
Tepic,51,16,19,14,16,15,23,2
Tuxpan,6,2,2,1,5,4,6,0
La Yesca,4,3,2,3,3,1,1,0
Bahia de Banderas,12,4,6,6,6,5,6,2
Nuevo Leon,607,68,117,85,135,60,93,12
Abasolo,C,0,1,1,0,0,0,0
Agualeguas,6,0,2,0,0,0,0,0
Los Aldamas,C,0,0,0,1,0,0,0
Allende,C,0,0,0,0,0,0,0
Anahuac,13,1,2,3,6,1,3,3
Apodaca,C,0,0,0,0,0,0,0
Aramberri,43,5,11,5,5,5,11,0
Bustamante,C,1,2,2,0,0,0,0
Cadereyta Jimenez,32,1,3,2,4,5,3,0
Carmen,C,0,0,0,0,0,0,0
Cerralvo,C,1,1,1,0,0,0,0
Cienega de Flores,C,0,0,0,0,0,0,0
China,4,2,2,1,3,2,2,0
Dr. Arroyo,106,19,24,13,24,9,20,3
Dr. Gonzalez,3,0,0,2,1,0,0,0
Galeana,110,13,18,11,29,8,14,1
Garcia,11,1,2,1,0,3,2,1
Gral. Bravo,C,0,0,1,0,1,1,0
Gral. Escobedo,C,0,1,1,0,0,1,0
Gral. Teran,16,1,1,0,2,1,2,0
Gral. Zaragoza,15,3,4,1,1,4,0,1
Gral. Zuazua,C,0,1,0,0,0,0,0
Guadalupe,C,0,0,0,0,0,0,0
Hualahuises,5,0,1,0,2,0,2,0
Iturbide,12,1,6,4,2,3,1,0
Juarez,4,1,1,1,1,0,1,1
Lampazos de Naranjo,7,1,0,1,1,0,0,0
Linares,68,4,12,11,26,8,14,0
Marin,C,0,0,0,0,0,0,0
Mier y Noriega,14,3,4,5,2,0,4,0
Mina,23,0,5,5,6,4,4,1
Montemorelos,26,1,2,1,3,2,3,0
Monterrey,C,0,0,0,0,0,0,0
Paras,3,0,0,0,1,0,0,0
Pesqueria,8,1,1,1,3,1,0,0
Los Ramones,4,0,0,0,1,0,1,0
Rayones,8,1,3,3,0,0,0,0
Sabinas Hidalgo,9,0,0,0,1,1,1,0
Salinas Victoria,7,2,1,1,1,0,0,1
Hidalgo,C,0,1,1,0,0,0,0
Santa Catarina,5,0,1,2,0,0,2,0
Santiago,9,0,1,2,4,1,0,0
Vallecillo,11,3,2,1,3,0,1,0
Villaldama,5,2,1,1,2,1,0,0
Oaxaca,1632,293,542,389,618,437,603,105
Abejones,C,0,1,1,0,0,0,0
Acatlan de Perez Figueroa,38,5,9,5,17,5,25,1
Asuncion Cacalotepec,C,0,0,0,1,1,0,0
Asuncion Cuyotepeji,C,1,0,0,1,1,1,0
Asuncion Ixtaltepec,11,1,7,7,6,1,2,0
Asuncion Nochixtlan,11,1,2,1,2,9,9,1
Asuncion Tlacolulita,C,0,1,1,1,0,1,0
Ayotzintepec,6,2,1,0,0,0,0,0
El Barrio de la Soledad,C,1,1,1,1,2,2,0
Calihuala,4,0,3,3,4,1,1,0
Candelaria Loxicha,C,0,0,0,1,1,1,0
Cienega de Zimatlan,C,0,0,0,0,0,0,0
Ciudad Ixtepec,C,1,1,1,1,1,1,0
Coatecas Altas,C,0,2,2,2,1,2,0
Coicoyan de las Flores,C,0,1,0,0,0,0,0
La Compañia,C,2,2,1,2,1,1,0
Concepcion Buenavista,4,0,1,1,0,3,3,0
Concepcion Papalo,C,0,1,1,0,1,1,0
Constancia del Rosario,C,1,0,0,0,0,0,0
Cosolapa,8,2,1,2,3,0,7,0
Cosoltepec,3,0,0,0,0,1,3,0
Cuilapam de Guerrero,4,3,3,2,1,3,4,0
Cuyamecalco Villa de Zaragoza,C,0,0,0,2,0,0,0
Chahuites,C,0,1,1,1,0,1,0
Chalcatongo de Hidalgo,C,1,1,2,2,2,2,0
Chiquihuitlan de Benito Juarez,C,0,0,0,1,0,0,0
Heroica Ciudad de Ejutla de Crespo,13,1,3,2,5,3,4,1
Tamazulapam del Espiritu Santo,C,1,1,1,1,0,0,0
Fresnillo de Trujano,C,0,0,0,1,0,1,0
Guadalupe Etla,C,0,0,0,0,0,0,0
Guadalupe de Ramirez,C,0,0,0,0,1,2,0
Guelatao de Juarez,C,0,0,0,0,0,0,0
Guevea de Humboldt,C,0,1,1,0,0,0,0
Mesones Hidalgo,3,2,3,2,0,0,0,0
Villa Hidalgo,C,0,0,0,0,0,0,0
Heroica Ciudad de Huajuapan de Leon,8,1,1,2,0,2,2,1
Huautepec,C,1,1,1,1,0,0,0
Ixtlan de Juarez,10,0,0,0,0,0,4,0
Heroica Ciudad de Juchitan de Zaragoza,5,3,5,4,3,4,4,2
Loma Bonita,37,1,0,1,11,3,22,5
Magdalena Apasco,4,0,0,0,2,2,1,2
Magdalena Jaltepec,C,0,1,1,1,1,1,0
Santa Magdalena Jicotlan,C,0,0,0,1,1,1,0
Magdalena Mixtepec,C,0,0,0,0,0,0,0
Magdalena Ocotlan,C,0,0,0,0,0,0,0
Magdalena Peñasco,C,0,1,1,1,1,0,0
Magdalena Teitipac,C,1,1,0,0,0,0,0
Magdalena Tequisistlan,3,1,2,1,1,1,1,0
Magdalena Tlacotepec,C,0,0,0,0,0,0,0
Magdalena Zahuatlan,C,0,1,0,0,1,0,1
Mariscala de Juarez,3,0,0,0,1,0,0,1
Martires de Tacubaya,C,1,2,2,1,0,0,0
Matias Romero Avendaño,24,4,2,1,5,3,2,1
Miahuatlan de Porfirio Diaz,9,1,1,0,6,1,4,1
Mixistlan de la Reforma,C,2,1,0,0,2,0,0
Monjas,C,0,0,0,1,1,1,0
Nazareno Etla,C,0,0,0,1,0,0,0
Nejapa de Madero,9,2,3,2,3,4,4,0
Ixpantepec Nieves,3,1,1,1,0,1,2,0
Santiago Niltepec,4,0,1,0,1,1,0,0
Oaxaca de Juarez,9,2,3,3,1,3,3,1
Ocotlan de Morelos,10,0,5,1,2,3,5,1
"La ""Pe""",C,0,0,0,2,0,0,0
Pinotepa de Don Luis,C,1,1,1,1,1,1,0
San Jose del Progreso,C,0,2,1,2,0,0,0
Putla Villa de Guerrero,15,5,5,1,2,5,5,0
Santa Catarina Quioquitani,C,0,1,0,0,0,0,0
Reforma de Pineda,C,0,0,0,1,0,1,0
La Reforma,4,0,1,1,0,0,0,0
Reyes Etla,C,1,0,0,1,0,1,0
Rojas de Cuauhtemoc,C,0,1,0,1,0,0,1
Salina Cruz,3,0,1,2,1,2,2,0
San Agustin Amatengo,C,0,1,0,2,1,0,0
San Agustin Atenango,C,0,1,1,1,0,1,0
San Agustin Chayuco,5,0,2,1,0,0,1,0
San Agustin de las Juntas,C,1,1,1,1,1,1,0
San Agustin Etla,C,0,1,0,0,0,0,0
San Agustin Loxicha,C,1,1,1,0,1,0,0
San Agustin Tlacotepec,C,1,0,0,1,1,1,0
San Agustin Yatareni,C,0,0,0,0,0,0,0
San Andres Cabecera Nueva,C,0,0,0,1,0,0,0
San Andres Dinicuiti,3,0,0,0,0,3,1,0
San Andres Huaxpaltepec,C,0,0,0,0,0,0,0
San Andres Huayapam,C,0,0,0,0,1,1,0
San Andres Ixtlahuaca,C,0,0,0,0,0,0,0
San Andres Lagunas,C,0,0,0,0,1,0,0
San Andres Nuxiño,C,0,0,0,0,1,1,0
San Andres Sinaxtla,C,1,0,0,2,2,1,0
San Andres Solaga,3,0,0,0,1,2,1,0
San Andres Teotilalpam,C,1,2,2,1,0,0,0
San Andres Yaa,C,0,0,0,0,0,0,0
San Andres Zabache,C,0,1,0,1,0,0,0
San Andres Zautla,3,0,0,1,0,0,0,0
