entidad_federativa _y_municipio,ejidos_y_comunidades,actividades_no _agropecuarias _ni _forestales_industriales_ejidatarios participantes_total,actividades_no _agropecuarias _ni _forestales_industriales_ejidatarios participantes_mujeres,ejidos_y_comunidades,actividades_no _agropecuarias _ni _forestales_srtesanales_ejidatarios participantes_total,actividades_no _agropecuarias _ni _forestales_artesanales_ejidatarios participantes_mujeres,ejidos_y_comunidades,actividades_no _agropecuarias _ni _forestales_de_extraccion _de_materiales_para_la_construccion_ejidatarios participantes_total,actividades_no _agropecuarias _ni _forestales_de_extraccion _de_materiales_para_la_construccion_ejidatarios participantes_mujeres,ejidos_y_comunidades,actividades_no _agropecuarias _ni _forestales_de_extraccion_de_otros_minerales_ejidatarios participantes_total,actividades_no _agropecuarias _ni _forestales_de_extraccion_de_otros_mineralesejidatarios participantes_mujeres,ejidos_y_comunidades,actividades_no _agropecuarias _ni _forestales_pesqueras_ejidatarios participantes_total,actividades_no _agropecuarias _ni _forestales_pesqueras_ejidatarios participantes_mujeres,,entidad_federativa_y_municipio,ejidos_y_comunidades,actividades_no _agropecuarias _ni _forestales_turisticas_ejidatarios participantes_total,actividades_no _agropecuarias _ni _forestales_turisticas_ejidatarios participantes_mujeres,ejidos_y_comunidades,actividades_no _agropecuarias _ni _forestales_de_acuicultura_ejidatarios participantes_total,actividades_no _agropecuarias _ni _forestales_de_acuicultura_ejidatarios participantes_mujeres,ejidos_y_comunidades,actividades_no _agropecuarias _ni _forestales_otras_actividades_ejidatarios participantes_total,actividades_no _agropecuarias _ni _forestales_otras_actividades_ejidatarios participantes_mujeres
Hecelchakan,0,0,0,1,6,0,0,0,0,0,0,0,0,0,0,,Hecelchakan,0,0,0,0,0,0,0,0,0
Hopelchen,0,0,0,4,117,47,1,5,0,0,0,0,0,0,0,,Hopelchen,2,50,1,0,0,0,0,0,0
Palizada,0,0,0,0,0,0,0,0,0,0,0,0,3,219,37,,Palizada,1,99,16,2,157,24,0,0,0
Escarcega,1,6,0,0,0,0,1,50,0,0,0,0,4,36,0,,Escarcega,0,0,0,1,3,0,0,0,0
Calakmul,2,7,0,2,20,20,4,155,30,0,0,0,0,0,0,,Calakmul,1,28,3,0,0,0,0,0,0
Candelaria,0,0,0,0,0,0,0,0,0,0,0,0,2,10,1,,Candelaria,0,0,0,0,0,0,0,0,0
Coahuila de Zaragoza,19,556,228,4,115,107,36,831,96,11,430,110,4,27,6,,Coahuila de Zaragoza,16,761,91,15,344,55,4,85,6
Acuña,1,4,4,0,0,0,4,20,0,0,0,0,1,4,0,,Acuña,1,4,0,1,15,4,0,0,0
Allende,0,0,0,0,0,0,1,25,4,0,0,0,0,0,0,,Allende,0,0,0,0,0,0,0,0,0
Arteaga,1,7,7,0,0,0,0,0,0,0,0,0,0,0,0,,Arteaga,3,316,23,0,0,0,0,0,0
Castaños,0,0,0,0,0,0,1,20,0,1,20,0,0,0,0,,Castaños,1,10,4,0,0,0,0,0,0
Cuatro Cienegas,0,0,0,2,29,21,4,93,16,1,3,0,0,0,0,,Cuatro Cienegas,6,142,20,3,38,5,0,0,0
Francisco I. Madero,3,160,110,0,0,0,0,0,0,0,0,0,0,0,0,,Francisco I. Madero,1,6,1,0,0,0,1,43,0
Frontera,0,0,0,0,0,0,1,15,0,0,0,0,0,0,0,,Frontera,0,0,0,0,0,0,0,0,0
Guerrero,0,0,0,0,0,0,1,20,0,0,0,0,0,0,0,,Guerrero,0,0,0,2,91,12,0,0,0
Jimenez,0,0,0,0,0,0,1,16,1,0,0,0,0,0,0,,Jimenez,0,0,0,0,0,0,0,0,0
Juarez,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,Juarez,0,0,0,2,53,4,0,0,0
Matamoros,1,40,20,1,18,18,1,125,20,0,0,0,0,0,0,,Matamoros,0,0,0,0,0,0,0,0,0
Monclova,0,0,0,0,0,0,1,5,0,0,0,0,0,0,0,,Monclova,0,0,0,1,4,3,0,0,0
Muzquiz,0,0,0,1,68,68,0,0,0,0,0,0,0,0,0,,Muzquiz,0,0,0,0,0,0,1,14,0
Ocampo,0,0,0,0,0,0,1,22,0,0,0,0,0,0,0,,Ocampo,0,0,0,0,0,0,0,0,0
Parras,1,8,2,0,0,0,10,357,31,1,10,0,0,0,0,,Parras,1,48,2,1,30,0,0,0,0
Progreso,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,Progreso,0,0,0,0,0,0,1,15,2
Ramos Arizpe,0,0,0,0,0,0,0,0,0,0,0,0,3,23,6,,Ramos Arizpe,0,0,0,1,12,6,0,0,0
Sabinas,1,72,25,0,0,0,0,0,0,1,72,25,0,0,0,,Sabinas,1,6,0,0,0,0,0,0,0
Saltillo,1,70,10,0,0,0,2,4,0,1,3,0,0,0,0,,Saltillo,1,148,25,2,18,6,0,0,0
San Buenaventura,1,10,0,0,0,0,0,0,0,3,184,35,0,0,0,,San Buenaventura,0,0,0,0,0,0,0,0,0
San Juan de Sabinas,1,4,4,0,0,0,0,0,0,1,25,0,0,0,0,,San Juan de Sabinas,0,0,0,0,0,0,0,0,0
San Pedro,6,152,42,0,0,0,2,12,0,0,0,0,0,0,0,,San Pedro,0,0,0,1,60,15,0,0,0
Sierra Mojada,0,0,0,0,0,0,1,5,0,1,5,0,0,0,0,,Sierra Mojada,0,0,0,0,0,0,0,0,0
Torreon,1,25,2,0,0,0,3,84,24,1,108,50,0,0,0,,Torreon,0,0,0,0,0,0,0,0,0
Viesca,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,Viesca,1,81,16,1,23,0,1,13,4
Zaragoza,1,4,2,0,0,0,2,8,0,0,0,0,0,0,0,,Zaragoza,0,0,0,0,0,0,0,0,0
Colima,3,194,6,2,45,23,5,132,29,0,0,0,6,108,12,,Colima,6,209,47,3,9,4,0,0,0
Armeria,0,0,0,0,0,0,1,15,0,0,0,0,0,0,0,,Armeria,0,0,0,0,0,0,0,0,0
Colima,0,0,0,0,0,0,2,115,29,0,0,0,1,3,0,,Colima,2,38,8,0,0,0,0,0,0
Comala,1,4,2,0,0,0,0,0,0,0,0,0,1,34,0,,Comala,3,166,39,0,0,0,0,0,0
Cuauhtemoc,1,170,0,0,0,0,0,0,0,0,0,0,0,0,0,,Cuauhtemoc,0,0,0,0,0,0,0,0,0
Ixtlahuacan,0,0,0,1,20,4,0,0,0,0,0,0,0,0,0,,Ixtlahuacan,0,0,0,0,0,0,0,0,0
