INEGI. IX Censo Ejidal 2007,,,,,,,
"Ejidos y comunidades con asistencia a la escuela del presidente del comisariado,",,,,,,,cuadro 41
segun nivel maximo de estudios aprobado por entidad federativa y municipio,,,,,,,
,,,,,,,
,,,,,,,
entidad_federativa_y_municipio,ejidos_y_comunidades_con_asistencia_a_la_escuela_del_presidente_del_comisariado,nivel_maximo_de_estudios_aprobado_ninguno,nivel_maximo_de_estudios_aprobado_primaria,nivel_maximo_de_estudios_aprobado_secundaria,nivel_maximo_de_estudios_aprobado_preparatoria,nivel_maximo_de_estudios_aprobado_otros_estudios,nivel_maximo_de_estudios_aprobado_sin_asistencia_a_la_escuela
Larrainzar,3,0,1,1,0,1,0
La Libertad,4,0,3,0,0,1,0
Mapastepec,51,0,37,13,0,1,5
Las Margaritas,118,1,105,11,1,0,27
Mazapa de Madero,3,0,3,0,0,0,1
Mazatan,16,0,12,2,1,1,2
Metapa,1,0,0,0,1,0,0
Mitontic,1,0,0,0,0,1,0
Motozintla,42,0,38,3,1,0,1
Ocosingo,124,0,105,16,1,2,35
Ocotepec,1,0,1,0,0,0,0
Ocozocoautla de Espinosa,62,1,56,4,0,1,12
Ostuacan,22,0,17,2,1,2,7
Osumacinta,3,0,3,0,0,0,0
Oxchuc,3,0,2,0,1,0,0
Palenque,133,1,106,16,4,6,30
Pantelho,6,0,6,0,0,0,3
Pantepec,5,0,4,0,1,0,1
Pichucalco,9,0,9,0,0,0,0
Pijijiapan,64,0,39,14,6,5,6
El Porvenir,5,0,5,0,0,0,0
Villa Comaltitlan,14,0,10,4,0,0,5
Pueblo Nuevo Solistahuacan,19,2,15,2,0,0,2
Rayon,4,0,3,1,0,0,0
Reforma,7,0,6,0,1,0,0
Las Rosas,11,0,7,4,0,0,6
Sabanilla,19,0,14,4,1,0,0
Salto de Agua,70,0,57,11,1,1,16
San Cristobal de las Casas,11,0,10,1,0,0,5
San Fernando,15,0,13,2,0,0,3
Siltepec,17,0,14,2,1,0,1
Simojovel,38,0,36,1,1,0,15
Sitala,3,1,1,1,0,0,4
Socoltenango,26,0,22,3,1,0,7
Solosuchiapa,9,0,7,1,1,0,2
Soyalo,2,0,1,1,0,0,2
Suchiapa,9,0,5,2,1,1,0
Suchiate,15,0,8,3,2,2,2
Sunuapa,0,0,0,0,0,0,1
Tapachula,49,0,34,7,4,4,3
