INEGI. IX Censo Ejidal 2007,,,,,,,
"Ejidos y comunidades con asistencia a la escuela del presidente del comisariado,",,,,,,,cuadro 41
segun nivel maximo de estudios aprobado por entidad federativa y municipio,,,,,,,
,,,,,,,
,,,,,,,
entidad_federativa_y_municipio,ejidos_y_comunidades_con_asistencia_a_la_escuela_del_presidente_del_comisariado,nivel_maximo_de_estudios_aprobado_ninguno,nivel_maximo_de_estudios_aprobado_primaria,nivel_maximo_de_estudios_aprobado_secundaria,nivel_maximo_de_estudios_aprobado_preparatoria,nivel_maximo_de_estudios_aprobado_otros_estudios,nivel_maximo_de_estudios_aprobado_sin_asistencia_a_la_escuela
Atoyac,10,0,9,1,0,0,1
Autlan de Navarro,26,0,14,2,1,9,1
Ayotlan,15,0,11,4,0,0,0
Ayutla,25,0,19,3,0,3,2
La Barca,28,0,18,7,2,1,0
Bolaños,1,0,1,0,0,0,0
Cabo Corrientes,20,0,9,3,2,6,0
Casimiro Castillo,14,0,6,3,2,3,2
Cihuatlan,14,0,8,3,0,3,1
Zapotlan el Grande,5,0,2,2,0,1,0
Cocula,17,0,15,0,0,2,2
Colotlan,6,0,4,1,0,1,1
Concepcion de Buenos Aires,11,0,10,1,0,0,0
Cuautitlan de Garcia Barragan,11,0,9,1,1,0,1
Cuautla,4,0,4,0,0,0,0
Cuquio,12,0,9,2,0,1,1
Chapala,4,0,3,0,0,1,2
Chimaltitan,2,0,2,0,0,0,0
Chiquilistlan,6,0,5,1,0,0,0
Degollado,15,0,13,1,1,0,8
Ejutla,3,0,2,0,0,1,0
Encarnacion de Diaz,10,0,10,0,0,0,2
Etzatlan,10,0,7,1,1,1,0
El Grullo,8,0,3,2,1,2,0
Guachinango,11,0,10,0,1,0,2
Guadalajara,1,0,0,0,0,1,0
Hostotipaquillo,16,0,12,4,0,0,1
Huejucar,5,0,4,0,1,0,0
Huejuquilla el Alto,2,0,1,1,0,0,1
La Huerta,30,0,21,5,1,3,2
Ixtlahuacan de los Membrillos,9,0,3,4,1,1,1
Ixtlahuacan del Rio,12,1,10,1,0,0,0
Jalostotitlan,1,0,1,0,0,0,0
Jamay,3,0,1,1,0,1,1
Jesus Maria,2,0,2,0,0,0,0
Jilotlan de los Dolores,22,0,20,1,0,1,4
Jocotepec,13,0,8,1,0,4,2
Juanacatlan,5,0,2,0,1,2,1
Juchitlan,7,0,7,0,0,0,0
Lagos de Moreno,38,0,34,2,0,2,6
El Limon,6,0,3,1,0,2,0
Magdalena,10,0,5,2,1,2,0
Santa Maria del Oro,4,0,4,0,0,0,0
La Manzanilla de la Paz,8,0,5,2,0,1,1
Mascota,16,0,13,3,0,0,0
Mazamitla,18,0,13,2,1,2,1
Mexticacan,3,0,3,0,0,0,0
Mezquitic,6,0,4,0,1,1,2
Mixtlan,4,0,4,0,0,0,1
Ocotlan,15,0,8,4,0,3,1
Ojuelos de Jalisco,15,0,12,1,1,1,5
Pihuamo,14,0,9,4,0,1,4
Poncitlan,14,0,10,2,0,2,3
Puerto Vallarta,14,0,5,2,3,4,1
Villa Purificacion,11,0,6,3,0,2,2
Quitupan,22,0,19,2,0,1,3
El Salto,4,0,2,1,0,1,0
San Cristobal de la Barranca,2,0,2,0,0,0,0
San Diego de Alejandria,1,0,1,0,0,0,0
San Juan de los Lagos,7,0,6,0,1,0,0
San Marcos,4,0,2,1,1,0,0
San Martin Hidalgo,18,0,14,2,1,1,0
San Miguel el Alto,1,0,1,0,0,0,0
Gomez Farias,5,0,4,1,0,0,0
San Sebastian del Oeste,14,0,12,0,1,1,4
Santa Maria de los angeles,9,0,7,2,0,0,1
Sayula,5,0,5,0,0,0,0
Tala,13,0,9,2,0,2,0
Talpa de Allende,17,0,13,1,0,3,0
Tamazula de Gordiano,31,0,20,5,3,3,4
Tapalpa,8,0,6,1,1,0,0
Tecalitlan,14,0,9,3,2,0,3
Tecolotlan,15,0,11,4,0,0,5
Techaluta de Montenegro,2,0,0,1,1,0,0
Tenamaxtlan,11,0,9,0,1,1,1
Teocaltiche,10,0,10,0,0,0,1
Teocuitatlan de Corona,26,0,19,1,1,5,1
Tepatitlan de Morelos,1,0,0,0,1,0,1
Tequila,12,0,8,2,0,2,3
Teuchitlan,6,0,4,2,0,0,0
Tizapan el Alto,13,0,11,1,1,0,1
Tlajomulco de Zuñiga,23,0,10,3,5,5,2
Tlaquepaque,7,0,4,1,0,2,0
Toliman,12,0,11,1,0,0,0
Tomatlan,36,0,30,2,2,2,4
Tonala,7,0,4,0,1,2,1
Tonaya,2,0,1,1,0,0,0
Tonila,7,0,2,2,0,3,1
Tototlan,21,0,15,5,0,1,1
Tuxcacuesco,5,0,5,0,0,0,3
Tuxcueca,5,0,4,0,0,1,0
Tuxpan,14,0,8,3,2,1,0
Union de San Antonio,12,0,11,1,0,0,5
Union de Tula,14,0,9,3,0,2,0
Valle de Guadalupe,1,0,0,1,0,0,0
Valle de Juarez,6,0,4,1,1,0,3
San Gabriel,21,0,16,2,0,3,1
Villa Corona,5,0,4,1,0,0,0
Villa Guerrero,1,0,0,1,0,0,0
Villa Hidalgo,4,0,3,1,0,0,0
Cañadas de Obregon,1,0,1,0,0,0,0
Yahualica de Gonzalez Gallo,3,0,3,0,0,0,0
Zacoalco de Torres,15,0,9,3,1,2,1
Zapopan,29,0,11,4,3,11,3
Zapotiltic,17,0,10,3,3,1,1
Zapotitlan de Vadillo,4,0,3,0,1,0,0
Zapotlan del Rey,16,0,13,3,0,0,6
Zapotlanejo,11,1,8,1,0,1,0
Mexico,1168,7,742,234,75,110,65
Acambay,31,0,21,1,0,9,1
Acolman,13,0,8,1,3,1,0
Aculco,25,0,17,6,0,2,1
Almoloya de Alquisiras,12,0,10,1,1,0,0
Almoloya de Juarez,33,0,19,5,5,4,3
Almoloya del Rio,3,0,0,1,0,2,1
Amanalco,19,0,13,5,1,0,0
Amatepec,16,0,13,2,1,0,1
Amecameca,10,0,6,2,0,2,1
Apaxco,2,0,1,0,1,0,0
Atenco,5,0,2,2,1,0,0
Atizapan,1,0,1,0,0,0,0
Atizapan de Zaragoza,1,0,1,0,0,0,0
Atlacomulco,28,0,20,1,4,3,1
Atlautla,3,0,1,2,0,0,0
Axapusco,16,0,8,4,3,1,0
Ayapango,4,0,1,0,2,1,1
Calimaya,9,0,5,1,0,3,0
Capulhuac,4,0,2,0,2,0,0
Coacalco de Berriozabal,2,0,1,0,0,1,0
Coatepec Harinas,10,0,8,1,0,1,1
Cocotitlan,1,0,0,1,0,0,1
Coyotepec,1,0,0,1,0,0,0
Cuautitlan,2,0,1,1,0,0,0
Chalco,13,0,7,4,2,0,1
Chapa de Mota,15,0,13,1,0,1,0
Chapultepec,1,0,1,0,0,0,0
Chiautla,5,0,2,0,1,2,0
Chicoloapan,1,0,0,1,0,0,0
Chiconcuac,1,0,1,0,0,0,0
Chimalhuacan,1,0,0,0,0,1,0
Donato Guerra,13,0,10,1,0,2,4
Ecatepec de Morelos,8,0,2,2,1,3,0
Ecatzingo,2,0,2,0,0,0,0
Huehuetoca,3,0,0,1,1,1,0
Hueypoxtla,11,0,10,1,0,0,0
Huixquilucan,7,0,2,1,1,3,0
Isidro Fabela,3,0,1,1,0,1,1
Ixtapaluca,9,0,4,2,2,1,0
Ixtapan de la Sal,2,0,2,0,0,0,0
Ixtapan del Oro,8,0,5,3,0,0,0
Ixtlahuaca,34,1,23,6,2,2,2
Jaltenco,1,0,0,1,0,0,0
Jilotepec,32,0,21,8,2,1,1
Jilotzingo,7,0,3,3,0,1,0
Jiquipilco,14,0,10,3,1,0,1
Jocotitlan,15,0,9,5,0,1,0
Joquicingo,3,0,2,0,0,1,0
Juchitepec,2,0,1,0,1,0,0
Lerma,20,0,9,4,3,4,0
Malinalco,13,0,11,0,1,1,0
Melchor Ocampo,3,0,1,2,0,0,0
Metepec,5,0,0,3,1,1,0
Mexicaltzingo,1,0,1,0,0,0,0
Morelos,12,0,7,5,0,0,2
Naucalpan de Juarez,8,0,3,1,3,1,0
Nextlalpan,3,0,1,1,0,1,0
Nicolas Romero,9,0,5,2,1,1,0
Nopaltepec,4,0,2,2,0,0,0
Ocoyoacac,8,0,3,2,0,3,0
Ocuilan,5,0,3,1,0,1,0
El Oro,12,0,9,3,0,0,0
Otumba,11,0,7,3,1,0,1
Otzoloapan,2,0,2,0,0,0,0
Otzolotepec,9,0,7,2,0,0,1
Ozumba,5,0,3,2,0,0,0
Papalotla,1,0,1,0,0,0,0
La Paz,1,0,1,0,0,0,0
Polotitlan,10,0,6,4,0,0,0
Rayon,4,0,1,2,0,1,0
San Antonio la Isla,2,0,1,0,1,0,0
San Felipe del Progreso,44,2,34,7,0,1,3
San Martin de las Piramides,8,1,5,1,0,1,0
San Mateo Atenco,1,0,0,0,1,0,0
San Simon de Guerrero,2,0,1,0,0,1,0
Santo Tomas,5,0,3,2,0,0,1
Soyaniquilpan de Juarez,7,0,4,1,1,1,0
Sultepec,9,1,7,0,0,1,0
Tecamac,10,0,6,3,0,1,0
Tejupilco,12,0,8,3,0,1,2
Temamatla,2,0,1,0,1,0,0
Temascalapa,11,0,6,3,0,2,0
Temascalcingo,23,0,15,6,1,1,4
Temascaltepec,36,0,30,5,1,0,0
Temoaya,9,0,7,1,0,1,0
Tenancingo,19,0,10,4,3,2,3
Tenango del Aire,4,0,4,0,0,0,0
Tenango del Valle,13,0,7,5,1,0,0
Teoloyucan,6,0,5,0,0,1,1
Teotihuacan,7,0,2,1,3,1,1
Tepetlaoxtoc,10,0,9,1,0,0,0
Tepetlixpa,4,0,3,1,0,0,0
Tepotzotlan,5,0,0,2,2,1,0
Tequixquiac,2,0,2,0,0,0,1
Texcaltitlan,8,0,6,2,0,0,0
Texcalyacac,1,0,0,0,0,1,0
Texcoco,30,0,16,8,2,4,1
Tezoyuca,2,0,0,2,0,0,0
Tianguistenco,3,0,0,2,0,1,0
Timilpan,7,0,3,3,1,0,0
Tlalmanalco,6,0,4,2,0,0,0
Tlalnepantla de Baz,5,0,1,0,0,4,0
Tlatlaya,20,1,11,2,2,4,3
Toluca,21,0,14,3,1,3,1
Tonatico,3,0,2,0,0,1,2
Tultepec,2,0,0,1,1,0,0
Tultitlan,4,0,1,1,0,2,0
Valle de Bravo,18,0,11,5,0,2,2
Villa de Allende,27,0,21,5,0,1,5
Villa del Carbon,10,0,8,2,0,0,1
Villa Guerrero,11,0,6,3,2,0,1
Villa Victoria,27,1,18,7,0,1,1
Xonacatlan,3,0,1,1,0,1,0
Zacazonapan,2,0,2,0,0,0,0
Zacualpan,12,0,11,1,0,0,0
Zinacantepec,18,0,11,4,1,2,0
Zumpahuacan,2,0,2,0,0,0,0
Zumpango,9,0,7,1,1,0,0
Cuautitlan Izcalli,9,0,3,4,1,1,0
Valle de Chalco Solidaridad,2,0,0,1,0,1,0
Luvianos,3,0,1,2,0,0,0
San Jose del Rincon,44,0,39,5,0,0,6
Michoacan de Ocampo,1548,10,1166,176,83,113,362
Acuitzio,5,1,3,1,0,0,3
Aguililla,12,0,10,1,0,1,4
alvaro Obregon,19,0,13,5,1,0,4
Angamacutiro,16,1,12,2,0,1,8
Angangueo,6,0,3,3,0,0,0
Apatzingan,44,0,34,7,2,1,7
Aporo,2,0,2,0,0,0,1
Aquila,6,0,2,2,1,1,1
Ario,27,0,21,4,0,2,13
Arteaga,18,0,12,3,1,2,2
Briseñas,4,0,2,1,0,1,0
Buenavista,42,0,34,5,2,1,5
Caracuaro,7,0,6,1,0,0,5
Coahuayana,11,0,6,1,0,4,1
Coalcoman de Vazquez Pallares,8,0,5,2,1,0,2
Coeneo,31,0,27,1,1,2,4
Contepec,26,0,23,2,1,0,4
Copandaro,3,0,2,0,1,0,2
Cotija,13,0,11,2,0,0,6
Cuitzeo,8,0,7,1,0,0,1
Charapan,4,0,2,1,1,0,0
Charo,14,0,7,5,1,1,3
Chavinda,9,0,7,2,0,0,3
Cheran,2,0,2,0,0,0,0
Chilchota,12,0,5,0,2,5,1
Chinicuila,6,0,3,1,2,0,2
Chucandiro,10,0,9,0,0,1,4
Churintzio,15,0,14,0,1,0,1
Churumuco,18,0,17,0,1,0,7
Ecuandureo,14,0,9,0,0,5,3
Epitacio Huerta,14,0,11,2,1,0,1
Erongaricuaro,10,0,9,0,0,1,2
Gabriel Zamora,7,0,3,1,1,2,0
Hidalgo,24,0,21,1,1,1,7
La Huacana,52,0,35,5,4,8,16
Huandacareo,4,0,1,0,0,3,1
Huaniqueo,15,0,14,1,0,0,5
Huetamo,40,1,33,3,2,1,14
Huiramba,4,0,4,0,0,0,1
Indaparapeo,11,0,9,1,1,0,1
Irimbo,6,0,5,0,0,1,0
Ixtlan,11,0,10,0,0,1,2
Jacona,3,0,2,1,0,0,1
Jimenez,14,0,8,1,2,3,6
Jiquilpan,5,0,4,1,0,0,5
Juarez,7,0,3,2,1,1,2
Jungapeo,13,0,11,1,0,1,4
Lagunillas,3,0,3,0,0,0,2
Madero,9,0,8,0,1,0,6
Maravatio,27,0,26,1,0,0,7
Marcos Castellanos,7,0,6,1,0,0,1
Lazaro Cardenas,16,0,8,4,1,3,6
Morelia,74,1,63,6,1,3,9
Morelos,7,0,7,0,0,0,1
Mugica,4,0,3,1,0,0,1
Nahuatzen,8,0,5,2,0,1,0
Nocupetaro,6,0,5,0,0,1,7
Nuevo Parangaricutiro,3,0,1,1,0,1,1
Nuevo Urecho,12,0,7,4,1,0,0
Numaran,8,0,7,1,0,0,0
Ocampo,9,0,5,2,0,2,0
Pajacuaran,8,0,6,1,1,0,2
Panindicuaro,15,0,12,1,1,1,3
Paracuaro,21,0,14,4,1,2,0
Paracho,7,0,3,1,0,3,1
Patzcuaro,26,1,19,1,3,2,6
Penjamillo,20,0,15,3,1,1,2
Periban,6,0,4,2,0,0,2
La Piedad,18,0,16,0,1,1,8
Purepero,2,0,1,0,1,0,1
Puruandiro,33,0,28,2,2,1,7
Querendaro,8,0,6,1,1,0,2
Quiroga,4,0,2,1,0,1,0
Cojumatlan de Regules,8,0,7,1,0,0,2
Los Reyes,16,0,8,5,1,2,2
Sahuayo,2,0,0,2,0,0,3
San Lucas,21,0,14,4,2,1,5
Santa Ana Maya,1,0,1,0,0,0,7
Salvador Escalante,26,2,21,2,1,0,11
Senguio,14,0,10,1,2,1,1
Susupuato,11,1,8,2,0,0,2
Tacambaro,20,0,16,3,0,1,0
Tancitaro,9,0,7,2,0,0,3
Tangamandapio,10,0,8,0,1,1,0
Tangancicuaro,17,0,15,0,2,0,4
Tanhuato,12,0,5,3,4,0,0
Taretan,9,0,7,2,0,0,5
Tarimbaro,25,0,18,1,1,5,4
Tepalcatepec,24,0,16,5,3,0,10
Tingambato,3,0,1,0,1,1,1
Tingüindin,4,1,2,0,0,1,3
Tiquicheo de Nicolas Romero,17,0,15,1,0,1,1
Tlalpujahua,10,0,9,0,0,1,1
Tlazazalca,8,0,8,0,0,0,2
Tocumbo,8,0,6,1,0,1,1
Tumbiscatio,5,0,5,0,0,0,7
Turicato,17,0,15,1,1,0,4
Tuxpan,13,0,13,0,0,0,3
Tuzantla,21,0,17,3,0,1,7
Tzintzuntzan,7,0,5,0,0,2,1
Tzitzio,2,0,1,1,0,0,2
Uruapan,27,0,17,2,3,5,4
Venustiano Carranza,8,0,4,1,2,1,0
Villamar,15,0,9,0,2,4,5
Vista Hermosa,6,0,4,1,0,1,0
Yurecuaro,12,0,11,1,0,0,1
Zacapu,21,0,12,3,3,3,3
Zamora,22,0,17,3,1,1,4
Zinaparo,5,0,5,0,0,0,2
Zinapecuaro,24,0,19,1,1,3,7
Ziracuaretiro,9,0,6,2,1,0,1
Zitacuaro,30,1,21,4,3,1,1
Jose Sixto Verduzco,16,0,10,5,0,1,2
Morelos,225,0,141,38,20,26,9
Amacuzac,4,0,3,1,0,0,0
Atlatlahucan,2,0,1,0,0,1,0
Axochiapan,7,0,6,0,1,0,0
Ayala,15,0,11,2,2,0,1
Coatlan del Rio,5,0,3,2,0,0,0
Cuautla,9,0,5,2,1,1,0
Cuernavaca,11,0,6,3,1,1,0
Emiliano Zapata,6,0,3,0,1,2,0
Huitzilac,2,0,2,0,0,0,0
Jantetelco,7,0,4,1,2,0,0
Jiutepec,7,0,2,2,3,0,0
Jojutla,8,0,5,2,0,1,1
Jonacatepec,4,0,3,0,0,1,0
Mazatepec,3,0,2,0,0,1,0
Miacatlan,6,0,2,3,0,1,0
Ocuituco,9,0,8,0,1,0,0
Puente de Ixtla,6,0,2,1,1,2,3
Temixco,8,0,4,1,0,3,0
Tepalcingo,10,0,7,1,1,1,0
Tepoztlµn,2,0,0,0,0,2,0
Tetecala,3,0,1,0,0,2,0
Tetela del Volcµn,7,0,7,0,0,0,0
Tlalnepantla,3,0,3,0,0,0,0
Tlaltizapµn,15,0,6,6,1,2,2
Tlaquiltenango,19,0,16,3,0,0,0
Tlayacapan,6,0,5,1,0,0,1
Totolapan,6,0,4,1,0,1,0
Xochitepec,6,0,5,0,0,1,0
Yautepec,10,0,3,3,3,1,0
Yecapixtla,10,0,6,2,1,1,1
Zacatepec de Hidalgo,3,0,1,1,0,1,0
Zacualpan de Amilpas,2,0,1,0,1,0,0
Temoac,4,0,4,0,0,0,0
Nayarit,390,0,237,64,27,62,14
Acaponeta,22,0,10,7,2,3,2
Ahuacatlan,8,0,4,2,2,0,0
Amatlan de Cañas,17,0,13,2,0,2,0
Compostela,30,0,21,4,0,5,1
Huajicori,10,0,6,3,0,1,0
Ixtlan del Rio,8,0,7,1,0,0,2
Jala,9,0,8,1,0,0,1
Xalisco,16,0,9,2,2,3,0
Del Nayar,24,0,14,4,0,6,0
Rosamorada,32,0,19,5,2,6,0
Ruiz,6,0,3,2,0,1,1
San Blas,30,0,19,5,1,5,3
San Pedro Lagunillas,9,0,5,2,1,1,0
Santa Maria del Oro,15,0,7,4,2,2,2
Santiago Ixcuintla,58,0,39,5,2,12,0
Tecuala,25,0,14,3,6,2,0
Tepic,49,0,31,6,4,8,2
Tuxpan,6,0,3,1,0,2,0
La Yesca,4,0,1,2,1,0,0
Bahia de Banderas,12,0,4,3,2,3,0
Nuevo Leon,576,1,453,71,20,31,31
Abasolo,1,0,0,0,0,1,0
Agualeguas,6,0,5,1,0,0,0
Los Aldamas,3,0,1,0,2,0,0
Allende,1,0,1,0,0,0,0
Anahuac,10,0,5,3,0,2,3
Apodaca,1,0,1,0,0,0,0
Aramberri,37,0,36,1,0,0,6
Bustamante,1,0,0,0,0,1,1
Cadereyta Jimenez,29,0,24,3,1,1,3
Carmen,1,0,0,0,0,1,0
Cerralvo,1,0,1,0,0,0,0
Cienega de Flores,2,0,1,1,0,0,0
China,4,0,4,0,0,0,0
Dr. Arroyo,98,1,74,16,6,1,8
Dr. Gonzalez,3,0,1,2,0,0,0
Galeana,108,0,93,6,5,4,2
Garcia,10,0,8,2,0,0,1
Gral. Bravo,1,0,0,1,0,0,0
Gral. Escobedo,2,0,1,0,0,1,0
Gral. Teran,15,0,13,2,0,0,1
Gral. Zaragoza,15,0,12,0,1,2,0
Gral. Zuazua,1,0,0,0,0,1,0
Guadalupe,1,0,1,0,0,0,0
Hualahuises,5,0,5,0,0,0,0
Iturbide,11,0,7,3,0,1,1
Juarez,4,0,2,2,0,0,0
Lampazos de Naranjo,7,0,6,1,0,0,0
Linares,67,0,59,7,0,1,1
Marin,1,0,0,0,0,1,0
Mier y Noriega,14,0,14,0,0,0,0
Mina,22,0,14,6,1,1,1
Montemorelos,24,0,21,2,0,1,2
Monterrey,1,0,0,1,0,0,0
Paras,3,0,2,1,0,0,0
Pesqueria,8,0,6,0,1,1,0
Los Ramones,4,0,4,0,0,0,0
Rayones,8,0,6,2,0,0,0
Sabinas Hidalgo,9,0,4,1,0,4,0
Salinas Victoria,7,0,5,0,1,1,0
Hidalgo,1,0,1,0,0,0,0
Santa Catarina,4,0,1,1,2,0,1
Santiago,9,0,5,2,0,2,0
Vallecillo,11,0,6,3,0,2,0
Villaldama,5,0,3,1,0,1,0
Oaxaca,1500,5,1122,208,75,90,132
Abejones,1,0,0,0,0,1,0
Acatlan de Perez Figueroa,35,0,24,6,4,1,3
Asuncion Cacalotepec,1,0,0,0,0,1,0
Asuncion Cuyotepeji,1,0,0,1,0,0,0
Asuncion Ixtaltepec,11,0,8,3,0,0,0
Asuncion Nochixtlan,11,0,10,1,0,0,0
Asuncion Tlacolulita,2,0,2,0,0,0,0
Ayotzintepec,4,0,4,0,0,0,2
El Barrio de la Soledad,2,0,1,0,0,1,0
Calihuala,3,0,1,0,2,0,1
Candelaria Loxicha,1,0,0,0,0,1,0
Cienega de Zimatlan,1,0,1,0,0,0,0
Ciudad Ixtepec,1,0,1,0,0,0,0
Coatecas Altas,0,0,0,0,0,0,2
Coicoyan de las Flores,2,0,1,1,0,0,0
La Compañia,3,0,3,0,0,0,0
Concepcion Buenavista,4,0,3,1,0,0,0
Concepcion Papalo,2,0,2,0,0,0,0
Constancia del Rosario,2,0,1,1,0,0,0
Cosolapa,8,0,5,2,0,1,0
Cosoltepec,3,0,2,0,0,1,0
Cuilapam de Guerrero,4,0,3,0,1,0,0
Cuyamecalco Villa de Zaragoza,1,0,0,1,0,0,1
Chahuites,1,0,0,0,0,1,0
Chalcatongo de Hidalgo,2,0,1,1,0,0,0
Chiquihuitlan de Benito Juarez,1,0,1,0,0,0,0
Heroica Ciudad de Ejutla de Crespo,10,0,9,0,0,1,3
Tamazulapam del Espiritu Santo,1,0,0,0,0,1,0
Fresnillo de Trujano,1,0,1,0,0,0,1
Guadalupe Etla,1,0,1,0,0,0,0
Guadalupe de Ramirez,2,0,2,0,0,0,0
Guelatao de Juarez,1,0,1,0,0,0,0
Guevea de Humboldt,1,0,0,1,0,0,0
Mesones Hidalgo,3,0,3,0,0,0,0
Villa Hidalgo,1,0,1,0,0,0,0
Heroica Ciudad de Huajuapan de Leon,8,0,7,1,0,0,0
Huautepec,1,0,1,0,0,0,0
Ixtlan de Juarez,10,0,8,0,1,1,0
Heroica Ciudad de Juchitan de Zaragoza,5,0,2,3,0,0,0
Loma Bonita,27,0,22,3,1,1,10
Magdalena Apasco,4,0,2,2,0,0,0
Magdalena Jaltepec,2,0,2,0,0,0,0
Santa Magdalena Jicotlan,1,0,1,0,0,0,0
Magdalena Mixtepec,1,0,1,0,0,0,1
Magdalena Ocotlan,1,0,1,0,0,0,0
Magdalena Peñasco,1,0,1,0,0,0,0
Magdalena Teitipac,1,0,1,0,0,0,0
Magdalena Tequisistlan,3,0,2,0,0,1,0
Magdalena Tlacotepec,1,0,1,0,0,0,0
Magdalena Zahuatlan,1,0,1,0,0,0,0
Mariscala de Juarez,3,0,2,1,0,0,0
Martires de Tacubaya,2,0,2,0,0,0,0
Matias Romero Avendaño,23,0,18,2,2,1,1
Miahuatlan de Porfirio Diaz,6,0,6,0,0,0,3
Mixistlan de la Reforma,2,0,1,0,0,1,0
Monjas,1,0,1,0,0,0,0
Nazareno Etla,1,0,0,0,0,1,0
Nejapa de Madero,9,0,9,0,0,0,0
Ixpantepec Nieves,3,1,2,0,0,0,0
Santiago Niltepec,4,0,4,0,0,0,0
Oaxaca de Juarez,9,0,5,3,0,1,0
Ocotlan de Morelos,9,0,7,2,0,0,1
"La ""Pe""",2,0,2,0,0,0,0
Pinotepa de Don Luis,1,0,1,0,0,0,0
San Jose del Progreso,2,0,2,0,0,0,0
Putla Villa de Guerrero,15,0,10,1,0,4,0
Santa Catarina Quioquitani,1,0,1,0,0,0,0
Reforma de Pineda,1,0,1,0,0,0,0
La Reforma,3,0,3,0,0,0,1
Reyes Etla,2,0,2,0,0,0,0
Rojas de Cuauhtemoc,1,0,0,0,1,0,0
Salina Cruz,3,0,2,0,0,1,0
San Agustin Amatengo,1,0,1,0,0,0,1
San Agustin Atenango,2,0,1,0,0,1,0
San Agustin Chayuco,4,0,4,0,0,0,1
San Agustin de las Juntas,2,0,0,2,0,0,0
San Agustin Etla,1,0,0,1,0,0,0
San Agustin Loxicha,1,0,1,0,0,0,0
San Agustin Tlacotepec,1,0,1,0,0,0,0
San Agustin Yatareni,0,0,0,0,0,0,1
San Andres Cabecera Nueva,1,0,0,0,1,0,0
San Andres Dinicuiti,3,0,3,0,0,0,0
San Andres Huaxpaltepec,1,0,1,0,0,0,0
San Andres Huayapam,1,0,1,0,0,0,0
San Andres Ixtlahuaca,2,0,2,0,0,0,0
San Andres Lagunas,1,0,1,0,0,0,0
San Andres Nuxiño,1,0,1,0,0,0,0
San Andres Sinaxtla,2,0,0,0,1,1,0
San Andres Solaga,3,0,2,0,1,0,0
San Andres Teotilalpam,2,0,2,0,0,0,0
San Andres Yaa,1,0,1,0,0,0,0
San Andres Zabache,1,0,1,0,0,0,0
San Andres Zautla,3,0,2,0,0,1,0
San Antonino Castillo Velasco,0,0,0,0,0,0,1
San Antonino el Alto,2,0,1,1,0,0,0
San Antonino Monte Verde,1,0,1,0,0,0,0
San Antonio Acutla,1,0,1,0,0,0,0
San Antonio de la Cal,0,0,0,0,0,0,1
San Antonio Huitepec,2,0,2,0,0,0,0
San Antonio Nanahuatipam,3,1,1,0,0,1,0
San Antonio Sinicahua,1,0,0,0,1,0,0
San Antonio Tepetlapa,3,0,3,0,0,0,0
San Baltazar Chichicapam,2,0,0,2,0,0,0
San Baltazar Loxicha,2,0,2,0,0,0,0
San Baltazar Yatzachi el Bajo,4,0,3,0,0,1,0
San Bartolo Coyotepec,4,0,4,0,0,0,0
San Bartolome Ayautla,1,0,1,0,0,0,1
San Bartolome Loxicha,1,0,0,0,0,1,0
San Bartolome Quialana,1,0,1,0,0,0,0
San Bartolome Yucuañe,1,0,1,0,0,0,0
San Bartolome Zoogocho,1,0,1,0,0,0,0
San Bartolo Soyaltepec,2,0,1,1,0,0,0
San Bartolo Yautepec,1,0,0,1,0,0,0
San Bernardo Mixtepec,2,0,2,0,0,0,1
San Blas Atempa,1,0,1,0,0,0,0
San Carlos Yautepec,18,0,16,2,0,0,0
San Cristobal Amatlan,4,0,4,0,0,0,0
San Cristobal Amoltepec,1,0,1,0,0,0,0
San Cristobal Suchixtlahuaca,1,0,1,0,0,0,0
San Dionisio del Mar,1,0,1,0,0,0,0
San Dionisio Ocotepec,5,0,4,1,0,0,0
San Dionisio Ocotlan,2,0,1,1,0,0,0
San Esteban Atatlahuca,2,0,0,1,0,1,0
San Felipe Jalapa de Diaz,12,0,9,3,0,0,0
San Felipe Tejalapam,2,0,0,1,1,0,0
San Felipe Usila,8,0,6,1,0,1,0
San Francisco Cahuacua,2,0,0,1,1,0,0
San Francisco Cajonos,2,0,1,1,0,0,0
San Francisco Chapulapa,2,0,2,0,0,0,0
San Francisco Chindua,2,0,0,2,0,0,0
San Francisco del Mar,1,0,1,0,0,0,0
San Francisco Huehuetlan,1,0,1,0,0,0,0
San Francisco Ixhuatan,3,0,2,0,1,0,0
San Francisco Jaltepetongo,1,0,0,1,0,0,0
San Francisco Lachigolo,1,0,1,0,0,0,0
San Francisco Nuxaño,1,0,1,0,0,0,0
San Francisco Ozolotepec,3,0,1,2,0,0,0
San Francisco Sola,1,0,1,0,0,0,0
San Francisco Telixtlahuaca,2,0,2,0,0,0,0
San Francisco Teopan,1,0,1,0,0,0,0
San Francisco Tlapancingo,1,0,1,0,0,0,0
San Gabriel Mixtepec,1,0,1,0,0,0,0
San Ildefonso Amatlan,0,0,0,0,0,0,1
San Ildefonso Sola,1,0,1,0,0,0,0
San Ildefonso Villa Alta,5,0,4,1,0,0,0
San Jacinto Amilpas,1,0,1,0,0,0,0
San Jacinto Tlacotepec,1,0,1,0,0,0,0
San Jeronimo Coatlan,2,0,2,0,0,0,0
San Jeronimo Silacayoapilla,1,0,1,0,0,0,0
San Jeronimo Sosola,6,0,5,1,0,0,0
San Jeronimo Taviche,2,0,2,0,0,0,0
