INEGI. IX Censo Ejidal 2007,,,,
Ejidos y comunidades con superficie de uso comun segun pastos no cultivados,,,,cuadro 6
de agostadero o enmontada por entidad federativa y municipio,,,,
,,,,
,,,,
,,,,
entidad_federativa_y_municipio,total_de_ejidos_y_comunidades_con_superficie_de_uso_comun,ejidos_y_comunidades_con_pastos_no_cultivados_de_agostadero_o_enmontada_total,ejidos_y_comunidades_con_pastos_no_cultivados_de_agostadero_o_enmontada_principalmente_con_pastos_no_cultivados_total,ejidos_y_comunidades_con_pastos_no_cultivados_de_agostadero_o_enmontada_sembrada_alguna_vez en_los_ultimos_5_años
Gabriel Zamora,5,4,1,0
Hidalgo,31,23,21,3
La Huacana,63,45,29,6
Huandacareo,4,4,4,0
Huaniqueo,19,17,12,2
Huetamo,50,49,49,9
Huiramba,4,3,3,0
Indaparapeo,8,7,5,0
Irimbo,6,5,5,1
Ixtlan,12,0,0,0
Jacona,3,3,2,1
Jimenez,19,17,16,2
Jiquilpan,8,7,4,0
Juarez,9,9,9,2
Jungapeo,16,10,9,0
Lagunillas,5,5,2,0
Madero,14,4,1,0
Maravatio,31,27,24,1
Marcos Castellanos,3,3,2,1
Lazaro Cardenas,11,10,7,3
Morelia,75,58,49,4
Morelos,8,6,2,0
Mugica,3,0,0,0
Nahuatzen,7,5,4,0
Nocupetaro,13,13,4,1
Nuevo Parangaricutiro,4,1,1,0
Nuevo Urecho,12,6,3,2
Numaran,6,5,4,0
Ocampo,9,3,3,0
Pajacuaran,7,3,2,1
Panindicuaro,17,17,15,6
Paracuaro,15,15,14,3
Paracho,8,4,3,0
Patzcuaro,28,13,10,1
Penjamillo,21,21,20,1
Periban,6,3,3,1
La Piedad,24,24,14,3
Purepero,3,3,3,0
Puruandiro,40,39,32,9
Querendaro,10,8,6,0
Quiroga,4,4,3,0
Cojumatlan de Regules,5,5,3,1
Los Reyes,14,8,5,2
Sahuayo,3,2,2,2
San Lucas,15,15,14,1
Santa Ana Maya,6,6,5,0
Salvador Escalante,34,12,7,2
Senguio,14,9,9,2
Susupuato,11,9,8,6
Tacambaro,19,11,4,3
Tancitaro,10,8,6,3
Tangamandapio,8,6,3,1
Tangancicuaro,17,11,6,0
Tanhuato,5,4,4,1
Taretan,14,9,6,1
Tarimbaro,18,18,15,1
Tepalcatepec,22,21,16,3
Tingambato,3,1,1,1
Tingüindin,7,3,2,0
Tiquicheo de Nicolas Romero,17,17,13,4
Tlalpujahua,9,3,1,0
Tlazazalca,9,7,3,0
Tocumbo,8,5,5,3
Tumbiscatio,11,9,8,5
Turicato,20,20,12,1
Tuxpan,15,11,8,1
Tuzantla,20,14,14,4
Tzintzuntzan,8,5,2,0
Tzitzio,2,2,2,0
Uruapan,26,9,6,0
Venustiano Carranza,5,3,3,0
Villamar,16,15,11,3
Vista Hermosa,1,1,1,1
Yurecuaro,11,11,9,2
Zacapu,23,10,10,3
Zamora,24,21,11,4
Zinaparo,7,5,1,0
Zinapecuaro,30,24,20,5
Ziracuaretiro,9,5,2,0
Zitacuaro,30,17,12,2
Jose Sixto Verduzco,9,9,5,1
Morelos,180,153,61,11
Amacuzac,4,3,2,0
Atlatlahucan,1,1,0,0
Axochiapan,4,4,2,0
Ayala,14,14,12,4
Coatlan del Rio,5,5,2,0
Cuautla,4,4,0,0
Cuernavaca,10,2,2,0
Emiliano Zapata,5,5,0,0
Huitzilac,1,0,0,0
Jantetelco,5,4,0,0
Jiutepec,3,1,0,0
Jojutla,7,6,5,0
Jonacatepec,2,2,1,0
Mazatepec,3,3,0,0
Miacatlan,6,6,4,0
Ocuituco,4,3,1,0
Puente de Ixtla,9,9,3,1
Temixco,7,7,3,1
Tepalcingo,10,10,2,1
Tepoztlan,2,2,1,0
Tetecala,3,3,0,0
Tetela del Volcan,6,3,1,0
Tlalnepantla,3,2,2,1
Tlaltizapan,14,13,3,0
Tlaquiltenango,19,19,7,1
Tlayacapan,4,2,1,1
Totolapan,5,3,2,0
Xochitepec,4,4,1,0
Yautepec,7,6,4,1
Yecapixtla,3,1,0,0
Zacatepec de Hidalgo,2,2,0,0
Zacualpan de Amilpas,2,2,0,0
Temoac,2,2,0,0
Nayarit,302,263,214,50
Acaponeta,13,12,10,3
Ahuacatlan,8,8,7,2
Amatlan de Cañas,14,14,12,3
Compostela,25,22,16,1
Huajicori,10,10,9,5
Ixtlan del Rio,8,8,7,3
Jala,10,8,5,4
Xalisco,12,8,2,1
Del Nayar,24,24,21,10
Rosamorada,19,16,8,0
Ruiz,6,6,6,1
San Blas,20,14,13,3
San Pedro Lagunillas,7,5,4,0
Santa Maria del Oro,17,13,12,2
Santiago Ixcuintla,32,32,27,4
Tecuala,15,15,12,0
Tepic,43,34,32,7
Tuxpan,5,3,3,0
La Yesca,4,3,3,0
Bahia de Banderas,10,8,5,1
Nuevo Leon,535,486,279,34
Abasolo,1,1,0,0
Agualeguas,5,5,5,2
Los Aldamas,3,3,2,0
Anahuac,6,6,1,1
Aramberri,43,29,19,3
Bustamante,2,2,0,0
Cadereyta Jimenez,20,20,9,0
Carmen,1,1,1,0
Cerralvo,1,1,0,0
Cienega de Flores,2,2,1,0
China,2,2,0,0
Dr. Arroyo,106,105,73,8
Dr. Gonzalez,2,2,0,0
Galeana,110,99,84,8
Garcia,11,11,4,1
Gral. Bravo,1,1,1,1
Gral. Escobedo,2,1,0,0
Gral. Teran,13,12,6,1
Gral. Zaragoza,15,13,2,0
Hualahuises,2,2,1,0
Iturbide,12,8,7,1
Juarez,1,1,0,0
Lampazos de Naranjo,6,6,4,1
Linares,51,48,27,0
Marin,1,1,0,0
Mier y Noriega,14,13,1,1
Mina,21,20,4,2
Montemorelos,23,23,10,3
Paras,1,1,0,0
Pesqueria,5,5,1,0
Los Ramones,4,4,0,0
Rayones,8,8,1,1
Sabinas Hidalgo,7,7,4,0
Salinas Victoria,5,4,2,0
Hidalgo,1,1,0,0
Santa Catarina,3,1,1,0
Santiago,8,1,1,0
Vallecillo,11,11,7,0
Villaldama,5,5,0,0
Oaxaca,1277,942,693,177
Abejones,1,0,0,0
Acatlan de Perez Figueroa,27,12,10,6
Asuncion Cacalotepec,1,1,0,0
Asuncion Cuyotepeji,1,1,0,0
Asuncion Ixtaltepec,8,5,4,1
Asuncion Nochixtlan,11,11,9,1
Asuncion Tlacolulita,2,1,1,0
Ayotzintepec,6,1,1,0
El Barrio de la Soledad,2,2,2,1
Calihuala,2,2,2,0
Ciudad Ixtepec,1,1,1,1
Coatecas Altas,2,1,0,0
Coicoyan de las Flores,2,2,1,0
La Compañia,2,1,1,1
Concepcion Buenavista,4,4,4,0
Concepcion Papalo,2,1,1,0
Constancia del Rosario,1,1,1,0
Cosolapa,8,1,1,1
Cosoltepec,3,3,2,0
Cuilapam de Guerrero,2,2,2,1
Cuyamecalco Villa de Zaragoza,2,0,0,0
Chahuites,1,1,1,0
Chalcatongo de Hidalgo,2,2,1,0
Chiquihuitlan de Benito Juarez,1,0,0,0
Heroica Ciudad de Ejutla de Crespo,11,10,5,0
Tamazulapam del Espiritu Santo,1,1,1,0
Fresnillo de Trujano,2,2,2,0
Guadalupe de Ramirez,2,2,1,1
Guelatao de Juarez,1,1,0,0
Guevea de Humboldt,1,0,0,0
Mesones Hidalgo,1,1,0,0
Villa Hidalgo,1,1,1,0
Heroica Ciudad de Huajuapan de Leon,4,4,3,0
Huautepec,1,1,1,0
Ixtlan de Juarez,10,10,7,0
Heroica Ciudad de Juchitan de Zaragoza,4,3,3,0
Loma Bonita,18,13,12,9
Magdalena Apasco,4,3,2,0
Magdalena Jaltepec,2,2,1,0
Santa Magdalena Jicotlan,1,1,1,0
Magdalena Mixtepec,2,2,2,0
Magdalena Ocotlan,1,1,0,0
Magdalena Peñasco,1,0,0,0
Magdalena Teitipac,1,1,1,0
Magdalena Tequisistlan,3,3,1,0
Magdalena Tlacotepec,1,1,0,0
Magdalena Zahuatlan,1,1,0,0
Mariscala de Juarez,3,2,0,0
Matias Romero Avendaño,7,3,1,2
Miahuatlan de Porfirio Diaz,5,2,2,1
Mixistlan de la Reforma,1,0,0,0
Nejapa de Madero,9,9,8,1
Ixpantepec Nieves,3,3,2,0
Santiago Niltepec,4,4,4,1
Oaxaca de Juarez,6,3,2,1
Ocotlan de Morelos,7,7,6,1
San Jose del Progreso,2,1,1,0
Putla Villa de Guerrero,10,5,4,0
Santa Catarina Quioquitani,1,1,1,0
Reforma de Pineda,1,1,1,0
La Reforma,2,1,1,0
Reyes Etla,1,1,1,0
Salina Cruz,3,2,2,1
San Agustin Amatengo,2,1,0,0
San Agustin Atenango,2,1,1,0
San Agustin Chayuco,3,1,0,0
San Agustin de las Juntas,2,2,1,0
San Agustin Etla,1,1,1,0
San Agustin Loxicha,1,0,0,0
San Agustin Tlacotepec,1,1,0,0
San Andres Cabecera Nueva,1,1,1,0
San Andres Dinicuiti,3,3,2,1
San Andres Huaxpaltepec,1,1,0,0
San Andres Huayapam,1,1,1,0
San Andres Ixtlahuaca,1,1,0,0
San Andres Lagunas,1,1,1,0
San Andres Nuxiño,1,1,1,0
San Andres Sinaxtla,2,2,2,0
San Andres Solaga,3,1,1,0
San Andres Teotilalpam,2,0,0,0
San Andres Yaa,1,1,1,1
San Andres Zabache,1,1,1,0
San Andres Zautla,1,0,0,0
San Antonino el Alto,2,2,2,0
San Antonino Monte Verde,1,1,0,0
San Antonio Acutla,1,1,0,0
San Antonio Huitepec,2,2,1,1
San Antonio Nanahuatipam,3,3,2,0
San Antonio Sinicahua,1,1,1,1
San Baltazar Chichicapam,2,2,2,1
San Baltazar Loxicha,2,2,2,1
San Baltazar Yatzachi el Bajo,4,3,1,1
San Bartolo Coyotepec,3,3,1,0
San Bartolome Ayautla,2,0,0,0
San Bartolome Loxicha,1,0,0,0
San Bartolome Quialana,1,0,0,0
San Bartolome Yucuañe,1,1,0,0
San Bartolome Zoogocho,1,1,1,0
San Bartolo Soyaltepec,2,2,2,0
San Bartolo Yautepec,1,1,1,0
San Bernardo Mixtepec,3,2,2,0
San Blas Atempa,1,1,0,0
San Carlos Yautepec,18,17,9,1
San Cristobal Amatlan,4,4,1,1
San Cristobal Amoltepec,1,0,0,0
San Cristobal Suchixtlahuaca,1,1,1,0
San Dionisio del Mar,1,1,1,1
San Dionisio Ocotepec,5,4,4,0
San Dionisio Ocotlan,2,2,2,0
San Esteban Atatlahuca,2,1,1,0
San Felipe Jalapa de Diaz,3,3,2,1
San Felipe Tejalapam,2,1,1,0
San Felipe Usila,7,5,2,2
San Francisco Cahuacua,2,1,1,0
San Francisco Cajonos,2,2,2,1
San Francisco Chapulapa,2,2,0,0
San Francisco Chindua,1,1,1,0
San Francisco Huehuetlan,1,1,1,0
San Francisco Ixhuatan,3,3,1,0
San Francisco Jaltepetongo,1,1,1,0
San Francisco Lachigolo,1,1,1,0
San Francisco Nuxaño,1,1,0,0
San Francisco Ozolotepec,1,1,1,0
San Francisco Sola,1,1,1,0
San Francisco Telixtlahuaca,2,2,1,1
San Francisco Teopan,1,1,1,0
San Francisco Tlapancingo,1,1,1,0
San Ildefonso Amatlan,1,1,1,1
San Ildefonso Sola,1,0,0,0
San Ildefonso Villa Alta,5,2,2,1
San Jacinto Amilpas,1,0,0,0
San Jacinto Tlacotepec,1,1,0,0
San Jeronimo Coatlan,2,0,0,0
San Jeronimo Silacayoapilla,1,1,1,0
San Jeronimo Sosola,6,6,5,0
San Jeronimo Taviche,2,2,1,0
San Jeronimo Tecoatl,1,1,1,1
San Jorge Nuchita,3,3,3,0
San Jose Ayuquila,1,1,0,0
San Jose Chiltepec,7,1,1,1
San Jose del Peñasco,1,1,0,0
San Jose Estancia Grande,1,1,0,0
San Jose Tenango,1,1,0,0
San Juan Achiutla,1,1,1,0
San Juan Atepec,1,1,1,0
San Juan Bautista Atatlahuca,3,3,3,1
San Juan Bautista Coixtlahuaca,3,3,2,0
San Juan Bautista Cuicatlan,14,13,11,0
San Juan Bautista Guelache,3,2,1,0
San Juan Bautista Jayacatlan,1,1,1,1
San Juan Bautista Suchitepec,2,2,1,0
San Juan Bautista Tlacoatzintepec,1,1,1,0
San Juan Bautista Tlachichilco,2,2,0,0
San Juan Bautista Tuxtepec,28,4,4,0
San Juan Cacahuatepec,2,1,0,0
San Juan Cieneguilla,1,1,0,0
San Juan Coatzospam,1,0,0,0
San Juan Colorado,2,2,1,0
San Juan Comaltepec,3,1,1,0
San Juan Cotzocon,11,6,4,2
San Juan Chicomezuchil,1,1,1,0
San Juan del Estado,1,1,1,1
San Juan del Rio,1,1,1,1
San Juan Diuxi,1,1,1,0
San Juan Evangelista Analco,1,1,1,1
San Juan Guelavia,1,1,1,1
San Juan Guichicovi,18,15,14,7
San Juan Ihualtepec,1,1,1,0
San Juan Juquila Mixes,1,0,0,0
San Juan Juquila Vijanos,1,1,1,0
San Juan Lachao,1,1,0,0
San Juan Lachigalla,3,1,1,0
San Juan Lajarcia,2,2,2,0
San Juan Lalana,4,1,0,0
San Juan de los Cues,1,1,1,0
San Juan Mazatlan,12,5,4,3
San Juan Mixtepec -Dto. 08-,1,1,1,1
San Juan Mixtepec -Dto. 26-,1,1,0,0
San Juan Ñumi,3,2,0,0
San Juan Ozolotepec,4,2,2,1
San Juan Petlapa,6,4,3,1
San Juan Quiahije,1,1,1,0
San Juan Quiotepec,4,3,0,0
San Juan Sayultepec,1,1,0,0
San Juan Tabaa,1,0,0,0
San Juan Tamazola,2,2,2,0
San Juan Teita,1,1,0,0
San Juan Teitipac,1,1,1,1
San Juan Tepeuxila,5,1,0,0
San Juan Teposcolula,2,2,2,0
San Juan Yaee,3,2,2,0
San Juan Yatzona,1,1,1,0
San Juan Yucuita,2,1,1,0
San Lorenzo,1,0,0,0
San Lorenzo Albarradas,3,3,3,1
San Lorenzo Cacaotepec,2,1,0,0
San Lorenzo Texmelucan,1,1,1,0
San Lorenzo Victoria,2,2,2,1
San Lucas Camotlan,2,2,2,0
San Lucas Ojitlan,23,19,15,3
San Lucas Quiavini,1,1,0,0
San Luis Amatlan,2,2,0,0
San Marcos Arteaga,3,3,2,0
San Martin de los Cansecos,1,1,0,0
San Martin Huamelulpam,1,1,0,0
San Martin Itunyoso,2,2,0,0
San Martin Lachila,1,1,1,0
San Martin Peras,2,1,1,0
San Martin Tilcajete,1,1,1,1
San Martin Toxpalan,2,2,2,0
San Mateo Cajonos,1,1,0,0
Capulalpam de Mendez,1,1,1,0
San Mateo del Mar,1,1,0,0
San Mateo Etlatongo,1,1,1,0
San Mateo Nejapam,1,0,0,0
San Mateo Peñasco,2,2,1,0
San Mateo Rio Hondo,1,0,0,0
San Mateo Sindihui,1,1,1,0
San Mateo Tlapiltepec,1,0,0,0
San Melchor Betaza,2,1,1,0
San Miguel Achiutla,2,2,2,1
San Miguel Aloapam,1,0,0,0
San Miguel Amatitlan,8,7,6,0
San Miguel Coatlan,1,1,1,1
San Miguel Chicahua,1,1,1,0
San Miguel Chimalapa,2,2,2,0
San Miguel del Puerto,3,3,3,2
San Miguel Ejutla,1,1,1,0
San Miguel el Grande,1,1,1,0
San Miguel Huautla,1,1,1,1
San Miguel Mixtepec,1,1,1,0
San Miguel Panixtlahuaca,1,1,1,0
San Miguel Peras,1,1,1,1
San Miguel Piedras,1,1,1,0
San Miguel Quetzaltepec,1,1,1,0
San Miguel Santa Flor,1,0,0,0
Villa Sola de Vega,6,3,3,2
San Miguel Soyaltepec,17,4,4,3
San Miguel Suchixtepec,1,0,0,0
Villa Talea de Castro,3,2,2,1
San Miguel Tecomatlan,1,1,0,0
San Miguel Tenango,1,1,0,0
San Miguel Tequixtepec,2,2,1,0
San Miguel Tilquiapam,1,1,0,0
San Miguel Tlacotepec,1,1,1,0
San Miguel Tulancingo,1,1,1,0
San Miguel Yotao,1,1,1,1
San Nicolas Hidalgo,2,1,1,0
San Pablo Coatlan,3,3,3,1
San Pablo Cuatro Venados,1,1,1,1
San Pablo Etla,1,1,1,1
San Pablo Huitzo,2,2,2,2
San Pablo Huixtepec,2,2,2,0
San Pablo Macuiltianguis,2,0,0,0
San Pablo Tijaltepec,1,0,0,0
San Pablo Villa de Mitla,6,3,0,0
San Pablo Yaganiza,1,1,1,0
San Pedro Amuzgos,1,1,1,1
San Pedro Apostol,1,1,0,0
San Pedro Atoyac,1,1,1,1
San Pedro Cajonos,1,1,1,0
San Pedro Coxcaltepec Cantaros,2,2,1,0
San Pedro el Alto,1,1,0,0
San Pedro Huamelula,4,2,2,1
San Pedro Huilotepec,1,1,1,0
San Pedro Ixcatlan,5,5,2,1
San Pedro Ixtlahuaca,1,0,0,0
San Pedro Jaltepetongo,1,1,1,1
San Pedro Jocotipac,1,1,1,0
San Pedro Martir Quiechapa,1,0,0,0
San Pedro Martir Yucuxaco,1,1,1,1
San Pedro Mixtepec -Dto. 22-,1,1,0,0
San Pedro Mixtepec -Dto. 26-,1,1,1,0
San Pedro Molinos,1,1,1,0
San Pedro Nopala,1,1,0,0
San Pedro Ocopetatillo,1,1,1,0
San Pedro Ocotepec,1,0,0,0
San Pedro Pochutla,1,1,0,0
San Pedro Quiatoni,1,1,1,0
San Pedro Sochiapam,5,3,1,0
San Pedro Tapanatepec,5,5,4,1
San Pedro Taviche,2,2,2,0
San Pedro Teozacoalco,1,1,1,0
San Pedro Teutila,3,1,1,0
San Pedro Tidaa,1,1,1,1
San Pedro Topiltepec,2,0,0,0
San Pedro Totolapa,3,3,3,1
Villa de Tututepec de Melchor Ocampo,6,5,4,1
San Pedro Yaneri,2,1,1,1
San Pedro Yolox,5,4,3,0
San Pedro y San Pablo Ayutla,1,1,1,0
San Pedro y San Pablo Teposcolula,7,4,3,0
San Pedro y San Pablo Tequixtepec,8,7,7,0
San Pedro Yucunama,1,1,1,0
San Sebastian Abasolo,2,2,2,0
San Sebastian Coatlan,1,1,1,0
San Sebastian Ixcapa,1,1,1,0
San Sebastian Nicananduta,1,1,0,0
San Sebastian Rio Hondo,3,2,1,1
San Sebastian Tecomaxtlahuaca,3,3,2,2
San Sebastian Teitipac,2,2,2,0
San Sebastian Tutla,1,1,0,0
San Simon Almolongas,2,2,1,1
San Simon Zahuatlan,1,1,1,0
Santa Ana,1,0,0,0
Santa Ana Cuauhtemoc,1,1,0,0
Santa Ana del Valle,1,1,1,0
Santa Ana Tavela,1,1,0,0
Santa Ana Tlapacoyan,1,1,1,0
Santa Ana Yareni,1,1,1,1
Santa Catalina Quieri,1,1,0,0
Santa Catarina Cuixtla,1,1,1,0
Santa Catarina Ixtepeji,2,2,1,0
Santa Catarina Juquila,5,5,5,0
Santa Catarina Lachatao,1,0,0,0
Santa Catarina Loxicha,1,1,1,0
Santa Catarina Mechoacan,1,1,0,0
Santa Catarina Minas,1,1,1,0
Santa Catarina Quiane,1,1,1,0
Santa Catarina Tayata,1,1,0,1
Santa Catarina Ticua,1,1,1,0
Santa Catarina Yosonotu,1,1,1,0
Santa Catarina Zapoquila,3,3,3,0
Santa Cruz Amilpas,1,1,0,0
Santa Cruz Itundujia,2,0,0,0
Santa Cruz Mixtepec,3,2,2,0
Santa Cruz Nundaco,1,1,1,0
Santa Cruz Papalutla,1,1,1,1
Santa Cruz Tacache de Mina,2,2,1,0
Santa Cruz Tacahua,1,1,0,0
Santa Cruz Tayata,1,1,1,0
Santa Cruz Xitla,2,2,1,1
Santa Cruz Xoxocotlan,1,0,0,0
Santa Cruz Zenzontepec,1,1,1,0
Santa Gertrudis,2,2,2,0
Santa Ines del Monte,1,1,1,0
Santa Lucia del Camino,1,1,0,0
Santa Lucia Miahuatlan,1,1,1,1
Santa Lucia Monteverde,2,1,1,0
Santa Maria Alotepec,3,3,3,0
Santa Maria Apazco,1,1,1,0
Heroica Ciudad de Tlaxiaco,8,5,4,0
Ayoquezco de Aldama,1,1,1,0
Santa Maria Atzompa,1,1,1,0
Santa Maria Camotlan,1,1,1,0
Santa Maria Colotepec,1,1,1,1
Santa Maria Coyotepec,1,1,1,1
Santa Maria Chachoapam,1,1,1,0
Villa de Chilapa de Diaz,4,4,4,0
Santa Maria Chilchotla,5,3,1,1
Santa Maria Chimalapa,3,2,2,1
Santa Maria del Rosario,1,1,1,1
Santa Maria del Tule,1,1,0,0
Santa Maria Ecatepec,9,9,4,1
Santa Maria Guelace,1,1,1,1
Santa Maria Guienagati,1,1,0,1
Santa Maria Huatulco,1,0,0,0
Santa Maria Huazolotitlan,1,1,0,0
Santa Maria Ipalapa,3,2,2,0
Santa Maria Ixcatlan,1,1,0,0
Santa Maria Jacatepec,12,5,0,3
Santa Maria Jalapa del Marques,1,1,1,0
Santa Maria Jaltianguis,1,1,1,0
Santa Maria Mixtequilla,1,0,0,0
Santa Maria Nativitas,1,1,0,0
Santa Maria Nduayaco,3,3,3,0
Santa Maria Papalo,1,0,0,0
Santa Maria Peñoles,3,0,0,0
Santa Maria Petapa,1,1,0,0
Santa Maria Quiegolani,2,2,1,0
Santa Maria Sola,4,2,2,1
Santa Maria Tataltepec,1,1,0,0
Santa Maria Tecomavaca,1,1,0,0
Santa Maria Temaxcalapa,1,0,0,0
Santa Maria Temaxcaltepec,1,1,1,0
Santa Maria Teopoxco,1,1,0,1
Santa Maria Tepantlali,1,1,1,0
Santa Maria Texcatitlan,1,1,1,0
Santa Maria Tlahuitoltepec,2,2,1,0
Santa Maria Tlalixtac,1,0,0,0
Santa Maria Tonameca,2,1,1,0
Santa Maria Totolapilla,1,1,1,0
Santa Maria Yalina,1,1,1,0
Santa Maria Yolotepec,1,1,0,0
Santa Maria Yosoyua,1,1,1,1
Santa Maria Yucuhiti,1,1,1,0
Santa Maria Zacatepec,1,1,1,1
Santa Maria Zaniza,1,0,0,0
Santa Maria Zoquitlan,1,1,1,0
Santiago Amoltepec,1,1,1,0
Santiago Apoala,1,1,1,0
Santiago Astata,1,1,0,0
Santiago Atitlan,1,1,1,0
Santiago Ayuquililla,2,2,1,0
Santiago Cacaloxtepec,1,1,1,0
Santiago Camotlan,4,1,1,1
Santiago Comaltepec,2,0,0,0
Santiago Chazumba,10,10,6,1
Santiago Choapam,5,3,2,0
Santiago del Rio,2,2,2,0
Santiago Huajolotitlan,7,7,4,0
Santiago Huauclilla,4,4,4,0
Santiago Ihuitlan Plumas,2,2,2,1
Santiago Ixcuintepec,1,1,0,0
Santiago Ixtayutla,5,0,0,0
Santiago Jamiltepec,5,5,3,1
Santiago Jocotepec,21,11,7,5
Santiago Juxtlahuaca,9,8,6,1
Santiago Lachiguiri,2,2,1,0
Santiago Lalopa,1,1,1,0
Santiago Laollaga,2,2,2,1
Santiago Laxopa,3,2,2,1
Santiago Llano Grande,1,1,0,0
Santiago Matatlan,3,2,2,0
Santiago Minas,1,1,0,0
Santiago Nacaltepec,5,5,5,2
Santiago Nejapilla,1,1,1,0
Santiago Nundiche,1,1,1,0
Santiago Nuyoo,3,2,2,0
Santiago Pinotepa Nacional,9,6,4,1
Santiago Suchilquitongo,6,6,6,1
Santiago Tamazola,3,3,2,0
Villa Tejupam de la Union,1,1,0,0
Santiago Tenango,1,1,1,0
Santiago Tepetlapa,1,1,1,0
Santiago Tetepec,5,5,4,1
Santiago Texcalcingo,1,0,0,0
Santiago Textitlan,2,0,0,0
Santiago Tilantongo,1,1,1,0
Santiago Tillo,2,1,1,0
Santiago Tlazoyaltepec,1,1,1,0
Santiago Xanica,2,1,1,0
Santiago Xiacui,3,2,2,2
Santiago Yaitepec,1,1,0,0
Santiago Yaveo,3,2,2,1
Santiago Yosondua,4,3,2,0
Santiago Yucuyachi,1,1,1,0
Santiago Zacatepec,3,1,1,0
Santiago Zoochila,1,0,0,0
Nuevo Zoquiapam,1,1,1,0
Santo Domingo Ingenio,1,1,0,0
Santo Domingo Albarradas,1,1,1,0
Santo Domingo Chihuitan,1,1,1,0
Santo Domingo de Morelos,1,1,0,0
Santo Domingo Ixcatlan,1,1,1,0
Santo Domingo Nuxaa,1,1,1,0
Santo Domingo Ozolotepec,1,0,0,0
Santo Domingo Petapa,1,1,1,1
Santo Domingo Roayaga,2,0,0,0
Santo Domingo Tehuantepec,14,12,6,4
Santo Domingo Teojomulco,1,1,1,1
Santo Domingo Tepuxtepec,1,1,1,0
Santo Domingo Tlatayapam,1,1,1,0
Santo Domingo Tomaltepec,1,1,0,0
Santo Domingo Tonala,4,4,4,0
Santo Domingo Tonaltepec,1,1,1,0
Santo Domingo Xagacia,1,1,1,0
Santo Domingo Yanhuitlan,1,1,1,1
Santo Domingo Zanatepec,5,5,5,0
Santos Reyes Nopala,3,3,2,1
Santos Reyes Papalo,1,1,1,0
Santos Reyes Tepejillo,1,1,1,0
Santos Reyes Yucuna,1,1,1,0
Santo Tomas Jalieza,4,4,4,1
Santo Tomas Mazaltepec,1,1,1,1
Santo Tomas Ocotepec,1,1,1,0
San Vicente Coatlan,1,0,0,0
San Vicente Lachixio,2,1,1,0
San Vicente Nuñu,1,0,0,0
Silacayoapam,9,9,9,1
Soledad Etla,1,1,0,0
Villa de Tamazulapam del Progreso,1,1,0,0
Tanetze de Zaragoza,1,0,0,0
Taniche,1,1,1,0
Tataltepec de Valdes,2,2,1,0
Teococuilco de Marcos Perez,1,1,1,1
Teotitlan de Flores Magon,2,2,2,0
Teotitlan del Valle,2,2,2,2
Teotongo,1,1,1,0
Tepelmeme Villa de Morelos,1,1,1,0
Tezoatlan de Segura y Luna,9,9,9,0
San Jeronimo Tlacochahuaya,3,3,3,2
Tlacolula de Matamoros,5,2,0,0
Tlacotepec Plumas,1,0,0,0
Tlalixtac de Cabrera,2,1,1,0
Totontepec Villa de Morelos,11,4,4,0
Trinidad Zaachila,2,2,2,0
La Trinidad Vista Hermosa,1,1,1,0
Valerio Trujano,1,1,0,0
San Juan Bautista Valle Nacional,23,13,5,6
Villa Diaz Ordaz,3,2,2,1
Yaxe,1,1,0,1
Magdalena Yodocono de Porfirio Diaz,1,1,1,0
Yogana,2,2,0,0
Yutanduchi de Guerrero,1,1,1,0
Villa de Zaachila,2,2,2,1
Zapotitlan del Rio,2,1,1,0
Zapotitlan Lagunas,1,1,0,0
Zapotitlan Palmas,2,2,2,0
Santa Ines de Zaragoza,1,1,1,0
Zimatlan de alvarez,7,5,4,1
Puebla,944,662,460,45
Acajete,5,3,2,1
Acateno,2,2,0,0
Acatlan,15,12,5,1
Acatzingo,7,2,2,1
Acteopan,3,3,3,0
Ahuacatlan,1,1,1,0
Ahuatlan,1,1,0,0
Ahuazotepec,6,1,1,0
Ahuehuetitla,2,2,1,0
Ajalpan,9,8,6,1
Albino Zertuche,1,1,1,0
Aljojuca,4,4,2,0
Altepexi,2,2,1,0
Amozoc,3,2,1,1
Aquixtla,5,2,2,0
Atexcal,9,1,0,0
Atlixco,17,9,5,0
Atoyatempan,1,1,1,0
Atzala,1,1,0,0
Atzitzihuacan,8,7,7,0
Atzitzintla,4,2,2,0
Axutla,1,1,1,0
Ayotoxco de Guerrero,1,0,0,0
Calpan,3,1,1,0
Caltepec,9,9,7,0
Camocuautla,1,0,0,0
Coatzingo,2,2,0,0
Cohetzala,3,3,3,0
Cohuecan,2,1,1,0
Coronango,1,0,0,0
Coxcatlan,9,7,6,1
Coyomeapan,3,3,3,1
Coyotepec,4,4,1,0
Cuapiaxtla de Madero,1,1,0,0
Cuautempan,1,1,0,0
Cuautinchan,6,6,6,1
Cuayuca de Andrade,3,3,1,0
Cuetzalan del Progreso,2,0,0,0
Cuyoaco,10,7,5,0
Chalchicomula de Sesma,20,19,18,0
Chapulco,2,2,1,1
Chiautla,6,6,3,1
Chiautzingo,4,3,3,0
Chiconcuautla,1,0,0,0
Chietla,20,16,7,2
Chignahuapan,45,25,22,3
Chignautla,2,2,1,0
Chila,4,2,1,1
Chila de la Sal,1,1,0,0
Chilchotla,2,2,2,0
Chinantla,3,3,2,0
Domingo Arenas,1,0,0,0
