INEGI. IX Censo Ejidal 2007,,,,
Ejidos y comunidades con superficie de uso comun segun pastos no cultivados,,,,cuadro 6
de agostadero o enmontada por entidad federativa y municipio,,,,
,,,,
,,,,
,,,,
entidad_federativa_y_municipio,total_de_ejidos_y_comunidades_con_superficie_de_uso_comun,ejidos_y_comunidades_con_pastos_no_cultivados_de_agostadero_o_enmontada_total,ejidos_y_comunidades_con_pastos_no_cultivados_de_agostadero_o_enmontada_principalmente_con_pastos_no_cultivados_total,ejidos_y_comunidades_con_pastos_no_cultivados_de_agostadero_o_enmontada_sembrada_alguna_vez en_los_ultimos_5_años
Aldama,1,0,0,0
Benemerito de las Americas,7,5,3,1
Maravilla Tenejapa,30,6,1,1
Marques de Comillas,20,10,9,4
Montecristo de Guerrero,5,3,3,3
San Andres Duraznal,5,3,2,0
Santiago el Pinar,1,0,0,0
Chihuahua,951,780,670,48
Ahumada,24,24,17,0
Aldama,23,21,16,0
Allende,21,20,19,1
Aquiles Serdan,2,2,2,0
Ascension,19,17,16,0
Bachiniva,11,6,5,2
Balleza,19,15,15,0
Batopilas,12,9,9,3
Bocoyna,26,14,8,0
Buenaventura,9,9,8,0
Camargo,24,24,19,1
Carichi,23,7,7,0
Casas Grandes,13,11,9,0
Coronado,6,6,6,0
Coyame del Sotol,12,12,11,1
La Cruz,3,3,3,0
Cuauhtemoc,26,24,17,1
Cusihuiriachi,20,15,10,1
Chihuahua,44,43,42,1
Chinipas,16,11,8,5
Delicias,2,2,2,0
Dr. Belisario Dominguez,9,9,9,1
Galeana,4,4,4,0
Santa Isabel,8,8,8,1
Gomez Farias,7,7,4,0
Gran Morelos,10,10,10,0
Guachochi,26,23,21,0
Guadalupe,6,6,4,0
Guadalupe y Calvo,45,41,35,6
Guazapares,11,7,6,5
Guerrero,49,23,21,2
Hidalgo del Parral,12,12,12,0
Huejotitan,8,8,8,0
Ignacio Zaragoza,4,3,1,0
Janos,14,12,10,0
Jimenez,42,41,36,2
Juarez,8,8,8,0
Julimes,6,6,4,0
Lopez,12,12,11,0
Madera,20,12,11,0
Maguarichi,5,2,1,0
Manuel Benavides,14,14,14,0
Matachi,5,2,2,0
Matamoros,8,8,7,0
Meoqui,2,2,1,0
Morelos,17,3,2,0
Moris,10,7,6,2
Namiquipa,12,11,9,0
Nonoava,3,3,3,0
Nuevo Casas Grandes,2,2,2,0
Ocampo,17,7,4,1
Ojinaga,30,30,26,0
Praxedis G. Guerrero,5,4,3,0
Riva Palacio,8,4,3,0
Rosales,9,8,7,0
Rosario,7,7,7,0
San Francisco de Borja,9,9,8,1
San Francisco de Conchos,7,7,7,0
San Francisco del Oro,4,4,4,0
Santa Barbara,9,9,8,0
Satevo,19,19,10,0
Saucillo,13,11,11,1
Temosachi,13,12,12,0
