INEGI. IX Censo Ejidal 2007,,,,,,,,,
Superficie de uso comun sin vegetacion,,,,,,,cuadro 11,,
por entidad federativa y municipio,,,,,,,,,
entidad_federativa_y_municipio,ejidos_y_comunidades_con_superficie_de_uso_comun_sin_vegetacion,superficie_sin_vegetacion_(ha),superficies_sin_vegetacion_(ha)_arenales_o_pedregales,superficies_sin_vegetacion_(ha)_ensalitradas,superficies_sin_vegetacion_(ha)_erosionadas,superficies_sin_vegetacion_(ha)_cubiertas_por_agua,superficies_sin_vegetacion_(ha)_otras_superficies,ensalitradas,unidad_de_medida
San Juan del Rio,2,2409.0500,19.8300,37.7500,0.0000,0.0000,2351.4700,37.7500,Hectarea
Santiago Papasquiaro,31,41219.9000,2702.4900,30.3900,143.2400,28.4000,38315.3700,30.3900,Hectarea
Suchil,3,43.7100,25.8500,0.0000,0.0000,17.8600,0.0000,0.0000,Hectarea
Tamazula,17,4521.0200,944.7600,180.0000,90.0000,175.0000,3131.2600,180.0000,Hectarea
Tepehuanes,18,18161.6400,2776.1400,450.0700,13051.8700,68.5100,1815.0500,450.0700,Hectarea
Tlahualilo,27,44666.3500,18329.6300,319.6200,4136.6600,0.0000,21880.4400,319.6200,Hectarea
Topia,10,1238.4600,1134.9600,0.0000,98.6100,4.8900,0.0000,0.0000,Hectarea
Guanajuato,350,33692.4200,19805.6000,604.0800,1345.0800,516.7300,11420.9200,604.0800,Hectarea
Abasolo,8,166.3500,136.6700,3.9800,0.0000,24.2400,1.4500,3.9800,Hectarea
Acambaro,8,505.0700,78.8700,13.6500,0.9700,5.5800,405.9900,13.6500,Hectarea
San Miguel de Allende,20,561.8300,414.0100,32.0600,30.0000,14.3200,71.4400,32.0600,Hectarea
Apaseo el Alto,6,91.2200,19.2000,0.0000,20.0000,40.8400,11.1800,0.0000,Hectarea
Apaseo el Grande,15,791.1000,745.8000,0.0000,29.6000,0.0000,15.7100,0.0000,Hectarea
Atarjea,2,1065.9900,206.0000,0.0000,0.0000,4.0000,855.9900,0.0000,Hectarea
Celaya,1,1.2800,0.0000,0.0000,0.0000,0.0000,1.2800,0.0000,Hectarea
Manuel Doblado,4,57.8800,56.7500,0.0000,0.0000,0.0000,1.1400,0.0000,Hectarea
Comonfort,27,5349.2600,3798.9800,6.7700,86.0000,0.0000,1457.5200,6.7700,Hectarea
Coroneo,1,48.3100,34.2900,0.0000,0.0000,0.0000,14.0200,0.0000,Hectarea
Cortazar,3,253.3500,185.7000,1.5000,0.0000,0.0000,66.1500,1.5000,Hectarea
Doctor Mora,1,38.3000,28.7200,0.0000,0.0000,0.0000,9.5700,0.0000,Hectarea
Dolores Hidalgo Cuna de la Independencia Nal.,15,768.5200,657.4300,10.2000,71.6200,28.0000,1.2700,10.2000,Hectarea
Guanajuato,9,722.4500,232.8600,18.8500,170.0000,118.8500,181.8900,18.8500,Hectarea
Huanimaro,5,126.2300,78.2300,0.0000,0.0000,0.0000,48.0000,0.0000,Hectarea
Irapuato,18,575.3600,336.6500,21.0000,62.0000,2.6300,153.0800,21.0000,Hectarea
Jaral del Progreso,4,191.3800,191.3800,0.0000,0.0000,0.0000,0.0000,0.0000,Hectarea
Jerecuaro,19,308.5300,162.6000,15.7500,32.9600,84.0500,13.1600,15.7500,Hectarea
Leon,13,805.4000,352.6100,0.0000,29.9800,6.0000,416.8100,0.0000,Hectarea
Ocampo,9,688.8800,506.5100,74.8100,27.1400,26.3900,54.0300,74.8100,Hectarea
Penjamo,6,116.7200,25.1800,0.0000,0.0000,0.0000,91.5400,0.0000,Hectarea
Pueblo Nuevo,1,0.9300,0.0000,0.0000,0.0000,0.0000,0.9300,0.0000,Hectarea
Purisima del Rincon,2,12.4300,1.5600,10.8700,0.0000,0.0000,0.0000,10.8700,Hectarea
Romita,6,75.2800,29.8300,37.1100,4.4400,3.5500,0.3500,37.1100,Hectarea
Salamanca,10,1206.3000,1194.0400,4.4100,0.0000,0.0000,7.8400,4.4100,Hectarea
Salvatierra,6,246.2900,214.1300,23.6900,7.9000,0.5600,0.0000,23.6900,Hectarea
San Diego de la Union,19,5180.5100,4620.8300,275.5000,277.5900,4.9200,1.6700,275.5000,Hectarea
San Felipe,30,4345.2400,719.8200,21.5000,340.1700,81.7000,3182.0500,21.5000,Hectarea
San Francisco del Rincon,3,50.2900,15.0000,0.0000,34.0000,0.9200,0.3700,0.0000,Hectarea
San Jose Iturbide,1,25.1300,21.8500,3.2700,0.0000,0.0000,0.0000,3.2700,Hectarea
San Luis de la Paz,9,2086.7600,2008.3200,0.0000,65.5700,10.5000,2.3700,0.0000,Hectarea
Santa Cruz de Juventino Rosas,10,1455.7500,1320.8000,9.6200,14.5000,11.5000,99.3200,9.6200,Hectarea
Santiago Maravatio,2,20.4000,8.4000,0.0000,0.0000,0.0000,12.0000,0.0000,Hectarea
Silao,13,265.6500,172.8700,0.0000,30.0000,0.0000,62.7700,0.0000,Hectarea
Tarandacuao,1,100.3900,0.0000,0.0000,0.0000,0.0000,100.3900,0.0000,Hectarea
Tarimoro,4,664.4000,603.3300,0.0000,0.0000,1.0000,60.0700,0.0000,Hectarea
Tierra Blanca,3,55.8900,55.8900,0.0000,0.0000,0.0000,0.0000,0.0000,Hectarea
Uriangato,2,10.6300,2.2200,0.0000,0.0000,0.0000,8.4000,0.0000,Hectarea
Valle de Santiago,18,505.1200,201.2000,9.4300,10.6300,0.0000,283.8500,9.4300,Hectarea
Victoria,3,1373.0800,238.7300,0.0000,0.0000,0.0000,1134.3500,0.0000,Hectarea
Xichu,4,2738.2000,122.8700,8.9900,0.0000,33.0200,2573.3200,8.9900,Hectarea
Yuriria,9,40.3400,5.4400,1.1100,0.0000,14.1500,19.6400,1.1100,Hectarea
Guerrero,308,111492.7900,25814.7300,1303.3400,10757.7100,1741.3900,71875.6100,1303.3400,Hectarea
Acapulco de Juarez,16,14349.2500,4477.2600,35.2500,3514.7000,73.0600,6248.9800,35.2500,Hectarea
Ahuacuotzingo,7,30.6200,9.9500,0.0000,18.7100,1.9600,0.0000,0.0000,Hectarea
Ajuchitlan del Progreso,5,352.0700,270.3100,0.0000,0.0000,17.5000,64.2600,0.0000,Hectarea
Alcozauca de Guerrero,13,609.2900,144.9500,59.5900,72.8200,10.2500,321.6800,59.5900,Hectarea
Alpoyeca,3,403.3400,39.1300,32.0000,9.5700,80.0000,242.6500,32.0000,Hectarea
Atenango del Rio,2,4.9600,4.9600,0.0000,0.0000,0.0000,0.0000,0.0000,Hectarea
Atlamajalcingo del Monte,5,1263.9900,88.4400,0.0000,3.0000,0.0000,1172.5500,0.0000,Hectarea
Atlixtac,5,140.4200,77.9200,0.0000,36.4600,0.0000,26.0300,0.0000,Hectarea
Atoyac de alvarez,11,820.1400,305.1400,0.0000,29.5900,42.5800,442.8300,0.0000,Hectarea
Ayutla de los Libres,3,49.8700,5.0000,0.0000,2.0000,0.0000,42.8700,0.0000,Hectarea
Buenavista de Cuellar,2,150.1300,50.0000,0.0000,0.0000,0.0000,100.1300,0.0000,Hectarea
Cocula,9,1348.3800,589.2600,222.8100,60.0000,82.9900,393.3100,222.8100,Hectarea
Copalillo,2,9.9400,5.9400,0.0000,4.0000,0.0000,0.0000,0.0000,Hectarea
Copanatoyac,4,368.2300,0.0000,0.0000,154.4600,20.0000,193.7700,0.0000,Hectarea
Coyuca de Benitez,11,421.2200,164.0500,52.9100,66.5600,65.4600,72.2400,52.9100,Hectarea
Cuajinicuilapa,1,202.4000,40.0000,0.0000,0.0000,0.5000,161.9000,0.0000,Hectarea
Cualac,1,6567.1600,200.0000,0.0000,0.0000,0.0000,6367.1600,0.0000,Hectarea
Cutzamala de Pinzon,1,11.6000,0.0000,0.0000,0.0000,0.0000,11.6000,0.0000,Hectarea
Chilapa de alvarez,9,3924.1500,156.0900,0.0000,2.1000,3.0000,3762.9600,0.0000,Hectarea
Chilpancingo de los Bravo,2,57.0000,0.0000,0.0000,57.0000,0.0000,0.0000,0.0000,Hectarea
Florencio Villarreal,1,54.7600,3.4200,47.9200,0.0000,3.4200,0.0000,47.9200,Hectarea
General Canuto A. Neri,1,19.5500,0.0000,0.0000,0.0000,0.0000,19.5500,0.0000,Hectarea
General Heliodoro Castillo,3,144.5900,119.8600,0.0000,10.0000,0.0000,14.7300,0.0000,Hectarea
Huamuxtitlan,4,86.3200,36.2000,0.0000,15.0000,0.0000,35.1200,0.0000,Hectarea
Huitzuco de los Figueroa,3,346.5400,309.6800,0.0000,36.8300,0.0000,0.0200,0.0000,Hectarea
Iguala de la Independencia,4,439.5300,439.5300,0.0000,0.0000,0.0000,0.0000,0.0000,Hectarea
Ixcateopan de Cuauhtemoc,2,336.9800,12.4200,0.0000,0.0000,0.0000,324.5600,0.0000,Hectarea
Jose Azueta,1,10.8400,0.0000,0.0000,0.0000,0.0000,10.8400,0.0000,Hectarea
Juan R. Escudero,2,11.3400,8.0000,0.0000,0.0000,0.0000,3.3400,0.0000,Hectarea
Leonardo Bravo,1,14.3400,0.0000,0.0000,0.0000,0.0000,14.3400,0.0000,Hectarea
Malinaltepec,2,5.5300,0.0000,0.0000,5.0000,0.0000,0.5300,0.0000,Hectarea
Martir de Cuilapan,7,9102.3200,1426.9500,92.2700,2192.2600,0.0000,5390.8400,92.2700,Hectarea
Metlatonoc,3,53.0300,5.0000,0.0000,11.0000,0.0000,37.0300,0.0000,Hectarea
Mochitlan,2,24.6500,22.6500,0.0000,2.0000,0.0000,0.0000,0.0000,Hectarea
Olinala ,3,1043.1000,995.0000,2.0000,0.0000,0.0000,46.1000,2.0000,Hectarea
Ometepec,4,73.4500,15.0000,0.0000,0.0000,18.3700,40.0800,0.0000,Hectarea
Pilcaya,5,107.2100,4.7700,0.0000,0.0000,0.0000,102.4300,0.0000,Hectarea
Quechultenango,5,1007.4100,704.5800,0.0000,0.0000,0.0000,302.8300,0.0000,Hectarea
San Luis Acatlan,15,13818.6300,4857.4300,3.0400,3585.2100,2.5200,5370.4300,3.0400,Hectarea
San Marcos,11,1376.7400,982.7800,39.9400,24.5900,0.0000,329.4400,39.9400,Hectarea
San Miguel Totolapan,5,3190.0800,2657.0000,0.0000,0.0000,0.0000,533.0800,0.0000,Hectarea
Taxco de Alarcon,11,1698.1500,599.2500,1.0000,12.5200,0.0000,1085.3800,1.0000,Hectarea
Tecoanapa,12,128.2100,72.0500,0.0000,0.0000,6.0300,50.1300,0.0000,Hectarea
Tecpan de Galeana,11,3789.1000,1326.7500,420.0000,13.0000,724.0000,1305.3500,420.0000,Hectarea
Teloloapan,9,700.1400,92.7600,24.0000,5.0000,1.9800,576.4000,24.0000,Hectarea
Tepecoacuilco de Trujano,2,11.4000,10.9900,0.0000,0.0000,0.0000,0.4100,0.0000,Hectarea
Tetipac,3,51.6700,43.5200,0.0000,1.9900,0.0000,6.1600,0.0000,Hectarea
Tixtla de Guerrero,5,12991.7100,39.7400,0.0000,10.9400,4.6800,12936.3500,0.0000,Hectarea
Tlacoachistlahuaca,8,1598.7600,324.9100,0.0000,0.0000,0.0000,1273.8500,0.0000,Hectarea
Tlalchapa,1,664.8300,443.2200,0.0000,221.6100,0.0000,0.0000,0.0000,Hectarea
Tlalixtaquilla de Maldonado,4,100.2300,70.0800,0.0000,12.0000,0.0000,18.1500,0.0000,Hectarea
Tlapa de Comonfort,22,7747.3300,2801.3100,201.1000,493.0300,10.6300,4241.2500,201.1000,Hectarea
Tlapehuala,2,44.8100,3.0000,0.0000,0.0000,0.0000,41.8100,0.0000,Hectarea
La Union de Isidoro Montes de Oca,7,1212.5900,611.5400,0.0000,0.0000,545.4500,55.5900,0.0000,Hectarea
Xalpatlahuac,7,862.8600,76.2900,59.0000,27.8300,2.0000,697.7300,59.0000,Hectarea
Xochihuehuetlan,1,120.4000,44.6600,0.2700,21.9700,0.0000,53.5100,0.2700,Hectarea
Xochistlahuaca,1,155.4000,0.0000,0.0000,0.0000,0.0000,155.4000,0.0000,Hectarea
Eduardo Neri,2,6618.9500,0.9800,0.0000,21.9600,0.0000,6596.0100,0.0000,Hectarea
Marquelia,1,10.2500,0.0000,10.2500,0.0000,0.0000,0.0000,10.2500,Hectarea
Juchitan,1,10615.1000,15.0000,0.0000,0.0000,25.0000,10575.1000,0.0000,Hectarea
Iliatenco,2,19.8000,10.0000,0.0000,3.0000,0.0000,6.8000,0.0000,Hectarea
Hidalgo,500,97552.5100,59081.3600,845.4700,8208.3800,593.9400,28823.3500,845.4700,Hectarea
Acatlan,11,238.2600,132.5700,0.0000,92.6900,0.0000,13.0000,0.0000,Hectarea
Acaxochitlan,2,15.9900,0.0000,0.0000,0.0000,0.0000,15.9900,0.0000,Hectarea
Actopan,6,3934.1100,2624.7200,0.0000,0.0000,0.0000,1309.3900,0.0000,Hectarea
Agua Blanca de Iturbide,2,44.2700,6.0000,0.0000,36.3900,0.0000,1.8800,0.0000,Hectarea
Ajacuba,6,2762.6700,762.8300,0.0000,160.0000,0.9900,1838.8400,0.0000,Hectarea
Alfajayucan,10,689.9800,71.3700,0.0000,25.3900,0.0000,593.2200,0.0000,Hectarea
Almoloya,10,606.0000,348.4300,0.0000,203.5700,0.0000,54.0000,0.0000,Hectarea
Apan,13,929.3500,524.5600,0.0000,354.6000,0.0000,50.1900,0.0000,Hectarea
El Arenal,4,173.8800,81.3800,0.0000,92.5100,0.0000,0.0000,0.0000,Hectarea
Atitalaquia,1,91.2900,91.2900,0.0000,0.0000,0.0000,0.0000,0.0000,Hectarea
Atlapexco,3,187.5400,40.5300,0.0000,0.0000,40.0000,107.0100,0.0000,Hectarea
Atotonilco el Grande,13,3148.4200,1800.1900,70.9100,519.3800,0.0000,757.9300,70.9100,Hectarea
Atotonilco de Tula,2,353.3900,290.0000,0.0000,30.0000,0.0000,33.3900,0.0000,Hectarea
Calnali,1,0.5000,0.5000,0.0000,0.0000,0.0000,0.0000,0.0000,Hectarea
Cardonal,19,10422.3700,4973.2800,0.0000,2065.6700,0.0000,3383.4200,0.0000,Hectarea
Cuautepec de Hinojosa,9,237.5400,67.5300,0.0000,140.5500,18.0000,11.4700,0.0000,Hectarea
Chapantongo,12,672.3000,432.4400,0.0000,229.8600,10.0000,0.0000,0.0000,Hectarea
Chapulhuacan,17,288.6800,168.8400,2.0000,2.0000,0.0000,115.8500,2.0000,Hectarea
Chilcuautla,4,2353.0000,986.0000,8.0000,65.0000,0.0000,1294.0000,8.0000,Hectarea
Eloxochitlan,5,11298.9000,9542.0700,0.0000,0.0000,0.0000,1756.8300,0.0000,Hectarea
Emiliano Zapata,4,336.5800,307.2300,0.0000,0.0000,3.3300,26.0200,0.0000,Hectarea
Epazoyucan,8,419.8900,238.3900,18.6900,0.0000,0.0000,162.8100,18.6900,Hectarea
Francisco I. Madero,2,277.5100,123.9500,0.0000,0.0000,0.0000,153.5600,0.0000,Hectarea
Huasca de Ocampo,18,1936.1600,507.8500,44.1800,87.4900,26.9100,1269.7500,44.1800,Hectarea
Huautla,3,68.0000,4.0000,0.0000,0.0000,0.0000,64.0000,0.0000,Hectarea
Huazalingo,10,247.8400,64.0300,48.2100,24.1400,55.8300,55.6300,48.2100,Hectarea
Huehuetla,1,1.3000,1.3000,0.0000,0.0000,0.0000,0.0000,0.0000,Hectarea
Huejutla de Reyes,3,47.6900,11.2500,0.0000,2.0000,23.0000,11.4400,0.0000,Hectarea
Huichapan,18,522.6800,415.1600,63.9300,31.9500,3.0000,8.6400,63.9300,Hectarea
Ixmiquilpan,12,6256.3400,6199.0600,41.5800,0.0000,0.0000,15.7000,41.5800,Hectarea
Jacala de Ledezma,3,1485.8000,1399.6000,0.9900,0.0000,0.0000,85.2100,0.9900,Hectarea
Jaltocan,1,1.2500,0.0000,0.0000,0.0000,0.0000,1.2500,0.0000,Hectarea
Juarez Hidalgo,1,171.8600,75.0000,0.0000,0.0000,0.0000,96.8600,0.0000,Hectarea
Lolotla,4,131.4200,24.9700,0.0000,0.0000,0.0000,106.4500,0.0000,Hectarea
Metepec,6,200.4500,29.5000,10.5000,53.4500,1.0000,106.0000,10.5000,Hectarea
San Agustin Metzquititlan,2,536.6100,536.6100,0.0000,0.0000,0.0000,0.0000,0.0000,Hectarea
Metztitlan,12,6474.2400,2810.0400,5.0000,1632.4500,5.6400,2021.1100,5.0000,Hectarea
Mineral del Chico,1,8.3300,0.0000,0.0000,0.0000,0.0000,8.3300,0.0000,Hectarea
Mineral del Monte,2,17.2300,3.0000,0.0000,13.9400,0.0000,0.3000,0.0000,Hectarea
Mixquiahuala de Juarez,2,1290.0000,590.0000,0.0000,0.0000,0.0000,700.0000,0.0000,Hectarea
Molango de Escamilla,6,397.4900,215.8200,0.0000,0.0000,0.0000,181.6800,0.0000,Hectarea
Nicolas Flores,2,1075.7600,757.0000,0.0000,0.0000,0.0000,318.7600,0.0000,Hectarea
Nopala de Villagran,3,32.5000,0.0000,0.0000,22.5000,10.0000,0.0000,0.0000,Hectarea
Omitlan de Juarez,2,688.5800,170.0200,32.0000,70.2400,1.0000,415.3200,32.0000,Hectarea
San Felipe Orizatlan,1,4.1300,0.4100,0.0000,0.0000,0.0000,3.7300,0.0000,Hectarea
Pachuca de Soto,6,1909.4800,1539.9900,2.0100,363.1300,0.0000,4.3500,2.0100,Hectarea
Pisaflores,2,143.6100,143.6100,0.0000,0.0000,0.0000,0.0000,0.0000,Hectarea
Mineral de la Reforma,3,31.5800,8.2000,0.0000,22.3100,0.0000,1.0700,0.0000,Hectarea
San Agustin Tlaxiaca,3,1859.6000,792.0000,0.0000,60.0000,0.0000,1007.6000,0.0000,Hectarea
San Bartolo Tutotepec,1,4.0000,4.0000,0.0000,0.0000,0.0000,0.0000,0.0000,Hectarea
San Salvador,6,2064.5000,1029.5000,0.0000,0.0000,0.0000,1035.0000,0.0000,Hectarea
Santiago de Anaya,7,5573.8900,2455.8700,221.8100,149.5700,0.0000,2746.6400,221.8100,Hectarea
Santiago Tulantepec de Lugo Guerrero,5,25.9100,12.6300,0.0000,13.0000,0.0000,0.2800,0.0000,Hectarea
Singuilucan,7,235.3600,229.1000,0.0000,0.8400,0.0000,5.4300,0.0000,Hectarea
Tasquillo,14,731.0300,680.2900,0.2600,2.5700,0.3600,47.5500,0.2600,Hectarea
Tecozautla,27,4657.4300,4228.1100,73.6400,42.9700,0.0000,312.7100,73.6400,Hectarea
Tepeapulco,9,999.6000,448.9700,1.2000,386.7600,0.0000,162.6700,1.2000,Hectarea
Tepehuacan de Guerrero,1,12.9500,10.0000,0.0000,0.0000,0.0000,2.9500,0.0000,Hectarea
Tepeji del Rio de Ocampo,9,1158.1000,547.5900,0.0000,132.0000,297.6900,180.8200,0.0000,Hectarea
Tepetitlan,9,1475.0000,1374.0000,17.0000,59.0000,25.0000,0.0000,17.0000,Hectarea
Tetepango,2,1746.7700,0.0000,160.0000,0.0000,27.0000,1559.7600,160.0000,Hectarea
Villa de Tezontepec,1,15.0000,15.0000,0.0000,0.0000,0.0000,0.0000,0.0000,Hectarea
Tezontepec de Aldama,2,23.0000,3.0000,0.0000,20.0000,0.0000,0.0000,0.0000,Hectarea
Tianguistengo,12,235.8200,31.5900,0.0000,0.0000,0.0000,204.2300,0.0000,Hectarea
Tizayuca,2,26.2000,25.0000,0.0000,0.0000,1.2000,0.0000,0.0000,Hectarea
Tlahuelilpan,1,0.6300,0.6300,0.0000,0.0000,0.0000,0.0000,0.0000,Hectarea
Tlahuiltepa,8,5904.5700,2945.8400,0.0000,402.9300,0.0000,2555.8000,0.0000,Hectarea
Tlanalapa,3,417.3600,373.7700,0.0000,27.3100,0.0000,16.2700,0.0000,Hectarea
Tlanchinol,7,178.5800,30.3600,8.5000,2.0000,0.0000,137.7200,8.5000,Hectarea
Tolcayuca,2,523.0900,509.0000,0.0000,0.0000,0.7600,13.3300,0.0000,Hectarea
Tula de Allende,12,1113.1900,502.1600,1.0000,244.5300,3.0000,362.5000,1.0000,Hectarea
Tulancingo de Bravo,1,1.0000,0.0000,0.0000,0.0000,1.0000,0.0000,0.0000,Hectarea
Xochiatipan,9,60.7800,25.0100,6.0600,26.8700,2.0000,0.8400,6.0600,Hectarea
Xochicoatlan,1,4.9200,0.0000,0.0000,0.0000,0.0000,4.9200,0.0000,Hectarea
Yahualica,13,221.1400,64.6400,3.0000,112.5000,33.7600,7.2500,3.0000,Hectarea
Zacualtipan de angeles,5,20.2400,6.4700,0.0000,0.0000,3.4800,10.2900,0.0000,Hectarea
Zapotlan de Juarez,3,605.6400,139.3100,0.0000,73.3300,0.0000,393.0000,0.0000,Hectarea
Zempoala,12,1403.8500,584.8000,0.0000,63.0000,0.0000,756.0500,0.0000,Hectarea
Zimapan,18,3090.5800,2892.2200,5.0000,48.0000,0.0000,145.3600,5.0000,Hectarea
Jalisco,409,75478.2200,38651.6600,1922.5200,18109.2300,882.8400,15911.9600,1922.5200,Hectarea
Acatic,1,5.3600,0.0000,0.0000,0.0000,0.0000,5.3600,0.0000,Hectarea
Acatlan de Juarez,2,103.5100,103.5100,0.0000,0.0000,0.0000,0.0000,0.0000,Hectarea
Ahualulco de Mercado,2,69.2600,27.8400,0.0000,4.8400,7.0000,29.5900,0.0000,Hectarea
Amatitan,2,21.7700,21.7700,0.0000,0.0000,0.0000,0.0000,0.0000,Hectarea
Ameca,5,859.6900,697.1200,15.0000,13.0000,10.9100,123.6700,15.0000,Hectarea
San Juanito de Escobedo,2,33.4700,32.0000,0.0000,0.0000,0.0000,1.4700,0.0000,Hectarea
Arandas,1,266.6700,133.3300,0.0000,0.0000,0.0000,133.3300,0.0000,Hectarea
El Arenal,1,1.1700,0.0000,0.0000,0.0000,0.0000,1.1700,0.0000,Hectarea
Atemajac de Brizuela,1,1.0000,0.0000,0.0000,0.0000,1.0000,0.0000,0.0000,Hectarea
Atengo,10,316.1200,227.5600,0.0000,0.0000,26.3900,62.1700,0.0000,Hectarea
Atenguillo,3,67.4700,7.9200,34.6400,24.6400,0.0000,0.2800,34.6400,Hectarea
Atotonilco el Alto,5,188.6700,89.4300,0.0000,0.0000,0.0000,99.2400,0.0000,Hectarea
Atoyac,4,37.2200,1.9700,0.0000,0.9800,0.0000,34.2700,0.0000,Hectarea
Autlan de Navarro,9,494.7900,100.1100,2.6200,111.4500,0.9700,279.6400,2.6200,Hectarea
Ayotlan,9,766.7000,672.4500,13.3600,0.0000,0.0000,80.8900,13.3600,Hectarea
Ayutla,6,101.0600,87.8300,3.0000,5.0000,0.0000,5.2300,3.0000,Hectarea
La Barca,3,105.0000,102.0000,0.0000,0.0000,0.0000,3.0000,0.0000,Hectarea
Bolaños,1,430.1800,412.9800,0.0000,0.0000,17.2100,0.0000,0.0000,Hectarea
Cabo Corrientes,3,854.8000,40.9300,29.1400,743.8000,40.9300,0.0000,29.1400,Hectarea
Casimiro Castillo,2,564.8100,384.2400,71.0600,0.0000,0.0000,109.5000,71.0600,Hectarea
Cihuatlan,8,1023.6000,407.4600,18.6700,310.1800,163.3300,123.9600,18.6700,Hectarea
Zapotlan el Grande,3,340.8500,88.4900,0.0000,97.7200,0.0000,154.6500,0.0000,Hectarea
Cocula,6,249.6100,124.6800,5.0000,2.6400,0.0000,117.2900,5.0000,Hectarea
Colotlan,2,45.0300,45.0300,0.0000,0.0000,0.0000,0.0000,0.0000,Hectarea
Concepcion de Buenos Aires,2,35.0600,0.0000,0.0000,0.0000,2.0000,33.0600,0.0000,Hectarea
Cuautitlan de Garcia Barragan,1,40.9000,25.0000,0.0000,0.0000,0.0000,15.9000,0.0000,Hectarea
Cuautla,1,2.5000,0.0000,2.5000,0.0000,0.0000,0.0000,2.5000,Hectarea
Chimaltitan,2,90.0200,90.0200,0.0000,0.0000,0.0000,0.0000,0.0000,Hectarea
Chiquilistlan,6,319.8200,193.7900,0.9900,5.0000,1.4500,118.5800,0.9900,Hectarea
Degollado,6,428.8500,323.1800,25.1300,23.2700,0.0000,57.2700,25.1300,Hectarea
Ejutla,3,77.6600,72.0000,0.0000,0.0000,0.0000,5.6700,0.0000,Hectarea
Encarnacion de Diaz,1,120.0000,120.0000,0.0000,0.0000,0.0000,0.0000,0.0000,Hectarea
Etzatlan,4,234.9600,147.9700,13.9900,0.0000,0.0000,73.0000,13.9900,Hectarea
El Grullo,3,403.3600,220.0000,0.0000,0.0000,0.0000,183.3600,0.0000,Hectarea
Guachinango,1,9.7900,9.7900,0.0000,0.0000,0.0000,0.0000,0.0000,Hectarea
Hostotipaquillo,12,4844.8000,4093.6300,5.0000,0.0000,0.0000,746.1800,5.0000,Hectarea
Huejuquilla el Alto,1,1.9900,1.9900,0.0000,0.0000,0.0000,0.0000,0.0000,Hectarea
La Huerta,8,1655.1800,1021.9700,20.8400,10.0000,125.0200,477.3600,20.8400,Hectarea
Ixtlahuacan de los Membrillos,2,435.2500,435.2500,0.0000,0.0000,0.0000,0.0000,0.0000,Hectarea
Ixtlahuacan del Rio,7,315.0000,111.6000,0.0000,0.0000,0.0000,203.4000,0.0000,Hectarea
Jamay,2,1.4400,0.0000,1.4300,0.0000,0.0000,0.0100,1.4300,Hectarea
Jesus Maria,1,18.9600,18.9600,0.0000,0.0000,0.0000,0.0000,0.0000,Hectarea
Jilotlan de los Dolores,6,234.1300,16.8800,0.0000,0.0000,0.0000,217.2500,0.0000,Hectarea
Jocotepec,2,1315.1600,1315.1600,0.0000,0.0000,0.0000,0.0000,0.0000,Hectarea
Juanacatlan,1,201.2500,201.2500,0.0000,0.0000,0.0000,0.0000,0.0000,Hectarea
Juchitlan,7,328.5000,151.7100,0.0000,0.0000,55.0900,121.7000,0.0000,Hectarea
Lagos de Moreno,12,948.2000,779.5000,27.2700,32.0200,60.0000,49.4000,27.2700,Hectarea
El Limon,4,69.6700,53.7500,0.0000,3.6100,0.0000,12.3100,0.0000,Hectarea
Magdalena,6,1274.1500,434.2900,0.0000,219.9400,0.0000,619.9200,0.0000,Hectarea
Mascota,6,198.6100,141.1800,7.9200,49.5000,0.0000,0.0100,7.9200,Hectarea
Mazamitla,6,46.0700,14.1800,3.4000,1.0000,7.5300,19.9500,3.4000,Hectarea
Mezquitic,7,23847.4900,2228.4000,500.0000,15083.6900,7.0000,6028.4000,500.0000,Hectarea
Ocotlan,1,8.6300,8.6300,0.0000,0.0000,0.0000,0.0000,0.0000,Hectarea
Ojuelos de Jalisco,7,192.0400,92.7400,16.4900,47.5200,0.0000,35.2900,16.4900,Hectarea
Pihuamo,5,2826.7000,2633.1300,0.0000,0.0000,0.0000,193.5700,0.0000,Hectarea
Poncitlan,3,26.8500,15.5000,0.0000,0.0000,1.0000,10.3500,0.0000,Hectarea
Puerto Vallarta,7,959.6500,117.8900,15.0000,8.2900,176.1200,642.3500,15.0000,Hectarea
Villa Purificacion,1,422.1200,422.1200,0.0000,0.0000,0.0000,0.0000,0.0000,Hectarea
Quitupan,6,145.0600,116.1800,14.8000,0.0000,5.0000,9.0900,14.8000,Hectarea
El Salto,1,84.2100,80.0000,0.0000,0.0000,0.0000,4.2100,0.0000,Hectarea
San Diego de Alejandria,1,201.5000,2.0000,0.0000,0.0000,4.0000,195.5000,0.0000,Hectarea
San Juan de los Lagos,1,51.6700,0.0000,0.0000,0.0000,0.0000,51.6700,0.0000,Hectarea
San Marcos,4,916.1200,621.1500,1.0000,67.4500,0.0000,226.5300,1.0000,Hectarea
San Martin Hidalgo,2,13.5200,13.0000,0.0000,0.0000,0.0000,0.5200,0.0000,Hectarea
Gomez Farias,3,517.6900,30.2200,0.0000,200.8700,0.0000,286.6100,0.0000,Hectarea
San Sebastian del Oeste,10,940.8000,850.4300,0.0000,65.7700,0.0000,24.6100,0.0000,Hectarea
Santa Maria de los angeles,1,9.9500,0.0000,0.0000,0.0000,9.9500,0.0000,0.0000,Hectarea
Sayula,5,1320.2900,983.3700,288.7500,40.5900,7.5700,0.0000,288.7500,Hectarea
