INEGI. IX Censo Ejidal 2007,,,,,,,,,
Superficie de uso comun sin vegetacion,,,,,,,cuadro 11,,
por entidad federativa y municipio,,,,,,,,,
entidad_federativa_y_municipio,ejidos_y_comunidades_con_superficie_de_uso_comun_sin_vegetacion,superficie_sin_vegetacion_(ha),superficies_sin_vegetacion_(ha)_arenales_o_pedregales,superficies_sin_vegetacion_(ha)_ensalitradas,superficies_sin_vegetacion_(ha)_erosionadas,superficies_sin_vegetacion_(ha)_cubiertas_por_agua,superficies_sin_vegetacion_(ha)_otras_superficies,ensalitradas,unidad_de_medida
Ramos Arizpe,16,29540.5600,362.0000,20.8300,6144.9100,22.8700,22989.9500,20.8300,Hectarea
Sabinas,2,1009.3000,100.0000,0.0000,908.5400,0.0000,0.7600,0.0000,Hectarea
Sacramento,1,190.0000,190.0000,0.0000,0.0000,0.0000,0.0000,0.0000,Hectarea
Saltillo,34,16573.2700,3945.8900,2367.8600,1267.7400,0.0000,8991.7800,2367.8600,Hectarea
San Buenaventura,10,3201.1200,1822.0000,839.0000,250.0000,0.0000,290.1200,839.0000,Hectarea
San Juan de Sabinas,1,6228.0000,0.0000,0.0000,0.0000,0.0000,6228.0000,0.0000,Hectarea
San Pedro,53,11795.8300,5763.0800,2041.7200,1559.8900,0.0000,2431.1500,2041.7200,Hectarea
Sierra Mojada,12,9802.2200,5171.9900,469.8800,866.4600,1105.6100,2188.2800,469.8800,Hectarea
Torreon,11,12941.2700,10169.4700,1341.9400,724.5400,0.0000,705.3200,1341.9400,Hectarea
Viesca,15,36276.6600,9717.1300,21542.6600,1958.8900,0.0000,3057.9700,21542.6600,Hectarea
Colima,45,2453.2000,720.5300,23.9000,543.6500,386.6500,778.4700,23.9000,Hectarea
Armeria,4,131.1900,78.0000,0.0000,15.0000,0.0000,38.1900,0.0000,Hectarea
Colima,7,865.8300,569.6700,0.0000,296.1600,0.0000,0.0000,0.0000,Hectarea
Comala,4,37.7900,3.9700,0.0000,0.0000,9.1300,24.6900,0.0000,Hectarea
Coquimatlan,4,103.0000,39.0000,0.0000,64.0000,0.0000,0.0000,0.0000,Hectarea
Cuauhtemoc,1,48.3800,0.0000,0.0000,0.0000,0.0000,48.3800,0.0000,Hectarea
Ixtlahuacan,1,1.0000,0.0000,0.0000,0.5000,0.0000,0.5000,0.0000,Hectarea
Manzanillo,7,42.1000,3.3700,0.2400,0.0000,0.0000,38.4800,0.2400,Hectarea
Minatitlan,3,26.8800,0.0000,0.0000,18.4000,0.0000,8.4800,0.0000,Hectarea
Tecoman,12,1046.3300,25.4100,23.6600,0.0000,377.5200,619.7400,23.6600,Hectarea
Villa de alvarez,2,150.7000,1.1200,0.0000,149.5800,0.0000,0.0000,0.0000,Hectarea
Chiapas,571,64100.8200,25855.5600,2104.5900,3675.5400,7791.0700,24674.0500,2104.5900,Hectarea
Acacoyagua,5,97.2900,92.3400,0.0000,2.3300,0.0000,2.6300,0.0000,Hectarea
Acala,1,7.6600,0.0000,0.0000,0.0000,0.0000,7.6600,0.0000,Hectarea
Altamirano,8,720.4200,716.0000,0.0000,0.0000,0.0000,4.4200,0.0000,Hectarea
Amatan,3,39.2500,14.0000,0.0000,17.0000,0.0000,8.2500,0.0000,Hectarea
Amatenango de la Frontera,2,20.0000,20.0000,0.0000,0.0000,0.0000,0.0000,0.0000,Hectarea
Amatenango del Valle,1,20.0000,20.0000,0.0000,0.0000,0.0000,0.0000,0.0000,Hectarea
Angel Albino Corzo,1,43.5300,0.0000,0.0000,0.0000,0.0000,43.5300,0.0000,Hectarea
Arriaga,2,93.0000,53.0000,0.0000,0.0000,0.0000,40.0000,0.0000,Hectarea
Bella Vista,2,30.0400,30.0400,0.0000,0.0000,0.0000,0.0000,0.0000,Hectarea
Berriozabal,2,16.5200,13.5200,0.0000,3.0000,0.0000,0.0000,0.0000,Hectarea
Bochil,8,73.4600,17.3800,3.8600,0.0000,3.8600,48.3500,3.8600,Hectarea
El Bosque,5,264.9800,264.1800,0.0000,0.0000,0.0000,0.7900,0.0000,Hectarea
Catazaja,6,1118.2100,34.9000,0.0000,0.0000,1073.5200,9.7900,0.0000,Hectarea
Cintalapa,35,7512.2200,1744.5400,32.7900,211.5400,761.7500,4761.6000,32.7900,Hectarea
Coapilla,2,82.7500,1.7700,0.0000,0.0000,0.0000,80.9800,0.0000,Hectarea
Comitan de Dominguez,6,113.6500,92.9100,12.0000,8.7400,0.0000,0.0000,12.0000,Hectarea
La Concordia,19,1674.2200,186.2400,66.6900,149.0200,288.0500,984.2200,66.6900,Hectarea
Copainala,4,34.8800,15.0700,0.0000,0.0000,0.0000,19.8000,0.0000,Hectarea
Chamula,1,25.0000,0.0000,0.0000,0.0000,25.0000,0.0000,0.0000,Hectarea
Chanal,1,25.1600,15.0000,0.0000,10.0000,0.0000,0.1600,0.0000,Hectarea
Chapultenango,2,1246.0000,0.0000,0.0000,1246.0000,0.0000,0.0000,0.0000,Hectarea
Chiapa de Corzo,5,116.9000,46.8600,0.0000,1.0000,0.0000,69.0400,0.0000,Hectarea
Chicoasen,1,3336.1500,10.0000,0.0000,0.0000,0.0000,3326.1500,0.0000,Hectarea
Chicomuselo,15,2334.4400,2301.7900,0.0000,0.0000,0.0000,32.6500,0.0000,Hectarea
Chilon,4,1240.3800,493.7300,0.0000,150.0000,47.8000,548.8400,0.0000,Hectarea
Escuintla,2,17.1300,4.8500,0.0000,2.5700,9.7100,0.0000,0.0000,Hectarea
Francisco Leon,2,67.6300,63.6300,0.0000,4.0000,0.0000,0.0000,0.0000,Hectarea
Frontera Comalapa,15,618.0900,608.3700,0.0000,3.5700,6.0000,0.1400,0.0000,Hectarea
Huehuetan,2,480.0000,0.0000,0.0000,0.0000,480.0000,0.0000,0.0000,Hectarea
Huixtan,9,272.5800,96.2000,0.0000,4.0000,0.0000,172.3800,0.0000,Hectarea
Huitiupan,6,279.1700,115.0000,0.0000,15.0000,5.0000,144.1700,0.0000,Hectarea
Huixtla,3,1796.2800,200.0000,96.9900,0.0000,1490.9700,8.3200,96.9900,Hectarea
La Independencia,7,222.3700,181.3500,0.0000,40.0000,0.0000,1.0200,0.0000,Hectarea
Ixtapa,6,231.1000,81.9500,0.0000,10.0000,1.0000,138.1500,0.0000,Hectarea
Jiquipilas,9,1034.4200,449.8200,0.0000,203.3000,0.0000,381.2900,0.0000,Hectarea
Jitotol,1,10.0000,10.0000,0.0000,0.0000,0.0000,0.0000,0.0000,Hectarea
Juarez,2,210.0100,0.0000,0.0000,0.8500,15.8400,193.3200,0.0000,Hectarea
Larrainzar,1,150.0000,100.0000,0.0000,50.0000,0.0000,0.0000,0.0000,Hectarea
La Libertad,1,1.6500,1.6500,0.0000,0.0000,0.0000,0.0000,0.0000,Hectarea
Mapastepec,21,2557.5400,667.3700,134.0400,0.0000,12.5000,1743.6300,134.0400,Hectarea
Las Margaritas,38,6386.9800,4051.6700,0.0000,0.0000,211.3900,2123.9200,0.0000,Hectarea
Mazapa de Madero,1,8.5700,3.0000,0.0000,0.0000,0.0000,5.5700,0.0000,Hectarea
Mazatan,5,1530.0000,0.0000,0.0000,0.0000,1530.0000,0.0000,0.0000,Hectarea
Mitontic,1,1.4000,0.0000,0.0000,1.0000,0.0000,0.4000,0.0000,Hectarea
Motozintla,20,625.8100,453.9600,0.0000,72.1900,32.3900,67.2600,0.0000,Hectarea
Ocosingo,31,5883.0000,2465.4800,1082.1000,890.0700,233.9600,1211.4000,1082.1000,Hectarea
Ocozocoautla de Espinosa,16,2193.7200,668.5300,0.0000,15.0000,146.5900,1363.6000,0.0000,Hectarea
Ostuacan,2,14.8100,2.2500,0.0000,0.0000,1.7500,10.8100,0.0000,Hectarea
Osumacinta,3,153.4300,85.0000,0.0000,0.0000,0.0000,68.4300,0.0000,Hectarea
Oxchuc,3,69.0200,43.0000,0.0000,0.0000,0.0000,26.0200,0.0000,Hectarea
Palenque,8,457.4900,350.7500,0.0000,0.0000,71.5700,35.1700,0.0000,Hectarea
Pantelho,3,8.9700,5.9700,0.0000,1.3200,0.1600,1.5100,0.0000,Hectarea
Pijijiapan,10,2353.6300,267.7000,95.0000,0.0000,90.0000,1900.9300,95.0000,Hectarea
El Porvenir,1,19.0000,0.0000,0.0000,19.0000,0.0000,0.0000,0.0000,Hectarea
Villa Comaltitlan,1,2.0000,0.0000,0.0000,0.0000,0.0000,2.0000,0.0000,Hectarea
Pueblo Nuevo Solistahuacan,3,21.0000,21.0000,0.0000,0.0000,0.0000,0.0000,0.0000,Hectarea
Las Rosas,3,1054.0000,1054.0000,0.0000,0.0000,0.0000,0.0000,0.0000,Hectarea
Sabanilla,5,289.2300,91.8900,10.0000,14.4400,0.0000,172.8900,10.0000,Hectarea
Salto de Agua,3,48.0000,12.0000,0.0000,0.0000,1.0000,35.0000,0.0000,Hectarea
San Cristobal de las Casas,5,108.5600,88.3000,0.5000,3.5000,0.5000,15.7600,0.5000,Hectarea
San Fernando,8,192.4100,142.0700,7.0000,0.0000,26.5600,16.7900,7.0000,Hectarea
Siltepec,5,1020.9500,399.0200,10.0000,224.9600,358.6600,28.3100,10.0000,Hectarea
Simojovel,18,992.5900,975.5900,0.0000,0.0000,0.0000,17.0100,0.0000,Hectarea
Socoltenango,4,38.8100,35.5600,0.0000,0.0000,0.0000,3.2500,0.0000,Hectarea
Solosuchiapa,1,30.4800,29.0300,0.0000,0.0000,1.4500,0.0000,0.0000,Hectarea
Soyalo,2,1538.6700,1412.6300,0.0000,10.0000,0.0000,116.0400,0.0000,Hectarea
Suchiate,5,590.6000,23.4100,180.4100,0.0000,201.7800,185.0000,180.4100,Hectarea
Tapachula,3,775.0000,39.0000,300.0000,0.0000,202.0000,234.0000,300.0000,Hectarea
Tapalapa,1,4.2700,4.2700,0.0000,0.0000,0.0000,0.0000,0.0000,Hectarea
Tecpatan,13,500.7500,105.7400,0.0000,5.0900,2.0000,387.9200,0.0000,Hectarea
Tenejapa,2,29.8700,0.0000,0.0000,0.0000,0.0000,29.8700,0.0000,Hectarea
Teopisca,12,476.7100,377.1400,0.0000,0.0000,0.0000,99.5700,0.0000,Hectarea
Tila,14,953.2300,614.3200,0.0000,106.1100,15.1000,217.7000,0.0000,Hectarea
Tonala,4,329.4300,57.0000,0.0000,15.0000,69.0000,188.4300,0.0000,Hectarea
La Trinitaria,17,506.3800,348.3700,0.2500,0.0000,79.4800,78.2700,0.2500,Hectarea
Tumbala,4,452.3300,442.0600,0.0000,0.5000,0.2500,9.5200,0.0000,Hectarea
Tuxtla Gutierrez,1,244.5700,12.6800,0.0000,0.0000,0.0000,231.8900,0.0000,Hectarea
Tuzantan,1,4.0000,2.0000,0.0000,2.0000,0.0000,0.0000,0.0000,Hectarea
Tzimol,4,173.3000,168.0500,3.0600,0.0000,2.1900,0.0000,3.0600,Hectarea
Union Juarez,1,1.5000,0.5000,0.0000,0.0000,0.0000,1.0000,0.0000,Hectarea
Venustiano Carranza,14,639.7200,387.3700,6.0000,50.0000,0.0000,196.3400,6.0000,Hectarea
Villa Corzo,17,1473.6500,226.5900,28.5700,87.7900,52.0000,1078.7100,28.5700,Hectarea
Villaflores,14,747.4000,453.3700,28.7000,15.6500,226.3100,23.3700,28.7000,Hectarea
Yajalon,2,271.5400,34.8700,0.0000,10.0000,0.0000,226.6700,0.0000,Hectarea
Benemerito de las Americas,4,879.8600,744.8900,0.0000,0.0000,9.0000,125.9700,0.0000,Hectarea
Maravilla Tenejapa,4,207.9600,207.7200,0.0000,0.0000,0.2400,0.0000,0.0000,Hectarea
Marques de Comillas,5,226.3100,184.3600,6.6300,0.0000,4.7400,30.5800,6.6300,Hectarea
Montecristo de Guerrero,1,1335.8700,0.0000,0.0000,0.0000,0.0000,1335.8700,0.0000,Hectarea
Chihuahua,309,470346.3300,120838.6400,14339.1600,13833.4400,13024.5400,308310.5500,14339.1600,Hectarea
Ahumada,10,83855.3800,3250.8400,2000.0000,0.0000,0.0000,78604.5400,2000.0000,Hectarea
Aldama,11,32941.2600,716.3700,1190.5800,115.6600,434.8400,30483.8100,1190.5800,Hectarea
Allende,9,596.8700,126.4100,152.6600,98.4400,0.0000,219.3600,152.6600,Hectarea
Ascension,14,33568.8200,9233.8500,3272.8200,4296.4200,2062.2300,14703.5000,3272.8200,Hectarea
Bachiniva,7,13501.7100,3441.8400,260.2100,0.0000,6.7000,9792.9500,260.2100,Hectarea
Balleza,5,5605.9500,5597.6200,0.0000,0.0000,0.0000,8.3300,0.0000,Hectarea
Batopilas,11,42484.1200,1931.5200,0.0000,850.0000,0.0000,39702.6000,0.0000,Hectarea
Bocoyna,3,404.8500,22.0000,0.0000,0.0000,0.0000,382.8500,0.0000,Hectarea
Buenaventura,3,17503.7600,11409.0900,0.0000,0.0000,0.0000,6094.6700,0.0000,Hectarea
Camargo,5,3795.1500,2839.6600,0.0000,265.6800,0.0000,689.8200,0.0000,Hectarea
Carichi,5,710.8600,159.4700,0.0000,289.3900,2.0000,260.0000,0.0000,Hectarea
Casas Grandes,3,3907.5300,0.0000,3010.0000,0.0000,3.0000,894.5300,3010.0000,Hectarea
Coronado,2,3480.0000,2.0000,0.0000,0.0000,0.0000,3478.0000,0.0000,Hectarea
Coyame del Sotol,3,736.3900,0.0000,0.0000,479.5200,0.0000,256.8700,0.0000,Hectarea
La Cruz,1,3.0000,3.0000,0.0000,0.0000,0.0000,0.0000,0.0000,Hectarea
Cuauhtemoc,10,3353.4600,726.9300,0.0000,446.2700,45.4100,2134.8400,0.0000,Hectarea
Cusihuiriachi,7,2251.4200,1473.2600,0.0000,377.7200,362.8600,37.5900,0.0000,Hectarea
Chihuahua,6,1417.8100,1417.6100,0.0000,0.0000,0.2000,0.0000,0.0000,Hectarea
Chinipas,12,13334.0700,5214.1600,2.0000,0.0000,66.0900,8051.8200,2.0000,Hectarea
Delicias,1,432.0700,432.0700,0.0000,0.0000,0.0000,0.0000,0.0000,Hectarea
Dr. Belisario Dominguez,1,3492.7900,0.0000,0.0000,0.0000,0.0000,3492.7900,0.0000,Hectarea
Santa Isabel,3,1474.4500,34.4500,0.0000,0.0000,0.0000,1440.0000,0.0000,Hectarea
Gomez Farias,3,3309.1000,3075.2700,10.0000,20.0000,203.2900,0.5400,10.0000,Hectarea
Guachochi,19,18198.9000,3677.3700,0.0000,1748.3700,0.0000,12773.1700,0.0000,Hectarea
Guadalupe,2,5290.8900,1112.9100,0.0000,67.7400,0.0000,4110.2400,0.0000,Hectarea
Guadalupe y Calvo,24,38731.9300,9332.1300,4.5100,1008.0800,1014.1400,27373.0700,4.5100,Hectarea
Guazapares,8,18321.0400,5744.7200,0.0000,6.0000,3.0000,12567.3300,0.0000,Hectarea
Guerrero,10,4442.9900,3856.3400,0.8000,4.0200,121.8800,459.9500,0.8000,Hectarea
Hidalgo del Parral,2,22.9900,0.0000,1.0000,2.0000,0.0000,20.0000,1.0000,Hectarea
Huejotitan,3,42.8900,42.0000,0.0000,0.0000,0.0000,0.9000,0.0000,Hectarea
Janos,6,14593.3000,928.3100,43.3100,1225.6500,5.0000,12391.0400,43.3100,Hectarea
Jimenez,15,26437.9100,16369.1700,1905.2600,1757.0000,152.2100,6254.2600,1905.2600,Hectarea
Juarez,5,9013.5700,40.0000,0.0000,0.0000,0.0000,8973.5700,0.0000,Hectarea
Lopez,2,466.0000,420.0000,0.0000,46.0000,0.0000,0.0000,0.0000,Hectarea
Madera,5,583.8900,143.9000,0.0000,9.2800,0.0000,430.7100,0.0000,Hectarea
Maguarichi,4,4599.6800,2628.4600,0.0000,600.0000,13.0000,1358.2200,0.0000,Hectarea
Manuel Benavides,1,148.9600,148.9600,0.0000,0.0000,0.0000,0.0000,0.0000,Hectarea
Matamoros,3,2347.8300,107.8300,0.0000,10.0000,0.0000,2230.0000,0.0000,Hectarea
Morelos,5,5420.2800,327.4500,0.0000,88.5700,0.0000,5004.2500,0.0000,Hectarea
Moris,2,100.8100,86.1200,0.0000,0.0000,0.0000,14.6900,0.0000,Hectarea
Namiquipa,2,5680.1000,73.7600,0.0000,0.0000,5576.4500,29.8900,0.0000,Hectarea
Nonoava,1,379.9700,189.9900,0.0000,0.0000,189.9900,0.0000,0.0000,Hectarea
Nuevo Casas Grandes,1,61.8700,0.0000,0.0000,0.0000,0.0000,61.8700,0.0000,Hectarea
Ocampo,4,226.7100,223.7200,0.0000,0.0000,2.9900,0.0000,0.0000,Hectarea
Ojinaga,3,7825.4900,214.2800,450.0000,0.0000,0.0000,7161.2100,450.0000,Hectarea
