INEGI. IX Censo Ejidal 2007,,,,,,,,,,,
Total de ejidos y comunidades segun tipo de actividad no agropecuaria ni forestal,,,,,,,,,,,cuadro 19
por entidad federativa y municipio,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
entidad_federativa_y_municipio,ejidos_y_comunidades,ejidos_y_comunidades_con_actividades_no_agropecuarias_ni_forestales_a_total,ejidos_y_comunidades_con_actividades_no_agropecuarias_ni_forestales_a_extraccion_de_materiales_de_construccion,ejidos_y_comunidades_con_actividades_no_agropecuarias_ni_forestales_a_extraccion_de_otros_minerales,ejidos_y_comunidades_con_actividades_no_agropecuarias_ni_forestales_a_pesquera,ejidos_y_comunidades_con_actividades_no_agropecuarias_ni_forestales_a_artesanal,ejidos_y_comunidades_con_actividades_no_agropecuarias_ni_forestales_a_industrial,ejidos_y_comunidades_con_actividades_no_agropecuarias_ni_forestales_a_turistica,ejidos_y_comunidades_con_actividades_no_agropecuarias_ni_forestales_a_acuicola,ejidos_y_comunidades_con_actividades_no_agropecuarias_ni_forestales_a_otras_actividades,sin_actividades_de_este_tipo
Amatan,22,4,2,0,1,2,0,0,0,0,18
Amatenango De la Frontera,13,3,1,0,0,1,0,0,1,0,10
Amatenango Del Valle,C,C,1,0,0,1,0,0,0,0,C
Angel Albino Corzo,15,1,1,0,0,0,0,0,0,0,14
Arriaga,24,3,1,0,2,0,0,0,1,0,21
Bejucal De Ocampo,C,C,0,0,0,0,0,0,0,0,C
Bella Vista,9,5,1,0,0,0,0,0,5,0,4
Berriozabal,16,2,1,0,0,2,0,0,0,0,14
Bochil,38,15,1,0,0,14,0,0,0,0,23
El Bosque,13,4,1,0,0,4,0,0,0,0,9
Cacahoatan,21,1,1,0,0,0,0,0,0,0,20
Catazaja,28,13,0,0,13,0,0,0,2,0,15
Cintalapa,81,9,4,0,2,2,2,0,0,1,72
Coapilla,9,3,0,0,0,3,0,1,0,1,6
Comitan De Dominguez,34,11,6,0,0,1,5,0,0,0,23
La Concordia,43,12,2,0,12,1,0,0,2,0,31
Copainala,15,3,2,0,0,1,0,0,0,0,12
Chalchihuitan,C,C,0,0,0,1,0,0,0,0,C
Chamula,5,3,0,0,0,3,0,0,0,0,2
Chanal,C,C,0,0,0,0,0,0,0,0,C
Chapultenango,9,0,0,0,0,0,0,0,0,0,9
Chenalho,10,4,1,0,0,4,2,0,0,0,6
Chiapa De Corzo,44,13,3,0,3,9,0,3,0,0,31
Chiapilla,C,C,0,0,0,0,0,0,0,0,C
Chicoasen,C,C,1,0,0,0,0,0,0,0,C
Chicomuselo,32,0,0,0,0,0,0,0,0,0,32
Chilon,25,3,1,0,0,3,0,0,0,0,22
Escuintla,35,0,0,0,0,0,0,0,0,0,35
Francisco Leon,6,0,0,0,0,0,0,0,0,0,6
Frontera Comalapa,38,0,0,0,0,0,0,0,0,0,38
Frontera Hidalgo,C,C,0,0,0,0,0,0,0,0,C
La Grandeza,3,2,1,0,0,0,0,0,2,0,1
Huehuetan,19,1,0,0,1,0,0,0,0,0,18
Huixtan,19,0,0,0,0,0,0,0,0,0,19
Huitiupan,50,5,1,2,1,1,0,0,0,0,45
Huixtla,20,7,0,0,4,0,2,1,3,1,13
La Independencia,32,7,3,0,4,2,0,2,0,0,25
Ixhuatan,6,3,2,0,0,2,1,1,0,0,3
Ixtacomitan,12,2,0,0,0,1,0,0,0,1,10
Ixtapa,32,11,3,0,0,8,0,0,0,0,21
Ixtapangajoya,4,0,0,0,0,0,0,0,0,0,4
Jiquipilas,64,8,5,0,0,1,0,0,4,0,56
Jitotol,22,0,0,0,0,0,0,0,0,0,22
Juarez,6,4,1,0,3,0,2,0,0,0,2
Larrainzar,3,1,0,0,0,1,0,0,0,0,2
La Libertad,4,2,2,1,0,0,0,0,0,0,2
Mapastepec,56,8,0,0,1,1,0,0,6,0,48
Las Margaritas,145,28,22,0,0,6,0,3,0,0,117
Mazapa De Madero,4,1,1,0,0,1,0,0,0,0,3
Mazatan,18,1,0,0,1,0,0,0,0,0,17
Metapa,C,C,0,0,0,0,0,0,0,0,C
Mitontic,C,C,0,0,0,0,0,0,0,0,C
Motozintla,43,1,1,0,0,0,0,0,0,0,42
Ocosingo,159,15,5,0,2,11,0,6,0,0,144
Ocotepec,C,C,0,0,0,1,0,0,0,0,C
Ocozocoautla De Espinosa,74,10,3,0,1,4,0,4,0,0,64
Ostuacan,29,10,4,0,6,0,0,0,0,0,19
Osumacinta,3,2,1,0,0,1,0,1,0,0,1
Oxchuc,3,1,0,0,0,1,0,0,0,0,2
Palenque,163,14,6,0,5,3,0,5,0,0,149
Pantelho,9,0,0,0,0,0,0,0,0,0,9
Pantepec,6,2,0,1,0,2,0,0,0,1,4
Pichucalco,9,2,0,0,2,0,0,0,0,0,7
Pijijiapan,70,21,2,0,18,0,1,0,2,0,49
El Porvenir,5,0,0,0,0,0,0,0,0,0,5
Villa Comaltitlan,19,4,2,0,2,0,1,0,1,0,15
Pueblo Nuevo Solistahuacan,21,3,0,0,0,3,0,0,0,0,18
Rayon,4,0,0,0,0,0,0,0,0,0,4
Reforma,7,1,1,0,0,0,0,0,0,0,6
Las Rosas,17,2,2,0,0,0,0,0,0,0,15
Sabanilla,19,2,1,0,0,1,0,0,0,0,17
Salto De Agua,86,8,2,0,0,6,0,1,0,0,78
San Cristobal De las Casas,16,4,4,0,0,1,0,0,0,0,12
San Fernando,18,8,3,0,2,3,0,0,1,0,10
Siltepec,18,4,0,0,0,0,0,0,3,1,14
Simojovel,53,7,1,0,0,6,0,0,0,0,46
Sitala,7,0,0,0,0,0,0,0,0,0,7
Socoltenango,33,1,0,0,0,0,0,1,0,0,32
Solosuchiapa,11,1,1,0,0,0,0,0,0,0,10
Soyalo,4,2,0,0,0,2,0,0,0,0,2
Suchiapa,9,1,1,0,0,1,0,0,0,0,8
Suchiate,17,4,0,0,2,0,1,0,2,0,13
Sunuapa,C,C,0,0,0,0,0,0,0,0,C
Tapachula,52,5,2,0,1,0,0,0,1,1,47
Tapalapa,C,C,0,0,0,1,1,0,0,0,C
Tapilula,4,0,0,0,0,0,0,0,0,0,4
Tecpatan,59,17,1,0,17,0,0,0,1,0,42
Tenejapa,7,0,0,0,0,0,0,0,0,0,7
Teopisca,16,2,1,0,0,1,0,0,0,0,14
Tila,29,9,8,0,0,1,0,0,0,0,20
Tonala,54,18,1,0,15,1,2,2,8,1,36
Totolapa,8,0,0,0,0,0,0,0,0,0,8
La Trinitaria,85,34,11,0,5,3,0,3,16,0,51
Tumbala,24,5,2,0,0,2,0,2,0,0,19
Tuxtla Gutierrez,6,2,2,0,0,2,1,0,0,0,4
Tuxtla Chico,7,0,0,0,0,0,0,0,0,0,7
Tuzantan,16,2,2,0,0,0,0,0,1,0,14
Tzimol,18,3,1,0,1,0,1,1,0,0,15
Union Juarez,12,2,1,0,0,0,0,1,0,0,10
Venustiano Carranza,41,8,3,0,5,5,0,0,0,0,33
Villa Corzo,71,22,8,0,7,2,0,1,5,2,49
Villaflores,67,14,4,0,0,12,0,0,0,0,53
Yajalon,8,0,0,0,0,0,0,0,0,0,8
San Lucas,C,C,0,0,0,0,0,0,0,0,C
Zinacantan,6,5,0,0,0,5,0,0,0,0,1
San Juan Cancuc,C,C,0,0,0,1,0,0,0,0,C
Aldama,C,C,0,0,0,1,0,0,0,0,C
Benemerito De las Americas,14,1,1,0,1,0,0,0,0,0,13
Maravilla Tenejapa,33,6,5,0,0,2,0,1,1,0,27
Marques De Comillas,23,9,6,0,2,0,0,1,2,0,14
Montecristo De Guerrero,5,0,0,0,0,0,0,0,0,0,5
San Andres Duraznal,5,1,0,1,0,0,0,0,0,0,4
Santiago el Pinar,C,C,0,0,0,0,0,0,0,0,C
Chihuahua,987,200,63,22,30,57,34,46,24,5,787
Ahumada,24,4,3,0,0,0,1,0,0,0,20
Aldama,24,6,2,2,2,0,0,2,0,0,18
Allende,21,4,2,1,0,0,1,0,0,0,17
Aquiles Serdan,C,C,0,0,0,0,0,0,0,0,C
Ascension,21,2,1,0,0,0,1,1,0,0,19
Bachiniva,11,0,0,0,0,0,0,0,0,0,11
Balleza,20,5,0,0,1,1,3,1,1,0,15
Batopilas,12,9,0,2,0,7,0,1,0,0,3
Bocoyna,26,12,2,0,0,10,4,5,0,0,14
Buenaventura,9,0,0,0,0,0,0,0,0,0,9
Camargo,24,2,0,0,0,0,2,0,0,0,22
Carichi,23,2,0,0,1,1,0,1,0,0,21
Casas Grandes,13,3,1,0,0,2,2,3,0,0,10
Coronado,6,0,0,0,0,0,0,0,0,0,6
Coyame Del Sotol,12,1,1,1,0,0,0,0,0,0,11
La Cruz,5,0,0,0,0,0,0,0,0,0,5
Cuauhtemoc,26,2,2,0,0,0,0,0,0,0,24
Cusihuiriachi,21,0,0,0,0,0,0,0,0,0,21
Chihuahua,47,7,7,1,0,0,0,1,0,0,40
Chinipas,16,3,0,2,0,0,0,0,1,0,13
Delicias,4,1,0,0,1,0,1,0,0,0,3
Dr. Belisario Dominguez,9,0,0,0,0,0,0,0,0,0,9
Galeana,4,1,1,0,0,0,0,0,1,0,3
Santa Isabel,8,1,0,0,0,0,1,0,0,0,7
Gomez Farias,7,3,1,0,0,0,1,1,0,0,4
Gran Morelos,10,1,1,0,0,0,0,0,0,0,9
Guachochi,26,12,5,1,2,8,4,3,1,0,14
Guadalupe,7,3,1,1,0,0,0,0,2,0,4
