INEGI. IX Censo Ejidal 2007,,,
Ejidos y comunidades con superficie de uso comun desmontada para uso agricola,,,cuadro 8
y ganadero por entidad federativa y municipio,,,
,,,
,,,
entidad_federativa_y_municipio,total,ejidos_y_comunidqdes_con_superficie_de_uso_comun_desmontada_ con_uso_agricola,ejidos_y_comunidqdes_con_superficie_de_uso_comun_desmontada_con_uso_ganadero
Ayutla,8,8,2
La Barca,1,1,0
Casimiro Castillo,1,0,1
Cihuatlan,2,1,2
Zapotlan el Grande,1,1,0
Cocula,2,2,0
Cuautla,1,1,0
Cuquio,1,0,1
Chiquilistlan,3,2,2
Degollado,3,1,3
Etzatlan,3,2,1
El Grullo,1,1,1
Guachinango,1,1,1
Hostotipaquillo,4,1,4
La Huerta,1,0,1
Jalostotitlan,1,0,1
Jocotepec,1,1,0
Juchitlan,2,1,2
Lagos de Moreno,1,1,0
El Limon,2,2,2
Mascota,1,1,0
Mazamitla,3,2,3
Mezquitic,1,1,1
Pihuamo,1,1,1
Puerto Vallarta,2,2,0
Villa Purificacion,8,3,8
Quitupan,6,2,6
San Juan de los Lagos,1,1,1
San Sebastian del Oeste,5,3,2
Sayula,1,1,0
Tala,2,1,1
Talpa de Allende,6,6,2
Tamazula de Gordiano,6,3,5
Tapalpa,1,1,0
Tecalitlan,3,2,2
Tecolotlan,8,5,4
Tenamaxtlan,1,0,1
Teocuitatlan de Corona,2,2,0
Tequila,3,2,1
Tlajomulco de Zuñiga,1,1,0
Tomatlan,3,2,3
Tonila,3,3,1
Tuxcueca,1,0,1
Tuxpan,1,1,0
Union de Tula,4,4,0
San Gabriel,2,2,0
Villa Corona,2,2,1
Zacoalco de Torres,1,1,1
Zapotiltic,1,0,1
Zapotlan del Rey,2,2,0
Mexico,28,24,10
Aculco,1,1,0
Amatepec,2,2,2
Coatepec Harinas,2,2,0
Coyotepec,1,1,0
Ixtapan del Oro,1,1,0
Joquicingo,1,0,1
Morelos,1,1,0
Nicolas Romero,1,1,0
Otumba,2,2,1
Tejupilco,2,0,2
Temascaltepec,2,2,0
Tenancingo,2,2,0
Tepetlaoxtoc,1,1,0
Texcoco,1,1,0
Tlatlaya,2,1,1
Valle de Bravo,2,2,1
Villa del Carbon,2,2,0
Xonacatlan,1,1,1
Luvianos,1,1,1
Michoacan de Ocampo,126,84,64
Acuitzio,1,0,1
Aguililla,1,0,1
Apatzingan,6,3,4
Aquila,2,2,1
Ario,6,4,3
Arteaga,3,2,3
Buenavista,3,0,3
Caracuaro,1,0,1
Coahuayana,1,1,1
Coalcoman de Vazquez Pallares,1,1,1
Cotija,4,3,2
Charapan,1,0,1
Charo,2,0,2
Chavinda,1,1,0
Chilchota,1,0,1
Chinicuila,1,1,0
Churintzio,2,1,2
Churumuco,1,0,1
Gabriel Zamora,1,0,1
La Huacana,8,5,3
Huetamo,3,2,1
Juarez,3,3,2
Jungapeo,1,1,0
Madero,1,1,0
Marcos Castellanos,1,1,0
Lazaro Cardenas,3,0,3
Morelia,2,2,1
Nocupetaro,1,0,1
Nuevo Parangaricutiro,2,2,0
Nuevo Urecho,1,1,0
Ocampo,1,1,0
Pajacuaran,2,2,0
Panindicuaro,2,2,0
Penjamillo,2,0,2
Periban,1,1,0
Puruandiro,1,1,0
Quiroga,1,1,0
Cojumatlan de Regules,1,0,1
Los Reyes,2,2,1
Salvador Escalante,1,1,0
Susupuato,1,1,0
Tacambaro,3,3,0
Tancitaro,1,1,1
Tangancicuaro,2,1,1
Taretan,3,3,0
Tarimbaro,1,1,0
Tepalcatepec,2,1,2
Tiquicheo de Nicolas Romero,5,1,4
Tlazazalca,1,1,1
Tocumbo,1,1,0
Tumbiscatio,6,4,6
Tuxpan,2,1,1
Tuzantla,4,3,2
Tzitzio,1,0,1
Uruapan,2,2,1
Villamar,2,2,0
Zamora,5,5,0
Zinaparo,1,1,0
Ziracuaretiro,1,1,0
Zitacuaro,2,2,0
Jose Sixto Verduzco,1,1,0
Morelos,10,7,3
Amacuzac,1,1,0
Axochiapan,1,1,0
Mazatepec,1,0,1
Miacatlan,2,1,1
Tepalcingo,1,0,1
Tepoztlan,1,1,0
Tetecala,1,1,0
Tetela del Volcan,1,1,0
Xochitepec,1,1,0
Nayarit,41,26,29
Acaponeta,5,2,4
Amatlan de Cañas,1,1,1
Compostela,3,1,3
Huajicori,3,2,1
Ixtlan del Rio,1,1,1
Jala,1,1,0
Del Nayar,17,11,15
Ruiz,2,1,1
San Blas,1,1,1
Santa Maria del Oro,1,0,1
Santiago Ixcuintla,1,1,0
Tepic,3,3,0
Tuxpan,1,1,0
Bahia de Banderas,1,0,1
Nuevo Leon,7,2,5
Los Aldamas,1,0,1
Dr. Arroyo,1,0,1
Galeana,3,2,1
Iturbide,1,0,1
Vallecillo,1,0,1
Oaxaca,155,127,67
Acatlan de Perez Figueroa,7,7,0
Asuncion Ixtaltepec,1,1,1
Ayotzintepec,3,2,1
El Barrio de la Soledad,1,1,1
Cosolapa,1,1,0
Cuilapam de Guerrero,1,1,1
Ixtlan de Juarez,3,3,1
Heroica Ciudad de Juchitan de Zaragoza,1,0,1
Loma Bonita,4,3,2
Nejapa de Madero,1,1,0
Santiago Niltepec,1,0,1
Putla Villa de Guerrero,1,1,1
San Antonino Monte Verde,1,1,0
San Antonio Huitepec,1,1,0
San Baltazar Loxicha,1,1,1
San Bartolome Ayautla,1,1,0
San Bartolo Yautepec,1,1,0
San Carlos Yautepec,2,2,0
San Felipe Jalapa de Diaz,1,1,0
San Ildefonso Amatlan,1,1,1
San Ildefonso Villa Alta,1,1,1
San Jeronimo Tecoatl,1,0,1
San Jose Chiltepec,1,1,0
San Jose Tenango,1,1,0
San Juan Bautista Coixtlahuaca,1,0,1
San Juan Bautista Suchitepec,1,0,1
San Juan Bautista Tuxtepec,4,3,1
San Juan Cotzocon,2,2,1
San Juan Guichicovi,8,8,6
San Juan Lachao,1,0,1
San Juan Lalana,1,1,0
San Juan Mazatlan,2,2,0
San Juan Petlapa,1,1,0
San Juan Yaee,1,1,0
San Lorenzo Cacaotepec,1,1,0
San Lucas Camotlan,1,1,0
San Lucas Ojitlan,3,3,1
San Mateo Cajonos,1,1,0
San Miguel Amatitlan,1,1,0
San Miguel Coatlan,1,1,0
San Miguel Chicahua,1,1,0
San Miguel del Puerto,1,1,1
San Miguel Quetzaltepec,1,1,1
San Miguel Soyaltepec,1,1,0
Villa Talea de Castro,1,0,1
San Miguel Tenango,1,1,1
San Miguel Yotao,1,1,0
San Pablo Coatlan,1,1,0
San Pablo Macuiltianguis,1,1,0
San Pablo Villa de Mitla,2,2,0
San Pablo Yaganiza,1,1,0
San Pedro Amuzgos,1,0,1
San Pedro Atoyac,1,0,1
San Pedro Ixcatlan,1,1,0
San Pedro Tapanatepec,1,0,1
San Pedro Teutila,2,2,0
San Pedro Totolapa,2,2,0
Villa de Tututepec de Melchor Ocampo,2,2,2
San Pedro Yolox,1,0,1
San Pedro y San Pablo Tequixtepec,1,1,0
San Sebastian Nicananduta,1,1,0
Santa Cruz Xitla,1,1,0
Santa Lucia Monteverde,1,1,0
Santa Maria Alotepec,1,1,1
Heroica Ciudad de Tlaxiaco,1,1,0
Santa Maria Ecatepec,2,2,0
Santa Maria Ipalapa,2,0,2
Santa Maria Jacatepec,7,7,1
Santa Maria Petapa,1,0,1
Santa Maria Quiegolani,1,1,0
Santa Maria Temaxcalapa,1,1,0
Santa Maria Temaxcaltepec,1,0,1
Santa Maria Tonameca,1,1,1
Santa Maria Zacatepec,1,0,1
Santiago Astata,1,0,1
Santiago Atitlan,1,1,0
Santiago Choapam,1,1,0
Santiago Jocotepec,6,4,3
Santiago Juxtlahuaca,2,2,1
Santiago Laollaga,1,1,0
Santiago Laxopa,2,2,0
Santiago Llano Grande,1,1,1
Santiago Nuyoo,1,0,1
Santiago Pinotepa Nacional,3,2,3
Santiago Yaitepec,1,1,1
Santiago Yaveo,1,0,1
Santo Domingo Chihuitan,1,0,1
Santo Domingo Petapa,1,1,1
Santo Domingo Roayaga,1,1,0
Santo Domingo Tehuantepec,3,3,3
