INEGI. IX Censo Ejidal 2007,,,,,
Ejidos y comunidades sin permanencia de la mayoria de los jovenes,,,,,cuadro 17
segun lugar de destino por entidad federativa y municipio,,,,,
,,,,,
,,,,,
,,,,,
entidad_federativa_y_municipio,ejidos_y_comunidades_sin_permanencia_de_la_mayoria_de_los_jovenes,lugar_de_destino_dentro_del_pais_areas_urbanas,lugar_de_destino_dentro_del_pais_areas rurales,lugar_de_destino_fuera_del_pais_a_estados_unidos,lugar_de_destino_fuera_del_pais_a_otro_pais
Suchiapa,0,0,0,0,0
Suchiate,3,0,0,3,0
Sunuapa,0,0,0,0,0
Tapachula,18,7,3,8,0
Tapalapa,1,0,1,0,0
Tapilula,0,0,0,0,0
Tecpatan,17,4,0,13,0
Tenejapa,1,1,0,0,0
Teopisca,1,0,0,1,0
Tila,1,0,1,0,0
Tonala,13,6,1,6,0
Totolapa,1,0,1,0,0
La Trinitaria,9,0,0,9,0
Tumbala,2,1,1,0,0
Tuxtla Gutierrez,0,0,0,0,0
Tuxtla Chico,3,0,1,2,0
Tuzantan,3,1,0,2,0
Tzimol,2,0,0,2,0
Union Juarez,3,0,0,3,0
Venustiano Carranza,7,3,1,3,0
Villa Corzo,5,2,0,3,0
Villaflores,5,4,1,0,0
Yajalon,0,0,0,0,0
San Lucas,1,1,0,0,0
Zinacantan,1,0,0,1,0
San Juan Cancuc,0,0,0,0,0
Aldama,0,0,0,0,0
Benemerito de las Americas,7,2,1,4,0
Maravilla Tenejapa,0,0,0,0,0
Marques de Comillas,4,0,1,3,0
Montecristo de Guerrero,1,0,0,1,0
San Andres Duraznal,0,0,0,0,0
Santiago el Pinar,0,0,0,0,0
Chihuahua,418,118,31,269,0
Ahumada,8,6,1,1,0
Aldama,18,10,1,7,0
Allende,10,3,0,7,0
Aquiles Serdan,0,0,0,0,0
Ascension,11,2,0,9,0
Bachiniva,7,0,0,7,0
Balleza,1,0,0,1,0
Batopilas,0,0,0,0,0
Bocoyna,10,10,0,0,0
Buenaventura,1,0,0,1,0
Camargo,8,3,1,4,0
Carichi,11,1,0,10,0
Casas Grandes,10,1,0,9,0
Coronado,1,1,0,0,0
Coyame del Sotol,2,1,0,1,0
La Cruz,3,0,0,3,0
Cuauhtemoc,15,0,0,15,0
Cusihuiriachi,15,0,0,15,0
Chihuahua,15,10,1,4,0
Chinipas,0,0,0,0,0
Delicias,0,0,0,0,0
Dr. Belisario Dominguez,8,0,0,8,0
Galeana,0,0,0,0,0
Santa Isabel,7,0,0,7,0
Gomez Farias,7,0,0,7,0
Gran Morelos,8,0,0,8,0
Guachochi,2,0,2,0,0
Guadalupe,2,1,0,1,0
Guadalupe y Calvo,9,7,1,1,0
Guazapares,0,0,0,0,0
Guerrero,33,3,1,29,0
Hidalgo del Parral,5,4,0,1,0
Huejotitan,5,0,1,4,0
Ignacio Zaragoza,4,0,0,4,0
Janos,8,1,0,7,0
Jimenez,23,14,1,8,0
Juarez,0,0,0,0,0
Julimes,2,0,0,2,0
Lopez,6,4,0,2,0
Madera,10,1,0,9,0
Maguarichi,2,2,0,0,0
Manuel Benavides,6,2,0,4,0
Matachi,5,0,0,5,0
Matamoros,1,0,0,1,0
Meoqui,1,0,1,0,0
Morelos,8,7,1,0,0
Moris,0,0,0,0,0
Namiquipa,8,2,0,6,0
Nonoava,1,0,0,1,0
Nuevo Casas Grandes,1,0,0,1,0
Ocampo,1,1,0,0,0
Ojinaga,8,1,0,7,0
Praxedis G. Guerrero,0,0,0,0,0
Riva Palacio,6,0,0,6,0
Rosales,3,1,1,1,0
Rosario,4,0,0,4,0
San Francisco de Borja,7,0,0,7,0
San Francisco de Conchos,1,0,0,1,0
San Francisco del Oro,2,0,1,1,0
Santa Barbara,4,0,3,1,0
Satevo,20,0,6,14,0
Saucillo,8,3,0,5,0
Temosachi,6,1,0,5,0
El Tule,2,0,0,2,0
Urique,13,13,0,0,0
Uruachi,1,0,0,1,0
Valle de Zaragoza,14,2,8,4,0
Distrito Federal,5,3,0,2,0
Cuajimalpa de Morelos,0,0,0,0,0
La Magdalena Contreras,0,0,0,0,0
Milpa Alta,0,0,0,0,0
alvaro Obregon,0,0,0,0,0
Tlahuac,4,2,0,2,0
Tlalpan,0,0,0,0,0
Xochimilco,1,1,0,0,0
Durango,475,53,20,402,0
Canatlan,21,2,1,18,0
Canelas,0,0,0,0,0
Coneto de Comonfort,5,0,0,5,0
Cuencame,8,0,0,8,0
Durango,40,6,1,33,0
General Simon Bolivar,14,0,0,14,0
Gomez Palacio,4,4,0,0,0
Guadalupe Victoria,9,0,1,8,0
Guanacevi,10,1,3,6,0
Hidalgo,15,1,0,14,0
Inde,11,0,0,11,0
Lerdo,2,0,0,2,0
Mapimi,47,6,2,39,0
Mezquital,10,0,4,6,0
Nazas,16,4,0,12,0
Nombre de Dios,17,0,0,17,0
Ocampo,15,0,2,13,0
El Oro,13,0,0,13,0
Otaez,7,0,0,7,0
Panuco de Coronado,8,0,1,7,0
Peñon Blanco,2,0,0,2,0
Poanas,12,1,0,11,0
Pueblo Nuevo,2,2,0,0,0
Rodeo,25,4,0,21,0
San Bernardo,22,7,0,15,0
San Dimas,8,6,1,1,0
San Juan de Guadalupe,12,0,1,11,0
San Juan del Rio,12,0,0,12,0
San Luis del Cordero,2,0,0,2,0
San Pedro del Gallo,9,1,0,8,0
Santa Clara,0,0,0,0,0
Santiago Papasquiaro,26,1,1,24,0
Suchil,8,0,0,8,0
Tamazula,5,2,0,3,0
Tepehuanes,19,0,1,18,0
Tlahualilo,5,5,0,0,0
Topia,1,0,0,1,0
Vicente Guerrero,9,0,0,9,0
Nuevo Ideal,24,0,1,23,0
Guanajuato,952,16,41,895,0
Abasolo,40,1,2,37,0
Acambaro,59,0,1,58,0
San Miguel de Allende,41,0,1,40,0
Apaseo el Alto,19,0,0,19,0
Apaseo el Grande,21,0,3,18,0
Atarjea,6,0,0,6,0
Celaya,15,0,1,14,0
Manuel Doblado,29,0,0,29,0
Comonfort,16,0,1,15,0
Coroneo,3,0,0,3,0
Cortazar,15,2,2,11,0
Cueramaro,13,0,1,12,0
Doctor Mora,4,0,0,4,0
Dolores Hidalgo Cuna de la Independencia Nal.,38,2,2,34,0
Guanajuato,6,0,4,2,0
Huanimaro,19,0,0,19,0
Irapuato,41,0,4,37,0
Jaral del Progreso,8,0,0,8,0
Jerecuaro,40,0,1,39,0
Leon,14,0,3,11,0
Moroleon,8,0,0,8,0
Ocampo,5,1,1,3,0
Penjamo,120,1,3,116,0
Pueblo Nuevo,1,0,0,1,0
Purisima del Rincon,1,0,0,1,0
Romita,25,0,0,25,0
Salamanca,15,0,1,14,0
Salvatierra,47,0,1,46,0
San Diego de la Union,23,0,2,21,0
San Felipe,52,4,3,45,0
San Francisco del Rincon,6,0,0,6,0
San Jose Iturbide,1,0,0,1,0
San Luis de la Paz,11,0,0,11,0
Santa Catarina,0,0,0,0,0
Santa Cruz de Juventino Rosas,13,0,1,12,0
Santiago Maravatio,8,0,1,7,0
Silao,19,2,0,17,0
Tarandacuao,3,0,0,3,0
Tarimoro,11,0,0,11,0
Tierra Blanca,1,1,0,0,0
Uriangato,5,0,0,5,0
Valle de Santiago,57,1,1,55,0
Victoria,8,1,0,7,0
Villagran,6,0,0,6,0
Xichu,12,0,1,11,0
Yuriria,47,0,0,47,0
Guerrero,531,46,17,467,1
Acapulco de Juarez,10,2,0,8,0
Ahuacuotzingo,16,0,0,16,0
Ajuchitlan del Progreso,18,0,0,18,0
Alcozauca de Guerrero,10,0,0,10,0
Alpoyeca,2,0,0,2,0
Apaxtla,2,0,0,2,0
Arcelia,16,0,0,16,0
Atenango del Rio,11,0,0,11,0
Atlamajalcingo del Monte,2,0,0,2,0
Atlixtac,3,0,2,1,0
Atoyac de alvarez,12,4,0,8,0
Ayutla de los Libres,4,0,0,4,0
Azoyu,4,1,0,3,0
Benito Juarez,5,4,0,1,0
Buenavista de Cuellar,2,0,0,2,0
Coahuayutla de Jose Maria Izazaga,25,0,0,25,0
Cocula,13,0,0,13,0
Copala,1,0,0,1,0
Copalillo,2,0,0,2,0
Copanatoyac,0,0,0,0,0
Coyuca de Benitez,10,5,0,5,0
Coyuca de Catalan,25,0,0,25,0
Cuajinicuilapa,5,0,0,5,0
Cualac,0,0,0,0,0
Cuautepec,4,1,0,3,0
Cuetzala del Progreso,8,0,0,8,0
Cutzamala de Pinzon,28,0,0,28,0
Chilapa de alvarez,13,2,2,8,1
Chilpancingo de los Bravo,5,2,0,3,0
Florencio Villarreal,1,0,0,1,0
General Canuto A. Neri,5,0,1,4,0
General Heliodoro Castillo,1,0,0,1,0
Huamuxtitlan,8,0,0,8,0
Huitzuco de los Figueroa,8,0,0,8,0
Iguala de la Independencia,10,0,0,10,0
Igualapa,3,1,0,2,0
Ixcateopan de Cuauhtemoc,2,0,1,1,0
Jose Azueta,7,1,0,6,0
Juan R. Escudero,5,1,0,4,0
Leonardo Bravo,7,0,0,7,0
Malinaltepec,1,1,0,0,0
Martir de Cuilapan,7,1,0,6,0
Metlatonoc,0,0,0,0,0
Mochitlan,9,0,0,9,0
Olinala ,1,0,0,1,0
Ometepec,15,1,0,14,0
Petatlan,6,0,0,6,0
Pilcaya,2,0,0,2,0
Pungarabato,5,0,0,5,0
Quechultenango,8,1,0,7,0
San Luis Acatlan,7,7,0,0,0
San Marcos,7,1,0,6,0
San Miguel Totolapan,0,0,0,0,0
Taxco de Alarcon,12,0,3,9,0
Tecoanapa,20,5,2,13,0
Tecpan de Galeana,7,1,1,5,0
Teloloapan,9,1,0,8,0
Tepecoacuilco de Trujano,16,1,1,14,0
Tetipac,4,0,0,4,0
Tixtla de Guerrero,6,2,1,3,0
Tlacoachistlahuaca,3,0,1,2,0
Tlacoapa,0,0,0,0,0
Tlalchapa,10,0,0,10,0
Tlalixtaquilla de Maldonado,4,0,0,4,0
Tlapa de Comonfort,5,0,0,5,0
Tlapehuala,3,0,0,3,0
La Union de Isidoro Montes de Oca,6,0,0,6,0
Xalpatlahuac,5,0,0,5,0
Xochihuehuetlan,7,0,0,7,0
Xochistlahuaca,2,0,1,1,0
Zapotitlan Tablas,0,0,0,0,0
Zirandaro,24,0,1,23,0
Zitlala,4,0,0,4,0
Eduardo Neri,1,0,0,1,0
Acatepec,0,0,0,0,0
Marquelia,1,0,0,1,0
Cochoapa el Grande,0,0,0,0,0
Jose Joaquin de Herrera,0,0,0,0,0
Juchitan,1,0,0,1,0
Iliatenco,0,0,0,0,0
Hidalgo,697,227,58,410,2
Acatlan,17,0,0,17,0
Acaxochitlan,9,1,0,8,0
Actopan,8,3,0,5,0
Agua Blanca de Iturbide,8,3,0,5,0
Ajacuba,1,0,0,1,0
Alfajayucan,23,2,0,21,0
Almoloya,5,0,0,5,0
Apan,6,3,0,3,0
El Arenal,3,0,0,3,0
Atitalaquia,0,0,0,0,0
Atlapexco,7,6,0,1,0
Atotonilco el Grande,11,0,0,11,0
Atotonilco de Tula,0,0,0,0,0
Calnali,3,3,0,0,0
Cardonal,16,0,0,16,0
Cuautepec de Hinojosa,17,2,3,12,0
Chapantongo,12,5,0,7,0
Chapulhuacan,15,1,3,11,0
Chilcuautla,4,2,0,2,0
Eloxochitlan,3,0,0,3,0
