INEGI. IX Censo Ejidal 2007,,,,,
Ejidos y comunidades sin permanencia de la mayoria de los jovenes,,,,,cuadro 17
segun lugar de destino por entidad federativa y municipio,,,,,
,,,,,
,,,,,
,,,,,
entidad_federativa_y_municipio,ejidos_y_comunidades_sin_permanencia_de_la_mayoria_de_los_jovenes,lugar_de_destino_dentro_del_pais_areas_urbanas,lugar_de_destino_dentro_del_pais_areas rurales,lugar_de_destino_fuera_del_pais_a_estados_unidos,lugar_de_destino_fuera_del_pais_a_otro_pais
Juchitepec,0,0,0,0,0
Lerma,1,1,0,0,0
Malinalco,5,0,0,5,0
Melchor Ocampo,1,1,0,0,0
Metepec,0,0,0,0,0
Mexicaltzingo,0,0,0,0,0
Morelos,6,2,0,4,0
Naucalpan de Juarez,0,0,0,0,0
Nextlalpan,0,0,0,0,0
Nicolas Romero,2,2,0,0,0
Nopaltepec,0,0,0,0,0
Ocoyoacac,1,1,0,0,0
Ocuilan,1,0,0,1,0
El Oro,2,2,0,0,0
Otumba,6,4,0,2,0
Otzoloapan,2,0,0,2,0
Otzolotepec,0,0,0,0,0
Ozumba,1,0,0,1,0
Papalotla,0,0,0,0,0
La Paz,0,0,0,0,0
Polotitlan,1,0,0,1,0
Rayon,0,0,0,0,0
San Antonio la Isla,0,0,0,0,0
San Felipe del Progreso,22,19,0,3,0
San Martin de las Piramides,0,0,0,0,0
San Mateo Atenco,0,0,0,0,0
San Simon de Guerrero,2,0,0,2,0
Santo Tomas,3,0,0,3,0
Soyaniquilpan de Juarez,3,0,0,3,0
Sultepec,5,0,0,5,0
Tecamac,1,0,0,1,0
Tejupilco,13,0,0,13,0
Temamatla,0,0,0,0,0
Temascalapa,0,0,0,0,0
Temascalcingo,8,2,0,6,0
Temascaltepec,6,0,0,6,0
Temoaya,1,1,0,0,0
Tenancingo,5,1,0,4,0
Tenango del Aire,0,0,0,0,0
Tenango del Valle,2,0,0,2,0
Teoloyucan,4,4,0,0,0
Teotihuacan,0,0,0,0,0
Tepetlaoxtoc,0,0,0,0,0
Tepetlixpa,0,0,0,0,0
Tepotzotlan,0,0,0,0,0
Tequixquiac,0,0,0,0,0
Texcaltitlan,5,1,0,4,0
Texcalyacac,0,0,0,0,0
Texcoco,0,0,0,0,0
Tezoyuca,0,0,0,0,0
Tianguistenco,0,0,0,0,0
Timilpan,4,0,0,4,0
Tlalmanalco,1,0,0,1,0
Tlalnepantla de Baz,0,0,0,0,0
Tlatlaya,13,0,1,12,0
Toluca,0,0,0,0,0
Tonatico,2,0,0,2,0
Tultepec,0,0,0,0,0
Tultitlan,0,0,0,0,0
Valle de Bravo,1,1,0,0,0
Villa de Allende,3,1,0,2,0
Villa del Carbon,3,1,0,2,0
Villa Guerrero,3,0,0,3,0
Villa Victoria,8,4,1,3,0
Xonacatlan,0,0,0,0,0
Zacazonapan,1,0,0,1,0
Zacualpan,11,0,0,11,0
Zinacantepec,1,0,0,1,0
Zumpahuacan,1,0,0,1,0
Zumpango,1,0,1,0,0
Cuautitlan Izcalli,1,1,0,0,0
Valle de Chalco Solidaridad,0,0,0,0,0
Luvianos,3,0,0,3,0
San Jose del Rincon,24,20,0,4,0
Michoacan de Ocampo,1179,38,59,1081,1
Acuitzio,3,0,0,3,0
Aguililla,10,0,0,10,0
alvaro Obregon,19,0,0,19,0
Angamacutiro,21,0,1,20,0
Angangueo,6,1,0,5,0
Apatzingan,14,2,0,12,0
Aporo,2,0,0,2,0
Aquila,3,0,0,3,0
Ario,20,1,0,18,1
Arteaga,11,0,2,9,0
Briseñas,4,0,0,4,0
Buenavista,18,0,1,17,0
Caracuaro,10,0,0,10,0
Coahuayana,9,2,0,7,0
Coalcoman de Vazquez Pallares,7,0,0,7,0
Coeneo,22,0,0,22,0
Contepec,21,4,1,16,0
Copandaro,5,0,1,4,0
Cotija,12,0,1,11,0
Cuitzeo,6,0,0,6,0
Charapan,3,0,2,1,0
Charo,7,0,0,7,0
Chavinda,11,0,1,10,0
Cheran,2,0,0,2,0
Chilchota,6,0,1,5,0
Chinicuila,2,0,0,2,0
Chucandiro,12,0,0,12,0
Churintzio,12,1,1,10,0
Churumuco,18,1,0,17,0
Ecuandureo,11,0,0,11,0
Epitacio Huerta,12,0,1,11,0
Erongaricuaro,9,0,0,9,0
Gabriel Zamora,1,1,0,0,0
Hidalgo,16,0,0,16,0
La Huacana,53,4,0,49,0
Huandacareo,5,0,0,5,0
Huaniqueo,16,0,0,16,0
Huetamo,40,0,0,40,0
Huiramba,2,0,0,2,0
Indaparapeo,11,0,1,10,0
Irimbo,5,0,0,5,0
Ixtlan,9,0,0,9,0
Jacona,0,0,0,0,0
Jimenez,16,0,0,16,0
Jiquilpan,8,1,0,7,0
Juarez,5,1,0,4,0
Jungapeo,13,1,0,12,0
Lagunillas,2,0,0,2,0
Madero,6,0,1,5,0
Maravatio,30,0,0,30,0
Marcos Castellanos,6,0,0,6,0
Lazaro Cardenas,5,0,0,5,0
Morelia,46,3,7,36,0
Morelos,7,0,0,7,0
Mugica,4,1,0,3,0
Nahuatzen,7,0,0,7,0
Nocupetaro,9,0,0,9,0
Nuevo Parangaricutiro,0,0,0,0,0
Nuevo Urecho,4,0,0,4,0
Numaran,2,0,0,2,0
Ocampo,8,6,0,2,0
Pajacuaran,8,0,0,8,0
Panindicuaro,13,0,1,12,0
Paracuaro,12,0,0,12,0
Paracho,3,0,0,3,0
Patzcuaro,15,0,1,14,0
Penjamillo,12,0,0,12,0
Periban,0,0,0,0,0
La Piedad,22,0,3,19,0
Purepero,3,0,0,3,0
Puruandiro,31,0,2,29,0
Querendaro,8,0,0,8,0
Quiroga,3,0,0,3,0
Cojumatlan de Regules,8,1,0,7,0
Los Reyes,7,0,3,4,0
Sahuayo,4,0,0,4,0
San Lucas,18,0,0,18,0
Santa Ana Maya,4,1,0,3,0
Salvador Escalante,20,0,11,9,0
Senguio,9,0,1,8,0
Susupuato,6,0,0,6,0
Tacambaro,11,0,0,11,0
Tancitaro,4,0,0,4,0
Tangamandapio,8,0,0,8,0
Tangancicuaro,15,0,1,14,0
Tanhuato,8,1,2,5,0
Taretan,1,0,0,1,0
Tarimbaro,25,1,0,24,0
Tepalcatepec,20,0,0,20,0
Tingambato,1,0,0,1,0
Tingüindin,5,0,1,4,0
Tiquicheo de Nicolas Romero,16,0,0,16,0
Tlalpujahua,5,1,2,2,0
Tlazazalca,7,0,0,7,0
Tocumbo,5,1,0,4,0
Tumbiscatio,4,0,0,4,0
Turicato,14,0,0,14,0
Tuxpan,12,1,0,11,0
Tuzantla,24,0,1,23,0
Tzintzuntzan,4,0,0,4,0
Tzitzio,2,0,0,2,0
Uruapan,7,0,0,7,0
Venustiano Carranza,8,0,1,7,0
Villamar,16,0,2,14,0
Vista Hermosa,3,0,1,2,0
Yurecuaro,4,0,0,4,0
Zacapu,9,0,2,7,0
Zamora,9,0,0,9,0
Zinaparo,5,0,0,5,0
Zinapecuaro,26,0,0,26,0
Ziracuaretiro,2,0,1,1,0
Zitacuaro,18,1,1,16,0
Jose Sixto Verduzco,11,0,0,11,0
Morelos,66,4,1,61,0
Amacuzac,3,0,0,3,0
Atlatlahucan,0,0,0,0,0
Axochiapan,3,0,0,3,0
Ayala,3,0,0,3,0
Coatlan del Rio,3,0,0,3,0
Cuautla,1,0,0,1,0
Cuernavaca,2,0,0,2,0
Emiliano Zapata,0,0,0,0,0
Huitzilac,0,0,0,0,0
Jantetelco,3,2,0,1,0
Jiutepec,0,0,0,0,0
Jojutla,5,0,0,5,0
Jonacatepec,2,0,0,2,0
Mazatepec,0,0,0,0,0
Miacatlan,3,0,0,3,0
Ocuituco,4,1,0,3,0
Puente de Ixtla,2,0,0,2,0
Temixco,2,0,0,2,0
Tepalcingo,5,0,0,5,0
Tepoztlan,0,0,0,0,0
Tetecala,2,0,0,2,0
Tetela del Volcan,3,0,0,3,0
Tlalnepantla,0,0,0,0,0
Tlaltizapan,4,0,0,4,0
Tlaquiltenango,8,1,0,7,0
Tlayacapan,1,0,0,1,0
Totolapan,0,0,0,0,0
Xochitepec,0,0,0,0,0
Yautepec,2,0,1,1,0
Yecapixtla,2,0,0,2,0
Zacatepec de Hidalgo,2,0,0,2,0
Zacualpan de Amilpas,0,0,0,0,0
Temoac,1,0,0,1,0
Nayarit,158,15,5,138,0
Acaponeta,15,6,0,9,0
Ahuacatlan,5,0,0,5,0
Amatlan de Cañas,16,1,0,15,0
Compostela,9,1,0,8,0
Huajicori,2,0,0,2,0
Ixtlan del Rio,6,0,0,6,0
Jala,4,0,0,4,0
Xalisco,5,1,0,4,0
Del Nayar,1,0,0,1,0
Rosamorada,14,0,0,14,0
Ruiz,2,0,0,2,0
San Blas,17,2,0,15,0
San Pedro Lagunillas,8,0,0,8,0
Santa Maria del Oro,7,1,1,5,0
Santiago Ixcuintla,27,2,3,22,0
Tecuala,9,0,0,9,0
Tepic,5,0,1,4,0
Tuxpan,3,0,0,3,0
La Yesca,3,1,0,2,0
Bahia de Banderas,0,0,0,0,0
Nuevo Leon,193,103,7,83,0
Abasolo,0,0,0,0,0
Agualeguas,5,0,0,5,0
Los Aldamas,3,0,0,3,0
Allende,1,1,0,0,0
Anahuac,6,5,0,1,0
Apodaca,0,0,0,0,0
Aramberri,27,26,1,0,0
Bustamante,0,0,0,0,0
Cadereyta Jimenez,8,6,1,1,0
Carmen,0,0,0,0,0
Cerralvo,1,0,0,1,0
Cienega de Flores,0,0,0,0,0
China,2,0,0,2,0
Dr. Arroyo,52,16,0,36,0
Dr. Gonzalez,0,0,0,0,0
Galeana,16,15,0,1,0
Garcia,2,2,0,0,0
Gral. Bravo,0,0,0,0,0
Gral. Escobedo,0,0,0,0,0
Gral. Teran,6,1,0,5,0
Gral. Zaragoza,6,6,0,0,0
Gral. Zuazua,0,0,0,0,0
Guadalupe,0,0,0,0,0
Hualahuises,0,0,0,0,0
Iturbide,2,2,0,0,0
Juarez,0,0,0,0,0
Lampazos de Naranjo,7,2,0,5,0
Linares,14,6,1,7,0
Marin,0,0,0,0,0
Mier y Noriega,6,1,1,4,0
Mina,1,1,0,0,0
Montemorelos,5,1,0,4,0
Monterrey,0,0,0,0,0
Paras,0,0,0,0,0
Pesqueria,0,0,0,0,0
Los Ramones,1,0,0,1,0
Rayones,1,1,0,0,0
Sabinas Hidalgo,8,5,1,2,0
Salinas Victoria,0,0,0,0,0
Hidalgo,0,0,0,0,0
Santa Catarina,0,0,0,0,0
Santiago,6,5,1,0,0
Vallecillo,6,1,1,4,0
Villaldama,1,0,0,1,0
Oaxaca,637,196,17,423,1
Abejones,0,0,0,0,0
Acatlan de Perez Figueroa,15,4,0,11,0
Asuncion Cacalotepec,0,0,0,0,0
Asuncion Cuyotepeji,1,0,0,1,0
Asuncion Ixtaltepec,1,0,0,1,0
Asuncion Nochixtlan,6,3,0,3,0
Asuncion Tlacolulita,0,0,0,0,0
Ayotzintepec,3,3,0,0,0
El Barrio de la Soledad,1,0,0,1,0
Calihuala,4,0,0,4,0
Candelaria Loxicha,0,0,0,0,0
Cienega de Zimatlan,1,0,0,1,0
Ciudad Ixtepec,0,0,0,0,0
Coatecas Altas,0,0,0,0,0
Coicoyan de las Flores,1,0,0,1,0
La Compañia,2,0,0,2,0
Concepcion Buenavista,0,0,0,0,0
Concepcion Papalo,1,1,0,0,0
Constancia del Rosario,1,0,0,1,0
Cosolapa,2,1,0,1,0
Cosoltepec,3,3,0,0,0
Cuilapam de Guerrero,0,0,0,0,0
Cuyamecalco Villa de Zaragoza,0,0,0,0,0
Chahuites,1,0,0,1,0
Chalcatongo de Hidalgo,2,0,0,2,0
Chiquihuitlan de Benito Juarez,1,1,0,0,0
Heroica Ciudad de Ejutla de Crespo,6,0,0,6,0
Tamazulapam del Espiritu Santo,1,0,0,1,0
Fresnillo de Trujano,2,0,0,2,0
Guadalupe Etla,0,0,0,0,0
Guadalupe de Ramirez,1,0,0,1,0
Guelatao de Juarez,0,0,0,0,0
Guevea de Humboldt,1,0,0,1,0
Mesones Hidalgo,1,0,0,1,0
Villa Hidalgo,0,0,0,0,0
Heroica Ciudad de Huajuapan de Leon,6,1,1,4,0
Huautepec,0,0,0,0,0
Ixtlan de Juarez,3,2,0,1,0
Heroica Ciudad de Juchitan de Zaragoza,0,0,0,0,0
Loma Bonita,27,8,0,18,1
Magdalena Apasco,2,1,0,1,0
Magdalena Jaltepec,1,0,0,1,0
Santa Magdalena Jicotlan,1,1,0,0,0
Magdalena Mixtepec,0,0,0,0,0
Magdalena Ocotlan,0,0,0,0,0
Magdalena Peñasco,0,0,0,0,0
Magdalena Teitipac,1,0,0,1,0
Magdalena Tequisistlan,1,1,0,0,0
Magdalena Tlacotepec,1,1,0,0,0
Magdalena Zahuatlan,1,0,0,1,0
Mariscala de Juarez,3,0,0,3,0
Martires de Tacubaya,2,0,0,2,0
Matias Romero Avendaño,15,2,0,13,0
Miahuatlan de Porfirio Diaz,4,1,0,3,0
Mixistlan de la Reforma,2,1,0,1,0
Monjas,1,0,0,1,0
Nazareno Etla,0,0,0,0,0
Nejapa de Madero,3,0,0,3,0
Ixpantepec Nieves,3,0,0,3,0
Santiago Niltepec,3,2,1,0,0
Oaxaca de Juarez,1,1,0,0,0
Ocotlan de Morelos,2,1,0,1,0
"La ""Pe""",1,0,0,1,0
Pinotepa de Don Luis,0,0,0,0,0
San Jose del Progreso,0,0,0,0,0
Putla Villa de Guerrero,6,0,0,6,0
Santa Catarina Quioquitani,0,0,0,0,0
Reforma de Pineda,1,0,0,1,0
La Reforma,1,0,0,1,0
Reyes Etla,0,0,0,0,0
Rojas de Cuauhtemoc,1,0,0,1,0
Salina Cruz,0,0,0,0,0
San Agustin Amatengo,2,0,0,2,0
San Agustin Atenango,1,0,0,1,0
San Agustin Chayuco,3,0,0,3,0
San Agustin de las Juntas,0,0,0,0,0
San Agustin Etla,0,0,0,0,0
San Agustin Loxicha,0,0,0,0,0
San Agustin Tlacotepec,1,1,0,0,0
San Agustin Yatareni,0,0,0,0,0
San Andres Cabecera Nueva,0,0,0,0,0
San Andres Dinicuiti,1,1,0,0,0
San Andres Huaxpaltepec,0,0,0,0,0
San Andres Huayapam,0,0,0,0,0
San Andres Ixtlahuaca,2,0,0,2,0
San Andres Lagunas,0,0,0,0,0
San Andres Nuxiño,1,0,0,1,0
San Andres Sinaxtla,2,1,1,0,0
San Andres Solaga,1,0,0,1,0
San Andres Teotilalpam,1,1,0,0,0
San Andres Yaa,1,0,0,1,0
San Andres Zabache,1,0,0,1,0
San Andres Zautla,0,0,0,0,0
San Antonino Castillo Velasco,0,0,0,0,0
San Antonino el Alto,1,0,0,1,0
San Antonino Monte Verde,1,0,0,1,0
San Antonio Acutla,0,0,0,0,0
San Antonio de la Cal,0,0,0,0,0
San Antonio Huitepec,0,0,0,0,0
San Antonio Nanahuatipam,1,0,0,1,0
San Antonio Sinicahua,0,0,0,0,0
San Antonio Tepetlapa,1,0,0,1,0
San Baltazar Chichicapam,2,0,0,2,0
San Baltazar Loxicha,2,1,0,1,0
San Baltazar Yatzachi el Bajo,3,0,0,3,0
San Bartolo Coyotepec,0,0,0,0,0
San Bartolome Ayautla,0,0,0,0,0
San Bartolome Loxicha,0,0,0,0,0
San Bartolome Quialana,1,0,0,1,0
San Bartolome Yucuañe,0,0,0,0,0
San Bartolome Zoogocho,1,0,0,1,0
San Bartolo Soyaltepec,0,0,0,0,0
San Bartolo Yautepec,0,0,0,0,0
San Bernardo Mixtepec,2,0,0,2,0
San Blas Atempa,0,0,0,0,0
San Carlos Yautepec,3,1,0,2,0
San Cristobal Amatlan,1,0,0,1,0
San Cristobal Amoltepec,1,1,0,0,0
San Cristobal Suchixtlahuaca,1,1,0,0,0
San Dionisio del Mar,0,0,0,0,0
San Dionisio Ocotepec,3,0,0,3,0
San Dionisio Ocotlan,0,0,0,0,0
San Esteban Atatlahuca,1,1,0,0,0
San Felipe Jalapa de Diaz,8,8,0,0,0
San Felipe Tejalapam,2,0,0,2,0
San Felipe Usila,0,0,0,0,0
San Francisco Cahuacua,1,0,0,1,0
San Francisco Cajonos,2,0,0,2,0
San Francisco Chapulapa,0,0,0,0,0
San Francisco Chindua,1,1,0,0,0
San Francisco del Mar,0,0,0,0,0
San Francisco Huehuetlan,1,1,0,0,0
San Francisco Ixhuatan,2,2,0,0,0
San Francisco Jaltepetongo,1,0,0,1,0
San Francisco Lachigolo,0,0,0,0,0
San Francisco Nuxaño,0,0,0,0,0
San Francisco Ozolotepec,0,0,0,0,0
San Francisco Sola,0,0,0,0,0
San Francisco Telixtlahuaca,0,0,0,0,0
San Francisco Teopan,1,1,0,0,0
San Francisco Tlapancingo,1,0,0,1,0
San Gabriel Mixtepec,0,0,0,0,0
San Ildefonso Amatlan,0,0,0,0,0
San Ildefonso Sola,0,0,0,0,0
San Ildefonso Villa Alta,1,0,0,1,0
San Jacinto Amilpas,0,0,0,0,0
San Jacinto Tlacotepec,1,0,0,1,0
San Jeronimo Coatlan,1,1,0,0,0
San Jeronimo Silacayoapilla,0,0,0,0,0
San Jeronimo Sosola,3,1,0,2,0
San Jeronimo Taviche,0,0,0,0,0
San Jeronimo Tecoatl,1,1,0,0,0
San Jorge Nuchita,3,0,0,3,0
San Jose Ayuquila,1,0,0,1,0
San Jose Chiltepec,3,1,0,2,0
San Jose del Peñasco,1,0,0,1,0
San Jose Estancia Grande,0,0,0,0,0
San Jose Tenango,0,0,0,0,0
San Juan Achiutla,1,1,0,0,0
San Juan Atepec,1,1,0,0,0
Animas Trujano,1,0,0,1,0
San Juan Bautista Atatlahuca,1,0,1,0,0
San Juan Bautista Coixtlahuaca,2,2,0,0,0
San Juan Bautista Cuicatlan,3,3,0,0,0
San Juan Bautista Guelache,1,0,0,1,0
San Juan Bautista Jayacatlan,1,1,0,0,0
San Juan Bautista lo de Soto,0,0,0,0,0
San Juan Bautista Suchitepec,2,0,0,2,0
San Juan Bautista Tlacoatzintepec,0,0,0,0,0
San Juan Bautista Tlachichilco,1,0,0,1,0
San Juan Bautista Tuxtepec,24,14,0,10,0
San Juan Cacahuatepec,1,0,0,1,0
San Juan Cieneguilla,1,0,0,1,0
San Juan Coatzospam,0,0,0,0,0
San Juan Colorado,1,0,0,1,0
San Juan Comaltepec,0,0,0,0,0
San Juan Cotzocon,9,2,2,5,0
San Juan Chicomezuchil,0,0,0,0,0
San Juan Chilateca,0,0,0,0,0
San Juan del Estado,0,0,0,0,0
San Juan del Rio,0,0,0,0,0
San Juan Diuxi,1,1,0,0,0
San Juan Evangelista Analco,0,0,0,0,0
San Juan Guelavia,1,0,0,1,0
San Juan Guichicovi,11,4,0,7,0
San Juan Ihualtepec,0,0,0,0,0
San Juan Juquila Mixes,1,0,0,1,0
San Juan Juquila Vijanos,0,0,0,0,0
San Juan Lachao,0,0,0,0,0
San Juan Lachigalla,1,0,0,1,0
San Juan Lajarcia,1,0,0,1,0
San Juan Lalana,2,2,0,0,0
San Juan de los Cues,1,1,0,0,0
San Juan Mazatlan,6,3,0,3,0
San Juan Mixtepec -Dto. 08-,1,0,0,1,0
San Juan Mixtepec -Dto. 26-,0,0,0,0,0
San Juan Ñumi,2,1,0,1,0
San Juan Ozolotepec,1,0,1,0,0
San Juan Petlapa,0,0,0,0,0
San Juan Quiahije,0,0,0,0,0
San Juan Quiotepec,2,0,0,2,0
San Juan Sayultepec,1,0,0,1,0
San Juan Tabaa,0,0,0,0,0
San Juan Tamazola,1,1,0,0,0
San Juan Teita,1,0,0,1,0
San Juan Teitipac,1,0,0,1,0
San Juan Tepeuxila,1,0,0,1,0
San Juan Teposcolula,1,0,0,1,0
San Juan Yaee,0,0,0,0,0
San Juan Yatzona,0,0,0,0,0
San Juan Yucuita,0,0,0,0,0
San Lorenzo,2,0,0,2,0
San Lorenzo Albarradas,0,0,0,0,0
San Lorenzo Cacaotepec,1,0,0,1,0
San Lorenzo Texmelucan,0,0,0,0,0
San Lorenzo Victoria,1,0,0,1,0
San Lucas Camotlan,0,0,0,0,0
San Lucas Ojitlan,4,4,0,0,0
San Lucas Quiavini,0,0,0,0,0
San Luis Amatlan,1,0,0,1,0
San Marcos Arteaga,3,0,0,3,0
San Martin de los Cansecos,1,0,0,1,0
San Martin Huamelulpam,1,0,0,1,0
San Martin Itunyoso,0,0,0,0,0
San Martin Lachila,1,0,0,1,0
San Martin Peras,0,0,0,0,0
San Martin Tilcajete,0,0,0,0,0
San Martin Toxpalan,0,0,0,0,0
San Mateo Cajonos,1,0,0,1,0
Capulalpam de Mendez,0,0,0,0,0
San Mateo del Mar,0,0,0,0,0
San Mateo Etlatongo,1,0,0,1,0
San Mateo Nejapam,1,0,0,1,0
San Mateo Peñasco,1,1,0,0,0
San Mateo Rio Hondo,0,0,0,0,0
San Mateo Sindihui,0,0,0,0,0
San Mateo Tlapiltepec,1,1,0,0,0
San Melchor Betaza,0,0,0,0,0
San Miguel Achiutla,1,1,0,0,0
San Miguel Aloapam,0,0,0,0,0
San Miguel Amatitlan,6,4,0,2,0
San Miguel Coatlan,0,0,0,0,0
San Miguel Chicahua,0,0,0,0,0
San Miguel Chimalapa,1,0,0,1,0
San Miguel del Puerto,0,0,0,0,0
San Miguel Ejutla,0,0,0,0,0
San Miguel el Grande,0,0,0,0,0
San Miguel Huautla,0,0,0,0,0
San Miguel Mixtepec,0,0,0,0,0
San Miguel Panixtlahuaca,0,0,0,0,0
San Miguel Peras,0,0,0,0,0
San Miguel Piedras,0,0,0,0,0
San Miguel Quetzaltepec,0,0,0,0,0
San Miguel Santa Flor,0,0,0,0,0
Villa Sola de Vega,1,0,0,1,0
San Miguel Soyaltepec,17,12,0,5,0
San Miguel Suchixtepec,0,0,0,0,0
Villa Talea de Castro,0,0,0,0,0
San Miguel Tecomatlan,0,0,0,0,0
San Miguel Tenango,0,0,0,0,0
San Miguel Tequixtepec,1,1,0,0,0
San Miguel Tilquiapam,1,0,1,0,0
San Miguel Tlacamama,2,0,1,1,0
San Miguel Tlacotepec,1,0,0,1,0
San Miguel Tulancingo,1,1,0,0,0
San Miguel Yotao,0,0,0,0,0
San Nicolas Hidalgo,2,0,0,2,0
San Pablo Coatlan,2,1,0,1,0
San Pablo Cuatro Venados,0,0,0,0,0
San Pablo Etla,0,0,0,0,0
San Pablo Huitzo,0,0,0,0,0
San Pablo Huixtepec,1,0,0,1,0
San Pablo Macuiltianguis,1,0,0,1,0
San Pablo Tijaltepec,0,0,0,0,0
San Pablo Villa de Mitla,2,0,0,2,0
San Pablo Yaganiza,1,0,0,1,0
San Pedro Amuzgos,0,0,0,0,0
San Pedro Apostol,1,0,0,1,0
San Pedro Atoyac,0,0,0,0,0
San Pedro Cajonos,0,0,0,0,0
San Pedro Coxcaltepec Cantaros,1,1,0,0,0
San Pedro Comitancillo,0,0,0,0,0
San Pedro el Alto,0,0,0,0,0
San Pedro Huamelula,1,1,0,0,0
San Pedro Huilotepec,0,0,0,0,0
San Pedro Ixcatlan,2,2,0,0,0
San Pedro Ixtlahuaca,1,0,0,1,0
San Pedro Jaltepetongo,0,0,0,0,0
San Pedro Jicayan,0,0,0,0,0
San Pedro Jocotipac,0,0,0,0,0
San Pedro Juchatengo,1,0,0,1,0
San Pedro Martir,1,0,0,1,0
San Pedro Martir Quiechapa,0,0,0,0,0
San Pedro Martir Yucuxaco,1,0,0,1,0
San Pedro Mixtepec -Dto. 22-,0,0,0,0,0
San Pedro Mixtepec -Dto. 26-,0,0,0,0,0
San Pedro Molinos,1,0,0,1,0
San Pedro Nopala,1,0,0,1,0
San Pedro Ocopetatillo,1,1,0,0,0
San Pedro Ocotepec,1,1,0,0,0
San Pedro Pochutla,1,0,0,1,0
San Pedro Quiatoni,0,0,0,0,0
San Pedro Sochiapam,0,0,0,0,0
San Pedro Tapanatepec,3,2,1,0,0
San Pedro Taviche,0,0,0,0,0
San Pedro Teozacoalco,0,0,0,0,0
San Pedro Teutila,0,0,0,0,0
San Pedro Tidaa,1,1,0,0,0
San Pedro Topiltepec,1,1,0,0,0
San Pedro Totolapa,2,1,0,1,0
Villa de Tututepec de Melchor Ocampo,2,0,1,1,0
San Pedro Yaneri,1,0,0,1,0
San Pedro Yolox,1,0,0,1,0
San Pedro y San Pablo Ayutla,1,1,0,0,0
Villa de Etla,0,0,0,0,0
San Pedro y San Pablo Teposcolula,3,0,0,3,0
San Pedro y San Pablo Tequixtepec,6,1,0,5,0
San Pedro Yucunama,1,1,0,0,0
San Raymundo Jalpan,0,0,0,0,0
San Sebastian Abasolo,0,0,0,0,0
San Sebastian Coatlan,0,0,0,0,0
San Sebastian Ixcapa,1,0,0,1,0
San Sebastian Nicananduta,0,0,0,0,0
San Sebastian Rio Hondo,2,0,0,2,0
San Sebastian Tecomaxtlahuaca,2,0,0,2,0
San Sebastian Teitipac,1,0,0,1,0
San Sebastian Tutla,0,0,0,0,0
San Simon Almolongas,1,0,0,1,0
San Simon Zahuatlan,1,1,0,0,0
Santa Ana,0,0,0,0,0
Santa Ana Cuauhtemoc,1,1,0,0,0
Santa Ana del Valle,1,0,0,1,0
Santa Ana Tavela,0,0,0,0,0
Santa Ana Tlapacoyan,1,0,0,1,0
Santa Ana Yareni,1,0,1,0,0
Santa Ana Zegache,2,0,0,2,0
Santa Catalina Quieri,0,0,0,0,0
Santa Catarina Cuixtla,1,0,0,1,0
Santa Catarina Ixtepeji,0,0,0,0,0
Santa Catarina Juquila,2,0,0,2,0
Santa Catarina Lachatao,0,0,0,0,0
Santa Catarina Loxicha,1,0,0,1,0
Santa Catarina Mechoacan,1,0,0,1,0
Santa Catarina Minas,0,0,0,0,0
Santa Catarina Quiane,0,0,0,0,0
Santa Catarina Tayata,0,0,0,0,0
Santa Catarina Ticua,1,0,0,1,0
Santa Catarina Yosonotu,0,0,0,0,0
Santa Catarina Zapoquila,3,3,0,0,0
Santa Cruz Amilpas,0,0,0,0,0
Santa Cruz Itundujia,1,0,0,1,0
Santa Cruz Mixtepec,3,0,0,3,0
Santa Cruz Nundaco,0,0,0,0,0
Santa Cruz Papalutla,0,0,0,0,0
Santa Cruz Tacache de Mina,2,0,0,2,0
Santa Cruz Tacahua,1,1,0,0,0
Santa Cruz Tayata,0,0,0,0,0
Santa Cruz Xitla,0,0,0,0,0
Santa Cruz Xoxocotlan,1,0,0,1,0
Santa Cruz Zenzontepec,0,0,0,0,0
Santa Gertrudis,3,0,0,3,0
Santa Ines del Monte,1,0,1,0,0
Santa Lucia del Camino,0,0,0,0,0
Santa Lucia Miahuatlan,0,0,0,0,0
Santa Lucia Monteverde,1,0,0,1,0
Santa Lucia Ocotlan,0,0,0,0,0
Santa Maria Alotepec,1,0,0,1,0
Santa Maria Apazco,0,0,0,0,0
Heroica Ciudad de Tlaxiaco,2,0,0,2,0
Ayoquezco de Aldama,1,0,0,1,0
Santa Maria Atzompa,0,0,0,0,0
Santa Maria Camotlan,1,0,0,1,0
Santa Maria Colotepec,0,0,0,0,0
Santa Maria Cortijo,0,0,0,0,0
Santa Maria Coyotepec,0,0,0,0,0
Santa Maria Chachoapam,1,0,0,1,0
Villa de Chilapa de Diaz,3,2,0,1,0
Santa Maria Chilchotla,1,1,0,0,0
Santa Maria Chimalapa,1,0,0,1,0
Santa Maria del Rosario,0,0,0,0,0
Santa Maria del Tule,1,0,0,1,0
Santa Maria Ecatepec,0,0,0,0,0
Santa Maria Guelace,0,0,0,0,0
Santa Maria Guienagati,0,0,0,0,0
Santa Maria Huatulco,0,0,0,0,0
Santa Maria Huazolotitlan,2,0,0,2,0
Santa Maria Ipalapa,0,0,0,0,0
Santa Maria Ixcatlan,0,0,0,0,0
Santa Maria Jacatepec,12,4,1,7,0
Santa Maria Jalapa del Marques,0,0,0,0,0
Santa Maria Jaltianguis,0,0,0,0,0
