INEGI. IX Censo Ejidal 2007,,,,,,,,
Ejidos y comunidades con posesionarios segun sexo y disposicion de parcela individual,,,,,,,,cuadro 14
por entidad federativa y municipio,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
entidad_federativa_y_municipio,ejidos_y_comunidades_con_posesionarios,posesionarios_total,posesionarios_total_hombres,posesionarios_total_mujeres,con_parcela_individual_total,con_parcela_individual_hombres,con_parcela_individual_mujeres,propiedades_sociales_sin_posesionarios
Progreso de Obregon,0,0,0,0,0,0,0,1
Mineral de la Reforma,3,11,10,1,11,10,1,4
San Agustin Tlaxiaca,6,350,260,90,350,260,90,4
San Bartolo Tutotepec,2,29,21,8,29,21,8,5
San Salvador,12,775,693,82,760,683,77,6
Santiago de Anaya,7,775,492,283,775,492,283,6
Santiago Tulantepec de Lugo Guerrero,5,385,206,179,383,204,179,1
Singuilucan,10,438,393,45,438,393,45,5
Tasquillo,4,157,115,42,139,100,39,13
Tecozautla,12,324,264,60,283,264,19,20
Tenango de Doria,0,0,0,0,0,0,0,5
Tepeapulco,8,336,285,51,311,261,50,1
Tepehuacan de Guerrero,8,526,399,127,35,35,0,23
Tepeji del Rio de Ocampo,14,3019,2783,236,2994,2763,231,2
Tepetitlan,7,310,248,62,270,218,52,5
Tetepango,2,400,340,60,400,340,60,0
Villa de Tezontepec,1,13,13,0,13,13,0,0
Tezontepec de Aldama,5,737,653,84,737,653,84,0
Tianguistengo,10,1057,916,141,799,658,141,14
Tizayuca,3,47,42,5,39,35,4,0
Tlahuelilpan,1,78,59,19,78,59,19,0
Tlahuiltepa,3,27,15,12,6,6,0,12
Tlanalapa,3,107,88,19,107,88,19,0
Tlanchinol,19,1544,1371,173,1294,1131,163,15
Tlaxcoapan,1,10,8,2,0,0,0,3
Tolcayuca,3,79,71,8,79,71,8,0
Tula de Allende,23,1714,1474,240,1654,1434,220,2
Tulancingo de Bravo,11,942,679,263,942,679,263,3
Xochiatipan,16,953,927,26,481,470,11,9
Xochicoatlan,5,222,205,17,31,30,1,10
Yahualica,15,2469,2188,281,363,305,58,5
Zacualtipan de angeles,15,472,331,141,213,154,59,4
Zapotlan de Juarez,1,20,19,1,15,14,1,2
Zempoala,16,300,248,52,282,232,50,8
Zimapan,26,1909,1354,555,1299,971,328,20
Jalisco,991,39804,33065,6739,32396,26986,5410,438
Acatic,1,39,33,6,18,15,3,1
Acatlan de Juarez,7,395,327,68,395,327,68,0
Ahualulco de Mercado,7,816,631,185,816,631,185,1
Amacueca,0,0,0,0,0,0,0,1
Amatitan,5,333,284,49,333,284,49,0
Ameca,33,1828,1343,485,758,637,121,11
San Juanito de Escobedo,5,557,492,65,557,492,65,0
Arandas,1,300,296,4,300,296,4,0
El Arenal,3,300,248,52,300,248,52,0
Atemajac de Brizuela,7,194,154,40,184,144,40,2
Atengo,6,77,76,1,36,36,0,6
Atenguillo,3,19,15,4,19,15,4,2
Atotonilco el Alto,13,174,147,27,166,139,27,6
Atoyac,8,90,78,12,90,78,12,3
Autlan de Navarro,19,331,293,38,258,230,28,8
Ayotlan,15,488,401,87,482,401,81,0
Ayutla,9,107,103,4,97,93,4,18
La Barca,24,1172,1011,161,1157,996,161,4
Bolaños,0,0,0,0,0,0,0,1
Cabo Corrientes,10,197,162,35,44,35,9,10
Casimiro Castillo,14,468,351,117,401,300,101,2
Cihuatlan,14,418,371,47,412,365,47,1
Zapotlan el Grande,4,172,147,25,171,146,25,1
Cocula,17,1752,1602,150,1677,1537,140,2
Colotlan,2,14,12,2,14,12,2,5
Concepcion de Buenos Aires,7,234,150,84,224,140,84,4
Cuautitlan de Garcia Barragan,8,2369,2137,232,193,178,15,4
Cuautla,0,0,0,0,0,0,0,4
Cuquio,11,521,491,30,513,484,29,2
Chapala,5,309,223,86,299,213,86,1
Chimaltitan,2,210,150,60,210,150,60,0
Chiquilistlan,5,88,84,4,83,79,4,1
Degollado,18,368,316,52,368,316,52,5
Ejutla,1,4,4,0,2,2,0,2
Encarnacion de Diaz,6,290,216,74,270,197,73,6
Etzatlan,7,170,143,27,161,134,27,3
El Grullo,6,210,177,33,210,177,33,2
Guachinango,4,33,30,3,30,27,3,9
Guadalajara,0,0,0,0,0,0,0,1
Hostotipaquillo,12,214,187,27,167,142,25,5
Huejucar,2,8,8,0,8,8,0,3
Huejuquilla el Alto,3,563,497,66,25,19,6,0
La Huerta,21,641,541,100,640,540,100,11
Ixtlahuacan de los Membrillos,8,602,534,68,602,534,68,2
Ixtlahuacan del Rio,10,601,542,59,485,441,44,2
Jalostotitlan,1,28,28,0,23,23,0,0
Jamay,3,215,208,7,215,208,7,1
Jesus Maria,2,85,79,6,85,79,6,0
Jilotlan de los Dolores,17,303,246,57,213,175,38,9
Jocotepec,10,313,303,10,271,261,10,5
Juanacatlan,6,610,482,128,610,482,128,0
Juchitlan,4,46,41,5,36,31,5,3
Lagos de Moreno,23,212,202,10,195,186,9,21
El Limon,4,190,157,33,190,157,33,2
Magdalena,10,404,349,55,397,349,48,0
Santa Maria del Oro,4,45,41,4,41,39,2,0
La Manzanilla de la Paz,4,179,142,37,179,142,37,5
Mascota,10,269,181,88,59,53,6,6
Mazamitla,12,164,126,38,149,114,35,7
Mexticacan,0,0,0,0,0,0,0,3
Mezquitic,2,154,111,43,64,61,3,6
Mixtlan,4,27,24,3,5,5,0,1
Ocotlan,12,421,363,58,414,357,57,4
Ojuelos de Jalisco,12,686,550,136,611,476,135,8
Pihuamo,10,246,215,31,190,169,21,8
Poncitlan,15,483,390,93,429,342,87,2
Puerto Vallarta,10,605,510,95,575,481,94,5
Villa Purificacion,11,514,410,104,408,325,83,2
Quitupan,19,1159,979,180,1140,979,161,6
El Salto,2,47,16,31,47,16,31,2
San Cristobal de la Barranca,0,0,0,0,0,0,0,2
San Diego de Alejandria,0,0,0,0,0,0,0,1
San Juan de los Lagos,6,66,61,5,45,40,5,1
San Marcos,4,25,11,14,25,11,14,0
San Martin Hidalgo,12,277,233,44,275,232,43,6
San Miguel el Alto,0,0,0,0,0,0,0,1
Gomez Farias,4,105,47,58,92,44,48,1
San Sebastian del Oeste,7,251,219,32,225,193,32,11
Santa Maria de los angeles,2,18,16,2,18,16,2,8
Sayula,4,182,119,63,172,111,61,1
Tala,12,2181,1729,452,2178,1727,451,1
Talpa de Allende,13,189,155,34,66,50,16,4
Tamazula de Gordiano,26,786,601,185,757,574,183,9
Tapalpa,7,216,183,33,186,163,23,1
Tecalitlan,9,57,42,15,31,26,5,8
Tecolotlan,13,294,252,42,264,227,37,7
Techaluta de Montenegro,1,10,10,0,10,10,0,1
Tenamaxtlan,10,202,161,41,197,156,41,2
Teocaltiche,7,584,549,35,584,549,35,4
Teocuitatlan de Corona,19,432,362,70,383,339,44,8
Tepatitlan de Morelos,1,1,1,0,1,1,0,1
Tequila,10,66,48,18,66,48,18,5
Teuchitlan,5,208,152,56,188,134,54,1
Tizapan el Alto,7,325,298,27,325,298,27,7
Tlajomulco de Zuñiga,24,1113,922,191,1025,852,173,1
Tlaquepaque,6,402,332,70,353,283,70,1
Toliman,6,119,112,7,53,49,4,6
Tomatlan,32,1660,1336,324,551,434,117,8
Tonala,8,406,287,119,376,272,104,0
Tonaya,0,0,0,0,0,0,0,2
Tonila,5,160,150,10,157,147,10,3
Tototlan,12,169,150,19,169,150,19,10
Tuxcacuesco,4,87,73,14,86,73,13,4
Tuxcueca,2,95,92,3,95,92,3,3
Tuxpan,10,195,169,26,180,158,22,4
Union de San Antonio,12,79,77,2,31,30,1,5
Union de Tula,6,62,54,8,60,53,7,8
Valle de Guadalupe,0,0,0,0,0,0,0,1
Valle de Juarez,7,197,144,53,184,131,53,2
San Gabriel,17,490,416,74,486,414,72,5
Villa Corona,5,676,553,123,676,553,123,0
Villa Guerrero,1,30,15,15,30,15,15,0
Villa Hidalgo,2,16,12,4,16,12,4,2
Cañadas de Obregon,1,12,11,1,12,11,1,0
Yahualica de Gonzalez Gallo,0,0,0,0,0,0,0,3
Zacoalco de Torres,13,328,284,44,328,284,44,3
Zapopan,23,727,572,155,664,509,155,9
Zapotiltic,17,447,253,194,422,243,179,1
Zapotitlan de Vadillo,2,89,66,23,0,0,0,2
Zapotlan del Rey,18,258,218,40,247,208,39,4
Zapotlanejo,9,431,358,73,386,316,70,2
Mexico,951,239470,184493,54977,206756,160847,45909,282
Acambay,19,4510,2955,1555,2952,2320,632,13
Acolman,13,445,363,82,265,216,49,0
Aculco,22,2595,2058,537,2532,2009,523,4
Almoloya de Alquisiras,11,1842,1464,378,1842,1464,378,1
Almoloya de Juarez,35,10102,7071,3031,9680,6751,2929,1
Almoloya del Rio,3,898,898,0,898,898,0,1
Amanalco,15,1920,1352,568,1786,1268,518,4
Amatepec,14,1092,791,301,1080,781,299,3
Amecameca,6,420,370,50,8,8,0,5
Apaxco,1,900,838,62,900,838,62,1
Atenco,4,1219,876,343,1219,876,343,1
Atizapan,1,228,154,74,228,154,74,0
Atizapan de Zaragoza,0,0,0,0,0,0,0,1
Atlacomulco,22,7015,5366,1649,5046,4119,927,7
Atlautla,2,391,307,84,391,307,84,1
Axapusco,13,1165,1035,130,1165,1035,130,3
Ayapango,5,87,85,2,87,85,2,0
Calimaya,9,2458,2104,354,2429,2075,354,0
Capulhuac,2,563,398,165,563,398,165,2
Coacalco de Berriozabal,1,38,25,13,38,25,13,1
Coatepec Harinas,8,1377,1071,306,1377,1071,306,3
Cocotitlan,1,33,28,5,32,27,5,1
Coyotepec,1,800,620,180,800,620,180,0
Cuautitlan,1,49,23,26,49,23,26,1
Chalco,9,1387,1132,255,1239,984,255,5
Chapa de Mota,13,2583,2038,545,2266,1751,515,2
Chapultepec,1,200,160,40,200,160,40,0
Chiautla,3,23,22,1,23,22,1,2
Chicoloapan,1,16,9,7,16,9,7,0
Chiconcuac,1,331,331,0,331,331,0,0
Chimalhuacan,1,600,420,180,600,420,180,0
Donato Guerra,9,885,729,156,775,624,151,8
Ecatepec de Morelos,1,22,15,7,22,15,7,7
Ecatzingo,2,274,208,66,274,208,66,0
Huehuetoca,3,1041,779,262,1041,779,262,0
Hueypoxtla,7,919,885,34,788,761,27,4
Huixquilucan,1,630,557,73,630,557,73,6
Isidro Fabela,4,1066,730,336,1062,729,333,0
Ixtapaluca,6,1183,943,240,1007,831,176,3
Ixtapan de la Sal,2,60,45,15,60,45,15,0
Ixtapan del Oro,6,531,356,175,480,310,170,2
Ixtlahuaca,31,14504,10508,3996,14270,10431,3839,5
Jaltenco,0,0,0,0,0,0,0,1
Jilotepec,29,6140,5041,1099,3410,2927,483,4
Jilotzingo,3,524,464,60,190,160,30,4
Jiquipilco,13,5820,4565,1255,5419,4277,1142,2
Jocotitlan,9,1764,1444,320,1339,1067,272,6
Joquicingo,2,506,306,200,506,306,200,1
Juchitepec,1,45,28,17,45,28,17,1
Lerma,12,2690,1933,757,1844,1379,465,8
Malinalco,10,1130,938,192,828,676,152,3
Melchor Ocampo,2,9,7,2,9,7,2,1
Metepec,4,1371,1112,259,1228,1022,206,1
Mexicaltzingo,1,213,213,0,213,213,0,0
Morelos,13,6676,6081,595,6609,6029,580,1
Naucalpan de Juarez,2,225,184,41,225,184,41,6
Nextlalpan,1,11,10,1,2,1,1,2
Nicolas Romero,7,1682,1280,402,1330,942,388,2
Nopaltepec,3,113,108,5,113,108,5,1
Ocoyoacac,7,3480,2334,1146,2547,1874,673,1
Ocuilan,5,10352,10262,90,8352,8262,90,0
El Oro,11,4132,3329,803,4051,3266,785,1
Otumba,9,448,433,15,448,433,15,3
Otzoloapan,2,35,35,0,35,35,0,0
Otzolotepec,10,2832,2119,713,2827,2114,713,0
Ozumba,3,90,85,5,6,4,2,2
Papalotla,1,38,29,9,38,29,9,0
La Paz,1,61,55,6,61,55,6,0
Polotitlan,7,407,323,84,359,315,44,3
Rayon,4,942,730,212,942,730,212,0
San Antonio la Isla,2,195,165,30,195,165,30,0
San Felipe del Progreso,44,11058,8575,2483,10796,8315,2481,3
San Martin de las Piramides,8,357,316,41,337,307,30,0
San Mateo Atenco,1,230,230,0,0,0,0,0
San Simon de Guerrero,1,30,25,5,0,0,0,1
Santo Tomas,4,67,61,6,52,46,6,2
Soyaniquilpan de Juarez,5,1065,891,174,1065,891,174,2
Sultepec,6,700,558,142,580,448,132,3
Tecamac,5,127,105,22,126,105,21,5
Tejupilco,8,1483,895,588,1483,895,588,6
Temamatla,1,35,0,35,0,0,0,1
Temascalapa,2,14,12,2,6,5,1,9
Temascalcingo,19,7962,5729,2233,6501,4704,1797,8
Temascaltepec,27,2735,2328,407,2003,1721,282,9
Temoaya,8,5461,4083,1378,5404,4083,1321,1
Tenancingo,18,2255,1568,687,1893,1403,490,4
Tenango del Aire,3,33,27,6,33,27,6,1
Tenango del Valle,7,2439,2314,125,2439,2314,125,6
Teoloyucan,3,244,219,25,244,219,25,4
Teotihuacan,4,209,168,41,179,158,21,4
Tepetlaoxtoc,2,248,222,26,248,222,26,8
Tepetlixpa,3,171,145,26,160,137,23,1
Tepotzotlan,4,1353,1353,0,353,353,0,1
Tequixquiac,3,777,722,55,777,722,55,0
Texcaltitlan,8,1514,1154,360,1514,1154,360,0
Texcalyacac,1,40,24,16,40,24,16,0
Texcoco,27,1822,1342,480,1134,868,266,4
Tezoyuca,1,364,214,150,364,214,150,1
Tianguistenco,1,516,516,0,516,516,0,2
Timilpan,6,1279,982,297,1209,970,239,1
Tlalmanalco,3,231,185,46,99,67,32,3
Tlalnepantla de Baz,3,83,48,35,37,29,8,2
Tlatlaya,19,2590,1920,670,2567,1918,649,4
Toluca,20,19507,11804,7703,12954,8581,4373,2
Tonatico,4,219,187,32,219,187,32,1
Tultepec,2,29,26,3,14,11,3,0
Tultitlan,2,81,54,27,81,54,27,2
Valle de Bravo,18,1921,1429,492,1904,1421,483,2
Villa de Allende,32,6626,4793,1833,6558,4750,1808,0
Villa del Carbon,10,9405,6401,3004,9405,6401,3004,1
Villa Guerrero,6,706,694,12,676,666,10,6
Villa Victoria,25,9105,7070,2035,8845,6924,1921,3
Xonacatlan,2,1448,1168,280,1448,1168,280,1
Zacazonapan,2,34,30,4,7,7,0,0
Zacualpan,10,1569,991,578,876,577,299,2
Zinacantepec,16,7869,6387,1482,6299,4829,1470,2
Zumpahuacan,1,25,19,6,25,19,6,1
Zumpango,4,553,488,65,367,323,44,5
Cuautitlan Izcalli,4,243,161,82,116,92,24,5
Valle de Chalco Solidaridad,2,31,27,4,31,27,4,0
Luvianos,3,1685,934,751,1685,934,751,0
San Jose del Rincon,49,12589,11167,1422,9465,8098,1367,1
Michoacan de Ocampo,1261,90557,70257,20300,66996,52775,14221,649
Acuitzio,0,0,0,0,0,0,0,8
Aguililla,3,50,43,7,49,42,7,13
alvaro Obregon,11,278,238,40,247,210,37,12
Angamacutiro,22,678,601,77,666,591,75,2
Angangueo,4,395,230,165,177,66,111,2
Apatzingan,26,970,540,430,919,499,420,25
Aporo,3,29,13,16,3,1,2,0
Aquila,5,2018,1776,242,68,46,22,2
Ario,36,1634,1330,304,1453,1195,258,4
Arteaga,13,590,546,44,375,339,36,7
Briseñas,4,234,186,48,234,186,48,0
Buenavista,30,1401,1157,244,1392,1149,243,17
Caracuaro,9,106,95,11,103,92,11,3
Coahuayana,12,264,170,94,189,128,61,0
Coalcoman de Vazquez Pallares,7,59,50,9,48,41,7,3
Coeneo,15,719,558,161,718,557,161,20
Contepec,25,1448,1340,108,1448,1340,108,5
Copandaro,2,16,12,4,16,12,4,3
Cotija,16,112,89,23,91,80,11,3
Cuitzeo,7,134,101,33,134,101,33,2
Charapan,3,735,668,67,735,668,67,1
Charo,12,643,569,74,311,280,31,5
Chavinda,7,100,87,13,82,71,11,5
Cheran,1,600,550,50,600,550,50,1
Chilchota,10,3799,2766,1033,2076,1899,177,3
Chinicuila,6,62,47,15,39,34,5,2
Chucandiro,4,15,13,2,15,13,2,10
Churintzio,11,392,353,39,267,241,26,5
Churumuco,21,314,286,28,59,50,9,4
Ecuandureo,13,396,301,95,396,301,95,4
Epitacio Huerta,14,662,590,72,662,590,72,1
Erongaricuaro,1,20,20,0,20,20,0,11
Gabriel Zamora,7,442,340,102,442,340,102,0
Hidalgo,21,470,396,74,264,230,34,10
La Huacana,39,394,288,106,367,272,95,29
Huandacareo,3,117,72,45,117,72,45,2
Huaniqueo,5,91,54,37,85,48,37,15
Huetamo,19,557,376,181,539,359,180,35
Huiramba,5,110,102,8,110,102,8,0
Indaparapeo,6,69,66,3,69,66,3,6
Irimbo,5,215,161,54,199,147,52,1
Ixtlan,7,109,98,11,109,98,11,6
Jacona,3,44,36,8,35,29,6,1
Jimenez,16,395,315,80,360,283,77,4
Jiquilpan,4,177,100,77,117,80,37,6
Juarez,9,314,226,88,208,160,48,0
Jungapeo,11,340,316,24,287,268,19,6
Lagunillas,0,0,0,0,0,0,0,5
Madero,11,2410,1272,1138,2409,1271,1138,4
Maravatio,33,1684,1345,339,1626,1318,308,1
Marcos Castellanos,7,89,66,23,89,66,23,1
Lazaro Cardenas,16,959,700,259,464,371,93,6
Morelia,45,1785,1678,107,1642,1556,86,38
Morelos,2,6,6,0,6,6,0,6
Mugica,5,637,414,223,607,391,216,0
Nahuatzen,4,4357,4273,84,4357,4273,84,4
Nocupetaro,8,509,423,86,509,423,86,5
Nuevo Parangaricutiro,4,6324,6315,9,24,24,0,0
Nuevo Urecho,11,731,654,77,729,653,76,1
Numaran,6,276,242,34,276,242,34,2
Ocampo,6,1110,871,239,590,511,79,3
Pajacuaran,7,554,462,92,534,445,89,3
Panindicuaro,12,283,210,73,62,55,7,6
Paracuaro,13,235,230,5,223,220,3,8
Paracho,4,1675,1465,210,1565,1355,210,4
Patzcuaro,20,443,381,62,363,307,56,12
Penjamillo,21,1135,967,168,1135,967,168,1
Periban,7,149,134,15,132,117,15,1
La Piedad,17,366,330,36,349,313,36,9
Purepero,1,4,4,0,4,4,0,2
Puruandiro,36,2566,2256,310,2062,1831,231,4
Querendaro,8,830,668,162,830,668,162,2
Quiroga,1,210,200,10,140,140,0,3
Cojumatlan de Regules,8,466,366,100,346,286,60,2
Los Reyes,12,751,471,280,746,471,275,6
Sahuayo,5,188,166,22,188,166,22,0
San Lucas,14,87,79,8,87,79,8,12
Santa Ana Maya,5,84,70,14,84,70,14,3
Salvador Escalante,12,1188,738,450,191,191,0,25
Senguio,14,1064,765,299,996,732,264,1
Susupuato,13,747,670,77,747,670,77,0
Tacambaro,14,1159,939,220,1150,931,219,6
Tancitaro,5,84,76,8,59,58,1,7
Tangamandapio,3,56,42,14,56,42,14,7
Tangancicuaro,9,378,304,74,278,234,44,12
Tanhuato,12,610,554,56,383,327,56,0
Taretan,10,202,164,38,177,148,29,4
Tarimbaro,26,642,534,108,509,418,91,3
Tepalcatepec,18,967,774,193,966,774,192,16
Tingambato,4,1093,718,375,455,399,56,0
Tingüindin,2,197,126,71,178,115,63,5
Tiquicheo de Nicolas Romero,12,112,85,27,112,85,27,6
Tlalpujahua,10,1144,880,264,1108,860,248,1
Tlazazalca,7,308,282,26,308,282,26,3
Tocumbo,6,308,214,94,296,206,90,3
Tumbiscatio,6,64,46,18,48,34,14,6
Turicato,11,201,172,29,195,166,29,10
Tuxpan,10,207,169,38,207,169,38,6
Tuzantla,24,446,354,92,442,351,91,4
Tzintzuntzan,2,2700,1400,1300,0,0,0,6
Tzitzio,3,62,52,10,62,52,10,1
Uruapan,21,2801,2691,110,2662,2557,105,10
Venustiano Carranza,6,533,447,86,533,447,86,2
Villamar,9,208,156,52,190,151,39,11
Vista Hermosa,6,1494,1140,354,353,242,111,0
Yurecuaro,9,289,272,17,289,272,17,4
Zacapu,13,401,241,160,386,228,158,11
Zamora,23,883,704,179,621,501,120,3
Zinaparo,4,34,31,3,3,2,1,3
Zinapecuaro,25,1120,832,288,1111,823,288,6
Ziracuaretiro,9,224,175,49,224,175,49,1
Zitacuaro,26,13738,7527,6211,11373,6604,4769,5
Jose Sixto Verduzco,15,1273,994,279,1250,984,266,3
Morelos,179,14047,11543,2504,13197,11113,2084,55
Amacuzac,4,174,150,24,174,150,24,0
Atlatlahucan,2,29,24,5,29,24,5,0
Axochiapan,6,390,339,51,390,339,51,1
Ayala,16,483,370,113,483,370,113,0
Coatlan del Rio,5,149,111,38,149,111,38,0
Cuautla,7,1032,912,120,1032,912,120,2
Cuernavaca,6,234,176,58,234,176,58,5
Emiliano Zapata,5,193,176,17,13,11,2,1
Huitzilac,1,150,100,50,150,100,50,1
Jantetelco,4,181,139,42,181,139,42,3
Jiutepec,6,580,308,272,380,258,122,1
Jojutla,5,336,279,57,336,279,57,4
Jonacatepec,4,85,71,14,85,71,14,0
Mazatepec,3,153,113,40,153,113,40,0
Miacatlan,4,1000,860,140,1000,860,140,2
Ocuituco,5,121,106,15,121,106,15,4
Puente de Ixtla,7,2001,1398,603,1688,1289,399,2
Temixco,6,166,136,30,136,126,10,2
Tepalcingo,8,829,747,82,829,747,82,2
Tepoztlan,2,2350,2145,205,2350,2145,205,0
Tetecala,3,83,77,6,83,77,6,0
Tetela del Volcan,6,310,268,42,310,268,42,1
Tlalnepantla,2,125,113,12,125,113,12,1
Tlaltizapan,10,448,402,46,405,375,30,7
Tlaquiltenango,12,248,220,28,238,212,26,7
Tlayacapan,6,302,219,83,283,200,83,1
Totolapan,4,145,115,30,115,95,20,2
Xochitepec,4,100,80,20,75,58,17,2
Yautepec,9,574,482,92,574,482,92,1
Yecapixtla,9,260,221,39,260,221,39,2
Zacatepec de Hidalgo,3,65,43,22,65,43,22,0
Zacualpan de Amilpas,2,435,377,58,435,377,58,0
Temoac,3,316,266,50,316,266,50,1
Nayarit,319,17911,15108,2803,15771,13186,2585,85
Acaponeta,21,1295,1033,262,1232,974,258,3
Ahuacatlan,7,208,194,14,208,194,14,1
Amatlan de Cañas,10,162,100,62,162,100,62,7
Compostela,28,1086,976,110,1074,965,109,3
Huajicori,7,92,92,0,8,8,0,3
Ixtlan del Rio,3,44,41,3,44,41,3,7
Jala,5,299,70,229,219,20,199,5
Xalisco,15,808,726,82,793,714,79,1
Del Nayar,8,1660,1503,157,69,62,7,16
Rosamorada,26,532,457,75,502,427,75,6
Ruiz,6,675,625,50,595,560,35,1
San Blas,28,1021,942,79,1021,942,79,5
San Pedro Lagunillas,9,532,390,142,502,360,142,0
Santa Maria del Oro,14,653,544,109,650,541,109,3
Santiago Ixcuintla,48,2116,1715,401,2108,1710,398,10
Tecuala,21,1436,1131,305,1414,1113,301,4
Tepic,45,2230,1883,347,2169,1829,340,6
Tuxpan,6,936,656,280,936,656,280,0
La Yesca,2,61,60,1,0,0,0,2
Bahia de Banderas,10,2065,1970,95,2065,1970,95,2
Nuevo Leon,197,4721,3917,804,1762,1563,199,410
Abasolo,0,0,0,0,0,0,0,1
Agualeguas,2,32,28,4,22,18,4,4
Los Aldamas,2,140,140,0,0,0,0,1
Allende,0,0,0,0,0,0,0,1
Anahuac,9,73,62,11,72,61,11,4
Apodaca,0,0,0,0,0,0,0,1
Aramberri,31,454,407,47,282,247,35,12
Bustamante,1,3,3,0,1,1,0,1
Cadereyta Jimenez,12,92,79,13,58,48,10,20
Carmen,0,0,0,0,0,0,0,1
Cerralvo,0,0,0,0,0,0,0,1
Cienega de Flores,0,0,0,0,0,0,0,2
China,2,26,21,5,25,20,5,2
Dr. Arroyo,45,961,857,104,349,307,42,61
Dr. Gonzalez,2,37,37,0,0,0,0,1
Galeana,23,315,299,16,222,214,8,87
Garcia,4,113,107,6,9,6,3,7
Gral. Bravo,1,2,2,0,0,0,0,0
Gral. Escobedo,0,0,0,0,0,0,0,2
Gral. Teran,0,0,0,0,0,0,0,16
Gral. Zaragoza,3,8,6,2,4,2,2,12
Gral. Zuazua,1,22,11,11,0,0,0,0
Guadalupe,0,0,0,0,0,0,0,1
Hualahuises,1,1,0,1,1,0,1,4
Iturbide,3,4,3,1,0,0,0,9
Juarez,0,0,0,0,0,0,0,4
Lampazos de Naranjo,0,0,0,0,0,0,0,7
Linares,25,519,440,79,452,388,64,43
Marin,1,12,12,0,12,12,0,0
Mier y Noriega,5,191,181,10,156,147,9,9
Mina,6,68,40,28,4,4,0,17
Montemorelos,1,5,5,0,0,0,0,25
Monterrey,0,0,0,0,0,0,0,1
Paras,0,0,0,0,0,0,0,3
Pesqueria,0,0,0,0,0,0,0,8
Los Ramones,1,6,6,0,6,6,0,3
Rayones,4,34,32,2,25,24,1,4
Sabinas Hidalgo,1,8,7,1,8,7,1,8
Salinas Victoria,2,10,10,0,0,0,0,5
Hidalgo,1,1500,1050,450,0,0,0,0
Santa Catarina,2,20,20,0,20,20,0,3
Santiago,3,39,26,13,11,8,3,6
Vallecillo,2,4,4,0,1,1,0,9
Villaldama,1,22,22,0,22,22,0,4
Oaxaca,769,223604,160820,62784,173899,128264,45635,863
Abejones,1,200,200,0,200,200,0,0
Acatlan de Perez Figueroa,21,866,724,142,379,292,87,17
Asuncion Cacalotepec,0,0,0,0,0,0,0,1
Asuncion Cuyotepeji,1,280,174,106,280,174,106,0
Asuncion Ixtaltepec,9,989,827,162,884,791,93,2
Asuncion Nochixtlan,1,350,270,80,200,150,50,10
Asuncion Tlacolulita,0,0,0,0,0,0,0,2
Ayotzintepec,1,97,87,10,97,87,10,5
El Barrio de la Soledad,2,970,752,218,70,40,30,0
Calihuala,2,100,85,15,100,85,15,2
Candelaria Loxicha,1,485,465,20,485,465,20,0
Cienega de Zimatlan,0,0,0,0,0,0,0,1
Ciudad Ixtepec,1,350,300,50,175,155,20,0
Coatecas Altas,1,70,0,70,70,0,70,1
Coicoyan de las Flores,0,0,0,0,0,0,0,2
La Compañia,0,0,0,0,0,0,0,3
Concepcion Buenavista,1,40,25,15,40,25,15,3
Concepcion Papalo,0,0,0,0,0,0,0,2
Constancia del Rosario,1,5,3,2,5,3,2,1
Cosolapa,6,106,60,46,90,58,32,2
Cosoltepec,1,34,24,10,34,24,10,2
Cuilapam de Guerrero,3,154,133,21,90,71,19,1
Cuyamecalco Villa de Zaragoza,1,110,95,15,110,95,15,1
Chahuites,0,0,0,0,0,0,0,1
Chalcatongo de Hidalgo,2,4130,2412,1718,1130,912,218,0
Chiquihuitlan de Benito Juarez,1,50,48,2,50,48,2,0
Heroica Ciudad de Ejutla de Crespo,7,455,317,138,455,317,138,6
Tamazulapam del Espiritu Santo,1,2200,1400,800,2200,1400,800,0
Fresnillo de Trujano,1,67,49,18,67,49,18,1
Guadalupe Etla,1,40,30,10,40,30,10,0
Guadalupe de Ramirez,1,36,27,9,36,27,9,1
Guelatao de Juarez,1,21,15,6,21,15,6,0
Guevea de Humboldt,0,0,0,0,0,0,0,1
Mesones Hidalgo,3,385,305,80,385,305,80,0
Villa Hidalgo,0,0,0,0,0,0,0,1
Heroica Ciudad de Huajuapan de Leon,3,29,28,1,29,28,1,5
Huautepec,0,0,0,0,0,0,0,1
Ixtlan de Juarez,7,1452,1347,105,1452,1347,105,3
Heroica Ciudad de Juchitan de Zaragoza,4,532,461,71,532,461,71,1
Loma Bonita,11,68,57,11,55,48,7,26
Magdalena Apasco,3,91,70,21,91,70,21,1
Magdalena Jaltepec,0,0,0,0,0,0,0,2
Santa Magdalena Jicotlan,1,4,2,2,4,2,2,0
Magdalena Mixtepec,0,0,0,0,0,0,0,2
Magdalena Ocotlan,1,50,50,0,50,50,0,0
Magdalena Peñasco,1,50,30,20,50,30,20,0
Magdalena Teitipac,1,50,30,20,50,30,20,0
Magdalena Tequisistlan,2,25,19,6,25,19,6,1
Magdalena Tlacotepec,1,300,280,20,300,280,20,0
Magdalena Zahuatlan,0,0,0,0,0,0,0,1
Mariscala de Juarez,2,85,80,5,85,80,5,1
Martires de Tacubaya,2,75,70,5,45,45,0,0
