INEGI. IX Censo Ejidal 2007,,,,,,,,
Ejidos y comunidades con posesionarios segun sexo y disposicion de parcela individual,,,,,,,,cuadro 14
por entidad federativa y municipio,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
entidad_federativa_y_municipio,ejidos_y_comunidades_con_posesionarios,posesionarios_total,posesionarios_total_hombres,posesionarios_total_mujeres,con_parcela_individual_total,con_parcela_individual_hombres,con_parcela_individual_mujeres,propiedades_sociales_sin_posesionarios
Huixtan,9,404,392,12,234,222,12,10
Huitiupan,16,771,703,68,428,370,58,34
Huixtla,13,396,278,118,393,278,115,7
La Independencia,30,4163,3758,405,2570,2533,37,2
Ixhuatan,3,959,899,60,955,895,60,3
Ixtacomitan,3,123,123,0,123,123,0,9
Ixtapa,15,1291,1247,44,1256,1212,44,17
Ixtapangajoya,2,50,50,0,50,50,0,2
Jiquipilas,25,1087,823,264,436,343,93,39
Jitotol,16,1007,807,200,1007,807,200,6
Juarez,2,57,35,22,57,35,22,4
Larrainzar,3,9160,5620,3540,90,90,0,0
La Libertad,3,105,96,9,105,96,9,1
Mapastepec,27,611,457,154,590,439,151,29
Las Margaritas,81,6910,5488,1422,5364,4187,1177,64
Mazapa de Madero,3,378,300,78,332,255,77,1
Mazatan,7,387,298,89,387,298,89,11
Metapa,1,11,9,2,11,9,2,0
Mitontic,1,163,159,4,163,159,4,0
Motozintla,34,4870,3099,1771,1740,1476,264,9
Ocosingo,65,4297,4222,75,994,960,34,94
Ocotepec,1,226,208,18,0,0,0,0
Ocozocoautla de Espinosa,33,832,737,95,788,697,91,41
Ostuacan,12,187,175,12,131,123,8,17
Osumacinta,1,96,96,0,96,96,0,2
Oxchuc,1,385,211,174,385,211,174,2
Palenque,61,1147,1066,81,520,449,71,102
Pantelho,6,132,110,22,117,95,22,3
Pantepec,4,367,303,64,275,241,34,2
Pichucalco,2,217,188,29,144,121,23,7
Pijijiapan,31,322,261,61,281,228,53,39
El Porvenir,4,457,389,68,282,270,12,1
Villa Comaltitlan,13,830,598,232,830,598,232,6
Pueblo Nuevo Solistahuacan,16,1767,1585,182,1551,1373,178,5
Rayon,4,73,57,16,73,57,16,0
Reforma,5,289,130,159,289,130,159,2
Las Rosas,3,36,34,2,32,31,1,14
Sabanilla,8,238,232,6,233,229,4,11
Salto de Agua,29,588,579,9,440,431,9,57
San Cristobal de las Casas,5,250,247,3,189,186,3,11
San Fernando,12,737,677,60,571,518,53,6
Siltepec,17,1817,1620,197,1817,1620,197,1
