INEGI. IX Censo Ejidal 2007,,,,,,,,,,
"Total de ejidos y comunidades segun compravente de tierras ejidales, tipo de participantes",,,,,,,,,,Cuadro 38
y superficie vendida por entidad federativa y municipio,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
entidad_federativa_y_municipio, ejidos_y_comunidades,con_compraventa_de_tierras_ejidales_total,con_compraventa_de_tierras_ejidales_entro_ejidatarios,con_compraventa_de_tierras_ejidales_con_avecindados_o_posesionarios,con_compraventa_de_tierras_ejidales_con_personas_ajenas_al_ejido,principales_compradores_ejidatarios,principales_compradores_avecindados_o_posesionarios,principales_compradores_personas_ajenas_al_ejido,superficie_vendida_en_los_ultimos_10 años_(ha),no_reportan_compraventa
Ometepec,26,26,24,15,13,19,2,5,1001,0
Petatlan,27,26,26,24,17,23,1,2,12271,1
Pilcaya,6,5,4,5,4,1,4,0,31.5,1
Pungarabato,10,10,8,6,9,1,3,6,349,0
Quechultenango,26,18,18,10,5,15,3,0,1402,8
San Luis Acatlan,23,14,14,5,0,14,0,0,323,9
San Marcos,33,32,32,28,13,26,4,2,7652.5,1
San Miguel Totolapan,8,2,2,0,1,2,0,0,15,6
Taxco de Alarcon,23,15,11,11,7,9,4,2,179.25,8
Tecoanapa,39,35,35,13,4,34,0,1,543,4
Tecpan de Galeana,25,22,22,21,13,19,1,2,10170,3
Teloloapan,27,14,14,2,1,13,1,0,242.5,13
Tepecoacuilco de Trujano,25,17,15,7,6,13,3,1,729,8
Tetipac,5,5,4,3,4,2,0,3,81,0
Tixtla de Guerrero,10,6,6,1,1,5,1,0,59,4
Tlacoachistlahuaca,15,10,10,2,0,10,0,0,365,5
Tlacoapa,C,C,0,0,0,0,0,0,0,C
Tlalchapa,16,13,11,8,6,10,1,2,322.3,3
Tlalixtaquilla de Maldonado,5,0,0,0,0,0,0,0,0,5
Tlapa de Comonfort,30,5,4,3,1,3,1,1,125.01,25
Tlapehuala,12,12,8,4,5,6,2,4,189,0
La Union de Isidoro Montes de Oca,31,26,21,22,18,12,7,7,3741,5
Xalpatlahuac,8,7,7,0,0,7,0,0,39,1
Xochihuehuetlan,7,0,0,0,0,0,0,0,0,7
Xochistlahuaca,7,0,0,0,0,0,0,0,0,7
Zapotitlan Tablas,C,C,0,0,0,0,0,0,0,C
Zirandaro,28,25,23,7,7,21,0,4,3043,3
Zitlala,11,7,7,0,1,7,0,0,338,4
Eduardo Neri,16,7,7,5,2,5,1,1,215,9
Acatepec,C,C,0,0,0,0,0,0,0,C
Marquelia,3,2,2,1,0,2,0,0,180,1
Cochoapa el Grande,C,C,1,1,0,1,0,0,20,C
Jose Joaquin de Herrera,C,C,1,0,0,1,0,0,50,C
Juchitan,C,C,1,0,1,1,0,0,150,C
Iliatenco,4,2,2,0,0,2,0,0,12,2
Hidalgo,1189,589,510,300,240,395,63,131,321159.27,600
Acatlan,17,15,15,15,11,8,4,3,273,2
Acaxochitlan,13,10,8,4,3,7,1,2,119.5,3
Actopan,11,3,3,1,1,2,0,1,120,8
Agua Blanca de Iturbide,10,4,3,2,1,2,1,1,113,6
Ajacuba,8,6,5,5,2,2,3,1,187.5,2
Alfajayucan,28,18,17,3,2,17,1,0,275,10
Almoloya,13,13,10,11,8,7,3,3,420,0
Apan,15,14,13,9,5,12,1,1,1577,1
El Arenal,8,5,4,5,4,2,2,1,59.4,3
Atitalaquia,5,3,2,2,0,2,1,0,89.5,2
Atlapexco,9,4,3,1,1,3,0,1,80,5
Atotonilco el Grande,24,9,9,5,3,8,1,0,337,15
Atotonilco de Tula,7,4,3,3,4,1,1,2,264,3
Calnali,C,C,2,1,0,2,0,0,5.75,C
Cardonal,20,1,1,1,0,1,0,0,0,19
Cuautepec de Hinojosa,24,19,18,14,10,14,3,2,556.5,5
Chapantongo,14,7,6,6,5,3,2,2,171.5,7
Chapulhuacan,22,15,15,6,3,14,1,0,82.5,7
Chilcuautla,6,1,1,1,0,1,0,0,8,5
Eloxochitlan,8,2,2,1,0,1,1,0,0.5,6
Emiliano Zapata,4,4,4,3,1,3,1,0,263,0
Epazoyucan,12,11,8,4,8,4,1,6,384,1
Francisco I. Madero,C,C,1,0,1,1,0,0,5,C
Huasca de Ocampo,27,21,16,12,14,11,2,8,302376,6
Huautla,42,17,16,8,0,16,1,0,149,25
Huazalingo,12,1,1,1,0,1,0,0,30,11
Huehuetla,6,4,4,2,3,3,0,1,89,2
Huejutla de Reyes,47,31,30,16,2,29,0,2,528,16
Huichapan,35,12,11,6,2,8,4,0,145.75,23
Ixmiquilpan,24,7,6,4,2,3,2,2,327,17
Jacala de Ledezma,13,4,4,1,2,4,0,0,5,9
Jaltocan,16,5,5,1,2,4,0,1,191,11
Juarez Hidalgo,4,3,3,0,0,3,0,0,27,1
Lolotla,10,3,3,0,0,3,0,0,18,7
Metepec,11,8,6,6,7,4,0,4,511.5,3
San Agustin Metzquititlan,7,5,5,4,3,2,3,0,125.18,2
Metztitlan,27,10,10,2,6,8,0,2,78.15,17
Mineral del Chico,6,3,3,3,2,2,0,1,51.1,3
Mineral del Monte,C,C,0,0,1,0,0,1,3,C
Mixquiahuala de Juarez,7,6,6,2,1,4,2,0,203.55,1
Molango de Escamilla,13,6,6,0,0,6,0,0,64,7
Nicolas Flores,4,0,0,0,0,0,0,0,0,4
Nopala de Villagran,9,7,7,7,1,6,1,0,216,2
Omitlan de Juarez,4,2,1,1,2,1,0,1,16,2
San Felipe Orizatlan,80,47,47,6,6,41,2,4,624.75,33
Pacula,C,C,0,0,0,0,0,0,0,C
Pachuca de Soto,7,5,3,4,4,1,1,3,498,2
Pisaflores,6,4,4,1,1,3,0,1,29.5,2
Progreso de Obregon,C,C,1,0,0,1,0,0,10,C
Mineral de la Reforma,7,5,3,2,4,1,0,4,477.14,2
San Agustin Tlaxiaca,10,7,6,5,5,2,1,4,514,3
San Bartolo Tutotepec,7,0,0,0,0,0,0,0,0,7
San Salvador,18,6,6,4,2,6,0,0,44,12
Santiago de Anaya,13,6,4,0,2,5,0,1,21,7
Santiago Tulantepec de Lugo Guerrero,6,5,3,3,3,2,1,2,86.5,1
Singuilucan,15,12,11,6,7,7,0,5,694,3
Tasquillo,17,2,2,0,0,2,0,0,17,15
Tecozautla,32,6,6,3,3,6,0,0,31,26
Tenango de Doria,5,3,2,0,1,2,0,1,80,2
Tepeapulco,9,9,8,8,7,6,0,3,378,0
Tepehuacan de Guerrero,31,9,9,0,0,9,0,0,55,22
Tepeji del Rio de Ocampo,16,10,7,9,6,2,2,6,200,6
Tepetitlan,12,4,2,1,1,2,1,1,28,8
Tetepango,C,C,1,2,2,1,0,1,395,C
Villa de Tezontepec,C,C,0,1,1,0,0,1,624.69,C
Tezontepec de Aldama,5,3,3,2,2,2,1,0,68,2
Tianguistengo,24,0,0,0,0,0,0,0,0,24
Tizayuca,3,3,2,3,3,0,0,3,730,0
Tlahuelilpan,C,C,0,0,1,0,0,1,150,C
Tlahuiltepa,15,0,0,0,0,0,0,0,0,15
Tlanalapa,3,3,1,1,3,1,0,2,325,0
Tlanchinol,34,18,18,5,2,17,0,1,446.2,16
Tlaxcoapan,4,4,3,3,2,3,1,0,65,0
Tolcayuca,3,2,2,2,2,0,1,1,38.36,1
Tula de Allende,25,17,10,15,13,5,1,11,731.5,8
Tulancingo de Bravo,14,10,4,5,6,4,2,4,422.5,4
Xochiatipan,25,8,8,1,0,7,1,0,45.25,17
Xochicoatlan,15,0,0,0,0,0,0,0,0,15
Yahualica,20,4,4,4,0,2,2,0,100,16
Zacualtipan de angeles,19,10,9,5,5,7,2,1,129,9
Zapotlan de Juarez,3,3,0,1,3,0,0,3,1200,0
Zempoala,24,24,19,17,17,7,1,16,1242,0
Zimapan,46,8,6,2,3,6,0,2,113,38
Jalisco,1429,1113,957,693,708,674,125,314,103340.78,316
Acatic,C,C,1,1,1,0,1,0,0,C
Acatlan de Juarez,7,7,5,7,7,1,2,4,732.6,0
Ahualulco de Mercado,8,7,5,4,6,2,1,4,385,1
Amacueca,C,C,0,0,0,0,0,0,0,C
Amatitan,5,5,5,5,4,5,0,0,172,0
Ameca,44,37,36,26,20,33,2,2,1917.5,7
San Juanito de Escobedo,5,4,3,3,3,1,2,1,220,1
Arandas,C,C,1,1,1,0,1,0,300,C
El Arenal,C,C,3,3,3,2,0,1,1130,C
Atemajac de Brizuela,9,7,7,6,4,4,1,2,659,2
Atengo,12,11,10,4,2,8,1,2,748,1
Atenguillo,5,4,4,3,0,4,0,0,177,1
Atotonilco el Alto,19,9,8,4,5,6,1,2,724.5,10
Atoyac,11,8,7,4,7,5,1,2,123,3
Autlan de Navarro,27,21,17,14,18,11,0,10,799.5,6
Ayotlan,15,13,13,10,8,9,1,3,368,2
Ayutla,27,17,14,4,13,11,1,5,437,10
La Barca,28,27,27,19,13,23,1,3,1799,1
Bolaños,C,C,0,0,0,0,0,0,0,C
Cabo Corrientes,20,7,5,3,5,5,0,2,575,13
Casimiro Castillo,16,15,14,11,10,6,5,4,1079,1
Cihuatlan,15,11,9,7,8,6,0,5,1427.5,4
Zapotlan el Grande,5,3,2,3,3,2,0,1,1430,2
Cocula,19,17,16,9,9,10,1,6,701,2
Colotlan,7,7,6,4,3,4,1,2,647,0
Concepcion de Buenos Aires,11,7,6,0,2,6,0,1,521,4
Cuautitlan de Garcia Barragan,12,10,8,8,4,6,2,2,1163,2
Cuautla,4,3,3,0,2,2,0,1,148,1
Cuquio,13,12,9,3,7,5,1,6,866,1
Chapala,6,4,4,4,4,0,2,2,107,2
Chimaltitan,C,C,2,1,1,1,0,1,620,C
Chiquilistlan,6,5,5,4,1,4,1,0,313,1
Degollado,23,22,19,13,16,9,4,9,1067,1
Ejutla,3,2,1,0,1,1,0,1,66,1
Encarnacion de Diaz,12,8,6,7,7,4,1,3,592,4
Etzatlan,10,6,6,6,6,3,0,3,460,4
El Grullo,8,7,6,5,5,6,0,1,909,1
Guachinango,13,3,3,2,1,3,0,0,104,10
Guadalajara,C,C,0,0,0,0,0,0,0,C
Hostotipaquillo,17,12,9,8,6,7,1,4,541,5
Huejucar,5,4,2,2,4,3,0,1,218,1
Huejuquilla el Alto,3,2,2,1,1,1,1,0,55,1
La Huerta,32,26,26,20,20,16,3,7,7485,6
Ixtlahuacan de los Membrillos,10,10,8,8,9,7,0,3,1726,0
Ixtlahuacan del Rio,12,12,11,10,8,6,2,4,365,0
Jalostotitlan,C,C,0,0,0,0,0,0,0,C
Jamay,4,4,4,3,3,4,0,0,740,0
Jesus Maria,C,C,2,1,0,2,0,0,88,C
Jilotlan de los Dolores,26,19,16,9,12,12,1,6,3292.5,7
Jocotepec,15,13,11,6,8,10,0,3,815,2
Juanacatlan,6,6,6,6,2,3,2,1,804.5,0
Juchitlan,7,6,6,4,3,5,1,0,238,1
Lagos de Moreno,44,30,26,18,19,18,3,9,1617,14
El Limon,6,5,5,4,4,2,1,2,293,1
Magdalena,10,10,4,5,8,2,2,6,1137.5,0
Santa Maria del Oro,4,3,3,1,2,1,0,2,80,1
La Manzanilla de la Paz,9,6,6,1,2,4,0,2,160,3
Mascota,16,10,8,3,6,8,0,2,270,6
Mazamitla,19,13,11,5,6,8,2,3,604,6
Mexticacan,3,1,1,0,0,1,0,0,5,2
Mezquitic,8,5,5,1,1,5,0,0,193,3
Mixtlan,5,1,1,1,0,1,0,0,50,4
Ocotlan,16,14,11,9,9,7,2,5,599,2
Ojuelos de Jalisco,20,13,11,11,8,8,4,1,995,7
Pihuamo,18,16,16,12,10,12,1,3,4700,2
Poncitlan,17,13,9,9,10,5,3,5,602,4
Puerto Vallarta,15,10,8,9,9,4,3,3,2476,5
Villa Purificacion,13,9,8,8,4,5,3,1,3992,4
Quitupan,25,24,21,17,18,15,0,9,1383,1
El Salto,4,4,3,2,3,3,0,1,145,0
San Cristobal de la Barranca,C,C,1,0,0,1,0,0,0,C
San Diego de Alejandria,C,C,1,1,1,0,0,1,10,C
San Juan de los Lagos,7,7,6,4,3,4,1,2,573,0
San Marcos,4,4,4,0,3,4,0,0,121,0
San Martin Hidalgo,18,16,14,3,5,15,0,1,456,2
San Miguel el Alto,C,C,1,0,0,1,0,0,7.5,C
Gomez Farias,5,3,3,2,2,2,0,1,92.75,2
San Sebastian del Oeste,18,9,7,5,2,8,1,0,184,9
Santa Maria de los angeles,10,7,4,0,5,4,0,3,1138,3
Sayula,5,4,3,3,3,0,1,3,363,1
Tala,13,12,11,10,9,7,1,4,2634,1
Talpa de Allende,17,13,11,9,7,11,0,2,462.5,4
Tamazula de Gordiano,35,33,32,16,19,25,4,4,2503.5,2
Tapalpa,8,7,4,5,6,1,2,4,395,1
Tecalitlan,17,11,7,5,6,6,2,3,585,6
Tecolotlan,20,16,14,7,8,10,2,4,964,4
Techaluta de Montenegro,C,C,1,1,2,1,1,0,40,C
Tenamaxtlan,12,12,12,5,5,8,2,2,1380,0
Teocaltiche,11,6,5,4,4,2,1,3,2412,5
Teocuitatlan de Corona,27,24,21,8,16,17,1,6,625,3
Tepatitlan de Morelos,C,C,1,0,0,1,0,0,20,C
Tequila,15,12,8,6,9,5,2,5,495,3
Teuchitlan,6,6,6,6,4,4,0,2,810,0
Tizapan el Alto,14,10,9,5,5,9,0,1,563,4
Tlajomulco de Zuñiga,25,22,14,17,20,2,2,18,3325,3
Tlaquepaque,7,6,4,4,6,0,2,4,385,1
Toliman,12,8,8,5,0,7,1,0,131,4
Tomatlan,40,28,27,24,21,14,8,6,11708.43,12
Tonala,8,7,5,6,5,3,1,3,457.5,1
Tonaya,C,C,2,2,0,2,0,0,180,C
Tonila,8,6,5,5,4,2,2,2,720,2
Tototlan,22,19,18,16,17,10,1,8,648.5,3
Tuxcacuesco,8,5,5,3,0,5,0,0,217,3
Tuxcueca,5,5,4,2,4,3,0,2,480,0
Tuxpan,14,13,12,9,8,9,2,2,1617.5,1
Union de San Antonio,17,13,11,10,8,9,2,2,342,4
Union de Tula,14,11,9,5,7,7,1,3,146,3
Valle de Guadalupe,C,C,0,0,0,0,0,0,0,C
Valle de Juarez,9,9,7,2,8,6,0,3,436,0
San Gabriel,22,15,15,9,6,11,1,3,919,7
Villa Corona,5,5,4,4,4,3,0,2,411,0
Villa Guerrero,C,C,0,0,0,0,0,0,0,C
Villa Hidalgo,4,0,0,0,0,0,0,0,0,4
Cañadas de Obregon,C,C,0,0,0,0,0,0,0,C
Yahualica de Gonzalez Gallo,3,2,1,1,2,1,0,1,85,1
Zacoalco de Torres,16,14,11,13,10,5,3,6,641,2
Zapopan,32,24,16,15,18,9,2,13,1387,8
Zapotiltic,18,18,17,16,11,13,3,2,2178,0
Zapotitlan de Vadillo,4,3,2,2,2,2,0,1,36.5,1
Zapotlan del Rey,22,17,14,11,13,10,3,4,454,5
Zapotlanejo,11,7,4,5,5,2,1,4,444,4
Mexico,1233,857,712,608,503,491,150,216,41138.46,376
Acambay,32,24,22,21,9,18,4,2,222.75,8
Acolman,13,6,1,1,4,1,1,4,135,7
Aculco,26,21,18,19,13,12,5,4,585,5
Almoloya de Alquisiras,12,9,8,7,7,7,1,1,41,3
Almoloya de Juarez,36,33,27,29,18,18,6,9,937,3
Almoloya del Rio,4,3,3,2,3,3,0,0,45,1
Amanalco,19,12,11,9,3,6,4,2,144,7
Amatepec,17,13,13,11,5,11,1,1,364,4
Amecameca,11,4,2,0,2,2,0,2,39,7
Apaxco,C,C,1,1,1,0,1,0,30,C
Atenco,5,4,2,3,3,1,2,1,46,1
Atizapan,C,C,1,1,1,1,0,0,37,C
Atizapan de Zaragoza,C,C,0,0,0,0,0,0,0,C
Atlacomulco,29,24,22,19,14,17,3,4,924,5
Atlautla,C,C,2,1,2,0,0,2,102.5,C
Axapusco,16,15,13,14,12,8,1,6,862,1
Ayapango,5,4,4,3,1,3,1,0,138,1
Calimaya,9,6,6,5,4,3,2,1,334.3,3
Capulhuac,4,1,0,1,1,0,1,0,15,3
Coacalco de Berriozabal,C,C,1,0,1,0,0,1,17,C
Coatepec Harinas,11,10,8,5,4,8,1,1,107,1
Cocotitlan,C,C,0,0,1,0,0,1,60,C
Coyotepec,C,C,1,1,1,0,1,0,950,C
Cuautitlan,C,C,1,1,1,1,0,0,25,C
Chalco,14,6,3,3,5,3,1,2,235,8
Chapa de Mota,15,5,5,5,3,4,1,0,34,10
Chapultepec,C,C,1,1,1,0,1,0,80,C
Chiautla,5,4,2,2,4,0,1,3,37,1
Chicoloapan,C,C,1,0,1,0,0,1,20,C
Chiconcuac,C,C,0,0,0,0,0,0,0,C
Chimalhuacan,C,C,0,1,1,0,0,1,522,C
Donato Guerra,17,12,12,8,5,9,0,3,112,5
Ecatepec de Morelos,8,3,1,1,3,0,0,3,1615,5
Ecatzingo,C,C,0,0,1,0,0,1,50,C
Huehuetoca,3,3,3,3,3,0,2,1,96,0
Hueypoxtla,11,8,7,3,6,6,0,2,1336,3
Huixquilucan,7,2,2,2,1,1,0,1,3300,5
Isidro Fabela,4,2,0,1,2,0,1,1,8.41,2
Ixtapaluca,9,1,0,1,1,0,0,1,120,8
Ixtapan de la Sal,C,C,1,1,2,0,0,2,30,C
Ixtapan del Oro,8,4,4,4,1,2,1,1,304,4
Ixtlahuaca,36,26,25,20,12,15,6,5,604.5,10
Jaltenco,C,C,0,0,0,0,0,0,0,C
Jilotepec,33,29,20,20,23,10,4,15,1019,4
Jilotzingo,7,1,0,0,1,0,0,1,10,6
Jiquipilco,15,8,8,6,3,6,1,1,690,7
Jocotitlan,15,13,13,9,6,9,2,2,489,2
Joquicingo,3,2,1,2,1,1,1,0,330,1
Juchitepec,C,C,0,0,0,0,0,0,0,C
Lerma,20,13,10,9,10,8,0,5,282,7
Malinalco,13,9,7,5,7,6,0,3,55,4
Melchor Ocampo,3,3,3,3,1,1,1,1,60,0
Metepec,5,4,3,3,3,2,0,2,316.24,1
Mexicaltzingo,C,C,1,0,0,1,0,0,10,C
Morelos,14,5,5,2,1,4,1,0,70,9
Naucalpan de Juarez,8,2,1,2,2,1,1,0,50,6
Nextlalpan,3,1,0,0,1,0,0,1,103,2
Nicolas Romero,9,6,3,2,4,2,0,4,710.4,3
Nopaltepec,4,3,2,3,1,2,0,1,86,1
Ocoyoacac,8,4,3,3,3,1,1,2,58,4
Ocuilan,5,3,2,3,3,1,1,1,173,2
El Oro,12,8,8,8,6,4,4,0,82,4
Otumba,12,8,8,5,4,5,1,2,406,4
Otzoloapan,C,C,2,2,2,0,1,1,20,C
Otzolotepec,10,5,4,4,4,2,1,2,115,5
Ozumba,5,4,4,1,1,4,0,0,311,1
Papalotla,C,C,0,0,1,0,0,1,2,C
La Paz,C,C,1,0,1,1,0,0,10,C
Polotitlan,10,7,5,5,5,3,1,3,204.3,3
Rayon,4,4,4,3,3,4,0,0,251,0
San Antonio la Isla,C,C,2,2,1,2,0,0,37,C
San Felipe del Progreso,47,37,32,31,16,16,17,4,532.5,10
San Martin de las Piramides,8,7,5,5,6,2,0,5,95,1
San Mateo Atenco,C,C,1,1,1,0,1,0,0,C
San Simon de Guerrero,C,C,0,0,0,0,0,0,0,C
Santo Tomas,6,4,3,2,1,3,1,0,273,2
Soyaniquilpan de Juarez,7,7,6,4,6,3,1,3,228,0
Sultepec,9,7,7,2,1,7,0,0,96,2
Tecamac,10,9,8,3,7,5,0,4,328,1
Tejupilco,14,7,7,6,4,4,1,2,796,7
Temamatla,C,C,1,0,1,1,0,1,28,C
Temascalapa,11,8,6,3,4,5,0,3,204,3
Temascalcingo,27,21,20,15,9,15,4,2,784,6
Temascaltepec,36,15,14,5,4,13,0,2,264,21
Temoaya,9,8,7,7,3,5,3,0,698,1
Tenancingo,22,17,14,12,13,11,1,5,223,5
Tenango del Aire,4,3,3,3,3,2,0,1,120,1
Tenango del Valle,13,12,11,8,7,8,2,2,1530,1
Teoloyucan,7,3,0,0,3,0,0,3,1235,4
Teotihuacan,8,6,4,6,3,3,1,2,63.26,2
Tepetlaoxtoc,10,5,4,0,2,3,0,2,31,5
Tepetlixpa,4,3,2,2,2,2,0,1,50,1
Tepotzotlan,5,3,1,3,2,0,2,1,376,2
Tequixquiac,3,3,3,2,2,2,1,0,85,0
Texcaltitlan,8,7,7,5,4,6,1,0,53.5,1
Texcalyacac,C,C,1,1,1,0,0,1,20,C
Texcoco,31,17,7,9,13,6,2,9,129.3,14
Tezoyuca,C,C,1,1,2,0,1,1,310,C
Tianguistenco,3,2,2,1,1,2,0,0,2089,1
Timilpan,7,6,6,5,0,6,0,0,150,1
Tlalmanalco,6,2,2,2,0,2,0,0,9,4
Tlalnepantla de Baz,5,2,2,2,2,2,0,0,3.5,3
Tlatlaya,23,20,19,17,7,16,3,1,1078,3
Toluca,22,12,6,9,12,3,3,6,756,10
Tonatico,5,5,5,3,3,3,1,1,540,0
Tultepec,C,C,2,2,1,1,1,0,80,C
Tultitlan,4,3,2,3,3,0,1,2,181,1
Valle de Bravo,20,17,12,14,16,4,3,10,322,3
Villa de Allende,32,22,21,17,10,16,4,2,251,10
Villa del Carbon,11,9,6,8,6,4,3,2,214,2
Villa Guerrero,12,9,8,6,4,8,1,0,308,3
Villa Victoria,28,21,19,15,12,14,6,1,522,7
Xonacatlan,3,3,3,3,2,2,1,0,300,0
Zacazonapan,C,C,1,1,1,1,0,0,40,C
Zacualpan,12,10,8,3,5,8,0,2,1077,2
Zinacantepec,18,14,13,13,13,7,3,4,884.5,4
Zumpahuacan,C,C,1,1,0,1,0,0,0.5,C
Zumpango,9,6,5,1,5,2,1,3,272,3
Cuautitlan Izcalli,9,1,1,0,0,1,0,0,5,8
Valle de Chalco Solidaridad,C,C,1,1,1,0,0,1,40,C
Luvianos,3,3,3,3,2,1,1,1,2420,0
San Jose del Rincon,50,42,35,30,16,25,9,8,429,8
Michoacan de Ocampo,1910,1410,1210,773,769,907,147,356,111757.09,500
Acuitzio,8,2,1,1,2,1,1,0,94,6
Aguililla,16,10,8,3,2,8,1,1,2374,6
alvaro Obregon,23,19,15,7,13,11,1,7,551.5,4
Angamacutiro,24,18,17,5,5,15,1,2,425,6
Angangueo,6,5,5,3,1,3,2,0,29.5,1
Apatzingan,51,46,41,29,34,26,2,18,5805,5
Aporo,C,C,2,0,2,2,0,0,28,C
Aquila,7,3,3,2,1,2,0,1,150,4
Ario,40,35,27,25,24,14,6,15,2762,5
Arteaga,20,12,9,8,6,10,1,1,1941,8
Briseñas,4,4,4,4,2,4,0,0,400,0
Buenavista,47,43,35,18,30,29,0,14,4024,4
Caracuaro,12,10,10,9,8,7,0,3,2265,2
Coahuayana,12,10,10,9,9,6,3,1,911,2
Coalcoman de Vazquez Pallares,10,6,6,4,4,6,0,0,420,4
Coeneo,35,16,11,7,6,9,1,6,133.05,19
Contepec,30,28,26,18,14,14,7,7,655,2
Copandaro,5,2,2,1,1,1,0,1,56,3
Cotija,19,19,17,14,10,15,2,2,506,0
Cuitzeo,9,5,3,4,4,1,1,3,133,4
Charapan,4,3,3,1,1,2,0,1,350,1
Charo,17,11,6,5,10,3,1,7,858.5,6
Chavinda,12,11,10,3,5,8,2,1,337.5,1
Cheran,C,C,1,1,0,1,0,0,20,C
Chilchota,13,7,7,2,1,6,0,1,192,6
Chinicuila,8,4,4,4,2,2,1,1,560,4
Chucandiro,14,3,3,0,0,3,0,0,17,11
Churintzio,16,9,9,6,2,8,1,0,253.88,7
Churumuco,25,20,20,16,11,17,0,3,2610,5
Ecuandureo,17,11,10,5,7,8,1,2,394,6
Epitacio Huerta,15,9,7,7,5,4,1,4,376,6
Erongaricuaro,12,1,1,0,0,1,0,0,20,11
Gabriel Zamora,7,7,7,7,4,5,1,1,585,0
Hidalgo,31,21,19,11,12,12,3,6,1394,10
La Huacana,68,49,41,28,21,37,3,9,3827,19
Huandacareo,5,4,4,2,2,4,0,0,198,1
Huaniqueo,20,2,1,1,0,1,1,0,23,18
Huetamo,54,44,42,6,22,42,0,2,2604,10
Huiramba,5,5,3,5,3,2,2,1,70,0
Indaparapeo,12,7,7,3,3,7,0,0,282.2,5
Irimbo,6,6,5,4,4,1,0,5,81,0
Ixtlan,13,11,10,0,4,10,0,1,300,2
Jacona,4,3,3,2,2,3,0,0,214,1
Jimenez,20,15,8,11,9,6,3,6,606.5,5
Jiquilpan,10,8,8,4,4,7,0,1,294,2
Juarez,9,8,8,5,2,7,1,0,482,1
Jungapeo,17,15,15,6,2,12,0,3,910,2
Lagunillas,5,0,0,0,0,0,0,0,0,5
Madero,15,11,8,5,5,6,3,2,1290,4
Maravatio,34,30,25,23,19,12,8,10,1793,4
Marcos Castellanos,8,8,8,8,7,7,0,1,314,0
Lazaro Cardenas,22,18,17,14,12,11,2,5,5848,4
Morelia,83,57,40,33,44,24,3,30,4499,26
Morelos,8,3,3,2,3,2,0,1,55,5
Mugica,5,5,5,5,5,1,1,3,5540,0
Nahuatzen,8,6,6,2,0,6,0,0,2284,2
Nocupetaro,13,8,6,4,4,6,0,2,683,5
Nuevo Parangaricutiro,4,2,2,2,0,2,0,0,68,2
Nuevo Urecho,12,12,11,10,3,11,0,1,1665,0
Numaran,8,6,5,2,2,4,1,1,277,2
Ocampo,9,6,6,3,2,5,0,1,93,3
Pajacuaran,10,10,10,5,4,10,0,0,887,0
Panindicuaro,18,7,4,4,2,5,0,2,138,11
Paracuaro,21,21,20,13,17,11,5,5,1547,0
Paracho,8,1,1,0,0,1,0,0,100,7
Patzcuaro,32,24,20,11,12,9,6,9,434,8
Penjamillo,22,16,12,10,12,7,2,7,568.5,6
Periban,8,7,4,2,5,3,0,4,855,1
La Piedad,26,17,17,4,2,15,2,0,243.5,9
Purepero,3,2,1,0,0,2,0,0,26,1
Puruandiro,40,31,29,18,5,25,5,1,1054.5,9
Querendaro,10,7,6,6,5,4,2,1,292.5,3
Quiroga,4,1,1,0,1,1,0,0,6,3
Cojumatlan de Regules,10,10,10,9,9,8,1,1,315.5,0
Los Reyes,18,17,17,13,10,14,1,2,482.5,1
Sahuayo,5,5,5,4,4,4,1,0,1641,0
San Lucas,26,26,26,13,6,25,0,1,1213,0
Santa Ana Maya,8,5,4,2,2,3,0,2,51.25,3
Salvador Escalante,37,25,19,14,15,13,2,10,962,12
Senguio,15,12,10,9,5,4,6,2,152,3
Susupuato,13,13,12,12,7,10,1,2,636,0
Tacambaro,20,14,9,5,11,7,1,6,923,6
Tancitaro,12,6,5,3,4,4,0,2,101,6
Tangamandapio,10,7,5,4,3,2,2,3,318,3
Tangancicuaro,21,13,11,4,8,8,0,5,3163,8
Tanhuato,12,10,9,4,0,8,2,0,252,2
Taretan,14,11,9,7,8,4,2,5,775,3
Tarimbaro,29,22,17,13,20,7,3,12,1764.14,7
Tepalcatepec,34,28,23,7,20,17,0,11,4813.42,6
Tingambato,4,3,3,3,3,0,1,2,515,1
Tingüindin,7,3,3,3,3,2,0,1,95,4
Tiquicheo de Nicolas Romero,18,18,16,5,8,11,3,4,2384,0
Tlalpujahua,11,5,4,4,2,4,0,1,48,6
Tlazazalca,10,5,5,4,3,0,3,2,75,5
Tocumbo,9,7,4,3,5,4,0,3,329,2
Tumbiscatio,12,10,8,6,9,5,1,4,2930,2
Turicato,21,17,15,3,10,12,2,3,3866.25,4
Tuxpan,16,14,10,6,11,4,3,7,412,2
Tuzantla,28,24,23,11,5,22,1,1,1924,4
Tzintzuntzan,8,2,2,0,0,2,0,0,18,6
Tzitzio,4,3,0,3,3,0,0,3,494,1
Uruapan,31,22,17,11,16,14,0,8,2061.9,9
Venustiano Carranza,8,8,8,8,7,6,1,1,525,0
Villamar,20,14,13,9,8,8,4,2,760,6
Vista Hermosa,6,6,6,2,3,6,0,0,803,0
Yurecuaro,13,10,10,2,1,10,0,0,604,3
Zacapu,24,16,12,7,5,11,2,3,616,8
Zamora,26,22,21,14,11,15,2,5,1050,4
