INEGI. IX Censo Ejidal 2007,,,,,,,,,,
"Total de ejidos y comunidades segun compravente de tierras ejidales, tipo de participantes",,,,,,,,,,Cuadro 38
y superficie vendida por entidad federativa y municipio,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
entidad_federativa_y_municipio, ejidos_y_comunidades,con_compraventa_de_tierras_ejidales_total,con_compraventa_de_tierras_ejidales_entro_ejidatarios,con_compraventa_de_tierras_ejidales_con_avecindados_o_posesionarios,con_compraventa_de_tierras_ejidales_con_personas_ajenas_al_ejido,principales_compradores_ejidatarios,principales_compradores_avecindados_o_posesionarios,principales_compradores_personas_ajenas_al_ejido,superficie_vendida_en_los_ultimos_10 años_(ha),no_reportan_compraventa
Bochil,38,30,29,16,5,26,4,0,927,8
El Bosque,13,8,8,8,2,8,0,0,169,5
Cacahoatan,21,18,18,13,5,14,4,0,379,3
Catazaja,28,21,20,17,6,19,2,0,1282,7
Cintalapa,81,58,56,24,23,41,4,13,4553,23
Coapilla,9,6,6,4,1,6,0,0,364,3
Comitan de Dominguez,34,21,20,11,8,13,3,5,441.25,13
La Concordia,43,22,20,14,6,19,0,3,2169,21
Copainala,15,10,10,6,4,10,0,0,1807,5
Chalchihuitan,C,C,1,0,0,1,0,0,100,C
Chamula,5,0,0,0,0,0,0,0,0,5
Chanal,C,C,1,0,0,1,0,0,10,C
Chapultenango,9,7,7,3,4,6,0,1,1880,2
Chenalho,10,4,4,2,0,4,0,0,400,6
Chiapa de Corzo,44,26,21,20,19,14,3,9,1258,18
Chiapilla,C,C,2,2,1,2,0,0,19,C
Chicoasen,C,C,1,0,0,1,0,0,20,C
Chicomuselo,32,15,15,13,2,14,1,0,1279,17
Chilon,25,8,8,2,1,8,0,0,393,17
Escuintla,35,30,29,23,15,22,3,5,2124.5,5
Francisco Leon,6,6,6,2,1,6,0,0,378,0
Frontera Comalapa,38,29,29,28,8,22,5,2,2562,9
Frontera Hidalgo,C,C,1,1,0,1,1,0,101,C
La Grandeza,3,2,2,2,1,1,1,0,25,1
Huehuetan,19,10,7,9,3,5,2,3,317,9
Huixtan,19,4,4,1,1,4,0,0,166,15
Huitiupan,50,19,19,4,1,18,1,0,484.75,31
Huixtla,20,11,10,6,5,9,1,1,497,9
La Independencia,32,15,15,14,2,12,3,0,1008,17
Ixhuatan,6,5,5,0,0,5,0,0,612,1
Ixtacomitan,12,6,6,0,3,6,0,0,186,6
Ixtapa,32,24,23,16,8,19,4,1,677.5,8
Ixtapangajoya,4,2,2,1,1,1,0,1,170,2
Jiquipilas,64,43,42,23,10,42,0,1,2368.5,21
Jitotol,22,12,12,7,2,10,2,0,889,10
Juarez,6,5,4,1,2,4,0,1,495,1
Larrainzar,3,3,3,3,0,3,0,0,11,0
La Libertad,4,2,1,1,1,1,0,1,185,2
Mapastepec,56,53,40,6,7,40,6,7,3791,3
Las Margaritas,145,35,33,25,6,25,10,0,755,110
Mazapa de Madero,4,2,2,1,1,2,0,0,40,2
Mazatan,18,7,7,3,0,7,0,0,512,11
Metapa,C,C,1,0,0,1,0,0,40,C
Mitontic,C,C,0,0,0,0,0,0,0,C
Motozintla,43,24,24,21,5,14,8,2,1695,19
Ocosingo,159,41,40,19,8,37,1,3,3022.5,118
Ocotepec,C,C,1,1,0,1,0,0,100,C
Ocozocoautla de Espinosa,74,49,44,20,9,40,4,5,2590,25
Ostuacan,29,23,22,11,11,20,1,2,2199,6
Osumacinta,3,1,1,1,1,0,1,0,100,2
Oxchuc,3,1,1,0,0,1,0,0,15,2
Palenque,163,68,61,32,21,50,4,14,5671.75,95
Pantelho,9,4,3,0,0,3,0,1,32,5
Pantepec,6,5,5,1,0,5,0,0,95,1
Pichucalco,9,8,8,4,6,6,0,2,5415,1
Pijijiapan,70,53,50,1,2,50,1,2,15753,17
El Porvenir,5,3,3,3,0,2,1,0,17,2
Villa Comaltitlan,19,16,16,14,7,15,0,1,1306,3
Pueblo Nuevo Solistahuacan,21,14,13,4,0,13,1,0,306,7
Rayon,4,4,4,3,0,4,0,0,83,0
Reforma,7,6,6,4,3,5,0,1,392,1
Las Rosas,17,13,13,4,1,13,0,0,261,4
Sabanilla,19,14,14,4,1,14,0,0,295,5
Salto de Agua,86,51,46,16,18,41,2,8,2029.5,35
San Cristobal de las Casas,16,7,7,3,2,7,0,0,128,9
San Fernando,18,13,10,8,9,5,1,7,915,5
Siltepec,18,17,17,17,4,14,3,0,458,1
Simojovel,53,20,20,1,1,20,0,0,296.68,33
Sitala,7,0,0,0,0,0,0,0,0,7
Socoltenango,33,22,22,9,6,20,0,2,2109,11
Solosuchiapa,11,7,5,5,4,4,0,3,750,4
Soyalo,4,2,1,1,0,1,1,0,5.5,2
Suchiapa,9,4,4,4,2,1,2,1,566,5
Suchiate,17,13,10,9,5,8,4,1,487,4
Sunuapa,C,C,1,0,0,1,0,0,100,C
Tapachula,52,34,30,32,18,19,11,4,1411,18
Tapalapa,C,C,2,0,0,2,0,0,52,C
Tapilula,4,4,4,3,0,1,3,0,472,0
Tecpatan,59,53,51,27,18,47,3,3,5610,6
Tenejapa,7,4,4,0,0,4,0,0,2031,3
Teopisca,16,7,7,3,2,7,0,0,51,9
Tila,29,8,7,5,2,7,0,1,88,21
Tonala,54,37,35,20,15,30,1,6,3053,17
Totolapa,8,6,6,5,0,6,0,0,106,2
La Trinitaria,85,53,53,28,9,43,8,2,1791.5,32
Tumbala,24,7,7,0,0,7,0,0,47,17
Tuxtla Gutierrez,6,6,3,6,4,0,2,4,470,0
Tuxtla Chico,7,6,6,4,2,6,0,0,135.1,1
Tuzantan,16,11,9,7,10,5,2,4,445,5
Tzimol,18,8,8,5,3,7,0,1,700,10
Union Juarez,12,9,9,6,4,7,2,0,238,3
Venustiano Carranza,41,24,23,14,9,16,1,7,1267,17
Villa Corzo,71,40,39,19,10,35,3,2,4895.5,31
Villaflores,67,51,49,32,19,47,1,3,3230.5,16
Yajalon,8,3,3,1,1,2,1,0,28,5
San Lucas,C,C,2,2,0,2,0,0,145,C
Zinacantan,6,3,3,3,0,3,0,0,410,3
San Juan Cancuc,C,C,0,0,0,0,0,0,0,C
Aldama,C,C,1,1,0,1,0,0,15,C
Benemerito de las Americas,14,10,10,8,6,6,4,0,7590,4
Maravilla Tenejapa,33,16,15,1,2,12,1,3,231,17
Marques de Comillas,23,14,13,11,6,10,2,2,6797,9
Montecristo de Guerrero,5,4,4,4,1,4,0,0,167,1
San Andres Duraznal,5,3,2,2,0,1,2,0,30,2
