INEGI. IX Censo Ejidal 2007,,,,,,,,,,,,
Ejidos y comunidades agropecuarias y forestales con construcciones de su propiedad,,,,,,,,,,,,cuadro 25
segun tipo y cantidad por entidad federativa y municipio,,,,,,,,,,,,
,,,,,,,,,,,,
entidad_federativa_y_municipio,ejidos_y_comunidades_con_bordos_para_riego_o_abrevadero,cantidad_de_bordos_para_riego_o_abrevadero,ejidos_y_comunidades_con_pozo_para_riego,cantidad_de_pozos_para_riego,ejidos_y_comunidades_con_baños_garrapaticidas,cantidad_de_baños_garrapaticidas,ejidos_y_comunidades_con_salas_de_ordeña,cantidad_de_salas_de_ordeña,ejidos_y_comunidades_con_aserradero,cantidad_de_aserraderos,ejidos_y_comunidades_con_otras_construcciones,cantidad_de_otras_construcciones
Teloloapan,2,3,0,0,1,1,0,0,0,0,0,0
Tepecoacuilco de Trujano,12,32,0,0,1,1,0,0,0,0,0,0
Tetipac,1,1,0,0,0,0,0,0,0,0,0,0
Tixtla de Guerrero,0,0,1,50,0,0,0,0,0,0,0,0
Tlacoapa,1,2,0,0,0,0,0,0,0,0,0,0
Tlalchapa,0,0,0,0,0,0,0,0,0,0,3,3
Tlalixtaquilla de Maldonado,3,12,0,0,0,0,0,0,0,0,0,0
Tlapa de Comonfort,6,14,0,0,0,0,0,0,0,0,4,8
Tlapehuala,2,6,0,0,1,1,0,0,0,0,4,4
La Union de Isidoro Montes de Oca,14,230,7,62,0,0,0,0,0,0,4,4
Xochihuehuetlan,1,2,0,0,0,0,0,0,0,0,0,0
Zirandaro,5,31,0,0,1,1,0,0,0,0,0,0
Zitlala,0,0,0,0,0,0,0,0,0,0,1,1
Eduardo Neri,5,12,0,0,1,1,0,0,0,0,0,0
Marquelia,0,0,0,0,1,1,0,0,0,0,0,0
Juchitan,0,0,1,3,0,0,0,0,0,0,0,0
Iliatenco,0,0,0,0,0,0,0,0,0,0,1,1
Hidalgo,303,776,75,152,37,38,1,2,6,7,67,120
Acatlan,11,17,5,15,0,0,0,0,0,0,0,0
Acaxochitlan,3,3,1,3,0,0,0,0,0,0,0,0
Actopan,1,2,2,2,0,0,0,0,0,0,0,0
Agua Blanca de Iturbide,4,8,0,0,1,1,0,0,1,2,0,0
Ajacuba,6,11,1,1,0,0,0,0,0,0,0,0
Alfajayucan,17,40,0,0,2,2,0,0,0,0,6,7
Almoloya,9,19,0,0,1,1,0,0,0,0,0,0
Apan,8,21,1,1,0,0,0,0,0,0,6,7
El Arenal,0,0,2,9,0,0,0,0,0,0,0,0
Atitalaquia,2,3,0,0,0,0,0,0,0,0,0,0
Atotonilco el Grande,11,20,0,0,1,1,0,0,0,0,2,6
Atotonilco de Tula,3,8,1,1,0,0,0,0,0,0,3,4
Cardonal,1,1,0,0,0,0,0,0,0,0,1,1
Cuautepec de Hinojosa,3,9,4,4,0,0,0,0,1,1,2,2
Chapantongo,14,32,4,4,0,0,0,0,0,0,1,1
Chilcuautla,1,3,0,0,0,0,0,0,0,0,0,0
Eloxochitlan,1,1,1,1,1,1,0,0,0,0,1,3
Emiliano Zapata,3,7,0,0,0,0,0,0,0,0,0,0
Epazoyucan,4,13,0,0,0,0,0,0,0,0,0,0
Huasca de Ocampo,15,28,3,5,0,0,0,0,0,0,3,4
Huautla,4,7,0,0,3,3,0,0,0,0,0,0
Huehuetla,0,0,0,0,0,0,0,0,0,0,1,20
Huejutla de Reyes,0,0,1,1,3,3,0,0,0,0,1,1
Huichapan,34,153,5,8,8,8,0,0,1,1,4,6
Ixmiquilpan,0,0,0,0,0,0,0,0,0,0,1,2
Jacala de Ledezma,9,16,0,0,4,4,0,0,0,0,0,0
Juarez Hidalgo,0,0,0,0,1,1,0,0,0,0,0,0
Metepec,4,5,4,9,1,1,0,0,0,0,0,0
San Agustin Metzquititlan,1,1,0,0,0,0,0,0,0,0,0,0
Metztitlan,3,7,5,6,0,0,0,0,0,0,0,0
Mineral del Monte,0,0,0,0,0,0,0,0,1,1,0,0
Mixquiahuala de Juarez,2,4,2,2,0,0,0,0,0,0,0,0
Nopala de Villagran,9,48,0,0,0,0,0,0,0,0,1,1
San Felipe Orizatlan,18,18,0,0,0,0,0,0,0,0,0,0
Pachuca de Soto,1,10,1,2,0,0,0,0,0,0,1,1
Pisaflores,0,0,0,0,1,2,1,2,0,0,0,0
Progreso de Obregon,0,0,0,0,0,0,0,0,0,0,1,1
San Agustin Tlaxiaca,6,15,0,0,0,0,0,0,0,0,3,3
San Bartolo Tutotepec,1,1,0,0,0,0,0,0,0,0,0,0
San Salvador,5,5,4,7,0,0,0,0,0,0,1,1
Santiago de Anaya,0,0,5,10,1,1,0,0,0,0,2,15
Santiago Tulantepec de Lugo Guerrero,3,20,0,0,0,0,0,0,1,1,0,0
Singuilucan,6,9,0,0,0,0,0,0,0,0,3,4
Tasquillo,1,4,0,0,0,0,0,0,0,0,0,0
Tecozautla,17,35,7,17,0,0,0,0,0,0,2,4
Tepeapulco,4,4,0,0,0,0,0,0,0,0,0,0
Tepehuacan de Guerrero,0,0,0,0,0,0,0,0,0,0,1,1
Tepeji del Rio de Ocampo,6,20,2,2,4,4,0,0,0,0,7,10
Tepetitlan,9,19,2,3,0,0,0,0,0,0,0,0
Tetepango,1,2,0,0,0,0,0,0,0,0,0,0
Villa de Tezontepec,1,1,0,0,1,1,0,0,0,0,0,0
Tizayuca,1,1,1,3,1,1,0,0,0,0,0,0
Tlahuiltepa,1,1,0,0,0,0,0,0,0,0,0,0
Tlanalapa,2,2,0,0,0,0,0,0,0,0,0,0
Tlanchinol,0,0,0,0,1,1,0,0,0,0,1,1
Tolcayuca,2,9,0,0,0,0,0,0,0,0,0,0
Tula de Allende,7,15,4,6,0,0,0,0,0,0,3,3
Tulancingo de Bravo,9,13,7,30,0,0,0,0,0,0,3,3
Zacualtipan de angeles,0,0,0,0,0,0,0,0,1,1,2,3
Zapotlan de Juarez,3,8,0,0,0,0,0,0,0,0,1,1
Zempoala,9,17,0,0,0,0,0,0,0,0,2,2
Zimapan,7,60,0,0,2,2,0,0,0,0,1,2
Jalisco,565,3428,244,1261,377,463,15,43,13,13,243,293
Acatic,1,1,0,0,0,0,1,6,0,0,0,0
Acatlan de Juarez,4,9,3,6,3,3,0,0,0,0,1,1
Ahualulco de Mercado,5,9,7,42,4,6,0,0,0,0,1,1
Amatitan,1,3,2,2,2,2,0,0,0,0,2,2
Ameca,27,90,7,16,23,24,0,0,1,1,0,0
San Juanito de Escobedo,2,2,2,4,2,2,0,0,0,0,2,2
El Arenal,2,4,3,13,0,0,0,0,0,0,0,0
Atemajac de Brizuela,8,34,0,0,4,4,0,0,0,0,6,6
Atengo,5,6,0,0,4,33,0,0,0,0,0,0
Atenguillo,1,1,0,0,3,4,0,0,0,0,1,3
Atotonilco el Alto,9,16,1,5,0,0,0,0,0,0,0,0
Atoyac,5,19,1,1,1,1,0,0,0,0,5,5
Autlan de Navarro,17,121,4,9,11,11,0,0,1,1,13,19
Ayotlan,6,17,7,17,5,5,0,0,0,0,4,4
Ayutla,16,143,1,3,10,10,0,0,1,1,7,8
La Barca,1,1,13,55,0,0,0,0,0,0,0,0
Bolaños,0,0,0,0,1,1,0,0,0,0,0,0
Cabo Corrientes,5,11,3,46,7,7,0,0,0,0,0,0
Casimiro Castillo,3,7,5,13,10,10,0,0,0,0,8,9
Cihuatlan,6,18,4,27,7,7,0,0,0,0,7,9
Zapotlan el Grande,0,0,1,7,1,1,0,0,0,0,3,3
Cocula,11,32,11,48,4,6,0,0,0,0,0,0
Colotlan,4,26,1,1,3,3,0,0,0,0,0,0
Concepcion de Buenos Aires,4,5,0,0,1,2,1,2,0,0,1,2
Cuautitlan de Garcia Barragan,5,14,2,6,8,16,0,0,0,0,4,5
Cuautla,3,21,0,0,3,3,0,0,1,1,2,2
Cuquio,5,6,0,0,3,3,0,0,0,0,1,1
Chapala,3,3,1,1,3,3,0,0,0,0,0,0
Chimaltitan,2,22,0,0,2,2,0,0,0,0,0,0
Chiquilistlan,2,3,0,0,3,3,0,0,0,0,0,0
Degollado,13,46,0,0,4,4,0,0,0,0,3,4
Ejutla,2,9,0,0,0,0,0,0,0,0,0,0
Encarnacion de Diaz,8,17,5,14,0,0,3,9,0,0,0,0
Etzatlan,4,62,3,8,4,5,0,0,0,0,3,3
El Grullo,5,31,0,0,2,2,0,0,0,0,3,3
Guachinango,2,6,0,0,3,3,0,0,0,0,0,0
Guadalajara,0,0,0,0,0,0,0,0,0,0,1,1
Hostotipaquillo,11,87,0,0,8,9,0,0,0,0,6,6
Huejucar,4,26,2,4,4,4,0,0,0,0,1,1
Huejuquilla el Alto,2,120,0,0,2,4,0,0,0,0,0,0
La Huerta,12,203,8,123,14,18,1,10,0,0,10,15
Ixtlahuacan de los Membrillos,4,9,3,24,3,3,0,0,0,0,1,1
Ixtlahuacan del Rio,3,13,0,0,3,3,1,1,0,0,1,1
Jamay,0,0,0,0,0,0,0,0,0,0,1,1
Jesus Maria,1,4,0,0,0,0,0,0,0,0,0,0
Jilotlan de los Dolores,7,39,5,29,1,1,0,0,0,0,1,1
Jocotepec,6,16,5,108,4,5,0,0,0,0,9,11
Juanacatlan,1,20,1,2,1,1,0,0,0,0,0,0
Juchitlan,4,4,0,0,0,0,0,0,0,0,0,0
Lagos de Moreno,22,41,10,15,0,0,1,1,0,0,0,0
El Limon,4,34,0,0,5,6,0,0,0,0,3,5
Magdalena,6,21,2,4,6,8,0,0,0,0,3,3
La Manzanilla de la Paz,4,54,0,0,0,0,0,0,0,0,0,0
Mascota,2,2,0,0,8,9,0,0,0,0,0,0
Mazamitla,2,50,0,0,0,0,0,0,0,0,2,4
Mexticacan,1,1,0,0,0,0,0,0,0,0,0,0
Mezquitic,5,76,0,0,4,11,0,0,1,1,1,1
Mixtlan,0,0,0,0,2,2,0,0,1,1,0,0
Ocotlan,3,3,3,7,1,1,0,0,0,0,1,3
Ojuelos de Jalisco,20,129,3,20,3,3,0,0,0,0,0,0
Pihuamo,3,13,1,1,4,4,0,0,1,1,2,2
Poncitlan,5,10,4,5,2,2,0,0,0,0,0,0
Puerto Vallarta,4,258,3,37,9,11,1,6,0,0,1,1
Villa Purificacion,0,0,0,0,1,1,0,0,0,0,0,0
Quitupan,2,31,1,8,0,0,0,0,0,0,1,1
El Salto,1,6,0,0,0,0,0,0,0,0,0,0
San Cristobal de la Barranca,2,8,0,0,2,3,0,0,0,0,0,0
San Diego de Alejandria,1,5,0,0,0,0,0,0,0,0,0,0
San Juan de los Lagos,4,32,2,7,0,0,2,4,0,0,0,0
San Marcos,3,10,0,0,2,2,0,0,0,0,1,1
San Martin Hidalgo,9,14,10,26,3,3,0,0,0,0,1,1
Gomez Farias,2,3,2,24,0,0,0,0,0,0,3,3
San Sebastian del Oeste,7,17,1,1,7,8,0,0,0,0,0,0
Santa Maria de los angeles,8,67,1,1,6,6,0,0,0,0,0,0
Sayula,0,0,2,23,0,0,0,0,0,0,4,4
Tala,8,15,9,53,2,2,0,0,0,0,2,2
Talpa de Allende,0,0,0,0,7,10,0,0,2,2,1,1
Tamazula de Gordiano,9,57,9,33,4,4,0,0,0,0,9,9
Tapalpa,3,51,0,0,2,2,0,0,1,1,5,7
Tecalitlan,6,17,5,16,1,1,0,0,0,0,4,5
Tecolotlan,13,92,0,0,6,7,0,0,0,0,1,1
Techaluta de Montenegro,0,0,2,5,0,0,0,0,0,0,0,0
Tenamaxtlan,6,12,0,0,7,7,0,0,0,0,0,0
Teocaltiche,3,8,0,0,1,1,0,0,0,0,3,4
Teocuitatlan de Corona,16,41,4,32,4,4,0,0,0,0,8,10
Tequila,3,4,0,0,5,5,0,0,0,0,0,0
Teuchitlan,1,1,4,17,3,3,0,0,0,0,2,2
Tizapan el Alto,6,161,2,17,2,2,0,0,0,0,4,5
Tlajomulco de Zuñiga,13,24,13,51,13,13,1,1,0,0,3,3
Tlaquepaque,1,1,1,1,1,2,1,1,0,0,1,1
Toliman,5,61,2,12,6,7,0,0,0,0,6,12
Tomatlan,5,123,3,110,17,21,0,0,2,2,11,13
Tonala,2,13,1,1,2,2,1,1,0,0,1,2
Tonaya,2,30,0,0,1,1,0,0,0,0,2,2
Tonila,5,12,1,1,2,2,1,1,0,0,0,0
Tototlan,1,1,0,0,0,0,0,0,0,0,0,0
Tuxcacuesco,2,21,0,0,2,4,0,0,0,0,1,1
Tuxcueca,3,10,1,10,2,2,0,0,0,0,1,1
Tuxpan,5,19,2,7,3,3,0,0,0,0,5,5
Union de San Antonio,12,41,4,8,4,5,0,0,0,0,4,6
Union de Tula,12,67,0,0,7,7,0,0,0,0,3,3
Valle de Juarez,1,80,1,2,0,0,0,0,0,0,0,0
San Gabriel,20,92,1,1,6,6,0,0,1,1,7,7
Villa Corona,3,7,4,21,4,7,0,0,0,0,0,0
Villa Guerrero,1,4,0,0,1,3,0,0,0,0,0,0
Yahualica de Gonzalez Gallo,0,0,1,3,0,0,0,0,0,0,0,0
Zacoalco de Torres,4,8,3,7,3,3,0,0,0,0,10,13
Zapopan,10,68,1,1,6,6,0,0,0,0,7,7
Zapotiltic,3,26,9,24,5,5,0,0,0,0,9,9
Zapotitlan de Vadillo,1,1,0,0,0,0,0,0,0,0,2,3
Zapotlan del Rey,8,19,5,15,1,1,0,0,0,0,0,0
Zapotlanejo,0,0,0,0,1,1,0,0,0,0,0,0
Mexico,319,1372,155,367,17,22,1,1,12,12,97,106
Acambay,6,30,8,10,1,2,0,0,0,0,1,1
Acolman,5,10,12,29,0,0,0,0,0,0,3,3
Aculco,10,34,1,1,0,0,0,0,0,0,2,2
Almoloya de Juarez,32,103,13,20,0,0,0,0,0,0,1,1
Almoloya del Rio,1,1,0,0,0,0,0,0,0,0,0,0
Amanalco,0,0,0,0,0,0,0,0,1,1,5,5
Amatepec,6,7,1,1,3,3,0,0,0,0,1,1
Amecameca,0,0,0,0,0,0,0,0,0,0,3,3
Apaxco,1,11,0,0,0,0,0,0,0,0,2,3
Atenco,2,5,3,6,0,0,0,0,0,0,1,1
Atizapan,0,0,0,0,0,0,0,0,0,0,1,1
Atlacomulco,9,38,5,8,0,0,0,0,0,0,2,2
Atlautla,0,0,0,0,0,0,0,0,0,0,1,1
Axapusco,14,57,2,3,0,0,0,0,0,0,2,2
Coacalco de Berriozabal,1,1,0,0,0,0,0,0,0,0,0,0
Coatepec Harinas,2,35,0,0,0,0,0,0,0,0,0,0
Cocotitlan,0,0,0,0,0,0,0,0,0,0,1,1
Coyotepec,1,2,0,0,0,0,0,0,0,0,0,0
Chalco,0,0,2,3,0,0,0,0,1,1,7,7
Chapa de Mota,2,15,0,0,0,0,0,0,0,0,0,0
Chiautla,0,0,5,11,0,0,0,0,0,0,0,0
Chicoloapan,0,0,1,4,0,0,0,0,0,0,1,1
Chiconcuac,0,0,1,4,0,0,0,0,0,0,1,1
Chimalhuacan,1,7,1,7,0,0,0,0,0,0,0,0
Ecatepec de Morelos,1,1,1,3,0,0,0,0,0,0,2,2
Ecatzingo,0,0,0,0,0,0,0,0,1,1,1,1
Huehuetoca,0,0,0,0,0,0,0,0,0,0,2,3
Hueypoxtla,8,33,0,0,0,0,0,0,0,0,2,2
Isidro Fabela,1,1,0,0,0,0,0,0,0,0,0,0
Ixtapaluca,1,4,3,14,0,0,0,0,0,0,1,4
Ixtapan de la Sal,1,12,0,0,0,0,0,0,0,0,0,0
Ixtapan del Oro,2,8,0,0,0,0,0,0,0,0,1,1
Ixtlahuaca,19,56,13,36,0,0,0,0,0,0,0,0
Jilotepec,23,85,3,8,1,1,0,0,0,0,2,2
Jilotzingo,1,3,0,0,0,0,0,0,0,0,0,0
Jiquipilco,10,36,7,22,0,0,0,0,1,1,2,4
Jocotitlan,6,20,8,29,0,0,0,0,0,0,0,0
Joquicingo,1,1,0,0,0,0,0,0,1,1,0,0
Lerma,0,0,1,1,0,0,0,0,0,0,2,2
Malinalco,4,7,1,4,0,0,0,0,0,0,1,1
Morelos,5,15,0,0,0,0,0,0,0,0,0,0
Naucalpan de Juarez,1,1,1,1,0,0,1,1,0,0,0,0
Nextlalpan,0,0,0,0,0,0,0,0,0,0,1,1
Nicolas Romero,2,7,0,0,0,0,0,0,0,0,3,3
Nopaltepec,2,12,0,0,0,0,0,0,0,0,0,0
Ocuilan,2,2,0,0,0,0,0,0,0,0,0,0
El Oro,1,4,1,1,0,0,0,0,0,0,1,1
Otumba,2,4,2,6,0,0,0,0,0,0,0,0
Otzolotepec,2,4,3,5,0,0,0,0,0,0,1,1
Papalotla,0,0,1,1,0,0,0,0,0,0,1,1
Polotitlan,8,201,0,0,0,0,0,0,0,0,3,3
Rayon,1,2,2,19,0,0,0,0,0,0,0,0
San Felipe del Progreso,9,12,1,1,0,0,0,0,0,0,0,0
San Martin de las Piramides,1,2,3,6,0,0,0,0,0,0,0,0
San Simon de Guerrero,0,0,0,0,0,0,0,0,0,0,1,1
Soyaniquilpan de Juarez,3,10,0,0,0,0,0,0,0,0,0,0
Sultepec,2,2,0,0,0,0,0,0,0,0,0,0
Tecamac,1,4,2,3,0,0,0,0,0,0,1,1
Tejupilco,4,7,0,0,1,2,0,0,0,0,1,1
Temascalapa,1,5,0,0,0,0,0,0,0,0,1,1
Temascalcingo,1,7,0,0,0,0,0,0,0,0,0,0
Temascaltepec,4,68,1,6,0,0,0,0,0,0,2,2
Temoaya,3,8,4,12,0,0,0,0,0,0,0,0
Tenancingo,6,10,2,2,1,1,0,0,0,0,0,0
Tenango del Valle,0,0,1,1,0,0,0,0,0,0,0,0
Teotihuacan,0,0,4,9,0,0,0,0,0,0,0,0
Tepetlaoxtoc,5,13,1,1,0,0,0,0,1,1,1,1
Tepetlixpa,1,1,0,0,0,0,0,0,0,0,0,0
Tepotzotlan,0,0,0,0,0,0,0,0,0,0,2,3
Tequixquiac,2,6,0,0,0,0,0,0,0,0,2,2
Texcoco,5,12,16,29,0,0,0,0,2,2,4,5
Tezoyuca,2,18,2,7,0,0,0,0,1,1,0,0
Tianguistenco,1,1,0,0,0,0,0,0,0,0,0,0
Tlalmanalco,0,0,0,0,0,0,0,0,1,1,1,1
Tlalnepantla de Baz,1,1,0,0,0,0,0,0,0,0,0,0
Tlatlaya,12,41,0,0,7,10,0,0,0,0,0,0
Toluca,8,22,3,5,0,0,0,0,0,0,0,0
Tonatico,0,0,0,0,0,0,0,0,0,0,2,2
Tultepec,0,0,0,0,0,0,0,0,0,0,1,1
Valle de Bravo,2,3,0,0,1,1,0,0,0,0,4,4
Villa de Allende,2,2,0,0,0,0,0,0,0,0,1,1
Villa del Carbon,4,11,0,0,1,1,0,0,0,0,1,1
Villa Guerrero,4,8,3,3,0,0,0,0,0,0,1,1
Villa Victoria,12,169,1,1,0,0,0,0,0,0,1,1
Xonacatlan,2,4,1,1,0,0,0,0,0,0,0,0
Zacazonapan,1,2,0,0,0,0,0,0,0,0,1,1
Zacualpan,7,16,0,0,0,0,0,0,0,0,1,1
Zinacantepec,4,6,2,2,0,0,0,0,0,0,2,2
Zumpahuacan,1,4,0,0,0,0,0,0,0,0,0,0
Zumpango,3,13,5,20,0,0,0,0,0,0,0,0
Cuautitlan Izcalli,3,3,0,0,0,0,0,0,0,0,0,0
Valle de Chalco Solidaridad,0,0,1,1,0,0,0,0,0,0,1,1
Luvianos,2,2,0,0,1,1,0,0,0,0,1,1
San Jose del Rincon,3,4,0,0,0,0,0,0,2,2,3,3
Michoacan de Ocampo,436,1994,400,1515,139,146,11,52,19,24,149,216
Acuitzio,0,0,1,1,0,0,1,1,0,0,0,0
Aguililla,0,0,0,0,0,0,0,0,0,0,2,2
alvaro Obregon,2,4,14,18,1,1,0,0,0,0,6,16
Angamacutiro,6,6,11,15,4,5,0,0,0,0,0,0
Angangueo,2,3,1,1,0,0,0,0,0,0,0,0
Apatzingan,8,179,29,106,9,9,0,0,0,0,2,2
Aquila,1,25,3,6,1,2,0,0,0,0,2,3
Ario,12,60,1,1,1,1,0,0,0,0,9,10
Arteaga,5,26,1,3,1,1,1,10,0,0,1,40
Briseñas,4,19,4,20,0,0,0,0,0,0,0,0
Buenavista,10,133,19,53,5,5,1,1,0,0,2,2
Caracuaro,1,6,1,1,0,0,0,0,0,0,2,2
Coahuayana,4,37,3,12,1,1,0,0,0,0,0,0
Coalcoman de Vazquez Pallares,0,0,0,0,0,0,0,0,1,1,0,0
Coeneo,8,34,8,10,3,3,0,0,0,0,9,9
Contepec,23,48,10,22,0,0,0,0,0,0,3,4
Copandaro,4,13,2,7,0,0,0,0,0,0,1,1
Cotija,5,46,7,9,0,0,0,0,0,0,1,1
Cuitzeo,3,3,6,8,3,3,0,0,0,0,1,1
Charo,1,1,5,11,1,1,0,0,0,0,2,2
Chavinda,6,21,4,13,0,0,0,0,0,0,0,0
Cheran,1,7,0,0,0,0,0,0,1,1,1,1
Chilchota,0,0,1,1,0,0,0,0,0,0,3,3
Chucandiro,6,16,3,3,1,1,0,0,0,0,1,1
Churintzio,5,8,3,5,0,0,0,0,0,0,1,1
Churumuco,5,6,0,0,4,4,0,0,0,0,0,0
Ecuandureo,5,38,10,44,2,2,1,2,0,0,0,0
Epitacio Huerta,14,25,5,13,0,0,0,0,0,0,0,0
Erongaricuaro,2,2,0,0,0,0,0,0,0,0,1,1
Gabriel Zamora,0,0,0,0,2,2,0,0,0,0,2,3
Hidalgo,5,6,1,2,0,0,0,0,4,8,6,6
La Huacana,12,24,4,29,7,7,1,2,0,0,1,1
Huandacareo,1,1,2,2,0,0,0,0,0,0,2,2
Huaniqueo,3,8,1,1,2,2,0,0,0,0,0,0
Huetamo,8,31,0,0,0,0,0,0,0,0,0,0
Huiramba,1,6,0,0,0,0,0,0,0,0,0,0
Indaparapeo,2,6,3,6,2,2,0,0,0,0,1,1
Irimbo,3,7,0,0,0,0,0,0,0,0,0,0
Ixtlan,1,1,8,10,0,0,0,0,0,0,4,5
Jacona,2,10,2,11,1,1,0,0,0,0,0,0
Jimenez,9,16,8,9,6,6,0,0,0,0,0,0
Jiquilpan,6,50,2,3,3,3,0,0,0,0,0,0
Juarez,2,9,1,1,0,0,0,0,0,0,0,0
Jungapeo,1,1,0,0,0,0,0,0,0,0,0,0
Lagunillas,0,0,0,0,1,1,0,0,0,0,0,0
Madero,3,56,0,0,1,1,0,0,0,0,0,0
Maravatio,15,33,15,24,0,0,0,0,0,0,0,0
Marcos Castellanos,0,0,0,0,1,1,0,0,0,0,0,0
Lazaro Cardenas,5,30,3,22,4,4,0,0,0,0,4,4
Morelia,20,67,11,12,4,4,2,2,0,0,4,4
Morelos,3,10,0,0,2,3,0,0,0,0,1,1
Mugica,2,26,3,14,3,7,0,0,0,0,3,3
Nahuatzen,2,7,1,1,0,0,0,0,0,0,2,2
Nuevo Parangaricutiro,0,0,2,4,0,0,0,0,2,3,1,1
Ocampo,1,1,0,0,0,0,0,0,1,1,0,0
Pajacuaran,4,32,8,20,0,0,0,0,0,0,1,1
Panindicuaro,3,13,1,1,1,1,0,0,0,0,0,0
Paracuaro,5,51,7,70,5,5,0,0,0,0,1,1
Paracho,1,1,0,0,0,0,0,0,0,0,1,1
Patzcuaro,0,0,0,0,0,0,0,0,0,0,1,1
Penjamillo,8,22,8,12,1,1,0,0,0,0,4,5
Periban,2,21,2,3,0,0,0,0,0,0,0,0
La Piedad,6,7,4,7,0,0,0,0,0,0,0,0
Puruandiro,19,55,17,29,8,8,0,0,0,0,11,12
Querendaro,3,3,2,2,2,2,0,0,1,1,0,0
Quiroga,2,3,0,0,0,0,0,0,0,0,1,4
Cojumatlan de Regules,0,0,4,5,0,0,0,0,0,0,0,0
Los Reyes,1,1,0,0,0,0,1,1,0,0,0,0
Sahuayo,2,7,3,57,0,0,1,10,0,0,0,0
San Lucas,4,8,0,0,0,0,0,0,0,0,1,1
Santa Ana Maya,1,1,6,12,3,3,0,0,0,0,0,0
Salvador Escalante,2,3,1,1,0,0,0,0,1,1,1,1
Senguio,5,9,1,1,0,0,0,0,0,0,0,0
Susupuato,2,9,2,4,0,0,0,0,1,1,0,0
Tacambaro,1,1,1,10,0,0,1,22,1,1,0,0
Tancitaro,1,1,0,0,0,0,0,0,0,0,0,0
Tangamandapio,2,5,2,3,1,1,0,0,0,0,1,2
Tangancicuaro,2,4,0,0,3,3,0,0,0,0,6,6
Tanhuato,5,20,11,61,0,0,0,0,0,0,0,0
Taretan,4,19,1,4,2,2,1,1,0,0,2,2
Tarimbaro,4,8,17,39,0,0,0,0,0,0,3,3
Tepalcatepec,6,14,0,0,12,12,0,0,0,0,0,0
Tingambato,0,0,1,6,0,0,0,0,1,1,3,3
Tingüindin,1,5,0,0,0,0,0,0,0,0,1,1
Tiquicheo de Nicolas Romero,8,26,0,0,0,0,0,0,0,0,1,1
Tlalpujahua,5,11,1,1,0,0,0,0,0,0,1,3
Tlazazalca,6,14,1,2,5,5,0,0,0,0,0,0
Tocumbo,2,101,3,219,0,0,0,0,0,0,0,0
Tumbiscatio,1,100,1,80,0,0,0,0,0,0,0,0
Turicato,2,4,0,0,1,1,0,0,0,0,1,1
Tuxpan,1,1,0,0,0,0,0,0,0,0,0,0
Tuzantla,3,17,1,7,0,0,0,0,0,0,0,0
Tzitzio,1,5,0,0,0,0,0,0,0,0,0,0
Uruapan,4,28,5,5,3,3,0,0,2,2,15,15
Venustiano Carranza,8,23,7,55,0,0,0,0,0,0,0,0
Villamar,10,32,6,16,3,3,0,0,0,0,0,0
Vista Hermosa,3,68,6,71,0,0,0,0,0,0,0,0
Yurecuaro,0,0,9,32,0,0,0,0,0,0,0,0
Zacapu,3,4,3,4,2,2,0,0,1,1,1,1
Zamora,17,45,16,44,8,8,0,0,0,0,0,0
Zinaparo,1,1,0,0,0,0,0,0,0,0,0,0
Zinapecuaro,6,9,7,8,1,1,0,0,2,2,3,4
Ziracuaretiro,0,0,2,6,0,0,0,0,0,0,0,0
Zitacuaro,5,6,3,12,1,1,0,0,0,0,7,8
Jose Sixto Verduzco,4,4,11,72,1,1,0,0,0,0,1,4
Morelos,88,250,54,205,29,32,0,0,1,1,43,59
Amacuzac,3,10,1,1,0,0,0,0,0,0,1,1
Atlatlahucan,0,0,1,1,0,0,0,0,0,0,0,0
Axochiapan,3,4,6,54,1,2,0,0,0,0,1,2
Ayala,11,18,4,4,2,2,0,0,0,0,0,0
Coatlan del Rio,2,4,0,0,0,0,0,0,0,0,0,0
Cuautla,3,3,5,22,0,0,0,0,0,0,0,0
Cuernavaca,5,75,1,2,0,0,0,0,0,0,3,4
Emiliano Zapata,0,0,2,3,0,0,0,0,0,0,1,1
Jantetelco,7,9,2,4,3,3,0,0,0,0,1,1
Jiutepec,0,0,0,0,0,0,0,0,0,0,1,3
Jojutla,0,0,0,0,1,1,0,0,0,0,2,4
Jonacatepec,3,12,1,2,0,0,0,0,0,0,0,0
Mazatepec,1,2,3,9,1,1,0,0,0,0,0,0
Miacatlan,4,11,2,8,1,2,0,0,0,0,0,0
Ocuituco,1,1,0,0,0,0,0,0,0,0,0,0
Puente de Ixtla,3,20,3,4,0,0,0,0,0,0,0,0
Temixco,2,2,0,0,0,0,0,0,0,0,2,5
Tepalcingo,10,20,3,43,4,4,0,0,0,0,2,2
Tepoztlan,0,0,1,2,0,0,0,0,0,0,0,0
Tetecala,2,6,0,0,0,0,0,0,0,0,0,0
Tetela del Volcan,0,0,0,0,0,0,0,0,1,1,0,0
Tlalnepantla,0,0,0,0,0,0,0,0,0,0,2,3
Tlaltizapan,4,9,5,13,1,1,0,0,0,0,11,11
Tlaquiltenango,11,23,1,2,12,13,0,0,0,0,11,13
Tlayacapan,0,0,1,6,0,0,0,0,0,0,0,0
Xochitepec,0,0,2,2,0,0,0,0,0,0,1,2
Yautepec,5,5,7,16,2,2,0,0,0,0,1,4
Yecapixtla,3,6,1,1,1,1,0,0,0,0,0,0
