INEGI. IX Censo Ejidal 2007,,,,,,
Ejidos y comunidades con tractores de su propiedad segun cantidad,,,,,,cuadro 27
y años de uso por entidad federativa y municipio,,,,,,
,,,,,,
,,,,,,
entidad_federativa_y_municipio,ejidos_y_comunidades_con_tractores,total_de_tractores,ejidos_y_comunidades_con_tractores_de_su_propiedad_con_tractores_hasta_5_años_de_uso,ejidos_y_comunidades_con_tractores_de_su_propiedad_con_tractores_mas_de_5 hasta_10_años_de_uso,ejidos_y_comunidades_con_tractores_de_su_propiedad_con_tractores_mas_de_10_hasta_15 años_de_uso,ejidos_y_comunidades_con_tractores_de_su_propiedad_con_tractores_con_mas_de_15_años_de_uso
San Pedro Cholula,1,3,0,0,0,1
San Pedro Yeloixtlahuaca,1,2,1,1,0,0
Huehuetlan el Grande,2,3,0,1,2,0
Tecali de Herrera,1,2,0,1,0,0
Tecamachalco,1,1,1,0,0,0
Tecomatlan,1,1,0,0,0,1
Tehuacan,2,3,0,1,1,1
Teopantlan,1,4,0,1,0,0
Tepeaca,1,1,1,0,0,0
Tilapa,4,14,2,1,0,3
Tlachichuca,1,1,1,0,0,0
Tlahuapan,1,2,1,0,0,0
Tlatlauquitepec,1,2,0,0,0,1
Tzicatlacoyan,1,1,0,0,1,0
Zacapala,1,1,1,0,0,0
Zapotitlan,1,1,1,0,0,0
Queretaro,23,48,5,9,12,7
Cadereyta de Montes,1,1,0,0,0,1
Colon,3,6,0,1,3,0
Corregidora,1,3,0,1,1,1
Huimilpan,2,2,0,0,2,0
El Marques,1,1,0,1,0,0
Queretaro,2,8,0,2,0,2
San Juan del Rio,11,22,5,3,4,3
Tequisquiapan,1,4,0,1,1,0
Toliman,1,1,0,0,1,0
Quintana Roo,11,14,5,2,0,5
Felipe Carrillo Puerto,2,2,0,0,0,2
Othon P. Blanco,6,7,3,1,0,3
Jose Maria Morelos,2,4,1,1,0,0
Solidaridad,1,1,1,0,0,0
San Luis Potosi,130,226,33,24,29,75
Ahualulco,1,1,0,0,0,1
Aquismon,2,2,1,0,0,1
Armadillo de los Infante,1,1,1,0,0,0
Catorce,1,2,0,0,0,1
Cedral,8,10,2,1,3,4
Cerritos,1,2,0,0,0,1
Cerro de San Pedro,1,2,0,1,0,0
Ciudad del Maiz,1,1,1,0,0,0
Ciudad Fernandez,3,11,0,0,1,2
Tancanhuitz,4,4,0,0,1,3
Ciudad Valles,22,38,3,4,2,19
Charcas,3,3,1,1,0,1
ebano,4,10,1,0,1,3
Guadalcazar,3,8,1,0,1,2
Matehuala,5,6,1,0,3,2
Mexquitic de Carmona,4,7,1,1,0,3
Moctezuma,1,2,0,1,1,0
Rioverde,4,7,1,1,1,2
Salinas,1,2,0,0,1,0
San Antonio,1,1,1,0,0,0
San Luis Potosi,4,10,1,2,0,1
San Martin Chalchicuautla,4,5,0,0,2,2
San Nicolas Tolentino,1,1,0,0,0,1
Santa Maria del Rio,1,5,1,0,1,1
Santo Domingo,1,2,0,0,0,1
San Vicente Tancuayalab,4,5,1,0,0,3
Soledad de Graciano Sanchez,7,19,1,6,2,3
Tamasopo,9,16,6,1,2,5
Tampacan,1,2,0,1,0,1
Tamuin,5,8,1,1,1,2
Tanlajas,3,7,0,0,1,3
Tanquian de Escobedo,1,1,0,0,0,1
Vanegas,1,1,1,0,0,0
Venado,1,2,0,1,1,0
Villa de Guadalupe,1,1,0,0,1,0
Villa de la Paz,1,1,0,0,0,1
Villa de Reyes,5,6,4,0,0,1
Villa Hidalgo,3,5,1,2,0,1
Villa Juarez,1,1,0,0,0,1
Axtla de Terrazas,2,2,0,0,1,1
Zaragoza,1,4,1,0,1,0
El Naranjo,2,2,0,0,1,1
Sinaloa,50,113,6,7,10,39
Angostura,1,2,0,0,0,1
Badiraguato,1,1,0,1,0,0
Concordia,7,14,0,0,2,6
Culiacan,2,5,1,0,1,1
Elota,8,22,0,1,4,6
El Fuerte,4,10,2,1,0,3
Guasave,5,14,2,1,1,4
Mazatlan,4,5,1,0,0,3
Mocorito,4,9,0,1,0,3
Rosario,5,9,0,2,1,3
Salvador Alvarado,1,6,0,0,1,1
San Ignacio,3,5,0,0,0,3
Sinaloa,5,11,0,0,0,5
Sonora,117,231,37,24,22,60
Aconchi,1,1,1,0,0,0
Agua Prieta,2,3,1,1,1,0
alamos,7,7,5,0,1,1
Altar,3,8,1,1,0,3
Arivechi,2,6,2,1,1,0
Bacum,7,9,0,5,1,2
Benjamin Hill,1,2,0,0,0,1
Caborca,16,35,4,3,2,10
Cajeme,10,28,3,2,3,7
La Colorada,1,1,1,0,0,0
Cucurpe,1,1,0,0,0,1
Cumpas,1,1,1,0,0,0
Divisaderos,1,1,1,0,0,0
Etchojoa,3,15,1,1,2,2
Guaymas,2,4,0,0,0,2
Hermosillo,9,15,2,0,1,7
Imuris,1,5,0,1,0,0
Magdalena,1,1,0,1,0,0
Mazatan,1,1,1,0,0,0
Nacori Chico,1,1,0,1,0,0
Navojoa,6,14,0,0,2,5
Nogales,4,6,2,1,0,2
Pitiquito,1,2,0,0,0,1
Quiriego,2,2,0,1,0,1
Rosario,1,2,0,0,0,1
Sahuaripa,4,7,3,0,1,1
San Luis Rio Colorado,3,5,0,1,2,0
San Miguel de Horcasitas,1,1,0,0,0,1
Saric,1,1,0,0,0,1
Soyopa,1,1,0,1,0,0
Suaqui Grande,1,1,0,0,1,0
Ures,6,9,6,1,0,1
Villa Hidalgo,1,1,0,0,1,0
Villa Pesqueira,3,8,1,1,0,1
Yecora,2,3,0,0,0,2
General Plutarco Elias Calles,2,4,0,0,0,2
Benito Juarez,2,5,1,1,2,0
San Ignacio Rio Muerto,5,14,0,0,1,5
Tabasco,23,56,9,11,2,8
Cardenas,11,39,9,3,1,4
Centro,1,1,0,1,0,0
Comalcalco,1,1,0,0,0,1
Emiliano Zapata,2,4,0,2,0,0
Huimanguillo,6,7,0,4,1,1
Macuspana,1,1,0,0,0,1
Tenosique,1,3,0,1,0,1
Tamaulipas,38,82,10,9,3,24
Altamira,6,16,4,2,0,2
Antiguo Morelos,2,3,0,1,1,0
Casas,2,7,1,1,0,1
Gomez Farias,1,1,0,1,0,0
Gonzalez,1,4,0,0,0,1
Guerrero,1,3,1,1,0,0
Hidalgo,1,1,0,0,0,1
Jaumave,2,2,1,0,0,1
Llera,1,1,1,0,0,0
El Mante,1,1,0,0,0,1
Matamoros,1,5,0,0,0,1
Nuevo Laredo,1,1,0,0,0,1
Ocampo,1,1,0,0,1,0
Padilla,2,3,0,0,0,2
Reynosa,8,20,1,1,0,7
Tampico,1,1,1,0,0,0
Valle Hermoso,1,3,0,0,0,1
Xicotencatl,5,9,0,2,1,5
Tlaxcala,9,15,1,2,0,6
Apizaco,1,2,0,1,0,0
Españita,1,1,1,0,0,0
Teolocholco,1,1,0,0,0,1
Tetla de la Solidaridad,2,3,0,0,0,2
Tlaxco,1,4,0,0,0,1
Zitlaltepec de Trinidad Sanchez Santos,1,1,0,1,0,0
Xicohtzinco,1,1,0,0,0,1
Emiliano Zapata,1,2,0,0,0,1
Veracruz de Ignacio de la Llave,117,186,51,20,18,47
Acayucan,1,1,0,0,0,1
Altotonga,1,1,1,0,0,0
Alvarado,1,1,1,0,0,0
Amatlan de los Reyes,2,2,0,1,0,1
angel R. Cabada,2,7,0,0,0,2
La Antigua,1,2,1,0,1,0
Atzalan,1,1,0,0,0,1
Tlaltetela,1,1,1,0,0,0
Benito Juarez,1,1,1,0,0,0
Cazones,1,1,1,0,0,0
Coatepec,1,1,0,0,0,1
Comapa,2,2,1,1,0,0
Cordoba,1,1,0,0,0,1
Cosamaloapan de Carpio,5,18,3,0,2,4
Cosoleacaque,1,1,0,0,0,1
Cotaxtla,1,1,1,0,0,0
Chacaltianguis,2,6,1,0,1,1
Chalma,1,1,0,1,0,0
Chiconamel,2,2,1,0,1,0
Chinameca,2,2,1,0,1,0
Las Choapas,1,1,0,1,0,0
Espinal,2,2,1,0,1,0
Fortin,1,2,0,1,0,1
Hueyapan de Ocampo,3,5,0,1,1,2
Isla,1,1,1,0,0,0
Jalacingo,4,9,1,2,0,2
Xalapa,1,1,1,0,0,0
Jilotepec,1,1,0,0,0,1
Lerdo de Tejada,2,11,0,1,1,1
Mariano Escobedo,1,1,0,0,0,1
Minatitlan,1,1,0,0,1,0
Otatitlan,2,5,0,0,0,2
Ozuluama de Mascareñas,1,2,0,0,0,1
Panuco,7,10,3,3,0,3
Paso del Macho,4,5,4,0,0,0
Perote,3,5,1,1,0,1
Puente Nacional,2,3,0,0,1,1
Saltabarranca,1,2,0,0,1,0
San Andres Tuxtla,2,2,1,1,0,0
Santiago Tuxtla,1,1,1,0,0,0
Soledad de Doblado,2,3,1,0,0,1
Soteapan,1,1,1,0,0,0
Tamiahua,10,11,9,1,0,1
Tancoco,1,1,0,0,0,1
Tantima,1,2,0,0,0,1
Tantoyuca,3,7,1,1,0,1
Castillo de Teayo,1,2,0,0,1,0
Temapache,4,4,0,0,1,3
Tepetzintla,1,1,1,0,0,0
Texistepec,1,1,0,1,0,0
Tierra Blanca,1,1,1,0,0,0
Tihuatlan,2,2,0,0,1,1
Tlacojalpan,1,1,0,0,1,0
Tlapacoyan,1,1,1,0,0,0
Tuxpam,4,4,0,0,0,4
ursulo Galvan,4,5,3,1,0,1
Tres Valles,6,12,4,1,2,3
Carlos A. Carrillo,2,4,1,1,0,1
Yucatan,23,49,11,7,6,10
Opichen,1,3,1,1,0,0
Oxkutzcab,2,8,1,0,2,2
Sinanche,1,2,1,0,0,1
Tekax,16,31,7,5,4,6
Tixmehuac,1,2,0,1,0,0
Tzucacab,2,3,1,0,0,1
Zacatecas,65,225,6,4,9,54
Apozol,1,1,0,0,0,1
Concepcion del Oro,2,7,1,0,0,1
Fresnillo,5,26,1,0,0,5
General Francisco R. Murguia,2,4,0,0,0,2
El Plateado de Joaquin Amaro,1,1,0,0,0,1
Guadalupe,3,23,0,0,1,2
Jerez,4,5,0,0,0,4
Loreto,3,9,0,1,0,3
Luis Moya,4,12,1,0,0,4
Mazapil,8,21,1,1,2,5
Noria de angeles,4,18,0,1,3,2
Ojocaliente,2,6,0,0,0,2
Panuco,1,4,0,0,0,1
Pinos,1,1,0,1,0,0
Rio Grande,1,2,0,0,0,1
Sain Alto,3,7,0,0,0,3
Tepetongo,2,7,0,0,0,2
Villa de Cos,7,39,0,0,1,6
Villa Garcia,2,5,1,0,0,1
Villa Gonzalez Ortega,3,9,1,0,1,2
Villa Hidalgo,2,3,0,0,0,2
Villanueva,3,12,0,0,0,3
Zacatecas,1,3,0,0,1,1
NOTAS: La Informacion presentada corresponde a los datos captados en el cuestionario por medio de la pregunta:  32,,,,,,
"Los datos sobre construcciones, maquinaria, tractores y vehiculos se refieren exclusivamente a aquellos que son considerados propiedad del ejido o de la comunidad. Quedan fuera todos aquellos que pudieran estar disponibles para los sujetos de derecho pero que no se consideran propiedad del nucleo agrario. Los criterios de que se valen los informantes para asignar la titularidad de los activos mencionados no son siempre consistentes entre censos, lo que limita la comparabilidad con eventos anteriores.",,,,,,
http://www3.inegi.org.mx/sistemas/tabuladosbasicos/default.aspx?c=17351&s=est,,,,,,
