INEGI. IX Censo Ejidal 2007,,,,,,
Ejidos y comunidades consuperficie de uso comun segun uso agricola,,,,,cuadro4,
por entidad federativa,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
entidad_federativa,ejidos_y_comunidades_con_superficie_de_uso_comun,superficie_de_uso_comun_(ha),ejidos_y_comunidades_con_superficie_de_uso_comun_utilizada_para_la_agricultura_total,ejidos_y_comunidades_con_superficie_de_uso_comun_utilizada_para_la_agricultura_sembrada_en_2007,ejidos_y_comunidades_con_superficie_de_uso_comun_utilizada_para_la_agricultura_para_sembrarse_solo_por_uno_o_dos_años,unidad_de_medida
Estados Unidos Mexicanos,22869,69298786.80,6624,5794,1797,Hectareas
Aguascalientes,154,129113.64,26,22,3,Hectareas
Baja California,158,3395375.58,34,22,7,Hectareas
Baja California Sur,99,4747556.88,6,5,2,Hectareas
Campeche,332,2314224.09,218,198,91,Hectareas
Coahuila de Zaragoza,775,4859195.13,130,91,24,Hectareas
Colima,105,68543.13,31,20,5,Hectareas
Chiapas,1726,1641374.48,622,585,137,Hectareas
Chihuahua,951,8947730.09,232,210,46,Hectareas
Distrito Federal,26,44155.00,13,13,1,Hectareas
Durango,1072,7292613.05,328,303,68,Hectareas
Guanajuato,1173,557426.65,119,99,8,Hectareas
Guerrero,967,2773964.71,393,354,110,Hectareas
Hidalgo,1025,499562.09,253,222,62,Hectareas
Jalisco,1127,1991055.02,439,382,103,Hectareas
Mexico,1044,535674.44,231,215,14,Hectareas
Michoacan de Ocampo,1616,1454773.39,438,388,72,Hectareas
Morelos,180,143823.23,40,28,3,Hectareas
Nayarit,302,1351431.65,100,82,36,Hectareas
Nuevo Leon,535,1466753.29,72,60,8,Hectareas
Oaxaca,1277,5311626.29,557,499,174,Hectareas
Puebla,944,849961.20,181,163,26,Hectareas
Queretaro,347,363816.74,47,39,3,Hectareas
Quintana Roo,281,2569780.31,245,234,169,Hectareas
San Luis Potosi,944,2846664.53,203,159,68,Hectareas
Sinaloa,933,2215665.08,272,249,107,Hectareas
Sonora,864,5056727.91,305,255,29,Hectareas
Tabasco,273,185401.80,79,60,23,Hectareas
Tamaulipas,920,1134393.34,112,89,6,Hectareas
Tlaxcala,169,37452.07,26,24,1,Hectareas
Veracruz Llave,1164,249866.94,365,256,71,Hectareas
Yucatan,633,1710329.78,459,426,316,Hectareas
Zacatecas,753,2552755.27,48,42,4,Hectareas
"NOTA :La Informacion presentada corresponde a los datos captados en el cuestionario por medio de las preguntas: 2.3, 14.1, 14.1.1 y 14.1.2",,,,,,
http://www3.inegi.org.mx/sistemas/tabuladosbasicos/default.aspx?c=17351&s=est,,,,,,
