INEGI. IX Censo Ejidal 2007,,,,,,
Superficie de uso comun segun uso agricola,,,,,Cuadro 5,
por entidad federativa,,,,,,
entidad_federativa,ejidos_y_comunidades_con_superficie_de_uso_comun,superficie_de_uso_comun_(ha),superficie_de_uso_comun_utilizada_para_la_agricultura_(ha)_total,superficie_de_uso_comun_utilizada_para_la_agricultura_(ha)_sembrada_en_2007,inegi. ix censo ejidal 2007,unidad_de_medida
Estados Unidos Mexicanos,22869,69298786.80,4235327.36,1554976.46,253147.75,Hectareas
Aguascalientes,154,129113.64,692.36,635.25,52.00,Hectareas
Baja California,158,3395375.58,28017.36,3000.54,478.17,Hectareas
Baja California Sur,99,4747556.88,453.77,204.08,50.00,Hectareas
Campeche,332,2314224.09,201620.58,63885.54,10960.74,Hectareas
Coahuila de Zaragoza,775,4859195.13,56291.19,5950.10,1082.19,Hectareas
Colima,105,68543.13,2623.53,740.20,17.37,Hectareas
Chiapas,1726,1641374.48,329396.65,183820.60,16016.09,Hectareas
Chihuahua,951,8947730.09,288952.50,94056.95,12352.52,Hectareas
Distrito Federal,26,44155.00,6355.37,5211.10,8.00,Hectareas
Durango,1072,7292613.05,222000.80,88833.14,14358.40,Hectareas
Guanajuato,1173,557426.65,11624.22,6222.59,50.68,Hectareas
Guerrero,967,2773964.71,477611.60,210469.93,8999.10,Hectareas
Hidalgo,1025,499562.09,40838.52,21163.89,6166.30,Hectareas
Jalisco,1127,1991055.02,196617.71,115160.97,4396.04,Hectareas
Mexico,1044,535674.44,29401.78,20346.90,101.66,Hectareas
Michoacan de Ocampo,1616,1454773.39,118124.63,49955.37,7527.09,Hectareas
Morelos,180,143823.23,4783.05,4200.77,4.40,Hectareas
Nayarit,302,1351431.65,195715.15,29619.41,13320.43,Hectareas
Nuevo Leon,535,1466753.29,16863.64,7121.98,191.90,Hectareas
Oaxaca,1277,5311626.29,679525.45,229319.00,19686.44,Hectareas
Puebla,944,849961.20,53092.59,22449.40,1623.39,Hectareas
Queretaro,347,363816.74,2408.97,1913.86,34.95,Hectareas
Quintana Roo,281,2569780.31,351386.45,78552.82,32251.77,Hectareas
San Luis Potosi,944,2846664.53,58290.01,23619.90,8951.60,Hectareas
Sinaloa,933,2215665.08,186323.62,60533.75,17336.35,Hectareas
Sonora,864,5056727.91,196783.54,91329.73,1941.88,Hectareas
Tabasco,273,185401.80,9828.08,2310.76,750.65,Hectareas
Tamaulipas,920,1134393.34,19159.41,8348.80,152.82,Hectareas
Tlaxcala,169,37452.07,828.06,579.65,1.30,Hectareas
Veracruz Llave,1164,249866.94,54196.12,22102.69,6021.51,Hectareas
Yucatan,633,1710329.78,379563.04,92525.30,68236.29,Hectareas
Zacatecas,753,2552755.27,15957.64,10791.52,25.71,Hectareas
,,,,,,
"NOTA: La Informacion presentada corresponde a los datos captados en el cuestionario por medio de las preguntas:  2.3, 14.1, 14.1.1, y 14.1.2",,,,,,
http://www3.inegi.org.mx/sistemas/tabuladosbasicos/default.aspx?c=17351&s=est,,,,,,
